,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2011-12,2.246B,2.749B,4.457B,-1.708B,,,118.00M,105.00M,-105.00M,,-2.034B,326.00M,105.00M,-105.00M,66.00M,-105.00M,287.00M,48.00M,239.00M,-32.00M,,-6.00M,,201.00M,233.00M,729.00M,337.00M,392.00M,0.41,-0.05,,,0.41,0.36,0.41,-0.05,,,0.41,0.35,569.80M,571.60M,0.4925
2011-09,3.745B,3.745B,1.661B,2.084B,,16.00M,129.00M,249.00M,-249.00M,859.00M,1.256B,828.00M,249.00M,-249.00M,16.00M,-249.00M,595.00M,203.00M,392.00M,4.00M,,-4.00M,,392.00M,377.46M,1.168B,324.00M,844.00M,0.68,0.01,,,0.6615,0.69,0.68,0.01,,,0.6615,0.69,569.40M,571.20M,0.4925
2011-06,3.288B,3.288B,1.438B,1.85B,,39.00M,123.00M,216.00M,-216.00M,739.00M,1.117B,733.00M,216.00M,-216.00M,39.00M,-216.00M,556.00M,211.00M,345.00M,-5.00M,,-4.00M,,336.00M,316.80M,1.081B,309.00M,772.00M,0.6,-0.01,,,0.5578,0.59,0.59,-0.01,,,0.5479,0.58,573.40M,575.20M,0.4925
2011-03,4.057B,4.057B,1.81B,2.247B,,57.00M,161.00M,227.00M,-227.00M,861.00M,1.284B,963.00M,227.00M,-227.00M,57.00M,-227.00M,793.00M,310.00M,483.00M,,,-4.00M,,479.00M,444.28M,1.338B,318.00M,1.02B,0.83,0.0,,,0.7701,0.83,0.82,0.0,,,0.7602,0.82,579.80M,580.50M,0.4925
2010-12,3.042B,3.476B,4.937B,-1.461B,,2.358B,119.00M,226.00M,-226.00M,,-2.349B,888.00M,226.00M,-226.00M,2.528B,-226.00M,723.00M,309.00M,414.00M,-111.00M,,-5.00M,,298.00M,-1.124B,1.261B,312.00M,949.00M,0.72,-0.19,,,-1.92,0.53,0.72,-0.19,,,-1.9140000000000001,0.53,580.50M,582.00M,0.4575
2010-09,3.95B,3.95B,1.663B,2.287B,,63.00M,117.00M,229.00M,-229.00M,788.00M,1.168B,1.119B,229.00M,-229.00M,63.00M,-229.00M,953.00M,374.00M,579.00M,0.00,,-4.00M,,575.00M,536.72M,1.499B,317.00M,1.182B,0.98,0.0,,,0.9146,0.98,0.98,0.0,,,0.9147,0.98,585.00M,586.40M,0.4575
2010-06,3.333B,3.333B,1.456B,1.877B,,-25.00M,119.00M,188.00M,-188.00M,853.00M,1.234B,643.00M,188.00M,-188.00M,-25.00M,-188.00M,2.897B,1.134B,1.763B,2.00M,,-4.00M,,1.761B,1.774B,3.394B,309.00M,3.085B,2.98,0.0,,,3.0060000000000002,2.98,2.98,0.0,,,3.0060000000000002,2.98,590.40M,591.40M,0.4575
2010-03,4.168B,4.168B,1.928B,2.24B,,71.00M,169.00M,183.00M,-183.00M,1.068B,1.506B,734.00M,183.00M,-183.00M,71.00M,-183.00M,622.00M,295.00M,327.00M,-149.00M,,-4.00M,,174.00M,276.85M,1.125B,320.00M,805.00M,0.54,-0.25,,,0.4631,0.29,0.54,-0.25,,,0.4632,0.29,599.90M,600.90M,0.4575
2009-12,3.176B,3.176B,1.737B,1.439B,,58.00M,117.00M,233.00M,-233.00M,,1.511B,-72.00M,233.00M,-233.00M,58.00M,-233.00M,-247.00M,-170.00M,-77.00M,73.00M,,-5.00M,,-9.00M,-119.70M,345.00M,359.00M,-14.00M,-0.14,0.12,,,-0.203,-0.02,-0.14,0.12,,,-0.203,-0.02,598.10M,598.80M,0.4375
2009-09,3.63B,3.63B,1.449B,2.181B,,128.00M,106.00M,217.00M,-217.00M,713.00M,1.093B,1.088B,217.00M,-217.00M,128.00M,-217.00M,999.00M,360.00M,639.00M,-41.00M,,-4.00M,,594.00M,553.13M,1.536B,320.00M,1.216B,1.07,-0.07,,,0.9326,1.0,1.07,-0.07,,,0.9327,1.0,595.90M,596.30M,0.4375
