,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2015-09,392.00M,0.00,,-7.00M,25.00M,18.00M,107.00M,107.00M,4.00M,,2.00M,7.00M,178.00M,-9.00M,164.00M,-13.00M,-103.00M,217.00M,53.00M,800.00M,,-100.00M,,,-222.00M,63.00M,20.00M,-243.00M,,-1.00M,34.00M,33.00M,1.00M,-150.00M,-149.00M,-98.00M,-98.00M,-12.00M,-226.00M,,707.00M,331.00M,-23.00M,1.015B,,1.00M,0.00,-1.00M,-150.00M,133.00M,18.00M,,AOR,Restated
2015-06,342.00M,0.00,55.00M,-7.00M,25.00M,73.00M,125.00M,125.00M,-58.00M,,25.00M,122.00M,-264.00M,56.00M,83.00M,-18.00M,129.00M,-14.00M,,615.00M,,-90.00M,,,-17.00M,-41.00M,5.00M,-143.00M,,-337.00M,73.00M,-264.00M,6.00M,-151.00M,-145.00M,-98.00M,-98.00M,7.00M,-500.00M,,735.00M,-28.00M,0.00,707.00M,,6.00M,0.00,-337.00M,-151.00M,75.00M,43.00M,,AOR,Restated
2015-03,326.00M,,-55.00M,-6.00M,24.00M,-37.00M,120.00M,120.00M,12.00M,,15.00M,-307.00M,-327.00M,-136.00M,-63.00M,-66.00M,34.00M,-558.00M,,-429.00M,,-72.00M,,,38.00M,55.00M,14.00M,35.00M,,1.241B,-517.00M,724.00M,44.00M,-200.00M,-156.00M,-91.00M,-91.00M,-19.00M,458.00M,,686.00M,64.00M,-15.00M,735.00M,,44.00M,1.242B,-1.00M,-200.00M,83.00M,17.00M,,AOR,Restated
2014-12,44.00M,,,-1.00M,9.00M,8.00M,97.00M,97.00M,-28.00M,,18.00M,229.00M,300.00M,106.00M,-248.00M,18.00M,-70.00M,106.00M,17.00M,491.00M,,-206.00M,,,-1.999B,119.00M,-24.00M,-2.077B,,-601.00M,1.035B,434.00M,5.00M,-300.00M,-295.00M,-92.00M,-92.00M,-200.00M,-153.00M,,2.468B,-1.739B,-43.00M,686.00M,,5.00M,1.163B,-1.764B,-300.00M,138.00M,58.00M,,AOR,Restated
2014-09,383.00M,,,-62.00M,8.00M,-54.00M,119.00M,119.00M,-86.00M,,15.00M,100.00M,115.00M,-2.00M,119.00M,-11.00M,34.00M,255.00M,-96.00M,636.00M,,-126.00M,,,-90.00M,371.00M,43.00M,198.00M,,-37.00M,2.00M,-35.00M,11.00M,-150.00M,-139.00M,-92.00M,-92.00M,-4.00M,-270.00M,,1.986B,564.00M,-82.00M,2.468B,,11.00M,-2.00M,-35.00M,-150.00M,196.00M,54.00M,,AOR,Restated
2014-06,399.00M,,5.00M,0.00,23.00M,28.00M,115.00M,115.00M,28.00M,,20.00M,-46.00M,-168.00M,-25.00M,79.00M,-42.00M,-6.00M,-162.00M,-144.00M,238.00M,,-129.00M,,,-2.00M,-447.00M,5.00M,-573.00M,,-2.00M,-3.00M,-5.00M,6.00M,-100.00M,-94.00M,-92.00M,-92.00M,-52.00M,-243.00M,,2.559B,-578.00M,5.00M,1.986B,,6.00M,0.00,-2.00M,-100.00M,249.00M,53.00M,,AOR,Restated
2014-03,283.00M,,-5.00M,7.00M,18.00M,20.00M,119.00M,119.00M,-1.00M,,18.00M,71.00M,-363.00M,-178.00M,235.00M,-33.00M,-41.00M,-380.00M,33.00M,163.00M,,-103.00M,,,1.603B,92.00M,4.00M,1.595B,,0.00,-13.00M,-13.00M,35.00M,-200.00M,-165.00M,-85.00M,-85.00M,,-303.00M,,1.116B,1.455B,-12.00M,2.559B,,35.00M,2.00M,-2.00M,-200.00M,59.00M,53.00M,,AOR,Restated
2013-12,245.00M,,,8.00M,17.00M,25.00M,119.00M,119.00M,33.00M,,22.00M,-214.00M,281.00M,50.00M,-186.00M,-6.00M,49.00M,188.00M,91.00M,509.00M,,-244.00M,,,-5.00M,100.00M,-4.00M,-165.00M,,2.00M,6.00M,8.00M,9.00M,-680.00M,-671.00M,-86.00M,-86.00M,-11.00M,-792.00M,,1.562B,-448.00M,2.00M,1.116B,,9.00M,0.00,2.00M,-680.00M,88.00M,35.00M,,AOR,Restated
2013-09,207.00M,,,2.00M,16.00M,18.00M,113.00M,113.00M,-17.00M,,27.00M,179.00M,156.00M,18.00M,81.00M,8.00M,-65.00M,198.00M,63.00M,788.00M,,-101.00M,,,-3.00M,-123.00M,4.00M,-226.00M,,-5.00M,5.00M,0.00,14.00M,-180.00M,-166.00M,-88.00M,-88.00M,8.00M,-263.00M,,1.243B,299.00M,20.00M,1.562B,,14.00M,-1.00M,-4.00M,-180.00M,77.00M,52.00M,,AOR,Restated
2013-06,324.00M,,,1.00M,43.00M,44.00M,119.00M,119.00M,34.00M,,17.00M,-4.00M,-189.00M,85.00M,149.00M,-3.00M,-25.00M,17.00M,32.00M,583.00M,,-86.00M,,,-975.00M,-152.00M,-5.00M,-1.22B,,-2.00M,-24.00M,-26.00M,13.00M,0.00,13.00M,-87.00M,-87.00M,-4.00M,-124.00M,,2.021B,-761.00M,-17.00M,1.243B,,13.00M,1.00M,-3.00M,0.00,97.00M,48.00M,,AOR,Restated
