,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-12,1.021B,,1.021B,,,2.804B,523.00M,134.00M,1.045B,,1.702B,,515.00M,306.00M,6.348B,0.00,453.00M,1.416B,5.338B,604.00M,232.00M,8.043B,-5.245B,2.798B,2.641B,1.472B,4.113B,509.00M,,930.00M,8.35B,14.70B,,1.402B,62.00M,,1.464B,1.26B,2.724B,,,903.00M,,903.00M,583.00M,4.21B,3.009B,,3.009B,425.00M,425.00M,1.25B,1.072B,156.00M,1.243B,6.999B,11.21B,,484.00M,8.156B,580.00M,4.259B,,,-1.628B,3.333B,,AOR,Restated
2008-09,516.00M,,516.00M,3.453B,,3.453B,452.00M,152.00M,1.101B,113.00M,1.818B,42.00M,,750.00M,6.579B,,,,,,,8.099B,-5.266B,2.833B,2.711B,1.561B,4.272B,,,1.362B,8.467B,15.05B,,3.128B,,,3.128B,,3.128B,,,726.00M,,726.00M,615.00M,4.469B,3.221B,,3.221B,495.00M,495.00M,,,166.00M,2.491B,6.207B,10.68B,,484.00M,8.172B,573.00M,4.259B,,,-766.00M,4.204B,,,Restated
2008-06,266.00M,,266.00M,3.907B,,3.907B,493.00M,170.00M,1.313B,148.00M,2.124B,12.00M,,782.00M,7.091B,,,,,,,9.736B,-6.373B,3.363B,2.874B,1.725B,4.599B,,,1.154B,9.116B,16.21B,,3.316B,,,3.316B,,3.316B,,,816.00M,,816.00M,613.00M,4.745B,3.44B,,3.44B,618.00M,618.00M,,,194.00M,2.586B,6.644B,11.39B,,484.00M,8.141B,561.00M,4.262B,,,-300.00M,4.624B,,,Restated
2008-03,298.00M,,298.00M,3.433B,,3.433B,479.00M,159.00M,1.222B,117.00M,1.977B,12.00M,,1.229B,6.949B,,,,,,,8.816B,-5.563B,3.253B,2.824B,1.749B,4.573B,,,1.124B,8.95B,15.90B,,3.003B,,,3.003B,,3.003B,,,805.00M,,805.00M,684.00M,4.492B,3.639B,,3.639B,616.00M,616.00M,,,179.00M,2.599B,6.854B,11.35B,,484.00M,7.976B,554.00M,4.262B,,,-378.00M,4.374B,,,Restated
2007-12,526.00M,,526.00M,,,2.522B,464.00M,131.00M,937.00M,,1.532B,1.706B,418.00M,237.00M,6.941B,0.00,418.00M,1.391B,6.164B,553.00M,168.00M,8.694B,-6.116B,2.578B,1.507B,614.00M,2.121B,370.00M,,619.00M,5.688B,12.63B,,1.182B,49.00M,431.00M,1.662B,558.00M,2.22B,,,1.819B,,1.819B,593.00M,4.632B,1.201B,,1.201B,164.00M,164.00M,396.00M,997.00M,,1.088B,3.846B,8.478B,,484.00M,7.963B,553.00M,4.267B,,,-582.00M,4.151B,,,Restated
2007-09,227.00M,,227.00M,2.497B,,2.497B,315.00M,144.00M,811.00M,115.00M,1.385B,,,1.307B,5.416B,,,,,,,7.755B,-5.364B,2.391B,1.462B,629.00M,2.091B,,,1.009B,5.491B,10.91B,,2.111B,,,2.111B,,2.111B,,,178.00M,,178.00M,743.00M,3.032B,1.181B,,1.181B,156.00M,156.00M,,,140.00M,2.395B,3.732B,6.764B,,484.00M,7.848B,534.00M,4.267B,,,-596.00M,4.003B,,,
2007-06,197.00M,,197.00M,2.583B,,2.583B,309.00M,142.00M,888.00M,141.00M,1.48B,,,691.00M,4.951B,,,,,,,8.58B,-6.045B,2.535B,1.466B,637.00M,2.103B,,,1.095B,5.733B,10.68B,,2.145B,,,2.145B,,2.145B,,,216.00M,,216.00M,601.00M,2.962B,1.151B,,1.151B,146.00M,146.00M,,,184.00M,2.556B,3.853B,6.815B,,484.00M,7.742B,497.00M,4.20B,,,-838.00M,3.685B,,,
2007-03,182.00M,,182.00M,2.434B,,2.434B,293.00M,139.00M,887.00M,140.00M,1.459B,,,654.00M,4.729B,,,,,,,8.445B,-5.933B,2.512B,1.447B,645.00M,2.092B,,,1.012B,5.616B,10.34B,,2.078B,,,2.078B,,2.078B,,,306.00M,,306.00M,565.00M,2.949B,1.158B,,1.158B,144.00M,144.00M,,,165.00M,2.493B,3.795B,6.744B,,484.00M,7.576B,442.00M,4.127B,,,-939.00M,3.436B,,,
2006-12,443.00M,,443.00M,2.016B,,2.016B,267.00M,117.00M,708.00M,111.00M,1.203B,,,1.193B,4.855B,,,,,,,7.374B,-5.067B,2.307B,1.337B,584.00M,1.921B,,,984.00M,5.212B,10.07B,,1.991B,,,1.991B,,1.991B,,,140.00M,,140.00M,685.00M,2.816B,1.155B,,1.155B,136.00M,136.00M,,,121.00M,2.559B,3.85B,6.666B,,484.00M,7.453B,408.00M,4.101B,,,-964.00M,3.28B,,,
2006-09,316.00M,,316.00M,2.24B,,2.24B,264.00M,136.00M,842.00M,135.00M,1.377B,,,614.00M,4.547B,,,,,,,8.173B,-5.761B,2.412B,1.319B,628.00M,1.947B,,,867.00M,5.226B,9.773B,,2.075B,,,2.075B,,2.075B,,,118.00M,,118.00M,561.00M,2.754B,1.195B,,1.195B,156.00M,156.00M,,,130.00M,2.055B,3.406B,6.16B,,484.00M,7.375B,392.00M,4.01B,,,-758.00M,3.483B,,,
2006-06,419.00M,,419.00M,2.248B,,2.248B,249.00M,131.00M,760.00M,133.00M,1.273B,,,577.00M,4.517B,,,,,,,8.058B,-5.694B,2.364B,1.244B,553.00M,1.797B,,,824.00M,4.985B,9.502B,,1.939B,,,1.939B,,1.939B,,,139.00M,,139.00M,560.00M,2.638B,1.196B,,1.196B,122.00M,122.00M,,,129.00M,1.94B,3.258B,5.896B,,484.00M,7.364B,380.00M,4.013B,,,-738.00M,3.477B,,,
2006-03,416.00M,,416.00M,2.038B,,2.038B,223.00M,122.00M,722.00M,128.00M,1.195B,,,525.00M,4.174B,,,,,,,7.865B,-5.582B,2.283B,1.177B,488.00M,1.665B,,,796.00M,4.744B,8.918B,,1.778B,,,1.778B,,1.778B,86.00M,,86.00M,,86.00M,480.00M,2.344B,1.174B,,1.174B,92.00M,92.00M,,,127.00M,1.967B,3.233B,5.577B,,484.00M,7.163B,362.00M,3.977B,,,-818.00M,3.214B,,,
2005-12,466.00M,,466.00M,1.871B,,1.871B,213.00M,111.00M,667.00M,128.00M,1.119B,,345.00M,218.00M,4.019B,0.00,333.00M,1.201B,5.674B,452.00M,142.00M,7.802B,-5.498B,2.304B,1.166B,488.00M,1.654B,,,704.00M,4.662B,8.681B,,927.00M,,,927.00M,849.00M,1.776B,101.00M,,101.00M,,101.00M,472.00M,2.349B,1.169B,,1.169B,90.00M,90.00M,,,108.00M,1.912B,3.171B,5.52B,,484.00M,7.057B,352.00M,3.984B,,,-856.00M,3.053B,,,
2005-09,489.00M,,489.00M,1.968B,,1.968B,213.00M,120.00M,656.00M,127.00M,1.116B,,,500.00M,4.073B,,,,,,,7.809B,-5.473B,2.336B,,1.65B,1.65B,,,735.00M,4.721B,8.794B,,1.789B,,,1.789B,,1.789B,,,72.00M,,72.00M,474.00M,2.335B,1.181B,,1.181B,128.00M,128.00M,,,130.00M,1.702B,3.011B,5.346B,,484.00M,7.021B,346.00M,3.878B,,,-655.00M,3.318B,,,
2005-06,470.00M,,470.00M,1.987B,,1.987B,205.00M,120.00M,652.00M,128.00M,1.105B,,,495.00M,4.057B,,,,,,,7.749B,-5.393B,2.356B,,1.654B,1.654B,,,723.00M,4.733B,8.79B,,1.59B,,,1.59B,,1.59B,,,164.00M,,164.00M,479.00M,2.233B,1.188B,,1.188B,131.00M,131.00M,,,121.00M,1.704B,3.023B,5.256B,,484.00M,6.944B,339.00M,3.692B,,,-662.00M,3.413B,,,
2005-03,640.00M,37.00M,677.00M,1.92B,,1.92B,203.00M,124.00M,675.00M,128.00M,1.13B,,,482.00M,4.209B,,,,,,,7.812B,-5.40B,2.412B,,1.68B,1.68B,,,721.00M,4.813B,9.022B,,1.751B,,,1.751B,,1.751B,,,161.00M,,161.00M,409.00M,2.321B,1.137B,,1.137B,140.00M,140.00M,,,115.00M,1.76B,3.037B,5.358B,,484.00M,6.793B,326.00M,3.498B,,,-556.00M,3.549B,,,
2004-12,659.00M,50.00M,709.00M,1.797B,,1.797B,192.00M,118.00M,635.00M,131.00M,1.076B,,306.00M,166.00M,4.054B,0.00,346.00M,1.224B,5.707B,468.00M,110.00M,7.855B,-5.384B,2.471B,,1.713B,1.713B,,,694.00M,4.878B,8.932B,,1.651B,,,1.651B,,1.651B,,,166.00M,,166.00M,404.00M,2.221B,1.184B,,1.184B,145.00M,145.00M,,,96.00M,1.714B,3.043B,5.264B,,484.00M,6.776B,249.00M,3.455B,,,-482.00M,3.572B,,,
2004-09,561.00M,,561.00M,1.809B,,1.809B,171.00M,116.00M,594.00M,129.00M,1.01B,,,451.00M,3.831B,,,,,,,7.668B,-5.248B,2.42B,,1.66B,1.66B,,,688.00M,4.768B,8.599B,,1.663B,,,1.663B,,1.663B,,,165.00M,,165.00M,394.00M,2.222B,1.20B,,1.20B,102.00M,102.00M,,,114.00M,1.706B,3.008B,5.23B,,484.00M,6.67B,205.00M,3.405B,,,-699.00M,3.255B,,,
2004-06,583.00M,,583.00M,1.845B,,1.845B,160.00M,125.00M,612.00M,128.00M,1.025B,,,437.00M,3.89B,,,,,,,7.602B,-5.149B,2.453B,,1.651B,1.651B,,,654.00M,4.758B,8.648B,,1.641B,,,1.641B,,1.641B,,,348.00M,,348.00M,396.00M,2.385B,1.295B,,1.295B,97.00M,97.00M,,,116.00M,1.695B,3.087B,5.472B,,484.00M,6.545B,199.00M,3.409B,,,-759.00M,3.06B,,,
2004-03,466.00M,,466.00M,1.794B,,1.794B,163.00M,123.00M,630.00M,128.00M,1.044B,,,401.00M,3.705B,,,,,,,7.62B,-5.108B,2.512B,,1.674B,1.674B,,,716.00M,4.902B,8.607B,,1.594B,,,1.594B,,1.594B,,,347.00M,,347.00M,300.00M,2.241B,1.329B,,1.329B,99.00M,99.00M,,,116.00M,1.85B,3.278B,5.519B,,484.00M,6.439B,187.00M,3.418B,,,-720.00M,2.972B,,,
2003-12,499.00M,,499.00M,1.631B,,1.631B,157.00M,111.00M,601.00M,128.00M,997.00M,,254.00M,156.00M,3.537B,0.00,332.00M,1.189B,5.572B,453.00M,74.00M,7.62B,-5.054B,2.566B,,1.652B,1.652B,,,669.00M,4.887B,8.424B,,1.504B,,,1.504B,,1.504B,,,327.00M,,327.00M,308.00M,2.139B,1.339B,,1.339B,88.00M,88.00M,,,137.00M,1.81B,3.237B,5.376B,,484.00M,6.399B,158.00M,3.428B,,,-702.00M,2.911B,,,
2003-09,283.00M,,283.00M,1.689B,,1.689B,164.00M,118.00M,582.00M,126.00M,990.00M,,,409.00M,3.371B,,,,,,,7.479B,-4.936B,2.543B,,1.607B,1.607B,,,783.00M,4.933B,8.304B,,1.56B,,,1.56B,,1.56B,,,385.00M,,385.00M,291.00M,2.236B,1.356B,,1.356B,75.00M,75.00M,,,136.00M,1.979B,3.41B,5.646B,,484.00M,6.35B,133.00M,3.457B,,,-988.00M,2.522B,,,
2003-06,153.00M,,153.00M,1.773B,,1.773B,164.00M,124.00M,591.00M,125.00M,1.004B,,,393.00M,3.323B,,,,,,,7.482B,-4.872B,2.61B,,1.61B,1.61B,,,783.00M,5.003B,8.326B,,1.527B,,,1.527B,,1.527B,,,234.00M,,234.00M,289.00M,2.05B,1.684B,,1.684B,71.00M,71.00M,,,155.00M,1.936B,3.691B,5.741B,,484.00M,6.282B,131.00M,3.463B,,,-1.004B,2.43B,,,
2003-03,77.00M,,77.00M,1.649B,,1.649B,159.00M,120.00M,601.00M,124.00M,1.004B,,,365.00M,3.095B,,,,,,,7.352B,-4.741B,2.611B,,1.574B,1.574B,,,771.00M,4.956B,8.051B,,1.429B,,,1.429B,,1.429B,,,332.00M,,332.00M,183.00M,1.944B,1.699B,,1.699B,66.00M,66.00M,,,145.00M,1.961B,3.726B,5.67B,,484.00M,6.203B,130.00M,3.464B,,,-1.117B,2.236B,,,
2002-12,117.00M,,117.00M,1.486B,,1.486B,157.00M,113.00M,548.00M,124.00M,942.00M,,219.00M,181.00M,2.945B,0.00,309.00M,1.126B,5.273B,419.00M,143.00M,7.27B,-4.638B,2.632B,,1.561B,1.561B,,,725.00M,4.918B,7.863B,,1.378B,,,1.378B,,1.378B,,,352.00M,,352.00M,190.00M,1.92B,1.689B,10.00M,1.699B,64.00M,64.00M,,,131.00M,1.899B,3.662B,5.582B,,484.00M,6.197B,126.00M,3.471B,-340.00M,-846.00M,-1.186B,2.15B,,,
2002-09,163.00M,,163.00M,1.559B,,1.559B,168.00M,,670.00M,119.00M,957.00M,,215.00M,156.00M,3.05B,,,,,,,7.232B,-4.626B,2.606B,,1.532B,1.532B,,,1.394B,5.532B,8.582B,,1.392B,,,1.392B,,1.392B,,,494.00M,,494.00M,182.00M,2.068B,1.707B,,1.707B,346.00M,346.00M,,,134.00M,1.554B,3.607B,5.675B,,484.00M,6.174B,125.00M,3.472B,-448.00M,-90.00M,-538.00M,2.773B,,,
2002-06,136.00M,,136.00M,1.64B,,1.64B,166.00M,,675.00M,121.00M,962.00M,,222.00M,134.00M,3.094B,,,,,,,7.284B,-4.61B,2.674B,,1.549B,1.549B,,,1.436B,5.659B,8.753B,,1.411B,,,1.411B,,1.411B,,,627.00M,,627.00M,206.00M,2.244B,1.69B,,1.69B,349.00M,349.00M,,,134.00M,1.611B,3.65B,5.894B,,484.00M,6.099B,120.00M,3.479B,,,-499.00M,2.725B,,,
2002-03,72.00M,,72.00M,1.533B,,1.533B,173.00M,,657.00M,118.00M,948.00M,,,288.00M,2.841B,,,,,,,7.161B,-4.466B,2.695B,,1.506B,1.506B,,,1.445B,5.646B,8.487B,,1.333B,,,1.333B,,1.333B,,,735.00M,,735.00M,,2.068B,1.679B,,1.679B,523.00M,523.00M,,,128.00M,1.052B,3.254B,5.322B,,484.00M,6.514B,113.00M,3.489B,,,-585.00M,3.037B,,,
2001-12,108.00M,,108.00M,1.416B,,1.416B,166.00M,,622.00M,116.00M,904.00M,,155.00M,120.00M,2.703B,0.00,301.00M,1.099B,5.192B,384.00M,177.00M,7.153B,-4.401B,2.752B,,1.542B,1.542B,,,1.455B,5.749B,8.452B,,1.259B,,,1.259B,,1.259B,,,696.00M,,696.00M,,1.955B,1.699B,,1.699B,552.00M,552.00M,,,122.00M,1.044B,3.295B,5.25B,,484.00M,6.551B,109.00M,3.496B,-460.00M,-108.00M,-568.00M,3.08B,,,
2001-09,159.00M,,159.00M,1.534B,,1.534B,181.00M,,706.00M,119.00M,1.006B,,,285.00M,2.984B,,,,,,,7.143B,-4.352B,2.791B,,1.574B,1.574B,,,1.479B,5.844B,8.828B,,1.368B,,,1.368B,,1.368B,,,944.00M,,944.00M,,2.312B,1.72B,,1.72B,555.00M,555.00M,,,127.00M,1.011B,3.286B,5.598B,,484.00M,6.538B,109.00M,3.498B,-368.00M,-162.00M,-530.00M,3.103B,,,
2001-06,118.00M,,118.00M,1.637B,,1.637B,191.00M,,766.00M,119.00M,1.076B,,,305.00M,3.136B,,,,,,,7.06B,-4.259B,2.801B,,1.57B,1.57B,,,1.445B,5.816B,8.952B,,1.389B,,,1.389B,,1.389B,,,1.116B,,1.116B,,2.505B,1.703B,,1.703B,539.00M,539.00M,,,135.00M,1.008B,3.25B,5.755B,,484.00M,6.515B,109.00M,3.497B,-383.00M,-166.00M,-549.00M,3.062B,,,
2001-03,78.00M,,78.00M,1.617B,,1.617B,207.00M,,819.00M,115.00M,1.141B,,,325.00M,3.161B,,,,,,,7.072B,-4.223B,2.849B,,1.595B,1.595B,,,1.456B,5.90B,9.061B,,1.374B,,,1.374B,,1.374B,,,1.284B,,1.284B,,2.658B,1.701B,,1.701B,547.00M,547.00M,,,131.00M,1.01B,3.258B,5.916B,,484.00M,6.43B,106.00M,3.505B,-365.00M,-136.00M,-501.00M,3.014B,,,
2000-12,111.00M,,111.00M,1.563B,,1.563B,198.00M,,807.00M,116.00M,1.121B,,155.00M,143.00M,3.093B,0.00,303.00M,1.076B,5.02B,371.00M,319.00M,7.089B,-4.148B,2.941B,,1.648B,1.648B,,,1.443B,6.032B,9.125B,,764.00M,,,764.00M,618.00M,1.382B,,,1.161B,,1.161B,,2.543B,1.80B,10.00M,1.81B,543.00M,543.00M,,,128.00M,1.004B,3.357B,5.90B,,484.00M,6.444B,102.00M,3.508B,-282.00M,-143.00M,-425.00M,3.097B,,,
2000-09,135.00M,,135.00M,1.652B,,1.652B,202.00M,,755.00M,113.00M,1.07B,,,286.00M,3.143B,,,,,,,6.978B,-4.078B,2.90B,,1.638B,1.638B,,,1.348B,5.886B,9.029B,,1.436B,,,1.436B,,1.436B,,,1.024B,,1.024B,,2.46B,1.82B,,1.82B,480.00M,480.00M,,,134.00M,996.00M,3.296B,5.756B,,484.00M,6.385B,105.00M,3.383B,-307.00M,-145.00M,-452.00M,3.139B,,,
2000-06,144.00M,,144.00M,1.724B,,1.724B,212.00M,,742.00M,113.00M,1.067B,,,256.00M,3.191B,,,,,,,6.962B,-4.042B,2.92B,,1.696B,1.696B,,,1.294B,5.91B,9.101B,,1.463B,,,1.463B,,1.463B,,,1.018B,,1.018B,,2.481B,1.824B,,1.824B,461.00M,461.00M,,,105.00M,1.004B,3.289B,5.77B,,484.00M,6.303B,107.00M,3.263B,-251.00M,-154.00M,-405.00M,3.226B,,,
2000-03,145.00M,,145.00M,1.713B,,1.713B,211.00M,,743.00M,113.00M,1.067B,,,252.00M,3.177B,,,,,,,6.901B,-3.983B,2.918B,,1.722B,1.722B,,,1.255B,5.895B,9.072B,,1.403B,,,1.403B,,1.403B,,,1.105B,,1.105B,,2.508B,1.825B,,1.825B,490.00M,490.00M,,,102.00M,1.01B,3.325B,5.833B,,484.00M,6.168B,107.00M,3.264B,-218.00M,-140.00M,-358.00M,3.137B,,,
1999-12,158.00M,,158.00M,1.594B,,1.594B,189.00M,,716.00M,111.00M,1.016B,,165.00M,129.00M,3.062B,0.00,308.00M,1.058B,4.864B,348.00M,281.00M,6.859B,-3.926B,2.933B,,1.662B,1.662B,,,1.257B,5.852B,8.914B,,755.00M,,,755.00M,675.00M,1.43B,,,954.00M,,954.00M,,2.384B,1.826B,10.00M,1.836B,520.00M,520.00M,,,98.00M,970.00M,3.326B,5.71B,,484.00M,6.098B,104.00M,3.268B,-162.00M,-150.00M,-312.00M,3.106B,,,
1999-09,164.00M,,164.00M,1.592B,,1.592B,187.00M,,719.00M,114.00M,1.02B,,,365.00M,3.141B,,,,,,,6.757B,-3.896B,2.861B,,1.573B,1.573B,,,1.175B,5.609B,8.75B,,1.379B,,,1.379B,,1.379B,,,872.00M,,872.00M,40.00M,2.291B,1.849B,,1.849B,495.00M,495.00M,,,101.00M,1.013B,3.357B,5.648B,,484.00M,6.001B,105.00M,3.269B,-143.00M,-177.00M,-320.00M,3.001B,,,
1999-06,96.00M,,96.00M,1.50B,,1.50B,175.00M,,636.00M,104.00M,915.00M,,,268.00M,2.779B,,,,,,,6.792B,-3.916B,2.876B,,571.00M,571.00M,,,1.287B,4.734B,7.513B,,1.242B,,,1.242B,,1.242B,,,711.00M,,711.00M,36.00M,1.989B,1.051B,,1.051B,451.00M,451.00M,,,91.00M,996.00M,2.498B,4.487B,,484.00M,5.968B,104.00M,3.271B,-172.00M,-178.00M,-350.00M,2.935B,,,
1999-03,82.00M,,82.00M,1.438B,,1.438B,187.00M,,656.00M,105.00M,948.00M,,,257.00M,2.725B,,,,,,,6.734B,-3.86B,2.874B,,586.00M,586.00M,,,1.25B,4.71B,7.435B,,1.202B,,,1.202B,,1.202B,,,777.00M,,777.00M,66.00M,2.045B,1.066B,,1.066B,434.00M,434.00M,,,97.00M,996.00M,2.496B,4.541B,,484.00M,5.849B,106.00M,3.276B,-193.00M,-173.00M,-366.00M,2.797B,,,
1998-12,128.00M,,128.00M,1.366B,,1.366B,174.00M,,638.00M,105.00M,917.00M,,146.00M,103.00M,2.66B,0.00,317.00M,1.194B,4.697B,323.00M,208.00M,6.739B,-3.834B,2.905B,,724.00M,724.00M,,,1.098B,4.727B,7.387B,,630.00M,,,630.00M,645.00M,1.275B,,,637.00M,,637.00M,,1.912B,1.047B,34.00M,1.081B,440.00M,440.00M,,,87.00M,987.00M,2.508B,4.42B,,484.00M,5.791B,105.00M,3.198B,-122.00M,-180.00M,-302.00M,2.88B,,,
1998-09,264.00M,,264.00M,1.354B,,1.354B,160.00M,,605.00M,105.00M,870.00M,,,228.00M,2.716B,,,,,,,6.548B,-3.742B,2.806B,,,,,,1.611B,4.417B,7.133B,,1.164B,,,1.164B,,1.164B,,,335.00M,,335.00M,31.00M,1.53B,1.203B,,1.203B,429.00M,429.00M,,,86.00M,964.00M,2.596B,4.126B,,484.00M,5.692B,108.00M,3.06B,-120.00M,-183.00M,-303.00M,2.921B,,,
1998-06,151.00M,,151.00M,1.509B,,1.509B,166.00M,,622.00M,114.00M,902.00M,,,249.00M,2.811B,,,,,,,6.902B,-4.013B,2.889B,,,,,,1.524B,4.413B,7.224B,,1.245B,,,1.245B,,1.245B,,,512.00M,,512.00M,35.00M,1.792B,1.223B,,1.223B,445.00M,445.00M,,,86.00M,975.00M,2.643B,4.435B,,484.00M,5.508B,108.00M,3.057B,-146.00M,-194.00M,-340.00M,2.703B,,,
1998-03,141.00M,,141.00M,1.443B,,1.443B,159.00M,,625.00M,114.00M,898.00M,,,247.00M,2.729B,,,,,,,6.816B,-3.938B,2.878B,,,,,,1.499B,4.377B,7.106B,,1.212B,,,1.212B,,1.212B,,,522.00M,,522.00M,84.00M,1.818B,1.23B,,1.23B,409.00M,409.00M,,,87.00M,955.00M,2.594B,4.412B,,484.00M,5.371B,103.00M,3.029B,-147.00M,-175.00M,-322.00M,2.607B,,,
1997-12,129.00M,,129.00M,1.353B,,1.353B,141.00M,,608.00M,114.00M,863.00M,,118.00M,121.00M,2.584B,0.00,304.00M,1.188B,4.802B,291.00M,173.00M,6.758B,-3.903B,2.855B,,,,,,1.429B,4.284B,6.868B,,646.00M,,,646.00M,564.00M,1.21B,,,444.00M,,444.00M,8.00M,1.662B,1.216B,41.00M,1.257B,406.00M,406.00M,,,82.00M,952.00M,2.615B,4.277B,,484.00M,5.239B,99.00M,2.99B,-136.00M,-187.00M,-323.00M,2.509B,,,
1997-09,90.00M,,90.00M,1.301B,,1.301B,146.00M,,559.00M,114.00M,819.00M,,,201.00M,2.411B,,,,,,,6.716B,-3.87B,2.846B,,,,,,1.281B,4.127B,6.538B,,1.081B,,,1.081B,,1.081B,,,566.00M,,566.00M,9.00M,1.656B,990.00M,,990.00M,411.00M,411.00M,,,82.00M,916.00M,2.317B,3.973B,,484.00M,5.139B,101.00M,2.957B,-99.00M,-185.00M,-284.00M,2.483B,,,
1997-06,105.00M,,105.00M,1.376B,,1.376B,139.00M,,553.00M,115.00M,807.00M,,,192.00M,2.48B,,,,,,,6.667B,-3.806B,2.861B,,,,,,1.225B,4.086B,6.566B,,1.095B,,,1.095B,,1.095B,,,598.00M,,598.00M,38.00M,1.731B,980.00M,,980.00M,417.00M,417.00M,,,80.00M,894.00M,2.291B,4.022B,,484.00M,5.026B,99.00M,2.865B,-89.00M,-191.00M,-280.00M,2.464B,,,
1997-03,109.50M,,109.50M,1.345B,,1.345B,135.80M,,563.80M,120.00M,819.60M,,,193.40M,2.467B,,,,,,,6.644B,-3.773B,2.871B,,,,,,1.214B,4.086B,6.553B,,1.055B,,,1.055B,,1.055B,,,590.20M,,590.20M,81.20M,1.727B,1.008B,,1.008B,411.40M,411.40M,,,77.30M,876.60M,2.296B,4.023B,,484.30M,4.866B,97.60M,2.758B,-67.70M,-169.70M,-237.40M,2.453B,,,
1996-12,70.00M,,70.00M,1.226B,,1.226B,134.00M,,548.00M,115.00M,797.00M,,116.00M,87.00M,2.296B,0.00,296.00M,1.185B,4.748B,247.00M,212.00M,6.688B,-3.775B,2.913B,,,,,,1.232B,4.145B,6.441B,,602.00M,,,602.00M,504.00M,1.106B,,,648.00M,,648.00M,15.00M,1.769B,806.00M,28.00M,834.00M,419.00M,419.00M,,,76.00M,860.00M,2.113B,3.882B,,484.00M,4.76B,97.00M,2.667B,-10.00M,-181.00M,-191.00M,2.483B,,,
1996-09,104.40M,,104.40M,1.279B,,1.279B,137.50M,,524.40M,117.20M,779.10M,,,189.90M,2.352B,,,,,,,6.680B,-3.788B,2.892B,,,,,,1.182B,4.074B,6.426B,,1.071B,,,1.071B,,1.071B,,,584.70M,,584.70M,37.20M,1.693B,843.10M,,843.10M,379.30M,379.30M,,,74.60M,872.90M,2.095B,3.789B,,484.30M,4.666B,92.20M,2.469B,-13.40M,-197.00M,-210.40M,2.562B,,,
1996-06,121.90M,,121.90M,1.389B,,1.389B,130.70M,,498.30M,117.60M,746.60M,,,195.00M,2.452B,,,,,,,6.603B,-3.740B,2.864B,,,,,,1.186B,4.049B,6.502B,,1.080B,,,1.080B,,1.080B,,,761.20M,,761.20M,18.60M,1.860B,848.60M,,848.60M,371.60M,371.60M,,,74.60M,865.60M,2.086B,3.946B,,484.30M,4.533B,90.90M,2.410B,-14.90M,-202.30M,-217.20M,2.481B,,,
1996-03,89.00M,,89.00M,1.339B,,1.339B,134.70M,,530.60M,114.50M,779.80M,,,193.70M,2.402B,,,,,,,6.533B,-3.683B,2.85B,,,,,,1.095B,3.945B,6.347B,,1.067B,,,1.067B,,1.067B,,,689.40M,,689.40M,97.20M,1.853B,712.40M,,712.40M,346.00M,346.00M,,,73.50M,861.80M,1.920B,3.774B,,484.30M,4.364B,88.70M,2.250B,-4.90M,-182.30M,-187.20M,2.500B,,,
1995-12,106.00M,,106.00M,1.245B,,1.245B,121.00M,,505.00M,112.00M,738.00M,,120.00M,67.00M,2.276B,0.00,288.00M,1.13B,4.618B,233.00M,195.00M,6.464B,-3.629B,2.835B,,,,,,1.083B,3.918B,6.194B,,583.00M,,,583.00M,520.00M,1.103B,,,485.00M,,485.00M,41.00M,1.629B,707.00M,29.00M,736.00M,355.00M,355.00M,,,68.00M,837.00M,1.928B,3.557B,,484.00M,4.249B,81.00M,2.06B,4.00M,-190.00M,-186.00M,2.569B,,,
