,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2015-06,73.70M,,,-3.20M,8.40M,5.20M,15.00M,10.40M,25.40M,25.40M,4.60M,17.40M,10.70M,-2.70M,-2.70M,-0.90M,-12.40M,,-13.10M,2.10M,,-5.80M,-30.10M,104.20M,,-12.10M,,-12.10M,,0.00,,-0.90M,-13.00M,,,-150.10M,-150.10M,,-6.90M,-6.90M,-43.80M,-43.80M,4.40M,2.40M,-194.00M,,299.70M,-102.80M,6.30M,203.20M,,,-127.10M,-23.00M,-6.90M,73.10M,13.10M,,AOR,Restated
2015-03,107.20M,,,-2.30M,,-2.30M,14.60M,11.40M,26.00M,26.00M,6.00M,,1.70M,-8.00M,3.50M,-22.00M,-15.20M,,45.80M,-1.30M,,0.10M,7.40M,144.20M,,-21.90M,,-21.90M,,-74.90M,,-1.10M,-97.90M,,,127.10M,127.10M,,-256.20M,-256.20M,-43.70M,-43.70M,11.30M,7.60M,-153.90M,,423.00M,-107.60M,-15.70M,299.70M,,,127.10M,,-256.20M,3.70M,1.40M,,AOR,Restated
2014-12,106.60M,,,-3.70M,0.00,-3.70M,13.80M,9.70M,23.50M,23.50M,2.20M,0.80M,2.00M,-3.90M,2.10M,-6.80M,11.80M,,-3.90M,-2.70M,,-0.50M,-2.10M,131.60M,,-34.30M,,-34.30M,,0.40M,,-0.90M,-34.80M,,,-257.10M,42.70M,,-43.80M,-43.80M,-41.50M,-41.50M,8.20M,-0.60M,-35.00M,,370.20M,61.80M,-9.00M,423.00M,,,49.40M,-6.70M,-43.80M,59.30M,11.50M,,AOR,Restated
2014-09,115.90M,,,-3.40M,0.00,-3.40M,13.90M,8.10M,22.00M,22.00M,1.60M,0.10M,2.20M,-2.20M,1.30M,15.20M,8.80M,,20.50M,15.90M,,-0.10M,60.30M,201.90M,,-19.10M,,-19.10M,,-216.10M,,-0.40M,-235.60M,,,251.30M,251.30M,,0.00,0.00,-41.40M,-41.40M,6.60M,2.20M,218.70M,,196.90M,185.00M,-11.70M,370.20M,,,250.40M,0.90M,0.00,32.90M,1.70M,,AOR,Restated
2014-06,88.80M,,,-2.90M,0.00,-2.90M,14.70M,8.20M,22.90M,22.90M,3.70M,5.50M,10.50M,-6.30M,-1.10M,3.60M,-4.50M,,-6.10M,-11.10M,,-0.70M,-18.80M,104.40M,,-10.80M,,-10.80M,,0.00,,-0.60M,-11.40M,,,-0.40M,-0.40M,,-175.00M,-175.00M,-42.10M,-42.10M,10.70M,6.40M,-200.40M,,300.00M,-107.40M,4.30M,196.90M,,,,-0.40M,-175.00M,77.60M,11.20M,,AOR,Restated
2014-03,102.60M,,,-1.60M,,-1.60M,14.70M,8.10M,22.80M,22.80M,5.20M,,2.30M,-6.10M,0.90M,-13.80M,-14.30M,,9.40M,-2.70M,,-4.50M,-25.90M,102.40M,,-6.30M,,-6.30M,,0.00,,-0.30M,-6.60M,,,-0.50M,-0.50M,,-260.00M,-260.00M,-42.50M,-42.50M,7.20M,5.90M,-289.90M,,496.90M,-194.10M,-2.80M,300.00M,,,0.00,-0.50M,-260.00M,11.70M,1.30M,,AOR,Restated
2013-12,92.20M,,,-1.40M,,-1.40M,14.80M,7.80M,22.60M,22.60M,-0.80M,7.30M,2.40M,-3.30M,0.90M,-6.80M,7.50M,,14.90M,2.00M,,-17.70M,-0.10M,123.00M,,-36.80M,,-36.80M,,5.70M,,-6.90M,-38.00M,,-10.10M,0.10M,-10.00M,,-0.10M,-0.10M,-38.90M,-38.90M,5.80M,13.40M,-29.80M,,445.50M,55.20M,-3.80M,496.90M,,,-10.90M,0.90M,-0.10M,48.10M,11.50M,,AOR,Restated
2013-09,107.90M,,,-1.90M,,-1.90M,14.10M,7.50M,21.60M,21.60M,6.30M,0.60M,2.30M,-1.60M,-0.20M,6.30M,-1.20M,,61.50M,15.70M,,-2.70M,79.60M,215.60M,,-10.20M,,-10.20M,,-1.20M,,-2.00M,-13.40M,,-0.30M,-0.90M,-1.20M,,0.00,0.00,-38.80M,-38.80M,3.50M,1.60M,-34.90M,,274.10M,167.30M,4.10M,445.50M,,,0.00,-1.20M,0.00,34.00M,1.70M,,AOR,Restated
2013-06,86.60M,,,1.10M,,1.10M,15.00M,7.70M,22.70M,22.70M,2.80M,0.50M,10.60M,-4.70M,1.50M,0.20M,1.10M,,-21.50M,-15.20M,,1.60M,-33.80M,88.70M,,-9.70M,,-9.70M,,-1.30M,19.70M,-1.10M,7.60M,,-0.30M,-48.60M,-48.90M,,0.30M,0.30M,-38.90M,-38.90M,6.90M,4.40M,-76.20M,,259.60M,20.10M,-5.60M,274.10M,,,0.00,-48.90M,0.30M,86.90M,11.70M,,AOR,Restated
2013-03,107.70M,,,-0.60M,,-0.60M,15.80M,7.80M,23.60M,23.60M,2.80M,,1.70M,-3.50M,0.30M,-30.90M,-14.70M,,-10.80M,-4.00M,,-1.40M,-61.80M,72.30M,,-10.40M,,-10.40M,,-3.20M,-19.70M,,-33.30M,,10.70M,-50.00M,-39.30M,,-50.30M,-50.30M,-38.60M,-38.60M,5.80M,3.50M,-118.90M,,343.00M,-79.90M,-3.50M,259.60M,,,10.90M,-50.20M,-50.30M,50.20M,1.50M,,AOR,Restated
