,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2015-02,693.60M,704.30M,211.00M,493.30M,229.00M,,0.10M,2.00M,1.90M,,229.00M,264.30M,2.00M,0.10M,1.90M,-0.30M,1.90M,265.90M,96.50M,169.40M,,169.40M,169.40M,292.60M,26.60M,266.00M,,0.47,,0.47,0.47,,0.46,,0.46,0.46,,363.20M,365.00M,0.38,,AOR,Restated
2014-11,665.90M,676.30M,199.10M,477.20M,207.00M,,0.30M,2.00M,1.70M,,207.00M,270.20M,2.00M,0.30M,1.70M,-0.30M,1.70M,271.60M,98.60M,173.00M,,173.00M,173.00M,297.90M,26.00M,271.90M,,0.48,,0.48,0.48,,0.47,,0.47,0.47,,363.00M,364.60M,0.38,,AOR,Restated
2014-08,656.60M,666.80M,194.30M,472.50M,205.00M,,0.30M,1.90M,1.60M,,205.00M,267.50M,1.90M,0.30M,1.60M,-0.20M,1.60M,268.90M,97.60M,171.30M,,171.30M,171.30M,295.70M,26.50M,269.20M,,0.47,,0.47,0.47,,0.47,,0.47,0.47,,363.10M,364.70M,0.38,,AOR,Restated
2014-05,628.80M,639.00M,198.00M,441.00M,212.70M,,0.10M,1.70M,1.60M,,212.70M,228.30M,1.70M,0.10M,1.60M,-0.20M,1.60M,229.70M,83.80M,145.90M,,145.90M,145.90M,258.10M,28.30M,229.80M,,0.40,,0.40,0.40,,0.40,,0.40,0.40,,363.60M,365.50M,0.35,,AOR,Restated
2014-02,639.90M,650.40M,191.00M,459.40M,208.70M,,0.20M,1.90M,1.70M,,208.70M,250.70M,1.90M,0.20M,1.70M,-0.20M,1.70M,252.20M,92.10M,160.10M,,160.10M,160.10M,278.70M,26.30M,252.40M,,0.44,,0.44,0.44,,0.44,,0.44,0.44,,364.20M,365.80M,0.35,,AOR,Restated
2013-11,606.40M,616.40M,173.60M,442.80M,194.20M,,0.40M,1.70M,1.30M,,194.20M,248.60M,1.70M,0.40M,1.30M,0.00,1.30M,249.90M,91.20M,158.70M,,158.70M,158.70M,276.30M,26.00M,250.30M,,0.43,,0.43,0.43,,0.43,,0.43,0.43,,364.90M,366.40M,0.35,,AOR,Restated
2013-08,603.10M,613.10M,169.90M,443.20M,188.10M,,0.40M,1.60M,1.20M,,188.10M,255.10M,1.60M,0.40M,1.20M,0.00,1.20M,256.30M,93.50M,162.80M,,162.80M,162.80M,281.10M,24.40M,256.70M,,0.45,,0.45,0.45,,0.44,,0.44,0.44,,365.30M,366.70M,0.35,,AOR,Restated
2013-05,575.30M,585.30M,173.00M,412.30M,200.50M,,0.00,1.40M,1.40M,,200.50M,211.80M,1.40M,0.00,1.40M,0.00,1.40M,213.20M,89.70M,123.50M,,123.50M,123.50M,238.10M,24.90M,213.20M,,0.34,,0.34,0.34,,0.34,,0.34,0.34,,364.70M,366.20M,0.00,,AOR,Restated
2013-02,582.40M,593.30M,171.20M,422.10M,197.10M,,0.00,1.40M,1.40M,,197.10M,225.00M,1.40M,0.00,1.40M,0.00,1.40M,226.40M,81.90M,144.50M,,144.50M,144.50M,251.40M,25.00M,226.40M,,0.40,,0.40,0.40,,0.40,,0.40,0.40,,363.80M,364.60M,0.00,,AOR,Restated
2012-11,559.40M,569.40M,163.60M,405.80M,175.80M,,0.00,1.90M,1.90M,,175.80M,230.00M,1.90M,0.00,1.90M,,1.90M,231.90M,84.00M,147.90M,,147.90M,147.90M,256.10M,24.20M,231.90M,,0.41,,0.41,0.41,,0.41,,0.41,0.41,,363.60M,364.40M,0.33,,AOR,Restated
2012-08,568.10M,578.20M,163.50M,414.70M,176.70M,,0.10M,2.00M,1.90M,,176.70M,238.00M,2.00M,0.10M,1.90M,,1.90M,239.90M,86.80M,153.10M,,153.10M,153.10M,264.10M,24.10M,240.00M,,0.42,,0.42,0.42,,0.42,,0.42,0.42,,363.00M,363.80M,0.32,,AOR,Restated
2012-05,540.70M,551.50M,169.10M,382.40M,186.50M,,,,,,186.50M,195.90M,,,,,,197.70M,74.40M,123.30M,,123.30M,123.30M,227.30M,24.90M,202.40M,,0.34,0.00,0.34,0.34,,0.34,0.00,0.34,0.34,,362.40M,363.30M,0.32,,AOR,Restated
2012-02,558.50M,569.50M,174.20M,395.30M,184.90M,,,,,,184.90M,210.40M,,,,1.60M,,212.00M,76.60M,135.40M,,135.40M,134.38M,235.00M,24.60M,210.40M,,0.37,,0.3672,0.37,,0.37,,0.3672,0.37,,362.50M,363.10M,0.32,,AOR,Restated
2011-11,535.00M,535.00M,162.70M,372.30M,165.10M,1.50M,,10.70M,10.70M,,165.10M,207.20M,10.70M,,10.70M,1.50M,10.70M,219.40M,79.00M,140.40M,,140.40M,139.44M,231.30M,24.10M,207.20M,,0.39,0.00,0.3874,0.39,,0.39,0.00,0.3874,0.39,,362.40M,362.80M,0.32,,AOR,Restated
2011-08,552.00M,563.10M,164.10M,399.00M,169.30M,,,,,,169.30M,229.70M,,,,1.50M,,231.20M,82.30M,148.90M,,148.90M,147.93M,253.90M,24.20M,229.70M,,0.41,,0.4073,0.41,,0.41,,0.4073,0.41,,362.20M,362.80M,0.31,,AOR,Restated
2011-05,510.40M,558.50M,165.70M,392.80M,174.20M,,,,,,174.20M,218.60M,,,,1.40M,,184.20M,65.30M,118.90M,,118.90M,118.90M,243.00M,24.40M,218.60M,,0.33,0.00,0.33,0.33,,0.33,0.00,0.33,0.33,,362.10M,363.00M,0.31,,AOR,Restated
2011-02,519.60M,519.60M,166.60M,353.00M,165.80M,1.50M,,11.70M,11.70M,,165.80M,187.20M,11.70M,,11.70M,1.50M,11.70M,200.40M,69.80M,130.60M,,130.60M,129.62M,210.00M,22.80M,187.20M,,0.36,0.00,0.3573,0.36,,0.36,0.00,0.3573,0.36,,361.80M,362.60M,0.31,,AOR,Restated
2010-11,500.00M,500.00M,159.00M,341.00M,149.10M,1.50M,,12.00M,12.00M,,149.10M,191.90M,12.00M,,12.00M,1.50M,12.00M,205.40M,71.50M,133.90M,,133.90M,132.92M,212.50M,20.60M,191.90M,,0.37,0.00,0.3673,0.37,,0.37,0.00,0.3673,0.37,,361.70M,362.10M,0.31,,AOR,Restated
2010-08,506.20M,506.20M,160.20M,346.00M,157.30M,1.40M,,12.10M,12.10M,,157.30M,188.70M,12.10M,,12.10M,1.40M,12.10M,202.20M,70.30M,131.90M,,131.90M,130.99M,209.60M,20.90M,188.70M,,0.36,0.00,0.3575,0.36,,0.36,0.00,0.3575,0.36,,361.60M,362.00M,0.31,,AOR,Restated
2010-05,482.50M,537.50M,163.10M,374.40M,159.50M,,,,,,159.50M,214.90M,,,,1.30M,,174.90M,59.40M,115.50M,,115.50M,115.50M,236.50M,21.60M,214.90M,,0.32,,0.32,0.32,,0.32,,0.32,0.32,,361.70M,362.00M,0.31,,AOR,Restated
2010-02,493.80M,493.80M,164.50M,329.30M,175.10M,1.20M,,14.00M,14.00M,,175.10M,154.20M,14.00M,,14.00M,1.20M,14.00M,169.40M,57.40M,112.00M,,112.00M,111.21M,175.80M,21.60M,154.20M,,0.31,0.00,0.3078,0.31,,0.31,0.00,0.3078,0.31,,361.40M,361.90M,0.31,,AOR,Restated
2009-11,483.00M,483.00M,162.60M,320.40M,140.90M,1.10M,,13.60M,13.60M,,140.90M,179.50M,13.60M,,13.60M,1.10M,13.60M,194.20M,68.40M,125.80M,,125.80M,125.09M,201.20M,21.70M,179.50M,,0.35,0.00,0.3480,0.35,,0.35,0.00,0.3480,0.35,,361.40M,361.70M,0.31,,AOR,Restated
2009-08,486.50M,486.50M,163.30M,323.20M,147.00M,0.90M,,13.70M,13.70M,,147.00M,176.20M,13.70M,,13.70M,0.90M,13.70M,190.80M,67.20M,123.60M,,123.60M,123.02M,197.80M,21.60M,176.20M,,0.34,0.00,0.3384,0.34,,0.34,0.00,0.3384,0.34,,361.20M,361.40M,0.31,,AOR,Restated
2009-05,480.86M,480.86M,166.87M,313.99M,154.75M,0.825M,,15.07M,15.07M,,154.75M,159.24M,15.07M,,15.07M,0.825M,15.07M,175.14M,61.34M,113.80M,,113.80M,113.27M,181.85M,22.61M,159.24M,,0.32,0.00,0.3185,0.32,,0.32,0.00,0.3185,0.32,,360.90M,361.04M,0.31,,AOR,Restated
2009-02,512.20M,512.20M,174.50M,337.69M,156.68M,1.067M,,16.38M,16.38M,,156.68M,181.02M,16.38M,,16.38M,1.067M,16.38M,198.47M,67.68M,130.79M,,130.79M,130.09M,202.50M,21.49M,181.02M,,0.36,0.00,0.3581,0.36,,0.36,0.00,0.3581,0.36,,360.82M,360.91M,0.31,,,Restated
2008-11,504.38M,504.38M,170.68M,333.71M,141.58M,1.932M,,19.78M,19.78M,,141.58M,192.12M,19.78M,,19.78M,1.932M,19.78M,213.83M,73.59M,140.24M,,140.24M,138.97M,213.11M,20.99M,192.12M,,0.39,0.00,0.3865,0.39,,0.39,0.00,0.3865,0.39,,360.81M,360.98M,0.31,,,Restated
2008-08,509.87M,509.87M,168.47M,341.40M,144.03M,3.051M,,24.22M,24.22M,,144.03M,197.37M,24.22M,,24.22M,3.051M,24.22M,224.64M,75.93M,148.71M,,148.71M,146.69M,218.05M,20.69M,197.37M,,0.41,0.00,0.4044,0.41,,0.41,0.00,0.4044,0.41,,360.63M,361.04M,0.31,,,Restated
2008-05,487.84M,387.44M,167.97M,219.47M,153.45M,3.211M,,,,,153.45M,66.02M,,,,3.211M,,201.02M,65.53M,135.48M,,135.48M,133.32M,74.71M,8.692M,66.02M,,0.37,0.00,0.3640,0.37,,0.37,0.00,0.3640,0.37,,361.24M,361.87M,0.30,,,Restated
2008-02,494.84M,532.17M,171.00M,361.18M,150.78M,3.597M,,,,,150.78M,210.40M,,,,3.597M,,214.00M,71.52M,142.47M,,142.47M,140.08M,235.62M,25.23M,210.40M,,0.39,0.00,0.3834,0.39,,0.39,0.00,0.3834,0.39,,361.18M,361.77M,0.30,,,
2007-11,477.04M,507.79M,162.45M,345.34M,135.86M,7.503M,,,,,135.86M,209.48M,,,,7.503M,,216.98M,69.87M,147.11M,,147.11M,142.02M,233.08M,23.60M,209.48M,,0.40,0.00,0.3862,0.40,,0.40,0.00,0.3863,0.40,,369.91M,371.40M,0.30,,,
2007-08,474.82M,507.13M,159.32M,347.82M,137.23M,12.24M,,,,,137.23M,210.59M,,,,12.24M,,222.82M,71.75M,151.08M,,151.08M,142.78M,233.68M,23.10M,210.59M,,0.40,0.00,0.3782,0.40,,0.40,0.00,0.3783,0.40,,380.54M,382.26M,0.30,,,
2007-05,450.51M,584.61M,157.98M,426.62M,169.48M,11.87M,,,,,266.74M,159.88M,,,,11.87M,,171.75M,50.65M,121.10M,,121.10M,112.73M,184.38M,24.50M,159.88M,,0.31,0.00,0.2881,0.31,,0.31,0.00,0.2882,0.31,,381.96M,383.51M,0.21,,,
2007-02,447.57M,447.57M,158.54M,289.02M,153.76M,10.49M,,,,-37.72M,116.04M,172.98M,,,,10.49M,,183.48M,56.88M,126.60M,,126.60M,119.36M,198.10M,25.12M,172.98M,,0.33,0.00,0.3110,0.33,,0.33,0.00,0.3111,0.33,,381.48M,383.34M,0.21,,,
2006-11,425.25M,454.96M,150.87M,304.08M,121.76M,9.941M,,,,,121.76M,182.33M,,,,9.941M,,192.27M,59.60M,132.67M,,132.67M,125.81M,206.49M,24.16M,182.33M,,0.35,0.00,0.3320,0.35,,0.35,0.00,0.3321,0.35,,380.75M,382.43M,0.21,,,
2006-08,429.54M,459.37M,148.08M,311.29M,124.94M,9.416M,,,,,124.94M,186.35M,,,,9.416M,,195.77M,60.69M,135.08M,,135.08M,128.58M,209.56M,23.21M,186.35M,,0.36,0.00,0.3429,0.36,,0.35,0.00,0.3330,0.35,,380.36M,381.88M,0.16,,,
2006-05,408.47M,440.48M,146.00M,294.48M,126.94M,8.426M,,,,,126.76M,167.73M,,,,8.426M,,175.97M,53.23M,122.74M,,122.74M,116.86M,192.20M,24.47M,167.73M,,0.33,0.00,0.3145,0.33,,0.32,0.00,0.3046,0.32,,380.12M,382.24M,0.16,,,
2006-02,401.88M,430.59M,145.49M,285.10M,124.50M,6.358M,,,,,124.50M,160.60M,,,,6.358M,,166.96M,52.42M,114.53M,,114.53M,110.17M,184.80M,24.20M,160.60M,,0.30,0.00,0.2885,0.30,,0.30,0.00,0.2886,0.30,,379.68M,381.75M,0.16,,,
2005-11,379.03M,399.82M,135.35M,264.46M,105.86M,5.552M,,,,,105.86M,158.60M,,,,5.552M,,164.16M,51.54M,112.61M,,112.61M,108.80M,181.98M,23.38M,158.60M,,0.30,0.00,0.2900,0.30,,0.30,0.00,0.2900,0.30,,379.27M,381.26M,0.16,,,
2005-08,384.42M,403.72M,133.42M,270.29M,107.47M,4.859M,,,,,107.47M,162.82M,,,,4.859M,,167.68M,52.65M,115.03M,,115.03M,111.69M,185.18M,22.36M,162.82M,,0.30,0.00,0.2912,0.30,,0.30,0.00,0.2912,0.30,,378.81M,380.18M,0.13,,,
2005-05,358.50M,379.02M,124.73M,254.29M,111.46M,4.282M,,,,,111.46M,142.83M,,,,4.282M,,147.11M,45.63M,101.48M,,101.48M,98.53M,168.56M,25.73M,142.83M,,0.26,0.00,0.2522,0.26,,0.26,0.00,0.2522,0.26,,378.58M,379.84M,0.13,,,
2005-02,357.09M,373.86M,129.85M,244.01M,108.63M,3.099M,,,,,108.63M,135.38M,,,,3.099M,,138.48M,45.70M,92.78M,,92.78M,90.71M,156.70M,21.32M,135.38M,,0.25,0.00,0.2445,0.25,,0.24,0.00,0.2345,0.24,,378.40M,379.81M,0.13,,,
2004-11,334.88M,347.28M,122.85M,224.43M,97.54M,2.751M,,,,,97.54M,126.90M,,,,2.751M,,129.65M,42.78M,86.86M,,86.86M,85.02M,148.84M,21.94M,126.90M,,0.23,0.00,0.2251,0.23,,0.23,0.00,0.2251,0.23,,378.26M,379.70M,0.13,,,
2004-08,334.20M,344.98M,121.59M,223.38M,94.72M,2.259M,,,,,94.72M,128.67M,,,,2.259M,,130.93M,43.21M,87.72M,,87.72M,86.21M,150.30M,21.64M,128.67M,,0.23,0.00,0.2260,0.23,,0.23,0.00,0.2260,0.23,,378.11M,379.71M,0.12,,,
2004-05,318.53M,330.39M,238.12M,92.27M,5.32M,4.283M,,,,,5.32M,86.95M,,,,4.283M,,91.23M,29.83M,61.40M,,61.40M,58.52M,107.75M,20.80M,86.95M,,0.1615,,0.1539,0.1615,,0.16,0.00,0.1524,0.16,,377.22M,377.22M,0.12,,,
2004-02,328.09M,342.61M,79.24M,263.37M,146.89M,3.166M,,,,,146.89M,116.47M,,,,3.166M,,119.64M,39.12M,80.52M,,80.52M,78.39M,137.44M,20.96M,116.47M,,0.21,0.00,0.2044,0.21,,0.21,0.00,0.2044,0.21,,377.60M,379.80M,0.12,,,
2003-11,297.56M,312.10M,74.44M,237.66M,122.85M,5.071M,,,,,122.85M,114.82M,,,,5.071M,,119.89M,39.20M,80.68M,,80.68M,77.27M,135.17M,20.36M,114.82M,,0.21,0.00,0.2010,0.21,,0.21,0.00,0.2010,0.21,,377.26M,379.65M,0.12,,,
2003-08,295.92M,309.25M,71.67M,237.58M,122.50M,3.949M,,,,,122.50M,115.08M,,,,3.949M,,119.03M,38.68M,80.34M,,80.34M,77.68M,134.87M,19.80M,115.08M,,0.21,0.00,0.2029,0.21,,0.21,0.00,0.2030,0.21,,376.84M,378.82M,0.11,,,
2003-05,276.65M,236.76M,70.51M,166.25M,121.35M,6.957M,,,,,68.30M,97.95M,,,,6.957M,,104.91M,33.57M,71.34M,,71.34M,66.61M,117.44M,19.49M,97.95M,,0.19,0.00,0.1774,0.19,,0.19,0.00,0.1775,0.19,,376.57M,378.39M,0.11,,,
2003-02,274.30M,287.79M,68.79M,219.00M,117.58M,3.76M,,,,,117.58M,101.42M,,,,3.76M,,105.18M,33.66M,71.52M,,71.52M,68.96M,118.23M,16.81M,101.42M,,0.19,0.00,0.1832,0.19,,0.19,0.00,0.1832,0.19,,376.36M,378.08M,0.11,,,
2002-11,255.68M,268.81M,63.62M,205.19M,106.00M,11.40M,,,,,106.00M,99.19M,,,,11.40M,,110.60M,35.94M,74.65M,,74.65M,66.96M,114.30M,15.10M,99.19M,,0.20,0.00,0.1795,0.20,,0.20,0.00,0.1796,0.20,,376.19M,377.93M,0.11,,,
2002-08,239.40M,252.68M,55.94M,196.73M,94.25M,8.385M,,,,,94.25M,102.48M,,,,8.385M,,110.86M,34.92M,75.94M,,75.94M,70.20M,115.63M,13.15M,102.48M,,0.20,0.00,0.1847,0.20,,0.20,0.00,0.1848,0.20,,375.96M,377.95M,0.11,,,
2002-05,230.54M,244.31M,55.47M,188.84M,97.20M,7.17M,,,,,97.20M,91.63M,,,,7.17M,,98.80M,30.14M,68.67M,,68.67M,63.68M,104.59M,12.96M,91.63M,,0.18,0.00,0.1667,0.18,,0.18,0.00,0.1668,0.18,,375.61M,378.58M,0.11,,,
2002-02,227.96M,242.80M,56.74M,186.06M,98.84M,8.427M,,,,,98.84M,87.22M,,,,8.427M,,95.64M,28.67M,66.97M,,66.97M,61.07M,99.14M,11.92M,87.22M,,0.18,0.00,0.1643,0.18,,0.18,0.00,0.1644,0.18,,374.92M,378.10M,0.11,,,
2001-11,217.51M,232.99M,54.73M,178.26M,87.17M,8.191M,,,,,87.17M,91.08M,,,,8.191M,,99.27M,30.58M,68.70M,,68.70M,63.03M,102.52M,11.44M,91.08M,,0.18,0.00,0.1649,0.18,,0.18,0.00,0.1650,0.18,,374.51M,377.61M,0.11,,,
2001-08,216.18M,234.81M,53.76M,181.06M,87.30M,7.527M,,,,,87.30M,93.76M,,,,7.527M,,101.29M,31.10M,70.19M,,70.19M,64.98M,104.83M,11.07M,93.76M,,0.19,0.00,0.1761,0.19,,0.19,0.00,0.1762,0.19,,373.98M,377.75M,0.09,,,
2001-05,228.62M,228.62M,81.48M,147.14M,88.10M,8.546M,,,,,59.57M,87.57M,,,,8.546M,,96.12M,28.35M,67.76M,,67.76M,61.74M,98.18M,10.61M,87.57M,,0.18,0.00,0.1639,0.18,,0.18,0.00,0.1640,0.18,,373.43M,377.37M,0.09,,,
