,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-05,358.20M,66.00M,424.20M,374.60M,117.80M,524.60M,,241.00M,4.704B,,,5.894B,0.00,10.60M,126.40M,871.30M,,63.00M,111.40M,1.183B,-789.20M,393.50M,814.00M,141.40M,955.40M,295.50M,361.00M,16.40M,2.022B,7.915B,,73.70M,,73.70M,,73.70M,,,,34.60M,34.60M,,4.891B,5.297B,,,,154.40M,154.40M,,89.10M,261.90M,5.559B,,3.60M,1.263B,1.127B,-36.20M,2.357B,,AOR,Restated
2018-02,323.90M,97.30M,421.20M,550.50M,,582.00M,,100.80M,3.945B,,,5.049B,0.00,10.70M,126.40M,867.90M,,56.40M,109.30M,1.171B,-773.50M,397.20M,827.40M,105.10M,932.50M,405.40M,,34.10M,1.794B,6.843B,,71.90M,,71.90M,,71.90M,57.70M,57.70M,57.70M,23.70M,23.70M,,4.114B,4.624B,,,,41.90M,41.90M,,79.90M,173.60M,4.797B,,3.60M,961.40M,1.107B,-26.70M,2.046B,,AOR,Restated
2017-11,257.20M,81.40M,338.60M,595.20M,,630.40M,,135.80M,4.888B,,,5.993B,0.00,9.70M,123.70M,828.00M,,52.20M,108.20M,1.122B,-744.70M,377.10M,698.10M,77.40M,775.50M,480.90M,,33.20M,1.692B,7.685B,,58.40M,,58.40M,,58.40M,133.40M,133.40M,133.40M,27.00M,27.00M,,5.002B,5.502B,,,,85.00M,85.00M,,78.90M,214.00M,5.716B,,3.60M,881.00M,1.094B,-9.20M,1.969B,,AOR,Restated
2017-08,234.40M,133.80M,368.20M,538.60M,,570.60M,,81.60M,4.953B,,,5.974B,0.00,8.30M,103.60M,827.00M,,17.70M,111.50M,1.068B,-739.50M,328.60M,698.00M,79.20M,777.20M,483.20M,,32.10M,1.646B,7.620B,,74.60M,4.10M,78.70M,,78.70M,57.20M,57.20M,57.20M,24.70M,24.70M,,5.018B,5.456B,,,,95.40M,95.40M,,76.70M,220.00M,5.676B,,3.60M,843.70M,1.072B,24.40M,1.944B,,AOR,Restated
2017-05,184.60M,138.80M,323.40M,507.50M,,543.40M,,103.30M,4.302B,,,5.272B,0.00,8.30M,103.50M,811.00M,,18.70M,109.50M,1.051B,-713.80M,337.20M,657.10M,57.60M,714.70M,454.00M,,30.90M,1.562B,6.834B,,57.20M,,57.20M,,57.20M,,,,22.90M,22.90M,,4.364B,4.725B,,,,33.90M,33.90M,,73.80M,153.30M,4.878B,,3.60M,901.70M,1.03B,20.00M,1.955B,,AOR,Restated
2017-02,189.90M,214.00M,403.90M,429.90M,,461.90M,,101.40M,4.785B,,,5.752B,0.00,8.30M,103.30M,785.70M,,26.30M,108.60M,1.032B,-690.60M,341.60M,657.10M,62.00M,719.10M,440.20M,,32.70M,1.558B,7.310B,,55.90M,,55.90M,,55.90M,55.40M,55.40M,55.40M,25.10M,25.10M,,4.859B,5.274B,,,,17.70M,17.70M,,74.20M,139.90M,5.414B,,3.60M,871.90M,1.017B,4.60M,1.897B,,AOR,Restated
2016-11,165.00M,128.00M,293.00M,528.90M,,564.70M,,115.80M,3.242B,,,4.216B,0.00,8.30M,103.10M,779.60M,,24.90M,109.00M,1.025B,-675.60M,349.30M,657.10M,65.20M,722.30M,432.10M,,31.80M,1.560B,5.776B,,48.60M,,48.60M,,48.60M,103.10M,103.10M,103.10M,28.50M,28.50M,,3.359B,3.784B,,,,18.50M,18.50M,,74.20M,176.40M,3.960B,,3.60M,834.90M,993.90M,-16.80M,1.816B,,AOR,Restated
2016-08,130.00M,367.70M,497.70M,485.60M,,517.30M,,62.70M,3.443B,,,4.521B,0.00,8.30M,103.10M,772.20M,,24.10M,110.40M,1.018B,-669.70M,348.40M,657.10M,65.00M,722.10M,446.30M,,34.20M,1.576B,6.097B,,51.20M,65.60M,116.80M,,116.80M,51.30M,51.30M,51.30M,26.80M,26.80M,,3.472B,3.913B,,,,41.20M,41.20M,,72.30M,195.60M,4.109B,,3.60M,958.90M,986.40M,39.20M,1.988B,,AOR,Restated
2016-05,131.50M,220.60M,352.10M,408.60M,,444.70M,,69.30M,3.998B,,,4.864B,0.00,8.30M,103.00M,768.60M,,24.10M,108.20M,1.012B,-659.20M,353.00M,657.10M,69.50M,726.60M,441.10M,,31.60M,1.577B,6.441B,,56.70M,,56.70M,,56.70M,,,,26.30M,26.30M,,4.035B,4.366B,,,,22.10M,22.10M,,68.30M,163.20M,4.529B,,3.60M,926.20M,952.70M,29.20M,1.912B,,AOR,Restated
2016-02,253.10M,74.10M,327.20M,353.40M,,385.00M,,72.80M,4.717B,1.40M,,5.504B,0.00,8.30M,102.50M,762.90M,,16.00M,106.50M,996.20M,-646.20M,350.00M,656.20M,73.50M,729.70M,428.60M,,31.10M,1.564B,7.068B,,55.80M,,55.80M,,55.80M,,,,,,,4.764B,5.039B,,,,18.30M,18.30M,,66.10M,154.20M,5.193B,,3.60M,899.60M,933.40M,37.50M,1.874B,,AOR,Restated
2015-11,412.30M,64.10M,476.40M,241.10M,,277.80M,,128.20M,3.720B,0.00,,4.602B,0.00,8.30M,102.40M,749.40M,,18.30M,106.70M,985.10M,-632.40M,352.70M,561.50M,31.30M,592.80M,436.50M,,32.30M,1.414B,6.017B,,47.40M,,47.40M,,47.40M,,,,,15.80M,15.80M,3.753B,4.010B,,,,14.40M,14.40M,,67.00M,148.60M,4.158B,,3.60M,913.90M,920.50M,20.30M,1.858B,,AOR,Restated
2015-08,455.90M,81.80M,537.70M,206.60M,,238.70M,,63.40M,3.748B,0.00,,4.588B,0.00,8.30M,102.40M,733.80M,,27.00M,108.70M,980.20M,-630.10M,350.10M,561.50M,33.00M,594.50M,416.20M,,34.00M,1.395B,5.983B,,43.00M,29.40M,72.40M,,72.40M,,,,,1.10M,1.10M,3.782B,4.046B,,,,18.20M,18.20M,,64.40M,145.80M,4.192B,,3.60M,876.40M,897.00M,13.80M,1.791B,,AOR,Restated
2015-05,170.00M,366.60M,536.60M,176.60M,,214.50M,,63.70M,4.273B,,,5.088B,0.00,8.30M,102.10M,728.30M,,28.50M,106.20M,973.40M,-619.50M,353.90M,561.50M,32.40M,593.90M,399.80M,,31.70M,1.379B,6.468B,,51.70M,,51.70M,,51.70M,,,,11.20M,11.20M,,4.300B,4.573B,,,,1.80M,1.80M,,62.40M,109.00M,4.682B,,3.60M,894.30M,880.10M,7.50M,1.786B,,AOR,Restated
2015-02,265.30M,355.50M,620.80M,148.40M,,180.60M,,54.00M,5.091B,11.20M,,5.957B,0.00,8.30M,101.90M,704.50M,,32.60M,104.70M,952.00M,-604.30M,347.70M,563.80M,35.60M,599.40M,408.60M,0.00,31.10M,1.387B,7.344B,,40.10M,10.80M,50.90M,,50.90M,,,,,0.00,0.00,5.111B,5.348B,,,,17.60M,17.60M,,62.90M,124.20M,5.472B,,3.60M,978.30M,868.30M,21.80M,1.872B,,AOR,Restated
2014-11,140.40M,388.60M,529.00M,205.60M,,242.00M,,56.20M,4.033B,0.00,,4.860B,0.00,8.30M,101.50M,689.60M,,28.60M,104.00M,932.00M,-587.60M,344.40M,563.80M,38.80M,602.60M,398.50M,38.70M,30.40M,1.415B,6.274B,,39.80M,,39.80M,,39.80M,,,,,14.50M,14.50M,4.051B,4.279B,,,,58.90M,58.90M,,60.70M,160.90M,4.440B,,3.60M,964.30M,844.00M,22.40M,1.834B,,AOR,Restated
2014-08,462.60M,96.70M,559.30M,168.90M,,198.50M,,47.40M,4.067B,0.00,,4.872B,0.00,8.10M,101.20M,685.10M,,28.40M,101.60M,924.40M,-577.80M,346.60M,563.40M,42.60M,606.00M,396.50M,36.20M,29.30M,1.415B,6.287B,,40.10M,60.20M,100.30M,,100.30M,,,,,9.50M,9.50M,4.078B,4.344B,,,,60.00M,60.00M,,58.10M,157.00M,4.501B,,3.60M,943.70M,812.30M,26.00M,1.786B,,AOR,Restated
2014-05,152.50M,398.70M,551.20M,149.40M,,185.70M,,55.00M,4.199B,12.00M,,5.002B,0.00,8.10M,101.10M,670.60M,,25.30M,101.70M,906.80M,-564.60M,342.20M,540.30M,40.60M,580.90M,385.60M,37.10M,21.80M,1.368B,6.370B,,48.80M,,48.80M,,48.80M,,,,,6.60M,6.60M,4.212B,4.439B,,,,55.70M,55.70M,,56.60M,154.20M,4.593B,,3.60M,957.50M,794.40M,21.50M,1.777B,,AOR,Restated
2014-02,271.30M,314.40M,585.70M,129.60M,,159.00M,,49.80M,4.917B,8.00M,,5.719B,0.00,8.10M,100.80M,666.00M,,13.90M,101.00M,889.80M,-544.70M,345.10M,540.00M,40.50M,580.50M,377.80M,36.30M,10.40M,1.350B,7.069B,,34.70M,8.10M,42.80M,,42.80M,,,,,7.80M,7.80M,4.924B,5.139B,,,,61.70M,61.70M,,55.10M,142.30M,5.281B,,3.60M,983.70M,776.30M,24.60M,1.788B,,AOR,Restated
2013-11,213.00M,250.40M,463.40M,178.80M,,213.60M,,74.70M,3.912B,0.10M,,4.664B,0.00,8.10M,100.60M,649.90M,,18.30M,101.30M,878.20M,-526.80M,351.40M,540.00M,43.60M,583.60M,375.90M,36.10M,8.60M,1.356B,6.019B,,36.40M,,36.40M,,36.40M,,,,,16.00M,16.00M,3.931B,4.119B,,,,61.60M,61.60M,,54.60M,139.90M,4.259B,,3.60M,993.20M,749.90M,13.70M,1.760B,,AOR,Restated
2013-08,111.60M,447.60M,559.20M,154.70M,,183.40M,,42.00M,3.912B,2.00M,,4.698B,0.00,8.10M,100.30M,627.90M,,35.90M,100.60M,872.80M,-522.30M,350.50M,533.90M,42.10M,576.00M,365.60M,36.30M,4.50M,1.333B,6.031B,,40.40M,25.60M,66.00M,,66.00M,,,,4.50M,6.80M,2.30M,3.948B,4.150B,,,,58.30M,58.30M,,52.30M,132.40M,4.283B,,3.70M,1.034B,715.40M,-4.90M,1.748B,,AOR,Restated
2013-05,107.30M,398.20M,505.50M,133.40M,,165.80M,,86.50M,4.072B,2.30M,,4.833B,0.00,8.10M,99.20M,610.90M,,32.80M,99.50M,850.50M,-504.50M,346.00M,533.90M,45.20M,579.10M,369.10M,34.10M,2.80M,1.331B,6.164B,,42.70M,,42.70M,,42.70M,,,,5.20M,13.30M,8.10M,4.074B,4.268B,,,,53.30M,53.30M,,48.80M,121.80M,4.39B,,3.70M,1.088B,659.50M,22.00M,1.774B,,AOR,Restated
2013-02,100.40M,470.20M,570.60M,125.10M,,150.40M,,35.60M,5.556B,6.80M,,6.320B,0.00,8.10M,98.40M,601.00M,,30.80M,98.50M,836.80M,-495.10M,341.70M,533.90M,49.90M,583.80M,227.00M,32.60M,2.80M,1.188B,7.508B,,47.60M,9.90M,57.50M,,57.50M,,,,3.90M,15.00M,11.10M,5.545B,5.756B,,,,47.00M,47.00M,,48.50M,145.10M,5.902B,,3.60M,964.90M,604.70M,32.70M,1.606B,,AOR,Restated
2012-11,122.60M,178.60M,301.20M,169.30M,,200.30M,,51.80M,3.716B,0.00,,4.269B,0.00,7.30M,98.10M,596.60M,,41.50M,96.10M,839.60M,-487.80M,351.80M,517.40M,47.00M,564.40M,504.30M,31.30M,3.60M,1.455B,5.724B,,43.60M,,43.60M,,43.60M,,,,2.50M,31.00M,28.50M,3.697B,3.889B,,,,46.50M,46.50M,,48.10M,137.40M,4.026B,,3.60M,1.061B,594.10M,39.70M,1.698B,,AOR,Restated
2012-08,149.00M,241.90M,390.90M,153.10M,,177.10M,,36.30M,3.696B,0.00,,4.300B,0.00,7.30M,97.80M,609.70M,,20.10M,96.60M,831.50M,-504.60M,326.90M,517.40M,51.30M,568.70M,480.40M,30.50M,4.00M,1.410B,5.711B,,40.70M,61.00M,101.70M,,101.70M,,,,2.70M,22.20M,19.50M,3.680B,3.920B,,,,45.30M,45.30M,,48.30M,135.80M,4.056B,,3.60M,1.033B,581.50M,37.30M,1.655B,,AOR,Restated
2012-05,108.80M,207.50M,316.30M,142.40M,,173.00M,,40.80M,4.544B,1.60M,,5.076B,0.00,7.00M,96.80M,630.00M,,28.20M,96.00M,858.00M,-533.70M,324.30M,517.40M,55.80M,573.20M,473.70M,29.20M,3.30M,1.404B,6.480B,,69.70M,,69.70M,,69.70M,,,,3.00M,16.90M,13.90M,4.528B,4.746B,,,,40.60M,40.60M,,52.90M,129.40M,4.875B,,3.60M,1.002B,561.10M,37.70M,1.604B,,AOR,Restated
2012-02,146.50M,356.80M,503.30M,135.80M,,157.30M,,36.00M,4.167B,8.60M,,4.872B,0.00,7.00M,95.70M,621.70M,,24.20M,97.90M,846.50M,-529.70M,316.80M,518.10M,61.20M,579.30M,295.40M,28.00M,3.20M,1.223B,6.095B,,46.00M,,46.00M,162.50M,208.50M,,,,3.40M,19.50M,16.10M,4.144B,4.372B,,,,40.20M,40.20M,35.40M,51.50M,127.10M,4.500B,,3.60M,995.00M,553.70M,43.10M,1.595B,,AOR,Restated
2011-11,96.10M,315.00M,411.10M,221.50M,,249.40M,,46.70M,3.033B,0.00,,3.74B,0.00,6.90M,95.60M,613.80M,,19.90M,96.40M,832.60M,-516.60M,316.00M,513.60M,65.70M,579.30M,265.20M,27.70M,3.80M,1.192B,4.932B,,54.90M,,54.90M,147.20M,202.10M,,,,2.50M,24.60M,22.10M,3.022B,3.248B,,,,37.10M,37.10M,35.00M,53.00M,125.10M,3.373B,,3.60M,975.80M,545.40M,33.90M,1.559B,,AOR,Restated
2011-08,113.10M,372.00M,485.10M,197.90M,,220.00M,,33.10M,3.095B,0.00,,3.833B,0.00,7.00M,95.30M,603.00M,,22.50M,94.60M,822.40M,-511.90M,310.50M,513.60M,71.30M,584.90M,232.90M,25.90M,3.90M,1.158B,4.992B,,38.50M,,38.50M,203.90M,242.40M,,,,2.70M,21.60M,18.90M,3.073B,3.337B,,,,31.70M,31.70M,34.50M,48.90M,115.10M,3.452B,,3.60M,951.50M,540.00M,44.20M,1.539B,,AOR,Restated
2011-05,119.00M,345.00M,464.00M,161.10M,,190.50M,,30.80M,3.567B,5.90M,,4.258B,0.00,7.00M,95.20M,587.80M,,20.90M,93.30M,804.20M,-495.50M,308.70M,513.70M,77.20M,590.90M,207.30M,25.40M,3.60M,1.136B,5.394B,,45.40M,,45.40M,,45.40M,,,,3.00M,17.90M,14.90M,3.552B,3.788B,,,,23.10M,23.10M,,52.10M,109.30M,3.898B,,3.60M,919.50M,535.60M,37.50M,1.496B,,AOR,Restated
2011-02,236.00M,233.70M,469.70M,141.60M,,163.40M,,29.00M,4.190B,12.20M,,4.865B,0.00,6.90M,94.80M,573.80M,,16.70M,93.00M,785.20M,-481.50M,303.70M,508.60M,74.50M,583.10M,182.60M,25.00M,3.60M,1.098B,5.963B,,35.70M,,35.70M,151.20M,186.90M,,,,3.40M,15.60M,12.20M,4.188B,4.390B,,,,19.70M,19.70M,33.20M,51.20M,104.10M,4.495B,,3.60M,913.00M,522.30M,29.30M,1.468B,,AOR,Restated
2010-11,233.20M,230.30M,463.50M,224.60M,,252.80M,,37.20M,3.260B,0.00,,4.014B,0.00,6.40M,84.80M,547.10M,,14.10M,92.90M,745.30M,-465.80M,279.50M,421.60M,54.20M,475.80M,226.40M,23.30M,3.80M,1.009B,5.023B,,33.80M,,33.80M,183.20M,217.00M,,,,2.70M,25.80M,23.10M,3.243B,3.486B,,,,9.20M,9.20M,28.10M,50.20M,87.50M,3.573B,,3.60M,894.50M,512.30M,39.10M,1.450B,,AOR,Restated
2010-08,272.90M,177.20M,450.10M,208.60M,,231.40M,,28.30M,3.290B,0.00,,4.000B,0.00,4.20M,85.60M,523.60M,,17.10M,91.80M,722.30M,-454.30M,268.00M,421.60M,58.40M,480.00M,266.30M,21.30M,3.50M,1.039B,5.039B,,34.40M,,34.40M,203.60M,238.00M,,,,2.90M,27.20M,24.30M,3.255B,3.520B,,,,8.10M,8.10M,27.90M,45.80M,81.80M,3.602B,,3.60M,873.00M,506.20M,54.20M,1.437B,,AOR,Restated
2010-05,284.30M,82.50M,366.80M,186.60M,,215.30M,,32.20M,3.541B,3.80M,,4.159B,0.00,5.80M,82.50M,516.50M,,17.90M,91.40M,714.10M,-444.80M,269.30M,421.60M,61.60M,483.20M,290.10M,21.10M,3.50M,1.067B,5.226B,,37.30M,,37.30M,163.20M,200.50M,,,,3.50M,20.50M,17.00M,3.521B,3.742B,,,,7.80M,7.80M,27.40M,46.90M,82.10M,3.824B,,3.60M,856.30M,499.70M,42.40M,1.402B,,AOR,Restated
2010-02,279.26M,115.76M,395.03M,159.13M,,181.72M,,25.04M,4.092B,23.22M,,4.717B,0.00,4.20M,83.78M,502.66M,,14.28M,89.86M,694.78M,-430.51M,264.27M,421.56M,68.08M,489.64M,294.09M,19.72M,3.772M,1.072B,5.788B,,35.08M,,35.08M,152.28M,187.36M,,,,3.792M,3.792M,,4.121B,4.312B,,,,5.786M,5.786M,27.30M,45.40M,78.49M,4.391B,,3.614M,852.94M,492.01M,48.56M,1.397B,,AOR,Restated
2009-11,225.30M,62.01M,287.32M,221.71M,,250.82M,,27.96M,2.996B,0.00,,3.562B,0.00,4.033M,83.46M,500.49M,,5.06M,88.92M,681.96M,-419.94M,262.02M,421.56M,71.48M,493.04M,317.43M,18.49M,3.947M,1.095B,4.657B,,36.49M,,36.49M,138.52M,175.01M,,,,2.516M,26.20M,23.68M,2.986B,3.187B,,,,7.743M,7.743M,26.58M,43.89M,78.21M,3.265B,,3.614M,853.08M,485.85M,49.64M,1.392B,,AOR,Restated
2009-08,315.32M,13.85M,329.18M,201.33M,,224.52M,,28.56M,3.018B,4.099M,,3.604B,0.00,4.033M,83.40M,496.38M,,5.893M,88.90M,678.62M,-410.30M,268.32M,433.32M,75.51M,508.83M,304.87M,17.71M,4.151M,1.104B,4.708B,,33.30M,,33.30M,183.32M,216.63M,,,,9.596M,27.39M,17.79M,3.016B,3.260B,,,,13.04M,13.04M,26.16M,44.03M,83.23M,3.343B,,3.614M,839.37M,478.68M,43.20M,1.365B,,AOR,Restated
2009-05,472.77M,19.71M,492.48M,177.96M,,205.68M,,30.11M,3.501B,10.18M,,4.240B,0.00,4.033M,83.39M,490.04M,,4.034M,88.51M,670.01M,-395.48M,274.53M,433.32M,76.64M,509.96M,82.23M,16.49M,4.381M,887.59M,5.127B,,37.33M,,37.33M,135.06M,172.40M,,,,9.542M,26.70M,17.16M,3.503B,3.702B,,,,12.77M,12.77M,25.73M,45.54M,84.04M,3.786B,,3.61M,829.50M,466.43M,41.94M,1.341B,,AOR,Restated
2009-02,428.41M,61.16M,489.57M,165.15M,21.96M,187.11M,,27.72M,,15.01M,4.153B,4.873B,0.00,4.144M,171.30M,321.48M,106.38M,61.50M,,664.81M,-383.85M,280.96M,434.07M,85.27M,519.34M,,15.58M,86.70M,902.58M,5.775B,,37.48M,,37.48M,142.30M,179.78M,,,,10.81M,26.92M,16.10M,4.159B,4.366B,,,,10.81M,10.81M,,67.86M,78.67M,4.444B,,3.608M,827.73M,456.69M,43.12M,1.331B,,,Restated
2008-11,330.63M,71.04M,401.68M,219.44M,29.79M,249.23M,,32.97M,,,3.536B,4.220B,0.00,4.143M,170.21M,317.11M,103.01M,57.92M,,652.39M,-369.36M,283.03M,433.32M,77.76M,511.08M,,15.50M,81.90M,891.51M,5.112B,,38.86M,,38.86M,117.92M,156.78M,,,,11.54M,21.85M,10.30M,3.573B,3.752B,,,,9.501M,9.501M,,66.13M,75.63M,3.827B,,3.608M,808.88M,451.24M,21.00M,1.285B,,,Restated
2008-08,61.58M,402.55M,464.14M,197.13M,29.53M,226.66M,,27.68M,,,3.657B,4.375B,0.00,4.117M,164.26M,307.98M,100.28M,55.97M,,632.61M,-356.98M,275.63M,433.32M,70.95M,504.27M,,14.50M,59.82M,854.21M,5.230B,,35.04M,,35.04M,162.86M,197.90M,,,,10.22M,12.27M,2.056M,3.694B,3.904B,,,,10.77M,10.77M,,65.03M,75.80M,3.979B,,3.608M,780.57M,443.64M,22.30M,1.250B,,,Restated
