,FCF,PricePerShare,ROE,Prediction
2002-12,3.1899999999999995,26.17835235595703,31.52916447714136,24.90093040466309
2002-09,3.3790000000000004,22.83060646057129,32.18061674008811,26.17835235595703
2002-06,3.812,29.665462493896484,29.51677089255259,22.83060646057129
2002-03,3.0989999999999998,31.60469055175781,28.199643493761144,29.665462493896484
2001-12,2.4960000000000004,29.794267654418945,29.009009009009016,31.60469055175781
2001-09,2.9760000000000004,29.589221954345703,30.891449363250466,29.794267654418945
2001-06,2.541,26.88317680358887,35.31353135313531,29.589221954345703
2001-03,2.925,26.64613151550293,35.817174515235465,26.88317680358887
2000-12,3.0880000000000005,29.95705604553223,33.648471465047265,26.64613151550293
2000-09,2.9249999999999994,27.715675354003906,38.82863340563992,29.95705604553223
2000-06,2.8080000000000003,26.68657112121582,36.300751879699256,27.715675354003906
2000-03,2.406,20.872373580932614,40.18590240123935,26.68657112121582
1999-12,2.264,21.003812789916992,38.244274809160316,20.872373580932614
1999-09,1.4859999999999995,18.107086181640625,29.665662883175038,21.003812789916992
1999-06,-2.1500000000000004,22.87576675415039,32.684014869888486,18.107086181640625
1999-03,-2.8539999999999988,23.08376121520996,28.89547813194959,22.87576675415039
1998-12,-2.730999999999999,23.99636268615723,31.287284144426998,23.08376121520996
1998-09,2.2250000000000005,17.224626541137695,31.666666666666675,23.99636268615723
1998-06,7.4570000000000025,24.00099372863769,30.732484076433124,17.224626541137695
1998-03,8.231,24.798084259033203,31.865955826351858,24.00099372863769
1997-12,8.149000000000001,20.99280166625977,30.27561837455831,24.798084259033203
1997-09,4.053999999999999,21.5443058013916,25.656272661348805,20.99280166625977
1997-06,2.3409999999999997,19.88611602783203,17.954220314735338,21.5443058013916
1997-03,2.0330000000000004,17.08283805847168,17.1304347826087,19.88611602783203
1996-12,2.1670000000000003,15.379302024841307,16.286321757618712,17.08283805847168
1996-09,1.8412,14.796340942382812,18.03185595567868,15.379302024841307
1996-06,2.0611,18.51892471313477,24.943078004216446,14.796340942382812
1996-03,2.0664,16.440658569335938,23.629838142153417,18.51892471313477
1995-12,1.7827,14.480135917663574,22.651622002820893,16.440658569335938
1995-09,1.7274999999999996,13.17070198059082,27.93083573487032,14.480135917663574
1995-06,1.2618,11.699519157409668,27.74385703648548,13.17070198059082
1995-03,1.4509999999999998,10.017029762268066,27.77896341463415,11.699519157409668
1994-12,1.4631000000000003,9.2379789352417,27.482352941176465,10.017029762268066
1994-09,1.0269000000000004,8.399252891540527,27.18189167340341,9.2379789352417
1994-06,0.9821999999999996,7.723774433135986,26.76716917922948,8.399252891540527
1994-03,0.9792,9.190818786621094,27.32987012987013,7.723774433135986
1993-12,1.1533,10.214143753051758,24.73364485981309,9.190818786621094
1993-09,1.1808,9.768719673156738,7.904040404040402,10.214143753051758
1993-06,1.2039000000000004,9.170950889587402,7.9526842584167445,9.768719673156738
1993-03,1.3767999999999998,10.579920768737793,7.084684684684683,9.170950889587402
1992-12,1.1619999999999997,10.208438873291016,7.095734597156397,10.579920768737793
1992-09,1.2957000000000003,9.28781795501709,23.03923278116827,10.208438873291016
1992-06,1.1357,8.522891044616701,21.433756805807622,9.28781795501709
1992-03,1.0226,8.339609146118164,21.487969201154954,8.522891044616701
1991-12,0.9727000000000005,8.217128753662111,21.22200392927308,8.339609146118164
1991-09,0.7837999999999998,6.885876655578612,22.63157894736841,8.217128753662111
1991-06,0.8288999999999997,6.977811813354492,25.16648044692738,6.885876655578612
1991-03,0.7361999999999997,8.208879470825195,24.645016797312433,6.977811813354492
1990-12,0.9298999999999996,6.212671756744385,25.16121495327103,8.208879470825195
1990-09,0.9298999999999996,5.47518253326416,25.076732673267326,6.212671756744385
1990-06,0.9298999999999996,6.135188579559326,25.076732673267326,5.47518253326416
1990-03,0.9298999999999996,4.929844856262207,25.69829275118948,6.135188579559326
1989-12,0.9298999999999996,5.0159406661987305,25.69829275118948,4.929844856262207
1989-09,0.9298999999999996,4.596356391906738,25.69829275118948,5.0159406661987305
1989-06,0.9298999999999996,4.13959550857544,25.69829275118948,4.596356391906738
1989-03,0.9298999999999996,3.443657636642456,25.69829275118948,4.13959550857544
1988-12,0.9298999999999996,3.0409281253814697,25.69829275118948,3.443657636642456
1988-09,0.9298999999999996,3.0052528381347656,25.69829275118948,3.0409281253814697
1988-06,0.9298999999999996,2.8351874351501465,25.69829275118948,3.0052528381347656
1988-03,0.9298999999999996,2.648966073989868,25.69829275118948,2.8351874351501465
1987-12,0.9298999999999996,2.5138399600982666,25.69829275118948,2.648966073989868
1987-09,0.9298999999999996,2.9775261878967285,25.69829275118948,2.5138399600982666
1987-06,0.9298999999999996,2.6847968101501465,25.69829275118948,2.9775261878967285
1987-03,0.9298999999999996,2.542053461074829,25.69829275118948,2.6847968101501465
1986-12,0.9298999999999996,1.920912504196167,25.69829275118948,2.542053461074829
1986-09,0.9298999999999996,1.9463579654693604,25.69829275118948,1.920912504196167
1986-06,0.9298999999999996,2.464874744415283,25.69829275118948,1.9463579654693604
1986-03,0.9298999999999996,2.077958345413208,25.69829275118948,2.464874744415283
1985-12,0.9298999999999996,1.753080129623413,25.69829275118948,2.077958345413208
1985-09,0.9298999999999996,1.4336549043655396,25.69829275118948,1.753080129623413
1985-06,0.9298999999999996,1.4287598133087158,25.69829275118948,1.4336549043655396
1985-03,0.9298999999999996,1.2884351015090942,25.69829275118948,1.4287598133087158
