,Cash,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks
2016-12,,1.298B,1.298B,1.999B,,,1.999B,724.00M,2.742B,1.947B,4.464B,388.00M,8.149B,1.884B,,4.82B,6.704B,-4.123B,2.581B,2.113B,767.00M,2.88B,,1.748B,7.209B,15.36B,,2016-12,1.273B,,2.539B,363.00M,363.00M,991.00M,991.00M,,3.893B,3.317B,3.317B,,,,,,2.574B,5.891B,9.784B,,2016-12,34.00M,5.546B,1.599B,,-1.605B,5.574B,,2016-12
2016-09,,739.00M,739.00M,2.108B,,,2.108B,701.00M,2.958B,2.076B,4.791B,348.00M,7.986B,,,,6.675B,-4.107B,2.568B,2.121B,,2.121B,,2.492B,7.181B,15.17B,,2016-09,1.216B,,3.494B,126.00M,126.00M,,,,3.62B,3.696B,3.696B,,,,,,2.20B,5.896B,9.516B,,2016-09,36.00M,6.03B,1.674B,,-1.315B,5.651B,,2016-09
2016-06,,743.00M,743.00M,2.129B,,,2.129B,659.00M,2.932B,1.967B,4.595B,370.00M,7.837B,,,,6.664B,-4.082B,2.582B,2.118B,,2.118B,,2.497B,7.197B,15.03B,,2016-06,1.218B,,3.42B,278.00M,278.00M,,,,3.698B,3.634B,3.634B,,,,,,2.516B,6.15B,9.848B,,2016-06,36.00M,5.614B,1.643B,,-1.333B,5.186B,,2016-06
2016-03,,778.00M,778.00M,2.275B,,,2.275B,633.00M,2.973B,1.907B,4.477B,328.00M,7.858B,,,,6.575B,-4.015B,2.56B,2.114B,,2.114B,,2.567B,7.241B,15.10B,,2016-03,1.227B,,3.568B,309.00M,309.00M,,,,3.877B,3.688B,3.688B,,,,,,2.545B,6.233B,10.11B,,2016-03,36.00M,5.442B,1.617B,,-1.332B,4.989B,,2016-03
2015-12,,1.005B,1.005B,2.134B,,,2.134B,605.00M,2.921B,1.735B,4.144B,341.00M,7.624B,1.859B,,4.548B,6.407B,-3.915B,2.492B,2.023B,,2.023B,,2.569B,7.084B,14.71B,,2015-12,1.063B,,2.207B,262.00M,262.00M,1.323B,1.323B,,3.792B,3.348B,3.348B,,,,,,2.604B,5.952B,9.744B,,2015-12,36.00M,5.298B,1.587B,,-1.398B,4.964B,,2015-12
2015-09,,614.00M,614.00M,2.297B,,,2.297B,609.00M,3.235B,1.871B,4.574B,507.00M,7.992B,,,,6.342B,-3.854B,2.488B,2.026B,,2.026B,,2.392B,6.906B,14.90B,,2015-09,1.173B,,3.775B,414.00M,414.00M,,,,4.189B,3.358B,3.358B,,,,,,2.655B,6.013B,10.20B,,2015-09,36.00M,5.077B,1.561B,,-1.427B,4.696B,,2015-09
2015-06,,792.00M,792.00M,2.325B,,,2.325B,575.00M,3.114B,1.895B,4.437B,512.00M,8.066B,,,,6.259B,-3.797B,2.462B,2.015B,,2.015B,,2.405B,6.882B,14.95B,,2015-06,1.129B,,3.80B,263.00M,263.00M,,,,4.063B,3.621B,3.621B,,,,,,2.662B,6.283B,10.35B,,2015-06,36.00M,4.907B,1.535B,,-1.449B,4.602B,,2015-06
2015-03,,708.00M,708.00M,2.336B,,,2.336B,553.00M,2.728B,1.826B,4.236B,563.00M,7.843B,,,,6.18B,-3.72B,2.46B,2.013B,,2.013B,,2.422B,6.895B,14.74B,,2015-03,1.13B,,3.70B,34.00M,34.00M,,,,3.734B,3.811B,3.811B,,,,,,2.803B,6.614B,10.35B,,2015-03,36.00M,4.745B,1.499B,,-1.55B,4.39B,,2015-03
2014-12,,822.00M,822.00M,2.273B,,,2.273B,546.00M,2.683B,1.582B,3.928B,320.00M,7.343B,1.818B,,4.364B,6.182B,-3.685B,2.497B,2.027B,,2.027B,,2.738B,7.262B,14.60B,,2014-12,1.014B,,2.218B,8.00M,8.00M,1.412B,1.412B,,3.638B,3.866B,3.866B,,,,,,2.829B,6.695B,10.33B,,2014-12,36.00M,4.623B,1.459B,,-1.506B,4.272B,,2014-12
2014-09,,511.00M,511.00M,2.458B,,,2.458B,555.00M,2.791B,1.646B,4.081B,539.00M,7.589B,,,,6.104B,-3.662B,2.442B,2.02B,,2.02B,,2.688B,7.15B,14.74B,,2014-09,1.135B,,3.51B,383.00M,383.00M,,,,3.893B,3.585B,3.585B,,,,,,2.689B,6.274B,10.17B,,2014-09,36.00M,4.416B,1.432B,,-1.01B,4.572B,,2014-09
2014-06,,815.00M,815.00M,2.567B,,,2.567B,591.00M,2.876B,1.641B,4.017B,578.00M,7.977B,,,,6.086B,-3.623B,2.463B,2.006B,,2.006B,,2.689B,7.158B,15.14B,,2014-06,1.166B,,3.599B,358.00M,358.00M,,,,3.957B,3.899B,3.899B,,,,,,2.701B,6.60B,10.56B,,2014-06,35.00M,4.263B,1.409B,,-979.00M,4.578B,,2014-06
2014-03,,780.00M,780.00M,2.575B,,,2.575B,581.00M,2.905B,1.572B,3.909B,603.00M,7.867B,,,,5.997B,-3.541B,2.456B,1.98B,,1.98B,,2.66B,7.096B,14.96B,,2014-03,1.158B,,3.395B,543.00M,543.00M,,,,3.938B,3.929B,3.929B,,,,,,2.733B,6.662B,10.60B,,2014-03,35.00M,4.124B,1.376B,,-1.022B,4.363B,,2014-03
2013-12,,1.211B,1.211B,2.472B,,,2.472B,407.00M,2.477B,1.276B,2.963B,467.00M,7.113B,1.636B,,4.042B,5.678B,-3.463B,2.215B,1.735B,,1.735B,,1.881B,5.831B,12.94B,,2013-12,1.107B,,2.033B,8.00M,8.00M,888.00M,888.00M,,3.003B,3.179B,3.179B,,,,,,2.378B,5.557B,8.56B,,2013-12,35.00M,4.045B,1.331B,,-1.027B,4.384B,,2013-12
2013-09,,637.00M,637.00M,2.46B,,,2.46B,433.00M,2.679B,1.374B,3.22B,501.00M,6.909B,,,,5.568B,-3.405B,2.163B,1.675B,,1.675B,,1.71B,5.548B,12.46B,,2013-09,1.004B,,2.779B,104.00M,104.00M,,,,2.883B,3.194B,3.194B,,,,,,2.80B,5.994B,8.877B,,2013-09,37.00M,4.138B,1.372B,,-1.651B,3.58B,,2013-09
2013-06,,571.00M,571.00M,2.517B,,,2.517B,473.00M,2.613B,1.398B,3.203B,489.00M,6.886B,,,,5.527B,-3.386B,2.141B,1.67B,,1.67B,,1.743B,5.554B,12.44B,,2013-06,966.00M,,2.615B,374.00M,374.00M,,,,2.989B,3.235B,3.235B,,,,,,2.836B,6.071B,9.06B,,2013-06,37.00M,4.044B,1.344B,,-1.729B,3.38B,,2013-06
2013-03,,791.00M,791.00M,2.676B,,,2.676B,438.00M,2.431B,1.406B,2.972B,445.00M,6.996B,,,,5.469B,-3.335B,2.134B,1.645B,,1.645B,,1.782B,5.561B,12.56B,,2013-03,1.052B,,2.776B,426.00M,426.00M,,,,3.202B,3.307B,3.307B,,,,,,2.90B,6.207B,9.409B,,2013-03,35.00M,3.937B,1.114B,,-1.755B,3.148B,,2013-03
2012-12,,1.413B,1.413B,2.679B,,,2.679B,437.00M,2.247B,1.329B,2.712B,470.00M,7.414B,1.604B,,3.822B,5.426B,-3.277B,2.149B,1.649B,,1.649B,,1.821B,5.619B,13.03B,,2012-12,1.021B,,2.172B,535.00M,535.00M,725.00M,725.00M,,3.512B,3.452B,3.452B,,,,,,3.078B,6.53B,10.04B,,2012-12,35.00M,3.824B,1.177B,,-1.77B,2.991B,,2012-12
2012-09,,1.232B,1.232B,914.00M,,,914.00M,458.00M,2.321B,1.351B,2.831B,549.00M,5.526B,,,,5.312B,-3.234B,2.078B,1.645B,,1.645B,2.053B,1.763B,7.539B,13.06B,,2012-09,943.00M,,2.694B,521.00M,521.00M,,,,3.215B,3.552B,3.552B,,,,,,2.914B,6.542B,9.757B,,2012-09,35.00M,3.681B,1.157B,,-1.562B,3.308B,,2012-09
2012-06,,898.00M,898.00M,917.00M,,,917.00M,449.00M,2.26B,1.288B,2.759B,704.00M,5.278B,,,,5.243B,-3.216B,2.027B,1.63B,,1.63B,2.25B,1.883B,7.79B,13.07B,,2012-06,886.00M,,2.723B,507.00M,507.00M,,,,3.23B,3.619B,3.619B,,,,,,2.868B,6.736B,9.966B,,2012-06,35.00M,3.536B,1.133B,,-1.599B,3.102B,,2012-06
2012-03,,646.00M,646.00M,937.00M,,2.492B,3.429B,418.00M,2.233B,1.21B,2.593B,1.032B,7.70B,,,,5.183B,-3.18B,2.003B,1.639B,,1.639B,,1.938B,5.58B,13.28B,,2012-03,884.00M,,2.707B,464.00M,464.00M,,,,3.171B,3.85B,3.85B,,,,,,2.85B,7.194B,10.36B,,2012-03,35.00M,3.37B,1.114B,,-1.601B,2.915B,,2012-03
2011-12,,885.00M,885.00M,3.595B,,,3.595B,399.00M,2.202B,1.012B,2.402B,1.134B,8.016B,1.502B,,3.591B,5.093B,-3.097B,1.996B,1.635B,,1.635B,,1.968B,5.599B,13.62B,,2011-12,833.00M,,2.30B,146.00M,146.00M,898.00M,898.00M,,3.424B,4.287B,4.287B,,,,,,3.159B,7.446B,10.87B,,2011-12,35.00M,3.257B,1.081B,,-1.625B,2.745B,,2011-12
2011-09,,1.542B,1.542B,927.00M,,3.271B,4.198B,406.00M,2.303B,1.079B,2.607B,1.648B,9.995B,,,,5.037B,-3.08B,1.957B,1.642B,,1.642B,,1.687B,5.286B,15.28B,,2011-09,805.00M,,2.762B,589.00M,589.00M,,,,3.351B,4.844B,4.844B,,,,,,3.774B,8.618B,11.97B,,2011-09,35.00M,3.282B,1.275B,,-1.28B,3.312B,,2011-09
2011-06,,651.00M,651.00M,874.00M,,3.525B,4.399B,418.00M,2.309B,989.00M,2.562B,1.395B,9.007B,,,,5.004B,-3.04B,1.964B,1.651B,,1.651B,,2.217B,5.832B,14.84B,,2011-06,742.00M,,2.657B,351.00M,351.00M,,,,3.008B,5.413B,5.413B,,,,,,3.244B,8.657B,11.66B,,2011-06,35.00M,3.145B,1.278B,,-1.26B,3.174B,,2011-06
2011-03,,1.022B,1.022B,910.00M,,3.803B,4.713B,456.00M,2.261B,922.00M,2.453B,1.05B,9.238B,,,,4.918B,-2.968B,1.95B,1.643B,,1.643B,,2.228B,5.821B,15.06B,,2011-03,748.00M,,2.577B,216.00M,216.00M,,,,2.793B,5.876B,5.876B,,,,,,3.338B,9.214B,12.01B,,2011-03,35.00M,3.061B,1.299B,,-1.28B,3.052B,,2011-03
2010-12,,931.00M,931.00M,892.00M,,4.284B,5.176B,506.00M,2.125B,784.00M,2.277B,1.612B,9.996B,0.00,1.453B,3.348B,4.801B,-2.869B,1.932B,1.632B,,1.632B,,1.722B,5.286B,15.28B,,2010-12,622.00M,,2.638B,19.00M,19.00M,,,,2.657B,5.943B,5.943B,,,,,,3.384B,9.653B,12.31B,,2010-12,35.00M,3.037B,1.301B,,-1.316B,2.972B,,2010-12
2010-09,,991.00M,991.00M,899.00M,,4.63B,5.529B,517.00M,2.299B,913.00M,2.647B,798.00M,9.965B,,,,4.705B,-2.798B,1.907B,1.627B,,1.627B,,2.514B,6.048B,16.01B,,2010-09,752.00M,,2.64B,18.00M,18.00M,,,,2.658B,6.351B,6.351B,,,,,,4.018B,10.37B,13.03B,,2010-09,35.00M,2.983B,1.313B,,-1.226B,2.986B,,2010-09
2010-06,,1.191B,1.191B,970.00M,,5.26B,6.23B,541.00M,2.145B,872.00M,2.48B,1.125B,11.03B,,,,4.63B,-2.73B,1.90B,1.616B,,1.616B,,2.581B,6.097B,17.12B,,2010-06,710.00M,,2.517B,136.00M,136.00M,,,,2.653B,7.147B,7.147B,150.00M,150.00M,,,,4.259B,11.56B,14.21B,,2010-06,35.00M,3.036B,1.331B,,-1.335B,2.914B,,2010-06
2010-03,,1.43B,1.43B,959.00M,,,959.00M,567.00M,2.121B,843.00M,2.475B,1.155B,6.019B,,,,4.633B,-2.693B,1.94B,1.612B,,1.612B,,8.539B,12.09B,18.11B,,2010-03,747.00M,,2.595B,124.00M,124.00M,,,,2.719B,8.233B,8.233B,105.00M,105.00M,,,,4.212B,12.55B,15.27B,,2010-03,35.00M,2.96B,1.355B,,-1.313B,2.841B,,2010-03
2009-12,,1.892B,1.892B,894.00M,,6.684B,7.578B,613.00M,1.861B,735.00M,2.273B,1.669B,13.41B,0.00,1.426B,3.208B,4.634B,-2.666B,1.968B,1.622B,,1.622B,,1.938B,5.528B,18.94B,,2009-12,569.00M,,2.608B,134.00M,134.00M,,,,2.742B,9.117B,9.117B,,,,,,3.817B,13.37B,16.11B,,2009-12,35.00M,2.973B,1.369B,,-1.321B,2.826B,,2009-12
2009-09,,2.576B,2.576B,926.00M,,6.794B,7.72B,637.00M,2.062B,908.00M,2.716B,1.294B,14.37B,,,,4.615B,-2.627B,1.988B,1.703B,,1.703B,,1.901B,5.592B,19.96B,,2009-09,664.00M,,2.869B,134.00M,134.00M,,,122.00M,3.125B,10.29B,10.29B,226.00M,226.00M,,,,3.353B,13.87B,17.00B,,2009-09,37.00M,3.042B,1.379B,,-1.232B,2.962B,,2009-09
2009-06,,1.885B,1.885B,839.00M,,7.166B,8.005B,623.00M,1.85B,1.281B,3.001B,471.00M,13.42B,,,,4.579B,-2.574B,2.005B,1.697B,,1.697B,,2.722B,6.424B,19.84B,,2009-06,721.00M,,2.914B,6.00M,6.00M,,,119.00M,3.039B,10.41B,10.41B,206.00M,206.00M,,,,3.268B,13.88B,16.92B,,2009-06,37.00M,3.043B,1.406B,,-1.258B,2.92B,,2009-06
2009-03,,1.691B,1.691B,854.00M,,7.939B,8.793B,696.00M,1.946B,1.321B,3.323B,1.44B,15.30B,,,,4.541B,-2.473B,2.068B,1.688B,,1.688B,,1.46B,5.216B,20.52B,,2009-03,999.00M,,3.47B,5.00M,5.00M,,,130.00M,3.605B,10.82B,10.82B,212.00M,212.00M,,,,3.407B,14.44B,18.05B,,2009-03,34.00M,3.106B,1.127B,,-1.423B,2.468B,,2009-03
2008-12,,547.00M,547.00M,894.00M,,8.382B,9.276B,765.00M,1.866B,1.081B,3.093B,1.53B,14.78B,0.00,1.289B,3.235B,4.524B,-2.436B,2.088B,1.698B,,1.698B,,1.465B,5.251B,20.03B,,2008-12,1.101B,,3.71B,876.00M,876.00M,,,195.00M,4.781B,9.081B,9.081B,337.00M,337.00M,,,,3.466B,12.88B,17.66B,,2008-12,32.00M,3.025B,1.229B,,-1.422B,2.366B,,2008-12
2008-09,136.00M,357.00M,357.00M,1.045B,,8.437B,9.482B,781.00M,2.056B,968.00M,3.276B,427.00M,14.17B,,,,4.428B,-2.449B,1.979B,2.038B,,2.038B,,2.503B,6.52B,20.69B,,2008-09,1.062B,,3.775B,550.00M,550.00M,,,440.00M,4.765B,9.384B,9.384B,445.00M,445.00M,,,,2.553B,12.38B,17.15B,,2008-09,34.00M,3.291B,1.254B,,-487.00M,3.539B,,2008-09
2008-06,,480.00M,480.00M,1.209B,8.474B,,9.683B,765.00M,1.983B,1.061B,3.291B,482.00M,13.94B,,,,4.297B,-2.257B,2.04B,2.276B,,2.276B,,2.444B,6.76B,20.70B,,2008-06,1.159B,,4.053B,394.00M,394.00M,,,,4.447B,1.805B,1.805B,431.00M,431.00M,,,,10.22B,12.46B,16.91B,,2008-06,34.00M,3.14B,1.253B,,-403.00M,3.788B,,2008-06
2008-03,,361.00M,361.00M,1.181B,8.634B,,9.815B,742.00M,1.90B,912.00M,3.074B,483.00M,13.73B,,,,4.476B,-2.475B,2.001B,2.321B,,2.321B,,2.711B,7.033B,20.77B,,2008-03,1.082B,,3.871B,385.00M,385.00M,,,,4.256B,9.737B,9.737B,474.00M,474.00M,,,,2.705B,12.92B,17.17B,,2008-03,34.00M,2.94B,1.201B,,-424.00M,3.594B,,2008-03
2007-12,60.00M,531.00M,531.00M,958.00M,,8.514B,9.472B,588.00M,1.819B,728.00M,2.593B,540.00M,13.74B,0.00,1.196B,2.967B,4.163B,-2.245B,1.918B,2.085B,,2.085B,,2.245B,6.248B,19.99B,,2007-12,840.00M,,3.455B,355.00M,355.00M,,,467.00M,4.277B,9.102B,9.102B,472.00M,472.00M,,,,2.633B,12.21B,16.48B,,2007-12,34.00M,2.766B,1.193B,,-400.00M,3.507B,,2007-12
2007-09,,942.00M,942.00M,9.166B,,,9.166B,527.00M,1.712B,929.00M,2.634B,567.00M,13.31B,,,,4.167B,-2.335B,1.832B,1.442B,,1.442B,,1.853B,5.127B,18.44B,,2007-09,998.00M,,3.334B,93.00M,93.00M,,,,3.427B,8.451B,8.451B,495.00M,495.00M,,,,2.918B,11.86B,15.29B,,2007-09,18.00M,2.584B,1.151B,,-511.00M,3.145B,,2007-09
2007-06,,697.00M,697.00M,1.075B,,,1.075B,463.00M,1.794B,785.00M,2.518B,510.00M,4.80B,,,,4.065B,-2.258B,1.807B,1.431B,,1.431B,,10.08B,13.32B,18.12B,,2007-06,936.00M,,3.071B,86.00M,86.00M,,,,3.157B,8.646B,8.646B,492.00M,492.00M,,,,2.895B,12.03B,15.19B,,2007-06,36.00M,6.509B,1.893B,,-564.00M,2.933B,,2007-06
2007-03,,585.00M,585.00M,9.247B,,,9.247B,445.00M,1.719B,729.00M,2.342B,462.00M,12.64B,,,,3.974B,-2.198B,1.776B,1.426B,,1.426B,,1.864B,5.066B,17.70B,,2007-03,897.00M,,2.999B,83.00M,83.00M,,,,3.082B,8.677B,8.677B,481.00M,481.00M,,,,2.784B,11.94B,15.02B,,2007-03,36.00M,6.347B,1.82B,,-631.00M,2.678B,,2007-03
2006-12,47.00M,780.00M,780.00M,964.00M,,8.217B,9.181B,435.00M,1.562B,665.00M,2.069B,448.00M,12.55B,0.00,1.093B,2.827B,3.92B,-2.147B,1.773B,1.426B,,1.426B,,1.80B,4.999B,17.55B,,2006-12,814.00M,,2.772B,80.00M,80.00M,,,2.471B,5.323B,8.582B,8.582B,497.00M,497.00M,,,,499.00M,9.578B,14.90B,,2006-12,36.00M,6.211B,1.786B,,-644.00M,2.649B,,2006-12
2006-09,,771.00M,771.00M,962.00M,,,962.00M,357.00M,1.626B,720.00M,2.128B,543.00M,4.404B,,,,3.754B,-2.124B,1.63B,1.163B,38.00M,1.201B,,10.21B,13.04B,17.44B,,2006-09,860.00M,,2.66B,6.00M,6.00M,,,160.00M,2.826B,8.406B,8.406B,478.00M,478.00M,,,,2.691B,11.58B,14.40B,,2006-09,36.00M,6.065B,1.749B,,-82.00M,3.041B,,2006-09
2006-06,,325.00M,325.00M,8.564B,,,8.564B,340.00M,1.574B,699.00M,2.072B,1.458B,12.42B,,,,3.693B,-2.096B,1.597B,1.16B,30.00M,1.19B,,2.144B,4.931B,17.35B,,2006-06,943.00M,,2.635B,164.00M,164.00M,,,492.00M,3.291B,7.952B,7.952B,465.00M,465.00M,,,,2.62B,11.04B,14.33B,,2006-06,36.00M,5.944B,1.73B,,-69.00M,3.022B,,2006-06
