,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2015-09,176.00M,,,,,,,112.00M,112.00M,4.00M,,0.00,,49.00M,22.00M,-138.00M,,-12.00M,30.00M,,-29.00M,-1.00M,213.00M,,2015-09,-113.00M,,,-47.00M,,-135.00M,,2015-09,-20.00M,-105.00M,-125.00M,,-124.00M,-124.00M,-6.00M,-6.00M,,-251.00M,,2015-09,792.00M,-5.00M,614.00M,,2015-09,,-59.00M,-66.00M,,2015-09,AOR,Restated
2015-06,169.00M,,,,,,,110.00M,110.00M,-8.00M,,,,66.00M,-29.00M,-189.00M,,86.00M,21.00M,,-2.00M,-1.00M,223.00M,,2015-06,-94.00M,,,-2.00M,,-78.00M,,2015-06,-60.00M,80.00M,20.00M,,-87.00M,-87.00M,-5.00M,-5.00M,,-62.00M,,2015-06,708.00M,1.00M,792.00M,,2015-06,,80.00M,-60.00M,,2015-06,AOR,Restated
2015-03,128.00M,,,,,,,110.00M,110.00M,-7.00M,,,,78.00M,-115.00M,-327.00M,,64.00M,-45.00M,,95.00M,-2.00M,-21.00M,,2015-03,-79.00M,,,-32.00M,,-57.00M,,2015-03,-61.00M,25.00M,-36.00M,,0.00,0.00,-6.00M,-6.00M,,-31.00M,,2015-03,822.00M,-5.00M,708.00M,,2015-03,,34.00M,-70.00M,,2015-03,AOR,Restated
2014-12,213.00M,,,,,,,134.00M,134.00M,22.00M,,,,75.00M,111.00M,161.00M,,66.00M,-57.00M,,-83.00M,0.00,642.00M,,2014-12,-174.00M,,,-48.00M,,-194.00M,,2014-12,-62.00M,-25.00M,-87.00M,,-38.00M,-38.00M,-11.00M,-11.00M,,-129.00M,,2014-12,511.00M,-8.00M,822.00M,,2014-12,,355.00M,-442.00M,,2014-12,AOR,Restated
2014-09,160.00M,,,,,,,111.00M,111.00M,-27.00M,,,,81.00M,41.00M,-91.00M,,-93.00M,8.00M,,26.00M,-1.00M,215.00M,,2014-09,-83.00M,,,-30.00M,,-77.00M,,2014-09,-305.00M,25.00M,-280.00M,,-152.00M,-152.00M,-6.00M,-6.00M,,-435.00M,,2014-09,815.00M,-7.00M,511.00M,,2014-09,,61.00M,-341.00M,,2014-09,AOR,Restated
2014-06,145.00M,,,,,,,116.00M,116.00M,-6.00M,,,,55.00M,-47.00M,-99.00M,,184.00M,27.00M,,4.00M,-1.00M,378.00M,,2014-06,-106.00M,,,-61.00M,,-128.00M,,2014-06,-39.00M,-184.00M,-223.00M,,0.00,0.00,-5.00M,-5.00M,,-217.00M,,2014-06,780.00M,2.00M,815.00M,,2014-06,,20.00M,-59.00M,,2014-06,AOR,Restated
2014-03,87.00M,,,,,,,98.00M,98.00M,-8.00M,,,,80.00M,-49.00M,-180.00M,,-74.00M,-11.00M,,31.00M,-1.00M,-27.00M,,2014-03,-66.00M,,,-1.489B,,-1.52B,,2014-03,1.069B,184.00M,1.253B,,-150.00M,-150.00M,-6.00M,-6.00M,,1.116B,,2014-03,1.211B,0.00,780.00M,,2014-03,,1.131B,-62.00M,,2014-03,AOR,Restated
2013-12,171.00M,,,,,,,104.00M,104.00M,12.00M,,,,39.00M,60.00M,325.00M,,184.00M,9.00M,,12.00M,2.00M,918.00M,,2013-12,-144.00M,,,-143.00M,,-233.00M,,2013-12,-23.00M,-96.00M,-119.00M,,0.00,0.00,-6.00M,-6.00M,,-113.00M,,2013-12,637.00M,2.00M,1.211B,,2013-12,,36.00M,-59.00M,,2013-12,AOR,Restated
2013-09,98.00M,,,,,,,93.00M,93.00M,32.00M,,,,43.00M,-9.00M,2.00M,,134.00M,-28.00M,,-6.00M,2.00M,361.00M,,2013-09,-110.00M,,,0.00,,37.00M,,2013-09,-62.00M,-270.00M,-332.00M,,0.00,0.00,-5.00M,-5.00M,,-334.00M,,2013-09,571.00M,2.00M,637.00M,,2013-09,,-356.00M,-72.00M,,2013-09,AOR,Restated
2013-06,114.00M,,,,,,,95.00M,95.00M,31.00M,,,,249.00M,-48.00M,-191.00M,,-163.00M,-36.00M,,-118.00M,-3.00M,-70.00M,,2013-06,-113.00M,,,-35.00M,,-84.00M,,2013-06,-297.00M,161.00M,-136.00M,,0.00,0.00,-6.00M,-6.00M,,-65.00M,,2013-06,791.00M,-1.00M,571.00M,,2013-06,,522.00M,-658.00M,,2013-06,AOR,Restated
