,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-01,254.00M,,,,49.00M,68.00M,68.00M,7.00M,,,-15.00M,71.00M,142.00M,10.00M,-55.00M,,,5.00M,173.00M,,536.00M,,-47.00M,1.00M,-46.00M,,,,-46.00M,,,,-87.00M,20.00M,-127.00M,-107.00M,,-74.00M,0.00,-268.00M,,45.00M,222.00M,0.00,267.00M,,20.00M,,,-127.00M,,,
2005-10,302.00M,,,,-33.00M,69.00M,69.00M,-5.00M,,,,-280.00M,-100.00M,-1.00M,207.00M,,,-46.00M,-220.00M,,113.00M,,-38.00M,,-38.00M,,,,-38.00M,,,,-18.00M,18.00M,,18.00M,,-70.00M,1.00M,-69.00M,,40.00M,6.00M,-1.00M,45.00M,,18.00M,,,,,,
2005-07,96.00M,,,,42.00M,72.00M,72.00M,24.00M,,,-120.00M,18.00M,-101.00M,-16.00M,93.00M,,53.00M,57.00M,104.00M,,218.00M,,-166.00M,3.00M,-163.00M,,,0.00,-163.00M,,,,39.00M,30.00M,-44.00M,-14.00M,,-70.00M,,-45.00M,,32.00M,10.00M,-2.00M,40.00M,,30.00M,,,-44.00M,,,
2005-04,146.00M,,,,34.00M,71.00M,71.00M,19.00M,,,33.00M,175.00M,51.00M,1.00M,-195.00M,,-53.00M,-10.00M,-31.00M,,272.00M,,-62.00M,0.00,-62.00M,,,7.00M,-55.00M,,,,-120.00M,15.00M,-62.00M,-47.00M,,-70.00M,,-237.00M,,51.00M,-20.00M,1.00M,32.00M,,15.00M,,,-62.00M,,,
2005-01,235.00M,,,,24.00M,68.00M,68.00M,3.00M,,,-33.00M,65.00M,123.00M,13.00M,-84.00M,,,22.00M,139.00M,,436.00M,,-57.00M,5.00M,-52.00M,,,,-52.00M,,,,-329.00M,23.00M,0.00,23.00M,,-70.00M,,-376.00M,,44.00M,8.00M,-1.00M,51.00M,,23.00M,,,0.00,,,
2004-10,230.00M,,,,22.00M,68.00M,68.00M,1.00M,,,,-268.00M,-67.00M,-15.00M,162.00M,,,-69.00M,-257.00M,,64.00M,,-47.00M,3.00M,-44.00M,,,,-44.00M,,,,56.00M,3.00M,-4.00M,-1.00M,,-65.00M,,-10.00M,,32.00M,10.00M,2.00M,44.00M,,3.00M,,,-4.00M,,,
2004-07,59.00M,,,,62.00M,65.00M,65.00M,35.00M,,,-168.00M,-10.00M,-107.00M,10.00M,76.00M,,54.00M,92.00M,115.00M,,168.00M,,-146.00M,12.00M,-134.00M,0.00,,,-134.00M,,,,48.00M,5.00M,-18.00M,-13.00M,,-65.00M,,-30.00M,,28.00M,4.00M,0.00,32.00M,,5.00M,,,-18.00M,,,
2004-04,142.00M,,,,19.00M,68.00M,68.00M,14.00M,,,75.00M,152.00M,19.00M,-5.00M,-147.00M,,-54.00M,-39.00M,-74.00M,,244.00M,,-66.00M,7.00M,-59.00M,0.00,,,-59.00M,,,,-126.00M,12.00M,-19.00M,-7.00M,,-65.00M,,-198.00M,,41.00M,-13.00M,0.00,28.00M,,12.00M,,,-19.00M,,,
2004-01,235.00M,,,,31.00M,64.00M,64.00M,4.00M,,,6.00M,34.00M,100.00M,6.00M,-29.00M,,,-53.00M,58.00M,,398.00M,,-53.00M,2.00M,-51.00M,0.00,,,-51.00M,,,,-275.00M,4.00M,-15.00M,-11.00M,,-64.00M,,-350.00M,,39.00M,-3.00M,5.00M,41.00M,,4.00M,,,-15.00M,,,
2003-10,211.00M,,,,17.00M,63.00M,63.00M,-2.00M,,,-81.00M,-237.00M,-79.00M,-9.00M,51.00M,,,,-274.00M,,-66.00M,,-23.00M,1.00M,-22.00M,-9.00M,,,-31.00M,,,,168.00M,4.00M,-4.00M,0.00,,-65.00M,,103.00M,,32.00M,6.00M,1.00M,39.00M,,4.00M,,,-4.00M,,,
2003-07,74.00M,,,,52.00M,63.00M,63.00M,73.00M,,,,70.00M,-94.00M,2.00M,28.00M,,,36.00M,-95.00M,,167.00M,,-125.00M,16.00M,-109.00M,-1.00M,0.00,,-110.00M,,,,23.00M,2.00M,-11.00M,-9.00M,,-65.00M,,-51.00M,,27.00M,6.00M,-1.00M,32.00M,,2.00M,,,-11.00M,,,
2003-04,129.00M,,,,13.00M,69.00M,69.00M,3.00M,,,,138.00M,55.00M,-1.00M,-66.00M,,,-107.00M,19.00M,,233.00M,,-65.00M,7.00M,-58.00M,-8.00M,-4.00M,1.00M,-69.00M,,,,-109.00M,10.00M,-10.00M,0.00,,-65.00M,,-174.00M,,37.00M,-10.00M,0.00,27.00M,,10.00M,,,-10.00M,,,
2003-01,231.00M,,,,16.00M,56.00M,56.00M,-1.00M,,,,62.00M,98.00M,,,,,-59.00M,101.00M,,403.00M,,-56.00M,9.00M,-47.00M,0.00,,0.00,-47.00M,,,,-300.00M,4.00M,-3.00M,1.00M,,-64.00M,,-363.00M,,41.00M,-7.00M,3.00M,37.00M,,4.00M,,,-3.00M,,,
2002-10,161.00M,,,,43.00M,55.00M,55.00M,-3.00M,,,,-224.00M,-92.00M,,,,,130.00M,-186.00M,,70.00M,,-37.00M,,-37.00M,-168.00M,,-1.00M,-206.00M,,,,220.00M,1.00M,,1.00M,,-65.00M,,156.00M,,21.00M,20.00M,,41.00M,,1.00M,,,,,,
2002-07,55.00M,,,,7.00M,90.00M,90.00M,15.00M,,,,24.00M,-98.00M,,,,,95.00M,21.00M,,188.00M,,-157.00M,1.00M,-156.00M,0.00,,-1.00M,-157.00M,,,,34.00M,7.00M,,2.00M,,-65.00M,-5.00M,-34.00M,,27.00M,-3.00M,-3.00M,21.00M,,7.00M,,,,,,
2002-04,96.00M,,,,16.00M,82.00M,82.00M,-8.00M,,,,221.00M,44.00M,,,,,-113.00M,152.00M,,338.00M,,-51.00M,3.00M,-48.00M,0.00,,-8.00M,-56.00M,,,,-229.00M,3.00M,,3.00M,,-64.00M,0.00,-290.00M,,32.00M,-8.00M,3.00M,27.00M,,3.00M,,,,,,
2002-01,203.00M,,,,12.00M,74.00M,74.00M,-4.00M,,,,51.00M,80.00M,,,,,-71.00M,60.00M,,345.00M,,-37.00M,4.00M,-33.00M,-15.00M,,-2.00M,-50.00M,,,,-239.00M,3.00M,,3.00M,,-65.00M,4.00M,-297.00M,,35.00M,-2.00M,-1.00M,32.00M,,3.00M,,,,,,
2001-10,171.00M,,,,18.00M,73.00M,73.00M,2.00M,,,,-256.00M,-56.00M,,,,,194.00M,-118.00M,,146.00M,,-24.00M,,-24.00M,,,-1.00M,-25.00M,,,,-9.00M,1.00M,,1.00M,,-92.00M,-5.00M,-105.00M,,24.00M,16.00M,-5.00M,35.00M,,1.00M,,,,,,
2001-07,52.00M,,,,20.00M,78.00M,78.00M,12.00M,,,,-46.00M,-103.00M,,,8.00M,,151.00M,10.00M,,172.00M,,-97.00M,1.00M,-96.00M,,,-2.00M,-1.009B,,,,917.00M,10.00M,0.00,10.00M,,-93.00M,,834.00M,,21.00M,-3.00M,6.00M,24.00M,,10.00M,,,0.00,,,
2001-04,122.00M,,,,5.00M,64.00M,64.00M,-2.00M,,,,147.00M,33.00M,,,-8.00M,,-171.00M,1.00M,,190.00M,,-41.00M,1.00M,-40.00M,,,-14.00M,-54.00M,,,,-34.00M,5.00M,-29.00M,-24.00M,,-92.00M,,-150.00M,,38.00M,-14.00M,-3.00M,21.00M,,5.00M,,,-29.00M,,,
2001-01,271.00M,,,,12.00M,62.00M,62.00M,0.00,,,,68.00M,103.00M,,,,,-31.00M,140.00M,,485.00M,,-38.00M,5.00M,-33.00M,,,-1.00M,-34.00M,,,,208.00M,8.00M,-560.00M,-552.00M,,-94.00M,,-438.00M,,25.00M,13.00M,0.00,38.00M,,8.00M,,,-560.00M,,,
2000-10,204.00M,,,,11.00M,62.00M,62.00M,-6.00M,,,,-180.00M,-34.00M,,,,,202.00M,-12.00M,,259.00M,,-24.00M,1.00M,-23.00M,,,-2.00M,-25.00M,,,,-108.00M,1.00M,-29.00M,-28.00M,,-95.00M,,-231.00M,,27.00M,3.00M,-5.00M,25.00M,,1.00M,,,-29.00M,,,
2000-07,59.00M,,,,-1.00M,62.00M,62.00M,16.00M,,,,29.00M,-12.00M,,,,,78.00M,95.00M,,231.00M,,-80.00M,4.00M,-76.00M,,,3.00M,-73.00M,,,,-55.00M,8.00M,-20.00M,-12.00M,,-95.00M,,-162.00M,,34.00M,-4.00M,-3.00M,27.00M,,8.00M,,,-20.00M,,,
2000-04,139.00M,,,,11.00M,66.00M,66.00M,0.00,,,,158.00M,5.00M,,,,,-171.00M,-8.00M,,208.00M,,-47.00M,11.00M,-36.00M,,,-18.00M,-54.00M,,,,-24.00M,-4.00M,-91.00M,-95.00M,,-95.00M,,-214.00M,,92.00M,-60.00M,2.00M,34.00M,,-4.00M,,,-91.00M,,,
2000-01,281.00M,,,,9.00M,61.00M,61.00M,2.00M,,,,45.00M,103.00M,,,,,-36.00M,112.00M,,465.00M,,-37.00M,2.00M,-35.00M,,,-6.00M,-41.00M,,,,-146.00M,4.00M,-128.00M,-124.00M,,-97.00M,,-367.00M,,34.00M,57.00M,1.00M,92.00M,,4.00M,,,-128.00M,,,
1999-10,235.00M,,,,1.00M,62.00M,62.00M,-1.00M,,,,-142.00M,-73.00M,,,,,179.00M,-36.00M,,261.00M,,-36.00M,1.00M,-35.00M,,,-1.00M,-36.00M,,,,40.00M,12.00M,-155.00M,-143.00M,,-97.00M,,-200.00M,,6.00M,25.00M,3.00M,34.00M,,12.00M,,,-155.00M,,,
1999-07,79.00M,,,,22.00M,64.00M,64.00M,84.00M,,,,-20.00M,-33.00M,,,,,13.00M,-40.00M,,209.00M,,-99.00M,104.00M,5.00M,0.00,,-5.00M,0.00,,,,142.00M,-7.00M,-252.00M,-259.00M,,-98.00M,2.00M,-213.00M,,24.00M,-4.00M,-14.00M,6.00M,,-7.00M,,,-252.00M,,,
1999-04,162.00M,,,,20.00M,68.00M,68.00M,-3.00M,,,,175.00M,37.00M,,,,,-103.00M,109.00M,,356.00M,,-72.00M,0.00,-72.00M,0.00,,-19.00M,-91.00M,,,,127.00M,-22.00M,-285.00M,-307.00M,,-100.00M,-2.00M,-282.00M,,30.00M,-17.00M,11.00M,24.00M,,-22.00M,,,-285.00M,,,
1999-01,219.00M,,,,-17.00M,64.00M,64.00M,0.00,,,,113.00M,35.00M,,,,,-206.00M,-58.00M,,208.00M,,-79.00M,0.00,-79.00M,0.00,,-4.00M,-83.00M,,,,243.00M,10.00M,-274.00M,-264.00M,,-93.00M,,-114.00M,,19.00M,11.00M,0.00,30.00M,,10.00M,,,-274.00M,,,
1998-10,264.00M,,,,16.00M,59.00M,59.00M,-3.00M,,,,-160.00M,-97.00M,,,,,102.00M,-155.00M,,181.00M,,-47.00M,8.00M,-39.00M,-105.00M,,-4.00M,-148.00M,,,,229.00M,54.00M,-215.00M,-161.00M,,-95.00M,,-27.00M,,16.00M,6.00M,-3.00M,19.00M,,54.00M,,,-215.00M,,,
1998-07,182.00M,,,,-7.00M,60.00M,60.00M,40.00M,,,,-14.00M,-69.00M,,,,,-47.00M,-130.00M,75.00M,220.00M,,-105.00M,307.00M,202.00M,-6.00M,,-4.00M,192.00M,,,,-247.00M,26.00M,-124.00M,-98.00M,,-95.00M,,-440.00M,,46.00M,-28.00M,-2.00M,16.00M,,26.00M,,,-124.00M,,,
1998-04,-89.00M,,,,355.00M,68.00M,68.00M,-68.00M,,,,78.00M,1.00M,,,,,-102.00M,-23.00M,486.00M,729.00M,,-61.00M,11.00M,-50.00M,0.00,,4.00M,-46.00M,,,,-516.00M,27.00M,-241.00M,-214.00M,,0.00,,-730.00M,,98.00M,-47.00M,-5.00M,46.00M,,27.00M,,,-241.00M,,,
1998-01,311.00M,,,,-12.00M,65.00M,65.00M,12.00M,,,,17.00M,80.00M,,,,,-129.00M,-32.00M,25.00M,369.00M,,-46.00M,24.00M,-22.00M,-472.00M,,0.00,-494.00M,,,,441.00M,18.00M,-185.00M,-167.00M,,-96.00M,,178.00M,,54.00M,53.00M,-9.00M,98.00M,,18.00M,,,-185.00M,,,
1997-10,267.00M,,,,-3.00M,68.00M,68.00M,-5.00M,,,,-240.00M,-41.00M,,,,,124.00M,-157.00M,-75.00M,95.00M,,-44.00M,6.00M,-38.00M,,,-5.00M,-43.00M,,,,251.00M,31.00M,-119.00M,-88.00M,,-176.00M,,-13.00M,,17.00M,39.00M,-2.00M,54.00M,,31.00M,,,-119.00M,,,
1997-07,192.00M,,,,15.00M,64.00M,64.00M,17.00M,,,,53.00M,-155.00M,,,,,-57.00M,-159.00M,128.00M,257.00M,,-103.00M,147.00M,44.00M,-1.00M,,29.00M,72.00M,,,,-50.00M,46.00M,-245.00M,-199.00M,,-90.00M,,-339.00M,,0.00,-10.00M,27.00M,17.00M,,46.00M,,,-245.00M,,,
1997-04,157.00M,,,,-76.00M,59.00M,59.00M,14.00M,,,,199.00M,33.00M,,,,,-83.00M,149.00M,-23.00M,280.00M,,-16.00M,7.00M,-9.00M,11.00M,,-6.00M,-4.00M,,,,-39.00M,40.00M,-216.00M,-176.00M,,-85.00M,,-300.00M,,31.00M,-24.00M,-1.00M,0.00,,40.00M,,,-216.00M,,,
1997-01,276.00M,,,,19.00M,81.00M,81.00M,-3.00M,,,,-52.00M,153.00M,,,,,-64.00M,37.00M,,410.00M,,-64.00M,5.00M,-59.00M,-11.00M,,-18.00M,-88.00M,,,,-138.00M,19.00M,-134.00M,-115.00M,,-89.00M,4.00M,-338.00M,,52.00M,-16.00M,-5.00M,31.00M,,19.00M,,,-134.00M,,,
1996-10,88.00M,,,,262.00M,79.00M,79.00M,-61.00M,,,,-237.00M,-79.00M,,,,,115.00M,-201.00M,,167.00M,,-69.00M,89.00M,20.00M,-227.00M,,-1.00M,-208.00M,,,,1.257B,1.00M,-1.101B,-1.10B,,-86.00M,-4.00M,67.00M,,34.00M,26.00M,-8.00M,52.00M,,1.00M,,,-1.101B,,,
1996-07,181.00M,,,,-86.00M,39.00M,39.00M,40.00M,,,,24.00M,-46.00M,,,,,82.00M,60.00M,,327.00M,,-91.00M,32.00M,-59.00M,-37.00M,,-40.00M,-136.00M,,,,-30.00M,11.00M,-105.00M,-94.00M,,-97.00M,,-221.00M,,57.00M,-30.00M,3.00M,28.00M,,11.00M,,,-105.00M,,,
1996-04,145.00M,,,,59.00M,82.00M,82.00M,1.00M,,,-49.00M,150.00M,28.00M,,,,,-114.00M,64.00M,,302.00M,,-101.00M,22.00M,-79.00M,-7.00M,,-75.00M,-161.00M,,,,14.00M,19.00M,-99.00M,-80.00M,,-86.00M,,-152.00M,,56.00M,-11.00M,12.00M,57.00M,,19.00M,,,-99.00M,,,
1996-01,257.00M,,,,,81.00M,81.00M,-2.00M,,,23.00M,31.00M,139.00M,,,,,-93.00M,77.00M,,436.00M,,-86.00M,46.00M,-40.00M,-35.00M,,1.00M,-74.00M,,,,-308.00M,23.00M,0.00,23.00M,,-78.00M,,-363.00M,,69.00M,-1.00M,-12.00M,56.00M,,23.00M,,,0.00,,,
1995-10,219.00M,,,,,78.00M,78.00M,6.00M,,,26.00M,-226.00M,-147.00M,,,,,134.00M,-239.00M,,90.00M,,-79.00M,6.00M,-73.00M,-107.00M,,-6.00M,-186.00M,,,,213.00M,11.00M,-40.00M,-29.00M,,-77.00M,,107.00M,,53.00M,11.00M,5.00M,69.00M,,11.00M,,,-40.00M,,,
1995-07,143.00M,,,,,84.00M,84.00M,30.00M,,,-55.00M,45.00M,-59.00M,,,,,131.00M,117.00M,,367.00M,,-162.00M,-37.00M,-199.00M,2.00M,21.00M,-7.00M,-183.00M,,,,-255.00M,7.00M,-23.00M,-16.00M,,0.00,,-271.00M,,134.00M,-87.00M,4.00M,53.00M,,7.00M,,,-23.00M,,,
1995-04,127.00M,,,,,67.00M,67.00M,6.00M,,,14.00M,131.00M,64.00M,,,,,-66.00M,129.00M,,343.00M,,-92.00M,49.00M,-43.00M,-1.063B,2.00M,-43.00M,-1.147B,,,,984.00M,15.00M,-1.00M,14.00M,,-155.00M,,843.00M,,89.00M,39.00M,6.00M,134.00M,,15.00M,,,-1.00M,,,
1995-01,231.00M,,,,,80.00M,80.00M,4.00M,,,17.00M,-6.00M,152.00M,,,,,-93.00M,53.00M,,385.00M,,-77.00M,15.00M,-62.00M,-17.00M,-11.00M,1.00M,-89.00M,,,,-224.00M,10.00M,,10.00M,,-70.00M,,-284.00M,,88.00M,12.00M,-11.00M,89.00M,,10.00M,,,,,,
1994-10,197.00M,,,,,63.00M,63.00M,,,,24.00M,-188.00M,-94.00M,,,,,88.00M,-194.00M,,90.00M,,-60.00M,6.00M,-54.00M,-177.00M,-12.00M,4.00M,-239.00M,,,,203.00M,5.00M,,5.00M,,-70.00M,,138.00M,,94.00M,-11.00M,5.00M,88.00M,,5.00M,,,,,,
1994-07,142.00M,,,,,62.00M,62.00M,26.00M,,,5.00M,38.00M,-37.00M,,,,37.00M,,38.00M,,273.00M,,-143.00M,9.00M,-134.00M,,-7.00M,12.00M,-129.00M,,,,-47.00M,3.00M,-99.00M,-96.00M,,-1.00M,,-144.00M,,0.00,0.00,8.00M,0.00,,3.00M,,,-99.00M,,,
1994-04,119.00M,,,,,68.00M,68.00M,4.00M,,,12.00M,149.00M,40.00M,,,,-32.00M,,157.00M,,360.00M,,-102.00M,18.00M,-84.00M,,15.00M,-63.00M,-132.00M,,,,-62.00M,5.00M,-5.00M,0.00,,-139.00M,,-201.00M,,0.00,27.00M,-2.00M,0.00,,5.00M,,,-5.00M,,,
1994-01,203.00M,,,,,64.00M,64.00M,1.00M,,,11.00M,47.00M,136.00M,,,,-130.00M,,53.00M,,332.00M,,-93.00M,15.00M,-78.00M,,-10.00M,9.00M,-79.00M,,,,-180.00M,5.00M,0.00,5.00M,,-63.00M,,-238.00M,,0.00,15.00M,-2.00M,0.00,,5.00M,,,0.00,,,
1993-10,166.00M,,,,,61.00M,61.00M,3.00M,,,18.00M,-161.00M,-121.00M,,,,37.00M,,-245.00M,,3.00M,,-83.00M,,-83.00M,,2.00M,12.00M,-69.00M,,,,150.00M,3.00M,-41.00M,-38.00M,,-63.00M,,49.00M,,63.00M,-17.00M,2.00M,0.00,,3.00M,,,-41.00M,,,
1993-07,108.00M,,,,0.00,68.60M,68.60M,,,,82.50M,31.20M,-99.50M,,,,71.10M,,2.80M,,213.90M,,-186.30M,,-148.60M,,,-2.90M,-151.50M,,,,-52.60M,-1.80M,-16.60M,-18.40M,,0.50M,0.10M,-70.40M,,0.00,-8.00M,0.60M,0.00,,-1.80M,,,-16.60M,,,
1993-04,108.50M,,,,0.00,60.80M,60.80M,,,,11.30M,137.10M,79.20M,,,,-94.30M,,122.00M,,302.60M,,-67.40M,,-67.40M,,136.60M,-306.50M,-237.30M,,,,79.10M,8.00M,-25.70M,-17.70M,,-119.20M,0.00,-57.80M,,0.00,7.50M,-3.80M,0.00,,8.00M,,,-25.70M,,,
1993-01,-115.90M,,,,353.00M,56.70M,56.70M,,,,-58.00M,-40.80M,91.70M,,,,-129.90M,,-79.00M,,156.80M,,-57.90M,,-57.90M,,-136.60M,28.90M,-165.60M,,,,-1.50M,18.40M,,18.40M,,0.00,0.00,16.90M,,0.00,8.10M,-2.50M,0.00,,18.40M,,,,,,
1992-10,156.60M,,,,,56.10M,56.10M,,,,5.40M,-200.90M,-161.60M,,,,123.50M,,-239.00M,,-20.90M,,-54.70M,,-54.70M,,,7.80M,-46.90M,,,,101.00M,10.90M,,10.90M,,-97.70M,-0.10M,14.10M,,112.10M,-53.70M,2.30M,0.00,,10.90M,,,,,,
1992-07,109.20M,,,,,61.20M,61.20M,,,,-31.80M,90.70M,-70.00M,,,,81.10M,,101.80M,,274.80M,,-147.10M,,-119.00M,,,-27.30M,-139.10M,,,,-83.10M,3.80M,0.00,3.80M,,-49.20M,0.00,-128.50M,,0.00,7.20M,2.30M,0.00,,3.80M,,,0.00,,,
1992-04,91.50M,,,,,53.10M,53.10M,,,,27.00M,65.30M,115.90M,,,,-81.60M,,99.60M,,271.20M,,-79.80M,,-79.80M,,,-71.00M,-150.80M,,,,-94.10M,3.40M,-28.20M,-24.80M,,-43.90M,0.00,-162.80M,,0.00,-42.40M,5.20M,0.00,,3.40M,,,-28.20M,,,
1992-01,160.60M,,,,,51.80M,51.80M,,,,22.20M,-39.80M,123.60M,,,,-72.40M,,11.40M,,246.00M,,-67.10M,,-67.10M,,,17.90M,-49.20M,,,,-102.30M,6.90M,0.00,6.90M,,-36.40M,0.00,-131.80M,,0.00,65.00M,-5.10M,0.00,,6.90M,,,0.00,,,
1991-10,129.20M,,,,,50.10M,50.10M,,,,7.70M,-132.80M,-162.40M,,,,60.50M,,-234.70M,,-47.70M,,-42.50M,,-42.50M,,,-5.40M,-47.90M,,,,146.90M,5.10M,-121.40M,-116.30M,,-36.90M,-0.10M,-6.40M,,178.90M,-102.00M,3.00M,0.00,,5.10M,,,-121.40M,,,
1991-07,84.70M,,,,,52.20M,52.20M,,,,-2.00M,49.60M,-20.50M,,,,87.80M,,116.90M,,287.30M,,-132.70M,76.50M,-56.20M,,10.60M,-221.70M,-267.30M,,,,45.30M,,-38.60M,9.10M,,-36.70M,-0.20M,17.50M,,0.00,37.50M,-4.60M,0.00,,,,,-38.60M,,,
1991-04,76.40M,,,,,51.10M,51.10M,,,,54.10M,152.00M,82.10M,,,,-109.00M,,125.10M,,306.70M,,-85.10M,27.60M,-57.50M,,1.60M,-28.10M,-84.00M,,,,-156.90M,,15.70M,15.70M,,-36.60M,0.00,-177.80M,,0.00,44.90M,-6.10M,0.00,,,,,15.70M,,,
1991-01,135.30M,,,,,52.00M,52.00M,,,,4.40M,-55.10M,146.50M,,,,-53.40M,,38.00M,,229.70M,,-91.90M,0.80M,-91.10M,,0.90M,12.70M,-77.50M,,,,-85.80M,,-5.50M,-5.50M,,-31.90M,0.20M,-123.00M,,0.00,29.20M,2.20M,0.00,,,,,-5.50M,,,
1990-10,105.10M,,,,,53.30M,53.30M,,,,6.70M,-129.40M,-159.40M,,,,105.20M,,-183.60M,,-18.50M,,-51.40M,5.70M,-45.70M,,-3.40M,-0.80M,-49.90M,,,,243.30M,,-147.20M,-147.20M,,-32.30M,-0.10M,63.70M,,80.70M,-4.70M,-0.20M,0.00,,,,,-147.20M,,,
1990-07,-238.40M,,,,,19.20M,19.20M,,,,,-9.20M,40.60M,,,87.70M,,,128.40M,,192.70M,,-133.80M,35.70M,-98.10M,,-2.70M,33.20M,-67.60M,,,,-148.30M,,,-28.70M,,-32.40M,29.90M,-179.50M,,0.00,-54.40M,-6.20M,0.00,,,,,,,,
1990-04,54.60M,,,,,65.50M,65.50M,,,,,117.20M,62.60M,,,-128.30M,,,51.50M,,171.60M,,-92.10M,3.20M,-88.90M,,1.40M,-41.30M,-128.80M,,,,17.80M,-0.40M,,-0.40M,,-32.40M,-37.30M,-52.30M,,0.00,-9.50M,7.30M,0.00,,-0.40M,,,,,,
1990-01,105.20M,,,,,55.00M,55.00M,,,,,2.10M,116.30M,,,-66.20M,,,52.20M,,212.40M,,-97.40M,4.60M,-92.80M,,0.70M,-16.90M,-109.00M,,,,-68.80M,0.40M,,0.40M,,-29.80M,3.80M,-94.40M,,0.00,9.00M,-4.80M,0.00,,0.40M,,,,,,
1989-10,83.00M,,,,,61.20M,61.20M,,,,,-170.50M,-208.80M,,,106.80M,,,-272.50M,,-128.30M,,-64.30M,13.10M,-51.20M,,4.30M,-35.20M,-82.10M,,,,250.60M,,,,,-29.70M,3.50M,224.40M,,120.90M,14.00M,4.40M,0.00,,,,,,,,
