,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-04,199.00M,199.00M,873.00M,,873.00M,459.00M,617.00M,1.076B,,181.00M,2.329B,,,,,3.174B,,3.174B,,3.174B,4.608B,4.273B,8.881B,,,,182.00M,12.24B,14.57B,,848.00M,107.00M,14.00M,969.00M,671.00M,1.64B,,,,,1.763B,,1.763B,,,,3.403B,8.08B,,8.08B,936.00M,936.00M,,,7.00M,736.00M,9.752B,13.16B,,12.00M,2.236B,336.00M,1.104B,,,-76.00M,1.404B,,AOR,Restated
2018-01,196.00M,196.00M,738.00M,,738.00M,392.00M,477.00M,869.00M,,125.00M,1.928B,,,,,2.518B,,2.518B,,2.518B,2.259B,1.485B,3.744B,,,,146.00M,6.408B,8.336B,,707.00M,106.00M,17.00M,830.00M,523.00M,1.353B,,,,,1.659B,,1.659B,,,,3.012B,2.247B,,2.247B,383.00M,383.00M,,,7.00M,745.00M,3.375B,6.387B,,12.00M,2.734B,321.00M,1.104B,,,-21.00M,1.942B,,AOR,Restated
2017-10,163.00M,163.00M,766.00M,,766.00M,423.00M,578.00M,1.001B,,66.00M,1.996B,,,,,2.417B,,2.417B,,2.417B,2.086B,1.112B,3.198B,,,,135.00M,5.75B,7.746B,,713.00M,107.00M,53.00M,873.00M,518.00M,1.391B,,,,,1.192B,,1.192B,,,,2.583B,2.269B,,2.269B,531.00M,531.00M,,,8.00M,674.00M,3.474B,6.057B,,12.00M,2.555B,305.00M,1.106B,,,-85.00M,1.681B,,AOR,Restated
2017-07,319.00M,319.00M,550.00M,55.00M,605.00M,377.00M,525.00M,902.00M,,65.00M,1.90B,0.00,64.00M,1.557B,4.243B,,179.00M,6.043B,-3.589B,2.454B,2.115B,1.118B,3.233B,69.00M,,36.00M,26.00M,5.826B,7.726B,,666.00M,111.00M,20.00M,797.00M,277.00M,1.074B,,874.00M,,162.00M,1.036B,1.00M,1.037B,,,43.00M,2.395B,2.492B,7.00M,2.499B,490.00M,586.00M,508.00M,,8.00M,93.00M,3.686B,6.081B,,12.00M,2.385B,359.00M,1.066B,,,-53.00M,1.637B,,AOR,Restated
2017-04,313.00M,313.00M,618.00M,,618.00M,360.00M,431.00M,791.00M,,68.00M,1.79B,,,,,2.372B,,2.372B,,2.372B,2.057B,1.113B,3.17B,,,,119.00M,5.661B,7.451B,,568.00M,111.00M,13.00M,692.00M,538.00M,1.23B,,,,,1.122B,,1.122B,,,,2.352B,2.27B,,2.27B,412.00M,412.00M,,,9.00M,927.00M,3.609B,5.961B,,12.00M,2.173B,348.00M,934.00M,,,-118.00M,1.481B,,AOR,Restated
2017-01,309.00M,309.00M,714.00M,,714.00M,373.00M,447.00M,820.00M,,53.00M,1.896B,,,,,2.375B,,2.375B,,2.375B,2.064B,1.115B,3.179B,,,,120.00M,5.674B,7.57B,,564.00M,112.00M,16.00M,692.00M,559.00M,1.251B,,,,,1.185B,,1.185B,,,,2.436B,2.293B,,2.293B,402.00M,402.00M,,,9.00M,960.00M,3.655B,6.091B,,12.00M,2.102B,334.00M,865.00M,,,-113.00M,1.47B,,AOR,Restated
2016-10,290.00M,290.00M,841.00M,,841.00M,422.00M,542.00M,964.00M,,51.00M,2.146B,,,,,2.38B,,2.38B,,2.38B,2.259B,1.145B,3.404B,,,,109.00M,5.893B,8.039B,,653.00M,111.00M,119.00M,883.00M,587.00M,1.47B,,,,,1.29B,,1.29B,,,,2.76B,2.298B,,2.298B,414.00M,414.00M,,,9.00M,969.00M,3.681B,6.441B,,12.00M,2.112B,317.00M,745.00M,,,-107.00M,1.589B,,AOR,Restated
2016-07,296.00M,296.00M,554.00M,72.00M,626.00M,391.00M,549.00M,940.00M,,41.00M,1.908B,0.00,58.00M,1.488B,4.042B,,176.00M,5.764B,-3.357B,2.407B,2.263B,1.152B,3.415B,47.00M,,41.00M,19.00M,5.929B,7.837B,,610.00M,100.00M,22.00M,732.00M,325.00M,1.057B,,770.00M,,447.00M,1.217B,2.00M,1.219B,,,16.00M,2.555B,2.314B,,2.314B,396.00M,496.00M,786.00M,44.00M,8.00M,109.00M,3.749B,6.304B,,12.00M,1.927B,354.00M,664.00M,,,-104.00M,1.525B,,AOR,Restated
2016-04,383.00M,383.00M,648.00M,,648.00M,370.00M,459.00M,829.00M,,182.00M,2.042B,,,,,2.371B,,2.371B,,2.371B,2.377B,1.197B,3.574B,,,,94.00M,6.039B,8.081B,,487.00M,100.00M,54.00M,641.00M,602.00M,1.243B,,,,,1.134B,,1.134B,,,,2.377B,2.552B,,2.552B,485.00M,485.00M,,,-2.00M,993.00M,4.03B,6.407B,,12.00M,2.105B,342.00M,639.00M,,,-144.00M,1.676B,,AOR,Restated
2016-01,306.00M,306.00M,770.00M,,770.00M,387.00M,468.00M,855.00M,,201.00M,2.132B,,,,,2.34B,,2.34B,,2.34B,2.318B,1.193B,3.511B,,,,96.00M,5.947B,8.079B,,502.00M,100.00M,75.00M,677.00M,596.00M,1.273B,,,,,1.293B,,1.293B,,,,2.566B,2.551B,,2.551B,479.00M,479.00M,,,-2.00M,959.00M,3.989B,6.555B,,12.00M,2.017B,328.00M,608.00M,,,-223.00M,1.526B,,AOR,Restated
2015-10,263.00M,263.00M,829.00M,,829.00M,445.00M,604.00M,1.049B,,196.00M,2.337B,,,,,2.34B,,2.34B,,2.34B,2.331B,1.20B,3.531B,,,,96.00M,5.967B,8.304B,,567.00M,100.00M,123.00M,790.00M,569.00M,1.359B,,,,,1.545B,,1.545B,,,,2.904B,2.551B,,2.551B,462.00M,462.00M,,,-4.00M,977.00M,3.99B,6.894B,,12.00M,1.85B,309.00M,557.00M,,,-200.00M,1.414B,,AOR,Restated
2015-07,253.00M,253.00M,557.00M,90.00M,647.00M,427.00M,568.00M,995.00M,114.00M,52.00M,2.093B,0.00,57.00M,1.416B,3.802B,,238.00M,5.513B,-3.166B,2.347B,2.344B,1.205B,3.549B,10.00M,22.00M,25.00M,31.00M,5.984B,8.077B,,544.00M,101.00M,29.00M,674.00M,322.00M,996.00M,,1.532B,,10.00M,1.542B,1.00M,1.543B,,,12.00M,2.806B,2.539B,,2.539B,505.00M,609.00M,595.00M,8.00M,-4.00M,143.00M,3.894B,6.70B,,12.00M,1.754B,339.00M,556.00M,,,-168.00M,1.381B,,AOR,Restated
2015-04,230.00M,230.00M,641.00M,,641.00M,395.00M,481.00M,876.00M,,155.00M,1.902B,,,,,2.292B,,2.292B,,2.292B,2.281B,1.133B,3.414B,,,,151.00M,5.857B,7.759B,,462.00M,100.00M,38.00M,600.00M,491.00M,1.091B,,,,,1.232B,,1.232B,,,,2.323B,2.553B,,2.553B,573.00M,573.00M,,,-12.00M,725.00M,3.851B,6.174B,,12.00M,2.526B,331.00M,507.00M,,,-765.00M,1.597B,,AOR,Restated
2015-01,201.00M,201.00M,794.00M,,794.00M,410.00M,506.00M,916.00M,,179.00M,2.09B,,,,,2.257B,,2.257B,,2.257B,2.271B,1.139B,3.41B,,,,146.00M,5.813B,7.903B,,510.00M,100.00M,59.00M,669.00M,541.00M,1.21B,,,,,1.64B,,1.64B,,,,2.85B,2.253B,,2.253B,547.00M,547.00M,,,-12.00M,739.00M,3.539B,6.389B,,12.00M,2.441B,316.00M,448.00M,,,-795.00M,1.526B,,AOR,Restated
2014-10,239.00M,239.00M,840.00M,,840.00M,453.00M,652.00M,1.105B,,174.00M,2.358B,,,,,2.286B,,2.286B,,2.286B,2.379B,1.16B,3.539B,,,,114.00M,5.939B,8.297B,,597.00M,101.00M,118.00M,816.00M,524.00M,1.34B,,,,,1.828B,,1.828B,,,,3.168B,2.244B,,2.244B,560.00M,560.00M,,,-12.00M,719.00M,3.523B,6.691B,,12.00M,2.332B,301.00M,393.00M,,,-634.00M,1.618B,,AOR,Restated
2014-07,232.00M,232.00M,585.00M,85.00M,670.00M,399.00M,617.00M,1.016B,96.00M,71.00M,2.10B,0.00,62.00M,1.384B,3.856B,,217.00M,5.519B,-3.201B,2.318B,2.433B,1.175B,3.608B,,0.00,32.00M,55.00M,6.013B,8.113B,,527.00M,101.00M,37.00M,665.00M,299.00M,964.00M,,1.406B,,364.00M,1.77B,1.00M,1.771B,,,17.00M,2.989B,2.244B,,2.244B,548.00M,657.00M,529.00M,6.00M,-12.00M,85.00M,3.521B,6.51B,,12.00M,2.198B,330.00M,356.00M,,,-569.00M,1.615B,,AOR,Restated
2014-04,222.00M,222.00M,669.00M,,669.00M,359.00M,499.00M,858.00M,,198.00M,1.947B,,,,,2.263B,,2.263B,,2.263B,2.431B,1.185B,3.616B,,,,138.00M,6.017B,7.964B,,501.00M,101.00M,3.00M,605.00M,550.00M,1.155B,,,,,1.662B,,1.662B,,,,2.817B,2.247B,,2.247B,581.00M,581.00M,,,-11.00M,728.00M,3.556B,6.373B,,12.00M,2.159B,322.00M,364.00M,,,-527.00M,1.602B,,AOR,Restated
2014-01,293.00M,293.00M,783.00M,,783.00M,380.00M,511.00M,891.00M,,207.00M,2.174B,,,,,2.241B,,2.241B,,2.241B,2.381B,1.188B,3.569B,,,,135.00M,5.945B,8.119B,,528.00M,101.00M,10.00M,639.00M,592.00M,1.231B,,,,,1.958B,,1.958B,,,,3.189B,2.247B,,2.247B,555.00M,555.00M,,,-11.00M,729.00M,3.531B,6.72B,,12.00M,2.073B,315.00M,374.00M,,,-616.00M,1.41B,,AOR,Restated
2013-10,305.00M,305.00M,804.00M,,804.00M,425.00M,654.00M,1.079B,,206.00M,2.587B,,,,,2.283B,,2.283B,,2.283B,2.461B,1.194B,3.655B,,,,530.00M,6.468B,9.055B,,630.00M,101.00M,38.00M,769.00M,598.00M,1.367B,,,,,2.585B,,2.585B,,,152.00M,4.104B,2.247B,,2.247B,595.00M,595.00M,,,-4.00M,741.00M,3.606B,7.71B,,12.00M,1.847B,301.00M,305.00M,,,-506.00M,1.349B,,AOR,Restated
2013-07,333.00M,333.00M,576.00M,59.00M,635.00M,364.00M,561.00M,925.00M,90.00M,36.00M,2.221B,0.00,59.00M,1.349B,4.017B,,230.00M,5.655B,-3.395B,2.26B,2.297B,1.021B,3.318B,,23.00M,27.00M,474.00M,6.102B,8.323B,,523.00M,100.00M,19.00M,642.00M,312.00M,954.00M,,1.162B,,745.00M,1.907B,2.00M,1.909B,,,149.00M,3.282B,2.544B,,2.544B,489.00M,601.00M,551.00M,1.00M,-7.00M,112.00M,3.831B,7.113B,,12.00M,1.772B,362.00M,364.00M,,,-565.00M,1.217B,,AOR,Restated
2013-04,453.00M,453.00M,674.00M,,674.00M,359.00M,529.00M,888.00M,,162.00M,2.177B,,,,,2.356B,,2.356B,,2.356B,2.711B,1.075B,3.786B,,,,134.00M,6.276B,8.453B,,590.00M,8.00M,21.00M,619.00M,676.00M,1.295B,,,,,1.309B,,1.309B,,,,2.604B,2.944B,,2.944B,478.00M,478.00M,,,-4.00M,1.114B,4.536B,7.14B,,12.00M,2.022B,357.00M,365.00M,,,-709.00M,1.317B,,AOR,Restated
2013-01,410.00M,410.00M,799.00M,,799.00M,383.00M,503.00M,886.00M,,169.00M,2.264B,,,,,2.361B,,2.361B,,2.361B,2.743B,1.084B,3.827B,,,,141.00M,6.329B,8.593B,,631.00M,9.00M,32.00M,672.00M,730.00M,1.402B,,,,,1.489B,,1.489B,,,,2.891B,2.94B,,2.94B,479.00M,479.00M,,,-5.00M,1.128B,4.547B,7.438B,,12.00M,1.841B,331.00M,324.00M,,,-700.00M,1.16B,,AOR,Restated
2012-10,361.00M,361.00M,892.00M,,892.00M,431.00M,532.00M,963.00M,,185.00M,2.401B,,,,,,,,,2.409B,2.721B,1.081B,3.802B,,,,,6.346B,8.747B,,702.00M,98.00M,105.00M,905.00M,680.00M,1.585B,,,,,1.507B,,1.507B,,,,3.092B,2.94B,,2.94B,461.00M,461.00M,,,-2.00M,1.157B,4.558B,7.65B,,20.00M,9.736B,311.00M,8.223B,,,-745.00M,1.099B,,AOR,Restated
2012-07,335.00M,335.00M,513.00M,40.00M,553.00M,277.00M,437.00M,714.00M,104.00M,30.00M,1.771B,0.00,62.00M,1.26B,3.963B,,198.00M,5.483B,-3.356B,2.127B,2.013B,496.00M,2.509B,,10.00M,49.00M,64.00M,4.759B,6.53B,,571.00M,93.00M,22.00M,686.00M,302.00M,988.00M,,352.00M,,434.00M,786.00M,0.00,786.00M,,,29.00M,2.07B,2.004B,,2.004B,298.00M,394.00M,1.004B,54.00M,0.00,106.00M,3.562B,5.632B,,20.00M,9.584B,329.00M,8.259B,,,-776.00M,898.00M,,AOR,Restated
2012-04,383.00M,383.00M,564.00M,,564.00M,264.00M,409.00M,673.00M,,147.00M,1.767B,,,,,,,,,2.054B,2.047B,511.00M,2.558B,,,,113.00M,4.725B,6.492B,,507.00M,93.00M,10.00M,610.00M,547.00M,1.157B,,,,,751.00M,,751.00M,,,,1.908B,2.006B,,2.006B,439.00M,439.00M,,,0.00,867.00M,3.312B,5.22B,,20.00M,9.55B,331.00M,8.144B,,,-485.00M,1.272B,,AOR,Restated
2012-01,322.00M,322.00M,683.00M,,683.00M,297.00M,449.00M,746.00M,,167.00M,1.918B,,,,,,,,,2.047B,2.058B,511.00M,2.569B,,,,131.00M,4.747B,6.665B,,551.00M,93.00M,40.00M,684.00M,598.00M,1.282B,,,,,870.00M,,870.00M,,,,2.152B,2.008B,,2.008B,425.00M,425.00M,,,2.00M,883.00M,3.316B,5.468B,,20.00M,9.466B,332.00M,8.138B,,,-485.00M,1.195B,,AOR,Restated
2011-10,285.00M,285.00M,788.00M,,788.00M,330.00M,559.00M,889.00M,,161.00M,2.123B,,,,,,,,,2.057B,2.096B,523.00M,2.619B,,,,149.00M,4.825B,6.948B,,661.00M,94.00M,105.00M,860.00M,606.00M,1.466B,,,,,567.00M,,567.00M,,,,2.033B,2.422B,,2.422B,402.00M,402.00M,,,6.00M,924.00M,3.748B,5.781B,,20.00M,9.355B,313.00M,8.061B,,,-466.00M,1.161B,,AOR,Restated
2011-07,484.00M,484.00M,560.00M,,560.00M,261.00M,506.00M,767.00M,112.00M,39.00M,1.963B,0.00,64.00M,1.224B,3.896B,,179.00M,5.363B,-3.26B,2.103B,2.133B,527.00M,2.66B,,20.00M,47.00M,69.00M,4.899B,6.862B,,585.00M,95.00M,33.00M,713.00M,320.00M,1.033B,,563.00M,,93.00M,656.00M,1.00M,657.00M,,,37.00M,1.989B,2.427B,,2.427B,367.00M,511.00M,663.00M,90.00M,8.00M,86.00M,3.777B,5.766B,,20.00M,9.185B,331.00M,8.021B,,,-427.00M,1.088B,,AOR,Restated
2011-04,449.00M,449.00M,604.00M,,604.00M,270.00M,369.00M,639.00M,,150.00M,1.842B,,,,,,,,,2.06B,2.147B,537.00M,2.684B,,,,114.00M,4.858B,6.70B,,431.00M,94.00M,74.00M,599.00M,564.00M,1.163B,,,,,674.00M,,674.00M,,,,1.837B,2.431B,,2.431B,352.00M,352.00M,,,9.00M,1.009B,3.792B,5.629B,,20.00M,9.18B,335.00M,8.04B,,,-433.00M,1.062B,,AOR,Restated
2011-01,325.00M,325.00M,712.00M,,712.00M,285.00M,418.00M,703.00M,,174.00M,1.914B,,,,,,,,,2.018B,2.015B,520.00M,2.535B,,,,113.00M,4.666B,6.58B,,538.00M,97.00M,23.00M,658.00M,573.00M,1.231B,,,,,1.184B,,1.184B,,,,2.415B,1.937B,,1.937B,347.00M,347.00M,,,3.00M,989.00M,3.273B,5.688B,,20.00M,9.087B,316.00M,7.939B,,,-595.00M,889.00M,,AOR,Restated
2010-10,291.00M,291.00M,805.00M,,805.00M,320.00M,518.00M,838.00M,,190.00M,2.124B,,,,,,,,,2.042B,2.016B,522.00M,2.538B,,,,114.00M,4.694B,6.818B,,577.00M,94.00M,101.00M,772.00M,573.00M,1.345B,,,,,1.134B,,1.134B,,,,2.479B,1.946B,,1.946B,300.00M,300.00M,,,3.00M,989.00M,3.235B,5.714B,,20.00M,8.945B,294.00M,7.545B,,,-613.00M,1.101B,,AOR,Restated
2010-07,254.00M,254.00M,466.00M,46.00M,512.00M,261.00M,463.00M,724.00M,128.00M,53.00M,1.687B,0.00,61.00M,1.182B,3.651B,,149.00M,5.043B,-2.992B,2.051B,1.919B,509.00M,2.428B,,34.00M,21.00M,55.00M,4.589B,6.276B,,545.00M,95.00M,30.00M,670.00M,329.00M,999.00M,,96.00M,,738.00M,834.00M,1.00M,835.00M,,,2.00M,2.065B,1.945B,,1.945B,258.00M,407.00M,832.00M,22.00M,3.00M,76.00M,3.282B,5.347B,,20.00M,8.76B,341.00M,7.459B,,,-736.00M,926.00M,,AOR,Restated
2010-04,80.00M,80.00M,543.00M,,543.00M,226.00M,413.00M,639.00M,,169.00M,1.431B,,,,,1.995B,,1.995B,,1.995B,1.945B,512.00M,2.457B,,,,103.00M,4.555B,5.986B,,430.00M,95.00M,76.00M,601.00M,568.00M,1.169B,,,,,945.00M,,945.00M,,,,2.114B,1.542B,,1.542B,297.00M,297.00M,,,3.00M,937.00M,2.776B,4.89B,,20.00M,8.742B,328.00M,7.377B,,,-620.00M,1.093B,,AOR,Restated
2010-01,113.00M,113.00M,679.00M,,679.00M,250.00M,450.00M,700.00M,,140.00M,1.632B,,,,,1.969B,,1.969B,,1.969B,1.926B,516.00M,2.442B,,,,109.00M,4.52B,6.152B,,512.00M,96.00M,49.00M,657.00M,576.00M,1.233B,,,,,400.00M,,400.00M,,,,1.633B,2.25B,,2.25B,289.00M,289.00M,,,3.00M,954.00M,3.493B,5.126B,,20.00M,8.668B,311.00M,7.321B,,,-655.00M,1.023B,,AOR,Restated
2009-10,76.00M,76.00M,790.00M,,790.00M,320.00M,519.00M,839.00M,,147.00M,1.852B,,,,,1.985B,,1.985B,,1.985B,1.966B,528.00M,2.494B,,,,100.00M,4.579B,6.431B,,594.00M,88.00M,88.00M,770.00M,558.00M,1.328B,,,,,656.00M,,656.00M,,,,1.984B,2.249B,,2.249B,287.00M,287.00M,,,3.00M,956.00M,3.492B,5.476B,,20.00M,8.505B,291.00M,7.232B,,,-632.00M,952.00M,,AOR,Restated
2009-07,51.00M,51.00M,466.00M,62.00M,528.00M,324.00M,500.00M,824.00M,100.00M,38.00M,1.551B,0.00,59.00M,1.111B,3.481B,,242.00M,4.893B,-2.916B,1.977B,1.901B,522.00M,2.423B,,25.00M,24.00M,56.00M,4.505B,6.056B,,569.00M,88.00M,14.00M,671.00M,324.00M,995.00M,,350.00M,,28.00M,378.00M,,378.00M,,,19.00M,1.628B,2.243B,3.00M,2.246B,237.00M,379.00M,969.00M,19.00M,3.00M,84.00M,3.697B,5.325B,,20.00M,8.288B,332.00M,7.194B,,,-718.00M,728.00M,,AOR,Restated
2009-04,61.00M,61.00M,518.00M,,518.00M,282.00M,438.00M,720.00M,,149.00M,1.448B,,,,,1.812B,,1.812B,,1.812B,1.74B,552.00M,2.292B,,,,290.00M,4.394B,5.842B,,429.00M,89.00M,14.00M,532.00M,473.00M,1.005B,628.00M,,,,628.00M,,628.00M,,,,1.633B,1.954B,,1.954B,,,,,,1.125B,3.079B,4.712B,,20.00M,8.307B,316.00M,7.079B,,,-434.00M,1.13B,,AOR,Restated
2009-01,80.00M,80.00M,658.00M,,658.00M,279.00M,472.00M,751.00M,,149.00M,1.638B,,,,,,,4.587B,-2.827B,1.76B,1.646B,543.00M,2.189B,,,,324.00M,4.273B,5.911B,,504.00M,,,504.00M,517.00M,1.021B,754.00M,,,,754.00M,,754.00M,,,90.00M,1.865B,1.957B,,1.957B,381.00M,381.00M,,,,671.00M,3.009B,4.874B,,20.00M,8.221B,303.00M,6.972B,,,-535.00M,1.037B,,,Restated
