,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,20.93M,20.93M,253.55M,,253.55M,126.01M,,,52.37M,452.86M,,,12.26B,-2.189B,10.07B,730.13M,,730.13M,,,,252.78M,,11.05B,11.51B,,198.17M,,,198.17M,,198.17M,,694.78M,,694.78M,,,,573.01M,1.466B,,2.618B,,2.618B,1.867B,,1.942B,239.95M,,,5.282B,6.748B,,0.556M,1.871B,2.964B,,-76.38M,4.760B,,AOR,Restated
2018-03,71.07M,71.07M,407.13M,,407.13M,89.26M,,,55.26M,622.74M,,,11.90B,-2.142B,9.761B,730.13M,,730.13M,,,,242.12M,,10.73B,11.36B,,230.82M,,,230.82M,,230.82M,,579.60M,,579.60M,,,,538.70M,1.349B,,2.618B,,2.618B,1.845B,,1.946B,237.45M,,,5.286B,6.635B,,0.555M,1.854B,2.952B,,-85.01M,4.721B,,AOR,Restated
2017-12,54.75M,54.75M,489.22M,,489.22M,163.96M,,,70.98M,778.91M,,,11.61B,-2.091B,9.519B,730.13M,,730.13M,,,,236.89M,,10.49B,11.26B,,285.68M,,,285.68M,,285.68M,,336.82M,,336.82M,,,,336.92M,959.41M,,3.067B,,3.067B,1.779B,,1.961B,233.34M,,,5.742B,6.701B,,0.555M,1.729B,2.940B,,-106.32M,4.564B,,AOR,Restated
2017-09,26.41M,26.41M,135.09M,24.89M,222.26M,189.12M,32.16M,,1.536M,539.65M,,299.39M,11.30B,-2.042B,9.259B,730.13M,,730.13M,88.41M,,0.803M,,20.45M,10.21B,10.75B,,143.42M,116.29M,50.25M,309.97M,79.00M,388.96M,447.74M,447.74M,,447.74M,54.63M,70.19M,,41.48M,1.013B,12.83M,3.067B,,3.067B,1.879B,9.309M,1.888B,230.59M,112.08M,36.27M,5.837B,6.851B,,0.531M,1.467B,2.536B,,-105.25M,3.899B,,AOR,Restated
2017-06,69.78M,69.78M,250.22M,,250.22M,151.66M,,,62.72M,534.38M,,,10.95B,-2.028B,8.924B,729.67M,,729.67M,,,,310.34M,,9.964B,10.50B,,164.36M,,,164.36M,,164.36M,,258.57M,,258.57M,,,,322.72M,745.66M,,3.067B,,3.067B,1.854B,,2.023B,304.92M,,,5.851B,6.597B,,0.53M,1.480B,2.526B,,-104.60M,3.902B,,AOR,Restated
2017-03,45.40M,45.40M,336.64M,,336.64M,120.03M,,,61.02M,563.08M,,,10.73B,-1.987B,8.738B,729.67M,,729.67M,,,,330.22M,,9.798B,10.36B,,185.21M,,,185.21M,,185.21M,,920.61M,,920.61M,,,,390.25M,1.496B,,2.315B,,2.315B,1.810B,,1.965B,305.84M,,,5.031B,6.527B,,0.526M,1.457B,2.464B,,-86.89M,3.835B,,AOR,Restated
2016-12,44.62M,44.62M,458.81M,,458.81M,163.76M,,,76.75M,979.43M,,,10.49B,-1.940B,8.553B,729.67M,,729.67M,,,,317.09M,,9.600B,10.58B,,268.65M,,,268.65M,,268.65M,,1.191B,,1.191B,,,,490.42M,1.950B,,2.314B,,2.314B,1.725B,,1.884B,301.72M,,,4.930B,6.880B,,0.526M,1.340B,2.451B,,-92.65M,3.699B,,AOR,Restated
2016-09,47.53M,47.53M,120.13M,39.41M,221.34M,184.90M,21.49M,,7.102M,681.69M,,183.88M,10.14B,-1.874B,8.269B,726.96M,,726.96M,72.70M,,1.822M,,44.22M,9.329B,10.01B,,114.36M,104.14M,47.11M,265.61M,69.88M,335.49M,1.080B,1.080B,,1.080B,81.22M,101.40M,,187.91M,1.788B,13.40M,2.189B,,2.189B,1.603B,9.85M,1.613B,297.74M,184.05M,33.92M,4.760B,6.548B,,0.52M,1.263B,2.388B,,-188.02M,3.463B,,AOR,Restated
2016-06,66.21M,66.21M,277.36M,,277.36M,244.84M,,,60.50M,648.91M,,,9.972B,-1.919B,8.054B,742.70M,,742.70M,,,,282.21M,,9.078B,9.727B,,198.88M,,,198.88M,,198.88M,,920.47M,,920.47M,,,,410.45M,1.530B,,2.206B,,2.206B,1.586B,,1.814B,283.58M,,,4.731B,6.261B,,0.519M,1.273B,2.371B,,-178.23M,3.467B,,AOR,Restated
2016-03,47.92M,47.92M,361.58M,,361.58M,190.96M,,,52.45M,652.91M,,,9.722B,-1.883B,7.839B,742.70M,,742.70M,,,,308.90M,,8.891B,9.544B,,226.64M,,,226.64M,,226.64M,,626.93M,,626.93M,,,,373.78M,1.227B,,2.456B,,2.456B,1.558B,,1.795B,294.38M,,,4.972B,6.199B,,0.511M,1.245B,2.256B,,-157.24M,3.345B,,AOR,Restated
2015-12,78.90M,78.90M,456.90M,,456.90M,236.02M,,,91.45M,863.27M,,,9.503B,-1.850B,7.653B,742.70M,,742.70M,,,,295.39M,,8.691B,9.555B,,280.49M,,,280.49M,,280.49M,,763.24M,,763.24M,,,,471.33M,1.515B,,2.455B,,2.455B,1.441B,,1.597B,289.94M,,,4.767B,6.283B,,0.51M,1.132B,2.242B,,-102.96M,3.272B,,AOR,Restated
2015-09,28.65M,28.65M,204.58M,40.85M,299.64M,249.19M,23.06M,,6.822M,626.31M,,280.40M,9.240B,-1.810B,7.431B,742.70M,,742.70M,74.20M,,0.368M,,18.34M,8.449B,9.075B,,78.53M,93.67M,119.82M,292.03M,75.50M,367.53M,457.93M,457.93M,,457.93M,100.23M,184.25M,55.92M,75.66M,1.155B,9.063M,2.438B,,2.438B,1.411B,9.316M,1.421B,287.37M,110.54M,29.08M,4.725B,5.880B,,0.507M,1.073B,2.231B,,-109.33M,3.195B,,AOR,Restated
2015-06,43.15M,43.15M,301.74M,,301.74M,213.15M,,,58.60M,616.65M,,,9.017B,-1.805B,7.212B,742.03M,,742.03M,,,,313.72M,,8.268B,8.884B,,227.26M,,,227.26M,,227.26M,,251.98M,,251.98M,,,,437.34M,916.58M,,2.455B,,2.455B,1.429B,,1.524B,318.14M,,,4.730B,5.646B,,0.507M,1.093B,2.207B,,-62.24M,3.238B,,AOR,Restated
2015-03,95.52M,95.52M,511.83M,,511.83M,143.15M,,,67.13M,817.64M,,,8.790B,-1.764B,7.026B,742.03M,,742.03M,,,,340.90M,,8.109B,8.927B,,295.59M,,,295.59M,,295.59M,,224.99M,,224.99M,,,,497.93M,1.019B,,2.455B,,2.455B,1.339B,,1.521B,350.89M,,,4.768B,5.787B,,0.505M,1.075B,2.192B,,-128.09M,3.140B,,AOR,Restated
2014-12,123.83M,123.83M,607.42M,,607.42M,277.92M,,,109.60M,1.119B,,,8.661B,-1.749B,6.913B,742.03M,,742.03M,,,,341.76M,,7.996B,9.115B,,397.60M,,,397.60M,,397.60M,,550.90M,,550.90M,,,,472.11M,1.421B,,2.455B,,2.455B,1.256B,,1.386B,345.35M,,,4.631B,6.051B,,0.504M,975.98M,2.182B,,-94.20M,3.064B,,AOR,Restated
2014-09,42.26M,42.26M,262.94M,41.97M,348.88M,284.62M,25.04M,,9.145M,775.84M,,247.58M,8.448B,-1.722B,6.726B,742.03M,,742.03M,79.61M,,13.04M,13.70M,14.34M,7.819B,8.595B,,77.86M,77.60M,179.42M,334.89M,87.57M,422.46M,196.70M,196.70M,,196.70M,82.08M,165.90M,48.75M,67.78M,910.65M,10.51M,2.456B,,2.456B,1.287B,9.883M,1.296B,340.96M,20.13M,23.88M,4.598B,5.508B,,0.502M,917.97M,2.180B,,-12.39M,3.086B,,AOR,Restated
2014-06,51.42M,51.42M,388.87M,,388.87M,207.46M,,,126.89M,774.64M,,,8.218B,-1.757B,6.461B,741.36M,,741.36M,,,,379.73M,,7.583B,8.357B,,312.67M,,,312.67M,,312.67M,,500.00M,,500.00M,,,,343.03M,1.156B,,1.956B,,1.956B,1.341B,,1.390B,347.34M,,,4.085B,5.241B,,0.502M,932.58M,2.172B,,11.30M,3.117B,,AOR,Restated
2014-03,136.74M,136.74M,671.02M,,671.02M,124.95M,,,126.45M,1.059B,,,8.014B,-1.744B,6.270B,741.36M,,741.36M,,,,417.11M,,7.428B,8.488B,,442.82M,,,442.82M,,442.82M,,500.00M,,500.00M,,,,420.58M,1.363B,,1.956B,,1.956B,1.284B,,1.325B,360.85M,,,3.999B,5.363B,,0.501M,924.28M,2.163B,,36.83M,3.125B,,AOR,Restated
2013-12,194.56M,194.56M,661.21M,,661.21M,286.54M,,,157.25M,1.300B,,,7.862B,-1.709B,6.153B,741.36M,,741.36M,,,,422.20M,,7.317B,8.616B,,458.20M,,,458.20M,,458.20M,,1.190B,,1.190B,,,,365.51M,2.014B,,1.956B,,1.956B,1.230B,,1.269B,359.53M,,,3.941B,5.955B,,0.455M,828.31M,1.770B,,63.03M,2.661B,,AOR,Restated
2013-09,66.20M,66.20M,230.71M,33.19M,305.13M,250.25M,21.67M,,6.765M,677.13M,,275.75M,7.722B,-1.691B,6.031B,741.36M,,741.36M,72.68M,,109.35M,15.20M,14.60M,7.257B,7.934B,,70.12M,66.96M,121.20M,258.28M,87.04M,345.32M,367.98M,367.98M,,367.98M,76.31M,107.49M,14.70M,80.72M,978.49M,6.764M,2.456B,,2.456B,1.164B,11.72M,1.176B,358.79M,0.00,17.95M,4.375B,5.354B,,0.453M,775.27M,1.766B,,38.88M,2.580B,,AOR,Restated
2013-06,31.98M,31.98M,350.24M,,350.24M,209.10M,,,90.94M,682.25M,,,7.494B,-1.653B,5.841B,,,740.81M,,,,538.52M,,7.121B,7.803B,,229.88M,,,229.88M,,229.88M,,142.00M,,142.00M,,,,348.71M,720.58M,,2.456B,,2.456B,1.197B,,1.240B,444.54M,,,4.501B,5.221B,,0.453M,800.64M,1.757B,,23.29M,2.581B,,AOR,Restated
2013-03,65.55M,65.55M,485.60M,,485.60M,197.36M,,,253.92M,1.002B,,,7.435B,-1.725B,5.710B,,,740.82M,,,,500.21M,,6.951B,7.954B,,316.41M,,,316.41M,,316.41M,,233.00M,,233.00M,,,,377.36M,926.77M,,2.456B,,2.456B,1.168B,,1.208B,453.55M,,,4.483B,5.410B,,0.453M,793.93M,1.753B,,-3.934M,2.543B,,AOR,Restated
2012-12,124.60M,124.60M,500.86M,,500.86M,274.13M,,,265.04M,1.165B,,,7.284B,-1.688B,5.595B,,,740.84M,,,,463.45M,,6.800B,7.964B,,367.31M,,,367.31M,,367.31M,,831.02M,,831.02M,,,,446.72M,1.645B,,1.956B,,1.956B,1.066B,,1.110B,456.69M,,,3.895B,5.540B,,0.453M,709.44M,1.750B,,-36.08M,2.424B,,AOR,Restated
2012-09,64.24M,64.24M,177.95M,23.30M,235.82M,262.29M,17.11M,27.09M,10.78M,827.96M,,274.11M,7.134B,-1.659B,5.476B,,,740.85M,64.40M,,2.283M,11.16M,14.93M,6.668B,7.496B,,82.53M,64.32M,81.66M,228.51M,85.49M,314.00M,571.06M,571.06M,,571.06M,100.93M,124.00M,0.00,189.60M,1.276B,10.39M,1.956B,,1.956B,1.015B,12.94M,1.028B,457.20M,9.206M,12.56M,3.860B,5.136B,,0.451M,660.93M,1.745B,,-47.61M,2.359B,,AOR,Restated
2012-06,27.71M,27.71M,216.75M,,216.75M,239.33M,,,291.87M,775.66M,,,7.128B,-1.687B,5.442B,740.00M,0.174M,740.17M,,,,392.12M,,6.574B,7.350B,,,,,,,178.20M,463.62M,463.62M,,463.62M,,,,468.41M,1.110B,,1.956B,,1.956B,1.086B,,1.547B,,,,3.885B,4.995B,,0.451M,684.91M,1.737B,,-67.48M,2.355B,,AOR,Restated
2012-03,47.04M,47.04M,350.26M,,350.26M,221.11M,,,275.43M,893.84M,,,6.993B,-1.659B,5.334B,740.00M,0.185M,740.18M,,,,400.69M,,6.475B,7.369B,,,,,,,309.86M,424.13M,424.13M,,424.13M,,,,374.12M,1.108B,,1.956B,,1.956B,1.062B,,1.530B,,,,3.900B,5.008B,,0.45M,685.21M,1.728B,,-53.09M,2.361B,,AOR,Restated
2011-12,85.16M,85.16M,489.80M,,489.80M,325.67M,,,360.62M,1.261B,,,6.897B,-1.650B,5.246B,740.00M,0.196M,740.20M,,,,387.98M,,6.374B,7.636B,,,,,,,432.33M,390.12M,390.12M,,390.12M,,,,357.35M,1.180B,,2.206B,,2.206B,981.56M,,1.544B,,,,4.188B,5.368B,,0.448M,607.48M,1.725B,,-65.22M,2.268B,,AOR,Restated
2011-09,131.42M,131.42M,216.14M,18.60M,284.53M,293.87M,22.50M,76.72M,9.015M,1.011B,,209.24M,6.817B,-1.669B,5.148B,,,740.21M,52.63M,,0.998M,35.15M,16.09M,6.272B,7.283B,,291.20M,57.85M,,349.06M,37.56M,386.62M,208.83M,208.83M,,208.83M,106.74M,114.87M,,85.69M,867.60M,13.57M,2.206B,,2.206B,960.09M,13.97M,974.06M,438.94M,78.09M,6.306M,4.160B,5.027B,,0.451M,570.50M,1.733B,,-48.46M,2.255B,,AOR,Restated
2011-06,117.43M,117.43M,342.09M,,342.09M,256.77M,,,273.46M,989.75M,,,6.600B,-1.684B,4.916B,739.31M,0.363M,739.68M,,,,347.99M,,6.004B,6.993B,,,,,,,312.20M,,2.434M,,2.434M,,,,333.64M,648.28M,,2.206B,,2.206B,967.61M,,1.407B,,,,4.009B,4.658B,,0.451M,599.51M,1.730B,,5.746M,2.336B,,AOR,Restated
2011-03,153.25M,153.25M,458.81M,,458.81M,228.05M,,,143.98M,984.09M,,,6.694B,-1.779B,4.915B,739.31M,0.52M,739.83M,,,,357.25M,,6.012B,6.996B,,,,,,,423.73M,,352.43M,,352.43M,,,,301.82M,1.078B,,1.807B,,1.807B,944.60M,,1.372B,,,,3.544B,4.622B,,0.00,631.04M,1.729B,,14.01M,2.374B,,AOR,Restated
2010-12,129.89M,129.89M,564.93M,,564.93M,339.10M,,,229.32M,1.263B,,,6.639B,-1.779B,4.859B,739.31M,0.677M,739.99M,,,,359.03M,,5.958B,7.222B,,,,,,,510.08M,,600.43M,,600.43M,,,,349.91M,1.460B,,1.807B,,1.807B,892.09M,,1.324B,,,,3.486B,4.947B,,0.00,529.90M,1.725B,,19.60M,2.275B,,AOR,Restated
2010-09,131.95M,131.95M,273.21M,,273.21M,319.04M,,,151.00M,875.19M,,157.92M,6.542B,-1.749B,4.793B,739.31M,0.834M,740.15M,,,,355.38M,,5.889B,6.764B,,,,,,,266.21M,,486.23M,,486.23M,,,,413.64M,1.166B,,1.810B,,1.810B,829.13M,,1.259B,,,,3.419B,4.585B,,0.00,486.90M,1.715B,,-23.37M,2.178B,,AOR,Restated
2010-06,180.38M,180.38M,299.84M,,299.84M,263.75M,,,130.00M,873.97M,,,6.402B,-1.733B,4.669B,,,739.59M,,,,303.04M,,5.712B,6.586B,,,,,,,254.15M,,360.13M,,360.13M,,,,393.48M,1.008B,,1.810B,,1.810B,755.72M,,1.140B,,,,3.264B,4.272B,,0.00,515.74M,1.813B,,-14.57M,2.314B,,AOR,Restated
2010-03,231.15M,231.15M,546.36M,,546.36M,208.59M,,,121.26M,1.107B,,,6.295B,-1.705B,4.590B,,,739.75M,,,,315.61M,,5.646B,6.753B,,,,,,,521.91M,,10.13M,,10.13M,,,,432.47M,964.51M,,2.159B,,2.159B,594.27M,,973.16M,,,,3.450B,4.414B,,0.00,550.26M,1.810B,,-21.21M,2.339B,,AOR,Restated
2009-12,174.83M,174.83M,597.01M,,597.01M,399.58M,,,115.16M,1.287B,,,6.196B,-1.673B,4.523B,,,739.91M,,,,325.75M,,5.589B,6.875B,,,,,,,578.80M,,189.84M,,189.84M,,,,413.75M,1.182B,,2.159B,,2.159B,588.42M,,961.35M,,,,3.435B,4.617B,,0.00,467.45M,1.803B,,-12.44M,2.258B,,AOR,Restated
2009-09,111.20M,111.20M,232.81M,,232.81M,352.73M,,,132.20M,828.94M,1.648B,105.20M,6.087B,-1.648B,4.439B,,,740.06M,,,,358.98M,,5.538B,6.367B,,,,,,,207.42M,,72.68M,,72.68M,,,,457.32M,737.42M,,2.169B,,2.169B,570.94M,,939.10M,,,,3.453B,4.190B,,0.00,405.35M,1.792B,,-20.18M,2.177B,,AOR,Restated
2009-06,125.74M,125.74M,241.58M,,241.58M,317.28M,,,111.42M,796.01M,,,5.963B,-1.624B,4.339B,,,738.62M,,,,222.04M,,5.300B,6.096B,,,,,,,221.97M,,0.131M,,0.131M,,,,422.20M,644.30M,,2.169B,,2.169B,510.90M,,768.29M,,,,3.260B,3.905B,,0.00,451.86M,1.780B,,-39.98M,2.192B,,AOR,Restated
2009-03,482.08M,482.08M,531.75M,,531.75M,327.29M,,,137.43M,1.479B,,,5.873B,-1.610B,4.263B,,,738.77M,,,,205.24M,,5.207B,6.686B,,,,,,,472.08M,,400.22M,,400.22M,,,,413.76M,1.286B,,2.169B,,2.169B,466.87M,,738.57M,,,,3.221B,4.507B,,0.00,480.36M,1.769B,,-70.63M,2.178B,,AOR,Restated
2008-12,69.80M,69.80M,833.12M,,833.12M,582.74M,,,197.44M,1.683B,1.609B,,5.803B,-1.609B,4.195B,,,738.93M,,,,202.11M,,5.136B,6.819B,,815.10M,,,815.10M,441.48M,1.257B,,761.34M,,761.34M,,,,,2.018B,,1.720B,,1.720B,431.32M,,431.32M,,,,2.151B,4.741B,,0.458M,381.63M,1.758B,,-61.85M,2.078B,,,Restated
2008-09,46.72M,46.72M,477.15M,,477.15M,576.62M,,,184.62M,1.285B,1.593B,80.06M,5.730B,-1.593B,4.137B,,,739.09M,,,,225.65M,,5.102B,6.387B,,,,,,,395.39M,,351.33M,,351.33M,,,,460.37M,1.207B,,2.120B,,2.120B,441.30M,,708.68M,,,,2.828B,4.334B,,0.00,343.60M,1.745B,,-35.95M,2.052B,,,Restated
2008-06,108.65M,108.65M,601.16M,,601.16M,571.53M,,,115.61M,1.397B,1.592B,,5.604B,-1.592B,4.013B,,,737.22M,,,,237.72M,,4.988B,6.385B,,582.35M,,,582.35M,472.09M,1.054B,,114.32M,,114.32M,,,,,1.169B,,2.120B,,2.120B,450.67M,,450.67M,,,,2.570B,4.279B,,0.453M,371.49M,1.733B,,0.693M,2.105B,,,Restated
2008-03,169.23M,169.23M,805.94M,,805.94M,421.98M,,,95.57M,1.493B,1.570B,,5.518B,-1.570B,3.949B,,,737.38M,,,,242.03M,,4.928B,6.421B,,809.14M,,,809.14M,408.58M,1.218B,,8.453M,,8.453M,,,,,1.226B,,2.120B,,2.120B,420.23M,,420.23M,,,,2.540B,4.295B,,0.00,407.46M,1.723B,,-3.978M,2.126B,,,Restated
2007-12,51.87M,51.87M,776.87M,,776.87M,564.43M,,,126.86M,1.520B,1.579B,,5.467B,-1.579B,3.888B,,,737.54M,,,,254.08M,,4.880B,6.400B,,739.81M,,,739.81M,389.94M,1.130B,,205.86M,,205.86M,,,,,1.336B,,2.125B,,2.125B,378.42M,,378.42M,,,,2.503B,4.367B,,0.00,325.18M,1.713B,,-6.193M,2.032B,,,
2007-09,60.72M,60.72M,335.22M,,380.13M,520.69M,,,107.35M,1.069B,1.559B,69.45M,5.396B,-1.559B,3.837B,,,737.69M,,,,39.87M,122.80M,4.828B,5.897B,,355.26M,,,355.26M,409.99M,765.25M,,154.43M,,154.43M,,,,,919.68M,,2.126B,,2.126B,370.57M,,370.57M,,,,2.497B,3.931B,,0.00,281.13M,1.701B,,-16.20M,1.966B,,,
2007-06,363.96M,363.96M,429.12M,,429.12M,463.90M,,,77.52M,1.334B,1.532B,,5.289B,-1.532B,3.757B,,,738.06M,,,,225.78M,,4.721B,6.056B,,428.81M,,,428.81M,360.92M,789.73M,,303.99M,,303.99M,,,,,1.094B,,2.127B,,2.127B,367.02M,,367.02M,,,,2.494B,4.068B,,0.00,315.59M,1.689B,,-16.37M,1.988B,,,
2007-03,217.04M,217.04M,721.06M,,721.06M,364.48M,,,126.84M,1.429B,1.517B,,5.228B,-1.517B,3.712B,,,738.22M,,,,229.63M,,4.680B,6.109B,,665.21M,,,665.21M,421.39M,1.087B,,303.23M,,303.23M,,,,,1.390B,,1.878B,,1.878B,342.33M,,342.33M,,,,2.221B,4.087B,,0.00,357.42M,1.680B,,-15.14M,2.022B,,,
2006-12,94.41M,94.41M,766.63M,,766.63M,520.03M,,,194.57M,1.576B,1.494B,,5.162B,-1.494B,3.668B,,,738.37M,,,,234.47M,,4.641B,6.216B,,762.49M,,,762.49M,407.35M,1.170B,,457.68M,,457.68M,,,,,1.628B,,1.879B,,1.879B,324.30M,,324.30M,,,,2.203B,4.296B,,0.00,279.30M,1.671B,,-29.77M,1.920B,,,
