,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-06,71.19M,0.10M,0.10M,90.67M,90.67M,23.98M,,5.755M,,92.23M,283.93M,,-394.49M,,,,-6.682M,2.096M,-399.08M,,0.00,115.18M,115.18M,0.00,,0.00,-54.12M,-54.12M,3.948M,0.00,65.01M,,71.07M,-50.14M,20.93M,,0.00,0.00,115.18M,,,,,AOR,Restated
2018-03,178.99M,-1.218M,-1.218M,89.38M,89.38M,59.08M,,5.337M,,246.55M,578.13M,,-310.74M,,,,-1.04M,2.008M,-306.77M,,0.00,-207.21M,-207.21M,-0.007M,,-0.007M,-54.05M,-54.05M,6.242M,0.00,-255.03M,,54.75M,16.32M,71.07M,,-0.007M,0.00,-318.14M,,,,,AOR,Restated
2017-12,314.13M,2.03M,2.03M,88.37M,88.37M,-108.74M,,6.915M,,-129.48M,173.24M,,-383.24M,,,,-0.135M,2.001M,-381.37M,,0.00,-110.93M,-110.93M,395.10M,,395.10M,-51.84M,-51.84M,5.66M,-1.518M,236.48M,,26.41M,28.34M,54.75M,,395.10M,0.00,,,,,,AOR,Restated
2017-09,35.85M,-25.66M,-25.66M,84.80M,84.80M,38.93M,,-8.326M,,-18.13M,121.53M,,-324.94M,,,0.00,1.856M,14.13M,-308.95M,,0.00,189.17M,189.17M,0.00,,0.00,-48.86M,-48.86M,3.85M,-0.112M,144.05M,,69.78M,-43.37M,26.41M,,0.00,0.00,571.24M,,,,,AOR,Restated
2017-06,70.81M,-1.096M,-1.096M,80.02M,80.02M,39.60M,,4.501M,,-0.277M,193.56M,,-252.76M,,,-0.414M,-5.411M,21.21M,-230.68M,,509.91M,-412.03M,97.88M,49.36M,,49.36M,-47.76M,-47.76M,5.689M,-43.66M,61.50M,,45.40M,24.37M,69.78M,,49.36M,759.91M,-662.03M,,,,,AOR,Restated
2017-03,151.80M,22.79M,22.79M,77.67M,77.67M,81.42M,,5.549M,,95.82M,435.04M,,-261.42M,,,0.00,1.345M,1.985M,-124.53M,,0.00,-270.14M,-270.14M,0.00,,0.00,-47.57M,-47.57M,7.986M,0.00,-309.73M,,44.62M,0.779M,45.40M,,0.00,-110.94M,-159.20M,,,,,AOR,Restated
2016-12,125.03M,-6.61M,-6.61M,77.14M,77.14M,67.24M,,4.842M,,-150.68M,116.96M,,-297.96M,,,-85.71M,-10.26M,1.802M,-392.14M,,125.00M,110.94M,235.94M,49.40M,,49.40M,-47.74M,-47.74M,8.998M,25.67M,272.26M,,47.53M,-2.91M,44.62M,,49.40M,235.94M,,,,,,AOR,Restated
2016-09,34.24M,-7.973M,-7.973M,76.43M,76.43M,22.51M,,-7.744M,,32.82M,165.04M,,-297.26M,,,0.00,0.20M,0.729M,-296.33M,,0.00,159.34M,159.34M,-0.086M,,-0.086M,-44.76M,-44.76M,7.778M,-9.657M,112.62M,,66.21M,-18.67M,47.53M,,-0.086M,159.34M,0.00,,,,,AOR,Restated
2016-06,71.19M,-1.555M,-1.555M,73.46M,73.46M,38.59M,,5.659M,,-10.35M,176.99M,,-253.68M,,,0.00,2.675M,1.134M,-249.88M,,0.00,43.54M,43.54M,98.66M,,98.66M,-43.55M,-43.55M,8.859M,-16.33M,91.17M,,47.92M,18.29M,66.21M,,98.66M,43.54M,0.00,,,,,AOR,Restated
2016-03,141.81M,17.02M,17.02M,71.97M,71.97M,73.16M,,5.30M,,73.55M,382.81M,,-245.59M,,,0.00,0.146M,2.215M,-243.23M,,0.00,-136.31M,-136.31M,0.00,,0.00,-43.17M,-43.17M,8.912M,,-170.57M,,78.90M,-30.98M,47.92M,,0.00,-136.31M,,,,,,AOR,Restated
2015-12,102.86M,-7.495M,-7.495M,71.24M,71.24M,59.30M,,3.471M,,-159.23M,70.14M,,-290.41M,,,0.00,-2.263M,2.382M,-290.29M,,0.00,305.31M,305.31M,0.00,,0.00,-43.64M,-43.64M,8.729M,,270.40M,,28.65M,50.25M,78.90M,,0.00,305.31M,,,,,,AOR,Restated
2015-09,23.52M,13.14M,13.14M,69.88M,69.88M,28.26M,,-11.86M,,-44.58M,94.33M,,-296.14M,,,,,6.541M,-288.00M,,5.522M,212.40M,217.92M,0.00,,0.00,-43.37M,-43.37M,10.14M,-5.522M,179.17M,,43.15M,-14.50M,28.65M,,0.00,217.92M,0.00,,,,,AOR,Restated
2015-06,56.28M,15.96M,15.96M,68.73M,68.73M,33.34M,,7.814M,,-5.382M,176.73M,,-225.84M,,,,,0.227M,-225.61M,,0.00,26.99M,26.99M,-12.73M,,-12.73M,-38.57M,-38.57M,20.81M,0.00,-3.494M,,95.52M,-52.37M,43.15M,,-12.73M,26.99M,0.00,,,,,AOR,Restated
2015-03,137.68M,-8.263M,-8.263M,68.31M,68.31M,75.87M,,5.443M,,234.38M,513.43M,,-180.33M,,,,,-0.607M,-180.94M,,0.00,-328.74M,-328.74M,6.415M,,6.415M,-38.48M,-38.48M,0.00,0.00,-360.80M,,123.83M,-28.31M,95.52M,,6.415M,-328.74M,0.00,,,,,AOR,Restated
2014-12,97.60M,-20.83M,-20.83M,67.87M,67.87M,55.42M,,4.889M,,-177.53M,27.42M,,-261.31M,,,,,-0.739M,-262.05M,,-6.462M,350.57M,344.11M,6.312M,,6.312M,-39.59M,-39.59M,-7.985M,13.36M,316.21M,,42.26M,81.57M,123.83M,,6.312M,844.11M,-500.00M,,,,,AOR,Restated
2014-09,23.71M,-3.158M,-3.158M,67.59M,67.59M,39.50M,,-11.64M,,-28.12M,102.60M,,-271.84M,,,,,2.729M,-271.76M,,,195.31M,195.31M,-2.152M,,-2.152M,-37.44M,-37.44M,4.274M,,159.99M,,51.42M,-9.163M,42.26M,,-2.152M,,195.31M,,,,,AOR,Restated
2014-06,45.72M,2.322M,2.322M,64.18M,64.18M,30.75M,,10.84M,,-14.58M,139.23M,,-193.59M,,,,,4.284M,-189.31M,,0.00,2.41M,2.41M,2.152M,0.023M,2.175M,-37.43M,-37.43M,-2.40M,,-35.24M,,136.74M,-85.32M,51.42M,,2.152M,0.00,2.41M,0.023M,,,,AOR,Restated
2014-03,133.37M,6.313M,6.313M,61.53M,61.53M,72.58M,,5.518M,,177.37M,456.68M,,-178.44M,,,,,0.963M,-177.48M,,0.00,-689.80M,-689.80M,390.20M,-0.011M,390.19M,-37.40M,-37.40M,-0.028M,,-337.02M,,194.56M,-57.82M,136.74M,,390.20M,-320.78M,-369.01M,-0.011M,,,,AOR,Restated
2013-12,87.02M,-5.477M,-5.477M,60.69M,60.69M,47.13M,,5.228M,,-160.28M,34.30M,,-180.57M,,,,,-5.867M,-186.43M,,0.00,320.78M,320.78M,0.00,-0.012M,-0.012M,-33.98M,-33.98M,-6.289M,,280.50M,,66.20M,128.36M,194.56M,,0.00,320.78M,0.00,-0.012M,,,,AOR,Restated
2013-09,7.536M,6.386M,6.386M,60.42M,60.42M,10.97M,,-8.867M,,9.288M,103.55M,,-262.56M,,,,,-1.765M,-264.32M,,0.00,227.01M,227.01M,0.038M,,0.038M,-32.06M,-32.06M,-0.004M,0.00,194.99M,,31.98M,34.22M,66.20M,,0.038M,0.00,227.01M,,,,,AOR,Restated
2013-06,30.56M,8.323M,8.323M,58.31M,58.31M,23.47M,,8.941M,,3.621M,133.23M,,-193.36M,,,,,0.561M,-39.77M,,0.00,-92.94M,-92.94M,0.008M,,0.008M,-32.05M,-32.05M,-2.022M,-0.021M,-127.03M,,65.55M,-33.57M,31.98M,,0.008M,0.00,-92.94M,,,,,AOR,Restated
2013-03,116.42M,0.932M,0.932M,58.24M,58.24M,60.94M,,2.277M,,107.66M,346.48M,,-199.09M,,,,,-2.427M,-201.52M,,493.66M,-599.07M,-105.41M,0.00,,0.00,-32.02M,-32.02M,0.00,-66.59M,-204.02M,,124.60M,-59.05M,65.55M,,0.00,236.86M,-342.27M,,,,,AOR,Restated
2012-12,80.46M,-15.64M,-15.64M,60.63M,60.63M,45.95M,,3.242M,,-144.79M,29.86M,,-190.03M,,,,,-1.273M,-191.30M,,,256.93M,256.93M,,,,-31.99M,-31.99M,-3.124M,-0.013M,221.80M,,64.24M,60.36M,124.60M,,,256.93M,,,,,,AOR,Restated
2012-09,-1.901M,-12.76M,-12.76M,62.38M,62.38M,-16.39M,,-14.73M,,27.00M,68.11M,,-235.48M,,,,,-0.378M,-107.64M,,-254.66M,360.83M,106.16M,1.355M,0.00,1.355M,-31.46M,-31.46M,0.00,,76.06M,,27.71M,36.53M,64.24M,,1.355M,354.14M,-247.98M,0.00,,,,AOR,Restated
2012-06,31.13M,-2.931M,-2.931M,61.46M,61.46M,18.66M,,12.51M,,37.25M,158.08M,,-186.25M,,,,,-0.369M,-186.62M,,0.00,42.26M,42.26M,0.087M,0.00,0.087M,-31.43M,-31.43M,-1.71M,,9.203M,,47.04M,-19.33M,27.71M,,0.087M,0.00,42.26M,0.00,,,,AOR,Restated
2012-03,109.11M,24.12M,24.12M,61.92M,61.92M,62.01M,,5.182M,,113.67M,376.01M,,-156.73M,,,,,-2.798M,-159.53M,,-0.066M,-222.85M,-222.92M,0.088M,0.00,0.088M,-31.39M,-31.39M,-0.389M,,-254.61M,,85.16M,-38.12M,47.04M,,0.088M,-173.90M,-49.01M,0.00,,,,AOR,Restated
2011-12,68.51M,-8.426M,-8.426M,60.81M,60.81M,40.04M,,4.692M,,-180.92M,-15.29M,,-154.39M,,,,,-1.08M,-155.47M,,-2.303M,173.90M,171.60M,0.076M,-12.54M,-12.46M,-31.52M,-31.52M,-3.12M,,124.51M,,131.42M,-46.26M,85.16M,,0.076M,173.90M,-2.303M,-12.54M,,,,AOR,Restated
2011-09,1.961M,,,61.51M,61.51M,1.865M,0.00,8.419M,,-22.06M,63.28M,,-232.68M,,,,,-1.048M,-233.73M,,-0.217M,215.38M,215.16M,0.248M,5.30M,5.548M,,-30.97M,,0.00,184.44M,,117.43M,13.99M,131.42M,,0.248M,83.15M,132.01M,5.30M,,,,AOR,Restated
2011-06,-0.566M,,,58.48M,58.48M,0.186M,10.99M,7.281M,,4.722M,81.09M,,-143.62M,,,,,-1.838M,-145.46M,,44.62M,-3.188M,41.43M,-0.02M,-1.967M,-1.987M,,-30.97M,,20.08M,28.55M,,153.25M,-35.82M,117.43M,,-0.02M,394.62M,-353.19M,-1.967M,,,,AOR,Restated
2011-03,132.21M,,,57.19M,57.19M,71.88M,19.28M,-17.24M,,129.33M,392.65M,,-123.50M,,,,,-1.165M,-124.67M,,-0.066M,-241.51M,-241.58M,0.315M,-0.102M,0.213M,,-31.06M,,27.80M,-244.63M,,129.89M,23.35M,153.25M,,0.315M,-112.63M,-128.95M,-0.102M,,,,AOR,Restated
2010-12,74.00M,,,56.21M,56.21M,43.42M,,10.02M,,-137.82M,45.82M,,-123.16M,,,,,-0.37M,-123.53M,,-10.00M,112.63M,102.63M,7.253M,-3.231M,4.022M,,-31.00M,,,75.65M,,131.95M,-2.06M,129.89M,,7.253M,112.63M,-10.00M,-3.231M,,,,AOR,Restated
2010-09,1.537M,,,56.81M,56.81M,10.41M,0.00,-11.19M,,61.70M,131.91M,,-180.29M,,,,,0.372M,-179.92M,,-0.065M,130.29M,130.22M,0.192M,-99.28M,-99.08M,,-30.37M,,,-0.428M,,180.38M,-48.43M,131.95M,,0.192M,54.27M,75.95M,-99.28M,,,,AOR,Restated
2010-06,-3.154M,,-1.234M,53.31M,53.31M,142.23M,0.00,10.10M,,-90.14M,111.11M,,-129.72M,,,,,0.508M,-129.21M,,0.00,-0.112M,-0.112M,-0.016M,-1.173M,-1.189M,,-31.36M,,,-32.66M,,231.15M,-50.77M,180.38M,,-0.016M,0.00,-0.112M,-1.173M,,,,AOR,Restated
2010-03,114.13M,,1.234M,53.14M,53.14M,31.26M,0.00,34.27M,,154.27M,388.30M,,-117.19M,,,,,0.927M,-116.26M,,-0.066M,-187.24M,-187.31M,2.909M,,2.909M,,-31.32M,,,-215.72M,,174.83M,56.32M,231.15M,,2.909M,-111.34M,-75.97M,,,,,AOR,Restated
2009-12,93.33M,,,53.88M,53.88M,12.83M,,-22.51M,,-42.37M,95.16M,,-115.44M,,,,,-1.873M,-117.31M,,0.00,111.34M,111.34M,5.681M,0.00,5.681M,,-31.23M,,,85.78M,,111.20M,63.63M,174.83M,,5.681M,111.34M,0.00,0.00,,,,AOR,Restated
2009-09,-15.95M,,-53.71M,56.48M,56.48M,67.10M,,-13.82M,,34.66M,94.64M,,-167.17M,,,,,-1.613M,-168.78M,,-0.066M,82.47M,82.40M,9.697M,0.00,9.697M,,-30.55M,,-1.938M,59.61M,,125.74M,-14.53M,111.20M,,9.697M,0.00,82.40M,0.00,,,,AOR,Restated
2009-06,1.964M,,47.90M,54.22M,54.22M,-35.23M,,9.375M,,131.75M,209.97M,,-121.00M,,,,,-2.169M,-123.16M,,-407.23M,-12.98M,-420.21M,5.576M,0.00,5.576M,,-30.46M,,1.938M,-443.16M,,482.08M,-356.35M,125.74M,,5.576M,-0.565M,-419.64M,0.00,,,,AOR,Restated
2009-03,129.00M,,5.81M,53.46M,53.46M,70.72M,,-3.262M,,208.18M,463.91M,,-113.96M,,,,,-2.715M,-116.68M,,445.84M,-358.78M,87.06M,8.277M,,8.277M,,-30.28M,,,65.06M,,69.80M,412.29M,482.08M,,8.277M,440.88M,-353.82M,,,,,AOR,Restated
2008-12,75.96M,,,53.13M,53.13M,27.18M,,16.90M,,-22.45M,150.72M,,-107.37M,,,,,-1.21M,-108.58M,,-0.278M,5.312M,5.034M,6.075M,,6.075M,,-30.16M,,,-19.06M,,46.72M,23.08M,69.80M,,6.075M,5.312M,-0.278M,,,,,,Restated
2008-09,1.582M,,78.52M,52.82M,52.82M,20.08M,,-7.594M,45.57M,-205.89M,-46.45M,,-159.40M,,,,,-6.433M,-165.83M,,-0.339M,235.90M,235.56M,6.403M,,6.403M,,-29.47M,,,212.49M,,46.50M,0.216M,46.72M,,6.403M,,35.38M,,,,,,Restated
2008-06,-6.588M,,-78.52M,50.40M,50.40M,5.587M,,28.58M,,-61.26M,-61.81M,,-114.16M,,,,,-1.171M,-115.33M,,-7.692M,114.86M,107.17M,6.224M,,6.224M,,-29.39M,,,84.00M,,139.64M,-93.14M,46.50M,,6.224M,,107.17M,,,,,,Restated
2008-03,111.53M,,-4.406M,97.37M,48.83M,60.30M,,-15.81M,77.29M,217.31M,417.76M,,-104.57M,,94.16M,,,-1.258M,-105.82M,,-2.253M,-150.58M,-201.78M,6.869M,,6.869M,,-29.25M,,,-224.17M,,51.87M,87.76M,139.64M,,6.869M,,-152.84M,,,,,,Restated
2007-12,73.80M,,4.406M,,48.54M,11.98M,,,-77.29M,-77.29M,61.44M,,-94.16M,,-94.16M,,,-1.874M,-96.03M,,,,48.95M,5.97M,,5.97M,,-29.18M,,,25.74M,,60.72M,-8.851M,51.87M,,5.97M,,,,,,,,
2007-09,-5.914M,,-8.623M,,49.87M,24.86M,,,-139.83M,-84.04M,-5.575M,,-129.41M,,-129.41M,,,-0.569M,-129.98M,,,,-131.57M,6.014M,,6.014M,,-28.55M,,0.00,-154.10M,,350.38M,-289.66M,60.72M,,6.014M,,,,,,,,
2007-06,-13.36M,,8.487M,,49.00M,-35.49M,,,32.10M,32.10M,40.74M,,-90.23M,,-90.23M,,,-6.118M,-96.35M,,,,246.98M,6.455M,,6.455M,,-28.48M,,4.75M,229.71M,,176.28M,174.10M,350.38M,,6.455M,,,,,,,,
2007-03,106.50M,,4.754M,,51.10M,58.89M,,,125.71M,125.71M,346.96M,,-85.81M,,-85.81M,,,-2.425M,-88.23M,,,,-154.96M,6.486M,,6.486M,,-28.38M,,,-176.85M,,94.41M,81.87M,176.28M,,6.486M,,,,,,,,
2006-12,81.26M,,4.718M,,49.08M,13.87M,,,16.04M,16.04M,164.97M,,-86.99M,,-86.99M,,,-1.324M,-88.31M,,,,-229.66M,197.86M,,197.86M,,-26.26M,,,-58.07M,,75.82M,18.59M,94.41M,,197.86M,,,,,,,,
2006-09,6.059M,,6.417M,,48.43M,50.02M,,,168.90M,-45.87M,88.01M,,-102.63M,,-102.63M,,,-0.956M,-103.59M,,,,84.68M,5.582M,,5.582M,,-25.72M,,,64.55M,,26.85M,48.97M,75.82M,,5.582M,,,,,,,,
2006-06,-18.14M,,4.476M,,46.86M,-22.04M,,,63.90M,63.90M,75.05M,,-109.46M,,-109.46M,,,-1.969M,-111.43M,,,,34.32M,5.638M,,5.638M,,-25.63M,,,14.33M,,48.90M,-22.05M,26.85M,,5.638M,,,,,,,,
2006-03,88.80M,,3.907M,,47.26M,37.75M,,,166.04M,166.04M,343.76M,,-110.76M,,-110.76M,,,-1.721M,-112.49M,,,,-212.21M,5.889M,,5.889M,,-25.50M,,,-231.83M,,49.45M,-0.552M,48.90M,,5.889M,,,,,,,,
2005-12,71.03M,,3.68M,,43.41M,20.45M,,,-333.93M,-333.93M,-195.37M,,-102.46M,,-102.46M,,,-1.121M,-103.59M,,,,327.56M,6.164M,,6.164M,,-25.43M,,,308.29M,,40.12M,9.335M,49.45M,,6.164M,,,,,,,,
2005-09,-16.80M,,4.72M,,44.60M,-5.034M,,,-76.12M,-27.95M,-0.466M,,-106.33M,,-106.33M,-0.042M,,-0.483M,-106.86M,,,,144.18M,4.547M,43.77M,48.32M,,-24.93M,,-43.77M,123.80M,,23.64M,16.48M,40.12M,,4.547M,,,43.77M,,,,,
2005-06,4.486M,,4.278M,,43.60M,-24.90M,,,-40.15M,-40.15M,-12.68M,,-89.38M,,-89.38M,-4.122M,,0.309M,-93.20M,,,,-98.95M,6.181M,-43.77M,-37.59M,,-24.84M,,43.77M,-117.61M,,247.13M,-223.49M,23.64M,,6.181M,,,-43.77M,,,,,
2005-03,88.50M,,2.338M,,45.55M,34.30M,,,161.50M,161.50M,332.19M,,-70.26M,,-70.26M,0.00,,-0.906M,-71.17M,,,,-29.27M,14.91M,,14.91M,,-24.69M,,0.00,-39.05M,,25.16M,221.96M,247.13M,,14.91M,,,,,,,,
2004-12,59.60M,,0.977M,,44.25M,8.308M,,,-45.23M,-45.23M,67.90M,,-67.20M,,-67.20M,-1.913B,,-1.051M,-1.981B,,,,1.411B,393.13M,,393.13M,,-24.52M,,-43.77M,1.736B,,201.93M,-176.77M,25.16M,,393.13M,,,,,,,,
2004-09,-6.384M,,-0.367M,,26.96M,31.25M,,,-197.86M,-139.99M,-88.53M,,-60.84M,0.00,-60.84M,0.00,,,-60.84M,,,,-0.634M,8.425M,,8.425M,,-19.12M,,,224.41M,,126.90M,75.04M,201.93M,,8.425M,,,,,65.70M,,,
2004-06,4.765M,,-2.263M,,23.94M,-4.331M,,,46.55M,46.55M,68.66M,,-46.28M,0.38M,-45.90M,-0.007M,,,-45.91M,,,,-3.533M,8.696M,,8.696M,,-16.00M,,,-10.84M,,114.98M,11.91M,126.90M,,8.696M,,,,,,,,
2004-03,58.30M,,-0.802M,,23.07M,-9.266M,,,207.80M,207.80M,279.10M,,-38.26M,27.05M,-11.21M,-1.95M,,,-13.16M,,,,-186.98M,10.18M,,10.18M,,-15.87M,,,-192.67M,,41.71M,73.27M,114.98M,,10.18M,,,,,-17.30M,,,
2003-12,29.54M,,-5.04M,,24.14M,19.35M,,,-56.49M,-56.49M,11.50M,,-45.47M,0.489M,-44.98M,,,,-44.98M,,,,67.84M,7.413M,,7.413M,,-15.74M,,,59.51M,,15.68M,26.03M,41.71M,,7.413M,,,,,17.30M,,,
2003-09,-2.436M,,-0.482M,,22.24M,44.72M,,,35.30M,-131.89M,-67.84M,,-45.99M,0.389M,-45.60M,0.00,,0.185M,-45.41M,,,,117.06M,-90.44M,,-90.44M,,-15.40M,,,110.45M,,17.32M,-2.802M,15.68M,,-90.44M,,,,,,,,
2003-06,-0.201M,,5.692M,,24.87M,-5.764M,,,-91.09M,-91.09M,-66.50M,,-40.76M,-0.261M,-41.02M,0.00,,0.00,-41.02M,,,,-28.29M,103.68M,,103.68M,,-13.72M,,,61.66M,,63.18M,-45.86M,17.32M,,103.68M,,,,,,,,
2003-03,48.53M,,-0.705M,,20.89M,4.368M,,,122.96M,122.96M,196.04M,,-37.61M,-0.097M,-37.71M,0.00,,0.00,-37.71M,,,,-127.53M,6.766M,,6.766M,,-13.63M,,,-134.39M,,39.24M,23.94M,63.18M,,6.766M,,,,,,,,
2002-12,25.79M,,-2.617M,,21.19M,10.54M,,,-67.16M,-67.16M,-12.25M,,-35.08M,0.673M,-34.41M,-74.65M,,-0.185M,-109.24M,,,,120.72M,5.72M,,5.72M,,-12.54M,,,113.90M,,46.83M,-7.589M,39.24M,,5.72M,,,,,,,,
2002-09,-5.609M,,-9.724M,,21.12M,-3.945M,,,-154.36M,-7.272M,-5.435M,,-44.21M,,-44.21M,0.00,,0.299M,-43.91M,,,,96.57M,4.851M,,4.851M,,-12.26M,,,89.17M,,7.003M,39.82M,46.83M,,4.851M,,,,,,,,
2002-06,3.254M,,1.757M,,22.29M,26.36M,,,-4.848M,-4.848M,48.82M,,-28.15M,,-28.15M,0.00,,-8.81M,-36.96M,,,,-0.298M,4.529M,,4.529M,,-12.19M,,,-7.962M,,3.113M,3.89M,7.003M,,4.529M,,,,,,,,
2002-03,41.38M,,-5.502M,,20.04M,-14.33M,,,154.66M,154.66M,196.25M,,-33.61M,-0.123M,-33.73M,0.00,,,-33.73M,,,,-164.65M,4.581M,,4.581M,,-12.13M,,,-172.19M,,12.78M,-9.672M,3.113M,,4.581M,,,,,,,,
2001-12,20.63M,,0.522M,,20.47M,6.421M,,,8.552M,8.552M,56.60M,,-28.01M,0.123M,-27.89M,-15.75M,,,-43.63M,,,,-7.735M,4.36M,,4.36M,,-12.07M,,,-15.45M,,15.26M,-2.478M,12.78M,,4.36M,,,,,,,,
2001-09,-7.556M,,12.90M,,20.59M,18.69M,,,-31.39M,-107.15M,-62.52M,,-44.26M,0.00,-44.26M,,,-4.457M,-412.12M,,,,73.14M,-137.96M,,-137.96M,,-11.80M,,,65.42M,,424.48M,-409.22M,15.26M,,-137.96M,,,,,,,,
2001-06,-3.40M,,-1.475M,,18.20M,30.83M,,,-13.66M,-13.66M,30.49M,,-27.80M,5.88M,-21.92M,,,1.099M,-20.82M,,,,415.32M,3.612M,,3.612M,,-11.75M,,,407.19M,,7.623M,416.86M,424.48M,,3.612M,,,,,,,,
