,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,1.216B,1.216B,622.43M,593.45M,159.78M,203.16M,362.93M,-26.13M,126.28M,4.61M,-121.67M,362.93M,230.51M,4.61M,126.28M,-121.67M,-29.19M,-121.67M,79.65M,16.76M,62.89M,,,0.00,62.89M,83.54M,513.50M,307.57M,205.93M,0.79,,,1.051,0.79,0.79,,,1.0490000000000002,0.79,79.24M,79.65M,2.28
2017-12,1.200B,1.200B,619.62M,580.60M,153.61M,187.82M,341.43M,-30.79M,126.14M,3.255M,-122.89M,341.43M,239.17M,3.255M,126.14M,-122.89M,-22.13M,-122.89M,94.15M,28.94M,65.22M,,,,65.22M,86.54M,512.57M,292.28M,220.30M,0.83,0.0,,1.101,0.83,0.82,0.0,,1.089,0.82,78.57M,79.30M,2.0
2017-09,1.152B,1.152B,582.36M,569.90M,157.62M,185.34M,342.96M,-24.24M,121.83M,2.291M,-119.54M,342.96M,226.95M,2.291M,121.83M,-119.54M,-25.32M,-119.54M,82.09M,2.194M,79.90M,,,,79.90M,103.48M,482.33M,278.41M,203.92M,1.02,,,1.3219999999999998,1.02,1.02,,,1.32,1.02,78.06M,78.72M,2.0
2017-06,1.066B,1.066B,522.20M,544.22M,141.57M,191.36M,332.92M,-42.85M,119.04M,4.437M,-114.60M,332.92M,211.30M,4.437M,119.04M,-114.60M,-41.56M,-114.60M,55.13M,9.325M,45.80M,,,,45.80M,81.41M,428.96M,254.79M,174.17M,0.59,,,1.047,0.59,0.58,,,1.034,0.58,77.92M,78.51M,2.0
2017-03,949.52M,949.52M,468.96M,480.56M,128.93M,181.40M,310.33M,-6.528M,111.68M,3.092M,-108.59M,310.33M,170.24M,3.092M,111.68M,-108.59M,-6.191M,-108.59M,55.46M,13.39M,42.06M,,,,42.06M,47.01M,384.14M,217.01M,167.14M,0.58,,,0.648,0.58,0.57,,,0.6374,0.57,72.77M,73.37M,2.0
2016-12,942.65M,942.65M,465.92M,476.73M,113.38M,178.96M,292.34M,-1.708M,98.76M,0.948M,-97.81M,292.34M,184.39M,0.948M,98.76M,-97.81M,-3.415M,-97.81M,83.16M,19.49M,63.66M,-1.914M,,,61.75M,64.97M,391.72M,209.80M,181.92M,0.89,-0.03,,0.9083,0.86,0.88,-0.03,,0.8981,0.86,71.40M,72.10M,1.75
2016-09,924.68M,924.68M,470.30M,454.37M,110.94M,181.24M,292.18M,-2.152M,92.20M,0.762M,-91.44M,292.18M,162.20M,0.762M,92.20M,-91.44M,0.786M,-91.44M,71.55M,22.78M,48.77M,2.681M,,,51.45M,50.24M,378.57M,214.82M,163.75M,0.69,0.04,,0.7106,0.73,0.68,0.04,,0.7004,0.72,71.19M,71.91M,1.75
2016-06,900.51M,900.51M,456.97M,443.54M,107.83M,168.46M,276.29M,-16.20M,100.33M,0.841M,-99.49M,276.29M,167.25M,0.841M,100.33M,-99.49M,-14.64M,-99.49M,53.11M,13.81M,39.30M,5.409M,,,44.71M,51.29M,365.50M,212.05M,153.45M,0.56,0.08,,0.7319,0.64,0.56,0.08,,0.7304,0.64,69.73M,70.36M,1.75
2016-03,844.16M,844.16M,427.68M,416.48M,106.59M,165.90M,272.49M,-31.29M,100.86M,0.925M,-99.94M,272.49M,143.98M,0.925M,100.86M,-99.94M,-92.00M,-99.94M,-47.96M,-10.63M,-37.33M,6.216M,,,-31.11M,-12.98M,253.44M,200.53M,52.90M,-0.55,0.09,,-0.1927,-0.46,-0.55,0.09,,-0.1927,-0.46,68.13M,68.13M,1.75
2015-12,730.46M,730.46M,351.97M,378.49M,88.44M,136.83M,225.27M,-17.64M,79.50M,1.206M,-78.29M,225.27M,153.23M,1.206M,79.50M,-78.29M,-66.26M,-78.29M,8.678M,-2.053M,10.73M,,,,10.73M,21.31M,232.34M,144.16M,88.18M,0.18,0.0,,0.355,0.18,0.18,0.0,,0.3524,0.18,60.48M,61.37M,1.69
2015-09,686.65M,686.65M,325.47M,361.18M,83.71M,123.24M,206.95M,-13.35M,76.27M,0.934M,-75.34M,206.95M,154.24M,0.934M,76.27M,-75.34M,-26.19M,-75.34M,52.71M,11.58M,41.13M,0.00,,,41.13M,51.55M,261.38M,132.40M,128.98M,0.72,0.0,,0.9024,0.72,0.71,0.0,,0.8905,0.71,57.08M,57.71M,1.69
2015-06,665.58M,665.58M,315.76M,349.82M,81.25M,119.58M,200.83M,-9.866M,74.50M,0.921M,-73.58M,200.83M,149.00M,0.921M,74.50M,-73.58M,-8.48M,-73.58M,66.94M,7.485M,59.46M,0.00,,,59.46M,68.22M,268.82M,127.38M,141.44M,1.04,0.0,,1.194,1.04,1.03,0.0,,1.182,1.03,56.94M,57.50M,1.69
2015-03,643.17M,643.17M,298.31M,344.86M,78.62M,113.64M,192.26M,-1.156M,68.79M,0.52M,-68.27M,192.26M,152.60M,0.52M,68.79M,-68.27M,-1.67M,-68.27M,82.66M,6.212M,76.45M,0.00,,,76.45M,77.52M,273.09M,121.64M,151.46M,1.35,0.0,,1.369,1.35,1.34,0.0,,1.359,1.34,56.66M,57.23M,1.69
2014-12,638.12M,638.12M,313.45M,324.67M,81.24M,113.68M,194.92M,-107.73M,71.10M,0.357M,-70.75M,194.92M,129.75M,0.357M,71.10M,-70.75M,-110.78M,-70.75M,-51.78M,303.32M,-355.10M,,,0.00,-355.10M,-285.08M,151.29M,131.96M,19.32M,-6.42,,,-5.154,-6.42,-6.42,,,-5.154,-6.42,55.33M,55.33M,
2014-09,620.44M,620.44M,304.05M,316.39M,72.18M,109.35M,181.54M,0.281M,63.76M,0.356M,-63.40M,181.54M,134.85M,0.356M,63.76M,-63.40M,2.092M,-63.40M,73.54M,30.58M,42.96M,,,-0.12M,42.84M,42.66M,257.45M,120.15M,137.30M,0.81,,,0.8066,0.81,0.79,,,0.7867,0.79,53.14M,55.24M,
2014-06,605.16M,605.16M,292.86M,312.30M,75.25M,111.68M,186.93M,-51.86M,66.87M,0.744M,-66.13M,186.93M,125.37M,0.744M,66.87M,-66.13M,-51.18M,-66.13M,8.065M,-2.014M,10.08M,,,1.249M,11.33M,45.04M,190.59M,115.65M,74.94M,0.22,,,0.8767,0.22,0.22,,,0.8726,0.22,51.33M,51.65M,
2014-03,580.05M,580.05M,287.52M,292.53M,67.43M,103.30M,170.73M,-0.185M,68.82M,1.434M,-67.39M,170.73M,121.80M,1.434M,68.82M,-67.39M,0.493M,-67.39M,54.90M,13.57M,41.34M,,,0.05M,41.39M,41.53M,237.65M,113.93M,123.72M,0.83,,,0.8328,0.83,0.81,,,0.8126,0.81,49.60M,53.39M,
2013-12,564.68M,564.68M,269.74M,294.93M,67.25M,98.47M,165.72M,-19.13M,65.50M,0.794M,-64.71M,165.72M,129.22M,0.794M,65.50M,-64.71M,-17.17M,-64.71M,47.34M,1.967M,45.37M,,,-0.186M,45.19M,63.52M,219.22M,106.38M,112.84M,0.91,0.0,,1.278,0.91,0.88,0.0,,1.244,0.88,49.78M,50.31M,
2013-09,543.08M,543.08M,268.96M,274.12M,61.62M,96.87M,158.49M,-0.438M,61.96M,0.929M,-61.03M,158.49M,115.63M,0.929M,61.96M,-61.03M,0.547M,-61.03M,55.15M,12.40M,42.75M,,,-0.282M,42.47M,42.81M,226.94M,109.84M,117.11M,0.86,,,0.8668,0.86,0.83,,,0.8363,0.83,49.56M,53.58M,
2013-06,528.87M,528.87M,267.11M,261.76M,59.48M,88.63M,148.11M,-91.29M,61.00M,0.917M,-60.08M,148.11M,113.65M,0.917M,61.00M,-60.08M,-88.52M,-60.08M,-34.96M,-9.668M,-25.29M,,,-0.529M,-25.82M,40.23M,135.17M,109.12M,26.05M,-0.52,,,0.8174,-0.52,-0.52,,,0.8174,-0.52,49.38M,49.38M,
2013-03,516.13M,516.13M,258.59M,257.54M,58.28M,90.82M,149.09M,-3.662M,60.33M,0.747M,-59.58M,149.09M,108.45M,0.747M,60.33M,-59.58M,-4.121M,-59.58M,44.74M,11.46M,33.28M,,,-0.441M,32.84M,35.57M,212.22M,107.14M,105.08M,0.67,,,0.7256,0.67,0.65,,,0.7009,0.65,49.03M,53.48M,
2012-12,506.06M,506.06M,249.33M,256.73M,55.69M,86.54M,142.23M,-11.80M,50.52M,0.758M,-49.76M,142.23M,114.50M,0.758M,50.52M,-49.76M,-12.52M,-49.76M,52.23M,17.48M,34.75M,11.86M,,-1.273M,45.34M,41.33M,206.23M,103.48M,102.74M,0.68,0.24,,0.8413,0.92,0.66,0.22,,0.8107,0.88,48.68M,52.09M,
2012-09,484.84M,484.84M,250.95M,233.89M,53.21M,83.29M,136.50M,-9.746M,50.21M,1.054M,-49.15M,136.50M,97.39M,1.054M,50.21M,-49.15M,-9.239M,-49.15M,39.00M,12.35M,26.65M,0.679M,,-0.362M,26.96M,32.94M,195.94M,106.73M,89.20M,0.54,0.02,,0.6776,0.56,0.53,0.01,,0.6564,0.54,48.36M,52.66M,
2012-06,457.25M,457.25M,225.29M,231.96M,47.60M,80.60M,128.20M,-1.666M,46.79M,0.963M,-45.82M,128.20M,103.76M,0.963M,46.79M,-45.82M,-3.51M,-45.82M,54.43M,17.14M,37.29M,0.35M,,-1.193M,36.45M,37.24M,196.78M,95.56M,101.22M,0.75,0.01,,0.7738,0.76,0.72,0.01,,0.7418,0.73,48.02M,52.35M,
2012-03,443.24M,443.24M,217.10M,226.15M,46.41M,78.32M,124.73M,-0.675M,52.82M,0.691M,-52.13M,124.73M,101.42M,0.691M,52.82M,-52.13M,-0.829M,-52.13M,48.46M,13.85M,34.61M,0.199M,,-0.288M,34.52M,34.81M,194.09M,92.80M,101.28M,0.74,0.0,,0.7503,0.74,0.71,0.0,,0.7194,0.71,46.96M,51.06M,
2011-12,417.96M,417.96M,216.44M,201.51M,45.14M,71.57M,116.70M,-3.301M,55.15M,0.754M,-54.40M,116.70M,84.81M,0.754M,55.15M,-54.40M,-0.48M,-54.40M,29.93M,13.26M,16.68M,0.19M,,1.717M,18.58M,20.54M,178.45M,93.37M,85.08M,0.37,0.0,,0.4154,0.37,0.36,0.0,,0.4042,0.37,47.24M,48.51M,
2011-09,408.21M,408.21M,219.72M,188.48M,42.88M,65.87M,108.76M,-3.98M,51.11M,0.679M,-50.44M,108.76M,79.73M,0.679M,51.11M,-50.44M,-3.98M,-50.44M,25.31M,5.137M,20.18M,0.464M,,-0.32M,20.32M,23.03M,167.17M,90.75M,76.43M,0.2,0.01,,0.2672,0.21,0.19,0.01,,0.2562,0.2,47.20M,47.94M,
2011-06,394.90M,394.90M,215.57M,179.33M,37.06M,65.68M,102.74M,-0.697M,37.68M,0.632M,-37.04M,102.74M,76.58M,0.632M,37.68M,-37.04M,-0.697M,-37.04M,38.84M,8.109M,30.73M,,,-0.003M,30.73M,31.28M,161.74M,85.22M,76.52M,0.65,0.0,,0.6617,0.65,0.64,0.0,,0.6509,0.64,46.92M,50.66M,
2011-03,363.03M,363.03M,194.58M,168.45M,33.64M,62.60M,96.24M,1.20M,37.36M,0.215M,-37.15M,96.24M,72.22M,0.215M,37.36M,-37.15M,1.20M,-37.15M,36.27M,11.12M,25.14M,,,0.00,25.14M,24.31M,151.97M,78.34M,73.63M,0.54,0.0,,0.5221,0.54,0.53,0.0,,0.5124,0.53,46.45M,47.22M,
2010-12,321.12M,321.12M,171.05M,150.08M,31.18M,64.66M,95.84M,-6.42M,38.82M,0.208M,-38.61M,95.84M,54.24M,0.208M,38.82M,-38.61M,-5.728M,-38.61M,9.898M,-3.194M,13.09M,,,0.00,13.76M,17.26M,124.16M,75.44M,48.72M,0.29,0.01,,0.3806,0.3,0.28,0.01,,0.3686,0.29,46.08M,47.12M,
2010-09,330.35M,330.35M,185.48M,144.87M,31.20M,58.64M,89.84M,-1.14M,38.36M,0.31M,-38.05M,89.84M,55.03M,0.31M,38.36M,-38.05M,-1.14M,-38.05M,15.83M,4.637M,11.20M,,,0.00,11.20M,12.00M,127.49M,73.30M,54.20M,0.24,0.0,,0.2576,0.24,0.24,0.0,,0.2573,0.24,45.74M,46.68M,
2010-06,296.09M,296.09M,162.58M,133.51M,28.91M,54.17M,83.08M,-13.14M,37.62M,0.491M,-37.12M,83.08M,50.43M,0.491M,37.62M,-37.12M,-13.14M,-37.12M,0.168M,2.442M,-2.274M,,,0.00,-2.274M,6.268M,100.53M,62.75M,37.78M,-0.05,0.0,,0.1463,-0.05,-0.05,0.0,,0.1463,-0.05,43.51M,43.51M,
2010-03,248.65M,248.65M,133.05M,115.60M,19.47M,43.16M,62.62M,-4.931M,25.68M,0.506M,-25.17M,62.62M,52.98M,0.506M,25.68M,-25.17M,-4.931M,-25.17M,22.88M,8.677M,14.20M,,,,14.20M,17.26M,97.24M,48.69M,48.55M,0.36,0.0,,0.4374,0.36,0.35,0.0,,0.425,0.35,39.56M,40.79M,
2009-12,242.55M,242.55M,127.07M,115.48M,17.27M,43.65M,60.92M,-4.967M,22.61M,0.435M,-22.18M,60.92M,54.56M,0.435M,22.61M,-22.18M,-4.967M,-22.18M,27.42M,9.695M,17.72M,,,,17.72M,20.93M,92.50M,42.47M,50.03M,0.45,0.0,,0.532,0.45,0.43,0.0,,0.5087,0.43,39.14M,40.79M,
2009-09,227.56M,227.56M,126.01M,101.55M,15.54M,39.07M,54.61M,1.105M,22.26M,0.353M,-21.90M,54.61M,46.94M,0.353M,22.26M,-21.90M,1.105M,-21.90M,26.14M,7.327M,18.81M,,,,18.81M,18.02M,92.89M,44.49M,48.40M,0.49,0.0,,0.4695,0.49,0.47,0.0,,0.4501,0.47,38.79M,39.89M,
2009-06,213.17M,213.17M,118.53M,94.63M,16.37M,37.46M,53.82M,2.83M,15.91M,0.68M,-15.23M,53.82M,40.81M,0.68M,15.91M,-15.23M,2.83M,-15.23M,28.41M,10.97M,17.44M,,,,17.44M,15.70M,89.21M,44.89M,44.32M,0.46,0.0,,0.4145,0.46,0.44,0.0,,0.3958,0.44,38.15M,39.32M,
2009-03,199.23M,199.23M,111.80M,87.43M,14.40M,35.15M,49.55M,1.727M,13.45M,0.916M,-12.54M,49.55M,37.87M,0.916M,13.45M,-12.54M,1.727M,-12.54M,27.06M,11.61M,15.46M,,,,15.46M,14.33M,82.19M,41.68M,40.52M,0.41,0.0,,0.3804,0.41,0.4,0.0,,0.371,0.4,37.86M,38.74M,
2008-12,190.68M,190.68M,108.35M,82.34M,20.26M,35.21M,55.48M,-1.638M,16.50M,1.12M,-15.38M,55.48M,26.86M,1.12M,16.50M,-15.38M,-1.638M,-15.38M,9.844M,-88.02M,97.86M,,,,97.86M,98.93M,69.95M,43.60M,26.34M,2.64,0.0,,2.668,2.64,2.52,0.0,,2.54,2.52,37.55M,52.77M,
2008-09,183.74M,183.74M,109.90M,73.83M,16.01M,35.53M,51.54M,-2.846M,15.67M,1.968M,-13.70M,51.54M,22.29M,1.968M,15.67M,-13.70M,-2.846M,-13.70M,5.743M,0.187M,5.556M,,,,5.556M,8.309M,63.05M,41.64M,21.41M,0.15,0.0,,0.2239,0.15,0.15,0.0,,0.2224,0.15,37.27M,38.02M,
2008-06,172.04M,172.04M,102.04M,70.00M,15.29M,41.44M,56.74M,-0.918M,14.31M,2.411M,-11.90M,56.74M,13.27M,2.411M,14.31M,-11.90M,-0.918M,-11.90M,0.45M,-0.258M,0.708M,,,,0.708M,1.305M,53.09M,38.32M,14.76M,0.02,0.0,,0.0361,0.02,0.02,0.0,,0.0357,0.02,36.96M,37.97M,
2008-03,158.22M,158.22M,94.51M,63.71M,15.35M,34.38M,49.73M,2.04M,15.20M,3.441M,-11.75M,49.73M,13.98M,3.441M,15.20M,-11.75M,2.04M,-11.75M,4.268M,0.471M,3.797M,,,,3.797M,1.982M,54.94M,35.48M,19.46M,0.1,0.0,,0.05,0.1,0.1,0.0,,0.0513,0.1,36.28M,37.26M,
2007-12,138.71M,138.71M,92.48M,46.23M,,,46.79M,-0.121M,,,,45.45M,0.783M,,,,-0.121M,,-6.366M,-0.293M,-6.073M,,,,-6.073M,-5.958M,45.79M,32.91M,12.88M,-0.19,0.0,,-0.1868,-0.19,-0.19,0.0,,-0.1868,-0.19,36.01M,36.01M,
2007-09,103.78M,103.78M,62.89M,40.89M,,,34.81M,0.613M,,,,34.81M,6.079M,,,,0.613M,,4.339M,0.215M,4.124M,,,,4.124M,3.541M,30.21M,24.13M,6.079M,0.13,0.0,,0.1116,0.13,0.12,0.0,,0.1024,0.12,31.68M,33.11M,
2007-06,91.84M,91.84M,55.61M,36.23M,,,33.37M,-0.407M,,,,33.37M,2.854M,,,,-0.407M,,1.414M,0.197M,1.217M,,,,1.217M,1.567M,25.26M,22.40M,2.854M,0.04,0.0,,0.0513,0.04,0.04,0.0,,0.0507,0.04,31.13M,32.64M,
2007-03,85.11M,85.11M,52.76M,32.34M,,,31.54M,-3.395M,,,,31.54M,0.806M,,,,-3.395M,,-4.102M,0.354M,-4.456M,,,,-4.456M,-2.249M,21.44M,20.63M,0.806M,-0.15,0.0,,-0.0757,-0.15,-0.15,0.0,,-0.0757,-0.15,29.70M,29.70M,
2006-12,79.77M,79.77M,50.33M,29.44M,,,28.08M,9.647M,,,,18.43M,11.01M,,,,9.647M,,8.68M,-0.431M,9.111M,,0.00,,9.111M,3.323M,30.11M,19.10M,11.01M,0.33,0.0,0.0,0.1313,0.33,0.33,0.0,-0.0001,0.1313,0.33,29.14M,29.14M,
2006-09,73.73M,73.73M,49.14M,24.59M,,,26.13M,-1.474M,,,,26.13M,-1.544M,,,,-1.474M,,-4.898M,0.27M,-5.168M,,,,-5.168M,-4.284M,1.135M,2.679M,-1.544M,-0.18,0.0,,-0.1492,-0.18,-0.18,0.0,,-0.1492,-0.18,28.74M,28.74M,
2006-06,68.55M,68.55M,45.56M,22.98M,,,26.20M,,,,,26.20M,-3.22M,,,,,,-5.055M,0.215M,-5.27M,,,,-5.27M,-5.27M,30.86M,34.08M,-3.22M,-0.19,0.0,,-0.19,-0.19,-0.19,0.0,,-0.19,-0.19,28.47M,28.47M,
2006-03,64.87M,64.87M,43.34M,21.52M,,,24.33M,,,,,24.33M,-2.804M,,,,,,-5.061M,0.385M,-5.446M,,0.376M,,-5.07M,-5.446M,14.11M,16.91M,-2.804M,-0.2,0.02,0.0,-0.2,-0.18,-0.2,0.02,0.0135,-0.2,-0.18,27.85M,27.85M,
2005-12,61.80M,61.80M,41.72M,20.08M,,,17.28M,,,,,17.28M,2.808M,,,,,,-32.61M,-0.01M,-32.60M,,,,-32.60M,-32.60M,24.74M,21.93M,2.808M,-1.35,0.0,,-1.35,-1.35,-1.35,,,-1.35,-1.35,25.82M,27.44M,
2005-09,58.10M,58.10M,40.96M,17.14M,,,16.91M,,,,,16.91M,0.234M,,,,,,-0.619M,0.164M,-0.783M,,,,-0.783M,-0.783M,17.57M,17.33M,0.234M,-0.03,0.0,,-0.03,-0.03,-0.03,0.0,,-0.03,-0.03,24.08M,24.08M,
2005-06,52.48M,52.48M,38.81M,13.67M,,,16.17M,,,,,16.17M,-2.504M,,,,,,-3.547M,-0.116M,-3.431M,,,,-3.431M,-3.431M,15.71M,18.21M,-2.504M,-0.14,0.0,,-0.14,-0.14,-0.14,0.0,,-0.14,-0.14,23.73M,23.73M,
2005-03,48.68M,48.68M,36.87M,11.81M,,,15.31M,,,,,15.31M,-3.497M,,,,,,-5.289M,0.505M,-5.794M,,,,-5.794M,-5.794M,13.99M,17.49M,-3.497M,-0.26,0.0,,-0.26,-0.26,-0.26,0.0,,-0.26,-0.26,21.90M,21.90M,
2004-12,44.99M,44.99M,34.70M,10.28M,,,13.06M,-17.68M,,,,13.06M,-2.772M,,,,-17.68M,,-22.72M,-0.047M,-22.67M,,,,-22.67M,-5.021M,18.76M,21.54M,-2.772M,-1.22,0.0,,-0.2796,-1.22,-1.22,,,-0.2911,-1.22,18.77M,19.00M,
2004-09,42.44M,42.44M,34.31M,8.129M,,,12.73M,,,,,12.73M,-4.598M,,,,,,-6.615M,,-6.615M,,,,-6.615M,-6.615M,9.808M,14.41M,-4.598M,-0.36,0.0,,-0.36,-0.36,-0.36,0.0,,-0.36,-0.36,18.39M,18.39M,
2004-06,39.42M,39.42M,34.15M,5.273M,,,12.43M,,,,,12.43M,-7.158M,,,,,,-9.199M,0.006M,-9.205M,,,,-9.205M,-9.205M,7.528M,14.69M,-7.158M,-0.51,0.0,,-0.51,-0.51,-0.51,0.0,,-0.51,-0.51,18.19M,18.19M,
2004-03,36.82M,36.82M,33.78M,3.035M,,,12.88M,-16.21M,,,,12.88M,-9.849M,,,,-16.21M,,-29.95M,0.194M,-30.14M,,,,-30.14M,-20.42M,5.657M,15.51M,-9.849M,-2.0,0.0,,-1.3559999999999999,-2.0,-2.0,0.0,,-1.3559999999999999,-2.0,15.10M,15.10M,
2003-12,33.15M,33.15M,32.55M,0.60M,,,13.22M,,,,,13.22M,-12.62M,,,,,,,,-17.70M,,,,-17.70M,-17.70M,11.85M,24.47M,-12.62M,-1.24,0.0,,-1.24,-1.24,-1.24,,,-1.24,-1.24,11.90M,15.08M,
2003-09,30.92M,30.92M,33.31M,-2.395M,,,11.89M,,,,,11.89M,-14.29M,,,,,,,,-19.72M,,,,-19.72M,-19.72M,1.38M,15.67M,-14.29M,-2.12,0.0,,-2.12,-2.12,-2.12,0.0,,-2.12,-2.12,9.293M,9.293M,
2003-06,28.43M,28.43M,31.63M,-3.20M,,,13.04M,,,,,13.04M,-16.24M,,,,,,,,-21.20M,,,,-21.20M,-21.20M,0.289M,16.53M,-16.24M,-2.44,0.0,,-2.44,-2.44,-2.44,0.0,,-2.44,-2.44,8.706M,8.706M,
2003-03,25.44M,25.44M,30.62M,-5.184M,,,15.63M,,,,,15.63M,-20.81M,,,,,,,,-25.55M,,,,-25.55M,-25.55M,-3.074M,17.74M,-20.81M,-3.0,0.0,,-3.0,-3.0,-3.0,0.0,,-3.0,-3.0,8.512M,8.512M,
