,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,62.89M,,21.49M,256.95M,50.62M,307.57M,307.57M,,0.00,42.54M,,8.603M,-71.28M,,-35.14M,-6.694M,-16.97M,-15.38M,-145.47M,300.91M,-349.73M,,-349.73M,,-0.497M,,-364.93M,867.46M,867.46M,0.00,,0.00,-187.00M,-187.00M,25.85M,-32.29M,674.02M,1.451B,610.01M,7.903M,2.069B,0.00,929.85M,-62.39M,,,
2017-12,65.22M,,23.67M,243.34M,48.94M,292.28M,292.28M,,,45.90M,,-10.33M,40.66M,,29.54M,-8.866M,-0.585M,18.67M,79.41M,494.88M,-432.68M,,-432.68M,-334.75M,13.55M,0.00,-784.00M,-71.42M,-71.42M,355.08M,,355.08M,-157.58M,-157.58M,0.071M,-27.26M,98.89M,1.636B,-190.23M,4.737M,1.451B,355.08M,2.176B,-2.247B,,,
2017-09,79.90M,,22.16M,229.52M,48.89M,278.41M,278.41M,,,45.65M,,4.054M,-50.53M,,28.78M,8.761M,-5.896M,-19.68M,-38.56M,390.51M,-320.23M,,-320.23M,1.128M,-28.26M,0.00,-363.75M,662.69M,662.69M,0.00,,0.00,-159.54M,-159.54M,21.51M,-28.03M,496.62M,1.103B,523.39M,9.582M,1.636B,0.00,1.200B,-537.01M,,,
2017-06,45.80M,,16.44M,204.63M,50.16M,254.79M,254.79M,,,45.62M,,4.226M,-112.24M,,81.58M,-26.85M,9.096M,-13.29M,-61.69M,306.47M,-348.57M,,-348.57M,-3.594B,10.30M,0.00,-3.939B,-48.66M,-48.66M,0.083M,,0.083M,-156.29M,-156.29M,0.045M,-8.076M,-212.90M,4.943B,-3.845B,5.327M,1.103B,0.083M,0.00,-48.66M,,,
2017-03,42.06M,,3.503M,187.99M,29.02M,217.01M,217.01M,,,38.32M,,15.26M,-39.66M,,-65.41M,47.13M,3.093M,-20.64M,-75.49M,247.37M,-277.24M,,-277.24M,-36.04M,-7.104M,47.77M,-314.36M,2.272B,2.272B,2.126B,,2.126B,-148.08M,-148.08M,20.07M,-44.70M,4.225B,773.25M,4.158B,11.54M,4.943B,2.126B,2.310B,-38.11M,,,
2016-12,61.75M,1.891M,4.039M,180.32M,29.48M,209.80M,209.80M,,0.00,39.84M,,11.19M,-27.42M,,73.09M,,,50.00M,-27.72M,300.62M,-386.32M,,-386.32M,0.621M,0.779M,23.38M,-361.54M,-32.04M,-32.04M,0.00,,0.00,-125.31M,-125.31M,0.036M,-0.88M,-158.20M,1.024B,-215.36M,-34.93M,773.25M,0.00,457.90M,-489.94M,,,
2016-09,51.45M,-4.242M,-22.01M,181.90M,32.93M,214.82M,214.82M,,7.698M,42.35M,,5.706M,-30.44M,,-0.901M,,,64.07M,32.72M,335.64M,-279.48M,,-279.48M,-165.90M,-2.123M,805.37M,357.87M,-59.73M,-59.73M,0.00,,0.00,-127.46M,-127.46M,16.50M,-21.89M,-192.57M,496.76M,522.29M,4.491M,1.024B,0.00,9.154M,-68.88M,,,
2016-06,44.71M,,0.318M,179.75M,32.30M,212.05M,212.05M,,,39.32M,,12.17M,-31.06M,,29.59M,,,-30.61M,-32.07M,278.26M,-249.87M,,-249.87M,0.00,8.764M,0.00,-252.81M,-48.86M,-48.86M,0.00,,0.00,-121.86M,-121.86M,1.335M,0.023M,-169.36M,647.64M,-169.02M,18.14M,496.76M,0.00,0.00,-48.86M,,,
2016-03,-31.11M,,-5.242M,172.38M,28.15M,200.53M,200.53M,,,34.06M,,10.68M,-11.31M,,-40.22M,,,-54.44M,-105.97M,104.83M,-197.70M,,-197.70M,-1.601B,3.419M,22.82M,-1.789B,-268.34M,-268.34M,0.00,,0.00,-124.84M,-124.84M,16.30M,-0.065M,-376.93M,2.718B,-2.061B,-9.501M,647.64M,0.00,701.25M,-969.58M,,,
2015-12,10.73M,,0.289M,136.06M,8.10M,144.16M,144.16M,,,33.87M,,9.821M,-2.581M,,33.91M,,,-52.10M,35.42M,235.15M,-280.61M,,-280.61M,-235.26M,-9.369M,493.37M,-31.87M,1.613B,1.613B,,,,-230.45M,-230.45M,0.185M,-19.14M,2.193B,335.47M,2.396B,-30.36M,2.718B,,1.807B,-194.27M,,,
2015-09,41.13M,0.00,0.00,125.80M,6.601M,132.40M,132.40M,,0.00,33.97M,,7.128M,-0.22M,,25.93M,,,-27.23M,-1.528M,214.40M,-216.05M,,-216.05M,0.00,94.22M,14.27M,-107.56M,-17.39M,-17.39M,,,,-98.04M,-98.04M,13.29M,0.732M,-101.41M,336.13M,5.434M,-6.098M,335.47M,,0.00,-17.39M,,,
2015-06,59.46M,,,120.93M,6.45M,127.38M,127.38M,,,33.99M,,8.626M,-10.99M,,19.60M,,,-26.62M,-18.02M,212.46M,-221.34M,,-221.34M,0.00,433.97M,-511.17M,-298.54M,-23.61M,-23.61M,,,,-96.35M,-96.35M,0.181M,0.216M,-119.56M,536.71M,-205.64M,5.065M,336.13M,,490.00M,-513.61M,,,
2015-03,76.45M,,,115.34M,6.295M,121.64M,121.64M,,,30.61M,,6.965M,-30.79M,,29.69M,,,-3.622M,-4.72M,232.81M,-150.12M,,-150.12M,-10.25M,-4.706M,3.521M,-199.83M,-18.66M,-18.66M,,,,-96.62M,-96.62M,16.38M,0.098M,-98.79M,610.92M,-65.82M,-8.391M,536.71M,,0.00,-18.66M,,,
2014-12,-355.10M,,105.81M,125.16M,6.803M,131.96M,131.96M,,,31.52M,-2.125M,9.055M,2.428M,,-16.43M,-12.62M,10.09M,295.95M,279.42M,202.30M,-238.48M,,-238.48M,0.00,-381.63M,0.195M,-619.91M,879.11M,879.11M,,0.00,0.00,-83.27M,-83.27M,1.137M,-117.13M,679.85M,354.18M,262.24M,-5.50M,610.92M,,1.75B,-870.89M,0.00,,
2014-09,42.96M,,0.00,113.18M,6.974M,120.15M,120.15M,,,27.66M,-5.825M,8.069M,-50.89M,,41.28M,-4.06M,10.95M,23.34M,20.62M,216.44M,-156.00M,,-156.00M,0.00,148.79M,0.898M,-6.316M,-5.575M,-5.575M,,-42.58M,-42.58M,0.00,0.00,12.36M,-220.45M,-256.24M,408.33M,-46.11M,-8.039M,354.18M,,8.698M,-14.27M,-42.58M,,
2014-06,10.08M,,51.18M,108.57M,7.074M,115.65M,115.65M,,,33.83M,-1.614M,11.13M,-24.51M,,-23.00M,-8.104M,9.62M,-76.76M,-122.76M,98.96M,-159.82M,,-159.82M,0.00,250.74M,0.582M,91.50M,-51.16M,-51.16M,,-208.26M,-208.26M,0.00,0.00,1.434M,-20.94M,-278.93M,495.17M,-88.46M,1.621M,408.33M,,0.128M,-51.29M,-208.26M,,
2014-03,41.34M,,,107.02M,6.905M,113.93M,113.93M,,,24.98M,-10.02M,10.33M,-29.00M,,8.83M,18.29M,7.729M,-15.75M,-9.893M,171.72M,-105.91M,,-105.91M,0.00,221.65M,-0.071M,98.88M,-14.57M,-14.57M,,-47.12M,-47.12M,0.00,0.00,14.39M,10.02M,-37.28M,261.89M,233.32M,-0.041M,495.17M,,,-14.57M,-47.12M,,
2013-12,45.37M,,26.44M,99.79M,6.582M,106.38M,106.38M,,,27.63M,0.042M,-0.433M,12.34M,,-10.16M,-15.81M,8.868M,-36.62M,-41.38M,166.71M,-202.84M,,-202.84M,-48.74M,18.64M,-0.423M,-233.36M,-11.80M,-11.80M,,-48.80M,-48.80M,,,3.81M,-13.85M,-70.64M,399.74M,-137.30M,-0.551M,261.89M,,26.30M,-38.10M,-48.80M,36.95M,74.67M
2013-09,42.75M,,0.00,103.01M,6.822M,109.84M,109.84M,,,27.28M,-4.951M,4.696M,3.469M,,17.00M,-3.01M,3.935M,3.989M,25.39M,206.56M,-171.04M,,-171.04M,-0.598M,-89.22M,1.266M,-330.96M,-12.93M,-12.93M,,0.00,0.00,,,12.20M,-0.448M,-1.178M,517.50M,-125.57M,7.82M,399.74M,,1.734M,-14.67M,0.00,9.882M,39.68M
2013-06,-25.29M,,93.60M,102.26M,6.864M,109.12M,109.12M,,,24.19M,-3.431M,5.28M,-19.10M,,28.39M,2.186M,4.625M,-73.21M,-57.10M,147.16M,-122.86M,,-122.86M,,-175.59M,838.96M,537.55M,-772.30M,-772.30M,,0.00,0.00,,,1.512M,-79.25M,-850.03M,685.02M,-165.33M,-2.195M,517.50M,,0.00,-772.30M,0.00,62.82M,28.30M
2013-03,33.28M,,,100.38M,6.759M,107.14M,107.14M,,,23.84M,-18.99M,9.488M,-24.66M,,-28.00M,-20.22M,3.838M,-2.347M,-71.39M,84.18M,-75.67M,,-75.67M,,-232.96M,-833.91M,-1.143B,1.482B,1.482B,,0.00,0.00,,,14.37M,-0.04M,1.497B,252.21M,438.40M,-5.595M,685.02M,,1.50B,-17.57M,0.00,14.04M,67.98M
2012-12,46.61M,,-11.85M,96.57M,6.907M,103.48M,103.48M,,,21.59M,-19.46M,5.785M,20.30M,,26.20M,-16.33M,14.45M,2.893M,47.52M,203.69M,-210.41M,,-210.41M,45.41M,-15.16M,0.899M,-203.92M,-12.75M,-12.75M,,0.00,0.00,,,5.998M,19.00M,12.25M,239.69M,12.02M,0.506M,252.21M,,4.049M,-16.80M,0.00,-56.29M,-343.24M
2012-09,24.08M,,5.204M,99.82M,6.917M,106.73M,106.73M,,,21.78M,-53.17M,7.677M,-12.36M,,17.22M,1.959M,-11.12M,-2.026M,-6.327M,107.56M,-212.12M,,-212.12M,-278.44M,-111.57M,-0.133M,-602.27M,8.104M,8.104M,,0.00,0.00,,,13.67M,51.93M,73.70M,654.10M,-421.01M,6.601M,239.69M,,249.63M,-241.53M,0.00,12.81M,65.62M
2012-06,37.64M,,,90.74M,4.822M,95.56M,95.56M,,,20.55M,0.00,6.503M,-14.86M,,30.65M,4.65M,-18.66M,31.98M,33.76M,194.78M,-196.48M,,-196.48M,0.00,279.62M,10.74M,93.88M,-263.21M,-263.21M,,0.00,0.00,,,6.013M,-7.52M,-264.72M,632.94M,23.95M,-2.794M,654.10M,,0.00,-263.21M,0.00,5.031M,28.96M
2012-03,34.81M,,,87.88M,4.929M,92.80M,92.80M,,,19.10M,0.00,10.40M,-19.68M,,-40.54M,12.20M,23.97M,-8.763M,-32.81M,125.99M,-145.49M,,-145.49M,,346.37M,68.56M,269.43M,-61.05M,-61.05M,,-13.36M,-13.36M,,,30.46M,,-43.95M,278.82M,351.48M,2.645M,632.94M,,8.909M,-69.96M,-13.36M,1.734M,63.34M
2011-12,16.86M,,,88.51M,4.857M,93.37M,93.37M,-23.82M,,18.47M,-0.081M,37.93M,3.238M,,49.21M,,,7.879M,43.22M,187.33M,-165.88M,,-165.88M,0.00,1.40M,-1.792M,-194.34M,0.123M,0.123M,-35.70M,-86.67M,-122.37M,,,,-0.029M,-83.38M,370.52M,-90.39M,-1.313M,278.82M,-35.70M,4.701M,-4.578M,-86.67M,-16.33M,-229.41M
2011-09,20.64M,,,85.70M,5.043M,90.75M,90.75M,8.207M,,19.21M,0.00,2.193M,-9.989M,,0.032M,,,9.457M,-0.50M,141.87M,-131.52M,,-131.52M,0.00,-677.23M,0.061M,-808.69M,748.47M,748.47M,11.11M,0.00,11.11M,,,,-15.43M,744.15M,297.87M,77.32M,-4.673M,370.52M,11.11M,762.72M,-14.25M,0.00,0.347M,39.82M
2011-06,30.73M,,,80.33M,4.891M,85.22M,85.22M,8.325M,,18.32M,,3.354M,-19.41M,,4.082M,,,8.696M,-6.631M,140.35M,-197.92M,,-197.92M,-41.95M,30.98M,-0.845M,-209.74M,52.91M,52.91M,8.929M,0.00,8.929M,,,,0.00,61.84M,304.47M,-7.551M,0.957M,297.87M,8.929M,55.26M,-2.355M,0.00,6.651M,23.72M
2011-03,25.14M,,,74.06M,4.273M,78.34M,78.34M,7.284M,,15.54M,,2.045M,3.099M,,-13.61M,,,-1.271M,-11.78M,117.77M,-190.07M,,-190.07M,,-2.185M,-94.14M,-286.39M,10.58M,10.58M,15.67M,0.00,15.67M,,,,-0.125M,26.13M,442.84M,-142.49M,4.118M,304.47M,15.67M,22.65M,-12.07M,0.00,0.174M,36.74M
2010-12,13.76M,,5.356M,71.18M,4.254M,75.44M,75.44M,-19.40M,,17.47M,,30.38M,-1.40M,,14.70M,,,2.785M,-0.716M,122.89M,-143.35M,,-143.35M,0.00,176.17M,-0.422M,17.54M,-85.18M,-85.18M,,,,,,,-40.63M,-85.99M,389.15M,54.44M,-0.748M,442.84M,,5.77M,-90.95M,,7.914M,27.17M
2010-09,11.20M,,0.00,68.94M,4.357M,73.30M,73.30M,7.16M,,16.95M,,3.487M,-6.729M,,-3.013M,,,10.43M,0.692M,113.26M,-143.94M,,-143.94M,0.00,-115.55M,0.00,-259.50M,4.091M,4.091M,,,,,,,14.02M,18.11M,511.34M,-128.12M,5.927M,389.15M,,16.85M,-12.76M,,1.633M,37.70M
2010-06,-2.274M,,1.454M,59.12M,3.633M,62.75M,62.75M,6.689M,,18.10M,,5.383M,-25.67M,,3.174M,,,-13.38M,-35.88M,56.91M,-148.70M,,-148.70M,-113.29M,-64.99M,-0.474M,-327.46M,-255.58M,-255.58M,,,,,,,3.344M,-252.23M,1.039B,-522.78M,-5.178M,511.34M,,98.96M,-354.54M,,0.918M,24.78M
2010-03,14.20M,,3.377M,47.30M,1.388M,48.69M,48.69M,5.554M,,14.97M,,0.777M,-6.086M,,15.89M,,,2.152M,11.95M,99.81M,-143.40M,,-143.40M,,112.28M,-0.442M,-31.56M,634.11M,634.11M,,,,,,,-4.31M,629.80M,346.06M,698.05M,-4.805M,1.039B,,750.00M,-115.89M,,0.578M,8.288M
2009-12,17.72M,,,41.02M,1.455M,42.47M,42.47M,6.581M,,14.03M,,-1.795M,2.30M,,-6.647M,,,-22.71M,0.925M,82.51M,-101.74M,,-101.74M,0.00,85.92M,0.132M,-15.68M,-17.31M,-17.31M,,,,,,,14.39M,-2.922M,283.15M,63.90M,-0.995M,346.06M,,0.795M,-18.11M,,3.461M,27.26M
2009-09,18.81M,,,43.04M,1.454M,44.49M,44.49M,6.496M,,14.03M,,0.149M,1.003M,,14.67M,,,7.882M,23.56M,107.54M,-88.20M,,-88.20M,-28.18M,-146.04M,1.867M,-260.55M,15.50M,15.50M,,,,,,,13.30M,28.80M,405.22M,-124.21M,2.136M,283.15M,,27.94M,-12.43M,,4.609M,8.982M
2009-06,17.44M,,,43.52M,1.37M,44.89M,44.89M,3.277M,,13.46M,,1.076M,-5.838M,,7.204M,,,-2.77M,-1.404M,78.74M,-70.77M,,-70.77M,0.00,-136.16M,2.863M,-204.06M,356.07M,356.07M,,,,,,,-54.73M,301.34M,222.05M,176.02M,7.148M,405.22M,,373.75M,-17.68M,,1.218M,18.27M
2009-03,15.46M,,,40.40M,1.276M,41.68M,41.68M,2.437M,,11.54M,,-2.768M,4.812M,,5.761M,,,7.791M,18.36M,86.70M,-108.84M,,-108.84M,,23.62M,7.336M,-77.88M,-7.435M,-7.435M,,,,,,,3.81M,-3.625M,220.21M,5.194M,-3.352M,222.05M,,0.744M,-8.179M,,0.002M,8.766M
2008-12,97.86M,,0.565M,42.23M,1.374M,43.60M,43.60M,2.888M,,13.13M,,4.48M,-5.369M,,2.159M,-94.23M,,11.20M,-86.24M,76.30M,-141.49M,,-141.49M,0.00,81.58M,16.71M,-43.19M,31.47M,31.47M,,,,,,,0.682M,32.16M,160.68M,65.26M,-5.739M,220.21M,,40.27M,-8.798M,,-0.307M,17.89M
2008-09,5.556M,,-1.063M,39.94M,1.69M,41.64M,41.64M,2.963M,,12.56M,,3.307M,-2.252M,,-0.522M,0.00,,1.135M,-1.639M,63.32M,-95.44M,,-95.44M,0.00,2.784M,10.23M,-82.44M,19.59M,19.59M,,,,,,,6.842M,26.43M,151.13M,7.314M,2.244M,160.68M,,24.58M,-4.99M,,0.069M,8.991M
2008-06,0.708M,,,36.55M,1.771M,38.32M,38.32M,2.668M,,17.05M,,-0.764M,-4.037M,,5.175M,0.00,,5.835M,6.973M,64.96M,-84.46M,,-84.46M,0.00,-107.85M,-23.91M,-216.22M,30.36M,30.36M,,,,,,,11.56M,41.92M,260.83M,-109.33M,-0.374M,151.13M,,35.64M,-5.282M,,0.06M,18.10M
2008-03,3.797M,,,33.71M,1.775M,35.48M,35.48M,3.004M,,12.34M,,0.849M,2.506M,,0.362M,0.00,,4.643M,7.511M,62.98M,-125.64M,,-125.64M,-23.24M,28.92M,-16.23M,-136.20M,37.82M,37.82M,,,,,,,6.774M,44.60M,290.63M,-28.62M,-1.181M,260.83M,,41.88M,-4.058M,,0.276M,8.399M
2007-12,-6.073M,,-0.186M,33.39M,-0.481M,32.91M,32.91M,,,,,-31.26M,-10.93M,1.825M,-43.43M,,10.10M,20.96M,-27.47M,13.88M,-121.00M,,-121.00M,-0.063M,-0.146M,18.57M,-103.52M,,29.31M,-27.61M,,-27.61M,,,,36.29M,38.00M,343.45M,-51.64M,-1.182M,290.63M,-27.61M,,,,,
2007-09,4.124M,,-3.053M,22.90M,1.235M,24.13M,24.13M,,,,,12.02M,-5.658M,0.959M,17.79M,,-3.203M,1.316M,11.20M,48.43M,-153.91M,-47.88M,-201.79M,-541.73M,-3.025M,24.41M,-721.26M,,444.43M,350.35M,,350.35M,,,,-11.55M,783.24M,234.60M,110.41M,-1.556M,343.45M,350.35M,,,,,
2007-06,1.217M,,0.644M,21.50M,0.905M,22.40M,22.40M,,,,,10.46M,-0.494M,-1.458M,7.95M,,-6.897M,4.036M,3.137M,37.86M,-188.87M,31.42M,-157.45M,,-24.44M,0.00,-181.89M,,43.64M,6.876M,,6.876M,,,,0.00,50.52M,327.66M,-93.51M,0.449M,234.60M,6.876M,,,,,
2007-03,-4.456M,,-0.237M,20.10M,0.534M,20.63M,20.63M,,,,,11.33M,-0.916M,-1.326M,-2.657M,,,-2.519M,-7.418M,19.85M,-73.56M,16.45M,-57.10M,,9.515M,-0.47M,-48.06M,,273.64M,10.29M,,10.29M,,,,-10.68M,273.25M,82.56M,245.05M,0.051M,327.66M,10.29M,,,,,
2006-12,9.111M,,-8.192M,19.54M,-0.435M,19.10M,19.10M,,,,,6.963M,-2.758M,-0.969M,4.286M,,-3.591M,1.907M,-1.125M,25.86M,-49.62M,0.008M,-49.61M,,8.325M,14.27M,-36.79M,,-0.645M,10.08M,,10.08M,,,,-0.68M,8.755M,84.64M,-2.178M,0.102M,82.56M,10.08M,,,,,
2006-09,-5.168M,,-0.133M,18.47M,-15.79M,2.679M,2.679M,,,,,26.12M,-0.646M,-0.253M,-1.134M,,-3.088M,2.282M,-2.839M,20.66M,-46.62M,-6.161M,-52.78M,,-10.80M,2.814M,-60.76M,,39.29M,8.18M,,8.18M,,,,-0.009M,47.46M,77.30M,7.359M,-0.02M,84.64M,8.18M,,,,,
2006-06,-5.27M,,-8.221M,17.03M,17.05M,34.08M,34.08M,,,,,1.538M,-5.011M,-0.856M,2.597M,,-3.168M,0.413M,-6.025M,16.11M,-39.44M,3.643M,-35.79M,,10.45M,,-25.35M,,-0.686M,5.862M,,5.862M,,,,0.20M,5.376M,81.12M,-3.865M,0.04M,77.30M,5.862M,,,,,
2006-03,-5.07M,,8.00M,16.70M,0.211M,16.91M,16.91M,,,,,0.208M,-1.251M,-1.196M,-0.993M,,-2.957M,-0.862M,-7.259M,12.79M,-26.61M,2.518M,-24.10M,,-11.48M,,-35.57M,,-30.57M,14.71M,,14.71M,,,,0.37M,-15.48M,119.27M,-38.27M,0.125M,81.12M,14.71M,,,,,
2005-12,-32.60M,,29.74M,18.00M,3.931M,21.93M,21.93M,,,,,0.879M,-1.031M,0.186M,-0.386M,2.412M,-2.569M,,-1.388M,18.56M,11.81M,0.125M,11.93M,,-3.81M,10.63M,-69.76M,,126.83M,1.772M,,1.772M,,,,-0.655M,127.95M,42.57M,76.75M,-0.055M,119.27M,1.772M,,,,,
2005-09,-0.783M,,0.729M,15.90M,1.438M,17.33M,17.33M,,,,,,-0.075M,-0.831M,1.189M,-2.908M,0.839M,,-1.786M,15.49M,-41.81M,,-41.81M,,-1.002M,-0.267M,-43.08M,,-0.201M,3.585M,,3.585M,,,,-0.342M,3.042M,67.15M,-24.54M,-0.034M,42.57M,3.585M,,,,,
2005-06,-3.431M,,2.064M,15.64M,2.569M,18.21M,18.21M,,,,,-0.905M,-1.484M,-0.03M,2.863M,-0.132M,0.994M,,2.211M,18.15M,-9.89M,-8.602M,-18.49M,,17.63M,3.155M,2.289M,,-0.79M,3.285M,,3.285M,,,,,2.495M,44.21M,22.93M,0.003M,67.15M,3.285M,,,,,
2005-03,-5.794M,,0.851M,14.97M,2.524M,17.49M,17.49M,,,,,0.905M,-2.264M,2.298M,0.089M,2.25M,-0.433M,,1.94M,15.39M,-5.523M,8.602M,3.079M,,-0.613M,-0.643M,1.823M,,-3.222M,4.347M,,4.347M,,,,,1.125M,25.94M,18.34M,-0.069M,44.21M,4.347M,,,,,
2004-12,-22.67M,,12.52M,14.37M,7.165M,21.54M,21.54M,,,,,,0.90M,-1.502M,0.183M,-1.077M,0.736M,,-0.76M,10.63M,-6.151M,,-6.151M,,-18.51M,1.658M,-23.00M,,-0.105M,3.658M,,3.658M,,,,-0.165M,3.388M,35.08M,-8.988M,-0.154M,25.94M,3.658M,,,,,
