,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,257.00M,,257.00M,1.329B,183.00M,1.53B,337.00M,954.00M,1.291B,,,189.00M,3.267B,,,,,9.063B,,9.063B,-5.425B,3.638B,6.072B,3.391B,9.463B,421.00M,242.00M,580.00M,14.63B,17.90B,,2.306B,32.00M,2.338B,795.00M,3.133B,,197.00M,127.00M,7.00M,331.00M,,331.00M,502.00M,3.966B,8.737B,,8.737B,714.00M,714.00M,571.00M,566.00M,327.00M,10.53B,14.50B,,105.00M,7.743B,866.00M,4.375B,,,-1.501B,2.838B,,AOR,Restated
2018-03,370.00M,,370.00M,1.448B,127.00M,1.601B,335.00M,879.00M,1.214B,,,135.00M,3.32B,,,,,9.471B,,9.471B,-5.758B,3.713B,5.514B,2.65B,8.164B,425.00M,254.00M,536.00M,13.38B,16.70B,,2.23B,65.00M,2.295B,796.00M,3.091B,,388.00M,81.00M,408.00M,877.00M,,877.00M,547.00M,4.515B,7.881B,,7.881B,357.00M,357.00M,851.00M,16.00M,352.00M,9.633B,14.15B,,105.00M,7.334B,852.00M,4.346B,,,-1.407B,2.538B,,AOR,Restated
2017-12,281.00M,,281.00M,1.24B,126.00M,1.389B,333.00M,884.00M,1.217B,,,149.00M,3.036B,0.00,111.00M,2.20B,6.421B,,634.00M,9.366B,-5.65B,3.716B,5.504B,2.639B,8.143B,429.00M,246.00M,529.00M,13.32B,16.35B,,2.269B,30.00M,2.299B,893.00M,3.192B,,292.00M,78.00M,409.00M,779.00M,,779.00M,551.00M,4.522B,7.836B,,7.836B,355.00M,355.00M,879.00M,16.00M,373.00M,9.635B,14.16B,,105.00M,7.069B,878.00M,4.417B,,,-1.457B,2.178B,,AOR,Restated
2017-09,267.00M,,267.00M,1.512B,,1.512B,327.00M,868.00M,1.195B,198.00M,,,3.172B,,,,,9.265B,,9.265B,-5.636B,3.629B,5.135B,2.442B,7.577B,432.00M,,831.00M,12.47B,15.64B,,2.14B,38.00M,2.178B,829.00M,3.007B,,486.00M,86.00M,410.00M,982.00M,,982.00M,658.00M,4.647B,7.216B,,7.216B,411.00M,411.00M,933.00M,16.00M,491.00M,9.051B,13.70B,,105.00M,6.862B,851.00M,4.425B,,,-1.466B,1.927B,,AOR,Restated
2017-06,334.00M,,334.00M,1.427B,,1.427B,324.00M,877.00M,1.201B,205.00M,,,3.167B,,,,,9.143B,,9.143B,-5.53B,3.613B,5.127B,2.423B,7.55B,435.00M,,770.00M,12.37B,15.54B,,2.057B,48.00M,2.105B,781.00M,2.886B,,652.00M,72.00M,411.00M,1.135B,,1.135B,667.00M,4.688B,7.123B,,7.123B,401.00M,401.00M,997.00M,16.00M,476.00M,8.997B,13.68B,,105.00M,6.752B,836.00M,4.364B,,,-1.495B,1.834B,,AOR,Restated
2017-03,298.00M,,298.00M,1.464B,,1.464B,318.00M,877.00M,1.195B,189.00M,,,3.146B,,,,,8.973B,,8.973B,-5.397B,3.576B,5.084B,2.442B,7.526B,440.00M,,739.00M,12.28B,15.43B,,1.995B,141.00M,2.136B,715.00M,2.851B,,557.00M,72.00M,632.00M,1.261B,,1.261B,620.00M,4.732B,6.715B,,6.715B,456.00M,456.00M,1.008B,16.00M,494.00M,8.673B,13.40B,,105.00M,6.65B,817.00M,4.078B,,,-1.488B,2.006B,,AOR,Restated
2016-12,280.00M,,280.00M,1.098B,109.00M,1.231B,315.00M,923.00M,1.238B,,,191.00M,2.94B,0.00,131.00M,2.02B,6.012B,,686.00M,8.849B,-5.28B,3.569B,5.166B,2.369B,7.535B,438.00M,170.00M,393.00M,12.17B,15.11B,,2.014B,47.00M,2.061B,754.00M,2.815B,,386.00M,52.00M,631.00M,1.069B,,1.069B,590.00M,4.474B,6.698B,,6.698B,525.00M,525.00M,1.064B,16.00M,376.00M,8.711B,13.18B,,105.00M,6.571B,806.00M,3.997B,,,-1.575B,1.91B,,AOR,Restated
2016-09,346.00M,,346.00M,1.523B,,1.523B,321.00M,899.00M,1.22B,207.00M,,,3.296B,,,,,8.914B,,8.914B,-5.356B,3.558B,4.971B,2.287B,7.258B,438.00M,,513.00M,12.02B,15.32B,,1.986B,35.00M,2.021B,797.00M,2.818B,454.00M,,,1.138B,1.592B,,1.592B,591.00M,5.001B,6.296B,,6.296B,459.00M,459.00M,978.00M,15.00M,385.00M,8.118B,13.12B,,105.00M,6.807B,786.00M,4.008B,,,-1.505B,2.185B,,AOR,Restated
2016-06,531.00M,,531.00M,1.473B,,1.473B,322.00M,894.00M,1.216B,201.00M,0.00,,3.421B,,,,,8.853B,,8.853B,-5.31B,3.543B,4.963B,2.282B,7.245B,435.00M,,497.00M,11.97B,15.39B,,1.988B,83.00M,2.071B,702.00M,2.773B,780.00M,,,1.144B,1.924B,,1.924B,574.00M,5.271B,6.277B,,6.277B,477.00M,477.00M,980.00M,10.00M,382.00M,8.116B,13.39B,,105.00M,6.701B,770.00M,4.092B,,,-1.494B,1.99B,,AOR,Restated
2016-03,310.00M,,310.00M,1.505B,,1.505B,330.00M,868.00M,1.198B,206.00M,0.00,,3.219B,,,,,8.88B,,8.88B,-5.263B,3.617B,4.974B,2.293B,7.267B,465.00M,,481.00M,12.08B,15.30B,,1.926B,19.00M,1.945B,677.00M,2.622B,,668.00M,50.00M,1.264B,1.982B,,1.982B,558.00M,5.162B,6.256B,,6.256B,447.00M,447.00M,1.007B,10.00M,384.00M,8.094B,13.26B,,105.00M,6.595B,754.00M,3.989B,,,-1.434B,2.031B,,AOR,Restated
2015-12,251.00M,,251.00M,1.161B,156.00M,1.344B,315.00M,935.00M,1.25B,164.00M,227.00M,,3.236B,0.00,142.00M,2.076B,5.945B,,694.00M,8.857B,-5.236B,3.621B,4.968B,2.268B,7.236B,456.00M,,471.00M,12.02B,15.25B,,1.907B,42.00M,1.949B,772.00M,2.721B,,1.16B,44.00M,1.266B,2.47B,,2.47B,548.00M,5.739B,5.275B,,5.275B,685.00M,685.00M,1.023B,10.00M,391.00M,7.374B,13.11B,,105.00M,6.597B,745.00M,3.943B,,,-1.376B,2.128B,,AOR,Restated
2015-09,299.00M,,299.00M,1.457B,,1.457B,320.00M,890.00M,1.21B,194.00M,193.00M,,3.353B,,,,,9.129B,,9.129B,-5.535B,3.594B,4.988B,2.281B,7.269B,454.00M,,565.00M,12.16B,15.52B,,1.61B,25.00M,1.635B,792.00M,2.427B,,1.291B,72.00M,756.00M,2.119B,,2.119B,526.00M,5.072B,5.83B,,5.83B,765.00M,765.00M,787.00M,10.00M,391.00M,7.773B,12.84B,,105.00M,6.815B,721.00M,3.656B,,,-1.322B,2.663B,,AOR,Restated
2015-06,294.00M,,294.00M,1.42B,,1.42B,318.00M,893.00M,1.211B,240.00M,161.00M,,3.326B,,,,,9.209B,,9.209B,-5.585B,3.624B,4.978B,2.266B,7.244B,,,489.00M,11.64B,14.96B,,1.591B,15.00M,1.606B,715.00M,2.321B,,885.00M,54.00M,754.00M,1.693B,,1.693B,505.00M,4.519B,5.80B,,5.80B,747.00M,747.00M,797.00M,22.00M,425.00M,7.769B,12.29B,,105.00M,6.789B,704.00M,3.665B,,,-1.281B,2.652B,,AOR,Restated
2015-03,349.00M,,349.00M,1.503B,,1.503B,353.00M,846.00M,1.199B,220.00M,170.00M,,3.441B,,,,,9.185B,,9.185B,-5.466B,3.719B,4.993B,2.282B,7.275B,,,519.00M,11.77B,15.21B,,1.537B,72.00M,1.609B,679.00M,2.288B,,731.00M,78.00M,360.00M,1.169B,,1.169B,543.00M,4.00B,6.561B,,6.561B,764.00M,764.00M,835.00M,106.00M,396.00M,8.556B,12.56B,,105.00M,6.739B,689.00M,3.696B,,,-1.291B,2.546B,,AOR,Restated
2014-12,443.00M,,443.00M,1.094B,166.00M,1.276B,327.00M,952.00M,1.279B,158.00M,184.00M,,3.34B,0.00,105.00M,2.154B,6.344B,,692.00M,9.295B,-5.526B,3.769B,4.971B,2.295B,7.266B,1.00M,,527.00M,11.81B,15.15B,,1.528B,39.00M,1.567B,766.00M,2.333B,828.00M,,,607.00M,1.435B,,1.435B,596.00M,4.364B,5.935B,,5.935B,726.00M,726.00M,859.00M,62.00M,418.00M,7.938B,12.30B,,105.00M,6.689B,678.00M,3.47B,,,-1.213B,2.789B,,AOR,Restated
2014-09,426.00M,,426.00M,1.565B,,1.565B,348.00M,860.00M,1.208B,166.00M,207.00M,,3.572B,,,,,9.507B,,9.507B,-5.717B,3.79B,5.021B,2.327B,7.348B,,,550.00M,12.20B,15.77B,,1.466B,56.00M,1.522B,790.00M,2.312B,1.079B,,,607.00M,1.686B,,1.686B,664.00M,4.662B,5.963B,,5.963B,943.00M,943.00M,329.00M,62.00M,430.00M,7.665B,12.33B,,105.00M,7.161B,656.00M,3.523B,,,-1.016B,3.383B,,AOR,Restated
2014-06,290.00M,,290.00M,1.544B,,1.544B,345.00M,958.00M,1.303B,185.00M,169.00M,,3.491B,,,,,9.598B,,9.598B,-5.719B,3.879B,5.055B,2.361B,7.416B,,,526.00M,12.32B,15.81B,,1.462B,39.00M,1.501B,774.00M,2.275B,858.00M,,,607.00M,1.465B,,1.465B,555.00M,4.295B,6.029B,,6.029B,917.00M,917.00M,338.00M,61.00M,421.00M,7.705B,12.00B,,105.00M,7.113B,653.00M,3.191B,,,-928.00M,3.752B,,AOR,Restated
2014-03,284.00M,,284.00M,1.605B,,1.605B,348.00M,929.00M,1.277B,183.00M,155.00M,,3.504B,,,,,9.44B,,9.44B,-5.589B,3.851B,5.049B,2.369B,7.418B,,,440.00M,12.22B,15.73B,,1.383B,107.00M,1.49B,736.00M,2.226B,1.725B,,,527.00M,2.252B,,2.252B,595.00M,5.073B,5.413B,,5.413B,915.00M,915.00M,336.00M,61.00M,419.00M,7.083B,12.16B,,105.00M,6.985B,638.00M,3.278B,,,-939.00M,3.511B,,AOR,Restated
2013-12,273.00M,,273.00M,1.226B,146.00M,1.424B,319.00M,929.00M,1.248B,,,322.00M,3.267B,0.00,125.00M,2.155B,6.384B,,693.00M,9.357B,-5.501B,3.856B,5.051B,2.367B,7.418B,,,514.00M,12.21B,15.47B,,1.432B,69.00M,1.501B,803.00M,2.304B,,686.00M,53.00M,289.00M,1.028B,,1.028B,503.00M,3.835B,6.33B,,6.33B,928.00M,928.00M,345.00M,62.00M,429.00M,8.032B,11.87B,,105.00M,6.749B,626.00M,2.999B,,,-936.00M,3.545B,,AOR,Restated
2013-09,300.00M,,300.00M,1.474B,,1.474B,331.00M,981.00M,1.312B,163.00M,185.00M,,3.434B,,,,,9.164B,,9.164B,-5.387B,3.777B,5.052B,2.364B,7.416B,,,406.00M,11.79B,15.22B,,1.399B,75.00M,1.474B,769.00M,2.243B,756.00M,,,298.00M,1.054B,,1.054B,537.00M,3.834B,6.348B,,6.348B,560.00M,560.00M,1.157B,61.00M,425.00M,8.49B,12.32B,,105.00M,6.098B,620.00M,3.025B,,,-963.00M,2.835B,,AOR,Restated
2013-06,262.00M,,262.00M,1.512B,,1.512B,305.00M,969.00M,1.274B,198.00M,161.00M,,3.407B,,,,,8.965B,,8.965B,-5.246B,3.719B,5.019B,2.347B,7.366B,,,413.00M,11.67B,15.08B,,1.364B,31.00M,1.395B,701.00M,2.096B,1.136B,,,293.00M,1.429B,,1.429B,444.00M,3.969B,6.337B,,6.337B,569.00M,569.00M,1.142B,61.00M,440.00M,8.488B,12.46B,,105.00M,5.939B,568.00M,3.031B,,,-1.023B,2.558B,,AOR,Restated
2013-03,252.00M,,252.00M,1.588B,,1.588B,312.00M,972.00M,1.284B,170.00M,168.00M,,3.462B,,,,,8.972B,,8.972B,-5.227B,3.745B,5.058B,2.346B,7.404B,,,450.00M,11.76B,15.22B,,1.447B,87.00M,1.534B,660.00M,2.194B,838.00M,,,1.00M,839.00M,,839.00M,535.00M,3.568B,6.717B,,6.717B,563.00M,563.00M,1.15B,61.00M,384.00M,8.814B,12.38B,,105.00M,5.749B,583.00M,2.709B,,,-947.00M,2.781B,,AOR,Restated
2012-12,281.00M,,281.00M,1.179B,207.00M,1.454B,300.00M,1.065B,1.365B,128.00M,152.00M,,3.38B,0.00,117.00M,2.084B,6.257B,,533.00M,8.991B,-5.209B,3.782B,5.038B,2.359B,7.397B,,,465.00M,11.79B,15.17B,,1.402B,46.00M,1.448B,783.00M,2.231B,,1.012B,53.00M,755.00M,1.82B,,1.82B,472.00M,4.523B,6.082B,,6.082B,523.00M,523.00M,1.167B,61.00M,409.00M,8.181B,12.70B,,105.00M,5.615B,573.00M,2.943B,,,-946.00M,2.404B,,AOR,Restated
2012-09,305.00M,,305.00M,1.414B,,1.414B,292.00M,987.00M,1.279B,136.00M,172.00M,,3.306B,,,,,8.731B,,8.731B,-5.132B,3.599B,5.025B,2.255B,7.28B,,,436.00M,11.55B,14.85B,,1.338B,16.00M,1.354B,783.00M,2.137B,,329.00M,33.00M,1.51B,1.872B,,1.872B,505.00M,4.514B,6.065B,,6.065B,643.00M,643.00M,763.00M,2.00M,431.00M,7.902B,12.42B,,105.00M,7.196B,553.00M,3.095B,,,-2.323B,2.436B,,AOR,Restated
2012-06,230.00M,,230.00M,1.42B,,1.42B,282.00M,953.00M,1.235B,150.00M,176.00M,,3.211B,,,,,8.537B,,8.537B,-4.976B,3.561B,5.044B,2.193B,7.237B,,,436.00M,11.43B,14.64B,,1.226B,5.00M,1.231B,701.00M,1.932B,,709.00M,30.00M,1.518B,2.257B,,2.257B,417.00M,4.606B,6.03B,,6.03B,644.00M,644.00M,776.00M,2.00M,431.00M,7.881B,12.49B,,105.00M,7.061B,541.00M,3.118B,,,-2.438B,2.151B,,AOR,Restated
2012-03,404.00M,,404.00M,1.304B,,1.304B,264.00M,880.00M,1.144B,143.00M,197.00M,,3.192B,,,,,8.262B,,8.262B,-4.967B,3.295B,3.628B,1.454B,5.082B,,,375.00M,8.942B,12.13B,,1.186B,180.00M,1.366B,633.00M,1.999B,,32.00M,27.00M,1.525B,1.584B,,1.584B,428.00M,4.011B,4.254B,,4.254B,648.00M,648.00M,738.00M,2.00M,419.00M,6.059B,10.07B,,105.00M,6.917B,530.00M,3.142B,,,-2.348B,2.062B,,AOR,Restated
2011-12,460.00M,,460.00M,983.00M,132.00M,1.188B,247.00M,927.00M,1.174B,98.00M,149.00M,,3.069B,0.00,104.00M,1.896B,5.628B,,500.00M,8.128B,-4.847B,3.281B,3.623B,1.454B,5.077B,,,366.00M,8.874B,11.94B,,1.189B,66.00M,1.255B,652.00M,1.907B,,216.00M,18.00M,761.00M,995.00M,,995.00M,411.00M,3.313B,5.037B,,5.037B,643.00M,643.00M,748.00M,2.00M,404.00M,6.832B,10.14B,,105.00M,5.305B,522.00M,3.13B,,,-1.006B,1.796B,,AOR,Restated
2011-09,582.00M,,582.00M,1.302B,,1.302B,252.00M,761.00M,1.013B,122.00M,159.00M,,3.178B,,,,,,,8.051B,-4.858B,3.193B,3.622B,1.455B,5.077B,,,335.00M,9.085B,12.26B,,1.20B,18.00M,1.218B,446.00M,1.664B,737.00M,,,,737.00M,,737.00M,461.00M,3.101B,5.30B,,5.30B,790.00M,790.00M,386.00M,2.00M,401.00M,6.877B,9.978B,,105.00M,6.644B,510.00M,3.05B,,,-1.926B,2.283B,,AOR,Restated
2011-06,457.00M,,457.00M,1.364B,,1.364B,239.00M,778.00M,1.017B,137.00M,161.00M,,3.136B,8.154B,,,,,,8.154B,-4.908B,3.246B,3.632B,1.455B,5.087B,,,413.00M,9.22B,12.36B,,1.208B,31.00M,1.239B,436.00M,1.675B,734.00M,,,,734.00M,,734.00M,412.00M,3.026B,5.308B,,5.308B,768.00M,768.00M,370.00M,-6.00M,416.00M,6.862B,9.888B,,105.00M,6.511B,513.00M,2.89B,,,-1.765B,2.474B,,AOR,Restated
2011-03,404.00M,,404.00M,1.367B,,1.367B,243.00M,732.00M,975.00M,171.00M,134.00M,,3.051B,,,,,,,7.999B,-4.816B,3.183B,3.63B,1.456B,5.086B,,,405.00M,9.137B,12.19B,,1.199B,92.00M,1.291B,462.00M,1.753B,1.078B,,,,1.078B,,1.078B,408.00M,3.418B,4.905B,,4.905B,,,176.00M,-5.00M,1.385B,6.466B,9.884B,,105.00M,6.325B,503.00M,2.835B,,,-1.789B,2.309B,,AOR,Restated
2010-12,444.00M,,444.00M,883.00M,118.00M,1.19B,224.00M,832.00M,1.056B,115.00M,110.00M,,2.915B,0.00,107.00M,1.842B,5.462B,,407.00M,7.818B,-4.69B,3.128B,3.628B,1.456B,5.084B,,,387.00M,8.932B,11.85B,,1.149B,60.00M,1.209B,558.00M,1.767B,,0.00,44.00M,952.00M,996.00M,,996.00M,421.00M,3.184B,4.908B,,4.908B,697.00M,697.00M,479.00M,-4.00M,425.00M,6.509B,9.693B,,105.00M,6.122B,495.00M,2.65B,,,-1.914B,2.158B,,AOR,Restated
2010-09,559.00M,,559.00M,1.211B,,1.211B,232.00M,720.00M,952.00M,135.00M,148.00M,,3.005B,,,,,7.681B,,7.681B,-4.666B,3.015B,3.644B,1.457B,5.101B,,,395.00M,8.719B,11.72B,,1.145B,133.00M,1.278B,615.00M,1.893B,594.00M,,,948.00M,1.542B,,1.542B,344.00M,3.779B,3.929B,,3.929B,431.00M,431.00M,441.00M,0.00,926.00M,5.727B,9.506B,,105.00M,6.087B,485.00M,2.528B,,,-1.931B,2.218B,,AOR,Restated
2010-06,471.00M,,471.00M,1.144B,,1.144B,224.00M,661.00M,885.00M,151.00M,141.00M,,2.792B,,,,,7.407B,,7.407B,-4.491B,2.916B,3.639B,1.457B,5.096B,,,396.00M,8.593B,11.38B,,1.075B,12.00M,1.087B,595.00M,1.682B,158.00M,,,954.00M,1.112B,,1.112B,470.00M,3.264B,3.915B,,3.915B,428.00M,428.00M,440.00M,1.00M,954.00M,5.737B,9.001B,,105.00M,5.903B,481.00M,2.01B,,,-2.096B,2.383B,,AOR,Restated
2010-03,387.00M,,387.00M,1.284B,,1.284B,226.00M,591.00M,817.00M,139.00M,127.00M,,2.754B,,,,,7.485B,,7.485B,-4.508B,2.977B,3.645B,1.458B,5.103B,,,380.00M,8.635B,11.39B,,1.028B,142.00M,1.17B,631.00M,1.801B,128.00M,,,948.00M,1.076B,,1.076B,352.00M,3.229B,3.898B,,3.898B,439.00M,439.00M,431.00M,2.00M,951.00M,5.719B,8.948B,,105.00M,5.75B,480.00M,1.885B,,,-2.011B,2.439B,,AOR,Restated
2009-12,334.00M,,334.00M,942.00M,128.00M,1.093B,214.00M,696.00M,910.00M,93.00M,128.00M,,2.558B,0.00,106.00M,1.75B,5.383B,,291.00M,7.53B,-4.52B,3.01B,3.643B,1.458B,5.101B,,,371.00M,8.642B,11.20B,,1.077B,33.00M,1.11B,731.00M,1.841B,44.00M,,,1.00M,45.00M,,45.00M,402.00M,2.288B,4.835B,,4.835B,425.00M,425.00M,918.00M,3.00M,459.00M,6.637B,8.925B,,105.00M,5.481B,472.00M,1.82B,,,-1.966B,2.272B,,AOR,Restated
