,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2015-03,2.463B,,-25.00M,-38.00M,-42.00M,321.00M,321.00M,,,295.00M,56.00M,-5.99B,8.052B,,,-18.27B,-16.21B,-13.06B,,-320.00M,-320.00M,,33.00M,48.00M,-2.905B,,6.005B,618.00M,6.623B,,-839.00M,-839.00M,1.493B,,1.493B,-310.00M,713.00M,9.951B,,46.98B,-6.009B,-682.00M,40.29B,,1.493B,11.34B,-5.334B,-839.00M,119.00M,580.00M,,AOR,Restated
2014-12,-1.586B,,-4.00M,-48.00M,-26.00M,413.00M,413.00M,,,327.00M,95.00M,-727.00M,4.636B,,,-9.528B,-5.619B,-6.605B,,-459.00M,-459.00M,27.00M,-5.038B,51.00M,-11.56B,,1.839B,501.00M,2.34B,,-286.00M,-286.00M,0.00,,0.00,-252.00M,-775.00M,10.19B,,55.83B,-7.977B,-865.00M,46.98B,,0.00,10.21B,-8.372B,-286.00M,266.00M,1.459B,,AOR,Restated
2014-09,1.752B,,-20.00M,-32.00M,-44.00M,136.00M,136.00M,,,304.00M,-36.00M,27.00M,1.363B,,,-1.624B,-234.00M,1.864B,,-120.00M,-120.00M,795.00M,1.723B,124.00M,346.00M,,8.315B,-23.00M,8.292B,,-208.00M,-208.00M,994.00M,,994.00M,-265.00M,-1.703B,13.80B,,40.88B,16.01B,-1.066B,55.83B,,994.00M,11.70B,-3.389B,-208.00M,246.00M,954.00M,,AOR,Restated
2014-06,1.917B,,-10.00M,-20.00M,14.00M,286.00M,286.00M,,,318.00M,-18.00M,4.145B,5.106B,,,-10.75B,-1.496B,1.046B,,-413.00M,-415.00M,32.00M,-6.323B,-347.00M,-14.29B,,-5.432B,-3.00M,-5.435B,,-292.00M,-292.00M,1.788B,,1.788B,-244.00M,1.774B,-1.362B,,55.42B,-14.61B,68.00M,40.88B,,1.788B,7.124B,-12.56B,-292.00M,246.00M,556.00M,,AOR,Restated
2014-03,1.584B,,-6.00M,-56.00M,-29.00M,326.00M,326.00M,,,311.00M,-113.00M,-1.241B,16.87B,,,-12.91B,2.712B,4.781B,,,2.00M,135.00M,-5.354B,-41.00M,-9.818B,,-1.085B,-356.00M,-1.441B,,-672.00M,-672.00M,0.00,,0.00,-143.00M,-1.494B,519.00M,,59.88B,-4.518B,59.00M,55.42B,,0.00,7.701B,-8.786B,-672.00M,128.00M,606.00M,,AOR,Restated
2013-12,173.00M,,-2.00M,-51.00M,-37.00M,427.00M,427.00M,,,330.00M,84.00M,13.00M,5.197B,,,12.12B,17.34B,18.19B,,-372.00M,-372.00M,578.00M,-6.69B,23.00M,-10.47B,,-4.485B,-191.00M,-4.676B,,-240.00M,-240.00M,842.00M,,842.00M,-117.00M,-9.557B,-6.176B,,57.78B,1.541B,96.00M,59.88B,,842.00M,3.173B,-7.658B,-240.00M,332.00M,1.421B,,AOR,Restated
2013-09,1.018B,30.00M,-5.00M,-172.00M,-77.00M,368.00M,368.00M,,,291.00M,45.00M,7.644B,8.185B,,,-19.11B,-3.28B,-1.582B,,-361.00M,-361.00M,39.00M,-4.39B,-69.00M,-7.386B,,-5.058B,-33.00M,-5.091B,,-137.00M,-137.00M,854.00M,,854.00M,-119.00M,398.00M,19.20B,,47.20B,10.23B,437.00M,57.78B,,854.00M,3.068B,-8.126B,-137.00M,61.00M,1.195B,,AOR,Restated
2013-06,1.191B,-35.00M,-35.00M,-164.00M,-151.00M,356.00M,356.00M,,,294.00M,18.00M,-3.613B,6.339B,,,9.371B,12.10B,13.91B,,-320.00M,-320.00M,49.00M,-2.001B,81.00M,-3.464B,,712.00M,-109.00M,603.00M,,-8.00M,-8.00M,0.00,,0.00,-120.00M,-7.593B,-6.227B,,42.90B,4.216B,-123.00M,47.20B,,0.00,11.65B,-10.94B,-8.00M,398.00M,1.449B,,AOR,Restated
2013-03,1.231B,5.00M,-3.00M,-64.00M,-33.00M,360.00M,360.00M,,,265.00M,-5.00M,2.73B,6.976B,,,-6.99B,2.716B,4.495B,,-263.00M,-263.00M,481.00M,-1.294B,105.00M,-3.139B,,-1.972B,337.00M,-1.635B,,-306.00M,-306.00M,,,,-119.00M,541.00M,-4.162B,,46.90B,-2.806B,-612.00M,42.90B,,,10.05B,-12.02B,-306.00M,139.00M,728.00M,,AOR,Restated
2012-12,788.00M,108.00M,-25.00M,-76.00M,54.00M,363.00M,363.00M,,,-7.00M,-70.00M,13.72B,-11.05B,,,-1.192B,1.476B,1.993B,,-447.00M,-447.00M,189.00M,-49.00M,-217.00M,-2.271B,,744.00M,15.00M,759.00M,,-5.00M,-5.00M,0.00,,0.00,-120.00M,-2.431B,10.71B,,36.59B,10.43B,-77.00M,46.90B,,0.00,7.45B,-6.706B,-5.00M,58.00M,1.79B,,AOR,Restated
