,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,210.62M,65.86M,276.47M,216.52M,,223.80M,,30.26M,,,2.098M,532.64M,,,,,,,,154.25M,657.73M,221.07M,878.80M,48.39M,11.55M,,,1.093B,1.626B,6.421M,,6.421M,45.00M,51.42M,,,,268.13M,268.13M,,319.55M,,,,44.22M,0.641M,44.86M,,,44.86M,364.41M,0.481M,662.29M,652.91M,54.42M,-0.046M,1.261B
2017-12,185.93M,43.16M,229.08M,246.19M,,257.53M,,32.21M,,,1.997M,520.82M,0.00,9.958M,116.21M,97.84M,,224.01M,-71.70M,152.32M,657.99M,229.62M,887.60M,38.51M,12.11M,,,1.091B,1.611B,8.174M,,8.174M,64.68M,72.85M,,,,298.61M,298.61M,,371.46M,,,,46.88M,1.274M,48.15M,,,48.15M,419.62M,0.481M,624.46M,626.87M,60.03M,-0.046M,1.192B
2017-09,124.60M,39.91M,164.51M,206.44M,,209.81M,,23.22M,,,2.182M,399.72M,,,,,,,,149.14M,655.07M,245.52M,900.59M,39.80M,3.867M,,,1.093B,1.493B,4.563M,,4.563M,57.58M,62.15M,,,,297.16M,297.16M,,359.31M,,,,54.56M,1.468M,56.03M,,,56.03M,415.34M,0.481M,538.02M,604.32M,65.00M,-0.046M,1.078B
2017-06,55.07M,24.71M,79.78M,233.83M,,246.04M,,23.68M,,,2.784M,352.28M,,,,,,,,147.96M,651.72M,252.87M,904.60M,,2.333M,,31.35M,1.086B,1.439B,9.448M,,9.448M,46.01M,55.45M,,,,304.13M,304.13M,,359.58M,,,,59.68M,1.643M,61.32M,,,61.32M,420.91M,0.481M,499.76M,586.04M,68.63M,-0.046M,1.018B
2017-03,63.73M,20.06M,83.79M,163.72M,,163.72M,,21.44M,,,2.62M,271.58M,,,,,,,,142.11M,650.24M,258.28M,908.52M,,2.577M,,30.90M,1.084B,1.356B,6.13M,4.681M,10.81M,41.23M,52.04M,,,,270.21M,270.21M,,322.24M,,,,64.69M,1.908M,66.60M,,,66.60M,388.84M,0.481M,468.18M,569.76M,71.54M,-0.046M,966.84M
2016-12,36.15M,20.27M,56.42M,200.33M,,203.23M,,21.04M,,,2.268M,282.96M,0.00,9.958M,94.92M,75.97M,,180.85M,-56.58M,124.27M,650.24M,267.26M,917.50M,30.74M,2.48M,,,1.075B,1.358B,7.295M,,7.295M,55.99M,63.28M,,,,298.22M,298.22M,,361.50M,10.00M,,10.00M,68.78M,2.14M,70.92M,,,80.92M,442.42M,0.481M,435.88M,556.66M,77.45M,-0.046M,915.52M
2016-09,23.31M,23.76M,47.08M,188.43M,,206.11M,,21.38M,,,2.756M,277.33M,,,,,,,,120.96M,647.52M,276.33M,923.85M,27.88M,2.744M,,,1.075B,1.353B,5.992M,,5.992M,54.18M,60.18M,,,,288.32M,288.32M,,348.49M,34.00M,,34.00M,85.10M,2.924M,88.02M,,,122.02M,470.51M,0.481M,384.23M,595.16M,97.58M,-0.046M,882.26M
2016-06,41.33M,22.64M,63.97M,209.48M,,233.48M,,22.98M,,,3.529M,323.95M,,,,,,,,115.89M,655.39M,285.49M,940.88M,29.75M,2.579M,,,1.089B,1.413B,6.574M,,6.574M,49.88M,56.45M,,,,296.48M,296.48M,,352.93M,135.00M,,135.00M,92.11M,3.704M,95.81M,,,230.81M,583.74M,0.481M,361.97M,605.18M,138.28M,-0.046M,829.31M
2016-03,35.34M,18.33M,53.67M,137.33M,,149.13M,,20.98M,,,1.749M,225.54M,,,,,,,,114.29M,655.17M,286.48M,941.64M,33.44M,3.098M,,,1.092B,1.318B,6.316M,,6.316M,33.26M,39.58M,,,,250.11M,250.11M,,289.68M,140.00M,,140.00M,91.78M,4.561M,96.34M,,,236.34M,526.02M,0.481M,343.10M,608.50M,160.04M,-0.046M,791.99M
2015-12,33.09M,13.42M,46.51M,176.36M,,197.44M,,22.33M,,,1.931M,268.22M,0.00,8.146M,77.02M,59.16M,,144.32M,-43.21M,101.11M,653.67M,295.38M,949.04M,35.42M,2.777M,,,1.088B,1.357B,6.789M,,6.789M,49.16M,55.94M,,,,281.63M,281.63M,,337.57M,66.00M,,66.00M,91.03M,3.115M,94.14M,,,160.14M,497.71M,0.481M,326.02M,607.76M,75.35M,-0.046M,858.86M
2015-09,238.61M,9.124M,247.74M,129.23M,,129.23M,,18.04M,,9.674M,6.821M,411.50M,,,,,,,,68.09M,125.93M,35.70M,161.63M,36.08M,1.072M,,,266.88M,678.38M,4.385M,,4.385M,37.20M,41.58M,,,,200.89M,200.89M,,242.47M,,,,4.813M,,4.813M,,,4.813M,247.29M,0.481M,317.40M,230.84M,117.58M,-0.046M,431.10M
2015-06,204.10M,,204.10M,152.18M,,152.18M,,18.98M,,9.674M,10.59M,395.52M,,,,,,,,67.91M,131.96M,31.51M,163.47M,15.00M,0.391M,,3.744M,250.51M,646.03M,4.385M,,4.385M,34.81M,39.20M,,,,201.55M,201.55M,,240.74M,,,,4.673M,,4.673M,,,4.673M,245.42M,0.481M,297.26M,221.84M,118.92M,-0.046M,400.62M
2015-03,194.72M,,194.72M,105.79M,,105.79M,,17.35M,,9.674M,0.238M,327.78M,,,,,,,,67.30M,124.14M,33.12M,157.26M,,0.311M,,15.74M,240.61M,568.38M,5.373M,4.816M,10.19M,22.76M,32.95M,,,,164.71M,164.71M,,197.65M,,,,4.34M,,4.34M,,,4.34M,201.99M,0.481M,278.42M,209.91M,122.38M,-0.046M,366.39M
2014-12,206.17M,,206.17M,112.66M,,112.68M,,17.85M,,,0.339M,337.04M,0.00,7.736M,51.31M,46.11M,,105.15M,-39.24M,65.91M,124.14M,34.72M,158.86M,0.737M,1.761M,5.504M,,232.78M,569.81M,4.119M,,4.119M,39.51M,43.63M,,,,189.21M,189.21M,,232.84M,,,,,,,,,0.00,232.84M,0.481M,261.15M,201.39M,126.00M,-0.046M,336.97M
2014-09,157.43M,,157.43M,111.80M,,111.80M,,15.56M,,7.759M,0.446M,293.00M,,,,,,,,66.69M,124.02M,36.36M,160.38M,0.00,1.454M,,0.739M,229.26M,522.26M,3.397M,,3.397M,32.12M,35.52M,,,,185.84M,185.84M,,221.36M,,,,4.911M,,4.911M,,,4.911M,226.27M,0.481M,245.83M,184.69M,134.97M,-0.046M,295.99M
2014-06,88.09M,0.80M,88.89M,144.23M,,147.94M,,15.84M,,7.759M,0.598M,261.03M,,,,,,,,67.16M,121.01M,35.80M,156.82M,0.00,1.127M,,0.683M,225.78M,486.82M,2.584M,,2.584M,28.60M,31.19M,,,,184.58M,184.58M,,215.76M,,,,4.574M,,4.574M,,,4.574M,220.34M,0.481M,228.83M,186.42M,149.21M,-0.046M,266.48M
2014-03,97.14M,,97.14M,82.33M,,86.62M,,15.16M,,7.759M,0.933M,207.62M,,,,,,,,66.22M,121.01M,37.38M,158.39M,1.28M,0.526M,,0.207M,226.62M,434.24M,2.572M,,2.572M,19.51M,22.08M,,,,139.30M,139.30M,,161.38M,,,,6.155M,,6.155M,,,6.155M,167.54M,0.481M,214.09M,187.38M,135.20M,-0.046M,266.70M
2013-12,78.88M,,78.88M,106.57M,,116.29M,,13.52M,,7.759M,0.787M,217.24M,0.00,7.80M,50.52M,38.15M,,96.47M,-31.62M,64.84M,121.01M,38.99M,160.00M,,0.588M,,1.824M,227.25M,444.49M,2.533M,,2.533M,32.84M,35.37M,,,,156.74M,156.74M,,192.11M,,,,6.059M,,6.059M,,,6.059M,198.17M,0.481M,202.21M,182.18M,138.50M,-0.046M,246.32M
2013-09,52.12M,,52.12M,90.50M,,90.50M,,12.11M,,5.512M,4.522M,164.76M,,,,,,,,63.14M,121.01M,40.63M,161.64M,2.078M,1.098M,,0.69M,228.65M,393.42M,6.974M,,6.974M,23.16M,30.14M,,,,151.51M,151.51M,,181.65M,,,,4.141M,,4.141M,,,4.141M,185.79M,0.481M,191.70M,166.30M,150.64M,-0.209M,207.63M
2013-06,3.068M,,3.068M,121.26M,,121.26M,,11.81M,,5.512M,4.905M,146.55M,,,,,,,,55.38M,121.01M,42.29M,163.30M,2.103M,0.80M,,0.795M,222.38M,368.93M,3.776M,,3.776M,23.58M,27.36M,,,,155.90M,155.90M,,183.26M,,,,5.511M,,5.511M,,,5.511M,188.77M,0.481M,180.65M,159.16M,159.93M,-0.209M,180.16M
2013-03,4.495M,,4.495M,76.22M,,76.22M,,10.26M,,5.544M,1.035M,97.55M,,,,,,,,48.17M,121.01M,44.03M,165.04M,2.012M,1.621M,,0.98M,217.82M,315.37M,2.528M,,2.528M,21.90M,24.43M,,,,125.38M,125.38M,,149.81M,,,,5.363M,,5.363M,,,5.363M,155.18M,0.481M,171.60M,156.60M,168.22M,-0.268M,160.20M
2012-12,6.406M,,6.406M,99.21M,,99.62M,,9.00M,,5.955M,1.074M,122.05M,0.00,7.80M,33.30M,32.42M,,73.52M,-28.14M,45.38M,121.01M,45.80M,166.81M,2.037M,1.187M,,1.197M,216.61M,338.67M,3.167M,,3.167M,26.02M,29.18M,,,,140.55M,140.55M,,169.74M,18.00M,,18.00M,5.632M,,5.632M,,,23.63M,193.37M,0.481M,163.11M,154.02M,172.04M,-0.268M,145.30M
2012-09,0.103M,0.00,0.103M,78.22M,,78.22M,,8.171M,,5.051M,2.521M,94.06M,,,,,,,,43.02M,112.75M,42.32M,155.07M,2.029M,0.681M,,1.234M,202.03M,296.09M,2.169M,,2.169M,22.36M,24.53M,,,,120.13M,120.13M,,144.65M,28.00M,,28.00M,5.431M,,5.431M,,,33.43M,178.08M,0.481M,153.73M,155.25M,191.18M,-0.273M,118.01M
2012-06,0.312M,0.05M,0.362M,100.46M,,100.46M,,8.159M,,5.095M,3.184M,117.26M,,,,,,,,42.50M,112.75M,43.99M,156.74M,1.903M,0.576M,,1.467M,203.19M,320.45M,1.768M,,1.768M,22.52M,24.29M,,,,125.72M,125.72M,,150.01M,65.70M,,65.70M,5.127M,,5.127M,,,70.83M,220.84M,0.481M,142.90M,153.99M,197.41M,-0.355M,99.61M
2012-03,9.932M,0.00,9.932M,58.89M,,58.89M,,8.361M,,5.095M,1.403M,83.68M,,,,,,,,40.72M,108.17M,40.36M,148.52M,1.953M,1.40M,,1.485M,194.08M,277.76M,2.582M,2.126M,4.708M,14.93M,19.64M,,,,109.38M,109.38M,,129.02M,56.00M,,56.00M,4.994M,,4.994M,,,60.99M,190.02M,0.481M,135.80M,154.01M,202.19M,-0.355M,87.75M
2011-12,1.326M,0.025M,1.351M,90.01M,,90.01M,,8.348M,,5.095M,2.286M,107.09M,0.00,7.549M,29.30M,29.21M,,66.06M,-25.14M,40.92M,106.09M,35.63M,141.72M,1.953M,2.095M,,1.614M,188.30M,295.39M,3.211M,,3.211M,24.75M,27.96M,,,,123.68M,123.68M,,151.64M,60.70M,,60.70M,4.941M,,4.941M,,,65.64M,217.28M,0.481M,130.12M,152.86M,204.99M,-0.355M,78.11M
2011-09,5.28M,0.00,5.28M,75.46M,,75.46M,,8.008M,,3.106M,2.483M,94.33M,,,,,,,,40.78M,92.83M,28.81M,121.64M,2.101M,1.212M,,1.667M,167.40M,261.74M,3.736M,,3.736M,21.20M,24.94M,,,,108.11M,108.11M,,133.05M,58.00M,,58.00M,5.972M,,5.972M,,,63.97M,197.02M,0.481M,121.42M,153.77M,210.68M,-0.275M,64.71M
2011-06,1.412M,0.025M,1.437M,90.49M,,90.49M,,8.238M,,3.106M,4.067M,107.33M,,,,,,,,40.51M,92.83M,29.96M,122.79M,2.101M,0.631M,,1.788M,167.82M,275.15M,2.331M,,2.331M,20.47M,22.80M,,,,110.46M,110.46M,,133.25M,31.50M,,31.50M,5.952M,,5.952M,,,37.45M,170.70M,0.481M,113.91M,152.33M,162.00M,-0.275M,104.45M
2011-03,2.248M,0.00,2.248M,66.47M,,66.47M,,7.915M,,3.106M,1.896M,81.64M,,,,,,,,41.39M,92.83M,31.11M,123.94M,2.126M,1.403M,,1.912M,170.76M,252.40M,2.446M,1.448M,3.894M,19.91M,23.80M,,,,91.79M,91.79M,,115.59M,22.50M,,22.50M,5.911M,,5.911M,,,28.41M,144.00M,0.481M,108.29M,153.97M,154.06M,-0.275M,108.40M
2010-12,2.114M,0.025M,2.139M,81.86M,,81.86M,,7.801M,0.00,,6.649M,98.45M,23.41M,3.959M,26.40M,7.906M,,61.67M,-26.82M,34.85M,92.83M,32.31M,125.14M,2.126M,1.231M,,2.237M,165.58M,264.03M,2.626M,0.00,2.626M,19.43M,22.06M,,,,102.59M,102.59M,,124.65M,,,,5.911M,,5.911M,,26.50M,32.41M,157.06M,0.481M,102.56M,153.58M,149.37M,-0.275M,106.97M
2010-09,6.449M,0.00,6.449M,77.14M,,77.14M,,7.642M,0.00,4.112M,2.019M,97.36M,,,,,,,,35.32M,92.83M,33.63M,126.46M,2.149M,1.287M,,2.179M,167.40M,264.76M,1.868M,0.00,1.868M,40.88M,42.75M,,,,98.36M,98.36M,,141.11M,,,,7.237M,,7.237M,,16.50M,23.74M,164.84M,0.481M,95.35M,154.98M,150.62M,-0.277M,99.92M
2010-06,1.192M,0.025M,1.217M,89.50M,,89.50M,,7.47M,5.00M,3.288M,3.886M,110.36M,,,,,,,,35.70M,92.83M,35.03M,127.86M,2.094M,0.774M,,0.209M,166.64M,277.00M,2.929M,0.00,2.929M,16.97M,19.90M,14.65M,,14.65M,97.84M,97.84M,,132.38M,,,,7.137M,,7.137M,,,7.137M,139.52M,0.481M,88.62M,153.89M,105.20M,-0.312M,137.48M
2010-03,4.051M,0.00,4.051M,63.08M,,63.08M,,7.814M,5.00M,3.279M,1.493M,84.71M,,,,,,,,36.19M,92.83M,36.43M,129.26M,2.145M,1.109M,,0.235M,168.94M,253.66M,3.067M,1.384M,4.451M,17.37M,21.82M,,,,85.83M,85.83M,,107.65M,,,,7.059M,,7.059M,,,7.059M,114.71M,0.481M,82.38M,155.04M,98.65M,-0.296M,138.95M
2009-12,9.696M,0.05M,9.746M,81.24M,,81.24M,,7.921M,6.00M,,4.775M,109.69M,21.39M,3.349M,26.21M,6.796M,,57.75M,-22.00M,35.75M,90.26M,31.77M,122.03M,1.976M,1.018M,,0.21M,160.98M,270.67M,3.807M,0.22M,4.027M,26.11M,30.14M,,,,99.12M,99.12M,,129.25M,,,,7.059M,,7.059M,,,7.059M,136.31M,0.481M,77.50M,153.73M,96.96M,-0.405M,134.36M
2009-09,1.895M,0.00,1.895M,85.61M,,85.61M,,7.766M,6.00M,2.555M,1.767M,105.60M,,,,,,,,31.96M,90.26M,33.01M,123.27M,2.097M,0.483M,,0.224M,158.03M,263.63M,4.186M,0.00,4.186M,25.12M,29.31M,2.101M,,2.101M,99.67M,99.67M,,131.08M,,,,8.092M,,8.092M,,,8.092M,139.17M,0.481M,70.85M,153.00M,99.51M,-0.359M,124.46M
2009-06,3.424M,0.025M,3.449M,83.18M,,83.18M,,8.811M,6.00M,2.589M,2.113M,106.14M,,,,,,,,28.45M,89.83M,34.00M,123.83M,2.80M,0.311M,,0.227M,155.62M,261.77M,2.62M,0.00,2.62M,20.47M,23.09M,15.42M,,15.42M,92.44M,92.44M,,130.96M,,,,8.08M,,8.08M,,,8.08M,139.04M,0.481M,63.37M,152.41M,93.11M,-0.422M,122.73M
2009-03,2.311M,0.00,2.311M,65.60M,,65.60M,,8.597M,5.082M,2.586M,1.551M,85.72M,,,,,,,,27.87M,88.79M,34.35M,123.14M,3.733M,0.292M,,0.241M,155.28M,241.00M,3.444M,2.755M,6.199M,18.54M,24.74M,7.50M,,7.50M,87.04M,87.04M,,119.28M,,,,8.03M,,8.03M,,,8.03M,127.31M,0.481M,56.50M,151.60M,94.47M,-0.417M,113.69M
2008-12,1.762M,0.775M,2.537M,76.99M,,76.99M,,8.602M,5.082M,2.57M,1.444M,97.22M,19.55M,3.349M,16.25M,5.369M,,44.52M,-18.00M,26.52M,88.79M,35.02M,123.81M,3.779M,0.197M,,0.227M,154.54M,251.76M,2.617M,0.166M,2.783M,22.91M,25.70M,8.00M,,8.00M,95.77M,95.77M,,129.47M,,,,8.03M,,8.03M,,,8.03M,137.50M,0.481M,50.49M,151.24M,87.57M,-0.387M,114.26M
2008-09,23.78M,0.50M,24.28M,66.43M,,66.43M,,7.693M,5.082M,1.839M,1.771M,107.09M,,,,,,42.63M,-17.86M,24.77M,88.73M,37.68M,126.42M,,,,5.794M,156.98M,264.08M,2.59M,,2.59M,26.26M,28.86M,,,,91.03M,91.03M,,119.88M,,,,8.889M,,8.889M,,,8.889M,128.77M,0.481M,45.36M,150.56M,60.94M,-0.167M,135.30M
2008-06,33.01M,0.05M,33.06M,77.63M,2.005M,79.64M,,8.787M,5.082M,1.922M,3.594M,132.08M,,,,,,31.08M,-17.86M,13.22M,82.46M,34.22M,116.68M,,,,6.301M,136.20M,268.29M,2.765M,,2.765M,21.18M,23.95M,,,,92.97M,92.97M,,116.92M,,,,9.069M,,9.069M,,,9.069M,125.99M,0.481M,39.00M,161.36M,58.54M,,142.30M
2008-03,33.09M,2.125M,35.22M,59.27M,,59.27M,,8.611M,5.082M,1.922M,1.556M,111.66M,,,,,,27.89M,-17.86M,10.03M,82.45M,36.36M,118.81M,,,,6.954M,135.79M,247.45M,4.292M,,4.292M,16.29M,20.58M,,,,83.43M,83.43M,1.233M,105.24M,,,,9.415M,,9.415M,,,9.415M,114.66M,0.481M,38.76M,150.14M,56.59M,,132.79M
2007-12,9.642M,41.59M,51.23M,63.96M,,63.96M,,7.726M,4.462M,2.355M,1.324M,131.06M,0.00,0.179M,4.099M,23.41M,,27.68M,-17.86M,9.826M,71.68M,28.37M,100.04M,,,,0.573M,110.44M,241.51M,3.323M,,3.323M,18.90M,22.23M,,,,73.71M,73.71M,0.632M,96.57M,,,,7.723M,,7.723M,,,7.723M,104.30M,0.481M,35.63M,149.57M,48.47M,,137.21M
2007-09,15.82M,28.39M,44.21M,56.92M,,56.92M,,6.401M,4.462M,2.579M,2.487M,117.06M,,,,,,24.76M,-15.20M,9.556M,71.43M,30.93M,102.36M,,,,0.25M,112.17M,229.23M,3.759M,,3.759M,17.11M,20.87M,,,,66.66M,66.66M,,87.52M,,,,8.13M,,8.13M,,,8.13M,95.65M,0.481M,29.44M,148.64M,44.98M,-0.004M,133.58M
2007-06,8.925M,21.33M,30.25M,61.61M,,61.61M,,6.407M,4.462M,2.579M,2.047M,107.36M,,,,,,23.95M,-15.20M,8.747M,68.49M,31.90M,100.39M,,,,1.27M,110.40M,217.76M,3.639M,,3.639M,15.86M,19.50M,,,,64.87M,64.87M,0.715M,85.09M,,,,8.492M,,8.492M,,,8.492M,93.58M,0.481M,24.28M,149.62M,50.18M,-0.018M,124.18M
2007-03,15.11M,20.77M,35.88M,47.22M,,47.22M,,7.083M,4.462M,2.579M,2.36M,99.59M,,,,,,23.71M,-15.20M,8.506M,68.36M,33.75M,102.10M,,,,1.292M,111.90M,211.49M,3.121M,,3.121M,14.71M,17.84M,,,,57.40M,57.40M,1.078M,76.31M,,,,8.854M,,8.854M,,,8.854M,85.17M,0.481M,20.53M,149.40M,44.07M,-0.017M,126.32M
2006-12,17.21M,19.54M,36.76M,58.19M,,58.19M,,6.864M,4.962M,2.579M,2.326M,111.67M,0.00,0.115M,2.426M,20.05M,,22.59M,-15.20M,7.39M,66.13M,33.24M,99.37M,,,,1.841M,108.60M,220.28M,5.063M,,5.063M,17.74M,22.80M,,,,62.39M,62.39M,,85.18M,,,,9.216M,,9.216M,,,9.216M,94.40M,0.481M,18.13M,151.63M,44.35M,-0.01M,125.88M
2006-09,21.05M,12.02M,33.08M,44.63M,,44.63M,,5.937M,5.00M,2.128M,2.783M,93.56M,,,,,,20.42M,-13.19M,7.233M,65.89M,35.10M,100.98M,,,,1.678M,109.90M,203.45M,3.655M,,3.655M,16.52M,20.17M,,,,52.84M,52.84M,,73.02M,,,,9.659M,,9.659M,,,9.659M,82.68M,0.481M,13.95M,151.46M,45.12M,,120.78M
2006-06,11.97M,10.47M,22.44M,52.29M,,52.29M,,5.829M,5.00M,2.128M,1.741M,89.43M,,,,,,20.14M,-13.19M,6.948M,65.77M,36.08M,101.85M,,,,1.024M,109.82M,199.25M,3.687M,,3.687M,14.36M,18.05M,,,,55.72M,55.72M,,73.77M,,,,10.15M,,10.15M,,,10.15M,83.92M,0.481M,9.541M,151.51M,46.20M,,115.33M
2006-03,18.60M,10.27M,28.86M,38.75M,,38.75M,,5.776M,5.00M,2.128M,2.15M,82.67M,,,,,,19.38M,-13.19M,6.193M,,84.46M,84.46M,,,,19.85M,110.51M,193.18M,2.724M,,2.724M,13.70M,16.42M,,,,48.43M,48.43M,0.913M,65.76M,,,,10.80M,,10.80M,,,10.80M,76.56M,0.481M,5.781M,151.12M,40.77M,,116.62M
