,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2001-06,246.48M,250.08M,115.21M,134.86M,93.18M,11.01M,3.052M,-39.54M,,,31.08M,138.32M,-3.459M,,,-39.54M,,-20.77M,-10.56M,-10.22M,1.765M,-8.454M,13.51M,10.60M,14.06M,-3.459M,-0.12,0.02,,0.1548,-0.1,-0.12,0.02,,0.1548,-0.1,86.34M,86.34M
2001-03,221.46M,221.46M,111.66M,109.81M,93.81M,10.60M,3.192M,0.908M,,,,107.60M,2.209M,,,0.908M,,-2.194M,-0.812M,-1.382M,-12.26M,-53.58M,-1.954M,16.00M,13.79M,2.209M,-0.02,-0.6,-0.4614,-0.0266,-0.62,-0.02,-0.6,-0.4614,-0.0266,-0.62,86.55M,86.55M
2000-12,255.62M,255.62M,122.83M,132.78M,91.80M,7.515M,3.287M,3.044M,,,,102.60M,30.18M,,,3.044M,,28.09M,10.39M,17.70M,-13.80M,3.897M,15.78M,40.98M,10.80M,30.18M,0.21,-0.16,,0.1877,0.05,0.2,-0.16,,0.1779,0.04,86.05M,86.82M
2000-09,225.41M,223.65M,103.18M,120.47M,93.28M,7.996M,3.362M,12.11M,,,,102.88M,17.59M,,,12.11M,,25.53M,10.21M,15.32M,-9.673M,3.913M,8.050M,28.95M,11.36M,17.59M,0.16,-0.1,,0.0739,0.05,0.15,-0.1,,0.0903,0.05,84.39M,121.60M
2000-06,220.82M,220.82M,102.96M,117.86M,87.18M,7.259M,3.332M,5.78M,,,0.001M,97.77M,20.09M,,,5.78M,,19.78M,7.912M,11.87M,-9.488M,2.382M,8.402M,30.68M,9.844M,20.09M,0.14,-0.11,,0.0998,0.03,0.13,-0.11,,0.0909,0.03,86.29M,88.76M
2000-03,193.39M,193.39M,80.63M,112.76M,80.15M,,,1.618M,,,,90.89M,21.87M,,,1.618M,,17.77M,14.98M,2.788M,,2.788M,1.817M,32.61M,10.74M,21.87M,0.03,0.0,,0.0188,0.03,0.03,0.0,,0.0193,0.03,87.04M,90.51M
1999-12,222.90M,222.90M,97.40M,125.50M,79.50M,,,-6.00M,,,,88.40M,37.10M,,,-6.00M,,26.00M,9.50M,16.50M,,16.50M,20.31M,46.00M,8.90M,37.10M,0.19,0.0,,0.233,0.19,0.18,0.0,,0.222,0.18,88.54M,90.67M
1999-09,186.87M,186.87M,79.41M,107.46M,71.70M,,,-19.89M,,,,103.45M,4.002M,,,-19.89M,,8.147M,5.176M,2.971M,,2.971M,14.91M,12.34M,8.333M,4.002M,0.03,0.0,,0.1499,0.03,0.03,0.0,,0.1474,0.03,99.57M,101.63M
1999-06,185.66M,185.66M,74.40M,111.26M,63.50M,,,-1.50M,,,,71.60M,39.66M,,,-1.50M,,40.70M,14.30M,26.40M,,26.40M,27.37M,47.76M,8.10M,39.66M,0.25,0.0,,0.2593,0.25,0.25,0.0,,0.2591,0.25,104.23M,106.84M
1999-03,171.30M,171.30M,60.40M,110.90M,59.10M,,,-1.80M,,,,66.90M,44.00M,,,-1.80M,,42.20M,13.40M,28.80M,,28.80M,30.03M,51.80M,7.80M,44.00M,0.28,0.0,,0.2919,0.28,0.27,0.0,,0.2815,0.27,102.86M,106.67M
1998-12,190.40M,190.40M,79.40M,111.00M,57.90M,,,2.50M,,,,65.30M,45.70M,,,2.50M,,48.20M,18.10M,30.10M,,30.10M,28.54M,53.10M,7.40M,45.70M,0.3,0.0,,0.2844,0.3,0.29,0.0,,0.275,0.29,100.33M,103.79M
1998-09,168.80M,168.80M,66.50M,102.30M,60.80M,,,2.50M,,,,68.20M,34.10M,,,2.50M,,36.60M,17.00M,19.60M,,19.60M,18.10M,41.50M,7.40M,34.10M,0.19,0.0,,0.1754,0.19,0.18,0.0,,0.1661,0.18,102.67M,108.20M
1998-06,161.00M,161.00M,62.90M,98.10M,55.60M,,,2.20M,,,,62.70M,35.40M,,,2.20M,,37.70M,14.70M,23.00M,,23.00M,21.66M,42.50M,7.10M,35.40M,0.23,0.0,,0.2166,0.23,0.22,0.0,,0.2072,0.22,100.00M,104.55M
