,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,-19.59M,0.00,,0.00,68.06M,,68.06M,68.06M,-39.18M,,,,30.96M,,1.868M,56.77M,-53.85M,-133.08M,,,90.76M,-39.40M,,2.724M,-17.68M,,-17.68M,,,1.00M,-16.68M,-304.81M,-304.81M,,-28.39M,-28.39M,,4.124M,,-329.08M,567.06M,-343.04M,3.61M,227.63M,,0.00,-304.81M,-28.39M
2017-12,107.31M,0.00,,0.00,,,71.52M,71.52M,-117.96M,,,,11.01M,,1.826M,-353.43M,45.41M,78.67M,,,177.89M,-51.45M,,22.25M,-35.15M,,-35.15M,-0.01M,,,-35.16M,-64.81M,-64.81M,,-4.084M,-4.084M,,3.161M,0.00,-65.74M,648.18M,-78.64M,-2.475M,567.06M,,0.00,-64.81M,-4.084M
2017-09,-48.18M,0.00,,0.00,,,68.56M,68.56M,-21.45M,,,,14.36M,,3.761M,29.85M,-9.706M,137.88M,,,-25.52M,132.49M,,149.55M,-33.99M,,-33.99M,-37.59M,,,-71.58M,-79.81M,-79.81M,,-3.402M,-3.402M,,2.888M,-0.001M,-80.33M,632.57M,-2.362M,17.97M,648.18M,,140.00M,-219.81M,-3.402M
2017-06,-92.28M,,,,,,83.56M,83.56M,-66.01M,,,,31.00M,,9.007M,12.98M,-17.14M,79.29M,,,71.92M,147.05M,,112.32M,-30.93M,,-30.93M,-2.493B,,,-2.524B,1.810B,1.810B,,-11.81M,-11.81M,,2.64M,-32.40M,1.769B,1.271B,-642.99M,4.399M,632.57M,,1.93B,-119.81M,-11.81M
2017-03,36.43M,,,,,,16.53M,16.53M,-12.00M,,,,22.58M,,0.468M,-57.92M,-5.315M,-109.02M,,,78.64M,-93.61M,,-29.60M,-10.70M,,-10.70M,-111.16M,,,-121.86M,955.00M,955.00M,,-21.98M,-21.98M,,3.022M,-18.77M,917.27M,499.35M,765.80M,6.007M,1.271B,,955.00M,0.00,-21.98M
2016-12,66.48M,,,,,,15.96M,15.96M,10.77M,,,,10.53M,,0.471M,-94.90M,21.80M,103.61M,,,-48.86M,-18.35M,,83.37M,-12.99M,,-12.99M,-18.83M,,,-31.82M,-40.00M,-40.00M,,-6.072M,-6.072M,,2.319M,0.00,-43.75M,465.73M,7.797M,-13.31M,499.35M,,-32.50M,-7.50M,-6.072M
2016-09,30.48M,,,,,,15.75M,15.75M,-12.57M,,,,9.521M,,0.453M,46.62M,-44.07M,46.67M,,,27.62M,76.84M,,120.48M,-11.54M,,-11.54M,0.533M,,,-11.01M,-90.00M,-90.00M,,-0.922M,-0.922M,,2.229M,0.00,-88.69M,445.05M,20.78M,-0.099M,465.73M,,-82.50M,-7.50M,-0.922M
2016-06,51.63M,,,,,,15.24M,15.24M,1.346M,,,,11.11M,,1.747M,-1.291M,-7.538M,47.28M,,,28.93M,67.38M,,148.45M,-18.78M,,-18.78M,-29.10M,,,-47.87M,-55.00M,-55.00M,,-6.48M,-6.48M,,2.122M,-4.975M,-64.33M,403.94M,36.25M,4.864M,445.05M,,760.00M,-815.00M,-6.48M
2016-03,44.99M,,,,,,15.02M,15.02M,-2.191M,,,,15.50M,,0.411M,-19.09M,8.205M,-141.13M,,,91.62M,-60.39M,,13.33M,-6.56M,,-6.56M,-0.80M,,,-7.36M,65.00M,65.00M,,-45.49M,-45.49M,,2.58M,,22.09M,372.98M,28.06M,2.903M,403.94M,,70.00M,-5.00M,-45.49M
2015-12,65.76M,,,,,,15.21M,15.21M,6.068M,,,,9.169M,-2.638M,-0.88M,-101.52M,29.08M,110.10M,,,-51.10M,-13.44M,,79.25M,-10.06M,,-10.06M,-26.38M,,25.62M,-10.81M,-15.00M,-15.00M,,-56.05M,-56.05M,,1.916M,2.638M,-66.50M,371.24M,1.947M,-0.215M,372.98M,,-10.00M,-5.00M,-56.05M
2015-09,30.37M,,,,,,12.19M,12.19M,-8.022M,,,,9.588M,-0.105M,0.797M,43.46M,-25.15M,58.97M,,,-5.189M,72.09M,,116.90M,-12.45M,,-12.45M,-169.85M,,-25.62M,-207.93M,125.00M,125.00M,,-11.56M,-11.56M,,1.759M,0.105M,115.31M,357.58M,24.28M,-10.62M,371.24M,,130.00M,-5.00M,-11.56M
2015-06,51.16M,,,,,,9.606M,9.606M,5.656M,,,,10.66M,-3.561M,0.758M,3.951M,5.771M,35.07M,,,24.67M,69.46M,,143.74M,-11.98M,,-11.98M,0.00,,,-11.98M,50.00M,50.00M,,-117.40M,-117.40M,,1.748M,3.561M,-62.09M,281.65M,69.67M,6.261M,357.58M,,55.00M,-5.00M,-117.40M
2015-03,28.35M,,,,,,10.13M,10.13M,-3.358M,,,,16.73M,-7.556M,0.837M,9.631M,-22.96M,-121.62M,,,95.49M,-39.47M,,5.663M,-11.63M,,-11.63M,0.00,,,-11.63M,260.00M,260.00M,,-324.04M,-324.04M,,2.076M,7.556M,-54.41M,365.30M,-60.38M,-23.27M,281.65M,,265.00M,-5.00M,-324.04M
2014-12,59.14M,,,,,,10.52M,10.52M,0.54M,,,,9.42M,-0.918M,1.073M,-113.79M,20.81M,114.32M,,,-29.96M,-8.613M,,71.17M,-12.97M,,-12.97M,-16.76M,,14.36M,-15.37M,35.00M,35.00M,,-44.88M,-44.88M,,1.402M,-3.706M,-12.18M,341.22M,43.62M,-19.53M,365.30M,,225.62M,-190.62M,-44.88M
2014-09,33.85M,,,,,,10.45M,10.45M,-5.749M,,,,8.808M,-5.00M,0.472M,34.46M,-18.84M,40.00M,,,24.40M,80.02M,,122.85M,-6.365M,,-6.365M,0.00,,0.00,-6.365M,-5.00M,-5.00M,,-79.68M,-79.68M,,1.301M,5.00M,-78.38M,317.92M,38.11M,-14.81M,341.22M,,-1.25M,-3.75M,-79.68M
2014-06,53.04M,,,,,,9.70M,9.70M,-2.901M,,,,6.865M,-3.129M,0.519M,7.119M,-0.63M,46.82M,,,18.88M,72.19M,,136.29M,-9.966M,,-9.966M,-5.758M,,-0.863M,-16.59M,20.00M,20.00M,,-111.60M,-111.60M,,2.636M,3.129M,-85.83M,283.28M,33.87M,0.773M,317.92M,,23.75M,-3.75M,-111.60M
2014-03,37.74M,,,,,,8.738M,8.738M,7.351M,,,,13.75M,-11.15M,0.581M,-4.21M,-4.366M,-104.51M,,,72.55M,-40.54M,,16.47M,-9.185M,,-9.185M,-101.77M,,-13.50M,-124.46M,150.00M,150.00M,,-195.85M,-195.85M,,2.428M,11.15M,-32.28M,423.99M,-140.26M,-0.445M,283.28M,,151.88M,-1.875M,-195.85M
2013-12,61.42M,,,,,,8.978M,8.978M,11.67M,,,,7.686M,-6.98M,0.603M,-97.83M,19.65M,82.97M,,,-14.59M,-9.794M,,73.58M,-8.726M,,-8.726M,,,,-8.726M,0.00,0.00,,-24.48M,-24.48M,,1.503M,6.98M,-16.00M,374.52M,48.86M,0.612M,423.99M,,1.875M,-1.875M,-24.48M
2013-09,38.19M,,,,,,8.609M,8.609M,6.736M,,,,7.475M,-1.298M,0.635M,42.66M,-16.90M,17.63M,,,-1.986M,41.40M,,101.75M,-8.137M,,-8.137M,0.00,,,-8.137M,0.00,0.00,,-59.25M,-59.25M,,1.184M,1.298M,-56.77M,333.36M,36.85M,4.311M,374.52M,,1.875M,-1.875M,-59.25M
2013-06,46.51M,,,,,,8.421M,8.421M,0.125M,,,,7.232M,-3.895M,0.614M,9.22M,0.529M,26.89M,,,24.97M,61.61M,,120.62M,-9.987M,,-9.987M,0.00,,,-9.987M,0.00,0.00,,-49.47M,-49.47M,,1.40M,3.895M,-44.18M,269.06M,66.46M,-2.158M,333.36M,,1.875M,-1.875M,-49.47M
2013-03,36.68M,,,,,,8.434M,8.434M,-1.872M,,,,12.34M,-13.22M,0.858M,17.85M,-4.467M,-85.57M,,,48.66M,-23.52M,,19.69M,-9.648M,,-9.648M,0.00,,,-9.648M,0.00,0.00,,-48.53M,-48.53M,,1.955M,9.666M,-36.91M,299.85M,-26.86M,-3.928M,269.06M,,200.00M,-200.00M,-48.53M
2012-12,58.82M,,,,,,8.364M,8.364M,4.241M,,,,8.357M,-0.938M,0.496M,-92.77M,8.199M,74.72M,,,1.575M,-8.281M,,71.06M,-13.54M,,-13.54M,0.00,,,-13.54M,5.00M,5.00M,,-22.00M,-22.00M,,1.87M,0.938M,-14.20M,255.39M,43.33M,1.132M,299.85M,,12.50M,-7.50M,-22.00M
2012-09,31.38M,,,,,,7.663M,7.663M,0.133M,,,,9.219M,-3.638M,0.504M,23.50M,-11.37M,30.21M,,,21.70M,64.04M,,109.30M,-10.16M,,-10.16M,-0.827M,,,-10.98M,-0.088M,-0.088M,,-4.625M,-4.625M,,1.809M,3.638M,0.734M,150.53M,99.05M,5.812M,255.39M,,7.412M,-7.50M,-4.625M
2012-06,41.48M,,,,,,7.11M,7.11M,-1.737M,,,,7.863M,-2.944M,0.499M,-9.035M,-1.332M,20.60M,,,18.26M,28.50M,,80.77M,-13.52M,,-13.52M,-9.509M,,,-23.03M,-40.20M,-40.20M,,-7.518M,-7.518M,,3.227M,2.944M,-41.55M,138.98M,16.19M,-4.642M,150.53M,,-32.70M,-7.50M,-7.518M
2012-03,34.22M,,,,,,6.634M,6.634M,-1.664M,,,,10.94M,-13.78M,0.509M,39.70M,-6.105M,-88.11M,,,36.35M,-18.18M,,18.68M,-7.118M,,-7.118M,,,,-7.118M,40.29M,40.29M,,-77.16M,-77.16M,,5.524M,13.78M,-17.56M,142.74M,-5.995M,2.241M,138.98M,,47.79M,-7.50M,-77.16M
2011-12,,,,,,,7.133M,7.133M,-4.777M,-1.733M,,,8.115M,-3.114M,-89.59M,-74.91M,9.781M,89.49M,-11.35M,,13.16M,26.16M,,79.10M,-18.23M,,-18.23M,0.00,,,-18.23M,-10.00M,-10.00M,-17.77M,-70.77M,-88.54M,,,3.114M,-75.42M,156.90M,-14.55M,0.387M,142.74M,-17.77M,-5.00M,-5.00M,-70.77M
2011-09,,,,,,,7.377M,7.377M,5.207M,0.551M,,,7.757M,-0.518M,30.46M,4.108M,-4.143M,16.57M,3.793M,,41.39M,61.71M,,112.55M,-14.26M,,-14.26M,0.00,,,-14.26M,-10.00M,-10.00M,1.424M,-53.36M,-51.93M,,,0.518M,-61.41M,125.34M,36.88M,-5.317M,156.90M,1.424M,-5.00M,-5.00M,-53.36M
2011-06,,,,,,,8.756M,8.756M,9.591M,0.587M,,,7.831M,-1.327M,32.22M,-13.83M,7.069M,22.55M,4.496M,,10.63M,30.92M,,88.58M,-5.755M,,-5.755M,0.00,,,-5.755M,-35.17M,-35.17M,2.289M,-35.96M,-33.67M,,,1.327M,-67.51M,109.00M,15.31M,1.031M,125.34M,2.289M,-30.01M,-5.156M,-35.96M
2011-03,,,,,,,8.798M,8.798M,-10.99M,0.595M,,,9.162M,-20.61M,29.19M,25.74M,-9.167M,-84.51M,3.065M,,24.06M,-40.81M,,-24.66M,-3.705M,,-3.705M,,,,-3.705M,35.01M,35.01M,14.06M,-51.90M,-37.84M,,,20.61M,17.79M,120.18M,-10.58M,-0.596M,109.00M,14.06M,40.01M,-5.00M,-51.90M
2010-12,96.28M,,,,,,8.662M,8.662M,4.09M,-0.785M,,,9.336M,-5.789M,37.96M,-63.32M,2.836M,76.00M,-15.68M,,-23.49M,-23.67M,,79.12M,-9.483M,,12.21M,12.15M,,,-9.483M,-84.63M,-84.63M,-19.38M,-23.34M,-42.72M,,,-207.66M,-98.04M,148.41M,-28.39M,0.163M,120.18M,-19.38M,173.00M,-257.63M,-23.34M
2010-09,,,,,,,8.725M,8.725M,-5.992M,0.254M,,,7.264M,-4.754M,20.08M,-6.211M,-8.362M,21.16M,2.188M,,30.44M,39.21M,,64.78M,-4.518M,,-4.518M,0.00,,,-4.518M,-57.00M,-57.00M,8.383M,-1.372M,7.011M,,,4.754M,-45.24M,122.36M,15.03M,11.02M,148.41M,8.383M,-36.00M,-21.00M,-1.372M
2010-06,-19.40M,,,,,,8.977M,8.977M,0.166M,0.259M,,,6.875M,-2.633M,35.27M,12.56M,7.67M,39.09M,7.631M,,-31.15M,35.80M,,69.56M,-4.281M,,-4.281M,-0.455M,,,-4.736M,-10.00M,-10.00M,4.283M,-39.93M,-35.65M,,,2.633M,-43.02M,105.91M,21.81M,-5.355M,122.36M,4.283M,11.00M,-21.00M,-39.93M
2010-03,19.40M,,,,,,9.51M,9.51M,-0.873M,0.272M,,,9.159M,-5.188M,4.243M,8.799M,-2.52M,-76.60M,5.866M,,24.21M,-40.25M,,-7.966M,-3.412M,,-3.412M,-11.70M,,,-15.11M,38.00M,38.00M,6.714M,-35.17M,-28.46M,,,5.188M,14.73M,116.57M,-8.344M,-2.317M,105.91M,6.714M,52.00M,-14.00M,-35.17M
2009-12,25.72M,,,,,,6.627M,6.627M,4.552M,-1.161M,,,6.589M,-0.707M,-17.47M,-52.90M,16.59M,43.43M,-26.36M,13.94M,6.496M,1.201M,,44.30M,-4.017M,,-4.017M,-104.52M,,,-108.54M,64.00M,64.00M,3.811M,-0.011M,3.80M,,,0.707M,68.51M,112.78M,4.264M,-0.468M,116.57M,3.811M,,-14.00M,-0.011M
2009-09,20.07M,,,,,,6.779M,6.779M,-0.229M,0.447M,,,6.326M,-1.269M,5.504M,9.036M,-4.787M,9.733M,0.656M,9.914M,-1.567M,22.98M,,55.11M,-2.679M,,-2.679M,0.00,,,-2.679M,-51.50M,-51.50M,6.664M,-0.074M,6.59M,,,1.269M,-43.64M,96.96M,8.786M,7.028M,112.78M,6.664M,,-51.50M,-0.074M
2009-06,17.18M,,,,,,6.743M,6.743M,-0.45M,0.353M,,,6.359M,-0.409M,6.303M,11.53M,0.661M,7.90M,3.761M,1.002M,-6.925M,17.93M,,47.71M,-3.91M,,-3.91M,0.00,,,-3.91M,-21.50M,-21.50M,3.46M,-1.509M,1.951M,,,0.409M,-19.14M,70.26M,24.66M,2.044M,96.96M,3.46M,,-21.50M,-1.509M
2009-03,20.00M,,,,,,6.874M,6.874M,1.13M,0.361M,,,6.792M,-0.007M,7.146M,57.69M,0.592M,-66.56M,5.196M,-19.76M,2.528M,-20.32M,,14.83M,-4.536M,,-4.536M,0.00,,,-4.536M,-78.25M,-78.25M,0.887M,-2.15M,-1.263M,,,0.007M,-79.51M,140.93M,-69.22M,-1.451M,70.26M,0.887M,,-78.25M,-2.15M
2008-12,33.65M,,,0.00,-20.22M,-0.872M,6.408M,6.408M,6.484M,,,,,,-2.205M,-24.17M,13.54M,33.71M,-10.31M,-19.84M,3.799M,-3.268M,,46.93M,-6.022M,,-6.022M,0.00,,,-6.022M,,-9.051M,1.608M,-24.51M,-22.90M,,,0.744M,-31.21M,145.17M,9.70M,-13.94M,140.93M,1.608M,,,-24.51M
2008-09,18.78M,,,-7.061M,6.827M,0.424M,7.251M,7.251M,-4.137M,,,,,,-3.983M,1.212M,-10.96M,17.71M,3.747M,16.64M,9.659M,38.00M,6.723M,55.58M,-5.306M,,-5.306M,7.847M,,-7.847M,-5.306M,,-45.25M,24.51M,-23.34M,1.17M,,,9.243M,-34.84M,136.90M,15.43M,-7.158M,145.17M,24.51M,,,-23.34M
2008-06,29.90M,,,,6.465M,0.264M,6.729M,6.729M,0.746M,,,,,,1.854M,15.37M,4.579M,37.43M,2.833M,-24.52M,-7.522M,28.17M,0.228M,67.63M,-5.464M,,-5.464M,,,7.847M,-5.692M,,48.75M,13.22M,-87.70M,-74.48M,,,3.768M,-21.96M,95.94M,39.97M,0.99M,136.90M,13.22M,,,-87.70M
2008-03,21.54M,,,,6.923M,0.184M,7.107M,7.107M,-0.476M,,,,,,5.556M,28.58M,-7.183M,-60.67M,2.329M,27.42M,-3.029M,-12.56M,-6.951M,14.22M,-7.51M,,-7.51M,,,,0.565M,,27.00M,5.368M,-65.27M,-59.90M,,,1.076M,-31.83M,109.94M,-17.04M,3.034M,95.94M,5.368M,,,-65.27M
2007-12,38.82M,,,,-19.64M,-1.156M,5.597M,5.597M,10.33M,,,,,,6.68M,-34.52M,16.36M,31.41M,-14.41M,12.76M,-7.177M,4.413M,,65.84M,-5.587M,,-5.587M,,,0.024M,-5.563M,,26.91M,2.347M,-101.10M,-98.75M,,,-0.21M,-72.05M,117.71M,-11.77M,4.01M,109.94M,2.347M,,,-101.10M
2007-09,12.49M,,,,6.764M,0.242M,7.006M,7.006M,-3.242M,,,,,,4.484M,-4.376M,5.743M,-7.325M,5.458M,17.13M,1.429M,18.06M,,38.80M,-6.155M,,-6.155M,,,0.003M,-6.152M,,7.00M,4.589M,-36.04M,-31.45M,,,1.333M,-23.11M,102.84M,9.537M,5.333M,117.71M,4.589M,,,-36.04M
2007-06,14.05M,,,,6.608M,0.221M,6.829M,6.829M,0.768M,,,,,,-2.35M,8.501M,-7.081M,44.70M,-1.381M,-16.04M,-4.073M,24.62M,,43.92M,-7.653M,,-7.653M,,,0.009M,-7.644M,,-45.00M,15.54M,-6.689M,8.849M,,,10.19M,-25.96M,91.09M,10.31M,1.433M,102.84M,15.54M,,,-6.689M
2007-03,8.192M,,,,6.264M,0.693M,6.957M,6.957M,-1.117M,,,,,,2.031M,19.51M,-15.87M,-35.54M,5.071M,13.01M,-2.467M,-16.28M,,-0.222M,-4.777M,,-4.777M,,,,-4.777M,,35.00M,11.98M,-23.00M,-11.02M,,,3.445M,27.43M,67.80M,22.43M,0.864M,91.09M,11.98M,,,-23.00M
2006-12,22.57M,,,-0.003M,6.316M,1.021M,7.337M,7.337M,10.67M,,,,,,1.481M,-40.40M,3.502M,31.36M,-15.23M,11.86M,-1.60M,-10.51M,,31.54M,-7.961M,,-7.961M,,,-0.384M,-8.345M,,150.00M,13.72M,-217.19M,-203.47M,,,3.394M,-50.08M,92.91M,-26.88M,1.772M,67.80M,13.72M,,,-217.19M
2006-09,9.608M,,,0.00,9.324M,0.203M,9.527M,9.527M,-1.537M,,,,,,2.676M,3.69M,-7.651M,4.486M,0.182M,20.15M,0.613M,21.47M,,41.74M,-4.91M,,-4.91M,,,-0.359M,-5.269M,,-10.00M,10.94M,-16.48M,-5.546M,,,2.067M,-13.48M,69.07M,23.00M,0.851M,92.91M,10.94M,,,-16.48M
2006-06,18.24M,,,-0.439M,9.514M,0.202M,9.716M,9.716M,-2.302M,,,,,,3.344M,-3.592M,5.299M,14.56M,4.97M,-21.98M,-0.946M,-1.689M,,26.87M,-4.722M,,-4.722M,,,0.03M,-4.692M,,-13.33M,10.18M,-19.84M,-9.662M,,,2.253M,-20.74M,65.64M,1.44M,1.987M,69.07M,10.18M,,,-19.84M
2006-03,7.77M,,,0.667M,9.043M,0.201M,9.244M,9.244M,,,,,,,,36.42M,-5.712M,-73.29M,7.308M,23.55M,0.146M,-11.58M,,6.105M,-3.52M,,-3.52M,,,0.025M,-3.495M,,-3.333M,11.89M,-17.18M,-5.29M,,,1.40M,-7.223M,70.28M,-4.613M,-0.029M,65.64M,11.89M,,,-17.18M
2005-12,14.81M,,,4.36M,10.16M,0.196M,10.36M,10.36M,-0.013M,,,,,,,-77.16M,6.81M,50.61M,-18.20M,7.945M,,-29.99M,,-0.478M,-11.10M,,-11.10M,0.00,0.759M,0.026M,-10.32M,,-3.333M,16.73M,-11.03M,5.701M,,,0.00,2.368M,80.46M,-8.429M,-1.748M,70.28M,16.73M,,,-11.03M
2005-09,-1.721M,,,5.614M,25.56M,1.228M,10.89M,10.89M,-0.194M,,,,,,,-2.104M,-8.133M,-4.881M,2.063M,12.09M,,-0.963M,,13.63M,-3.979M,,-3.979M,-1.572M,1.30M,0.728M,-3.523M,,-0.075M,4.702M,-4.532M,0.17M,,,0.00,0.095M,70.48M,10.20M,-0.222M,80.46M,4.702M,,,-4.532M
2005-06,-0.819M,,,1.84M,-6.107M,-0.222M,9.571M,9.571M,-5.142M,,,,,,,23.27M,2.563M,10.31M,5.438M,-46.88M,-0.768M,-6.064M,,-0.614M,-3.21M,,-3.21M,-157.25M,,0.036M,-160.42M,,69.12M,5.92M,,5.92M,,,-1.082M,73.96M,158.72M,-87.08M,-1.158M,70.48M,5.92M,,,
2005-03,-14.71M,,,5.509M,6.107M,0.222M,6.329M,6.329M,-0.295M,,,,,,,20.25M,-3.676M,-31.29M,0.959M,30.74M,0.768M,17.75M,,14.58M,-4.063M,,-4.063M,-2.501M,,-0.15M,-6.714M,,-10.00M,3.604M,,3.604M,,,,-6.396M,160.13M,1.475M,-2.88M,158.72M,3.604M,,,
2004-12,5.237M,,,-7.043M,-21.96M,-0.744M,5.633M,5.633M,-9.022M,,,,,,,-35.64M,5.427M,33.65M,-5.228M,8.91M,,7.122M,,1.927M,-6.068M,,-6.068M,,,,-9.938M,,-12.82M,11.44M,346.15M,357.59M,,,-343.33M,1.442M,156.64M,-6.569M,10.05M,160.13M,11.44M,,,346.15M
2004-09,0.16M,,,6.281M,21.96M,0.744M,6.797M,6.797M,0.001M,,,,,,,-0.789M,-6.738M,-1.474M,-2.884M,3.613M,,-8.272M,,4.967M,-9.839M,,-9.839M,,,,-9.839M,,200.00M,18.62M,-346.15M,-327.53M,,,-2.821M,-130.35M,291.00M,-135.22M,0.866M,156.64M,18.62M,,,-346.15M
2004-06,11.03M,,,3.88M,,,7.034M,7.034M,-0.134M,,,,,,,19.75M,1.313M,-6.024M,-0.232M,-20.00M,,-5.196M,,16.61M,-6.192M,,-6.192M,,,,-6.192M,,,21.58M,-2.113M,19.47M,,,,19.47M,262.74M,29.89M,-1.634M,291.00M,21.58M,,,-2.113M
