,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,AsOriginallyReported,Restated
2013-05,2.994B,,2.994B,2.418B,,2.418B,6.881B,278.00M,12.57B,,,,,12.08B,,12.08B,,12.08B,2.40B,1.339B,3.739B,6.205B,837.00M,414.00M,23.27B,35.84B,,2013-05,4.53B,74.00M,7.825B,1.847B,,,18.00M,1.865B,,1.865B,,9.69B,4.501B,,4.501B,577.00M,577.00M,,,,2.093B,7.171B,16.86B,,21.17B,1.029B,3.162B,-121.00M,18.98B,AOR,Restated
2013-02,2.431B,,2.431B,2.481B,,2.481B,7.253B,267.00M,12.43B,,,,,12.05B,,12.05B,,12.05B,2.387B,1.359B,3.746B,6.181B,884.00M,273.00M,23.13B,35.56B,,2013-02,4.388B,109.00M,7.726B,1.291B,,,8.00M,1.299B,,1.299B,,9.025B,5.058B,,5.058B,517.00M,517.00M,,,,1.991B,7.566B,16.59B,,20.80B,979.00M,2.912B,35.00M,18.97B,AOR,Restated
2012-11,1.829B,,1.829B,2.264B,,2.264B,7.821B,248.00M,12.16B,,,,,,,,,12.11B,2.404B,1.341B,3.745B,6.112B,876.00M,254.00M,23.10B,35.26B,,2012-11,4.821B,155.00M,8.004B,,,,,1.316B,,1.316B,,9.32B,5.069B,,5.069B,559.00M,559.00M,,,,1.932B,7.56B,16.88B,,20.31B,930.00M,2.969B,45.00M,18.38B,AOR,Restated
2012-08,1.297B,,1.297B,2.167B,,2.167B,7.036B,260.00M,10.76B,0.00,3.517B,6.335B,7.159B,,149.00M,17.16B,-5.122B,12.04B,2.161B,1.286B,3.447B,6.14B,866.00M,211.00M,22.70B,33.46B,,2012-08,4.384B,454.00M,6.044B,1.305B,,,14.00M,1.319B,,1.319B,1.359B,8.722B,4.073B,,4.073B,545.00M,545.00M,755.00M,332.00M,,799.00M,6.504B,15.23B,,20.16B,936.00M,2.985B,68.00M,18.24B,AOR,Restated
2012-05,1.995B,,1.995B,2.294B,,2.294B,7.004B,277.00M,11.57B,,,,,,,,,11.79B,2.168B,1.288B,3.456B,,,383.00M,15.63B,27.20B,,2012-05,4.433B,204.00M,7.488B,,,,,13.00M,,13.00M,,7.501B,2.387B,,2.387B,368.00M,368.00M,,,,1.903B,4.658B,12.16B,,20.06B,881.00M,5.968B,15.00M,15.04B,AOR,Restated
2012-02,1.084B,,1.084B,2.509B,,2.509B,7.347B,270.00M,11.21B,,,,,,,,,11.70B,2.078B,1.253B,3.331B,,,376.00M,15.41B,26.62B,,2012-02,4.203B,266.00M,7.242B,,,,,12.00M,,12.00M,,7.254B,2.381B,,2.381B,295.00M,295.00M,,,,1.876B,4.552B,11.81B,,19.72B,837.00M,5.826B,15.00M,14.82B,AOR,Restated
2011-11,1.094B,,1.094B,2.586B,,2.586B,8.231B,196.00M,12.11B,,,,,,,,,11.70B,2.017B,1.211B,3.228B,,,395.00M,15.32B,27.43B,,2011-11,4.778B,349.00M,8.218B,,,,,11.00M,,11.00M,,8.229B,2.39B,,2.39B,284.00M,284.00M,,,,1.852B,4.526B,12.76B,,19.23B,834.00M,5.467B,15.00M,14.67B,AOR,Restated
2011-08,1.556B,,1.556B,2.497B,,2.497B,8.044B,225.00M,12.32B,118.00M,3.545B,5.854B,6.317B,,,15.83B,-4.308B,11.53B,2.017B,1.212B,3.229B,0.00,0.00,377.00M,15.13B,27.45B,,2011-08,4.81B,185.00M,8.07B,,,,,13.00M,,13.00M,,8.083B,2.396B,,2.396B,343.00M,343.00M,,,,1.785B,4.524B,12.61B,,18.88B,834.00M,4.926B,16.00M,14.85B,AOR,Restated
2011-05,2.652B,0.00,2.652B,2.598B,,2.598B,7.552B,203.00M,13.00B,,,,,,,,,11.13B,1.898B,1.103B,3.001B,,,180.00M,14.31B,27.32B,,2011-05,5.015B,83.00M,7.907B,,,,,11.00M,,11.00M,,7.918B,2.384B,,2.384B,419.00M,419.00M,,,,1.872B,4.675B,12.59B,,18.29B,741.00M,4.319B,-22.00M,14.72B,AOR,Restated
2011-02,2.243B,0.00,2.243B,2.497B,,2.497B,7.607B,190.00M,12.54B,,,,,,,,,11.15B,1.898B,1.121B,3.019B,,,174.00M,14.34B,26.88B,,2011-02,4.89B,149.00M,7.531B,,,,,13.00M,,13.00M,,7.544B,2.38B,,2.38B,423.00M,423.00M,,,,1.85B,4.653B,12.20B,,17.84B,725.00M,3.888B,-22.00M,14.68B,AOR,Restated
