,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-09,7.833B,7.833B,3.275B,4.558B,,1.046B,1.135B,68.00M,,-6.00M,,,,2.249B,2.309B,,,,-69.00M,,2.275B,618.00M,1.657B,1.657B,1.661B,3.57B,1.261B,2.309B,,0.25,0.00,0.2507,0.25,,0.25,0.00,0.2507,0.25,,6.517B,6.625B,0.02,,,
2003-06,6.816B,6.816B,3.348B,3.468B,,1.079B,1.029B,84.00M,,4.00M,,,,2.192B,1.276B,,,,-54.00M,,1.271B,375.00M,896.00M,896.00M,893.18M,2.551B,1.275B,1.276B,,0.14,0.00,0.1396,0.14,,0.14,0.00,0.1396,0.14,,6.525B,6.58B,0.02,,,
2003-03,6.751B,6.751B,3.239B,3.512B,,1.018B,1.019B,84.00M,,-2.00M,,,,2.121B,1.391B,,,,-129.00M,,1.316B,401.00M,915.00M,915.00M,916.39M,2.655B,1.264B,1.391B,,0.14,0.00,0.1402,0.14,,0.14,0.00,0.1402,0.14,,6.556B,6.61B,0.02,,,
2002-12,7.16B,7.16B,3.464B,3.696B,,1.104B,1.022B,106.00M,,2.00M,,,,2.232B,1.464B,,,,-169.00M,,1.347B,298.00M,1.049B,1.049B,1.047B,2.85B,1.386B,1.464B,,0.16,0.00,0.1598,0.16,,0.16,0.00,0.1598,0.16,,6.597B,6.66B,0.02,,,
2002-09,6.504B,6.504B,3.331B,3.173B,,1.095B,1.006B,102.00M,,-8.00M,,,,2.203B,970.00M,,,,-104.00M,,917.00M,231.00M,686.00M,686.00M,691.98M,2.238B,1.268B,970.00M,,0.10,0.00,0.1009,0.10,,0.10,0.00,0.1009,0.10,,6.646B,6.712B,0.02,,,
2002-06,6.319B,6.319B,3.35B,2.969B,,1.063B,1.024B,229.00M,,-27.00M,,,,2.316B,653.00M,,,,-86.00M,,623.00M,177.00M,446.00M,446.00M,465.33M,2.047B,1.394B,653.00M,,0.07,0.00,0.0729,0.07,,0.07,0.00,0.0728,0.07,,6.677B,6.803B,0.02,,,
2002-03,6.781B,6.781B,3.301B,3.48B,,1.072B,982.00M,111.00M,,-7.00M,,,,2.165B,1.315B,,,,-53.00M,,1.317B,381.00M,936.00M,936.00M,940.97M,2.611B,1.296B,1.315B,,0.14,0.00,0.1407,0.14,,0.14,0.00,0.1407,0.14,,6.684B,6.861B,0.02,,,
2001-12,6.983B,6.983B,3.402B,3.581B,,1.071B,952.00M,550.00M,,-473.00M,,,,2.573B,1.008B,,,,-294.00M,,794.00M,290.00M,504.00M,504.00M,804.24M,2.74B,1.732B,1.008B,,0.07,0.00,0.1128,0.07,,0.07,0.00,0.1128,0.07,,7.016B,7.016B,0.02,,,
2001-09,6.545B,6.545B,3.553B,2.992B,,1.064B,930.00M,609.00M,,-180.00M,,,,2.603B,389.00M,,,,-362.00M,,137.00M,31.00M,106.00M,106.00M,245.27M,2.052B,1.663B,389.00M,,0.02,0.00,0.0407,0.02,,0.02,0.00,0.0403,0.02,,6.718B,6.876B,0.02,,,
2001-06,6.334B,6.334B,3.307B,3.027B,,1.174B,919.00M,594.00M,,-144.00M,,,,2.687B,340.00M,,,,-141.00M,,346.00M,150.00M,196.00M,196.00M,282.40M,1.984B,1.644B,340.00M,,0.03,0.00,0.0428,0.03,,0.03,0.00,0.0425,0.03,,6.725B,6.889B,0.02,,,
2001-03,6.677B,6.677B,3.225B,3.452B,,1.155B,995.00M,585.00M,,-32.00M,,,,2.735B,717.00M,,,,-32.00M,,906.00M,421.00M,485.00M,485.00M,504.20M,2.236B,1.519B,717.00M,,0.07,0.00,0.0729,0.07,,0.07,0.00,0.0728,0.07,,6.721B,6.899B,0.02,,,
2000-12,8.702B,8.702B,3.23B,5.472B,,1.421B,998.00M,459.00M,,-3.217B,,,,2.878B,2.594B,,,,542.00M,,3.375B,1.182B,2.193B,2.193B,4.283B,3.839B,1.245B,2.594B,,0.33,0.00,0.6407,0.33,,0.32,0.00,0.6213,0.32,,6.729B,6.938B,0.02,,,
2000-09,8.731B,8.731B,3.148B,5.583B,,1.321B,977.00M,420.00M,,696.00M,,,,2.718B,2.865B,,,,696.00M,,3.823B,1.314B,2.509B,2.509B,2.052B,4.087B,1.222B,2.865B,,0.37,0.00,0.3020,0.37,,0.36,0.00,0.2948,0.36,,6.719B,7.007B,0.02,,,
2000-06,8.30B,8.30B,3.283B,5.017B,,1.223B,971.00M,394.00M,,2.131B,,,,2.588B,2.429B,,,,2.131B,,4.749B,1.612B,3.137B,3.137B,1.729B,3.587B,1.158B,2.429B,,0.47,0.00,0.2602,0.47,,0.45,0.00,0.2490,0.45,,6.71B,7.005B,0.015,,,
2000-03,7.993B,7.993B,2.989B,5.004B,,1.124B,951.00M,313.00M,,384.00M,,,,2.388B,2.616B,,,,384.00M,,3.194B,498.00M,2.696B,2.696B,2.372B,3.826B,1.21B,2.616B,,0.40,0.00,0.3515,0.40,,0.39,0.00,0.3437,0.39,,6.682B,6.994B,0.015,,,
1999-12,8.212B,8.212B,3.176B,5.036B,,1.105B,877.00M,241.00M,,295.00M,,,,2.223B,2.813B,,,,295.00M,,3.262B,1.154B,2.108B,2.108B,1.917B,3.902B,1.089B,2.813B,,0.31,0.00,0.2814,0.31,,0.30,0.00,0.2726,0.30,,6.675B,6.97B,0.015,,,
1999-09,7.328B,7.328B,3.026B,4.302B,,952.00M,840.00M,121.00M,,-161.00M,,,,1.913B,2.389B,,,,-161.00M,,2.372B,914.00M,1.458B,1.458B,1.557B,3.314B,925.00M,2.389B,,0.22,0.00,0.2349,0.22,,0.21,0.00,0.2243,0.21,,6.65B,6.943B,0.015,,,
1999-06,6.746B,6.746B,2.74B,4.006B,,924.00M,731.00M,31.00M,,,,,,1.686B,2.32B,,,,,,2.61B,861.00M,1.749B,1.749B,1.749B,3.111B,791.00M,2.32B,,0.26,0.00,0.26,0.26,,0.26,0.00,0.26,0.26,,6.62B,6.892B,0.015,,,
1999-03,7.103B,7.103B,2.894B,4.209B,,891.00M,663.00M,18.00M,,,,,,1.572B,2.637B,,,,,,2.984B,985.00M,1.999B,1.999B,1.999B,3.429B,792.00M,2.637B,,0.30,0.00,0.30,0.30,,0.29,0.00,0.29,0.29,,6.648B,6.956B,0.01,,,
1998-12,7.614B,7.614B,3.16B,4.454B,,928.00M,674.00M,16.00M,,185.00M,,,,1.618B,2.836B,,,,185.00M,,3.08B,1.016B,2.064B,2.064B,1.940B,3.661B,825.00M,2.836B,,0.31,0.00,0.2914,0.31,,0.295,0.00,0.2772,0.295,,6.654B,6.956B,0.01,,,
1998-09,6.731B,6.731B,3.176B,3.555B,,766.00M,617.00M,16.00M,,,,,,1.399B,2.156B,,,,,,2.326B,767.00M,1.559B,1.559B,1.559B,2.89B,734.00M,2.156B,,0.24,0.00,0.24,0.24,,0.23,0.00,0.23,0.23,,6.71B,7.01B,0.0075,,,
1998-06,5.927B,5.927B,3.027B,2.90B,,671.00M,623.00M,,,,,,,1.294B,1.606B,,,,,,1.75B,578.00M,1.172B,1.172B,1.172B,2.28B,674.00M,1.606B,,0.18,0.00,0.18,0.18,,0.17,0.00,0.17,0.17,,6.764B,7.074B,0.0075,,,
1998-03,6.001B,6.001B,2.749B,3.252B,,711.00M,595.00M,,,-165.00M,,,,1.306B,1.946B,,,,-165.00M,,1.981B,708.00M,1.273B,1.273B,1.379B,2.576B,630.00M,1.946B,,0.20,0.00,0.2162,0.20,,0.18,0.00,0.1949,0.18,,6.562B,7.098B,0.0075,,,
1997-12,6.507B,6.507B,2.691B,3.816B,,818.00M,605.00M,,,,,,,1.423B,2.393B,,,,,,2.594B,851.00M,1.743B,1.743B,1.743B,2.976B,583.00M,2.393B,,0.27,0.00,0.27,0.27,,0.24,0.00,0.24,0.24,,6.536B,7.144B,0.0075,,,
1997-09,6.155B,6.155B,2.604B,3.551B,,676.00M,586.00M,,,,,,,1.262B,2.289B,,,,,,2.44B,866.00M,1.574B,1.574B,1.574B,2.848B,559.00M,2.289B,,0.24,0.00,0.24,0.24,,0.22,0.00,0.22,0.22,,6.54B,7.188B,0.0075,,,
1997-06,5.96B,5.96B,2.343B,3.617B,,704.00M,575.00M,,,,,,,1.279B,2.338B,,,,,,2.55B,905.00M,1.645B,1.645B,1.645B,2.867B,529.00M,2.338B,,0.26,0.00,0.26,0.26,,0.23,0.00,0.23,0.23,,6.54B,7.188B,0.0063,,,
1997-03,6.448B,6.448B,2.307B,4.141B,,693.00M,581.00M,,,,,,,1.274B,2.867B,,,,,,3.075B,1.092B,1.983B,1.983B,1.983B,3.388B,521.00M,2.867B,,0.31,0.00,0.31,0.31,,0.28,0.00,0.28,0.28,,6.552B,7.20B,0.0063,,,
1996-12,6.44B,6.44B,2.392B,4.048B,,722.00M,520.00M,,,,,,,1.242B,2.806B,,,,,,2.939B,1.029B,1.91B,1.91B,1.91B,3.325B,519.00M,2.806B,,0.33,0.00,0.33,0.33,,0.27,0.00,0.27,0.27,,5.092B,7.18B,0.0063,,,
1996-09,5.142B,5.142B,2.201B,2.941B,,565.00M,449.00M,,,,,,,1.014B,1.927B,,,,,,2.018B,706.00M,1.312B,1.312B,1.312B,2.423B,496.00M,1.927B,,0.19,0.00,0.19,0.19,,0.19,0.00,0.19,0.19,,7.08B,7.08B,0.0063,,,
1996-06,4.621B,4.621B,2.15B,2.471B,,518.00M,438.00M,,,,,,,956.00M,1.515B,,,,,,1.601B,560.00M,1.041B,1.041B,1.041B,1.977B,462.00M,1.515B,,0.16,0.00,0.16,0.16,,0.15,0.00,0.15,0.15,,7.104B,7.104B,0.005,,,
1996-03,4.644B,4.644B,2.421B,2.223B,,517.00M,401.00M,,,76.00M,,,,918.00M,1.305B,,,,76.00M,,1.376B,482.00M,894.00M,894.00M,844.62M,1.716B,411.00M,1.305B,,0.14,0.00,0.1330,0.14,,0.13,0.00,0.1230,0.13,,7.04B,7.04B,0.005,,,
1995-12,4.58B,4.58B,2.389B,2.191B,,569.00M,352.00M,,,,,,,921.00M,1.27B,,,,,,1.34B,473.00M,867.00M,867.00M,867.00M,1.655B,385.00M,1.27B,,0.15,0.00,0.15,0.15,,0.12,0.00,0.12,0.12,,5.208B,7.096B,0.005,,,
1995-09,4.171B,4.171B,2.008B,2.163B,,440.00M,334.00M,,,101.00M,,,,774.00M,1.389B,,,,101.00M,,1.483B,552.00M,931.00M,931.00M,867.59M,1.752B,363.00M,1.389B,,0.14,0.00,0.1311,0.14,,0.14,0.00,0.1311,0.14,,7.112B,7.112B,0.005,,,
1995-06,3.894B,3.894B,1.805B,2.089B,,447.00M,316.00M,,,83.00M,,,,763.00M,1.326B,,,,83.00M,,1.399B,520.00M,879.00M,879.00M,826.85M,1.647B,321.00M,1.326B,,0.13,0.00,0.1227,0.13,,0.13,0.00,0.1227,0.13,,7.104B,7.104B,0.0038,,,
1995-03,3.557B,3.557B,1.609B,1.948B,,387.00M,294.00M,,,156.00M,,,,681.00M,1.267B,,,,156.00M,,1.416B,527.00M,889.00M,889.00M,791.06M,1.577B,310.00M,1.267B,,0.13,0.00,0.1160,0.13,,0.13,0.00,0.1160,0.13,,6.976B,6.976B,0.0038,,,
1994-12,3.228B,3.228B,2.023B,1.205B,,402.00M,285.00M,,,,,,,687.00M,518.00M,,,,,,585.00M,213.00M,372.00M,372.00M,372.00M,803.00M,285.00M,518.00M,,0.07,0.00,0.07,0.07,,0.05,0.00,0.05,0.05,,6.944B,6.944B,0.0038,,,
1994-09,2.863B,2.863B,1.273B,1.59B,,338.00M,282.00M,,,84.00M,,,,620.00M,970.00M,,,,84.00M,,1.038B,379.00M,659.00M,659.00M,605.67M,1.25B,280.00M,970.00M,,0.10,0.00,0.0923,0.10,,0.10,0.00,0.0923,0.10,,6.944B,6.944B,0.0038,,,
1994-06,2.77B,2.77B,1.156B,1.614B,,363.00M,279.00M,,,46.00M,,,,642.00M,972.00M,,,,46.00M,,1.009B,369.00M,640.00M,640.00M,610.82M,1.216B,244.00M,972.00M,,0.10,0.00,0.0958,0.10,,0.10,0.00,0.0958,0.10,,6.992B,6.992B,0.0032,,,
1994-03,2.66B,2.66B,1.124B,1.536B,,344.00M,265.00M,,,55.00M,,,,609.00M,927.00M,,,,55.00M,,971.00M,354.00M,617.00M,617.00M,582.05M,1.165B,238.00M,927.00M,,0.09,0.00,0.0851,0.09,,0.09,0.00,0.0851,0.09,,7.072B,7.072B,0.0032,,,
1993-12,2.389B,2.389B,712.00M,1.677B,,595.00M,,,,74.00M,,,,818.00M,859.00M,,,,74.00M,,914.00M,320.00M,594.00M,594.00M,545.91M,1.082B,223.00M,859.00M,,0.10,0.00,0.0932,0.10,,0.08,0.00,0.0732,0.08,,7.056B,7.056B,0.0032,,,
1993-09,2.24B,2.24B,657.00M,1.583B,,537.00M,,,,42.00M,,,,714.00M,869.00M,,,,42.00M,,899.00M,315.00M,584.00M,584.00M,556.72M,1.046B,169.00M,869.00M,,0.09,0.00,0.0861,0.09,,0.09,0.00,0.0861,0.09,,7.04B,7.04B,0.0032,,,
1993-06,2.13B,2.13B,600.00M,1.53B,,520.00M,,,,36.00M,,,,685.00M,845.00M,,,,36.00M,,874.00M,305.00M,569.00M,569.00M,545.56M,1.018B,173.00M,845.00M,,0.09,0.00,0.0867,0.09,,0.09,0.00,0.0867,0.09,,7.024B,7.024B,0.0032,,,
1993-03,2.024B,2.024B,566.00M,1.458B,,487.00M,,,,37.00M,,,,639.00M,819.00M,,,,37.00M,,843.00M,295.00M,548.00M,548.00M,523.95M,971.00M,152.00M,819.00M,,0.08,0.00,0.0766,0.08,,0.08,0.00,0.0766,0.08,,7.088B,7.088B,0.0031,,,
1992-12,1.857B,1.857B,583.80M,1.273B,,521.50M,,,,32.20M,,,,662.90M,610.10M,,,,32.20M,,631.00M,202.00M,429.00M,429.00M,407.11M,751.50M,141.40M,610.10M,,0.06,0.00,0.0574,0.06,,0.06,0.00,0.0574,0.06,,8.316B,8.316B,0.0031,,,
1992-09,1.426B,1.426B,507.90M,918.30M,,457.40M,,,,37.70M,,,,590.30M,328.00M,,,,37.70M,,353.80M,113.00M,240.80M,240.80M,215.14M,460.90M,132.90M,328.00M,,0.04,0.00,0.0357,0.04,,0.04,0.00,0.0357,0.04,,6.02B,6.02B,,,,
1992-06,1.320B,1.320B,486.20M,833.50M,,426.60M,,,,38.90M,,,,550.90M,282.60M,,,,38.90M,,306.20M,93.00M,213.20M,213.20M,186.11M,406.90M,124.30M,282.60M,,0.04,0.00,0.0349,0.04,,0.04,0.00,0.0349,0.04,,5.33B,5.33B,,,,
1992-03,1.241B,1.241B,462.10M,779.20M,,391.50M,,,,24.20M,,,,510.90M,268.30M,,,,24.20M,,278.10M,94.00M,184.10M,184.10M,168.08M,387.70M,119.40M,268.30M,,0.03,0.00,0.0274,0.03,,0.03,0.00,0.0274,0.03,,6.137B,6.137B,,,,
1991-12,1.205B,1.205B,467.20M,738.20M,,376.20M,,,,39.70M,,,,488.40M,249.80M,,,,39.70M,,270.70M,82.00M,188.70M,188.70M,161.03M,362.00M,112.20M,249.80M,,0.03,0.00,0.0256,0.03,,0.03,0.00,0.0256,0.03,,6.291B,6.291B,,,,
1991-09,1.188B,1.188B,491.00M,696.70M,,353.90M,,,,52.10M,,,,458.70M,238.00M,,,,52.10M,,275.70M,74.00M,201.70M,201.70M,163.58M,342.80M,104.80M,238.00M,,0.03,0.00,0.0243,0.03,,0.03,0.00,0.0243,0.03,,6.723B,6.723B,,,,
1991-06,1.253B,1.253B,484.60M,768.10M,,339.80M,,,,50.00M,,,,445.20M,322.90M,,,,50.00M,,349.80M,119.00M,230.80M,230.80M,197.81M,428.40M,105.50M,322.90M,,0.04,0.00,0.0343,0.04,,0.04,0.00,0.0343,0.04,,5.77B,5.77B,,,,
1991-03,1.133B,1.133B,454.60M,678.20M,,313.20M,,,,54.70M,,,,409.00M,269.20M,,,,54.70M,,298.40M,101.00M,197.40M,197.40M,161.21M,365.00M,95.80M,269.20M,,0.03,0.00,0.0245,0.03,,0.03,0.00,0.0245,0.03,,6.58B,6.58B,,,,
1990-12,1.046B,1.046B,450.30M,595.80M,,304.60M,,,,58.90M,,,,390.00M,205.80M,,,,58.90M,,238.40M,74.50M,163.90M,163.90M,123.41M,291.20M,85.40M,205.80M,,0.03,0.00,0.0225,0.03,,0.02,0.00,0.0148,0.02,,5.407B,7.772B,,,,
1990-09,1.012B,1.012B,417.40M,595.00M,,293.50M,,,,55.90M,,,,362.50M,232.50M,,,,55.90M,,263.90M,92.00M,171.90M,171.90M,135.49M,310.50M,78.00M,232.50M,,0.03,0.00,0.0236,0.03,,0.03,0.00,0.0236,0.03,,5.73B,5.73B,,,,
1990-06,968.30M,968.30M,404.50M,563.80M,,281.90M,,,,69.80M,,,,346.40M,217.40M,,,,69.80M,,262.20M,91.50M,170.70M,170.70M,125.26M,281.90M,63.60M,217.40M,,0.03,0.00,0.0220,0.03,,0.03,0.00,0.0220,0.03,,5.69B,5.69B,,,,
1990-03,894.50M,894.50M,373.80M,520.70M,,252.70M,,,,42.70M,,,,318.10M,202.60M,,,,42.70M,,221.80M,78.00M,143.80M,143.80M,116.12M,268.00M,65.40M,202.60M,,0.03,0.00,0.0242,0.03,,0.03,0.00,0.0242,0.03,,4.793B,4.793B,,,,
1989-12,894.90M,894.90M,424.90M,470.00M,,238.40M,,,,40.50M,,,,302.30M,167.70M,,,,40.50M,,182.70M,60.00M,122.70M,122.70M,95.50M,231.60M,63.90M,167.70M,,0.02,0.00,0.0156,0.02,,0.02,0.00,0.0156,0.02,,6.245B,6.245B,,,,
1989-09,771.40M,771.40M,374.00M,397.40M,,209.20M,,,,4.30M,,,,270.10M,127.30M,,,,4.30M,,107.50M,35.50M,72.00M,72.00M,69.12M,188.20M,60.90M,127.30M,,0.02,0.00,0.0194,0.02,,0.02,0.00,0.0194,0.02,,4.908B,4.908B,,,,
1989-06,747.30M,747.30M,352.30M,395.00M,,206.40M,,,,40.60M,,,,262.60M,132.40M,,,,40.60M,,148.00M,48.70M,99.30M,99.30M,72.06M,188.60M,56.20M,132.40M,,0.02,0.00,0.0145,0.02,,0.02,0.00,0.0145,0.02,,4.965B,4.965B,,,,
1989-03,713.10M,713.10M,,,,,,,,,,,,,713.10M,,,,,,,,97.00M,97.00M,,713.10M,,713.10M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,5.777B,5.777B,,,,
1988-12,727.40M,727.40M,,,,,,,,,,,,,-1.553B,,,,,,,,85.80M,85.80M,,-1.553B,,-1.553B,,,,,,,,,,,,5.777B,5.777B,,,,
1988-09,784.90M,784.90M,,,,,,,,,,,,,784.90M,,,,,,,,142.70M,142.70M,,784.90M,,784.90M,,0.03,0.00,0.03,0.03,,0.03,0.00,0.03,0.03,,5.671B,5.671B,,,,
1988-06,726.70M,726.70M,,,,,,,,,,,,,726.70M,,,,,,,,130.70M,130.70M,,726.70M,,726.70M,,0.03,0.00,0.03,0.03,,0.03,0.00,0.03,0.03,,5.387B,5.387B,,,,
1988-03,635.80M,635.80M,,,,,,,,,,,,,635.80M,,,,,,,,93.70M,93.70M,,635.80M,,635.80M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,5.387B,5.387B,,,,
1987-12,572.50M,572.50M,,,,,,,,,,,,,-1.089B,,,,,,,,72.00M,72.00M,,-1.089B,,-1.089B,,,,,,,,,,,,5.387B,5.387B,,,,
1987-09,501.10M,501.10M,,,,,,,,,,,,,501.10M,,,,,,,,52.00M,52.00M,,501.10M,,501.10M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,5.223B,5.223B,,,,
1987-06,439.00M,439.00M,,,,,,,,,,,,,439.00M,,,,,,,,31.50M,31.50M,,439.00M,,439.00M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,5.223B,5.223B,,,,
1987-03,394.50M,394.50M,,,,,,,,,,,,,394.50M,,,,,,,,20.00M,20.00M,,394.50M,,394.50M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,5.650B,5.650B,,,,
1986-12,355.60M,355.60M,,,,,,,,,,,,,-1.045B,,,,,,,,-26.60M,-26.60M,,-1.045B,,-1.045B,,,,,,,,,,,,5.650B,5.650B,,,,
1986-09,324.10M,324.10M,,,,,,,,,,,,,324.10M,,,,,,,,-114.20M,-114.20M,,324.10M,,324.10M,,-0.03,0.00,-0.03,-0.03,,-0.03,0.00,-0.03,-0.03,,5.569B,5.569B,,,,
1986-06,305.20M,305.20M,,,,,,,,,,,,,305.20M,,,,,,,,-22.90M,-22.90M,,305.20M,,305.20M,,-0.01,0.00,-0.01,-0.01,,-0.01,0.00,-0.01,-0.01,,5.569B,5.569B,,,,
1986-03,280.10M,280.10M,,,,,,,,,,,,,280.10M,,,,,,,,-29.80M,-29.80M,,280.10M,,280.10M,,-0.01,0.00,-0.01,-0.01,,-0.01,0.00,-0.01,-0.01,,5.569B,5.569B,,,,
1985-12,318.00M,318.00M,,,,,,,,,,,,,-1.107B,,,,,,,,-14.90M,-14.90M,,-1.107B,,-1.107B,,,,,,,,,,,,5.569B,5.569B,,,,
1985-09,311.70M,311.70M,,,,,,,,,,,,,311.70M,,,,,,,,-3.60M,-3.60M,,311.70M,,311.70M,,-0.01,0.00,-0.01,-0.01,,-0.01,0.00,-0.01,-0.01,,5.501B,5.501B,,,,
1985-06,360.00M,360.00M,,,,,,,,,,,,,360.00M,,,,,,,,9.20M,9.20M,,360.00M,,360.00M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,5.461B,5.461B,,,,
1985-03,375.20M,375.20M,,,,,,,,,,,,,375.20M,,,,,,,,10.80M,10.80M,,375.20M,,375.20M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,5.461B,5.461B,,,,
1984-12,416.10M,416.10M,,,,,,,,,,,,,-962.80M,,,,,,,,23.20M,23.20M,,-962.80M,,-962.80M,,,,,,,,,,,,5.359B,5.359B,,,,
1984-09,431.60M,431.60M,,,,,,,,,,,,,431.60M,,,,,,,,70.00M,70.00M,,431.60M,,431.60M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,5.411B,5.411B,,,,
1984-06,410.10M,410.10M,,,,,,,,,,,,,410.10M,,,,,,,,54.70M,54.70M,,410.10M,,410.10M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,5.394B,5.394B,,,,
1984-03,371.60M,371.60M,,,,,,,,,,,,,371.60M,,,,,,,,50.30M,50.30M,,371.60M,,371.60M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,5.359B,5.359B,,,,
