,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2015-06,1.908B,1.908B,1.303B,605.00M,68.00M,68.00M,33.00M,,,,,82.00M,,-82.00M,101.00M,202.00M,403.00M,,82.00M,-82.00M,-23.00M,-82.00M,298.00M,152.00M,139.00M,9.00M,,-76.00M,,72.00M,63.00M,656.00M,276.00M,380.00M,0.13,0.01,,0.13,0.14,0.13,0.01,,0.13,0.14,505.00M,506.00M,0.025
2015-03,1.972B,1.972B,1.316B,656.00M,58.00M,58.00M,28.00M,,,,,85.00M,,-85.00M,73.00M,159.00M,497.00M,,85.00M,-85.00M,11.00M,-85.00M,423.00M,193.00M,221.00M,8.00M,,-46.00M,,183.00M,175.00M,797.00M,289.00M,508.00M,0.35,0.02,,0.35,0.37,0.35,0.02,,0.35,0.37,499.00M,500.00M,0.025
2014-12,1.544B,1.544B,757.00M,787.00M,99.00M,99.00M,39.00M,,-1.00M,1.00M,,54.00M,,-54.00M,48.00M,186.00M,601.00M,,54.00M,-54.00M,14.00M,-54.00M,561.00M,226.00M,329.00M,-268.00M,,-46.00M,,15.00M,275.80M,781.00M,166.00M,615.00M,0.08,-0.05,,0.0656,0.03,0.08,-0.05,,0.0656,0.03,499.00M,499.00M,0.025
2014-09,1.746B,1.746B,1.503B,243.00M,45.00M,45.00M,36.00M,,8.00M,14.00M,,89.00M,,-89.00M,103.00M,184.00M,59.00M,,89.00M,-89.00M,55.00M,-89.00M,25.00M,-47.00M,72.00M,3.00M,,138.00M,,213.00M,187.90M,432.00M,318.00M,114.00M,0.42,0.01,,0.3757,0.43,0.42,0.01,,0.3758,0.43,499.00M,500.00M,0.025
2014-06,1.765B,1.765B,1.366B,399.00M,48.00M,48.00M,42.00M,,13.00M,-17.00M,,94.00M,,-94.00M,107.00M,197.00M,202.00M,,94.00M,-94.00M,-16.00M,-94.00M,92.00M,-53.00M,147.00M,-2.00M,,35.00M,,180.00M,199.55M,492.00M,306.00M,186.00M,0.37,-0.01,,0.4052,0.36,0.37,-0.01,,0.4052,0.36,499.00M,499.00M,0.025
2014-03,1.764B,1.764B,1.381B,383.00M,45.00M,45.00M,42.00M,,1.00M,38.00M,,93.00M,,-93.00M,99.00M,186.00M,197.00M,,93.00M,-93.00M,39.00M,-93.00M,143.00M,78.00M,65.00M,-17.00M,,52.00M,,100.00M,98.80M,534.00M,298.00M,236.00M,0.23,-0.03,,0.1935,0.2,0.23,-0.03,,0.1935,0.2,498.00M,499.00M,0.15
2013-12,2.188B,2.188B,1.863B,325.00M,45.00M,45.00M,57.00M,,53.00M,-1.90B,,92.00M,,-102.00M,127.00M,229.00M,96.00M,,92.00M,-102.00M,-2.084B,-102.00M,-2.09B,-809.00M,-1.28B,8.00M,,85.00M,,-1.187B,130.74M,-1.617B,381.00M,-1.998B,-2.34,0.01,,0.3062,-2.33,-2.34,0.01,,0.3062,-2.33,501.00M,501.00M,0.2
2013-09,2.02B,2.02B,1.377B,643.00M,48.00M,48.00M,67.00M,,41.00M,-63.00M,,76.00M,4.00M,-72.00M,143.00M,258.00M,385.00M,4.00M,76.00M,-72.00M,262.00M,-72.00M,575.00M,161.00M,415.00M,-21.00M,,4.00M,,398.00M,249.08M,950.00M,299.00M,651.00M,0.84,-0.04,,0.4988,0.8,0.84,-0.04,,0.4988,0.8,498.00M,498.00M,0.25
2013-06,2.018B,2.018B,2.097B,-79.00M,54.00M,54.00M,46.00M,,7.00M,-2.289B,,70.00M,2.00M,-68.00M,143.00M,243.00M,-322.00M,2.00M,70.00M,-68.00M,-2.241B,-68.00M,-2.631B,-287.00M,-2.347B,74.00M,,214.00M,,-2.059B,-136.46M,-2.146B,415.00M,-2.561B,-4.29,0.15,,-0.2728,-4.14,-4.29,0.15,,-0.2728,-4.14,497.00M,497.00M,0.35
2013-03,2.188B,2.188B,1.324B,864.00M,56.00M,56.00M,52.00M,,4.00M,-58.00M,,65.00M,4.00M,-61.00M,122.00M,230.00M,634.00M,4.00M,65.00M,-61.00M,-33.00M,-61.00M,540.00M,180.00M,356.00M,0.00,,-42.00M,,314.00M,346.16M,872.00M,267.00M,605.00M,0.63,0.0,,0.6947,0.63,0.63,0.0,,0.6946,0.63,497.00M,498.00M,0.425
2012-12,2.572B,2.572B,1.508B,1.064B,50.00M,50.00M,90.00M,,8.00M,11.00M,,59.00M,3.00M,-56.00M,96.00M,251.00M,813.00M,3.00M,59.00M,-56.00M,47.00M,-56.00M,804.00M,130.00M,662.00M,28.00M,,-24.00M,,666.00M,617.04M,1.144B,281.00M,863.00M,1.29,0.06,,1.248,1.35,1.28,0.06,,1.238,1.34,496.00M,496.00M,0.35
2012-09,2.48B,2.48B,1.36B,1.12B,51.00M,51.00M,74.00M,,7.00M,-53.00M,,67.00M,2.00M,-65.00M,172.00M,324.00M,796.00M,2.00M,67.00M,-65.00M,-14.00M,-65.00M,717.00M,228.00M,480.00M,-33.00M,,-80.00M,,367.00M,429.24M,1.056B,272.00M,784.00M,0.81,-0.07,,0.869,0.74,0.81,-0.07,,0.8686,0.74,496.00M,499.00M,0.35
2012-06,2.229B,2.229B,1.25B,979.00M,57.00M,57.00M,82.00M,,8.00M,-8.00M,,71.00M,2.00M,-69.00M,165.00M,356.00M,623.00M,2.00M,71.00M,-69.00M,3.00M,-69.00M,557.00M,175.00M,371.00M,0.00,,-92.00M,,279.00M,270.16M,876.00M,248.00M,628.00M,0.56,0.0,,0.5422,0.56,0.56,0.0,,0.5422,0.56,496.00M,498.00M,0.35
2012-03,2.683B,2.683B,1.248B,1.435B,54.00M,54.00M,102.00M,,24.00M,-14.00M,,52.00M,5.00M,-47.00M,139.00M,345.00M,1.09B,5.00M,52.00M,-47.00M,-7.00M,-47.00M,1.036B,343.00M,674.00M,-71.00M,,-113.00M,,490.00M,573.06M,1.319B,231.00M,1.088B,1.13,-0.14,,1.1540000000000001,0.99,1.11,-0.14,,1.1340000000000001,0.97,495.00M,504.00M,0.35
2011-12,2.765B,2.765B,2.061B,704.00M,-65.00M,-65.00M,80.00M,,,-2.167B,,51.00M,3.00M,-48.00M,305.00M,-418.00M,1.122B,3.00M,51.00M,-48.00M,-2.119B,-48.00M,-1.046B,-150.00M,-897.00M,0.00,,-131.00M,,-1.028B,825.67M,-735.00M,260.00M,-995.00M,-2.08,0.0,,1.672,-2.08,-2.08,0.0,,1.555,-2.08,494.00M,510.00M,0.35
