,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2016-12,392.00M,,392.00M,2.644B,,2.644B,374.00M,3.522B,,1.481B,8.039B,13.84B,6.186B,121.93B,-39.41B,82.52B,19.42B,,19.42B,7.13B,,,2.769B,124.72B,132.76B,2.994B,384.00M,3.378B,503.00M,3.881B,411.00M,,4.806B,4.806B,4.806B,2.453B,11.55B,10.20B,45.58B,,45.58B,14.65B,14.65B,,1.111B,8.00M,,1.753B,80.17B,91.72B,1.00M,2.384B,38.74B,,,,-93.00M,41.03B
2016-09,6.179B,,6.179B,2.722B,,2.722B,,3.351B,,1.282B,13.53B,117.03B,,117.03B,-38.81B,78.22B,16.35B,,16.35B,6.716B,,,2.97B,116.15B,129.69B,2.138B,636.00M,2.774B,504.00M,3.278B,539.00M,,6.212B,6.212B,6.212B,2.047B,12.08B,10.29B,43.96B,,43.96B,13.69B,13.69B,,1.03B,57.00M,,1.851B,77.06B,89.14B,1.00M,3.212B,38.00B,,,,-721.00M,40.49B
2016-06,676.00M,,676.00M,2.518B,,2.518B,,3.627B,,1.276B,8.097B,115.74B,,115.74B,-38.41B,77.33B,16.36B,,16.36B,6.579B,,,3.002B,114.56B,122.65B,2.221B,467.00M,2.688B,448.00M,3.136B,,,4.654B,4.654B,4.654B,2.116B,9.906B,10.23B,39.93B,,39.93B,13.53B,13.53B,,1.044B,53.00M,,1.73B,72.80B,82.71B,1.00M,2.627B,37.98B,,,,-717.00M,39.90B
2016-03,778.00M,,778.00M,2.323B,,2.323B,,3.721B,,1.121B,7.943B,114.59B,,114.59B,-38.15B,76.43B,16.35B,,16.35B,6.427B,,,3.075B,113.77B,121.71B,2.086B,394.00M,2.48B,481.00M,2.961B,,,5.561B,5.561B,5.561B,2.369B,10.89B,10.27B,38.23B,,38.23B,13.32B,13.32B,,1.077B,49.00M,,1.703B,70.88B,81.77B,1.00M,2.688B,37.97B,,,,-766.00M,39.89B
2015-12,383.00M,,383.00M,2.263B,,2.263B,298.00M,3.746B,,1.184B,8.322B,12.77B,4.485B,110.52B,-36.74B,73.78B,16.07B,,16.07B,6.324B,,,5.286B,112.83B,121.16B,2.35B,289.00M,2.639B,412.00M,3.051B,,,5.659B,5.659B,5.659B,2.69B,11.40B,10.25B,36.84B,,36.84B,13.02B,13.02B,,1.088B,44.00M,,1.631B,69.98B,81.38B,1.00M,2.564B,37.97B,,,,-806.00M,39.73B
2015-09,1.37B,,1.37B,2.759B,,2.759B,,3.537B,,2.529B,10.20B,111.26B,,111.26B,-37.48B,73.78B,16.31B,,16.31B,6.067B,,,3.393B,110.84B,121.03B,2.078B,628.00M,2.706B,483.00M,3.189B,,,4.955B,4.955B,4.955B,2.372B,10.52B,9.713B,37.67B,,37.67B,14.42B,14.42B,,1.13B,36.00M,,1.595B,70.65B,81.16B,1.00M,2.656B,37.95B,,,,-778.00M,39.83B
2015-06,960.00M,,960.00M,2.696B,,2.696B,,3.469B,,2.473B,9.598B,107.58B,,107.58B,-35.83B,71.76B,16.33B,,16.33B,5.904B,,,3.422B,108.98B,118.58B,1.92B,550.00M,2.47B,419.00M,2.889B,,,4.536B,4.536B,4.536B,2.221B,9.646B,9.49B,36.80B,,36.80B,14.08B,14.08B,,1.152B,37.00M,,1.588B,69.31B,78.96B,1.00M,2.294B,37.93B,,,,-648.00M,39.58B
2015-03,2.821B,,2.821B,2.766B,,2.766B,,3.413B,,2.968B,12.32B,105.70B,,105.70B,-35.40B,70.30B,16.33B,,16.33B,5.919B,,,5.992B,109.82B,122.14B,1.92B,508.00M,2.428B,490.00M,2.918B,,,6.59B,6.59B,6.59B,2.395B,11.90B,8.541B,37.17B,,37.17B,14.34B,14.34B,,1.17B,36.00M,,1.667B,69.15B,81.06B,1.00M,2.309B,39.41B,,,,-672.00M,41.05B
2014-12,2.036B,,2.036B,2.764B,,2.764B,360.00M,3.459B,,2.952B,11.58B,13.54B,4.519B,104.87B,-34.82B,70.05B,16.32B,,16.32B,5.904B,,,5.669B,108.98B,120.56B,2.271B,569.00M,2.84B,418.00M,3.258B,,,5.321B,5.321B,5.321B,2.654B,11.23B,8.466B,37.06B,,37.06B,13.85B,13.85B,,1.145B,24.00M,,1.675B,68.42B,79.66B,1.00M,2.012B,39.40B,,,,-543.00M,40.88B
2014-09,1.931B,0.00,1.931B,2.923B,,2.923B,,3.20B,,3.186B,11.58B,104.14B,,104.14B,-34.54B,69.60B,16.33B,,16.33B,5.724B,,,6.179B,108.08B,119.66B,1.801B,704.00M,2.505B,476.00M,2.981B,,,2.943B,2.943B,2.943B,2.327B,8.251B,8.499B,38.70B,,38.70B,13.42B,13.42B,,1.231B,41.00M,,1.823B,69.95B,78.20B,1.00M,2.479B,39.39B,,,,-456.00M,41.41B
2014-06,2.008B,0.00,2.008B,2.995B,,2.995B,,3.056B,,3.047B,11.52B,100.88B,,100.88B,-33.98B,66.91B,16.34B,,16.34B,5.798B,,,5.60B,103.66B,115.17B,1.782B,522.00M,2.304B,453.00M,2.757B,,,3.754B,3.754B,3.754B,2.197B,8.708B,5.03B,38.71B,,38.71B,12.45B,12.45B,,1.263B,78.00M,,1.723B,65.58B,74.29B,1.00M,1.768B,39.39B,,,,-355.00M,40.80B
2014-03,1.531B,6.00M,1.537B,2.796B,,2.796B,,2.908B,,2.809B,10.56B,99.87B,,99.87B,-33.52B,66.36B,16.34B,,16.34B,5.617B,,,5.775B,103.23B,113.79B,1.892B,423.00M,2.315B,478.00M,2.793B,,,2.622B,2.622B,2.622B,2.077B,7.492B,4.994B,39.00B,,39.00B,12.29B,12.29B,,1.27B,80.00M,,1.761B,65.51B,73.00B,1.00M,1.713B,39.37B,,,,-377.00M,40.71B
2013-12,1.501B,44.00M,1.545B,3.005B,,3.005B,,3.25B,,2.716B,10.52B,12.84B,3.595B,103.12B,-33.62B,69.49B,16.34B,,16.34B,5.522B,,,3.72B,104.26B,114.78B,2.391B,551.00M,2.942B,440.00M,3.382B,,,2.943B,2.943B,2.943B,2.319B,8.644B,4.95B,38.15B,,38.15B,12.54B,12.54B,,1.322B,78.00M,,1.749B,64.73B,73.37B,1.00M,2.363B,39.36B,,,,-399.00M,41.33B
2013-09,2.166B,118.00M,2.284B,2.843B,,2.843B,,3.10B,,2.191B,10.42B,102.42B,,102.42B,-33.14B,69.28B,16.34B,351.00M,16.70B,5.316B,65.00M,,2.591B,104.17B,114.59B,1.819B,706.00M,2.525B,474.00M,2.999B,,,3.91B,3.91B,3.91B,2.33B,9.239B,5.341B,37.40B,,37.40B,11.94B,11.94B,,1.743B,72.00M,,1.789B,64.11B,73.35B,1.00M,2.227B,39.32B,,,,-380.00M,41.16B
2013-06,1.571B,280.00M,1.851B,2.828B,,2.828B,,3.13B,,2.066B,9.875B,101.39B,,101.39B,-32.51B,68.88B,16.34B,350.00M,16.70B,5.075B,68.00M,,2.646B,104.22B,114.10B,1.936B,553.00M,2.489B,451.00M,2.94B,,,4.049B,4.049B,4.049B,3.026B,10.02B,5.284B,37.36B,,37.36B,11.28B,11.28B,,2.373B,69.00M,,2.106B,63.88B,73.90B,1.00M,1.223B,39.28B,,,,-376.00M,40.13B
2013-03,1.296B,288.00M,1.584B,2.807B,,2.807B,,3.096B,,2.062B,9.549B,101.31B,,101.31B,-32.50B,68.81B,16.37B,356.00M,16.73B,5.014B,69.00M,,2.716B,104.12B,113.67B,1.985B,425.00M,2.41B,478.00M,2.888B,,,5.009B,5.009B,5.009B,2.068B,9.965B,5.229B,36.34B,,36.34B,10.97B,10.97B,,2.38B,77.00M,,2.196B,62.67B,72.64B,1.00M,1.978B,39.26B,,,,-289.00M,40.95B
2012-12,1.424B,333.00M,1.757B,2.717B,,2.717B,345.00M,3.223B,,2.425B,10.12B,12.61B,6.655B,100.53B,-31.97B,68.56B,16.36B,,16.36B,4.725B,,,3.082B,103.73B,113.86B,2.444B,459.00M,2.903B,448.00M,3.351B,,,4.167B,4.167B,4.167B,2.511B,10.03B,5.169B,36.35B,,36.35B,10.95B,10.95B,,2.52B,78.00M,,2.221B,62.79B,72.82B,94.00M,1.889B,39.28B,93.00M,,,-306.00M,40.96B
2012-09,1.761B,335.00M,2.096B,,,2.846B,,3.041B,,2.123B,10.11B,,,101.35B,-32.32B,69.03B,16.18B,359.00M,16.54B,4.697B,74.00M,,11.56B,101.90B,112.01B,1.912B,601.00M,2.513B,474.00M,2.987B,,875.00M,2.488B,3.363B,3.363B,2.206B,8.556B,4.846B,36.11B,,36.11B,10.78B,10.78B,2.542B,,90.00M,93.00M,8.088B,62.46B,71.01B,1.00M,1.995B,39.25B,,,,-340.00M,40.90B
2012-06,1.526B,234.00M,1.76B,610.00M,1.233B,1.843B,,1.762B,,1.122B,6.487B,,,62.89B,-19.10B,43.79B,3.842B,357.00M,4.199B,2.654B,72.00M,,5.832B,56.54B,63.03B,1.16B,359.00M,1.519B,254.00M,1.773B,,1.062B,1.87B,2.932B,2.932B,1.434B,6.139B,1.999B,18.45B,,18.45B,8.293B,8.293B,829.00M,,97.00M,,4.801B,34.38B,40.52B,1.00M,1.598B,21.14B,,,,-320.00M,22.42B
2012-03,1.071B,238.00M,1.309B,,,1.737B,,1.754B,,1.124B,5.924B,,,61.98B,-19.09B,42.89B,3.853B,357.00M,4.21B,2.726B,68.00M,,5.979B,55.88B,61.80B,1.05B,369.00M,1.419B,287.00M,1.706B,,456.00M,1.067B,1.523B,1.523B,1.054B,4.283B,1.965B,19.03B,,19.03B,8.107B,8.107B,846.00M,,97.00M,,4.694B,34.64B,38.92B,1.00M,1.833B,21.12B,,,,-174.00M,22.78B
2011-12,2.11B,190.00M,2.30B,1.941B,,1.941B,3.00M,1.588B,,1.051B,6.88B,8.144B,7.664B,61.37B,-18.71B,42.66B,3.849B,363.00M,4.212B,2.52B,62.00M,,2.519B,55.65B,62.53B,1.433B,431.00M,1.864B,252.00M,2.116B,,,2.321B,2.321B,2.321B,1.091B,5.528B,1.936B,18.68B,,18.68B,7.965B,7.965B,,856.00M,93.00M,,1.778B,34.13B,39.66B,1.00M,1.873B,21.13B,,,,-234.00M,22.77B
2011-09,2.032B,146.00M,2.178B,1.99B,,1.916B,,1.421B,,758.00M,6.273B,,,60.78B,-18.90B,41.88B,3.847B,371.00M,4.218B,459.00M,59.00M,232.00M,7.658B,54.50B,60.78B,1.08B,438.00M,1.518B,269.00M,1.787B,,755.00M,1.527B,2.282B,2.282B,1.046B,5.115B,1.905B,17.58B,,17.58B,7.843B,7.843B,,,105.00M,,5.43B,32.76B,37.88B,1.00M,1.92B,21.06B,,,,-188.00M,22.79B
2011-06,1.362B,9.00M,1.371B,2.047B,,1.969B,,1.415B,,879.00M,5.634B,,,60.22B,-18.61B,41.61B,3.868B,468.00M,4.336B,2.594B,62.00M,236.00M,5.32B,54.16B,59.79B,1.189B,358.00M,1.547B,272.00M,1.819B,,280.00M,1.008B,1.288B,1.288B,1.279B,4.386B,1.869B,17.69B,,17.69B,7.727B,7.727B,,,119.00M,,5.421B,32.70B,37.09B,1.00M,1.448B,21.04B,,,,89.00M,22.58B
2011-03,1.419B,9.00M,1.428B,,,1.925B,,1.347B,,845.00M,5.545B,,,59.44B,-18.49B,40.94B,3.862B,463.00M,4.325B,2.549B,61.00M,239.00M,5.323B,53.44B,58.99B,1.305B,382.00M,1.687B,267.00M,1.954B,,275.00M,1.029B,1.304B,1.304B,939.00M,4.197B,1.843B,17.23B,,17.23B,7.40B,7.40B,,,122.00M,,5.464B,31.93B,36.13B,1.00M,1.676B,21.03B,,,,30.00M,22.73B
2010-12,1.67B,0.00,1.67B,764.00M,,764.00M,,1.318B,1.302B,1.169B,6.223B,,,58.54B,-18.20B,40.34B,3.858B,467.00M,4.325B,2.458B,42.00M,,2.563B,52.87B,59.09B,1.387B,412.00M,1.799B,237.00M,2.036B,,216.00M,275.00M,491.00M,491.00M,1.37B,3.897B,1.816B,17.94B,,17.94B,7.337B,7.337B,,944.00M,131.00M,,1.632B,32.54B,36.44B,1.00M,1.496B,21.02B,,,,2.00M,22.52B
2010-06,1.01B,,1.01B,1.974B,,1.974B,,1.302B,,1.157B,5.443B,,,56.69B,-17.63B,39.06B,3.848B,507.00M,4.355B,358.00M,42.00M,252.00M,6.89B,50.96B,56.40B,1.234B,395.00M,1.629B,243.00M,1.872B,,254.00M,318.00M,572.00M,572.00M,1.393B,3.837B,1.754B,17.22B,,17.22B,6.557B,6.557B,,,136.00M,,5.77B,31.30B,35.14B,1.00M,726.00M,20.79B,,,,-389.00M,21.13B
2010-03,1.08B,,1.08B,,,1.924B,,1.337B,,1.15B,5.491B,,,56.49B,-17.79B,38.71B,4.349B,571.00M,4.92B,2.209B,127.00M,254.00M,5.926B,52.14B,57.63B,1.299B,383.00M,1.682B,251.00M,1.933B,,362.00M,586.00M,948.00M,948.00M,973.00M,3.854B,,16.28B,,16.28B,6.377B,6.377B,,,134.00M,,9.075B,31.73B,35.58B,1.00M,1.589B,20.70B,,,,-373.00M,21.91B
2009-12,1.542B,,1.542B,,,1.741B,,1.515B,,968.00M,5.766B,50.03B,5.336B,55.36B,-17.41B,37.95B,4.35B,593.00M,4.943B,2.201B,45.00M,258.00M,5.877B,51.27B,57.04B,1.39B,428.00M,1.818B,222.00M,2.04B,,0.00,902.00M,902.00M,902.00M,1.146B,4.088B,,16.11B,,16.11B,5.925B,5.925B,,,136.00M,,9.028B,31.07B,35.15B,1.00M,1.46B,20.66B,,,,-372.00M,21.75B
2009-09,1.606B,1.00M,1.607B,,,1.489B,,1.42B,,1.299B,5.815B,,,53.66B,-17.24B,36.42B,4.383B,606.00M,4.989B,458.00M,133.00M,256.00M,7.698B,49.96B,55.77B,1.095B,395.00M,1.49B,232.00M,1.722B,,279.00M,743.00M,1.022B,1.022B,974.00M,3.718B,2.702B,15.41B,,15.41B,5.964B,5.964B,,,137.00M,,6.239B,30.31B,34.03B,1.00M,1.428B,20.57B,,,,-387.00M,21.61B
2009-06,706.00M,4.00M,710.00M,,,1.511B,,1.368B,,1.802B,5.391B,,,52.36B,-16.93B,35.43B,4.741B,621.00M,5.362B,1.979B,135.00M,256.00M,6.157B,49.32B,54.71B,1.015B,360.00M,1.375B,215.00M,1.59B,,399.00M,901.00M,1.30B,1.30B,1.251B,4.141B,,14.43B,,14.43B,6.037B,6.037B,,,134.00M,,8.738B,29.21B,33.35B,1.00M,1.321B,20.42B,,,,-521.00M,21.23B
2009-03,1.201B,51.00M,1.252B,,,1.465B,,1.243B,,1.36B,5.32B,,,51.10B,-16.59B,34.50B,4.721B,639.00M,5.36B,1.806B,141.00M,261.00M,6.191B,48.26B,53.58B,1.152B,360.00M,1.512B,211.00M,1.723B,,279.00M,647.00M,926.00M,926.00M,875.00M,3.524B,,14.57B,,14.57B,5.431B,5.431B,,,168.00M,,8.678B,28.68B,32.20B,1.00M,1.655B,20.29B,,,,-730.00M,21.21B
2008-12,986.00M,51.00M,1.037B,,,1.653B,,1.135B,,1.448B,5.273B,45.92B,4.379B,50.30B,-16.27B,34.04B,4.72B,680.00M,5.40B,1.909B,134.00M,257.00M,6.068B,47.80B,53.08B,1.477B,362.00M,1.839B,187.00M,2.026B,,543.00M,646.00M,1.189B,1.189B,1.13B,4.345B,,13.25B,,13.25B,5.265B,5.265B,,,163.00M,,,18.52B,31.93B,1.00M,1.607B,20.11B,,,,-726.00M,20.99B
2008-09,1.876B,,1.876B,1.656B,,1.656B,,1.125B,,1.195B,5.852B,,,49.58B,-16.34B,33.25B,,,5.38B,,,258.00M,8.031B,46.92B,52.77B,1.165B,,1.165B,1.671B,2.836B,,,,2.224B,2.224B,,5.06B,,12.70B,,12.70B,5.236B,151.00M,,,175.00M,,,12.85B,31.26B,1.00M,1.567B,19.99B,,,,-230.00M,21.33B
2008-06,717.00M,,717.00M,1.845B,,1.845B,,1.026B,,1.696B,5.284B,,,48.49B,-16.02B,32.46B,,,5.348B,,,257.00M,8.244B,46.31B,51.60B,1.274B,,1.274B,2.044B,3.318B,,,,1.641B,1.641B,,4.959B,,11.65B,,11.65B,5.18B,154.00M,,,189.00M,,,11.80B,30.11B,1.00M,1.353B,19.97B,,,,-27.00M,21.30B
2008-03,642.00M,,642.00M,1.652B,,1.652B,,946.00M,,967.00M,4.207B,,,47.32B,-15.63B,31.69B,,,5.353B,,,255.00M,8.14B,45.44B,49.65B,1.306B,,1.306B,1.606B,2.912B,,,,2.019B,2.019B,,4.931B,,10.08B,,10.08B,4.901B,158.00M,,,185.00M,,,10.24B,28.05B,1.00M,1.574B,19.95B,,,,-115.00M,21.41B
2007-12,678.00M,,678.00M,1.767B,,1.767B,,1.012B,,1.459B,4.916B,,,46.06B,-14.95B,31.11B,,,5.362B,,,255.00M,8.043B,44.77B,49.69B,1.585B,,1.585B,1.845B,3.43B,,,,2.268B,2.268B,,5.698B,,9.498B,,9.498B,4.912B,161.00M,,,181.00M,,,9.659B,28.31B,1.00M,1.398B,19.93B,,,,-133.00M,21.20B
2007-09,675.00M,,675.00M,1.778B,,1.778B,,1.029B,,1.788B,5.27B,,,44.53B,-14.40B,30.13B,,,5.403B,,,258.00M,7.962B,43.76B,49.03B,1.093B,,1.093B,1.744B,2.837B,,,,1.839B,1.839B,,4.676B,,9.937B,,9.937B,4.681B,164.00M,,,192.00M,,,10.10B,27.76B,1.00M,1.447B,19.90B,,,,-276.00M,21.07B
2007-06,611.00M,,611.00M,1.486B,,1.486B,,1.027B,,1.905B,5.029B,,,43.91B,-14.11B,29.80B,,,5.463B,,,264.00M,7.893B,43.42B,48.45B,1.104B,,1.104B,1.914B,3.018B,,,,1.996B,1.996B,,5.014B,,9.965B,,9.965B,4.246B,168.00M,,,191.00M,,,10.13B,27.84B,1.00M,847.00M,19.89B,,,,-319.00M,20.42B
