,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2013-03,5.898B,5.898B,3.682B,2.216B,0.00,2.00M,343.00M,367.00M,-367.00M,,1.003B,1.213B,367.00M,-367.00M,118.00M,-367.00M,964.00M,330.00M,634.00M,0.00,,0.00,,634.00M,632.68M,2.093B,762.00M,1.331B,0.89,0.0,,,0.8881,0.89,0.89,0.0,,,0.8881,0.89,705.00M,705.00M,0.765
2012-12,3.983B,3.983B,2.613B,1.37B,-2.00M,313.00M,284.00M,387.00M,-337.00M,,809.00M,561.00M,387.00M,-337.00M,105.00M,-337.00M,329.00M,58.00M,271.00M,166.00M,,-2.00M,,435.00M,11.18M,1.503B,787.00M,716.00M,0.27,0.29,,,-0.0967,0.56,0.27,0.29,,,-0.0947,0.56,703.00M,707.00M,0.765
2012-09,6.722B,6.722B,4.40B,2.322B,266.00M,-252.00M,326.00M,401.00M,-401.00M,,992.00M,1.33B,401.00M,-401.00M,-87.00M,-401.00M,842.00M,248.00M,594.00M,4.00M,,-4.00M,,594.00M,767.91M,2.031B,788.00M,1.243B,0.84,0.01,,,1.095,0.85,0.84,0.01,,,1.095,0.85,699.00M,699.00M,0.765
2012-06,3.577B,3.577B,2.149B,1.428B,0.00,3.00M,171.00M,232.00M,-232.00M,,646.00M,782.00M,232.00M,-232.00M,113.00M,-232.00M,663.00M,214.00M,449.00M,-1.00M,,-4.00M,,444.00M,442.97M,1.428B,533.00M,895.00M,0.99,0.0,,,0.9854,0.99,0.99,0.0,,,0.9854,0.99,446.00M,446.00M,0.75
2012-03,3.63B,3.63B,2.073B,1.557B,402.00M,-404.00M,184.00M,224.00M,-224.00M,,663.00M,894.00M,224.00M,-224.00M,-270.00M,-224.00M,400.00M,103.00M,297.00M,2.00M,,-4.00M,,295.00M,592.77M,1.168B,544.00M,624.00M,0.65,0.01,,,1.3219999999999998,0.66,0.65,0.01,,,1.3219999999999998,0.66,446.00M,446.00M,0.75
2011-12,3.368B,3.368B,4.903B,-1.535B,,-55.00M,166.00M,224.00M,-171.00M,,-2.079B,544.00M,224.00M,-171.00M,45.00M,-171.00M,409.00M,119.00M,290.00M,0.00,,-2.00M,,288.00M,327.00M,1.151B,518.00M,633.00M,0.64,0.0,,,0.7278,0.64,0.64,0.0,,,0.7278,0.64,444.00M,444.00M,0.75
2011-09,3.964B,3.964B,1.388B,2.576B,,-220.00M,183.00M,213.00M,-213.00M,866.00M,1.504B,1.072B,213.00M,-213.00M,-177.00M,-213.00M,677.00M,208.00M,469.00M,1.00M,,2.00M,,472.00M,623.41M,1.407B,517.00M,890.00M,1.06,0.0,,,1.403,1.06,1.06,0.0,,,1.403,1.06,444.00M,444.00M,0.75
2011-06,3.534B,3.534B,1.285B,2.249B,,100.00M,169.00M,203.00M,-203.00M,959.00M,1.565B,684.00M,203.00M,-203.00M,148.00M,-203.00M,633.00M,192.00M,441.00M,0.00,,-6.00M,,435.00M,365.33M,1.323B,487.00M,836.00M,0.9798,0.0,,,0.8229,0.9798,0.9798,0.0,,,0.8229,0.9798,444.04M,444.04M,0.735
2011-03,3.663B,3.663B,1.339B,2.324B,,129.00M,186.00M,219.00M,-219.00M,880.00M,1.52B,804.00M,219.00M,-219.00M,161.00M,-219.00M,746.00M,233.00M,513.00M,0.00,,-2.00M,,511.00M,422.29M,1.469B,504.00M,965.00M,1.14,0.0,,,0.9399,1.14,1.14,0.0,,,0.9401,1.14,443.33M,443.67M,0.735
2010-12,3.445B,3.445B,4.985B,-1.54B,,170.00M,164.00M,216.00M,-149.00M,,-2.103B,563.00M,216.00M,-149.00M,269.00M,-149.00M,674.00M,247.00M,427.00M,2.00M,,-2.00M,,427.00M,317.30M,1.403B,513.00M,890.00M,0.95,0.01,,,0.7058,0.96,0.95,0.01,,,0.7074,0.96,441.00M,444.00M,0.735
2010-09,3.946B,3.946B,1.361B,2.585B,,71.00M,182.00M,202.00M,-202.00M,881.00M,1.51B,1.075B,202.00M,-202.00M,92.00M,-202.00M,967.00M,301.00M,666.00M,0.00,,4.00M,,670.00M,621.10M,1.671B,502.00M,1.169B,1.53,0.0,,,1.419,1.53,1.53,0.0,,,1.419,1.53,440.00M,440.67M,0.735
2010-06,3.287B,3.287B,1.117B,2.17B,,-568.00M,163.00M,212.00M,-212.00M,944.00M,1.533B,637.00M,212.00M,-212.00M,-532.00M,-212.00M,-102.00M,116.00M,-218.00M,1.00M,,-5.00M,,-222.00M,146.20M,583.00M,473.00M,110.00M,-0.51,0.0,,,0.3329,-0.51,-0.51,0.0,,,0.3329,-0.51,438.00M,438.00M,0.72
2010-03,3.594B,3.594B,1.287B,2.307B,,91.00M,193.00M,210.00M,-210.00M,899.00M,1.548B,759.00M,210.00M,-210.00M,120.00M,-210.00M,671.00M,226.00M,445.00M,,,0.00,,445.00M,384.65M,1.387B,506.00M,881.00M,1.02,0.0,,,0.8818,1.02,1.02,0.0,,,0.8819,1.02,436.67M,437.00M,0.72
2009-12,3.11B,3.11B,1.104B,2.006B,,53.00M,157.00M,191.00M,-191.00M,819.00M,1.379B,627.00M,191.00M,-191.00M,90.00M,-191.00M,494.00M,158.00M,336.00M,12.00M,,-2.00M,,346.00M,297.95M,1.136B,451.00M,685.00M,0.78,0.03,,,0.6971,0.81,0.78,0.03,,,0.6972,0.81,435.00M,435.33M,0.72
2009-09,3.396B,3.396B,1.138B,2.258B,,-332.00M,175.00M,190.00M,-190.00M,805.00M,1.412B,846.00M,190.00M,-190.00M,-318.00M,-190.00M,351.00M,244.00M,107.00M,-1.00M,,3.00M,,109.00M,325.80M,1.019B,478.00M,541.00M,0.24,0.0,,,0.7384,0.24,0.24,0.0,,,0.738,0.24,433.00M,433.33M,0.72
2009-06,2.913B,2.913B,983.00M,1.93B,,100.00M,160.00M,186.00M,-186.00M,848.00M,1.415B,515.00M,186.00M,-186.00M,119.00M,-186.00M,461.00M,177.00M,284.00M,-2.00M,,-6.00M,,276.00M,216.39M,1.101B,454.00M,647.00M,0.66,0.0,,,0.5165,0.63,0.66,0.0,,,0.5166,0.63,429.33M,429.67M,0.69
2009-03,3.312B,3.312B,1.219B,2.093B,,22.00M,193.00M,184.00M,-184.00M,811.00M,1.418B,675.00M,184.00M,-184.00M,28.00M,-184.00M,525.00M,179.00M,346.00M,3.00M,,-5.00M,,344.00M,326.50M,1.172B,463.00M,709.00M,0.81,0.0,,,0.7761,0.81,0.81,0.0,,,0.7761,0.81,427.33M,427.67M,0.69
2008-12,3.133B,3.133B,1.252B,1.881B,,-88.00M,136.00M,189.00M,-59.00M,851.00M,1.394B,487.00M,189.00M,-59.00M,-88.00M,-59.00M,356.00M,95.00M,261.00M,2.00M,,1.00M,,331.00M,326.52M,992.00M,447.00M,545.00M,0.63,0.03,,,0.7826,0.81,0.63,0.0,,,0.7824,0.78,422.67M,423.33M,0.69
2008-09,3.508B,3.508B,1.411B,2.097B,,-53.00M,170.00M,176.00M,-176.00M,838.00M,1.44B,657.00M,176.00M,-176.00M,-137.00M,-176.00M,346.00M,132.00M,214.00M,-1.00M,,2.00M,,215.00M,248.78M,1.001B,479.00M,522.00M,0.51,0.0,,,0.5877,0.51,0.51,0.0,,,0.5876,0.51,421.67M,422.33M,0.69
2008-06,3.229B,3.229B,1.126B,2.103B,,75.00M,158.00M,194.00M,-194.00M,877.00M,1.453B,650.00M,194.00M,-194.00M,14.00M,-194.00M,503.00M,167.00M,336.00M,13.00M,,2.00M,,351.00M,287.90M,1.153B,456.00M,697.00M,0.81,0.03,,,0.6911,0.84,0.81,0.03,,,0.6913,0.84,421.33M,422.00M,0.66
2008-03,3.337B,3.337B,1.231B,2.106B,,74.00M,175.00M,182.00M,-182.00M,785.00M,1.373B,733.00M,182.00M,-182.00M,117.00M,-182.00M,686.00M,222.00M,464.00M,2.00M,,-1.00M,,465.00M,412.95M,1.32B,452.00M,868.00M,1.11,0.0,,,0.9914,1.11,1.11,0.0,,,0.9916,1.11,422.00M,422.67M,0.66
2007-12,3.031B,3.031B,1.043B,1.988B,,140.00M,149.00M,,,960.00M,1.509B,479.00M,,,140.00M,,430.00M,117.00M,313.00M,-70.00M,,-3.00M,,243.00M,211.09M,879.00M,394.00M,479.00M,0.75,-0.18,,,0.5079,0.57,0.72,-0.18,,,0.4785,0.57,421.00M,422.00M,0.66
2007-09,3.688B,3.688B,1.329B,2.359B,,120.00M,173.00M,,,782.00M,1.429B,930.00M,,,120.00M,,877.00M,304.00M,573.00M,34.00M,,4.00M,,607.00M,494.60M,1.476B,546.00M,930.00M,1.35,0.09,,,1.163,1.44,1.35,0.09,,,1.1640000000000001,1.44,420.00M,421.67M,0.66
2007-06,2.966B,2.966B,1.051B,1.915B,,121.00M,153.00M,,,833.00M,1.425B,490.00M,,,121.00M,,451.00M,152.00M,299.00M,-6.00M,,-1.00M,,293.00M,218.78M,977.00M,487.00M,490.00M,0.72,-0.03,,,0.529,0.69,0.72,-0.03,,,0.5301,0.69,420.00M,422.33M,0.63
2007-03,3.035B,3.035B,1.08B,1.955B,,42.00M,174.00M,,,749.00M,1.356B,599.00M,,,42.00M,,476.00M,139.00M,337.00M,20.00M,,-2.00M,,357.00M,307.26M,1.06B,461.00M,599.00M,0.81,0.03,,,0.739,0.84,0.81,0.03,,,0.7396,0.84,419.00M,422.67M,0.63
2006-12,2.805B,2.805B,1.076B,1.729B,,143.00M,143.00M,,,1.001B,1.53B,199.00M,,,143.00M,,181.00M,-19.00M,200.00M,187.00M,,1.00M,,387.00M,114.20M,762.00M,563.00M,199.00M,0.45,0.45,,,0.2452,0.9,0.45,0.45,,,0.2467,0.9,419.00M,422.00M,0.96
2006-09,3.279B,3.279B,1.164B,2.115B,,356.00M,151.00M,,,897.00M,1.49B,625.00M,,,356.00M,,791.00M,310.00M,481.00M,282.00M,,-8.00M,,763.00M,264.52M,1.235B,610.00M,625.00M,1.14,0.69,,,0.6221,1.83,1.14,0.66,,,0.6258,1.8,418.00M,421.00M,0.96
2006-06,2.903B,2.903B,1.083B,1.82B,,220.00M,154.00M,,,1.007B,1.605B,215.00M,,,220.00M,,247.00M,51.00M,196.00M,159.00M,,-3.00M,,355.00M,21.43M,819.00M,604.00M,215.00M,0.48,0.39,,,0.057,0.87,0.48,0.36,,,0.064,0.84,412.67M,419.67M,0.93
2006-03,1.62B,1.62B,388.00M,1.232B,,79.00M,86.00M,,,535.00M,894.00M,338.00M,,,79.00M,,311.00M,108.00M,203.00M,155.00M,,-3.00M,,358.00M,151.43M,776.00M,438.00M,338.00M,0.66,0.51,,,0.4933,1.17,0.63,0.48,,,0.4694,1.11,309.33M,321.00M,0.93
2005-12,-6.724B,-6.724B,-5.32B,-1.404B,,-1.853B,-105.00M,,,-71.00M,-402.00M,-1.002B,,,-1.853B,,-1.939B,-720.00M,-1.219B,1.829B,,484.00M,5.00M,606.00M,-54.07M,-581.00M,421.00M,-1.002B,-3.93,5.88,,,-0.1962,7.77,-3.93,5.76,,,-0.3382,7.53,312.00M,324.33M,0.93
2005-09,3.028B,3.028B,804.00M,2.224B,,759.00M,134.00M,,,794.00M,1.334B,890.00M,,,759.00M,,1.411B,487.00M,924.00M,-883.00M,,-10.00M,3.00M,41.00M,426.97M,1.296B,382.00M,890.00M,2.97,-2.85,,,1.36,0.12,2.88,-2.85,,,1.3330000000000002,0.12,308.67M,321.33M,0.93
2005-06,5.274B,5.274B,3.005B,2.269B,,92.00M,145.00M,,,896.00M,1.503B,766.00M,,,92.00M,,485.00M,157.00M,328.00M,-19.00M,,-78.00M,2.00M,309.00M,265.78M,1.297B,531.00M,766.00M,1.05,-0.06,,,0.8486,0.99,1.02,-0.06,,,0.8264,0.96,309.00M,321.33M,0.825
2005-03,5.328B,5.328B,3.099B,2.229B,,1.355B,153.00M,,,929.00M,1.563B,666.00M,,,1.355B,,1.311B,451.00M,860.00M,8.00M,,-420.00M,2.00M,868.00M,-28.86M,1.216B,550.00M,666.00M,2.7,0.03,,,-0.0952,2.73,2.61,0.03,,,-0.0835,2.64,318.00M,330.00M,0.825
2004-12,5.542B,5.542B,3.139B,2.403B,,89.00M,125.00M,,,1.098B,1.67B,733.00M,,,89.00M,,471.00M,168.00M,303.00M,55.00M,,-54.00M,2.00M,358.00M,245.75M,1.246B,513.00M,733.00M,0.93,0.18,,,0.7493,1.11,0.9,0.18,,,0.7223,1.08,316.93M,322.25M,0.825
2004-09,5.081B,5.081B,2.811B,2.27B,,74.00M,125.00M,,,800.00M,1.425B,845.00M,,,74.00M,,528.00M,147.00M,381.00M,8.00M,,-62.00M,2.00M,389.00M,327.60M,1.426B,581.00M,845.00M,1.2,0.03,,,1.0290000000000001,1.23,1.17,0.03,,,1.005,1.2,312.67M,324.33M,0.825
2004-06,5.316B,5.316B,3.163B,2.153B,,137.00M,124.00M,,,827.00M,1.371B,782.00M,,,137.00M,,540.00M,134.00M,406.00M,26.00M,,-43.00M,3.00M,432.00M,303.00M,1.249B,467.00M,782.00M,1.29,0.09,,,0.9563,1.38,1.26,0.09,,,0.9384,1.35,308.67M,320.33M,0.825
2004-03,5.636B,5.636B,3.553B,2.083B,,-219.00M,154.00M,,,784.00M,1.372B,711.00M,,,-219.00M,,98.00M,33.00M,65.00M,246.00M,,-38.00M,2.00M,311.00M,210.26M,1.187B,476.00M,711.00M,0.21,0.81,,,0.6878,1.02,0.21,0.78,,,0.6702,0.99,304.00M,315.67M,0.825
2003-12,5.24B,5.24B,3.004B,2.236B,,26.00M,126.00M,,,4.237B,4.814B,-2.578B,,,26.00M,,-2.877B,-1.075B,-1.802B,-217.00M,0.00,28.00M,2.00M,-2.019B,-1.818B,-2.084B,494.00M,-2.578B,-3.93,-2.79,0.0,,-3.984,-6.72,-3.93,-2.79,0.0012,,-3.984,-6.72,303.00M,303.33M,0.825
2003-09,5.549B,5.549B,3.444B,2.105B,,60.00M,127.00M,,,1.218B,1.818B,287.00M,,,60.00M,,-17.00M,-22.00M,5.00M,44.00M,,11.00M,3.00M,49.00M,-31.00M,808.00M,521.00M,287.00M,0.0,0.15,,,-0.1193,0.15,0.0,0.15,,,-0.1191,0.15,301.67M,302.33M,0.825
