,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2018-05,3.890B,3.890B,2.471B,1.420B,732.20M,-151.30M,,,-137.10M,,732.20M,687.40M,,,-137.10M,-126.40M,-137.10M,423.90M,86.40M,358.10M,,,-3.70M,354.40M,474.86M,622.90M,,2018-05,0.59,,0.59,,2018-05,0.59,,0.59,,2018-05,0.49,,2018-05,AOR,Restated
2018-02,3.882B,3.882B,2.626B,1.256B,679.50M,-7.50M,,,-89.30M,,679.50M,577.00M,,,-89.30M,15.70M,-89.30M,503.40M,-432.50M,952.50M,,,-11.10M,941.40M,946.88M,577.00M,,2018-02,1.64,,1.64,,2018-02,1.62,,1.62,,2018-02,0.49,,2018-02,AOR,Restated
2017-11,4.199B,4.199B,2.752B,1.446B,735.60M,-1.60M,,,-74.90M,,735.60M,710.60M,,,-74.90M,19.20M,-74.90M,654.90M,234.90M,443.80M,,,-13.30M,430.50M,431.53M,710.60M,,2017-11,0.75,,0.75,,2017-11,0.74,,0.74,,2017-11,0.49,,2017-11,AOR,Restated
2017-08,3.769B,3.769B,2.456B,1.313B,702.80M,-5.20M,,,-72.40M,,702.80M,610.50M,,,-72.40M,15.30M,-72.40M,553.40M,168.50M,408.60M,,,-3.90M,404.70M,408.32M,610.50M,,2017-08,0.70,,0.70,,2017-08,0.69,,0.69,,2017-08,0.49,,2017-08,AOR,Restated
2017-05,3.807B,3.807B,2.483B,1.324B,780.90M,-7.90M,,,-69.30M,,780.90M,542.80M,,,-69.30M,66.40M,-69.30M,539.90M,144.20M,415.60M,,,-6.70M,408.90M,414.69M,437.20M,,2017-05,0.70,,0.70,,2017-05,0.69,,0.69,,2017-05,0.48,,2017-05,AOR,Restated
2017-02,3.793B,3.793B,2.486B,1.308B,687.60M,-77.60M,,,-76.40M,,687.60M,620.10M,,,-76.40M,-77.60M,-76.40M,466.10M,107.00M,370.20M,,,-12.40M,357.80M,417.55M,620.10M,,2017-02,0.62,,0.62,,2017-02,0.61,,0.61,,2017-02,0.48,,2017-02,AOR,Restated
2016-11,4.112B,4.112B,2.593B,1.520B,708.10M,-42.50M,,,-75.50M,,708.10M,811.40M,,,-75.50M,-42.50M,-75.50M,693.40M,227.40M,495.80M,,,-14.00M,481.80M,510.36M,811.40M,,2016-11,0.82,,0.82,,2016-11,0.80,,0.80,,2016-11,0.48,,2016-11,AOR,Restated
2016-08,3.908B,3.908B,2.491B,1.417B,712.20M,-58.90M,,,-73.90M,,712.20M,704.70M,,,-73.90M,-58.90M,-73.90M,571.90M,176.60M,419.50M,,,-10.50M,409.00M,449.70M,704.70M,,2016-08,0.68,,0.68,,2016-08,0.67,,0.67,,2016-08,0.48,,2016-08,AOR,Restated
2016-05,3.928B,3.928B,2.551B,1.377B,779.20M,-65.50M,,,-77.50M,,779.20M,597.60M,,,-77.50M,-65.50M,-77.50M,454.60M,87.50M,390.40M,,,-10.80M,379.60M,432.49M,602.50M,,2016-05,0.63,,0.63,,2016-05,0.62,,0.62,,2016-05,0.46,,2016-05,AOR,Restated
2016-02,4.002B,4.002B,2.645B,1.358B,755.80M,-15.40M,,,-77.20M,,755.80M,601.70M,,,-77.20M,-15.40M,-77.20M,509.10M,157.60M,367.70M,,,-6.00M,361.70M,372.33M,601.70M,,2016-02,0.61,,0.61,,2016-02,0.59,,0.59,,2016-02,0.44,,2016-02,AOR,Restated
2015-11,4.425B,4.425B,2.884B,1.541B,772.70M,137.80M,,,-73.80M,,772.70M,767.90M,,,-73.80M,137.80M,-73.80M,831.90M,311.50M,543.60M,,,-14.10M,529.50M,443.24M,767.90M,,2015-11,0.88,,0.88,,2015-11,0.87,,0.87,,2015-11,0.44,,2015-11,AOR,Restated
2015-08,4.208B,4.208B,2.653B,1.555B,811.20M,-60.10M,,,-75.30M,,811.20M,743.40M,,,-75.30M,-60.10M,-75.30M,608.00M,198.60M,435.10M,,,-8.50M,426.60M,467.05M,743.40M,,2015-08,0.71,,0.71,,2015-08,0.69,,0.69,,2015-08,0.44,,2015-08,AOR,Restated
2015-05,4.299B,4.299B,2.783B,1.516B,825.90M,-266.00M,,,-79.60M,,825.90M,689.60M,,,-79.60M,-266.00M,-79.60M,344.00M,164.30M,197.80M,,,-11.00M,186.80M,346.40M,158.90M,,2015-05,0.31,,0.31,,2015-05,0.30,,0.30,,2015-05,0.44,,2015-05,AOR,Restated
2015-02,4.351B,4.351B,2.975B,1.376B,789.40M,-49.30M,,,-80.00M,,789.40M,586.50M,,,-80.00M,-49.30M,-80.00M,457.20M,116.50M,353.80M,,,-10.60M,343.20M,379.93M,586.50M,,2015-02,0.57,,0.57,,2015-02,0.56,,0.56,,2015-02,0.41,,2015-02,AOR,Restated
2014-11,4.712B,4.712B,3.093B,1.619B,845.50M,-214.60M,,,-77.30M,,845.50M,773.60M,,,-77.30M,-214.60M,-77.30M,481.70M,153.40M,355.40M,,,-9.30M,346.10M,492.46M,773.60M,,2014-11,0.58,,0.58,,2014-11,0.56,,0.56,,2014-11,0.41,,2014-11,AOR,Restated
2014-08,4.268B,4.268B,2.830B,1.439B,867.20M,-14.00M,,,-78.50M,,867.20M,571.50M,,,-78.50M,-14.00M,-78.50M,479.00M,152.60M,352.40M,,,-7.20M,345.20M,354.75M,571.50M,,2014-08,0.56,,0.56,,2014-08,0.55,,0.55,,2014-08,0.41,,2014-08,AOR,Restated
2014-05,4.284B,4.284B,2.801B,1.482B,865.90M,65.40M,,,-79.40M,,865.90M,616.50M,,,-79.40M,65.40M,-79.40M,602.50M,203.70M,415.40M,,,-10.80M,404.60M,361.31M,694.50M,,2014-05,0.66,,0.66,,2014-05,0.65,,0.65,,2014-05,0.41,,2014-05,AOR,Restated
2014-02,4.377B,4.377B,2.865B,1.513B,842.10M,0.00,,,-75.50M,,842.10M,670.60M,,,-75.50M,,-75.50M,595.10M,200.90M,417.00M,,,-6.40M,410.60M,410.60M,670.60M,,2014-02,0.66,,0.66,,2014-02,0.64,,0.64,,2014-02,0.38,,2014-02,AOR,Restated
2013-11,4.876B,4.876B,3.114B,1.762B,890.90M,-0.70M,,,-68.70M,,890.90M,870.80M,,,-68.70M,-0.70M,-68.70M,801.40M,266.70M,560.80M,,,-10.90M,549.90M,550.37M,870.80M,,2013-11,0.87,,0.87,,2013-11,0.84,,0.84,,2013-11,0.38,,2013-11,AOR,Restated
2013-08,4.373B,4.373B,2.760B,1.613B,875.40M,-2.80M,,,-78.80M,,875.40M,737.60M,,,-78.80M,-2.80M,-78.80M,656.00M,212.00M,468.10M,,,-8.80M,459.30M,461.20M,737.60M,,2013-08,0.71,,0.71,,2013-08,0.70,,0.70,,2013-08,0.38,,2013-08,AOR,Restated
2013-05,4.411B,4.411B,2.880B,1.531B,928.20M,-1.80M,,,-81.80M,,928.20M,602.40M,,,-81.80M,-1.80M,-81.80M,518.80M,163.50M,376.80M,,,-10.50M,366.30M,367.53M,595.20M,,2013-05,0.57,,0.57,,2013-05,0.55,,0.55,,2013-05,0.33,,2013-05,AOR,Restated
2013-02,4.431B,4.431B,2.908B,1.523B,874.50M,-6.10M,,,-76.60M,,874.50M,648.20M,,,-76.60M,-6.10M,-76.60M,565.50M,174.20M,412.60M,,,-14.20M,398.40M,402.62M,648.20M,,2013-02,0.61,,0.61,,2013-02,0.60,,0.60,,2013-02,0.33,,2013-02,AOR,Restated
2012-11,4.882B,4.882B,3.140B,1.742B,910.60M,-2.70M,,,-75.50M,,910.60M,831.70M,,,-75.50M,-2.70M,-75.50M,753.50M,245.40M,541.00M,,,0.60M,541.60M,543.42M,831.70M,,2012-11,0.84,,0.84,,2012-11,0.82,,0.82,,2012-11,0.33,,2012-11,AOR,Restated
2012-08,4.051B,4.051B,2.423B,1.628B,839.00M,-9.20M,,,-83.00M,,839.00M,789.30M,,,-83.00M,-9.20M,-83.00M,697.10M,158.10M,562.10M,,,-13.20M,548.90M,556.01M,789.30M,,2012-08,0.84,,0.84,,2012-08,0.82,,0.82,,2012-08,0.33,,2012-08,AOR,Restated
2012-05,4.066B,4.066B,2.570B,1.496B,857.40M,-100.70M,,,-83.30M,,857.40M,638.70M,,,-83.30M,-100.70M,-83.30M,454.70M,135.40M,334.80M,,,-9.40M,325.40M,396.11M,547.00M,,2012-05,0.50,,0.50,,2012-05,0.49,,0.49,,2012-05,0.305,,2012-05,AOR,Restated
2012-02,4.120B,4.120B,2.613B,1.507B,838.70M,-0.10M,,,-96.00M,,838.70M,668.70M,,,-96.00M,-0.10M,-96.00M,572.60M,187.30M,400.80M,,,-9.30M,391.50M,391.57M,668.70M,,2012-02,0.61,,0.61,,2012-02,0.58,,0.58,,2012-02,0.305,,2012-02,AOR,Restated
2011-11,4.624B,4.624B,3.029B,1.595B,877.10M,-0.70M,,,-87.20M,,877.10M,717.60M,,,-87.20M,-0.70M,-87.20M,629.70M,209.40M,449.20M,,,-4.40M,444.80M,445.27M,717.60M,,2011-11,0.69,,0.69,,2011-11,0.67,,0.67,,2011-11,0.305,,2011-11,AOR,Restated
2011-08,3.848B,3.848B,2.401B,1.446B,807.50M,-0.10M,,,-85.40M,,807.50M,639.00M,,,-85.40M,-0.10M,-85.40M,553.50M,177.50M,404.30M,,,1.30M,405.60M,405.67M,639.00M,,2011-08,0.63,,0.63,,2011-08,0.61,,0.61,,2011-08,0.305,,2011-08,AOR,Restated
2011-05,3.634B,3.634B,2.270B,1.364B,828.80M,0.80M,,,-89.40M,,828.80M,535.60M,,,-89.40M,0.80M,-89.40M,447.00M,155.70M,321.10M,,,-0.90M,320.20M,319.68M,556.00M,,2011-05,0.50,,0.50,,2011-05,0.48,,0.48,,2011-05,0.28,,2011-05,AOR,Restated
2011-02,3.646B,3.646B,2.215B,1.431B,790.20M,14.20M,,,-85.00M,,790.20M,640.60M,,,-85.00M,14.20M,-85.00M,569.80M,181.70M,393.50M,,,-1.40M,392.10M,382.43M,640.60M,,2011-02,0.61,,0.61,,2011-02,0.59,,0.59,,2011-02,0.28,,2011-02,AOR,
2010-11,4.067B,4.067B,2.433B,1.634B,810.10M,-1.00M,,,-81.60M,,810.10M,823.90M,,,-81.60M,-1.00M,-81.60M,741.30M,160.70M,615.30M,,,-1.40M,613.90M,614.68M,823.90M,,2010-11,0.96,0.00,0.96,,2010-11,0.92,0.00,0.92,,2010-11,0.28,,2010-11,AOR,Restated
2010-08,3.533B,3.533B,2.009B,1.524B,762.90M,-1.00M,91.70M,1.40M,-90.30M,,762.90M,761.40M,1.40M,91.70M,-90.30M,-1.00M,-90.30M,670.10M,223.00M,473.60M,,,-1.50M,472.10M,472.77M,761.80M,,2010-08,0.73,0.00,0.73,,2010-08,0.70,0.00,0.70,,2010-08,0.28,,2010-08,,Restated
2010-05,3.529B,3.529B,2.258B,1.271B,797.40M,-41.10M,-193.40M,1.50M,194.90M,,797.40M,473.90M,1.50M,-193.40M,194.90M,-41.10M,194.90M,345.90M,148.50M,212.70M,,,-0.80M,211.90M,238.62M,152.50M,,2010-05,0.32,0.00,0.32,,2010-05,0.30,0.00,0.30,,2010-05,0.245,,2010-05,AOR,Restated
2010-02,3.589B,3.589B,2.230B,1.360B,791.90M,-6.30M,95.60M,1.40M,-94.20M,,791.90M,567.90M,1.40M,95.60M,-94.20M,-6.30M,-94.20M,467.40M,157.90M,333.50M,,,-1.00M,332.50M,336.67M,563.00M,,2010-02,0.50,0.00,0.50,,2010-02,0.48,0.00,0.48,,2010-02,0.245,,2010-02,AOR,Restated
2009-11,4.035B,4.035B,2.306B,1.728B,824.70M,-24.90M,90.10M,1.60M,-88.50M,,824.70M,903.60M,1.60M,90.10M,-88.50M,-24.90M,-88.50M,790.20M,261.60M,566.80M,,,-1.30M,565.50M,582.16M,880.30M,,2009-11,0.86,0.00,0.86,,2009-11,0.83,0.00,0.83,,2009-11,0.235,,2009-11,AOR,Restated
2009-08,3.482B,3.482B,2.042B,1.441B,748.70M,0.80M,94.20M,2.30M,-91.90M,,748.70M,692.10M,2.30M,94.20M,-91.90M,0.80M,-91.90M,601.00M,203.20M,422.00M,,,-1.40M,420.60M,420.07M,695.20M,,2009-08,0.64,0.00,0.64,,2009-08,0.62,0.00,0.62,,2009-08,0.235,,2009-08,AOR,
2009-05,3.646B,3.646B,2.101B,1.545B,833.70M,49.70M,105.30M,4.10M,-101.20M,,962.50M,582.10M,4.10M,105.30M,-101.20M,49.70M,-101.20M,530.60M,182.40M,360.40M,,,-1.60M,358.80M,326.18M,635.90M,,2009-05,0.54,0.00,0.54,,2009-05,0.535,0.00,0.535,,2009-05,0.215,,2009-05,AOR,Restated
2009-02,3.537B,3.537B,2.260B,1.278B,670.60M,-1.20M,104.00M,5.40M,-98.60M,,670.60M,606.90M,5.40M,104.00M,-98.60M,-1.20M,-98.60M,507.10M,231.70M,291.10M,,,-2.20M,288.90M,289.68M,611.10M,,2009-02,0.44,0.00,0.44,,2009-02,0.425,0.00,0.425,,2009-02,0.215,,2009-02,,Restated
2008-11,4.011B,4.011B,2.791B,1.220B,729.60M,-2.50M,101.90M,5.60M,-96.30M,-128.80M,600.80M,618.80M,5.60M,101.90M,-96.30M,-2.50M,-96.30M,520.00M,173.10M,380.20M,,,-2.00M,378.20M,379.87M,621.90M,,2008-11,0.57,0.00,0.57,,2008-11,0.545,0.00,0.545,,2008-11,0.215,,2008-11,,Restated
2008-08,3.497B,3.497B,2.306B,1.192B,718.00M,-2.70M,86.60M,,-86.60M,,718.00M,473.70M,,86.60M,-86.60M,-2.70M,-86.60M,384.40M,133.20M,282.00M,,,-3.50M,278.50M,280.26M,471.00M,,2008-08,0.415,0.00,0.415,,2008-08,0.395,0.00,0.395,,2008-08,0.215,,2008-08,,Restated
2008-05,3.471B,3.471B,2.439B,1.032B,698.30M,1.30M,70.80M,,-89.90M,,698.30M,333.90M,,70.80M,-89.90M,1.30M,-89.90M,245.30M,91.20M,185.20M,,,,185.20M,184.38M,316.10M,,2008-05,0.27,0.00,0.27,,2008-05,0.26,0.00,0.26,,2008-05,0.20,,2008-05,,Restated
2008-02,3.406B,3.406B,2.051B,1.354B,653.80M,-5.00M,109.70M,7.10M,-102.60M,,653.80M,700.40M,7.10M,109.70M,-102.60M,-5.00M,-102.60M,592.80M,192.40M,430.10M,,,,430.10M,433.48M,702.50M,,2008-02,0.64,0.00,0.64,,2008-02,0.615,0.00,0.615,,2008-02,0.195,,2008-02,,
2007-11,3.703B,3.703B,2.372B,1.331B,641.30M,-2.80M,122.20M,6.30M,-115.90M,,641.30M,689.90M,6.30M,122.20M,-115.90M,-2.80M,-115.90M,571.20M,208.30M,390.50M,,,,390.50M,392.28M,693.40M,,2007-11,0.595,0.00,0.595,,2007-11,0.57,0.00,0.57,,2007-11,0.195,,2007-11,,
2007-08,3.072B,3.072B,1.916B,1.156B,631.60M,-14.50M,119.00M,5.70M,-113.30M,,631.60M,524.60M,5.70M,119.00M,-113.30M,-14.50M,-113.30M,396.80M,130.30M,288.90M,,,,288.90M,298.64M,515.80M,,2007-08,0.425,0.00,0.425,,2007-08,0.405,0.00,0.405,,2007-08,0.195,,2007-08,,
2007-05,3.061B,3.061B,1.990B,1.071B,624.10M,-41.60M,83.90M,,-104.20M,,624.10M,447.30M,,83.90M,-104.20M,-41.60M,-104.20M,301.50M,92.00M,224.10M,,,,224.10M,253.01M,385.40M,,2007-05,0.325,0.00,0.325,,2007-05,0.315,0.00,0.315,,2007-05,0.185,,2007-05,,Restated
2007-02,3.054B,3.054B,1.982B,1.072B,584.90M,-0.70M,115.30M,8.50M,-106.80M,,584.90M,486.80M,8.50M,115.30M,-106.80M,-0.70M,-106.80M,379.30M,127.40M,267.50M,,,,267.50M,267.96M,494.60M,,2007-02,0.385,0.00,0.385,,2007-02,0.37,0.00,0.37,,2007-02,0.185,,2007-02,,
2006-11,3.467B,3.467B,2.187B,1.280B,605.50M,1.10M,115.60M,5.10M,-110.50M,,605.50M,674.10M,5.10M,115.60M,-110.50M,1.10M,-110.50M,564.70M,202.70M,385.40M,,,,385.40M,384.69M,680.30M,,2006-11,0.56,0.00,0.56,,2006-11,0.54,0.00,0.54,,2006-11,0.175,,2006-11,,
2006-08,2.860B,2.860B,1.797B,1.064B,574.80M,1.90M,111.70M,6.70M,-105.00M,,574.80M,488.90M,6.70M,111.70M,-105.00M,1.90M,-105.00M,385.80M,138.00M,266.90M,,,,266.90M,265.68M,497.50M,,2006-08,0.38,0.00,0.38,,2006-08,0.37,0.00,0.37,,2006-08,0.175,,2006-08,,
2006-05,2.862B,2.862B,1.878B,984.50M,558.70M,-13.80M,112.40M,6.80M,-105.60M,,558.70M,425.80M,6.80M,112.40M,-105.60M,-13.80M,-105.60M,306.40M,96.30M,222.30M,,,,222.30M,231.76M,418.80M,,2006-05,0.315,0.00,0.315,,2006-05,0.305,0.00,0.305,,2006-05,0.17,,2006-05,,
2006-02,2.877B,2.877B,1.891B,986.00M,528.00M,-5.00M,107.00M,7.00M,-100.00M,,528.00M,458.00M,7.00M,107.00M,-100.00M,-5.00M,-100.00M,353.00M,123.00M,246.00M,,,,246.00M,249.26M,460.00M,,2006-02,0.345,0.00,0.345,,2006-02,0.34,0.00,0.34,,2006-02,0.17,,2006-02,,
2005-11,3.293B,3.293B,2.09B,1.203B,559.00M,-2.00M,,,,,559.00M,644.00M,,,,20.00M,,538.00M,190.00M,370.00M,,,,370.00M,371.29M,644.00M,,2005-11,0.52,0.00,0.52,,2005-11,0.485,0.00,0.485,,2005-11,0.165,,2005-11,,
2005-08,2.662B,2.662B,1.557B,1.105B,642.00M,-9.00M,,,,,642.00M,463.00M,,,,9.00M,,364.00M,130.00M,252.00M,,,,252.00M,257.79M,463.00M,,2005-08,0.345,0.00,0.345,,2005-08,0.32,0.00,0.32,,2005-08,0.165,,2005-08,,
2005-05,2.783B,2.783B,2.161B,622.00M,170.00M,324.00M,,,,,170.00M,452.00M,,,,251.00M,,666.00M,227.00M,460.00M,,,,460.00M,246.43M,760.00M,,2005-05,0.62,0.00,0.62,,2005-05,0.57,0.00,0.57,,2005-05,0.155,,2005-05,,
2005-02,2.772B,2.772B,1.695B,1.077B,580.00M,-3.00M,,,,,580.00M,497.00M,,,,20.00M,,387.00M,180.00M,230.00M,,,,230.00M,231.80M,497.00M,,2005-02,0.315,0.00,0.315,,2005-02,0.29,0.00,0.29,,2005-02,0.155,,2005-02,,
2004-11,3.168B,3.168B,1.889B,1.279B,637.00M,-3.00M,,,,,637.00M,642.00M,,,,21.00M,,514.00M,171.00M,367.00M,,,,367.00M,369.00M,642.00M,,2004-11,0.495,0.00,0.495,,2004-11,0.46,0.00,0.46,,2004-11,0.155,,2004-11,,
2004-08,2.585B,2.585B,1.581B,1.004B,611.00M,-40.00M,,,,,611.00M,393.00M,,,,-14.00M,,240.00M,83.00M,183.00M,,,,183.00M,209.17M,393.00M,,2004-08,0.24,0.00,0.24,,2004-08,0.225,0.00,0.225,,2004-08,0.155,,2004-08,,
2004-05,2.789B,2.789B,1.675B,1.114B,586.00M,-4.00M,,,,,586.00M,528.00M,,,,19.00M,,392.00M,137.00M,278.00M,,,,278.00M,280.60M,528.00M,,2004-05,0.37,0.00,0.37,,2004-05,0.34,0.00,0.34,,2004-05,0.1375,,2004-05,,
2004-02,2.703B,2.703B,1.638B,1.065B,589.00M,-5.00M,,,,,589.00M,476.00M,,,,10.00M,,348.00M,121.00M,242.00M,,,,242.00M,245.26M,476.00M,,2004-02,0.32,0.00,0.32,,2004-02,0.30,0.00,0.30,,2004-02,0.1375,,2004-02,,
2003-11,3.06B,3.06B,1.797B,1.263B,677.00M,-9.00M,,,,,677.00M,586.00M,,,,7.00M,,466.00M,158.00M,308.00M,,,,308.00M,313.95M,586.00M,,2003-11,0.41,0.00,0.41,,2003-11,0.405,0.00,0.405,,2003-11,0.1375,,2003-11,,
2003-08,2.518B,2.518B,1.474B,1.044B,591.00M,,,,,,591.00M,453.00M,,,,20.00M,,319.00M,112.00M,227.00M,,,,227.00M,227.00M,453.00M,,2003-08,0.305,0.00,0.305,,2003-08,0.295,0.00,0.295,,2003-08,0.1375,,2003-08,,
2003-05,2.546B,2.546B,1.482B,1.064B,651.00M,36.00M,,,,,651.00M,413.00M,,,,53.00M,,336.00M,111.00M,225.00M,,,,225.00M,200.89M,413.00M,,2003-05,0.305,0.00,0.305,,2003-05,0.295,0.00,0.295,,2003-05,0.1375,,2003-05,,
2003-02,2.645B,2.645B,1.567B,1.078B,571.00M,-22.00M,,,,,571.00M,507.00M,,,,-9.00M,,363.00M,123.00M,240.00M,,,,240.00M,254.55M,507.00M,,2003-02,0.325,0.00,0.325,,2003-02,0.315,0.00,0.315,,2003-02,0.1375,,2003-02,,
2002-11,2.953B,2.953B,1.768B,1.185B,623.00M,-21.00M,,,,,623.00M,562.00M,,,,-7.00M,,415.00M,139.00M,276.00M,,,,276.00M,289.97M,562.00M,,2002-11,0.375,0.00,0.375,,2002-11,0.365,0.00,0.365,,2002-11,0.1375,,2002-11,,
2002-08,2.362B,2.362B,1.386B,976.00M,533.00M,-55.00M,,,,,533.00M,443.00M,,,,-38.00M,,246.00M,87.00M,176.00M,,,,176.00M,211.55M,443.00M,,2002-08,0.24,0.00,0.24,,2002-08,0.235,0.00,0.235,,2002-08,0.1375,,2002-08,,
2002-05,2.324B,2.324B,1.467B,857.00M,635.00M,-1.00M,,,,,635.00M,222.00M,,,,12.00M,,82.00M,25.00M,57.00M,,0.00,,57.00M,57.70M,222.00M,,2002-05,0.06,0.00,0.06,,2002-05,0.06,0.00,0.06,,2002-05,0.1375,,2002-05,,
2002-02,2.379B,2.379B,1.467B,912.00M,615.00M,-31.00M,,,,,615.00M,297.00M,,,,-31.00M,,113.00M,38.00M,82.00M,,,,82.00M,102.58M,297.00M,,2002-02,0.115,0.00,0.115,,2002-02,0.11,0.00,0.11,,2002-02,0.1375,,2002-02,,
2001-11,1.842B,1.842B,1.04B,802.00M,415.00M,-109.00M,,,,,415.00M,387.00M,,,,-106.00M,,212.00M,81.00M,131.00M,,,,131.00M,198.35M,387.00M,,2001-11,0.215,0.00,0.215,,2001-11,0.205,0.00,0.205,,2001-11,0.1375,,2001-11,,
2001-08,1.771B,1.771B,720.40M,1.051B,738.90M,23.50M,,,,,738.90M,311.90M,,,,23.50M,,286.50M,95.40M,191.10M,,-3.10M,,188.00M,175.43M,311.90M,,2001-08,0.335,-0.005,0.33,,2001-08,0.325,-0.005,0.32,,2001-08,0.1375,,2001-08,,
2001-05,178.30M,178.30M,886.70M,-708.40M,-816.00M,12.10M,,,,,-976.10M,267.70M,,,,-4.90M,,218.40M,72.50M,145.90M,,,,145.90M,137.82M,267.70M,,2001-05,0.255,0.00,0.255,,2001-05,0.25,0.00,0.25,,2001-05,0.1375,,2001-05,,
