,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,Restated
2018-05,358.10M,0.00,-20.60M,-10.40M,-31.00M,184.10M,184.10M,-15.20M,,14.20M,,-4.30M,-97.20M,-41.00M,-24.00M,162.30M,147.10M,,147.20M,,705.70M,2018-05,-224.80M,0.50M,-224.30M,-8.038B,,1.70M,-8.260B,,6.050B,364.80M,6.415B,,-0.40M,969.50M,-293.20M,-293.20M,7.90M,-83.70M,7.015B,,953.10M,-539.60M,-14.50M,399.00M,2018-05,,6.05B,-0.10M,-0.40M,,2018-05,Restated
2018-02,952.50M,0.00,-16.60M,-6.60M,-23.20M,143.90M,143.90M,-559.30M,,14.60M,,-8.10M,28.40M,72.20M,-29.00M,36.00M,-75.00M,,32.60M,,568.50M,2018-02,-137.90M,0.30M,-137.60M,-7.80M,,-8.80M,-154.20M,,-99.90M,-90.40M,-190.30M,,-0.70M,-0.70M,-281.30M,-281.30M,40.80M,-7.20M,-438.70M,,962.10M,-24.40M,15.40M,953.10M,2018-02,,0.00,-99.90M,-0.70M,,2018-02,Restated
2017-11,443.80M,,-23.80M,-5.40M,-29.20M,145.70M,145.70M,32.00M,,18.60M,,-30.80M,34.20M,74.30M,30.20M,298.40M,-57.00M,,380.10M,,976.30M,2017-11,-143.70M,0.20M,-143.50M,-0.80M,,-3.60M,-147.90M,,-0.10M,-360.70M,-360.80M,,-0.20M,-0.20M,-280.90M,-280.90M,9.60M,-47.40M,-679.70M,,820.80M,148.70M,-7.40M,962.10M,2017-11,,500.00M,-500.10M,-0.20M,,2017-11,Restated
2017-08,408.60M,,-23.70M,-4.80M,-28.50M,145.10M,145.10M,38.20M,,29.60M,,-13.70M,-88.10M,-89.90M,12.10M,78.60M,69.50M,,-17.80M,,590.50M,2017-08,-116.30M,0.40M,-115.90M,-6.60M,,-0.30M,-122.80M,,0.00,413.80M,413.80M,,-600.30M,-600.30M,-284.30M,-284.30M,41.00M,-21.50M,-451.30M,,766.10M,16.40M,38.30M,820.80M,2017-08,,,0.00,-600.30M,,2017-08,Restated
2017-05,415.60M,0.00,-19.90M,-2.60M,-22.50M,155.30M,155.30M,43.80M,,19.30M,,-61.80M,5.90M,-19.40M,-36.70M,199.90M,24.90M,,174.60M,,756.20M,2017-05,-209.20M,3.00M,-206.20M,-1.50M,,-15.20M,-222.90M,,325.10M,-718.90M,-393.80M,,-0.60M,-0.60M,-278.80M,-278.80M,22.10M,-13.20M,-664.30M,,899.10M,-131.00M,-2.00M,766.10M,2017-05,,322.10M,3.00M,-0.60M,,2017-05,Restated
2017-02,370.20M,0.00,-11.10M,-2.40M,-13.50M,147.20M,147.20M,45.50M,,20.20M,,26.80M,-29.80M,78.60M,55.60M,-80.50M,-51.80M,,-27.90M,,580.30M,2017-02,-156.90M,0.80M,-156.10M,12.50M,,-0.40M,-144.00M,,-252.90M,516.80M,263.90M,,-301.00M,-301.00M,-280.80M,-280.80M,13.50M,-58.70M,-363.10M,,809.70M,73.20M,16.20M,899.10M,2017-02,,750.00M,-1.003B,-301.00M,,2017-02,Restated
2016-11,495.80M,13.50M,-29.80M,-2.30M,-18.60M,148.60M,148.60M,58.60M,,17.40M,,13.90M,36.40M,1.50M,31.90M,29.80M,-112.90M,,-13.30M,,707.90M,2016-11,-164.80M,0.00,-164.80M,1.70M,,10.40M,-152.70M,,-0.10M,744.90M,744.80M,,-950.20M,-950.20M,-284.60M,-284.60M,13.40M,-5.20M,-481.80M,,765.70M,73.40M,-29.40M,809.70M,2016-11,,0.00,-0.10M,-950.20M,,2016-11,Restated
2016-08,419.50M,,-24.20M,-2.40M,-26.60M,152.50M,152.50M,36.00M,,38.80M,,51.80M,-81.70M,-122.20M,-34.20M,-49.70M,-39.80M,,-327.60M,,370.80M,2016-08,-153.50M,0.40M,-153.10M,8.10M,,17.70M,-127.30M,,,419.60M,419.60M,,-399.70M,-399.70M,-290.90M,-290.90M,63.60M,-30.80M,-238.20M,,763.70M,5.30M,-3.30M,765.70M,2016-08,,,,-399.70M,,2016-08,Restated
2016-05,390.40M,52.40M,-23.30M,17.30M,46.40M,166.90M,166.90M,140.10M,,18.10M,,10.80M,41.80M,-56.80M,2.50M,242.80M,-137.80M,,92.50M,,901.70M,2016-05,-251.70M,-0.10M,-251.80M,2.90M,,7.20M,-241.70M,,-0.50M,-378.60M,-379.10M,,-4.90M,-4.90M,-277.10M,-277.10M,68.90M,-107.30M,-699.50M,,782.70M,-39.50M,20.50M,763.70M,2016-05,,-0.40M,-0.10M,-4.90M,,2016-05,Restated
2016-02,367.70M,-1.50M,-16.20M,16.80M,-0.90M,148.70M,148.70M,57.90M,,19.00M,,-44.90M,61.20M,106.90M,-21.20M,19.60M,-17.50M,,149.00M,,706.50M,2016-02,-184.10M,3.30M,-180.80M,-28.90M,,21.80M,-187.90M,,-457.10M,348.50M,-108.60M,,-52.80M,-52.80M,-263.70M,-263.70M,38.50M,7.90M,-378.70M,,649.80M,139.90M,-7.00M,782.70M,2016-02,,542.90M,-1.00B,-52.80M,,2016-02,Restated
2015-11,543.60M,-199.10M,-23.20M,17.30M,-205.00M,148.60M,148.60M,-60.70M,,21.40M,,10.50M,52.70M,79.00M,52.90M,-76.50M,149.10M,,257.20M,,725.10M,2015-11,-146.30M,0.80M,-145.50M,833.40M,,-25.80M,662.10M,,-0.10M,-505.40M,-505.50M,,-396.90M,-396.90M,-264.40M,-264.40M,16.80M,-34.90M,-1.185B,,450.60M,202.30M,-3.10M,649.80M,2015-11,,,-0.10M,-396.90M,,2015-11,Restated
2015-08,435.10M,,-25.70M,18.90M,-6.80M,143.90M,143.90M,-16.70M,,31.30M,,25.20M,-162.60M,-275.20M,-34.30M,132.80M,139.10M,,-200.20M,,430.90M,2015-08,-147.20M,0.40M,-146.80M,1.00M,,6.70M,-139.10M,,-0.20M,211.70M,211.50M,,-152.10M,-152.10M,-266.50M,-266.50M,47.70M,2.50M,-156.90M,,334.20M,134.90M,-18.50M,450.60M,2015-08,,,-0.20M,-152.10M,,2015-08,Restated
2015-05,197.80M,0.00,-18.10M,8.80M,-9.30M,144.60M,144.60M,-23.90M,,21.90M,,217.60M,183.20M,26.60M,-38.80M,164.70M,61.20M,,396.90M,,981.40M,2015-05,-221.50M,9.70M,-211.80M,-10.30M,,28.20M,-193.90M,,228.40M,-1.276B,-1.048B,,-0.20M,-0.20M,-266.40M,-266.40M,60.60M,15.50M,-1.238B,,784.20M,-450.80M,0.80M,334.20M,2015-05,,978.60M,-750.20M,-0.20M,,2015-05,Restated
2015-02,353.80M,,-13.10M,11.40M,-1.70M,153.30M,153.30M,-11.80M,,19.60M,,-55.10M,72.40M,258.80M,-5.10M,-158.60M,64.70M,,232.20M,,698.20M,2015-02,-173.30M,0.20M,-173.10M,-59.80M,,-4.20M,-237.10M,,-2.20M,-155.90M,-158.10M,,-192.90M,-192.90M,-248.10M,-248.10M,67.20M,15.70M,-516.20M,,894.50M,-55.10M,-55.20M,784.20M,2015-02,,0.10M,-2.30M,-192.90M,,2015-02,Restated
2014-11,355.40M,0.00,-27.10M,10.80M,-16.30M,140.10M,140.10M,-14.30M,,19.30M,,248.40M,-103.70M,-72.40M,-64.70M,97.30M,-59.70M,,-203.20M,,533.80M,2014-11,-169.00M,0.80M,-168.20M,-808.50M,,2.70M,-974.00M,,1.003B,290.40M,1.294B,,-530.00M,-530.00M,-248.80M,-248.80M,18.40M,-10.50M,522.80M,,841.20M,82.60M,-29.30M,894.50M,2014-11,,1.003B,0.10M,-530.00M,,2014-11,Restated
2014-08,352.40M,,-26.00M,10.80M,-15.20M,150.30M,150.30M,0.70M,,45.60M,,-17.70M,-145.10M,-237.20M,58.10M,42.40M,70.60M,,-211.20M,,329.40M,2014-08,-148.60M,0.30M,-148.30M,-46.10M,,-2.80M,-197.20M,,-122.10M,631.90M,509.80M,,-438.80M,-438.80M,-254.40M,-254.40M,17.50M,12.80M,-153.10M,,867.30M,-20.90M,-5.20M,841.20M,2014-08,,271.30M,-393.40M,-438.80M,,2014-08,Restated
2014-05,415.40M,,-16.60M,18.70M,-63.40M,143.30M,143.30M,53.00M,,21.10M,,44.50M,166.80M,-58.20M,-26.10M,210.30M,-138.80M,,154.00M,,816.80M,2014-05,-247.10M,1.40M,-245.70M,112.70M,,1.50M,-131.50M,,-700.30M,566.10M,-134.20M,,-342.10M,-342.10M,-253.90M,-253.90M,65.50M,10.80M,-653.90M,,847.10M,31.40M,-11.20M,867.30M,2014-05,,0.00,-700.30M,-342.10M,,2014-05,Restated
2014-02,417.00M,,-22.80M,18.10M,-4.70M,144.50M,144.50M,21.80M,,22.80M,,-54.80M,-207.80M,-30.10M,36.60M,-18.80M,33.90M,,152.70M,,715.30M,2014-02,-147.60M,4.20M,-143.40M,0.90M,,29.60M,-112.90M,,725.80M,-448.30M,277.50M,,-539.30M,-539.30M,-239.60M,-239.60M,15.10M,-29.70M,-516.00M,,774.20M,86.40M,-13.50M,847.10M,2014-02,,750.00M,-24.20M,-539.30M,,2014-02,Restated
2013-11,560.80M,,-26.10M,18.90M,-7.20M,146.60M,146.60M,37.10M,,23.30M,,-12.40M,198.50M,241.60M,-27.60M,-47.10M,-157.50M,,-131.00M,,627.80M,2013-11,-145.00M,-2.00M,-147.00M,-57.90M,,0.70M,-204.20M,,922.60M,-530.80M,391.80M,,-565.70M,-565.70M,-242.30M,-242.30M,15.80M,-16.50M,-416.90M,,758.90M,6.70M,8.60M,774.20M,2013-11,,923.00M,-0.40M,-565.70M,,2013-11,Restated
2013-08,468.10M,,-24.10M,18.70M,-5.40M,151.00M,151.00M,-8.70M,,41.30M,,-72.30M,-198.50M,-241.60M,27.60M,47.10M,157.50M,,-207.90M,,381.10M,2013-08,-123.80M,3.00M,-120.80M,11.00M,,-3.40M,-113.20M,,-719.90M,985.90M,266.00M,,-298.20M,-298.20M,-247.50M,-247.50M,11.70M,30.70M,-237.30M,,741.40M,30.60M,-13.10M,758.90M,2013-08,,0.00,-719.90M,-298.20M,,2013-08,Restated
2013-05,376.80M,,-21.50M,-172.20M,-193.70M,155.70M,155.70M,93.60M,,18.20M,,72.50M,132.20M,38.40M,-113.30M,199.90M,-50.60M,,206.60M,,780.30M,2013-05,-201.70M,1.90M,-199.80M,-34.40M,,0.00,-234.20M,,0.70M,-80.50M,-79.80M,,-300.10M,-300.10M,-216.00M,-216.00M,43.20M,11.80M,-540.90M,,751.20M,5.20M,-15.00M,741.40M,2013-05,,1.10M,-0.40M,-300.10M,,2013-05,Restated
2013-02,412.60M,,-21.30M,26.60M,5.30M,146.20M,146.20M,-31.10M,,20.90M,,51.50M,75.80M,167.50M,-0.50M,-59.90M,18.00M,,200.90M,,828.60M,2013-02,-148.10M,18.80M,-129.30M,-48.50M,,-0.20M,-178.00M,,979.70M,-1.256B,-276.70M,,-265.60M,-265.60M,-217.10M,-217.10M,104.90M,21.50M,-633.00M,,734.90M,17.60M,-1.30M,751.20M,2013-02,,1.00B,-20.30M,-265.60M,,2013-02,Restated
2012-11,541.00M,,-32.90M,26.50M,-6.40M,146.90M,146.90M,-14.40M,,23.00M,,-61.70M,-108.80M,136.80M,54.90M,-53.30M,164.50M,,194.10M,,828.30M,2012-11,-123.50M,3.20M,-120.30M,-831.20M,,1.90M,-949.60M,,-521.20M,136.50M,-384.70M,,-206.70M,-206.70M,-216.70M,-216.70M,113.70M,35.30M,-659.10M,,1.508B,-780.40M,6.90M,734.90M,2012-11,,0.00,-521.20M,-206.70M,,2012-11,Restated
2012-08,562.10M,,-23.10M,27.10M,4.00M,139.20M,139.20M,-69.30M,,38.30M,,-92.00M,-143.80M,-324.00M,-5.40M,176.90M,165.80M,,-130.50M,,488.80M,2012-08,-140.60M,0.30M,-140.30M,-24.30M,,11.00M,-153.60M,,-0.40M,1.156B,1.156B,,-272.50M,-272.50M,-217.80M,-217.80M,39.00M,-11.40M,692.80M,,471.20M,1.028B,9.20M,1.508B,2012-08,,,-0.40M,-272.50M,,2012-08,Restated
2012-05,334.80M,,-15.50M,-187.30M,-202.80M,142.70M,142.70M,95.10M,,19.90M,,154.00M,90.80M,32.70M,3.00M,88.90M,-38.30M,,177.10M,,745.60M,2012-05,-252.00M,0.80M,-251.20M,-150.10M,,0.20M,-401.10M,,-10.80M,-157.00M,-167.80M,,-0.50M,-0.50M,-200.60M,-200.60M,25.00M,-1.20M,-345.10M,,485.30M,-0.60M,-13.50M,471.20M,2012-05,,0.00,-10.80M,-0.50M,,2012-05,Restated
2012-02,400.80M,,-15.50M,12.50M,-3.00M,135.50M,135.50M,-17.40M,,22.20M,,-133.10M,90.60M,113.10M,0.40M,-87.90M,-22.90M,,93.30M,,505.10M,2012-02,-159.10M,0.10M,-159.00M,0.00,,0.00,-159.00M,,-39.70M,-163.90M,-203.60M,,-101.70M,-101.70M,-200.00M,-200.00M,109.30M,18.50M,-377.50M,,509.10M,-31.40M,7.60M,485.30M,2012-02,,1.390B,-1.430B,-101.70M,,2012-02,Restated
2011-11,449.20M,,-28.90M,14.90M,-14.00M,137.80M,137.80M,-1.30M,,21.70M,,9.30M,-48.70M,134.00M,90.50M,-59.80M,-7.80M,,108.20M,,715.70M,2011-11,-132.00M,1.00M,-131.00M,-22.10M,,0.10M,-153.00M,,-2.50M,-163.80M,-166.30M,,-100.90M,-100.90M,-199.20M,-199.20M,75.20M,15.30M,-375.90M,,338.20M,186.80M,-15.90M,509.10M,2011-11,,,-2.50M,-100.90M,,2011-11,Restated
2011-08,404.30M,,-28.30M,15.50M,-12.80M,125.50M,125.50M,9.90M,,44.50M,,-27.40M,-156.90M,-135.30M,55.50M,70.90M,31.00M,,-134.80M,,440.80M,2011-08,-132.80M,0.30M,-132.50M,-900.10M,,-125.10M,-1.158B,,-6.60M,712.60M,706.00M,,-109.90M,-109.90M,-200.30M,-200.30M,24.00M,12.10M,431.90M,,619.60M,-285.00M,3.60M,338.20M,2011-08,,,-6.60M,-109.90M,,2011-08,Restated
2011-05,321.10M,-3.10M,-29.80M,-191.00M,-223.90M,118.10M,118.10M,68.40M,,23.90M,,42.60M,40.50M,64.60M,-63.00M,104.90M,-255.50M,,-108.50M,,283.00M,2011-05,-225.40M,0.60M,-224.80M,-29.00M,,5.60M,-248.20M,,698.10M,-664.20M,33.90M,,0.00,0.00,-181.90M,-181.90M,154.10M,25.00M,31.10M,,540.30M,65.90M,13.40M,619.60M,2011-05,,700.00M,-1.90M,0.00,,2011-05,Restated
2011-02,393.50M,-14.30M,-29.70M,13.00M,-31.00M,124.30M,124.30M,8.60M,,21.70M,,-23.90M,125.00M,43.40M,0.20M,-12.70M,-31.90M,,124.00M,,648.60M,2011-02,-139.10M,-3.70M,-142.80M,-61.70M,1.90M,2.10M,-200.50M,,-1.90M,-196.20M,-198.10M,,-199.90M,-199.90M,-547.50M,-181.20M,71.20M,18.70M,-489.30M,,566.30M,-41.20M,15.20M,540.30M,2011-02,,-117.80M,-1.90M,-199.90M,,2011-02,
2010-11,615.30M,,-31.90M,14.90M,-17.00M,118.90M,118.90M,-0.30M,,21.80M,,13.50M,-114.20M,-32.00M,-27.20M,-59.30M,-97.60M,,-330.30M,,421.90M,2010-11,-151.70M,5.40M,-146.30M,0.00,0.00,0.10M,-146.20M,,-1.80M,-181.20M,-183.00M,,-175.20M,-175.20M,,-182.20M,97.00M,18.00M,-425.40M,,697.00M,-149.70M,19.00M,566.30M,2010-11,,-181.20M,-1.80M,-175.20M,,2010-11,Restated
2010-08,473.60M,,-5.00M,15.90M,10.90M,111.30M,111.30M,22.40M,,37.90M,,-72.40M,-121.10M,-316.00M,-6.00M,76.10M,-39.10M,,-406.10M,,177.60M,2010-08,-132.60M,1.80M,-130.80M,0.00,-1.90M,12.50M,-120.20M,,498.20M,299.00M,797.20M,,-788.40M,-788.40M,,-184.10M,88.10M,29.90M,-57.30M,,673.20M,0.10M,23.70M,697.00M,2010-08,,799.00M,-1.80M,-788.40M,,2010-08,Restated
2010-05,212.70M,,-47.80M,-18.00M,-65.80M,116.80M,116.80M,-91.70M,,24.30M,86.20M,-42.10M,123.80M,119.60M,-63.60M,123.50M,-84.30M,75.60M,294.60M,,623.00M,2010-05,-231.00M,0.30M,-230.70M,-130.70M,121.80M,3.10M,-236.50M,,-401.90M,469.90M,68.00M,-321.20M,-367.50M,-688.70M,,-165.40M,388.80M,27.90M,-369.40M,,691.30M,17.10M,-35.20M,673.20M,2010-05,-321.20M,234.10M,-401.90M,-367.50M,,2010-05,Restated
2010-02,333.50M,,-22.70M,-27.40M,-50.10M,112.40M,112.40M,-25.30M,,22.60M,-39.60M,99.70M,-3.30M,133.90M,97.30M,-20.70M,-13.70M,-75.60M,117.90M,,571.10M,2010-02,-161.40M,0.50M,-160.90M,0.00,-121.80M,13.10M,-269.60M,,-501.80M,141.20M,-360.60M,132.10M,-88.90M,43.20M,,-165.40M,,39.50M,-443.30M,,858.40M,-141.80M,-25.30M,691.30M,2010-02,132.10M,141.20M,-501.80M,-88.90M,,2010-02,Restated
2009-11,566.80M,,-23.80M,-5.70M,-29.50M,116.80M,116.80M,27.50M,0.70M,22.90M,-46.60M,23.70M,-60.60M,27.20M,-74.70M,-77.30M,215.10M,,29.70M,,712.00M,2009-11,-131.20M,0.90M,-130.30M,0.00,-0.80M,33.10M,-98.00M,,-1.10M,-476.70M,-477.80M,189.10M,-1.50M,187.60M,,-156.70M,-75.40M,31.90M,-490.40M,,711.60M,123.60M,23.20M,858.40M,2009-11,189.10M,-375.30M,-1.10M,-1.50M,,2009-11,Restated
2009-08,422.00M,,-7.40M,-4.00M,-11.40M,111.10M,111.10M,-2.20M,-0.70M,37.50M,,17.60M,-181.00M,-297.40M,94.50M,44.10M,41.00M,,-298.80M,,275.10M,2009-08,-126.30M,5.70M,-120.60M,,0.80M,2.70M,-117.10M,,-2.10M,101.40M,99.30M,,-233.90M,-233.90M,,-156.20M,75.40M,14.70M,-200.70M,,749.80M,-42.70M,4.50M,711.60M,2009-08,,0.00,-2.10M,-233.90M,,2009-08,
2009-05,368.10M,,26.40M,-215.40M,-273.90M,120.00M,120.00M,237.30M,32.90M,19.20M,,157.60M,212.20M,33.40M,-41.90M,21.20M,-187.80M,,37.10M,,698.30M,2009-05,-211.50M,-190.40M,-401.90M,,12.70M,11.90M,-132.60M,,-12.20M,-614.80M,-627.00M,,-64.00M,241.20M,,-141.70M,-286.60M,-4.50M,-818.60M,,937.30M,-252.90M,65.40M,749.80M,2009-05,,0.00,763.50M,-64.00M,,2009-05,Restated
2009-02,288.90M,,-5.10M,-12.70M,-17.80M,110.00M,110.00M,-25.50M,-1.10M,13.50M,,-10.00M,97.90M,225.40M,112.80M,-136.50M,108.50M,,408.10M,,766.10M,2009-02,-109.70M,1.50M,-108.20M,,-16.70M,27.20M,-97.70M,,1.051B,-775.70M,275.30M,,-26.60M,-26.60M,,-143.90M,20.10M,-506.60M,-381.70M,,639.60M,286.70M,11.00M,937.30M,2009-02,,1.15B,-874.70M,-26.60M,,2009-02,Restated
2008-11,378.20M,,-30.50M,-9.10M,-39.60M,112.00M,112.00M,-50.30M,-0.10M,29.80M,,-182.00M,-124.70M,-39.70M,-142.80M,-13.90M,211.00M,,-110.10M,,137.90M,2008-11,-112.80M,192.80M,80.00M,,5.80M,-19.40M,66.40M,,-27.50M,,-27.50M,,-706.90M,-706.90M,,-146.40M,104.70M,644.20M,-131.90M,,654.90M,72.40M,-87.70M,639.60M,2008-11,,0.00,-27.50M,-706.90M,,2008-11,Restated
2008-08,278.50M,,-14.20M,-10.60M,-24.80M,111.60M,111.60M,-34.80M,-0.40M,55.20M,,-1.20M,-103.60M,-247.20M,102.10M,12.80M,77.70M,,-158.20M,,225.90M,2008-08,-128.60M,0.20M,-128.40M,,4.10M,-0.70M,-125.00M,,468.40M,,468.40M,,-498.90M,-498.90M,,-147.50M,161.80M,-56.10M,-72.30M,,661.00M,28.60M,-34.70M,654.90M,2008-08,,700.00M,-231.60M,-498.90M,,2008-08,Restated
