,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-12,1.499B,408.08M,1.907B,1.724B,435.88M,2.220B,185.58M,187.90M,,,2.427M,4.503B,0.00,42.08M,437.28M,2.080B,,336.51M,2.289B,5.186B,-2.397B,2.789B,9.294B,1.687B,10.98B,167.49M,,73.56M,14.01B,18.51B,,513.95M,29.29M,385.79M,929.03M,161.94M,1.091B,,,,129.04M,,129.04M,437.20M,2.399B,9.001B,,9.001B,726.96M,726.96M,213.39M,864.07M,439.23M,11.03B,13.43B,,0.217M,4.357B,1.118B,544.77M,,,-59.83M,4.871B,,AOR,Restated
2015-09,1.047B,922.85M,1.970B,1.700B,416.93M,2.166B,173.05M,,,253.07M,175.72M,4.738B,,,,,,,,4.927B,-2.305B,2.622B,9.488B,1.827B,11.31B,158.28M,,62.39M,14.16B,18.89B,,487.94M,,340.14M,828.09M,,828.09M,,,,114.62M,,114.62M,632.33M,2.411B,9.082B,,9.082B,906.81M,906.81M,201.84M,897.14M,406.04M,11.29B,13.70B,,0.217M,4.363B,1.106B,424.70M,,,-54.34M,4.990B,,AOR,Restated
2015-06,933.74M,942.14M,1.876B,1.667B,456.50M,2.317B,159.35M,,,239.01M,189.53M,4.781B,,,,,,,,4.772B,-2.207B,2.565B,9.451B,1.868B,11.32B,160.04M,,121.77M,14.17B,18.95B,,490.46M,,339.93M,830.39M,,830.39M,,,,108.80M,,108.80M,716.25M,2.334B,9.101B,,9.101B,900.96M,900.96M,200.07M,863.13M,400.48M,11.27B,13.60B,,0.217M,4.147B,1.128B,84.11M,,,-44.38M,5.147B,,AOR,Restated
2015-03,1.011B,422.36M,1.434B,1.675B,423.71M,2.099B,145.74M,,,436.36M,186.16M,4.301B,,,,,,,,4.624B,-2.124B,2.501B,9.431B,1.904B,11.34B,161.46M,,68.25M,14.07B,18.37B,,423.99M,23.13M,304.20M,751.32M,,751.32M,495.00M,,,118.08M,,118.08M,581.41M,2.680B,8.380B,,8.380B,880.82M,880.82M,199.30M,848.39M,407.07M,10.52B,13.20B,,0.216M,3.976B,1.112B,70.06M,,,-47.62M,4.971B,,AOR,Restated
2014-12,965.24M,337.40M,1.303B,1.526B,400.92M,2.011B,136.08M,183.74M,,,3.10M,3.636B,0.00,35.88M,387.62M,1.837B,,235.66M,2.003B,4.499B,-2.030B,2.469B,9.415B,1.865B,11.28B,155.03M,,77.00M,13.98B,17.62B,,445.45M,25.91M,354.21M,825.58M,180.15M,1.006B,,,,120.15M,,120.15M,264.30M,2.089B,8.299B,,8.299B,650.08M,650.08M,189.80M,829.96M,389.81M,10.17B,12.26B,,0.216M,4.087B,1.108B,0.00,,,-25.02M,5.171B,,AOR,Restated
2014-09,1.527B,142.12M,1.669B,1.469B,346.71M,1.815B,114.68M,,,407.07M,172.26M,4.178B,,,,,,,,4.357B,-1.998B,2.359B,9.345B,1.998B,11.34B,154.04M,,67.33M,13.92B,18.10B,,442.18M,48.73M,306.08M,796.99M,,796.99M,414.00M,,,121.53M,,121.53M,503.20M,2.598B,8.381B,,8.381B,844.19M,844.19M,176.43M,758.74M,368.48M,10.35B,12.95B,,0.215M,3.879B,1.107B,,,,-11.62M,4.975B,,AOR,Restated
2014-06,1.421B,63.84M,1.485B,1.550B,455.62M,2.013B,99.65M,,,399.36M,164.59M,4.161B,,,,,,,,4.227B,-1.936B,2.291B,9.254B,2.023B,11.28B,130.46M,,66.11M,13.76B,17.93B,,405.75M,,304.55M,710.30M,,710.30M,397.00M,291.91M,117.08M,408.99M,,408.99M,465.24M,2.608B,8.391B,,8.391B,823.74M,823.74M,171.05M,760.24M,386.03M,10.36B,12.97B,,0.215M,3.695B,1.090B,,,,0.666M,4.786B,,AOR,Restated
2014-03,1.108B,8.08M,1.116B,1.540B,374.02M,1.914B,101.17M,,,406.54M,169.63M,3.707B,,,,,,,,4.082B,-1.858B,2.224B,9.242B,2.026B,11.27B,121.76M,,76.91M,13.69B,17.40B,,392.91M,83.05M,284.76M,760.72M,,760.72M,397.00M,,,292.22M,,292.22M,486.56M,2.566B,8.072B,,8.072B,822.84M,822.84M,178.07M,692.78M,407.29M,9.995B,12.56B,,0.214M,3.547B,1.114B,,,,-1.639M,4.660B,,AOR,Restated
2013-12,946.25M,6.801M,953.05M,1.485B,349.09M,1.845B,88.80M,173.19M,,409.44M,3.22M,3.472B,0.00,34.96M,158.00M,1.840B,,172.26M,1.762B,3.968B,-1.778B,2.189B,9.213B,2.024B,11.24B,120.24M,,79.60M,13.63B,17.10B,,435.46M,18.37M,318.67M,772.50M,130.54M,903.05M,397.00M,,274.70M,274.70M,,274.70M,284.29M,2.462B,8.141B,,8.141B,812.42M,812.42M,173.06M,697.30M,380.34M,10.03B,12.49B,,0.213M,3.364B,1.071B,,,,-2.645M,4.432B,,AOR,Restated
2013-09,970.69M,6.796M,977.49M,1.404B,295.54M,1.764B,84.90M,,,398.14M,156.94M,3.381B,,,,,,,,3.748B,-1.699B,2.048B,9.144B,2.060B,11.20B,114.03M,,79.83M,13.45B,16.83B,,358.40M,,270.76M,629.16M,,629.16M,397.00M,,,259.77M,,259.77M,481.84M,2.453B,8.181B,,8.181B,769.71M,769.71M,169.44M,621.23M,364.38M,9.937B,12.39B,,0.213M,3.152B,1.120B,0.00,,,-4.214M,4.268B,,AOR,Restated
