,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2018-06,2.718B,2.887B,2.069B,817.86M,264.09M,264.09M,11.24M,19.61M,-2.10M,119.69M,-119.69M,,409.07M,408.79M,119.69M,-119.69M,31.40M,-119.69M,320.49M,83.87M,236.63M,69.70M,-39.05M,267.28M,183.11M,587.26M,147.08M,440.19M,,1.16,0.40,,1.076,1.56,,1.15,0.38,,1.067,1.53,,171.62M,174.11M,,AOR,Restated
2018-03,2.591B,2.849B,2.036B,813.86M,266.53M,266.53M,,0.00,-6.00M,113.52M,-113.52M,,403.33M,410.53M,113.52M,-113.52M,4.737M,-113.52M,301.75M,70.74M,231.02M,-5.786M,-46.54M,178.69M,184.47M,558.07M,142.80M,415.27M,,1.07,-0.07,,1.07,1.00,,1.05,-0.07,,1.05,0.98,,178.96M,181.83M,,AOR,Restated
2017-12,2.615B,2.781B,1.942B,839.23M,265.42M,265.42M,280.07M,-281.57M,-5.652M,109.00M,-109.00M,,404.14M,435.09M,109.00M,-109.00M,-279.26M,-109.00M,46.82M,-150.27M,197.09M,143.59M,-37.28M,303.40M,328.75M,339.78M,183.96M,155.82M,,0.86,0.80,,1.787,1.66,,0.85,0.79,,1.764,1.64,,182.26M,184.83M,,AOR,Restated
2017-09,2.562B,2.765B,1.952B,813.46M,272.91M,272.91M,0.00,0.00,-2.685M,109.31M,-109.31M,,412.86M,400.60M,109.31M,-109.31M,-1.912M,-109.31M,289.38M,90.55M,198.84M,-370.87M,-42.44M,-214.48M,156.40M,601.97M,203.28M,398.69M,,0.81,-1.95,,0.81,-1.14,,0.80,-1.95,,0.80,-1.14,,188.88M,191.41M,,AOR,Restated
2017-06,2.495B,2.699B,1.895B,804.74M,262.80M,262.80M,,-10.50M,-0.606M,107.93M,-107.93M,,402.22M,402.52M,107.93M,-107.93M,-6.525M,-107.93M,288.06M,101.92M,186.14M,-24.52M,-34.62M,127.00M,158.30M,596.03M,200.04M,395.99M,,0.79,-0.13,,0.8255,0.66,,0.78,-0.13,,0.8150,0.65,,191.09M,193.99M,,AOR,Restated
2017-03,2.423B,2.631B,1.852B,779.21M,262.90M,262.90M,15.17M,493.73M,1.91M,104.40M,-104.40M,,397.69M,381.52M,104.40M,-104.40M,498.40M,-104.40M,775.52M,281.66M,493.85M,6.433M,-52.59M,447.70M,126.85M,1.070B,190.21M,879.91M,,2.29,0.04,,0.6556,2.33,,2.26,0.03,,0.6500,2.29,,192.38M,195.28M,,AOR,Restated
2016-12,2.471B,2.699B,1.883B,816.64M,285.10M,285.10M,0.00,-43.41M,1.821M,103.93M,-103.93M,,418.01M,398.63M,103.93M,-103.93M,-35.03M,-103.93M,259.67M,83.17M,176.50M,11.77M,-30.54M,157.73M,175.46M,552.38M,188.78M,363.60M,,0.74,0.07,,0.8921,0.81,,0.73,0.07,,0.8800,0.80,,194.00M,196.74M,,AOR,Restated
2016-09,3.516B,3.731B,2.698B,1.033B,406.89M,406.89M,,374.37M,3.773M,104.58M,-104.58M,,592.40M,440.54M,104.58M,-104.58M,380.49M,-104.58M,716.45M,104.30M,612.15M,,-40.82M,571.33M,251.46M,1.003B,181.74M,821.03M,,2.80,,,1.230,2.80,,2.76,,,1.214,2.76,,203.76M,206.96M,,AOR,Restated
2016-06,3.483B,3.718B,2.671B,1.047B,386.90M,386.90M,,-146.21M,3.566M,102.89M,-102.89M,,570.84M,475.78M,102.89M,-102.89M,-143.50M,-102.89M,229.39M,134.89M,94.50M,,-41.12M,53.38M,141.11M,512.67M,180.38M,332.28M,,0.26,,,0.6890,0.26,,0.26,,,0.6817,0.26,,204.50M,208.05M,,AOR,Restated
2016-03,3.369B,3.581B,2.582B,998.80M,386.43M,386.43M,,-77.00M,2.517M,102.88M,-102.88M,,558.30M,440.50M,102.88M,-102.88M,-72.64M,-102.88M,264.98M,126.82M,138.16M,,-40.72M,97.43M,143.63M,537.22M,169.36M,367.86M,,0.48,,,0.7061,0.48,,0.47,,,0.6922,0.47,,204.37M,207.93M,,AOR,Restated
2015-12,-537.53M,-266.00M,-453.64M,187.64M,-12.13M,-12.13M,,-0.001M,2.743M,103.26M,-103.26M,,-20.17M,207.81M,103.26M,-103.26M,7.005M,-103.26M,111.56M,23.62M,87.94M,,-40.47M,-6.00M,47.47M,378.15M,163.33M,214.82M,,-0.03,,,-0.0300,-0.03,,-0.03,,,-0.0300,-0.03,,208.73M,212.74M,,AOR,Restated
2015-09,3.341B,3.526B,2.501B,1.025B,353.49M,353.49M,,0.00,2.511M,103.48M,-103.48M,,518.06M,506.58M,103.48M,-103.48M,5.267M,-103.48M,408.37M,147.06M,261.31M,,-45.44M,215.87M,215.87M,673.91M,162.06M,511.85M,,1.02,,,1.02,1.02,,1.00,,,1.00,1.00,,212.37M,216.69M,,AOR,Restated
2015-06,3.230B,3.435B,2.446B,988.54M,347.96M,347.96M,,-4.065M,2.159M,104.25M,-152.32M,,508.96M,479.58M,104.25M,-152.32M,3.279M,-152.32M,330.54M,122.76M,207.78M,,-37.30M,170.48M,173.03M,593.63M,158.84M,434.79M,,0.80,,,0.8120,0.80,,0.78,,,0.7917,0.78,,212.99M,217.61M,,AOR,Restated
2015-03,3.122B,3.288B,2.363B,925.35M,341.80M,341.80M,,-495.00M,1.827M,97.39M,-97.39M,,497.42M,427.94M,97.39M,-97.39M,-492.62M,-97.39M,-162.08M,-85.93M,-76.15M,,-34.47M,-110.62M,186.38M,89.10M,153.79M,-64.69M,,-0.52,,,0.8718,-0.52,,-0.52,,,0.8718,-0.52,,213.39M,213.39M,,AOR,Restated
2014-12,3.150B,3.328B,2.366B,961.56M,355.99M,355.99M,,,4.773M,97.95M,-97.95M,0.00,514.01M,447.54M,97.95M,-97.95M,4.771M,-97.95M,354.36M,103.98M,250.39M,,-42.37M,208.02M,208.02M,605.91M,153.60M,452.31M,,0.98,0.00,,0.98,0.98,,0.96,0.00,,0.96,0.96,,212.95M,217.63M,,AOR,Restated
2014-09,3.091B,3.252B,2.327B,925.29M,322.82M,322.82M,,,3.961M,99.88M,-99.88M,17.00M,492.98M,432.31M,99.88M,-99.88M,3.979M,-99.88M,336.41M,116.63M,219.78M,,-35.66M,184.12M,184.12M,585.49M,148.86M,436.29M,,0.87,,,0.87,0.87,,0.85,,,0.85,0.85,,212.62M,217.24M,,AOR,Restated
2014-06,2.987B,3.172B,2.247B,925.95M,298.64M,298.64M,,0.00,3.208M,106.13M,-203.68M,,447.75M,478.20M,106.13M,-203.68M,7.788M,-203.68M,282.31M,100.89M,181.42M,,-33.74M,147.68M,147.68M,534.35M,145.90M,388.44M,,0.70,,,0.70,0.70,,0.68,,,0.68,0.68,,212.26M,216.72M,,AOR,Restated
2014-03,2.902B,3.043B,2.180B,863.00M,284.06M,284.06M,,,2.511M,106.34M,-106.34M,,429.15M,433.85M,106.34M,-106.34M,9.07M,-106.34M,336.59M,124.85M,211.74M,,-28.45M,183.29M,183.29M,585.50M,142.56M,442.92M,,0.87,,,0.87,0.87,,0.85,,,0.85,0.85,,211.38M,216.12M,,AOR,Restated
2013-12,2.919B,3.063B,2.128B,935.38M,318.83M,318.83M,,0.00,1.216M,107.61M,-107.61M,0.00,459.52M,475.86M,107.61M,-107.61M,11.77M,-107.61M,380.02M,135.75M,244.27M,0.00,-32.00M,212.28M,212.28M,627.10M,138.73M,487.63M,,1.01,0.00,,1.01,1.01,,0.99,0.00,,0.99,0.99,,210.58M,215.16M,,AOR,Restated
2013-09,2.874B,3.000B,2.095B,904.25M,305.14M,305.14M,,0.00,1.498M,108.42M,-108.42M,97.00M,536.40M,367.85M,108.42M,-108.42M,11.34M,-108.42M,270.77M,100.93M,169.84M,0.00,-33.21M,136.63M,136.63M,512.19M,133.00M,379.19M,,0.65,0.00,,0.65,0.65,,0.64,0.00,,0.64,0.64,,210.39M,214.90M,,AOR,Restated
2013-06,2.759B,2.872B,2.014B,857.35M,268.11M,268.11M,,56.98M,1.26M,108.10M,-108.10M,,399.96M,457.39M,108.10M,-108.10M,63.25M,-108.10M,412.55M,129.19M,283.36M,0.00,-28.98M,254.38M,215.24M,651.27M,130.63M,520.65M,,1.21,0.00,,1.023,1.21,,1.18,0.00,,0.9979,1.18,,209.80M,214.85M,,AOR,Restated
2013-03,2.742B,2.830B,1.961B,868.69M,284.41M,284.41M,,,0.878M,105.82M,-105.82M,300.00M,711.20M,157.49M,105.82M,-105.82M,9.965M,-105.82M,61.64M,15.14M,46.50M,13.24M,-29.57M,30.16M,16.93M,293.37M,125.76M,167.46M,,0.08,0.06,,0.08,0.14,,0.08,0.06,,0.08,0.14,,208.97M,214.13M,,AOR,Restated
2012-12,2.366B,2.478B,1.707B,770.39M,273.77M,273.77M,,0.00,0.805M,95.97M,-106.93M,6.545M,390.40M,379.99M,95.97M,-106.93M,9.102M,-106.93M,282.16M,97.90M,184.26M,-0.46M,-27.96M,155.84M,156.30M,487.67M,109.54M,378.13M,,0.775,-0.005,,0.775,0.77,,0.755,-0.005,,0.755,0.755,,202.29M,207.02M,,AOR,Restated
2012-09,1.859B,1.946B,1.327B,618.52M,197.91M,197.91M,,0.00,1.39M,70.49M,-70.49M,1.292M,280.69M,337.82M,70.49M,-70.49M,3.883M,-70.49M,271.21M,98.65M,172.56M,-0.013M,-27.83M,144.72M,144.73M,422.29M,80.59M,341.70M,,0.76,0.00,,0.76,0.76,,0.75,0.00,,0.75,0.75,,189.96M,193.27M,,AOR,Restated
2012-06,1.814B,1.913B,1.299B,613.68M,212.79M,212.79M,,0.00,1.038M,60.71M,-60.71M,78.00M,369.04M,244.64M,60.71M,-60.71M,3.458M,-60.71M,187.39M,67.74M,119.65M,0.352M,-24.67M,95.34M,94.98M,325.91M,77.81M,248.10M,,0.505,0.00,,0.505,0.505,,0.495,0.00,,0.495,0.495,,188.34M,192.00M,,AOR,Restated
2012-03,1.765B,1.850B,1.249B,600.14M,205.40M,205.40M,,,1.106M,61.38M,-61.38M,,281.89M,318.25M,61.38M,-61.38M,3.671M,-61.38M,260.54M,95.56M,164.98M,-0.101M,-24.76M,140.12M,140.22M,397.90M,75.98M,321.92M,,0.75,-0.005,,0.75,0.745,,0.73,-0.005,,0.73,0.73,,187.54M,191.46M,,AOR,Restated
2011-12,1.534B,1.750B,1.167B,583.67M,186.68M,186.68M,,21.80M,-1.418M,61.75M,-61.75M,,262.40M,321.27M,61.75M,-61.75M,33.56M,-61.75M,293.08M,101.26M,191.82M,-15.69M,-28.01M,148.12M,149.54M,427.82M,72.99M,354.83M,,0.87,-0.075,,0.7937,0.795,,0.855,-0.075,,0.7799,0.78,,186.94M,189.91M,,AOR,Restated
2011-09,1.758B,1.758B,1.190B,568.19M,182.64M,182.64M,,0.798M,1.903M,60.85M,-60.85M,-2.619M,249.48M,318.71M,60.85M,-60.85M,0.798M,-60.85M,258.66M,94.20M,164.46M,-2.612M,-26.48M,135.36M,137.47M,387.33M,67.82M,319.51M,,0.74,-0.015,,0.7373,0.725,,0.725,-0.015,,0.7223,0.71,,186.88M,190.34M,,AOR,Restated
2011-06,1.661B,1.661B,1.163B,498.10M,163.79M,163.79M,,-23.44M,1.852M,59.90M,-59.90M,-2.417M,227.47M,270.62M,59.90M,-59.90M,-23.44M,-59.90M,187.28M,66.87M,120.41M,0.253M,-20.65M,100.02M,114.84M,311.65M,64.47M,247.18M,,0.525,0.00,,0.6039,0.525,,0.51,0.00,,0.5872,0.515,,190.98M,195.32M,,AOR,Restated
2011-03,1.562B,1.562B,1.114B,448.23M,,151.60M,,2.36M,0.972M,58.60M,-58.60M,,214.41M,233.82M,58.60M,-58.60M,2.36M,-58.60M,177.58M,62.96M,114.62M,0.131M,-20.25M,94.50M,92.85M,298.21M,62.04M,236.18M,,0.49,0.00,,0.4821,0.49,,0.48,0.00,,0.4723,0.48,,192.53M,196.76M,,AOR,Restated
2010-12,1.258B,1.428B,1.094B,334.72M,,150.40M,,,-123.88M,53.88M,-128.26M,,91.21M,243.51M,53.88M,-128.26M,14.22M,-128.26M,129.46M,38.68M,90.78M,1.667M,-23.42M,69.02M,67.35M,243.41M,60.07M,183.34M,,0.355,0.01,,0.355,0.365,,0.35,0.01,,0.35,0.36,,194.10M,198.02M,,AOR,Restated
2010-09,1.650B,1.650B,1.144B,505.08M,,148.04M,,0.759M,43.76M,39.49M,-39.49M,-1.789M,248.34M,256.74M,39.49M,-39.49M,0.759M,-39.49M,218.01M,75.04M,142.98M,-0.095M,-23.49M,119.39M,118.98M,315.99M,58.49M,257.50M,,0.58,0.00,,0.5776,0.58,,0.575,0.00,,0.5726,0.575,,205.22M,208.04M,,AOR,
2010-06,1.587B,1.587B,1.111B,476.36M,,136.10M,,-3.388M,42.37M,43.66M,-43.66M,-2.834M,233.99M,242.36M,43.66M,-43.66M,-3.388M,-43.66M,195.32M,71.43M,123.89M,,-16.04M,107.85M,110.00M,297.33M,58.35M,238.98M,,0.525,0.00,,0.5354,0.525,,0.52,0.00,,0.5303,0.52,,206.01M,208.90M,,AOR,Restated
2010-03,1.559B,1.559B,1.083B,476.63M,,137.28M,,0.831M,41.56M,44.58M,-44.58M,-2.345M,233.96M,242.67M,44.58M,-44.58M,0.831M,-44.58M,198.91M,73.91M,125.00M,,-15.58M,109.42M,108.90M,300.96M,57.47M,243.50M,,0.525,0.00,,0.5225,0.525,,0.52,0.00,,0.5175,0.52,,206.73M,209.53M,,AOR,Restated
2009-12,1.568B,1.568B,1.095B,473.16M,,137.16M,,0.682M,41.80M,44.83M,-44.83M,-1.376M,234.45M,238.71M,44.83M,-44.83M,0.682M,-44.83M,194.56M,68.98M,125.58M,,-15.86M,109.72M,109.28M,296.26M,56.86M,239.39M,,0.535,0.00,,0.5329,0.535,,0.53,0.00,,0.5279,0.53,,205.40M,207.45M,,AOR,Restated
2009-09,1.574B,1.574B,1.096B,478.06M,,134.93M,,0.999M,42.02M,45.54M,-45.54M,-0.708M,233.06M,245.00M,45.54M,-45.54M,0.999M,-45.54M,200.46M,74.20M,126.27M,,-15.34M,110.93M,110.30M,302.81M,56.81M,246.00M,,0.535,0.00,,0.5320,0.535,,0.53,0.00,,0.5270,0.53,,208.25M,209.21M,,AOR,Restated
2009-06,1.519B,1.519B,1.052B,467.16M,,132.17M,,1.273M,41.23M,47.09M,-47.09M,-0.376M,231.21M,235.95M,47.09M,-47.09M,1.273M,-47.09M,190.14M,70.51M,119.63M,,-13.81M,105.82M,105.02M,295.41M,58.18M,237.23M,,0.51,0.00,,0.5061,0.51,,0.51,0.00,,0.5061,0.51,,207.41M,207.85M,,AOR,Restated
2009-03,1.448B,1.448B,1.006B,441.75M,,127.27M,,0.754M,36.74M,48.30M,-48.30M,0.018M,221.15M,220.60M,48.30M,-48.30M,0.754M,-48.30M,173.06M,64.78M,108.27M,,-12.06M,96.21M,95.74M,278.48M,57.12M,221.36M,,0.465,0.00,,0.4627,0.465,,0.46,0.00,,0.4577,0.46,,207.76M,208.82M,,AOR,Restated
2008-12,1.461B,1.461B,1.011B,449.67M,,24.23M,,2.08M,,,,-35.96M,190.74M,258.93M,,,2.08M,,205.19M,59.66M,145.52M,,-11.99M,98.36M,96.89M,327.59M,56.24M,271.34M,,0.475,0.00,,0.4679,0.475,,0.47,0.00,,0.4629,0.47,,207.78M,208.99M,,,Restated
2008-09,1.447B,1.447B,1.006B,441.49M,,165.92M,,2.481M,,,,12.71M,233.60M,207.88M,,,2.481M,,155.86M,61.95M,93.91M,,-12.71M,93.91M,92.42M,262.85M,54.97M,207.88M,,0.45,0.00,,0.4429,0.45,,0.445,0.00,,0.4379,0.445,,209.11M,211.16M,,,
2008-06,1.407B,1.407B,973.29M,434.02M,,125.20M,,2.987M,37.50M,55.32M,-55.32M,-0.004M,215.58M,218.43M,55.32M,-55.32M,2.987M,-55.32M,166.10M,58.27M,107.83M,,-12.88M,94.95M,93.01M,274.31M,52.89M,221.42M,,0.455,0.00,,0.4458,0.455,,0.45,0.00,,0.4408,0.45,,209.63M,211.23M,,,Restated
2008-03,1.345B,1.345B,930.21M,414.52M,,120.76M,,4.863M,34.63M,59.07M,-59.07M,0.527M,208.73M,205.78M,59.07M,-59.07M,4.863M,-59.07M,151.58M,55.57M,96.01M,,-9.074M,86.93M,83.85M,263.46M,52.81M,210.64M,,0.405,0.00,,0.3907,0.405,,0.40,0.00,,0.3858,0.40,,214.73M,216.48M,,,Restated
2007-12,1.355B,1.355B,927.50M,427.37M,,169.98M,,-251.82M,,,,10.73M,232.10M,195.26M,,,-251.82M,,137.94M,52.22M,85.72M,,-10.73M,85.72M,242.20M,246.66M,51.39M,195.26M,,0.405,0.00,,1.137,0.405,,0.395,0.00,,1.118,0.395,,213.79M,216.57M,,,
2007-09,1.318B,1.318B,890.24M,428.14M,,154.70M,,6.278M,,,,11.79M,215.73M,212.41M,,,6.278M,,155.98M,61.52M,94.46M,,-11.79M,94.46M,90.65M,261.64M,49.23M,212.41M,,0.445,0.00,,0.4271,0.445,,0.44,0.00,,0.4223,0.44,,212.34M,215.12M,,,
2007-06,1.313B,1.313B,891.01M,421.72M,,156.38M,,62.93M,,,,-42.93M,160.50M,261.22M,,,62.93M,,205.96M,80.94M,125.02M,,-12.35M,125.02M,86.82M,308.28M,47.06M,261.22M,,0.595,0.00,,0.4139,0.595,,0.585,0.00,,0.4065,0.585,,210.90M,214.02M,,,
2007-03,1.278B,1.278B,881.58M,396.58M,,146.86M,,3.195M,,,,10.62M,203.26M,193.32M,,,3.195M,,127.64M,51.06M,76.58M,,-10.62M,76.58M,74.66M,239.11M,45.79M,193.32M,,0.365,0.00,,0.3559,0.365,,0.36,0.00,,0.3510,0.36,,210.03M,213.48M,,,
2006-12,1.273B,1.273B,872.56M,400.06M,,157.36M,,-273.79M,,,,8.976M,211.55M,188.51M,,,-273.79M,,121.52M,47.39M,74.13M,0.00,-8.976M,74.13M,241.15M,233.72M,45.21M,188.51M,,0.355,0.00,,1.156,0.355,,0.345,0.00,,1.131,0.35,,208.39M,212.48M,,,
2006-09,1.237B,1.237B,857.05M,379.99M,,145.43M,,41.24M,,,,-27.01M,162.90M,217.09M,,,41.24M,,152.46M,59.37M,93.09M,1.765M,-10.96M,94.86M,67.91M,261.57M,44.48M,217.09M,,0.45,0.005,,0.3287,0.455,,0.44,0.005,,0.3211,0.45,,207.57M,211.85M,,,
2006-06,1.208B,1.208B,842.97M,364.84M,,142.67M,,2.973M,,,,8.70M,193.09M,171.75M,,,2.973M,,106.29M,41.96M,64.33M,-1.092M,-8.70M,63.24M,62.53M,213.47M,41.72M,171.75M,,0.31,-0.005,,0.3013,0.305,,0.305,-0.005,,0.2965,0.30,,206.96M,211.29M,,,
2006-03,1.163B,1.163B,817.77M,345.42M,,134.25M,,3.874M,,,,7.201M,183.34M,162.08M,,,3.874M,,95.49M,37.71M,57.78M,-0.311M,-7.201M,57.47M,55.44M,203.97M,41.89M,162.08M,,0.28,0.00,,0.2686,0.28,,0.275,0.00,,0.2639,0.275,,205.16M,210.78M,,,
2005-12,1.133B,1.133B,799.29M,334.02M,,126.69M,,-4.972M,,,,5.905M,175.24M,158.78M,,,-4.972M,,87.80M,31.38M,56.41M,7.738M,-5.905M,64.15M,59.61M,201.43M,42.64M,158.78M,,0.28,0.035,,0.2957,0.315,,0.27,0.035,,0.2852,0.31,,203.70M,209.72M,,,
2005-09,644.89M,644.89M,435.21M,209.68M,,72.28M,,0.341M,,,,6.69M,104.38M,105.30M,,,0.341M,,81.36M,30.44M,50.91M,4.303M,-6.69M,55.22M,50.70M,131.67M,26.37M,105.30M,,0.25,0.025,,0.2489,0.275,,0.245,0.02,,0.2440,0.265,,202.61M,208.74M,,,
2005-06,617.08M,617.08M,413.22M,203.86M,,70.82M,,-0.066M,,,,5.676M,101.43M,102.43M,,,-0.066M,,77.48M,29.35M,48.13M,4.816M,-5.676M,52.94M,48.17M,128.29M,25.86M,102.43M,,0.24,0.025,,0.2402,0.265,,0.23,0.025,,0.2302,0.255,,200.95M,207.69M,,,
2005-03,578.63M,578.63M,387.52M,191.11M,,64.59M,,3.137M,,,,3.818M,92.25M,98.86M,,,3.137M,,84.47M,32.50M,51.97M,4.364M,-3.818M,56.33M,50.04M,123.71M,24.85M,98.86M,,0.26,0.025,,0.2503,0.285,,0.25,0.025,,0.2406,0.275,,198.80M,206.30M,,,
2004-12,494.74M,494.74M,334.70M,160.04M,,61.97M,,1.005M,,,,2.435M,83.87M,76.17M,,,1.005M,,61.40M,22.55M,38.86M,,-2.435M,56.60M,38.22M,99.39M,23.21M,76.17M,,0.20,0.09,,0.1968,0.29,,0.19,0.085,,0.1869,0.275,,195.98M,203.73M,,,
2004-09,595.53M,595.53M,396.91M,198.62M,,61.12M,,1.01M,,,,3.593M,86.97M,111.65M,,,1.01M,,98.92M,38.54M,60.39M,,-3.593M,60.39M,59.77M,133.91M,22.26M,111.65M,,0.305,0.00,,0.3019,0.305,,0.295,0.00,,0.2920,0.295,,198.34M,205.78M,,,
2004-06,551.63M,551.63M,375.14M,176.49M,,55.59M,,0.667M,,,,3.503M,80.02M,96.47M,,,0.667M,,85.88M,33.48M,52.40M,,-3.503M,52.40M,51.99M,117.39M,20.93M,96.47M,,0.265,0.00,,0.2630,0.265,,0.25,0.00,,0.2480,0.25,,199.37M,208.02M,,,
2004-03,535.43M,535.43M,363.43M,172.00M,,52.18M,,1.443M,,,,2.718M,75.17M,96.83M,,,1.443M,,86.64M,33.78M,52.86M,,-2.718M,52.86M,51.98M,117.10M,20.27M,96.83M,,0.27,0.00,,0.2655,0.27,,0.255,0.00,,0.2507,0.255,,196.20M,205.77M,,,
