,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,SECFilingLinks,AsOriginallyReported,Restated
2012-09,440.00M,,-30.00M,-30.00M,240.00M,240.00M,198.00M,,,-330.00M,-248.00M,-18.00M,-282.00M,88.00M,0.00,20.00M,313.00M,-127.00M,391.00M,,2012-09,,-445.00M,-258.00M,-28.00M,-31.00M,-762.00M,,2012-09,-302.00M,-762.00M,,,,0.00,0.00,-175.00M,0.00,-175.00M,-4.00M,0.00,-941.00M,2012-09,1.381B,-1.312B,69.00M,2012-09,,0.00,-302.00M,0.00,1.00M,98.00M,2012-09,AOR,Restated
2012-06,214.00M,,-62.00M,-62.00M,236.00M,236.00M,78.00M,,,-426.00M,54.00M,-12.00M,280.00M,-119.00M,0.00,44.00M,558.00M,805.00M,845.00M,,2012-06,,-593.00M,,1.00M,-23.00M,-615.00M,,2012-06,-1.00M,799.00M,,,,-239.00M,-239.00M,-174.00M,0.00,-174.00M,-4.00M,0.00,382.00M,2012-06,769.00M,612.00M,1.381B,2012-06,,0.00,-1.00M,-239.00M,45.00M,192.00M,2012-06,AOR,Restated
2012-03,280.00M,,31.00M,31.00M,233.00M,233.00M,68.00M,,,-89.00M,52.00M,31.00M,-286.00M,15.00M,0.00,-48.00M,115.00M,-121.00M,402.00M,,2012-03,,-480.00M,,27.00M,-37.00M,-490.00M,,2012-03,399.00M,399.00M,,,,,,-175.00M,-3.00M,-178.00M,-8.00M,-4.00M,209.00M,2012-03,648.00M,121.00M,769.00M,2012-03,,400.00M,-1.00M,,0.00,89.00M,2012-03,AOR,Restated
2011-12,193.00M,,44.00M,44.00M,225.00M,225.00M,123.00M,-39.00M,,-460.00M,39.00M,19.00M,324.00M,-175.00M,-4.00M,62.00M,625.00M,890.00M,976.00M,,2011-12,,-506.00M,,27.00M,-40.00M,-539.00M,,2011-12,-1.00M,-1.00M,,,-41.00M,0.00,0.00,-174.00M,-2.00M,-176.00M,,,-187.00M,2011-12,398.00M,250.00M,648.00M,2011-12,,0.00,-1.00M,0.00,,563.00M,2011-12,AOR,Restated
2011-09,386.00M,,-25.00M,10.00M,222.00M,222.00M,187.00M,39.00M,,13.00M,-75.00M,-65.00M,-322.00M,93.00M,,,84.00M,-285.00M,572.00M,,2011-09,,-459.00M,,19.00M,-42.00M,-482.00M,,2011-09,0.00,0.00,-49.00M,,-8.00M,0.00,0.00,-173.00M,-3.00M,-176.00M,,,-184.00M,2011-09,492.00M,-94.00M,398.00M,2011-09,-49.00M,0.00,0.00,0.00,-155.00M,-282.00M,2011-09,AOR,Restated
2011-06,169.00M,,,2.00M,219.00M,219.00M,-51.00M,,,-13.00M,80.00M,-65.00M,411.00M,113.00M,1.00M,-65.00M,426.00M,901.00M,1.227B,,2011-06,,-585.00M,,-6.00M,-42.00M,-633.00M,,2011-06,-2.00M,-466.00M,24.00M,,24.00M,0.00,0.00,-173.00M,-3.00M,-176.00M,,,-618.00M,2011-06,516.00M,-24.00M,492.00M,2011-06,24.00M,-464.00M,-2.00M,0.00,-17.00M,192.00M,2011-06,AOR,Restated
2011-03,314.00M,,,-37.00M,218.00M,218.00M,232.00M,,,-2.00M,61.00M,103.00M,-217.00M,-123.00M,-1.00M,65.00M,-251.00M,-363.00M,362.00M,,2011-03,,-417.00M,,-40.00M,-39.00M,-496.00M,,2011-03,-1.00M,463.00M,25.00M,,25.00M,,,-173.00M,-3.00M,-176.00M,,,312.00M,2011-03,338.00M,178.00M,516.00M,2011-03,25.00M,464.00M,-1.00M,,172.00M,90.00M,2011-03,AOR,Restated
2010-12,1.003B,,,-54.00M,214.00M,214.00M,97.00M,,,-1.322B,309.00M,16.00M,263.00M,12.00M,-9.00M,24.00M,854.00M,1.469B,1.407B,,2010-12,,-553.00M,,15.00M,-59.00M,-609.00M,,2010-12,-5.00M,-851.00M,228.00M,,228.00M,,,-161.00M,-2.00M,-163.00M,,-5.00M,-658.00M,2010-12,198.00M,140.00M,338.00M,2010-12,228.00M,-621.00M,-230.00M,0.00,-284.00M,189.00M,2010-12,AOR,Restated
2010-09,,,,37.00M,211.00M,211.00M,516.00M,,,300.00M,-279.00M,-36.00M,-473.00M,92.00M,7.00M,-35.00M,-161.00M,-885.00M,179.00M,,2010-09,,-511.00M,,-15.00M,-33.00M,-559.00M,,2010-09,-185.00M,508.00M,53.00M,0.00,53.00M,,,-157.00M,-3.00M,-160.00M,,-1.00M,400.00M,2010-09,178.00M,20.00M,198.00M,2010-09,53.00M,863.00M,-355.00M,0.00,127.00M,99.00M,2010-09,AOR,Restated
2010-06,-229.00M,,,-66.00M,211.00M,211.00M,9.00M,,,348.00M,182.00M,-25.00M,289.00M,-103.00M,-4.00M,-61.00M,243.00M,521.00M,794.00M,,2010-06,,-519.00M,,0.00,-28.00M,-547.00M,,2010-06,319.00M,-3.00M,11.00M,0.00,11.00M,,,-156.00M,-3.00M,-159.00M,,-5.00M,-156.00M,2010-06,87.00M,91.00M,178.00M,2010-06,11.00M,378.00M,-381.00M,0.00,157.00M,192.00M,2010-06,AOR,Restated
2010-03,229.00M,,,64.00M,204.00M,204.00M,37.00M,,,99.00M,-131.00M,52.00M,-289.00M,14.00M,-3.00M,238.00M,-513.00M,-632.00M,1.00M,,2010-03,,-431.00M,,,-29.00M,-460.00M,,2010-03,-45.00M,430.00M,14.00M,,14.00M,,,-155.00M,-3.00M,-158.00M,,,286.00M,2010-03,260.00M,-173.00M,87.00M,2010-03,14.00M,475.00M,-45.00M,,0.00,103.00M,2010-03,AOR,Restated
2009-12,204.00M,,-31.00M,-29.00M,202.00M,202.00M,181.00M,,,-5.00M,-350.00M,43.00M,309.00M,117.00M,171.00M,95.00M,122.00M,507.00M,997.00M,,2009-12,,-664.00M,,,-50.00M,-714.00M,,2009-12,337.00M,-172.00M,232.00M,,232.00M,,,-151.00M,-2.00M,-153.00M,,-5.00M,-98.00M,2009-12,75.00M,185.00M,260.00M,2009-12,232.00M,574.00M,-746.00M,,1.00M,-377.00M,2009-12,AOR,Restated
2009-09,339.00M,,-26.00M,-28.00M,200.00M,200.00M,96.00M,,,-61.00M,-37.00M,-41.00M,-265.00M,45.00M,-171.00M,-118.00M,67.00M,-520.00M,26.00M,,2009-09,,-492.00M,,,-35.00M,-527.00M,,2009-09,-1.00M,408.00M,10.00M,,10.00M,,,-150.00M,-3.00M,-153.00M,,0.00,265.00M,2009-09,311.00M,-236.00M,75.00M,2009-09,10.00M,146.00M,262.00M,,-3.00M,107.00M,2009-09,AOR,Restated
2009-06,153.00M,,-31.00M,-31.00M,197.00M,197.00M,9.00M,,,-64.00M,149.00M,-23.00M,307.00M,57.00M,,,44.00M,534.00M,798.00M,,2009-06,,-554.00M,,,-39.00M,-593.00M,,2009-06,-277.00M,-399.00M,7.00M,,7.00M,,,-150.00M,-3.00M,-153.00M,,0.00,-545.00M,2009-06,651.00M,-340.00M,311.00M,2009-06,7.00M,0.00,-399.00M,,3.00M,176.00M,2009-06,AOR,Restated
2009-03,183.00M,,57.00M,57.00M,192.00M,192.00M,150.00M,,,39.00M,-57.00M,182.00M,215.00M,-226.00M,,,-90.00M,24.00M,645.00M,,2009-03,,-483.00M,,,-43.00M,-526.00M,,2009-03,749.00M,608.00M,8.00M,,8.00M,,,-150.00M,-3.00M,-153.00M,,-5.00M,458.00M,2009-03,74.00M,577.00M,651.00M,2009-03,8.00M,750.00M,-142.00M,,4.00M,94.00M,2009-03,AOR,Restated
2008-12,162.00M,,,-647.00M,186.00M,186.00M,133.00M,,704.00M,27.00M,52.00M,62.00M,112.00M,58.00M,,,-386.00M,201.00M,590.00M,,2008-12,-2.00M,-726.00M,-1.477B,,-57.00M,-783.00M,,2008-12,598.00M,359.00M,14.00M,,14.00M,,,-160.00M,,-171.00M,,-3.00M,199.00M,2008-12,68.00M,6.00M,74.00M,2008-12,14.00M,600.00M,-241.00M,,177.00M,-378.00M,2008-12,,Restated
2008-09,185.00M,,,43.00M,184.00M,184.00M,135.00M,,106.00M,222.00M,-65.00M,-138.00M,-706.00M,-725.00M,,,-481.00M,-2.115B,-1.24B,,2008-09,-1.00M,-535.00M,0.00,,-47.00M,-582.00M,,2008-09,-249.00M,276.00M,18.00M,,18.00M,,,-160.00M,,-160.00M,,-1.00M,133.00M,2008-09,1.757B,-1.689B,68.00M,2008-09,18.00M,50.00M,226.00M,,130.00M,134.00M,2008-09,,Restated
