,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,1.175B,,1.175B,2.516B,2.516B,528.40M,210.90M,1.107B,1.779B,,,601.60M,6.072B,,,,,,,,1.611B,6.119B,3.756B,9.875B,,807.10M,12.29B,18.37B,1.666B,,1.666B,1.685B,3.351B,,247.90M,357.30M,605.20M,605.20M,,,,4.321B,3.746B,3.746B,768.70M,768.70M,1.264B,59.70M,,1.125B,6.904B,11.22B,272.50M,8.904B,249.80M,1.719B,,,,-626.70M,7.081B
2017-12,1.549B,,1.549B,2.477B,2.477B,502.80M,180.50M,941.00M,1.555B,,,536.90M,6.119B,0.0,52.00M,770.10M,2.842B,,3.664B,-2.113B,1.551B,5.936B,3.743B,9.679B,,824.30M,12.05B,18.17B,1.556B,,1.556B,1.655B,3.211B,749.60M,,357.40M,1.107B,1.107B,,,,4.828B,2.957B,2.957B,757.50M,757.50M,1.285B,66.60M,,1.139B,6.138B,10.97B,274.00M,8.903B,461.30M,1.719B,,,,-778.80M,7.140B
2017-09,1.259B,,1.259B,2.468B,2.468B,526.20M,195.60M,1.002B,1.661B,,,425.60M,5.814B,,,,,,,,1.529B,5.851B,3.741B,9.592B,,787.80M,11.91B,17.72B,1.488B,,1.488B,1.622B,3.110B,,,1.107B,1.107B,1.107B,,,,4.689B,2.956B,2.956B,912.10M,912.10M,1.299B,68.20M,,1.023B,6.190B,10.88B,273.80M,8.556B,436.80M,1.614B,,,,-876.90M,6.776B
2017-06,1.310B,,1.310B,2.596B,2.596B,503.30M,176.70M,986.60M,1.604B,,,343.90M,5.855B,,,,,,,,1.510B,5.779B,3.751B,9.53B,,878.90M,11.92B,17.77B,1.599B,,1.599B,1.534B,3.133B,,,361.30M,361.30M,361.30M,,,,3.904B,3.704B,3.704B,884.40M,884.40M,1.363B,72.40M,,1.124B,7.076B,10.98B,273.60M,8.303B,416.40M,1.278B,,,,-993.70M,6.722B
2017-03,1.322B,,1.322B,2.199B,2.199B,469.50M,174.50M,1.018B,1.600B,,,292.40M,5.414B,,,,,,,,1.498B,5.694B,3.758B,9.452B,,895.70M,11.85B,17.26B,1.378B,,1.378B,1.456B,2.835B,,,361.30M,361.30M,361.30M,,,,3.534B,3.711B,3.711B,874.50M,874.50M,1.356B,70.10M,,1.129B,7.072B,10.61B,273.20M,8.048B,385.50M,952.50M,,,,-1.170B,6.584B
2016-12,1.715B,,1.715B,2.223B,2.223B,448.50M,154.00M,845.60M,1.386B,,,255.80M,5.579B,0.0,49.20M,708.90M,2.610B,,3.368B,-1.857B,1.511B,5.658B,3.785B,9.444B,,863.60M,11.82B,17.40B,1.334B,,1.334B,1.426B,2.760B,,,360.80M,360.80M,360.80M,,,,3.590B,3.709B,3.709B,884.90M,884.90M,1.356B,74.50M,,1.138B,7.089B,10.68B,271.70M,8.019B,346.50M,702.70M,,,,-1.290B,6.644B
2016-09,1.505B,,1.505B,2.361B,2.361B,505.20M,162.80M,950.90M,1.556B,,,293.10M,5.714B,,,,,,,,1.549B,5.769B,3.835B,9.604B,,852.20M,12.01B,17.72B,1.392B,,1.392B,1.511B,2.904B,,0.00,361.00M,361.00M,361.00M,,,,3.703B,3.709B,3.709B,950.00M,950.00M,1.380B,67.00M,,1.146B,7.185B,10.89B,270.90M,7.926B,303.00M,702.60M,,,,-1.033B,6.764B
2016-06,928.80M,,928.80M,2.498B,2.498B,519.80M,187.20M,956.50M,1.601B,,,364.90M,5.393B,,,,,,,,1.561B,5.764B,3.866B,9.630B,,846.80M,12.04B,17.43B,1.500B,,1.500B,1.501B,3.001B,,0.00,361.20M,361.20M,361.20M,,,,3.767B,3.725B,3.725B,930.80M,930.80M,1.403B,63.60M,,1.126B,7.185B,10.95B,270.40M,7.632B,268.70M,702.60M,,,,-1.054B,6.414B
2016-03,612.90M,,612.90M,2.155B,2.155B,513.00M,186.70M,973.30M,1.613B,,,432.20M,4.813B,,,,,,,,1.582B,5.784B,3.903B,9.688B,,869.90M,12.14B,16.95B,1.346B,,1.346B,1.476B,2.822B,,397.00M,361.00M,758.00M,758.00M,,,,3.930B,3.715B,3.715B,916.60M,916.60M,1.396B,59.90M,,1.143B,7.170B,11.10B,270.00M,6.967B,237.10M,702.70M,,,,-978.90M,5.793B
2015-12,736.80M,,736.80M,2.151B,2.151B,514.90M,131.00M,825.70M,1.411B,,,311.30M,4.609B,0.0,61.70M,699.10M,2.473B,,3.234B,-1.659B,1.575B,5.730B,3.926B,9.656B,,876.80M,12.11B,16.72B,1.249B,,1.249B,1.458B,2.707B,,143.00M,361.20M,504.20M,504.20M,,,,3.648B,3.714B,3.714B,896.10M,896.10M,1.410B,62.50M,,1.170B,7.19B,10.84B,269.00M,6.898B,223.30M,452.60M,,,,-1.121B,5.817B
2015-09,651.50M,,651.50M,2.342B,2.342B,544.10M,162.10M,932.30M,1.578B,,278.90M,684.10M,5.535B,,,,,,,,1.580B,5.763B,3.969B,9.732B,,977.90M,12.29B,17.82B,1.341B,,1.341B,1.930B,3.270B,,465.10M,371.90M,837.00M,837.00M,,,,4.536B,3.735B,3.735B,1.115B,1.115B,1.429B,58.30M,,1.213B,7.491B,12.03B,268.80M,6.742B,199.20M,435.90M,,,,-1.035B,5.738B
2015-06,779.60M,,779.60M,2.463B,2.463B,570.40M,155.90M,969.00M,1.634B,,360.30M,291.10M,5.529B,,,,,,,,1.586B,5.772B,4.009B,9.781B,,991.10M,12.36B,17.89B,1.471B,,1.471B,1.948B,3.418B,,293.00M,366.70M,659.70M,659.70M,,,,4.458B,3.735B,3.735B,1.138B,1.138B,1.435B,59.90M,,1.234B,7.542B,12.00B,268.70M,6.518B,176.90M,202.50M,,,,-933.10M,5.828B
2015-03,733.90M,,733.90M,2.190B,2.190B,566.60M,158.20M,957.10M,1.613B,,296.60M,271.10M,5.105B,,,,,,,,1.564B,5.735B,4.031B,9.766B,,973.90M,12.30B,17.41B,1.356B,,1.356B,1.470B,2.826B,,435.40M,366.90M,802.30M,802.30M,,,,3.978B,3.742B,3.742B,1.230B,1.230B,1.431B,62.30M,,1.243B,7.645B,11.62B,268.00M,6.516B,137.70M,202.50M,,,,-994.60M,5.724B
2014-12,1.705B,,1.705B,2.119B,2.119B,487.90M,118.20M,823.10M,1.359B,,299.80M,225.00M,5.708B,0.0,62.90M,674.80M,2.266B,,3.004B,-1.527B,1.477B,5.390B,3.784B,9.174B,,939.90M,11.59B,17.30B,1.29B,,1.29B,1.422B,2.712B,,100.00M,382.70M,482.70M,482.70M,,,,3.666B,3.742B,3.742B,1.174B,1.174B,1.438B,58.00M,,1.233B,7.587B,11.25B,266.30M,6.541B,97.10M,202.50M,,,,-714.30M,5.987B
2014-09,936.70M,,936.70M,2.303B,2.303B,505.10M,117.10M,868.00M,1.419B,,303.00M,208.80M,5.170B,,,,,,,,1.466B,5.447B,3.819B,9.266B,,963.40M,11.70B,16.87B,1.380B,66.30M,1.447B,1.348B,2.795B,,,881.00M,881.00M,881.00M,,,,4.13B,2.647B,2.647B,1.265B,1.265B,1.221B,59.60M,,1.270B,6.402B,10.53B,265.80M,6.351B,70.80M,,,,,-413.70M,6.274B
2014-06,929.80M,,929.80M,2.449B,2.449B,490.40M,114.70M,855.30M,1.389B,,329.80M,228.60M,5.326B,,,,,,,,1.473B,5.528B,3.856B,9.384B,,976.30M,11.83B,17.16B,1.479B,67.60M,1.546B,1.379B,2.926B,,,915.70M,915.70M,915.70M,,,,4.254B,2.646B,2.646B,1.242B,1.242B,1.274B,57.80M,,1.303B,6.465B,10.72B,268.10M,6.267B,44.70M,,,,,-197.40M,6.382B
2014-03,897.90M,,897.90M,2.086B,2.086B,465.80M,88.60M,866.40M,1.348B,,355.40M,198.60M,4.886B,,,,,,,,1.468B,5.533B,3.889B,9.422B,,997.30M,11.89B,16.77B,1.240B,68.70M,1.309B,1.332B,2.640B,,,373.90M,373.90M,373.90M,,,,3.403B,3.152B,3.152B,1.271B,1.271B,1.276B,64.50M,,1.323B,7.022B,10.42B,271.20M,6.216B,0.00,,,,,-202.50M,6.285B
2013-12,1.937B,,1.937B,2.072B,2.072B,378.00M,100.70M,760.20M,1.166B,,359.50M,182.40M,5.717B,0.0,64.20M,654.80M,2.123B,,2.842B,-1.374B,1.468B,5.541B,3.922B,9.463B,,1.010B,11.94B,17.66B,1.163B,,1.163B,1.373B,2.536B,,,367.70M,367.70M,367.70M,,,,3.409B,3.154B,3.154B,1.336B,1.336B,1.288B,62.40M,,1.341B,7.118B,10.53B,282.70M,6.794B,159.20M,0.80M,,,,-166.70M,7.069B
2013-09,1.084B,,1.084B,2.443B,2.443B,494.50M,150.40M,906.30M,1.448B,,,655.20M,5.630B,,,,,,,,1.652B,6.062B,4.099B,10.16B,,1.560B,13.37B,19.00B,1.401B,,1.401B,1.533B,2.934B,,,373.20M,373.20M,373.20M,,,,3.849B,3.154B,3.154B,1.653B,1.653B,1.809B,91.90M,,1.351B,7.967B,11.82B,288.70M,6.807B,472.30M,,,,,-473.00M,7.095B
2013-06,2.200B,,2.200B,2.571B,2.571B,507.20M,147.60M,881.60M,1.435B,,,621.70M,6.828B,,,,,,,,1.663B,6.113B,4.128B,10.24B,,1.542B,13.45B,20.27B,1.475B,,1.475B,1.563B,3.038B,,,1.627B,1.627B,1.627B,,,,5.147B,3.155B,3.155B,1.608B,1.608B,1.820B,82.10M,,1.367B,7.951B,13.10B,291.90M,6.702B,699.30M,,,,,-598.60M,7.094B
2013-03,832.90M,,832.90M,2.219B,2.219B,503.90M,146.70M,918.40M,1.466B,,,599.40M,5.117B,,,,,,,,1.653B,6.098B,4.164B,10.26B,,1.561B,13.48B,18.59B,1.331B,,1.331B,1.460B,2.790B,,,965.10M,965.10M,965.10M,,,,4.171B,2.271B,2.271B,1.599B,1.599B,1.822B,86.50M,,1.383B,7.075B,11.25B,299.60M,6.446B,1.123B,,,,,-607.20M,7.261B
2012-12,708.40M,,708.40M,1.870B,1.870B,423.20M,87.20M,704.80M,1.144B,,269.50M,184.50M,5.994B,0.0,67.10M,582.50M,2.084B,,2.734B,-1.308B,1.426B,5.493B,4.050B,9.543B,,1.519B,12.49B,18.48B,1.019B,41.80M,1.061B,1.322B,2.383B,,,962.90M,962.90M,962.90M,,,531.80M,4.326B,2.266B,2.266B,1.577B,1.577B,1.685B,81.50M,,1.398B,6.927B,11.25B,295.60M,6.359B,1.014B,,,,,-521.00M,7.148B
2012-09,929.60M,,929.60M,,2.321B,577.10M,135.30M,850.90M,1.462B,,,517.00M,5.230B,,,,,,,,1.619B,6.112B,4.231B,10.34B,,1.469B,13.43B,18.66B,1.300B,,1.300B,1.469B,2.769B,,,,1.025B,1.025B,,,,4.326B,2.272B,2.272B,1.444B,1.444B,1.663B,84.20M,,1.425B,6.804B,11.13B,302.60M,6.232B,1.343B,,,,,-431.70M,7.446B
2012-06,903.40M,,903.40M,,2.428B,588.90M,130.00M,855.60M,1.475B,,,564.80M,5.371B,,,,,,,,1.609B,6.051B,4.259B,10.31B,,1.449B,13.37B,18.74B,1.490B,,1.490B,1.509B,2.999B,0.00,,422.00M,422.00M,422.00M,,,,3.909B,2.872B,2.872B,1.483B,1.483B,1.641B,91.10M,,1.447B,7.443B,11.35B,309.10M,5.959B,1.629B,,,,,-601.90M,7.296B
2012-03,1.090B,,1.090B,,2.230B,531.00M,143.50M,859.70M,1.433B,,,615.20M,5.368B,,,,,,,,1.640B,6.147B,4.309B,10.46B,,1.446B,13.54B,18.91B,1.344B,,1.344B,1.549B,2.893B,,,,765.60M,765.60M,,,,4.100B,2.879B,2.879B,1.497B,1.497B,1.680B,91.20M,,1.455B,7.512B,11.61B,298.60M,5.643B,1.654B,,,,,-388.60M,7.207B
2011-12,1.161B,,1.161B,2.136B,2.136B,478.70M,114.40M,787.90M,1.278B,,349.90M,354.70M,5.279B,0.0,86.50M,693.40M,2.323B,,3.103B,-1.463B,1.639B,6.104B,4.334B,10.44B,,1.488B,13.56B,18.84B,1.224B,,1.224B,1.610B,2.835B,,,763.30M,763.30M,763.30M,,,,4.126B,2.879B,2.879B,1.619B,1.619B,1.710B,88.10M,,1.494B,7.703B,11.83B,297.10M,5.548B,1.633B,,,,,-553.60M,6.928B
2011-09,1.404B,,1.404B,,2.366B,424.70M,222.80M,960.30M,1.513B,,,608.80M,5.936B,,,,,,,,1.601B,6.160B,4.386B,10.55B,,1.419B,13.57B,19.50B,1.345B,,1.345B,1.659B,3.004B,,,,760.00M,760.00M,,,44.00M,4.333B,2.881B,2.881B,1.658B,1.658B,1.416B,89.40M,,1.535B,7.490B,11.82B,316.00M,5.389B,2.155B,,,,,-270.20M,7.589B
2011-06,1.260B,,1.260B,,2.605B,430.60M,283.10M,967.60M,1.591B,,,608.00M,6.812B,,,,,,,,1.640B,6.259B,4.440B,10.70B,,1.388B,13.73B,20.54B,1.490B,,1.490B,1.666B,3.156B,334.70M,,418.60M,753.30M,753.30M,,,197.60M,4.607B,2.881B,2.881B,1.702B,1.702B,1.430B,86.80M,,1.556B,7.568B,12.18B,331.80M,5.341B,2.645B,,,,,-39.50M,8.278B
2011-03,918.10M,,918.10M,,2.333B,435.40M,283.40M,947.80M,1.578B,,,612.50M,6.356B,,,,,,,,1.662B,6.236B,4.465B,10.70B,,1.405B,13.77B,20.12B,1.383B,,1.383B,2.013B,3.396B,,,,791.10M,791.10M,,,159.90M,4.347B,2.888B,2.888B,1.671B,1.671B,1.426B,97.20M,,1.587B,7.572B,11.92B,330.90M,5.289B,2.623B,,,,,-133.90M,8.108B
2010-12,1.014B,,1.014B,,2.344B,402.90M,245.70M,838.10M,1.401B,,,611.40M,5.371B,0.0,109.80M,763.30M,1.858B,527.10M,3.258B,-1.482B,1.776B,6.560B,4.873B,11.43B,,1.411B,14.62B,19.99B,1.319B,,1.319B,2.145B,3.463B,,,,761.60M,761.60M,,,,4.225B,2.922B,2.922B,1.675B,1.675B,1.491B,94.80M,,1.618B,7.707B,11.93B,328.20M,5.389B,2.572B,,,,,-325.00M,7.964B
2010-09,810.70M,,810.70M,,2.466B,431.50M,289.60M,902.60M,1.539B,,,698.70M,5.515B,,,,,,,,1.786B,6.560B,4.916B,11.48B,,1.458B,14.72B,20.24B,1.401B,,1.401B,2.169B,3.570B,,,,738.40M,738.40M,,,29.60M,4.338B,2.923B,2.923B,1.930B,1.930B,1.706B,99.70M,,1.666B,8.224B,12.56B,323.20M,5.200B,2.444B,,,,,-393.70M,7.574B
2010-06,821.60M,,821.60M,,2.822B,402.70M,288.60M,820.60M,1.430B,,,709.10M,5.782B,,,,,,,,1.784B,6.447B,4.926B,11.37B,,1.419B,14.58B,20.36B,1.422B,,1.422B,2.451B,3.873B,,,,975.20M,975.20M,,,29.10M,4.878B,2.910B,2.910B,1.809B,1.809B,,104.80M,,3.604B,8.324B,13.20B,322.60M,4.991B,2.424B,,,,,-685.70M,7.051B
2010-03,599.10M,,599.10M,,2.173B,364.60M,263.50M,818.50M,1.364B,,,684.00M,4.82B,,,,,,,,1.856B,6.544B,4.987B,11.53B,,1.510B,14.90B,19.72B,1.194B,,1.194B,2.005B,3.199B,,69.50M,938.10M,1.008B,1.008B,,,,4.206B,2.924B,2.924B,1.848B,1.848B,1.924B,106.90M,,1.690B,8.386B,12.59B,321.50M,4.817B,2.380B,,,,,-500.80M,7.017B
2009-12,876.70M,,876.70M,,2.094B,349.50M,211.80M,697.70M,1.176B,,,722.50M,4.870B,0.0,115.00M,740.50M,1.844B,453.30M,3.153B,-1.264B,1.889B,6.606B,5.043B,11.65B,,1.584B,15.12B,19.99B,1.065B,,1.065B,2.011B,3.076B,,,,1.192B,1.192B,,,30.00M,4.298B,2.905B,2.905B,1.930B,1.930B,1.954B,103.90M,,1.728B,8.518B,12.82B,320.60M,4.838B,2.348B,,,,,-434.30M,7.072B
2009-09,743.90M,,743.90M,,2.130B,390.00M,245.20M,763.00M,1.304B,,,594.20M,4.772B,,,,,,,,1.910B,6.676B,5.091B,11.77B,,1.684B,15.36B,20.13B,1.136B,,1.136B,1.972B,3.108B,,0.00,922.40M,922.40M,922.40M,,,,4.03B,3.21B,3.21B,2.116B,2.116B,1.858B,104.40M,,1.733B,8.917B,12.95B,319.50M,4.722B,2.351B,,,,,-310.50M,7.082B
2009-06,792.90M,,792.90M,,2.274B,415.00M,257.50M,785.10M,1.359B,,,647.80M,5.074B,,,,,,,,1.925B,6.629B,5.120B,11.75B,,1.679B,15.35B,20.43B,1.092B,,1.092B,2.011B,3.103B,,,,1.267B,1.267B,,,,4.370B,3.455B,3.455B,2.127B,2.127B,1.884B,101.00M,,1.753B,9.219B,13.59B,319.10M,4.528B,2.324B,,,,,-435.60M,6.736B
2009-03,493.60M,,493.60M,,2.291B,423.80M,296.30M,945.80M,1.560B,,,672.10M,5.016B,,,,,,,,1.936B,6.543B,5.161B,11.70B,,1.700B,15.34B,20.36B,933.40M,,933.40M,1.993B,2.926B,,,,1.703B,1.703B,,,,4.629B,3.449B,3.449B,2.127B,2.127B,1.860B,,,1.793B,9.229B,13.86B,319.10M,4.402B,2.267B,,,,,-587.80M,6.499B
2008-12,550.20M,,550.20M,,2.512B,446.90M,301.70M,980.00M,1.615B,,,722.30M,5.400B,0.0,111.30M,776.60M,1.787B,345.50M,3.020B,-1.052B,1.968B,6.620B,5.214B,11.83B,,1.722B,15.52B,20.92B,1.046B,,1.046B,2.114B,3.161B,,998.70M,1.352B,2.350B,2.350B,,,,5.511B,2.774B,2.774B,2.185B,2.185B,1.866B,100.70M,,1.827B,8.651B,14.16B,318.80M,4.547B,2.246B,,,,,-450.80M,6.661B
2008-09,741.50M,,741.50M,2.792B,2.792B,480.00M,351.00M,1.106B,1.795B,,,795.10M,6.124B,,,,,,2.963B,-877.30M,2.085B,9.386B,6.101B,15.49B,,2.079B,19.65B,25.78B,1.265B,,1.265B,2.239B,3.504B,,,,2.731B,2.731B,,,,6.235B,2.785B,2.785B,2.805B,2.805B,,103.40M,,3.144B,8.734B,14.97B,318.80M,7.899B,2.244B,,,,,241.80M,10.70B
2008-06,787.30M,,787.30M,3.072B,3.072B,477.70M,348.20M,1.111B,1.800B,,,915.20M,6.575B,,,,,,3.006B,-877.30M,2.128B,10.17B,5.224B,15.40B,,1.782B,19.31B,25.88B,1.348B,,1.348B,2.103B,3.451B,,,,4.769B,4.769B,,,,8.220B,1.190B,1.190B,2.440B,2.440B,,103.50M,,3.138B,6.768B,14.99B,318.50M,7.728B,2.248B,,,,,497.50M,10.79B
2008-03,4.068B,,4.068B,1.717B,1.717B,338.20M,180.80M,476.90M,909.00M,,,463.20M,7.157B,,,,,,1.813B,-877.30M,935.30M,4.111B,740.30M,4.851B,,1.108B,6.895B,14.05B,768.10M,,768.10M,980.40M,1.748B,,,,750.00M,750.00M,,,,2.498B,712.70M,712.70M,,,,96.80M,,2.426B,3.138B,5.637B,272.80M,7.521B,36.60M,,,,,487.90M,8.319B
2007-12,4.735B,,4.735B,1.661B,1.661B,323.20M,163.40M,424.90M,827.20M,,,477.50M,7.701B,0.0,65.40M,485.70M,1.057B,174.50M,1.782B,-877.30M,904.90M,3.993B,724.60M,4.718B,,1.053B,6.676B,14.38B,721.20M,,721.20M,1.774B,2.495B,,,,741.00M,741.00M,,,,3.236B,712.70M,712.70M,539.90M,539.90M,,97.50M,,1.882B,3.135B,6.371B,272.60M,7.389B,,,,675.80M,-429.30M,246.50M,7.908B
2007-09,438.00M,0.70M,438.70M,1.705B,1.705B,373.30M,192.30M,455.90M,923.00M,435.60M,,2.020B,5.522B,,,,,,2.074B,-1.172B,901.30M,3.936B,719.50M,4.656B,,1.310B,6.867B,12.39B,772.60M,,772.60M,1.024B,1.796B,,,,1.494B,1.494B,,,909.10M,4.199B,901.70M,901.70M,,,,,,2.094B,2.995B,7.195B,273.30M,4.920B,,,,,,1.70M,5.194B
2007-06,460.20M,0.70M,460.90M,1.644B,1.644B,379.80M,191.70M,445.50M,919.30M,509.60M,,2.131B,5.664B,,,,,,2.046B,-1.172B,873.30M,3.878B,707.00M,4.584B,,1.284B,6.742B,12.41B,685.10M,,685.10M,967.30M,1.652B,,,,686.70M,686.70M,,,1.239B,3.578B,894.50M,894.50M,,,,,,2.101B,2.996B,6.574B,293.40M,5.693B,,,,,,-153.70M,5.832B
