,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,195.00M,195.00M,1.015B,201.00M,1.216B,445.00M,101.00M,26.00M,207.00M,15.00M,2.207B,,708.00M,23.59B,-6.682B,16.90B,,67.00M,,1.183B,,789.00M,20.66B,22.87B,540.00M,265.00M,805.00M,123.00M,928.00M,0.00,1.286B,1.286B,1.286B,,,268.00M,2.482B,427.00M,8.996B,86.00M,9.082B,1.412B,1.412B,778.00M,37.00M,,307.00M,15.75B,18.24B,3.00M,-383.00M,5.037B,,,,-61.00M,4.596B
2017-12,182.00M,182.00M,1.044B,198.00M,1.242B,672.00M,83.00M,17.00M,257.00M,20.00M,2.475B,8.94B,765.00M,23.27B,-6.51B,16.76B,,64.00M,,1.187B,,799.00M,20.58B,23.05B,740.00M,360.00M,1.10B,136.00M,1.236B,170.00M,1.103B,1.273B,1.273B,,,275.00M,2.784B,430.00M,9.123B,91.00M,9.214B,1.356B,1.356B,766.00M,37.00M,,307.00M,15.79B,18.57B,3.00M,-531.00M,5.019B,,,,-50.00M,4.441B
2017-09,142.00M,142.00M,643.00M,197.00M,840.00M,787.00M,118.00M,27.00M,157.00M,19.00M,2.121B,,881.00M,22.85B,-6.403B,16.44B,,71.00M,,1.177B,,269.00M,20.00B,22.12B,632.00M,90.00M,722.00M,114.00M,836.00M,230.00M,980.00M,1.21B,1.21B,,,215.00M,2.261B,443.00M,9.024B,97.00M,9.121B,2.589B,2.589B,760.00M,37.00M,,308.00M,15.29B,17.55B,3.00M,-434.00M,5.013B,,,,-47.00M,4.535B
2017-06,418.00M,418.00M,678.00M,193.00M,871.00M,582.00M,117.00M,17.00M,179.00M,9.00M,2.211B,,802.00M,22.43B,-6.311B,16.12B,,68.00M,,1.125B,,294.00M,19.66B,21.87B,608.00M,256.00M,864.00M,181.00M,1.045B,0.00,840.00M,840.00M,840.00M,,,230.00M,2.115B,452.00M,9.091B,99.00M,9.19B,2.511B,2.511B,770.00M,37.00M,,289.00M,15.27B,17.38B,3.00M,-512.00M,5.006B,,,,-48.00M,4.449B
2017-03,433.00M,433.00M,787.00M,186.00M,973.00M,425.00M,120.00M,30.00M,203.00M,12.00M,2.215B,,798.00M,22.06B,-6.206B,15.86B,,66.00M,,1.092B,,321.00M,19.41B,21.62B,488.00M,260.00M,748.00M,146.00M,894.00M,0.00,812.00M,812.00M,812.00M,,,220.00M,1.926B,451.00M,9.129B,104.00M,9.233B,2.462B,2.462B,781.00M,37.00M,,295.00M,15.29B,17.22B,3.00M,-511.00M,4.927B,,,,-49.00M,4.37B
2016-12,235.00M,235.00M,821.00M,180.00M,1.013B,626.00M,81.00M,19.00M,250.00M,17.00M,2.28B,46.00M,761.00M,21.77B,-6.056B,15.72B,,65.00M,,1.118B,,353.00M,19.34B,21.62B,598.00M,348.00M,958.00M,119.00M,1.077B,398.00M,886.00M,1.284B,1.284B,,,294.00M,2.655B,447.00M,8.64B,110.00M,8.75B,2.36B,2.36B,789.00M,37.00M,,290.00M,14.68B,17.33B,3.00M,-616.00M,4.916B,,,,-50.00M,4.253B
2016-09,339.00M,339.00M,646.00M,146.00M,792.00M,736.00M,94.00M,28.00M,152.00M,16.00M,2.198B,,698.00M,21.40B,-5.953B,15.44B,,68.00M,,1.11B,,258.00M,18.64B,20.84B,548.00M,93.00M,641.00M,109.00M,750.00M,75.00M,1.005B,1.08B,1.08B,,,239.00M,2.069B,445.00M,8.722B,110.00M,8.832B,2.304B,2.304B,560.00M,37.00M,,283.00M,14.48B,16.55B,3.00M,-607.00M,4.908B,,,,-45.00M,4.259B
2016-06,385.00M,385.00M,615.00M,142.00M,757.00M,573.00M,102.00M,18.00M,174.00M,7.00M,2.031B,,612.00M,21.11B,-5.922B,15.19B,,66.00M,,1.098B,,285.00M,18.43B,20.46B,568.00M,252.00M,820.00M,148.00M,968.00M,0.00,918.00M,918.00M,918.00M,,,205.00M,2.091B,442.00M,8.486B,110.00M,8.596B,2.20B,2.20B,570.00M,37.00M,,301.00M,14.18B,16.27B,3.00M,-706.00M,4.906B,,,,-47.00M,4.156B
2016-03,177.00M,177.00M,741.00M,135.00M,876.00M,498.00M,91.00M,28.00M,193.00M,11.00M,1.89B,,1.451B,20.78B,-5.878B,14.91B,,64.00M,,1.034B,,315.00M,18.15B,20.04B,543.00M,254.00M,797.00M,106.00M,903.00M,,,950.00M,950.00M,,,194.00M,2.047B,440.00M,8.17B,114.00M,8.284B,2.133B,2.133B,581.00M,37.00M,,314.00M,13.84B,15.89B,3.00M,-744.00M,4.897B,,,,-47.00M,4.109B
2015-12,266.00M,266.00M,785.00M,128.00M,913.00M,778.00M,77.00M,19.00M,235.00M,16.00M,2.32B,7.914B,1.509B,20.45B,-5.747B,14.70B,,64.00M,,1.027B,,343.00M,17.98B,20.30B,642.00M,349.00M,991.00M,132.00M,1.123B,249.00M,706.00M,955.00M,955.00M,,,224.00M,2.302B,439.00M,8.40B,118.00M,8.518B,2.073B,2.073B,591.00M,37.00M,,313.00M,14.02B,16.32B,3.00M,-855.00M,4.837B,,,,-47.00M,3.938B
2015-09,150.00M,150.00M,652.00M,119.00M,781.00M,863.00M,87.00M,52.00M,153.00M,20.00M,2.123B,,1.31B,19.86B,-5.697B,14.16B,,61.00M,,950.00M,,288.00M,17.33B,19.45B,594.00M,90.00M,684.00M,84.00M,768.00M,68.00M,741.00M,809.00M,809.00M,0.00,0.00,211.00M,1.788B,419.00M,7.903B,111.00M,8.014B,2.036B,2.036B,847.00M,37.00M,,299.00M,13.72B,15.51B,3.00M,-881.00M,4.829B,,,,-49.00M,3.902B
2015-06,477.00M,477.00M,681.00M,114.00M,795.00M,683.00M,89.00M,40.00M,176.00M,31.00M,2.291B,,1.191B,19.41B,-5.633B,13.78B,,61.00M,,884.00M,,319.00M,16.95B,19.24B,564.00M,235.00M,799.00M,130.00M,929.00M,0.00,519.00M,519.00M,519.00M,0.00,0.00,192.00M,1.64B,348.00M,8.04B,113.00M,8.153B,1.956B,1.956B,846.00M,37.00M,,304.00M,13.74B,15.38B,3.00M,-949.00M,4.812B,,,,-48.00M,3.818B
2015-03,522.00M,522.00M,919.00M,103.00M,1.022B,540.00M,84.00M,49.00M,178.00M,57.00M,2.501B,,1.141B,19.07B,-5.545B,13.53B,,62.00M,,823.00M,,354.00M,16.70B,19.20B,521.00M,239.00M,760.00M,90.00M,850.00M,0.00,543.00M,543.00M,543.00M,21.00M,21.00M,185.00M,1.599B,344.00M,8.143B,117.00M,8.26B,1.869B,1.869B,844.00M,37.00M,,304.00M,13.76B,15.36B,3.00M,-936.00M,4.783B,,,,-48.00M,3.802B
2014-12,207.00M,207.00M,892.00M,98.00M,1.017B,918.00M,72.00M,37.00M,216.00M,89.00M,2.597B,7.463B,1.106B,18.83B,-5.415B,13.41B,,61.00M,,807.00M,,352.00M,16.59B,19.18B,688.00M,316.00M,1.004B,114.00M,1.118B,60.00M,540.00M,600.00M,600.00M,,,230.00M,1.948B,340.00M,8.016B,123.00M,8.139B,1.785B,1.785B,872.00M,37.00M,,299.00M,13.53B,15.48B,3.00M,-1.058B,4.774B,,,,-49.00M,3.67B
2014-09,493.00M,493.00M,694.00M,96.00M,899.00M,1.043B,79.00M,37.00M,176.00M,7.00M,2.734B,,1.211B,18.37B,-5.321B,13.04B,,61.00M,,759.00M,,335.00M,15.65B,18.38B,613.00M,89.00M,702.00M,65.00M,767.00M,0.00,690.00M,690.00M,690.00M,,,191.00M,1.648B,330.00M,8.042B,129.00M,8.171B,1.787B,1.787B,242.00M,37.00M,,307.00M,13.03B,14.67B,3.00M,-1.08B,4.767B,,,,-20.00M,3.67B
2014-06,358.00M,358.00M,765.00M,88.00M,1.005B,775.00M,108.00M,31.00M,177.00M,11.00M,2.465B,,1.339B,17.92B,-5.242B,12.68B,,62.00M,,687.00M,,362.00M,15.25B,17.72B,597.00M,225.00M,822.00M,103.00M,925.00M,0.00,439.00M,439.00M,439.00M,,,199.00M,1.563B,329.00M,7.535B,131.00M,7.666B,1.715B,1.715B,241.00M,37.00M,,303.00M,12.47B,14.04B,3.00M,-1.099B,4.761B,,,,-20.00M,3.645B
2014-03,758.00M,758.00M,1.042B,69.00M,1.299B,537.00M,119.00M,31.00M,209.00M,16.00M,2.969B,,1.206B,17.53B,-5.168B,12.36B,,61.00M,,646.00M,,392.00M,14.96B,17.92B,642.00M,225.00M,867.00M,67.00M,934.00M,0.00,666.00M,666.00M,666.00M,,,201.00M,1.801B,328.00M,7.536B,135.00M,7.671B,1.686B,1.686B,240.00M,37.00M,,307.00M,12.47B,14.27B,3.00M,-1.11B,4.746B,,,,-21.00M,3.618B
2013-12,172.00M,172.00M,924.00M,63.00M,987.00M,881.00M,86.00M,32.00M,328.00M,40.00M,2.526B,6.976B,1.149B,17.33B,-5.087B,12.25B,,59.00M,,646.00M,,409.00M,14.89B,17.42B,595.00M,297.00M,892.00M,108.00M,1.00B,170.00M,562.00M,732.00M,732.00M,0.00,0.00,213.00M,1.945B,325.00M,7.101B,138.00M,7.239B,1.656B,1.656B,239.00M,37.00M,,306.00M,11.98B,13.92B,3.00M,-1.242B,4.715B,,,,-22.00M,3.454B
2013-09,260.00M,260.00M,688.00M,84.00M,799.00M,1.089B,68.00M,32.00M,122.00M,31.00M,2.401B,,943.00M,17.51B,-5.355B,12.15B,,63.00M,,556.00M,,233.00M,14.58B,16.99B,526.00M,88.00M,614.00M,65.00M,679.00M,0.00,532.00M,532.00M,532.00M,66.00M,66.00M,187.00M,1.464B,322.00M,7.089B,140.00M,7.229B,1.396B,1.396B,740.00M,37.00M,,316.00M,12.09B,13.55B,3.00M,-1.276B,4.708B,,,,-39.00M,3.396B
2013-06,537.00M,537.00M,738.00M,76.00M,834.00M,830.00M,79.00M,29.00M,140.00M,36.00M,2.485B,,1.108B,17.19B,-5.278B,11.92B,,63.00M,,504.00M,,259.00M,14.94B,17.43B,521.00M,206.00M,727.00M,93.00M,820.00M,0.00,758.00M,758.00M,758.00M,77.00M,77.00M,147.00M,1.802B,319.00M,6.695B,144.00M,6.839B,1.157B,1.157B,1.393B,37.00M,,316.00M,12.27B,14.07B,3.00M,-1.334B,4.71B,,,,-56.00M,3.323B
2013-03,586.00M,586.00M,924.00M,73.00M,1.025B,637.00M,56.00M,29.00M,157.00M,38.00M,2.528B,,1.135B,16.87B,-5.20B,11.67B,,60.00M,,508.00M,,283.00M,14.74B,17.27B,436.00M,211.00M,647.00M,69.00M,716.00M,0.00,732.00M,732.00M,732.00M,49.00M,49.00M,148.00M,1.645B,316.00M,6.741B,149.00M,6.89B,1.14B,1.14B,1.398B,44.00M,,311.00M,12.27B,13.92B,3.00M,-1.346B,4.703B,,,,-54.00M,3.306B
2012-12,93.00M,93.00M,865.00M,41.00M,938.00M,1.084B,53.00M,29.00M,190.00M,35.00M,2.422B,6.57B,1.08B,16.67B,-5.121B,11.55B,,57.00M,,521.00M,,293.00M,14.71B,17.13B,521.00M,279.00M,800.00M,101.00M,901.00M,110.00M,541.00M,651.00M,651.00M,68.00M,68.00M,177.00M,1.797B,312.00M,6.71B,153.00M,6.863B,1.058B,1.058B,1.451B,44.00M,,311.00M,12.10B,13.89B,3.00M,-1.423B,4.669B,,,,-55.00M,3.194B
2012-09,128.00M,128.00M,667.00M,28.00M,706.00M,1.272B,62.00M,31.00M,119.00M,42.00M,2.36B,15.10B,1.134B,16.24B,-5.047B,11.19B,,56.00M,,512.00M,,2.49B,14.25B,16.61B,491.00M,83.00M,583.00M,81.00M,664.00M,,,510.00M,510.00M,52.00M,52.00M,259.00M,1.485B,264.00M,6.711B,155.00M,6.866B,1.20B,1.20B,1.291B,44.00M,,2.262B,11.88B,13.37B,3.00M,-1.426B,4.662B,,,,-43.00M,3.196B
2012-06,187.00M,187.00M,670.00M,40.00M,720.00M,1.052B,70.00M,28.00M,136.00M,13.00M,2.206B,149.00M,1.011B,15.97B,-4.973B,11.00B,,54.00M,,461.00M,,240.00M,14.09B,16.29B,527.00M,199.00M,735.00M,133.00M,868.00M,,,653.00M,653.00M,28.00M,28.00M,258.00M,1.807B,261.00M,6.221B,157.00M,6.378B,1.134B,1.134B,1.289B,44.00M,,336.00M,11.33B,13.14B,3.00M,-1.511B,4.664B,,,,-45.00M,3.111B
2012-03,358.00M,358.00M,750.00M,25.00M,785.00M,888.00M,50.00M,29.00M,158.00M,,2.268B,146.00M,899.00M,15.76B,-5.008B,10.76B,,53.00M,,454.00M,,268.00M,13.89B,16.16B,409.00M,206.00M,623.00M,100.00M,723.00M,,,837.00M,837.00M,,,259.00M,1.819B,257.00M,6.193B,162.00M,6.355B,1.101B,1.101B,1.288B,44.00M,,328.00M,11.25B,13.07B,3.00M,-1.548B,4.641B,,,,-47.00M,3.049B
2011-12,161.00M,161.00M,879.00M,49.00M,928.00M,1.187B,50.00M,27.00M,211.00M,1.00M,2.565B,6.245B,783.00M,15.53B,-4.901B,10.63B,,50.00M,,462.00M,,276.00M,13.89B,16.45B,584.00M,282.00M,866.00M,131.00M,997.00M,0.00,1.057B,1.057B,1.057B,0.00,0.00,284.00M,2.338B,254.00M,6.04B,167.00M,6.207B,1.081B,1.081B,1.289B,44.00M,,336.00M,11.04B,13.38B,3.00M,-1.553B,4.627B,,,,-49.00M,3.028B
2011-09,623.00M,623.00M,690.00M,62.00M,762.00M,1.279B,49.00M,29.00M,116.00M,2.00M,2.86B,147.00M,672.00M,15.28B,-4.869B,10.41B,,53.00M,,430.00M,,203.00M,13.10B,15.96B,484.00M,103.00M,596.00M,94.00M,690.00M,,,1.14B,1.14B,132.00M,132.00M,252.00M,2.214B,254.00M,6.037B,171.00M,6.208B,917.00M,917.00M,1.139B,44.00M,,265.00M,10.66B,12.87B,3.00M,-1.542B,4.622B,,,,-40.00M,3.043B
2011-06,994.00M,994.00M,719.00M,57.00M,786.00M,969.00M,37.00M,29.00M,133.00M,8.00M,2.956B,143.00M,644.00M,15.06B,-4.802B,10.26B,,52.00M,,398.00M,,234.00M,12.99B,15.94B,444.00M,239.00M,691.00M,150.00M,841.00M,,,1.123B,1.123B,154.00M,154.00M,123.00M,2.241B,252.00M,6.184B,177.00M,6.361B,815.00M,815.00M,1.136B,44.00M,,278.00M,10.70B,12.94B,3.00M,-1.628B,4.621B,,,,-38.00M,2.958B
2011-03,801.00M,801.00M,930.00M,55.00M,996.00M,712.00M,39.00M,30.00M,149.00M,14.00M,2.741B,142.00M,627.00M,14.87B,-4.731B,10.14B,,51.00M,,381.00M,,252.00M,12.90B,15.64B,413.00M,239.00M,660.00M,95.00M,755.00M,,,1.275B,1.275B,150.00M,150.00M,110.00M,2.29B,249.00M,5.926B,182.00M,6.108B,593.00M,593.00M,1.135B,44.00M,,288.00M,10.42B,12.71B,3.00M,-1.675B,4.599B,,,,-40.00M,2.887B
2010-12,247.00M,247.00M,981.00M,70.00M,1.076B,1.175B,37.00M,23.00M,180.00M,19.00M,2.759B,138.00M,570.00M,14.72B,-4.646B,10.07B,,49.00M,,397.00M,,249.00M,12.86B,15.62B,492.00M,302.00M,803.00M,121.00M,924.00M,,,750.00M,750.00M,180.00M,180.00M,167.00M,2.021B,245.00M,6.448B,188.00M,6.636B,487.00M,487.00M,1.135B,44.00M,,267.00M,10.76B,12.78B,2.00M,-1.757B,4.588B,,,,-40.00M,2.793B
2010-09,696.00M,696.00M,681.00M,74.00M,755.00M,224.00M,39.00M,23.00M,111.00M,1.236B,3.086B,13.93B,605.00M,14.53B,-4.616B,9.918B,,49.00M,322.00M,,,2.196B,12.48B,15.57B,464.00M,114.00M,578.00M,93.00M,671.00M,0.00,1.031B,1.031B,1.031B,191.00M,191.00M,404.00M,2.297B,237.00M,6.013B,190.00M,6.203B,453.00M,453.00M,1.283B,45.00M,,2.232B,10.41B,12.70B,0.00,-1.731B,4.583B,,,,-31.00M,2.821B
2010-06,536.00M,536.00M,705.00M,72.00M,777.00M,1.077B,35.00M,22.00M,127.00M,45.00M,2.621B,13.73B,643.00M,14.37B,-4.566B,9.804B,,52.00M,286.00M,,,2.288B,12.43B,15.05B,460.00M,230.00M,690.00M,113.00M,803.00M,0.00,653.00M,653.00M,653.00M,51.00M,51.00M,229.00M,1.736B,235.00M,5.883B,196.00M,6.079B,493.00M,493.00M,1.276B,45.00M,,2.239B,10.32B,12.06B,241.00M,-1.831B,4.569B,239.00M,,,-31.00M,2.948B
2010-03,755.00M,755.00M,882.00M,81.00M,973.00M,846.00M,35.00M,23.00M,142.00M,21.00M,2.795B,13.59B,563.00M,14.15B,-4.507B,9.647B,,52.00M,257.00M,,,2.475B,12.43B,15.23B,403.00M,238.00M,641.00M,80.00M,721.00M,14.00M,706.00M,720.00M,720.00M,18.00M,18.00M,234.00M,1.693B,,6.103B,202.00M,6.305B,458.00M,458.00M,1.366B,44.00M,,2.463B,10.59B,12.28B,2.00M,-1.876B,4.564B,,,,-32.00M,2.897B
2009-12,90.00M,90.00M,948.00M,81.00M,1.029B,276.00M,31.00M,32.00M,172.00M,1.11B,2.742B,13.72B,506.00M,14.22B,-4.54B,9.682B,,9.00M,297.00M,,,2.526B,12.51B,15.26B,509.00M,283.00M,792.00M,117.00M,909.00M,40.00M,694.00M,734.00M,734.00M,43.00M,43.00M,268.00M,1.954B,229.00M,5.895B,197.00M,6.092B,282.00M,282.00M,1.46B,97.00M,,2.301B,10.36B,12.32B,241.00M,-1.927B,4.56B,239.00M,,,-33.00M,2.841B
2009-09,183.00M,183.00M,665.00M,87.00M,752.00M,1.527B,28.00M,30.00M,115.00M,27.00M,2.662B,13.56B,524.00M,14.08B,-4.515B,9.566B,,9.00M,227.00M,,,2.419B,12.22B,14.88B,376.00M,,376.00M,225.00M,601.00M,50.00M,662.00M,712.00M,712.00M,185.00M,185.00M,332.00M,1.83B,,5.923B,193.00M,6.116B,157.00M,157.00M,1.336B,53.00M,,2.474B,10.08B,11.91B,2.00M,-1.90B,4.555B,,,,-23.00M,2.917B
2009-06,1.025B,1.025B,701.00M,87.00M,788.00M,251.00M,25.00M,31.00M,128.00M,908.00M,3.156B,13.33B,553.00M,13.88B,-4.462B,9.421B,,10.00M,196.00M,,,2.494B,12.12B,15.28B,406.00M,225.00M,631.00M,171.00M,802.00M,19.00M,604.00M,623.00M,623.00M,129.00M,129.00M,269.00M,1.823B,211.00M,6.39B,197.00M,6.587B,167.00M,167.00M,1.324B,51.00M,,1.713B,10.53B,12.36B,289.00M,-1.945B,4.552B,287.00M,,,-27.00M,2.869B
2009-03,826.00M,826.00M,982.00M,77.00M,1.065B,839.00M,59.00M,36.00M,140.00M,19.00M,2.984B,13.29B,498.00M,13.79B,-4.524B,9.266B,,11.00M,180.00M,,,2.561B,12.02B,15.00B,354.00M,227.00M,581.00M,122.00M,703.00M,,,311.00M,311.00M,113.00M,113.00M,309.00M,1.436B,,6.457B,200.00M,6.657B,130.00M,130.00M,1.516B,52.00M,,2.407B,10.71B,12.15B,289.00M,-1.991B,4.538B,287.00M,,,-32.00M,2.804B
2008-12,207.00M,207.00M,850.00M,95.00M,952.00M,1.405B,37.00M,35.00M,165.00M,26.00M,2.827B,12.96B,608.00M,13.57B,-4.387B,9.181B,,11.00M,186.00M,,55.00M,2.641B,12.07B,14.90B,516.00M,289.00M,805.00M,114.00M,919.00M,0.00,514.00M,514.00M,514.00M,100.00M,100.00M,330.00M,1.863B,,6.015B,206.00M,6.221B,54.00M,54.00M,1.502B,96.00M,,,7.777B,12.09B,2.00M,-2.031B,4.533B,,,,-28.00M,2.719B
2008-09,162.00M,162.00M,738.00M,,738.00M,1.726B,,,,204.00M,2.83B,12.91B,446.00M,13.36B,-4.36B,8.995B,,,,,,2.252B,11.25B,14.08B,417.00M,,417.00M,809.00M,1.226B,,,649.00M,649.00M,,,,1.875B,,5.896B,212.00M,6.108B,56.00M,56.00M,,53.00M,44.00M,,6.208B,11.35B,251.00M,-2.047B,4.491B,249.00M,,,-17.00M,2.678B
