,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-09,1.527B,1.527B,942.00M,585.00M,1.00M,62.00M,111.00M,3.00M,-108.00M,,255.00M,330.00M,3.00M,111.00M,-108.00M,7.00M,-108.00M,229.00M,57.00M,172.00M,,,0.00,,172.00M,171.25M,533.00M,193.00M,340.00M,0.61,,,0.6073,0.61,0.61,,,0.6073,0.61,280.80M,281.60M,0.3325
2017-06,1.449B,1.449B,945.00M,504.00M,2.00M,66.00M,110.00M,2.00M,-108.00M,,263.00M,241.00M,2.00M,110.00M,-108.00M,7.00M,-108.00M,140.00M,47.00M,93.00M,,,-1.00M,,92.00M,90.67M,447.00M,197.00M,250.00M,0.33,,,0.3252,0.33,0.33,,,0.3253,0.33,279.50M,280.30M,0.3325
2017-03,1.829B,1.829B,1.098B,731.00M,2.00M,81.00M,107.00M,5.00M,-102.00M,,343.00M,388.00M,5.00M,107.00M,-102.00M,9.00M,-102.00M,295.00M,96.00M,199.00M,,,,,199.00M,197.65M,664.00M,262.00M,402.00M,0.71,,,0.7052,0.71,0.71,,,0.7052,0.71,278.90M,279.90M,0.3325
2016-12,1.64B,1.64B,1.074B,566.00M,3.00M,72.00M,111.00M,2.00M,-109.00M,,286.00M,280.00M,2.00M,111.00M,-109.00M,-47.00M,-109.00M,124.00M,46.00M,78.00M,,,-1.00M,,77.00M,75.11M,449.00M,214.00M,235.00M,0.28,,,0.2732,0.28,0.28,,,0.2732,0.28,278.50M,279.20M,0.31
2016-09,1.587B,1.587B,967.00M,620.00M,3.00M,62.00M,110.00M,1.00M,-109.00M,,245.00M,375.00M,1.00M,110.00M,-109.00M,15.00M,-109.00M,281.00M,95.00M,186.00M,,,0.00,,186.00M,184.01M,574.00M,183.00M,391.00M,0.67,,,0.6629,0.67,0.67,,,0.6629,0.67,278.20M,279.20M,0.31
2016-06,1.371B,1.371B,860.00M,511.00M,3.00M,60.00M,108.00M,2.00M,-106.00M,,236.00M,275.00M,2.00M,108.00M,-106.00M,14.00M,-106.00M,183.00M,58.00M,125.00M,,,-1.00M,,124.00M,121.95M,467.00M,176.00M,291.00M,0.45,,,0.4426,0.45,0.45,,,0.4427,0.45,278.20M,279.30M,0.31
2016-03,1.801B,1.801B,1.15B,651.00M,3.00M,87.00M,106.00M,1.00M,-105.00M,,325.00M,326.00M,1.00M,106.00M,-105.00M,17.00M,-105.00M,238.00M,74.00M,164.00M,,,,,164.00M,161.93M,582.00M,238.00M,344.00M,0.59,,,0.5825,0.59,0.59,,,0.5826,0.59,276.70M,277.90M,0.31
2015-12,1.509B,1.509B,1.001B,508.00M,3.00M,62.00M,91.00M,9.00M,-82.00M,,248.00M,260.00M,9.00M,91.00M,-82.00M,-11.00M,-82.00M,167.00M,60.00M,107.00M,,,-1.00M,,106.00M,104.08M,444.00M,186.00M,258.00M,0.39,,,0.383,0.39,0.38,,,0.3731,0.38,276.20M,277.10M,0.29
2015-09,1.486B,1.486B,937.00M,549.00M,3.00M,59.00M,101.00M,1.00M,-100.00M,,232.00M,317.00M,1.00M,101.00M,-100.00M,6.00M,-100.00M,223.00M,75.00M,148.00M,,,,,148.00M,146.01M,497.00M,173.00M,324.00M,0.53,,,0.5228,0.53,0.53,,,0.5228,0.53,276.00M,276.90M,0.29
2015-06,1.35B,1.35B,917.00M,433.00M,2.00M,60.00M,103.00M,1.00M,-102.00M,,229.00M,204.00M,1.00M,103.00M,-102.00M,2.00M,-102.00M,104.00M,36.00M,68.00M,,,-1.00M,,67.00M,65.69M,376.00M,169.00M,207.00M,0.25,,,0.2453,0.25,0.25,,,0.2453,0.25,275.40M,276.20M,0.29
2015-03,2.111B,2.111B,1.411B,700.00M,2.00M,81.00M,101.00M,1.00M,-100.00M,,303.00M,397.00M,1.00M,101.00M,-100.00M,5.00M,-100.00M,302.00M,100.00M,202.00M,,,,,202.00M,200.66M,625.00M,222.00M,403.00M,0.73,,,0.7251,0.73,0.73,,,0.7251,0.73,274.80M,275.70M,0.29
2014-12,1.758B,1.758B,1.239B,519.00M,2.00M,64.00M,104.00M,3.00M,-101.00M,,246.00M,273.00M,3.00M,104.00M,-101.00M,-20.00M,-101.00M,152.00M,55.00M,97.00M,,,-1.00M,,96.00M,94.72M,438.00M,182.00M,256.00M,0.35,,,0.3453,0.35,0.35,,,0.3454,0.35,274.20M,275.80M,0.27
2014-09,1.43B,1.43B,984.00M,446.00M,2.00M,57.00M,101.00M,1.00M,-100.00M,,210.00M,236.00M,1.00M,101.00M,-100.00M,5.00M,-100.00M,141.00M,47.00M,94.00M,,,0.00,,94.00M,92.67M,395.00M,153.00M,242.00M,0.34,,,0.3351,0.34,0.34,,,0.3351,0.34,274.00M,274.70M,0.27
2014-06,1.468B,1.468B,1.026B,442.00M,2.00M,56.00M,101.00M,1.00M,-100.00M,,207.00M,235.00M,1.00M,101.00M,-100.00M,-8.00M,-100.00M,127.00M,43.00M,84.00M,,,-1.00M,,83.00M,81.68M,379.00M,151.00M,228.00M,0.31,,,0.3051,0.31,0.3,,,0.2952,0.3,268.00M,274.60M,0.27
2014-03,2.523B,2.523B,1.841B,682.00M,2.00M,75.00M,101.00M,0.00,-101.00M,,274.00M,408.00M,0.00,101.00M,-101.00M,2.00M,-101.00M,309.00M,105.00M,204.00M,,,,,204.00M,202.68M,609.00M,199.00M,410.00M,0.77,,,0.765,0.77,0.75,,,0.7452,0.75,266.10M,273.00M,0.27
2013-12,1.736B,1.736B,1.247B,489.00M,1.00M,60.00M,99.00M,0.00,-99.00M,,225.00M,264.00M,0.00,99.00M,-99.00M,-1.00M,-99.00M,164.00M,62.00M,102.00M,,,0.00,,102.00M,101.38M,428.00M,165.00M,263.00M,0.3849,0.0,,0.3826,0.38,0.375,0.0,,0.3727,0.37,265.10M,272.80M,0.255
2013-09,1.445B,1.445B,929.00M,516.00M,1.00M,54.00M,99.00M,1.00M,-98.00M,,199.00M,317.00M,1.00M,99.00M,-98.00M,-1.00M,-98.00M,218.00M,91.00M,127.00M,,,-1.00M,,126.00M,125.35M,462.00M,145.00M,317.00M,0.48,,,0.4775,0.48,0.46,,,0.4576,0.46,264.80M,272.00M,0.255
2013-06,1.406B,1.406B,987.00M,419.00M,1.00M,50.00M,102.00M,2.00M,-100.00M,,187.00M,232.00M,2.00M,102.00M,-100.00M,3.00M,-100.00M,135.00M,54.00M,81.00M,,,-1.00M,,80.00M,79.40M,374.00M,137.00M,237.00M,0.3,,,0.2977,0.3,0.29,,,0.2878,0.29,264.50M,272.20M,0.255
2013-03,1.979B,1.979B,1.399B,580.00M,3.00M,70.00M,98.00M,,-98.00M,,251.00M,329.00M,,98.00M,-98.00M,8.00M,-98.00M,239.00M,95.00M,144.00M,,,,,144.00M,142.19M,518.00M,181.00M,337.00M,0.55,,,0.5431,0.55,0.53,,,0.5233,0.53,263.60M,270.90M,0.255
2012-12,1.67B,1.67B,1.24B,430.00M,1.00M,59.00M,96.00M,2.00M,-94.00M,,217.00M,213.00M,2.00M,96.00M,-94.00M,-10.00M,-94.00M,109.00M,42.00M,67.00M,0.00,,0.00,,67.00M,66.39M,363.00M,158.00M,205.00M,0.2534,-0.0001,,0.251,0.25,0.2473,-0.0001,,0.245,0.25,263.10M,270.10M,0.24
2012-09,1.507B,1.507B,974.00M,533.00M,3.00M,53.00M,96.00M,1.00M,-95.00M,,191.00M,342.00M,1.00M,96.00M,-95.00M,6.00M,-95.00M,247.00M,98.00M,149.00M,0.00,,-1.00M,,148.00M,146.19M,481.00M,138.00M,343.00M,0.563,0.0,,0.5561,0.56,0.5502,0.0,,0.5435,0.55,262.90M,269.00M,0.24
2012-06,1.333B,1.333B,895.00M,438.00M,2.00M,48.00M,98.00M,1.00M,-97.00M,,178.00M,260.00M,1.00M,98.00M,-97.00M,5.00M,-97.00M,168.00M,67.00M,101.00M,0.00,,-1.00M,,100.00M,98.80M,396.00M,130.00M,266.00M,0.3828,0.0,,0.3782,0.38,0.3729,0.0,,0.3684,0.37,261.20M,268.20M,0.24
2012-03,1.743B,1.743B,1.314B,429.00M,2.00M,69.00M,99.00M,1.00M,-98.00M,,241.00M,188.00M,1.00M,99.00M,-98.00M,8.00M,-98.00M,98.00M,38.00M,60.00M,7.00M,,,,67.00M,58.78M,369.00M,172.00M,197.00M,0.2347,0.0274,,0.23,0.23,0.2249,0.0262,,0.2203,0.22,255.60M,266.80M,0.24
2011-12,1.62B,1.62B,2.118B,-498.00M,-2.00M,54.00M,102.00M,1.00M,-101.00M,,-672.00M,174.00M,1.00M,102.00M,-101.00M,-9.00M,-101.00M,64.00M,23.00M,41.00M,0.00,,0.00,,41.00M,42.28M,308.00M,142.00M,166.00M,0.1667,-0.002,,0.1718,0.16,0.148,-0.0024,,0.1528,0.14,251.70M,266.70M,0.21
2011-09,1.464B,1.464B,694.00M,770.00M,1.00M,33.00M,104.00M,4.00M,-100.00M,301.00M,454.00M,316.00M,4.00M,104.00M,-100.00M,5.00M,-100.00M,221.00M,81.00M,140.00M,0.00,,-1.00M,,139.00M,138.37M,445.00M,120.00M,325.00M,0.55,0.0,,0.5475,0.55,0.53,0.0,,0.5276,0.53,251.30M,263.90M,0.21
2011-06,1.364B,1.364B,696.00M,668.00M,4.00M,51.00M,104.00M,2.00M,-102.00M,,461.00M,207.00M,2.00M,104.00M,-102.00M,6.00M,-102.00M,111.00M,10.00M,101.00M,0.00,,-1.00M,,100.00M,96.36M,337.00M,122.00M,215.00M,0.4,0.0,,0.3855,0.4,0.38,0.0,,0.3661,0.38,250.30M,261.90M,0.21
2011-03,2.055B,2.055B,1.241B,814.00M,3.00M,67.00M,105.00M,2.00M,-103.00M,,508.00M,306.00M,2.00M,105.00M,-103.00M,7.00M,-103.00M,210.00M,77.00M,133.00M,2.00M,,,,135.00M,131.10M,477.00M,162.00M,315.00M,0.53,0.01,,0.5224,0.54,0.51,0.01,,0.5027,0.52,250.00M,261.70M,0.21
2010-12,1.682B,1.682B,2.174B,-492.00M,-69.00M,54.00M,107.00M,5.00M,-102.00M,,-700.00M,208.00M,5.00M,107.00M,-102.00M,-58.00M,-102.00M,48.00M,17.00M,31.00M,-6.00M,,0.00,0.00,25.00M,75.56M,295.00M,140.00M,155.00M,0.12,-0.1,,0.3051,0.02,0.1,-0.1,,0.27,0.02,240.80M,262.20M,0.21
2010-09,1.443B,1.443B,671.00M,772.00M,10.00M,49.00M,102.00M,5.00M,-97.00M,,455.00M,317.00M,5.00M,102.00M,-97.00M,13.00M,-97.00M,233.00M,87.00M,146.00M,0.00,,-1.00M,11.00M,145.00M,138.73M,468.00M,133.00M,335.00M,0.58,0.05,,0.5526,0.63,0.53,0.04,,0.5054,0.57,229.00M,254.70M,0.15
2010-06,1.34B,1.34B,664.00M,676.00M,62.00M,41.00M,117.00M,4.00M,-113.00M,,468.00M,208.00M,4.00M,117.00M,-113.00M,64.00M,-113.00M,159.00M,59.00M,100.00M,-16.00M,,-2.00M,2.00M,82.00M,59.01M,407.00M,131.00M,276.00M,0.42,-0.07,,0.2491,0.35,0.39,-0.07,,0.2325,0.32,228.20M,247.60M,0.15
2010-03,1.967B,1.967B,1.215B,752.00M,8.00M,66.00M,105.00M,5.00M,-100.00M,,513.00M,239.00M,5.00M,105.00M,-100.00M,11.00M,-100.00M,150.00M,61.00M,89.00M,-1.00M,,,3.00M,88.00M,83.80M,427.00M,172.00M,255.00M,0.38,-0.01,,0.3572,0.37,0.35,-0.01,,0.3289,0.34,228.00M,246.50M,0.15
2009-12,1.613B,1.613B,994.00M,619.00M,28.00M,53.00M,128.00M,5.00M,-123.00M,,524.00M,95.00M,5.00M,128.00M,-123.00M,28.00M,-123.00M,0.00,-14.00M,14.00M,-3.00M,,-2.00M,3.00M,9.00M,-16.00M,276.00M,148.00M,128.00M,0.04,-0.01,,-0.0829,0.03,0.03,-0.02,,-0.0845,0.01,227.80M,244.50M,0.125
2009-09,1.263B,1.263B,581.00M,682.00M,-8.00M,51.00M,103.00M,5.00M,-98.00M,273.00M,452.00M,230.00M,5.00M,103.00M,-98.00M,-9.00M,-98.00M,123.00M,47.00M,76.00M,-1.00M,,-6.00M,2.00M,69.00M,74.94M,354.00M,128.00M,226.00M,0.3,-0.01,,0.3217,0.29,0.29,-0.01,,0.3107,0.28,227.30M,238.50M,0.125
2009-06,1.225B,1.225B,608.00M,617.00M,30.00M,48.00M,98.00M,4.00M,-94.00M,298.00M,467.00M,150.00M,4.00M,98.00M,-94.00M,30.00M,-94.00M,87.00M,32.00M,55.00M,25.00M,,-2.00M,3.00M,78.00M,34.03M,306.00M,121.00M,185.00M,0.22,0.11,,0.1364,0.33,0.21,0.11,,0.1292,0.32,226.90M,234.60M,0.125
2009-03,2.104B,2.104B,1.387B,717.00M,12.00M,65.00M,100.00M,4.00M,-96.00M,269.00M,507.00M,210.00M,4.00M,100.00M,-96.00M,12.00M,-96.00M,125.00M,50.00M,75.00M,-1.00M,,-1.00M,3.00M,73.00M,66.80M,398.00M,173.00M,225.00M,0.32,-0.01,,0.2882,0.31,0.31,-0.01,,0.2791,0.3,226.60M,233.20M,0.125
2008-12,1.83B,1.83B,2.716B,-886.00M,-14.00M,48.00M,,,,-1.271B,-1.071B,185.00M,,,,-14.00M,,78.00M,13.00M,65.00M,,,-1.00M,3.00M,59.00M,69.67M,383.00M,125.00M,231.00M,0.23,0.0,,0.2804,0.23,0.23,0.0,,0.2795,0.23,231.70M,235.90M,0.09
2008-09,1.428B,1.428B,579.00M,849.00M,3.00M,47.00M,,,,460.00M,642.00M,207.00M,,,,3.00M,,117.00M,37.00M,80.00M,1.00M,,-2.00M,2.00M,81.00M,77.95M,370.00M,163.00M,207.00M,0.35,0.01,,0.3408,0.36,0.33,0.01,,0.3212,0.34,224.10M,234.30M,0.09
2008-06,1.365B,1.365B,783.00M,582.00M,6.00M,48.00M,97.00M,9.00M,-88.00M,250.00M,426.00M,156.00M,9.00M,97.00M,-88.00M,6.00M,-88.00M,73.00M,24.00M,49.00M,-1.00M,,-1.00M,3.00M,47.00M,43.97M,298.00M,128.00M,170.00M,0.21,-0.01,,0.1921,0.2,0.19,-0.01,,0.1733,0.18,225.40M,240.60M,0.09
2008-03,2.184B,2.184B,1.469B,715.00M,10.00M,60.00M,101.00M,9.00M,-92.00M,228.00M,461.00M,254.00M,9.00M,101.00M,-92.00M,10.00M,-92.00M,171.00M,63.00M,108.00M,,,-3.00M,3.00M,105.00M,98.68M,445.00M,173.00M,272.00M,0.45,0.0,,0.422,0.45,0.43,0.0,,0.4034,0.43,225.20M,237.60M,0.09
2007-12,1.674B,1.674B,2.615B,-941.00M,59.00M,46.00M,,,,-894.00M,-710.00M,-231.00M,,,,59.00M,,-259.00M,-137.00M,-122.00M,-2.00M,,-1.00M,3.00M,-124.00M,-160.35M,-93.00M,97.00M,-231.00M,-0.56,-0.01,,-0.732,-0.57,-0.56,-0.01,,-0.732,-0.57,223.00M,223.00M,0.05
2007-09,1.282B,1.282B,548.00M,734.00M,19.00M,53.00M,,,,366.00M,540.00M,194.00M,,,,19.00M,,130.00M,46.00M,84.00M,,,-4.00M,2.00M,84.00M,71.72M,332.00M,138.00M,194.00M,0.37,0.0,,0.3149,0.37,0.34,0.0,,0.2891,0.34,223.00M,241.30M,0.05
2007-06,1.319B,1.319B,472.00M,847.00M,5.00M,55.00M,,,,667.00M,843.00M,4.00M,,,,5.00M,,-84.00M,-29.00M,-55.00M,91.00M,,-3.00M,3.00M,36.00M,-58.27M,142.00M,138.00M,4.00M,-0.26,0.41,,-0.2749,0.15,-0.26,0.41,,-0.2749,0.15,220.00M,220.00M,0.05
2007-03,2.189B,2.189B,440.00M,1.749B,31.00M,68.00M,,,,1.568B,1.796B,-47.00M,,,,31.00M,,-108.00M,-75.00M,-33.00M,-178.00M,,-2.00M,3.00M,-211.00M,-53.15M,125.00M,172.00M,-47.00M,-0.17,-0.8,,-0.2613,-0.97,-0.17,-0.8,,-0.2613,-0.97,220.62M,220.62M,0.05
2006-12,1.722B,1.722B,2.466B,-744.00M,105.00M,48.00M,,,,-760.00M,-564.00M,-180.00M,,,,105.00M,,-91.00M,-40.00M,-51.00M,22.00M,,73.00M,3.00M,-29.00M,-114.00M,-22.00M,158.00M,-180.00M,-0.25,0.1,,-0.5517,-0.15,-0.25,0.1,,-0.5517,-0.15,208.82M,208.82M,0.0
2006-09,1.288B,1.288B,457.00M,831.00M,30.00M,-21.00M,,,,774.00M,877.00M,-46.00M,,,,30.00M,,-153.00M,-41.00M,-112.00M,11.00M,,-38.00M,2.00M,-101.00M,-133.96M,78.00M,106.00M,-46.00M,-0.52,0.05,,-0.6202,-0.47,-0.52,0.05,,-0.6202,-0.47,219.15M,219.15M,0.0
2006-06,1.219B,1.219B,374.00M,845.00M,29.00M,55.00M,,,,608.00M,784.00M,61.00M,,,,29.00M,,-17.00M,-80.00M,63.00M,12.00M,,,3.00M,75.00M,45.60M,200.00M,139.00M,61.00M,0.27,0.06,,0.1902,0.33,0.26,0.05,,0.1851,0.31,218.18M,232.26M,0.0
2006-03,1.973B,1.973B,472.00M,1.501B,-1.00M,76.00M,,,,1.286B,1.52B,-19.00M,,,,-1.00M,,-60.00M,-28.00M,-32.00M,8.00M,,69.00M,3.00M,-24.00M,-31.40M,154.00M,173.00M,-19.00M,-0.16,0.04,,-0.1573,-0.12,-0.16,0.04,,-0.1573,-0.12,225.00M,225.00M,0.0
2005-12,1.458B,1.458B,2.172B,-714.00M,-1.00M,26.00M,,,,-694.00M,-563.00M,-151.00M,,,,-1.00M,,-124.00M,-64.00M,-60.00M,,,65.00M,3.00M,-3.00M,-59.40M,-25.00M,126.00M,-151.00M,-0.29,0.27,,-0.2873,-0.02,-0.29,0.27,,-0.2873,-0.02,225.97M,225.97M,0.0
2005-09,1.335B,1.335B,446.00M,889.00M,50.00M,59.00M,,,,1.553B,1.733B,-844.00M,,,,50.00M,,-428.00M,-165.00M,-263.00M,,,479.00M,2.00M,-263.00M,-293.72M,-723.00M,121.00M,-844.00M,-1.21,0.0,,-1.35,-1.21,-1.21,0.0,,-1.35,-1.21,219.01M,219.01M,0.0
2005-06,1.23B,1.23B,319.00M,911.00M,40.00M,66.00M,,,,654.00M,842.00M,69.00M,,,,40.00M,,5.00M,-25.00M,30.00M,,,14.00M,3.00M,30.00M,6.00M,191.00M,122.00M,69.00M,0.12,0.0,,0.0133,0.12,0.12,0.0,,0.0133,0.12,225.00M,225.00M,0.0
2005-03,1.845B,1.845B,63.00M,1.782B,45.00M,75.00M,,,,1.131B,1.362B,420.00M,,,,45.00M,,226.00M,74.00M,152.00M,,,-113.00M,2.00M,152.00M,121.73M,576.00M,156.00M,420.00M,0.77,0.0,,0.6146,0.77,0.74,0.0,,0.5907,0.74,194.81M,202.70M,0.0
2004-12,1.562B,1.562B,303.00M,1.259B,14.00M,70.00M,,,,906.00M,1.041B,218.00M,,,,14.00M,,46.00M,-13.00M,59.00M,-10.00M,0.00,2.00M,2.00M,49.00M,50.60M,283.00M,65.00M,218.00M,0.32,-0.06,0.0,0.2763,0.26,0.31,-0.06,0.0006,0.2663,0.26,192.31M,192.31M,0.0
2004-09,1.063B,1.063B,315.00M,748.00M,69.00M,64.00M,,,,430.00M,608.00M,140.00M,,,,69.00M,,69.00M,18.00M,51.00M,8.00M,,-5.00M,3.00M,59.00M,0.00,254.00M,114.00M,140.00M,0.3,0.05,,-0.0188,0.35,0.29,0.05,,-0.0196,0.34,160.00M,164.71M,0.0
2004-06,1.093B,1.093B,264.00M,829.00M,46.00M,62.00M,,,,552.00M,722.00M,107.00M,,,,46.00M,,12.00M,-7.00M,19.00M,,,-1.00M,3.00M,19.00M,-8.60M,215.00M,108.00M,107.00M,0.1,0.0,,-0.0725,0.1,0.1,0.0,,-0.0725,0.1,160.00M,160.00M,0.0
2004-03,1.754B,1.754B,249.00M,1.505B,22.00M,74.00M,,,,1.161B,1.379B,126.00M,,,,22.00M,,-5.00M,-3.00M,-2.00M,-2.00M,-2.00M,-11.00M,3.00M,-6.00M,-15.20M,270.00M,144.00M,126.00M,-0.04,-0.01,0.0,-0.128,-0.06,-0.04,-0.01,-0.0133,-0.128,-0.06,150.00M,150.00M,0.0
2003-12,1.372B,1.372B,-1.065B,2.437B,47.00M,57.00M,,,,2.194B,2.371B,66.00M,,,,47.00M,,-25.00M,10.00M,-35.00M,43.00M,0.00,,,7.00M,-63.20M,220.00M,154.00M,66.00M,-0.24,0.3,0.0,-0.3967,0.06,-0.24,0.3,0.0096,-0.3967,0.06,180.00M,180.00M,0.0
2003-09,1.047B,1.047B,523.00M,524.00M,19.00M,58.00M,,,,326.00M,474.00M,50.00M,,,,19.00M,,-96.00M,-25.00M,-71.00M,2.00M,,-11.00M,,-69.00M,-85.05M,140.00M,90.00M,50.00M,-0.47,0.01,,-0.5637,-0.46,-0.47,0.01,,-0.5637,-0.46,150.00M,150.00M,0.0
2003-06,1.126B,1.126B,324.00M,802.00M,45.00M,7.00M,,,,579.00M,676.00M,126.00M,,,,45.00M,,22.00M,34.00M,-12.00M,-53.00M,,-1.00M,,-65.00M,-39.00M,216.00M,90.00M,126.00M,-0.08,-0.37,,-0.2669,-0.45,-0.08,-0.37,,-0.2669,-0.45,144.44M,144.44M,0.0
