,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,10.37B,10.37B,1.241B,3.869B,5.11B,,,435.00M,243.00M,,,16.16B,,,,,9.404B,,9.404B,-5.119B,4.285B,12.46B,,12.46B,474.00M,1.424B,18.64B,34.80B,,2018-03,,1.395B,,,,,1.479B,1.479B,,2.337B,6.415B,14.39B,,14.39B,,,5.362B,,,946.00M,20.70B,27.12B,174.00M,13.20B,0.00,,,7.68B,,2018-03,AOR,Restated
2017-12,11.22B,11.22B,1.054B,3.465B,4.519B,97.00M,342.00M,398.00M,445.00M,,,16.59B,0.00,420.00M,1.834B,5.642B,,1.395B,9.291B,-5.066B,4.225B,12.46B,52.00M,12.51B,447.00M,1.362B,18.54B,35.13B,,2017-12,,1.661B,,,,,1.761B,1.761B,,2.288B,7.092B,14.40B,,14.40B,0.00,0.00,5.511B,,,994.00M,20.90B,28.00B,174.00M,6.913B,44.00M,,,7.132B,,2017-12,AOR,Restated
2017-09,1.878B,1.878B,4.414B,,4.414B,,,1.007B,300.00M,,,7.599B,,,,,8.919B,,8.919B,-4.994B,3.925B,12.46B,,12.46B,1.20B,1.333B,18.91B,26.51B,,2017-09,,1.507B,,,,,1.29B,1.29B,,2.194B,6.30B,6.227B,,6.227B,,,6.579B,,,914.00M,13.72B,20.02B,174.00M,11.55B,16.00M,,,6.493B,,2017-09,AOR,Restated
2017-06,1.383B,1.383B,4.28B,,4.28B,,,1.039B,162.00M,,,6.864B,,,,,8.767B,,8.767B,-4.965B,3.802B,12.45B,,12.45B,1.385B,1.309B,18.95B,25.81B,,2017-06,,1.385B,,,,,1.34B,1.34B,,2.248B,6.186B,6.219B,,6.219B,,,6.666B,,,823.00M,13.71B,19.89B,174.00M,11.09B,0.00,,,5.919B,,2017-06,AOR,Restated
2017-03,1.403B,1.403B,4.072B,,4.072B,,,933.00M,160.00M,,,6.568B,,,,,8.56B,,8.56B,-4.904B,3.656B,12.45B,,12.45B,1.416B,1.319B,18.84B,25.41B,,2017-03,,1.374B,,,,,1.286B,1.286B,,1.367B,5.168B,7.06B,,7.06B,,,6.746B,,,881.00M,14.69B,19.86B,175.00M,10.82B,0.00,,,5.558B,,2017-03,AOR,Restated
2016-12,2.541B,2.541B,3.299B,,3.299B,100.00M,1.823B,816.00M,200.00M,,,6.856B,0.00,415.00M,1.798B,5.15B,,1.056B,8.419B,-4.831B,3.588B,12.45B,,12.45B,1.462B,1.258B,18.76B,25.61B,,2016-12,,1.554B,,,,,1.471B,1.471B,,1.263B,5.63B,7.058B,,7.058B,,,6.818B,,,849.00M,14.72B,20.36B,175.00M,10.63B,0.00,,,5.259B,,2016-12,AOR,Restated
2016-09,1.103B,1.103B,3.659B,,3.659B,,,797.00M,212.00M,,,5.771B,,,,,8.279B,,8.279B,-4.945B,3.334B,12.46B,,12.46B,1.239B,1.292B,18.33B,24.10B,,2016-09,,1.325B,,,,,1.306B,1.306B,,1.218B,5.106B,6.387B,,6.387B,,,6.009B,,,831.00M,13.23B,18.33B,177.00M,10.63B,0.00,,,5.767B,,2016-09,AOR,Restated
2016-06,1.139B,1.139B,3.483B,,3.483B,,,973.00M,186.00M,,,5.781B,,,,,8.226B,,8.226B,-4.927B,3.299B,12.46B,,12.46B,1.375B,1.163B,18.30B,24.08B,,2016-06,,1.272B,,,,,1.383B,1.383B,,1.332B,5.099B,6.387B,,6.387B,,,6.061B,,,853.00M,13.30B,18.40B,179.00M,10.63B,0.00,,,5.681B,,2016-06,AOR,Restated
2016-03,1.277B,1.277B,3.346B,,3.346B,,,898.00M,185.00M,,,5.706B,,,,,8.107B,,8.107B,-4.877B,3.23B,12.46B,,12.46B,1.383B,1.152B,18.23B,23.93B,,2016-03,,1.204B,,,,,1.409B,1.409B,,1.271B,4.955B,6.387B,,6.387B,,,6.117B,,,853.00M,13.36B,18.31B,181.00M,10.66B,,,,5.621B,,2016-03,AOR,Restated
2015-12,2.319B,2.319B,2.841B,,2.841B,103.00M,1.511B,807.00M,367.00M,,,6.334B,0.00,381.00M,1.618B,5.016B,,898.00M,7.913B,-4.849B,3.064B,12.46B,,12.46B,1.409B,1.157B,18.09B,24.42B,,2015-12,,1.282B,,,,,1.537B,1.537B,,1.443B,5.457B,6.386B,,6.386B,,,6.172B,,,887.00M,13.44B,18.90B,181.00M,10.66B,,,,5.522B,,2015-12,AOR,Restated
2015-09,1.292B,1.292B,3.268B,,3.268B,,,856.00M,199.00M,336.00M,,5.951B,,,,,7.809B,,7.809B,-4.804B,3.005B,12.46B,,12.46B,1.352B,1.20B,18.02B,23.97B,,2015-09,,1.194B,,,,,1.299B,1.299B,,1.432B,5.133B,6.417B,,6.417B,,,5.778B,,,941.00M,13.14B,18.27B,183.00M,10.61B,0.00,,,5.697B,,2015-09,AOR,Restated
2015-06,1.907B,1.907B,3.151B,,3.151B,,,856.00M,160.00M,386.00M,,6.46B,,,,,7.733B,,7.733B,-4.728B,3.005B,12.46B,,12.46B,1.383B,1.24B,18.09B,24.55B,,2015-06,,1.246B,,,,,1.37B,1.37B,,1.441B,5.154B,6.417B,,6.417B,,,5.871B,,,939.00M,13.23B,18.38B,188.00M,11.16B,0.00,,,6.171B,,2015-06,AOR,Restated
2015-03,2.646B,2.646B,3.131B,,3.131B,,,818.00M,177.00M,371.00M,,7.143B,,,,,7.637B,,7.637B,-4.648B,2.989B,12.46B,,12.46B,1.393B,1.277B,18.12B,25.27B,,2015-03,,1.248B,,,,,1.43B,1.43B,,1.543B,5.284B,6.418B,,6.418B,,,5.962B,,,854.00M,13.23B,18.52B,195.00M,11.84B,0.00,,,6.748B,,2015-03,AOR,Restated
2014-12,3.863B,3.863B,2.806B,,2.806B,106.00M,1.509B,742.00M,369.00M,,,7.78B,0.00,373.00M,1.589B,4.829B,,811.00M,7.602B,-4.611B,2.991B,12.47B,,12.47B,2.026B,1.309B,18.79B,26.57B,,2014-12,,1.305B,,,,,1.713B,1.713B,,1.433B,5.892B,5.925B,,5.925B,,,6.555B,,,965.00M,13.44B,19.34B,199.00M,12.39B,0.00,,,7.235B,,2014-12,AOR,Restated
2014-09,3.402B,3.402B,3.233B,,3.233B,,,671.00M,290.00M,526.00M,,8.122B,,,,,7.385B,,7.385B,-4.54B,2.845B,12.46B,,12.46B,129.00M,1.484B,16.92B,25.04B,,2014-09,,1.193B,,,,,1.61B,1.61B,,1.483B,5.511B,5.926B,,5.926B,,,2.775B,,,938.00M,9.639B,15.15B,203.00M,12.57B,0.00,,,9.893B,,2014-09,AOR,Restated
2014-06,3.476B,3.476B,3.28B,,3.28B,,,741.00M,339.00M,554.00M,,8.39B,,,,,7.289B,,7.289B,-4.471B,2.818B,12.47B,,12.47B,180.00M,1.495B,16.96B,25.35B,,2014-06,,1.178B,,,,,1.588B,1.588B,,1.494B,5.414B,5.927B,,5.927B,,,2.82B,,,922.00M,9.669B,15.08B,209.00M,12.94B,0.00,,,10.27B,,2014-06,AOR,Restated
2014-03,3.885B,3.885B,3.234B,,3.234B,,,781.00M,165.00M,539.00M,,8.604B,,,,,7.194B,,7.194B,-4.401B,2.793B,12.47B,,12.47B,199.00M,1.471B,16.93B,25.54B,,2014-03,,1.229B,,,,,1.494B,1.494B,,1.498B,5.271B,5.927B,,5.927B,,,2.874B,,,894.00M,9.695B,14.97B,215.00M,12.98B,292.00M,,,10.57B,,2014-03,AOR,Restated
2013-12,5.15B,5.15B,2.685B,,2.685B,102.00M,1.601B,698.00M,350.00M,605.00M,,9.488B,0.00,373.00M,1.45B,4.661B,,659.00M,7.143B,-4.337B,2.806B,12.44B,,12.44B,209.00M,1.44B,16.89B,26.38B,,2013-12,,1.229B,,,,,1.722B,1.722B,,1.418B,5.815B,5.928B,,5.928B,,,2.954B,,,1.064B,9.946B,15.76B,218.00M,12.54B,848.00M,,,10.62B,,2013-12,AOR,Restated
2013-09,4.944B,4.944B,3.003B,,3.003B,,,784.00M,264.00M,596.00M,,9.591B,,,,,7.068B,,7.068B,-4.305B,2.763B,12.44B,,12.44B,1.274B,1.339B,17.81B,27.40B,,2013-09,,1.221B,,,,,1.698B,1.698B,,1.785B,5.762B,5.928B,,5.928B,,,5.374B,,,985.00M,12.29B,18.05B,224.00M,12.20B,1.479B,,,9.356B,,2013-09,AOR,Restated
2013-06,4.904B,4.904B,3.124B,,3.124B,,,745.00M,240.00M,551.00M,,9.564B,,,,,7.066B,,7.066B,-4.283B,2.783B,12.44B,,12.44B,1.429B,1.295B,17.94B,27.51B,,2013-06,,1.195B,,,,,1.802B,1.802B,,1.641B,5.639B,5.929B,,5.929B,,,5.426B,,,956.00M,12.31B,17.95B,231.00M,11.84B,2.124B,,,9.558B,,2013-06,AOR,Restated
2013-03,3.183B,3.183B,3.05B,,3.05B,,,930.00M,159.00M,524.00M,,7.846B,,,,,7.044B,,7.044B,-4.215B,2.829B,12.44B,,12.44B,1.51B,1.292B,18.07B,25.91B,,2013-03,,1.225B,,,,,1.801B,1.801B,,1.591B,5.555B,3.937B,,3.937B,,,6.025B,,,928.00M,10.89B,16.44B,235.00M,11.50B,2.461B,,,9.469B,,2013-03,AOR,Restated
2012-12,3.862B,3.862B,2.858B,,2.858B,110.00M,1.855B,798.00M,300.00M,574.00M,,8.392B,0.00,373.00M,1.421B,4.646B,,593.00M,7.033B,-4.146B,2.887B,12.43B,,12.43B,1.542B,1.291B,18.15B,26.54B,,2012-12,,1.392B,,,,,1.759B,1.759B,,1.732B,6.056B,3.93B,,3.93B,,,6.085B,,,958.00M,10.97B,17.03B,239.00M,11.14B,2.924B,,,9.514B,,2012-12,AOR,Restated
2012-09,3.525B,3.525B,2.973B,,2.973B,,,627.00M,217.00M,560.00M,,7.902B,,,,,,,7.059B,-4.164B,2.895B,12.37B,,12.37B,680.00M,1.412B,17.36B,25.26B,,2012-09,1.036B,2.23B,,,,,1.838B,1.838B,,1.622B,5.69B,3.931B,,3.931B,,,3.754B,,,940.00M,8.625B,14.32B,246.00M,10.74B,3.296B,,,10.95B,,2012-09,AOR,Restated
2012-06,3.148B,3.148B,3.119B,,3.119B,,,704.00M,225.00M,504.00M,,7.70B,,,,,,,7.029B,-4.094B,2.935B,12.34B,,12.34B,838.00M,1.409B,17.53B,25.23B,,2012-06,,1.191B,,,,,1.826B,1.826B,,1.571B,5.608B,3.932B,,3.932B,,,4.067B,,,904.00M,8.903B,14.51B,248.00M,10.42B,3.443B,,,10.72B,,2012-06,AOR,Restated
2012-03,2.682B,2.682B,3.231B,,3.231B,,,804.00M,177.00M,466.00M,,7.36B,,,,,,,7.011B,-4.018B,2.993B,12.37B,,12.37B,895.00M,1.431B,17.69B,25.05B,,2012-03,,1.226B,,,,,1.756B,1.756B,,1.677B,5.594B,3.933B,,3.933B,,,4.08B,,,905.00M,8.918B,14.51B,252.00M,10.08B,3.646B,,,10.54B,,2012-03,AOR,Restated
2011-12,3.002B,3.002B,2.964B,,2.964B,123.00M,1.85B,873.00M,411.00M,496.00M,,7.746B,0.00,375.00M,1.433B,4.587B,,585.00M,6.98B,-3.933B,3.047B,12.37B,,12.37B,900.00M,1.344B,17.66B,25.41B,,2011-12,,1.481B,,,,,1.777B,1.777B,,1.681B,6.135B,3.935B,,3.935B,,,4.079B,,,926.00M,8.94B,15.08B,254.00M,9.699B,3.873B,,,10.34B,,2011-12,AOR,Restated
2011-09,2.946B,2.946B,3.328B,,3.328B,,,884.00M,135.00M,393.00M,,7.686B,,,,,,,6.907B,-3.897B,3.01B,12.38B,164.00M,12.54B,487.00M,1.377B,17.41B,25.10B,,2011-09,1.076B,2.414B,16.00M,23.00M,39.00M,39.00M,1.744B,1.744B,,1.524B,5.721B,3.936B,,3.936B,,,2.591B,,,901.00M,7.428B,13.15B,266.00M,9.401B,4.46B,,,11.95B,,2011-09,AOR,Restated
2011-06,2.81B,2.81B,3.474B,,3.474B,,,902.00M,163.00M,465.00M,,7.814B,,,,,,,6.892B,-3.864B,3.028B,12.38B,174.00M,12.55B,555.00M,1.086B,17.56B,25.38B,,2011-06,,1.259B,19.00M,23.00M,42.00M,42.00M,,,,3.432B,5.795B,3.937B,,3.937B,,,2.597B,,,899.00M,7.433B,13.23B,278.00M,9.018B,5.026B,,,12.15B,,2011-06,AOR,Restated
2011-03,4.019B,4.019B,3.563B,,3.563B,,,859.00M,213.00M,417.00M,,9.071B,,,,,,,6.827B,-3.781B,3.046B,12.38B,183.00M,12.56B,691.00M,1.09B,17.72B,26.79B,,2011-03,,1.347B,16.00M,23.00M,39.00M,39.00M,,,,3.831B,6.161B,3.939B,,3.939B,,,3.097B,,,916.00M,7.952B,14.11B,293.00M,8.637B,5.934B,,,12.68B,,2011-03,AOR,Restated
2010-12,3.701B,3.701B,4.057B,,4.057B,,,1.185B,251.00M,710.00M,,9.904B,0.00,666.00M,2.658B,5.77B,,670.00M,9.764B,-4.722B,5.042B,13.52B,779.00M,14.30B,612.00M,1.117B,21.52B,31.42B,,2010-12,1.349B,3.195B,10.00M,774.00M,784.00M,784.00M,,,,4.407B,8.386B,4.045B,,4.045B,,,4.116B,,,1.317B,9.478B,17.86B,291.00M,8.245B,7.778B,,,13.56B,,2010-12,AOR,Restated
2010-09,2.528B,2.528B,4.172B,,4.172B,,,1.193B,392.00M,718.00M,,9.003B,,,,,,,9.375B,-4.608B,4.767B,13.52B,801.00M,14.32B,654.00M,1.11B,21.17B,30.18B,,2010-09,1.238B,2.915B,15.00M,757.00M,772.00M,772.00M,,,,4.076B,7.763B,3.437B,,3.437B,,,4.511B,,,1.271B,9.219B,16.98B,292.00M,8.005B,7.827B,,,13.19B,,2010-09,AOR,Restated
2010-06,2.044B,2.044B,4.16B,,4.16B,,,1.148B,384.00M,648.00M,,8.384B,,,,,,,9.228B,-4.465B,4.763B,13.52B,823.00M,14.34B,844.00M,1.055B,21.31B,29.69B,,2010-06,1.229B,2.872B,13.00M,760.00M,773.00M,773.00M,,,,4.021B,7.666B,3.438B,,3.438B,,,4.487B,,,1.20B,9.125B,16.79B,295.00M,7.646B,7.949B,,,12.90B,,2010-06,AOR,Restated
2010-03,1.961B,1.961B,4.197B,,4.197B,,,1.289B,295.00M,627.00M,,8.369B,,,,,,,9.137B,-4.34B,4.797B,13.52B,846.00M,14.36B,883.00M,1.046B,21.39B,29.76B,,2010-03,1.134B,2.776B,14.00M,761.00M,775.00M,775.00M,,,,3.937B,7.488B,3.44B,,3.44B,,,4.723B,,,1.471B,9.634B,17.12B,301.00M,7.077B,8.264B,,,12.64B,,2010-03,AOR,Restated
2009-12,3.275B,3.275B,3.394B,,3.394B,,,1.17B,272.00M,524.00M,,8.635B,0.00,649.00M,2.422B,5.383B,,630.00M,9.084B,-4.216B,4.868B,13.52B,873.00M,14.39B,1.01B,1.049B,21.62B,30.25B,,2009-12,1.281B,3.202B,12.00M,91.00M,103.00M,103.00M,,,,3.68B,6.985B,4.191B,,4.191B,,,4.874B,,,1.515B,10.58B,17.56B,307.00M,6.737B,8.657B,,,12.69B,,2009-12,AOR,Restated
2009-09,1.924B,1.924B,3.951B,,3.951B,,,1.243B,453.00M,513.00M,,8.084B,,,,,,,8.946B,-4.171B,4.775B,14.53B,899.00M,15.42B,1.281B,988.00M,22.76B,30.84B,,2009-09,1.419B,3.212B,28.00M,491.00M,519.00M,519.00M,,,,3.539B,7.27B,4.194B,,4.194B,,,5.349B,,,1.603B,11.15B,18.42B,315.00M,6.457B,9.061B,,,12.43B,,2009-09,AOR,Restated
2009-06,1.056B,1.056B,4.251B,,4.251B,,,1.099B,363.00M,487.00M,,7.256B,,,,,,,8.831B,-4.053B,4.778B,14.54B,925.00M,15.46B,1.414B,947.00M,22.89B,30.15B,,2009-06,1.325B,3.099B,27.00M,493.00M,520.00M,520.00M,,,,3.624B,7.243B,3.348B,,3.348B,,,5.816B,,,1.552B,10.72B,17.96B,319.00M,6.104B,9.243B,,,12.19B,,2009-06,AOR,Restated
2009-03,882.00M,882.00M,4.416B,,4.416B,,,1.178B,256.00M,520.00M,,7.252B,,,,,,,8.702B,-3.925B,4.777B,14.52B,921.00M,15.44B,1.455B,1.213B,22.89B,30.14B,,2009-03,1.28B,3.204B,24.00M,565.00M,589.00M,589.00M,,,,3.716B,7.509B,3.352B,,3.352B,,,5.721B,,,1.503B,10.58B,18.08B,325.00M,5.846B,9.482B,,,12.06B,,2009-03,AOR,Restated
2008-12,1.504B,1.504B,3.701B,,3.701B,,,1.003B,219.00M,585.00M,1.231B,8.243B,0.00,619.00M,2.326B,4.547B,545.00M,530.00M,8.567B,-3.782B,4.785B,13.51B,947.00M,14.46B,1.497B,926.00M,21.95B,30.20B,,2008-12,1.231B,3.118B,24.00M,477.00M,501.00M,501.00M,,,,3.83B,7.449B,3.443B,,3.443B,,,5.823B,,,1.562B,10.83B,18.28B,327.00M,5.59B,9.645B,,,11.92B,,2008-12,,Restated
2008-09,1.016B,1.016B,3.957B,,3.957B,,,1.147B,408.00M,481.00M,,7.009B,,,,,,,8.394B,-3.719B,4.675B,17.48B,964.00M,18.44B,,3.131B,26.24B,33.25B,,2008-09,1.37B,3.19B,28.00M,73.00M,101.00M,101.00M,,,,3.521B,6.812B,3.843B,,3.843B,,,,,,5.036B,8.879B,15.69B,327.00M,8.253B,9.668B,,,17.56B,,2008-09,,
2008-06,581.00M,581.00M,4.325B,,4.325B,,,1.089B,596.00M,503.00M,,7.094B,,,,,,,8.259B,-3.608B,4.651B,17.59B,992.00M,18.58B,,3.144B,26.37B,33.47B,,2008-06,1.283B,4.835B,23.00M,74.00M,97.00M,97.00M,,,,1.659B,6.591B,3.844B,,3.844B,,,,,,5.169B,9.013B,15.60B,337.00M,7.877B,10.34B,,42.00M,17.86B,,2008-06,,
2008-03,429.00M,429.00M,4.358B,,4.358B,,,1.132B,501.00M,529.00M,,6.949B,,,,,,,8.085B,-3.44B,4.645B,17.62B,1.02B,18.64B,,3.141B,26.43B,33.38B,,2008-03,1.248B,3.054B,59.00M,110.00M,169.00M,169.00M,,,,3.514B,6.737B,3.928B,,3.928B,,,,,46.00M,5.063B,9.037B,15.77B,339.00M,7.518B,10.44B,,37.00M,17.60B,,2008-03,,
2007-12,963.00M,963.00M,3.79B,,3.79B,,,1.00B,502.00M,542.00M,,6.797B,,,,,,,8.114B,-3.424B,4.69B,17.67B,1.074B,18.75B,,3.14B,26.58B,33.37B,,2007-12,1.175B,3.065B,26.00M,111.00M,137.00M,137.00M,,,,3.23B,6.432B,3.918B,,3.918B,,,,,350.00M,4.986B,9.254B,15.69B,338.00M,7.387B,10.66B,,34.00M,17.69B,,2007-12,,
2007-09,713.00M,713.00M,3.666B,,3.666B,,,1.102B,282.00M,691.00M,,6.454B,,,,,,,7.869B,-3.33B,4.539B,17.66B,1.109B,18.77B,,2.463B,25.77B,32.22B,,2007-09,1.273B,2.813B,40.00M,111.00M,151.00M,151.00M,,,,3.236B,6.20B,3.886B,,3.886B,,,,,350.00M,5.022B,9.258B,15.46B,338.00M,7.063B,10.64B,,28.00M,16.76B,,2007-09,,
2007-06,521.00M,521.00M,3.685B,,3.685B,,,1.157B,244.00M,654.00M,,6.261B,,,,,,,7.769B,-3.23B,4.539B,17.64B,1.139B,18.78B,,2.45B,25.77B,32.03B,,2007-06,1.16B,2.666B,32.00M,141.00M,173.00M,173.00M,,,,3.283B,6.122B,3.875B,,3.875B,,,,,,5.251B,9.126B,15.25B,344.00M,6.703B,11.02B,,,16.78B,,2007-06,,
2007-03,362.00M,362.00M,3.749B,,3.749B,,,1.195B,235.00M,668.00M,,6.209B,,,,,,,7.67B,-3.126B,4.544B,17.67B,1.172B,18.84B,,2.449B,25.84B,32.04B,,2007-03,1.143B,2.589B,325.00M,75.00M,400.00M,400.00M,,,,3.549B,6.538B,3.992B,,3.992B,,,,,350.00M,4.821B,9.163B,15.70B,343.00M,6.374B,10.92B,,24.00M,16.34B,,2007-03,,
2006-12,1.015B,1.015B,3.562B,,3.562B,,,1.176B,266.00M,706.00M,,6.725B,,,,,,,7.53B,-3.005B,4.525B,17.22B,1.139B,18.36B,,2.401B,25.28B,32.01B,,2006-12,1.176B,2.858B,95.00M,75.00M,170.00M,170.00M,,,,3.725B,6.753B,3.992B,,3.992B,,,,,350.00M,4.299B,8.641B,15.39B,346.00M,6.183B,11.35B,,22.00M,16.62B,,2006-12,,
