,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2008-06,8.628B,8.628B,7.025B,1.603B,,797.00M,5.00M,,,797.00M,806.00M,,,5.00M,,739.00M,256.00M,483.00M,12.00M,,,495.00M,479.73M,991.00M,185.00M,2008-06,1.42,0.04,,,,2008-06,1.40,0.04,,1.44,,2008-06,0.40,,2008-06,,
2008-03,7.724B,7.724B,6.522B,1.202B,,738.00M,15.00M,,,738.00M,464.00M,,,15.00M,,409.00M,146.00M,263.00M,1.00M,,,264.00M,253.35M,659.00M,195.00M,2008-03,0.78,0.00,,,,2008-03,0.76,0.00,,0.76,,2008-03,0.37,,2008-03,,
2007-12,8.955B,8.955B,7.298B,1.657B,,910.00M,-9.00M,,,910.00M,747.00M,,,-9.00M,,686.00M,238.00M,448.00M,6.00M,,,454.00M,453.88M,944.00M,197.00M,2007-12,1.35,-0.01,,,,2007-12,1.32,-0.01,,1.31,,2007-12,0.37,,2007-12,,
2007-09,7.871B,7.871B,6.282B,1.589B,,783.00M,7.00M,,,783.00M,806.00M,,,7.00M,,729.00M,240.00M,489.00M,,,,489.00M,484.30M,989.00M,183.00M,2007-09,1.44,0.00,,,,2007-09,1.41,0.00,,1.41,,2007-09,0.37,,2007-09,,
2007-06,7.878B,7.878B,6.307B,1.571B,,808.00M,-9.00M,,,808.00M,763.00M,,,-9.00M,,671.00M,199.00M,472.00M,-12.00M,,,460.00M,478.33M,936.00M,173.00M,2007-06,1.37,-0.03,,,,2007-06,1.35,-0.04,,1.31,,2007-06,0.37,,2007-06,,
2007-03,7.314B,7.314B,5.917B,1.397B,,707.00M,-8.00M,,,707.00M,690.00M,,,-8.00M,,600.00M,206.00M,394.00M,-7.00M,,,387.00M,399.25M,856.00M,166.00M,2007-03,1.14,-0.02,,,,2007-03,1.12,-0.02,,1.10,,2007-03,0.37,,2007-03,,
2006-12,8.013B,8.013B,6.585B,1.428B,,805.00M,134.00M,,,805.00M,623.00M,,,134.00M,,688.00M,231.00M,457.00M,-4.00M,,,453.00M,367.99M,806.00M,183.00M,2006-12,1.38,-0.07,,,,2006-12,1.34,-0.07,,1.28,,2006-12,0.30,,2006-12,,
2006-09,7.429B,7.429B,6.094B,1.335B,,786.00M,1.00M,,,786.00M,549.00M,,,1.00M,,477.00M,169.00M,308.00M,-6.00M,,,302.00M,307.35M,714.00M,165.00M,2006-09,0.89,-0.01,,,,2006-09,0.88,-0.02,,0.86,,2006-09,0.30,,2006-09,,
2006-06,7.601B,7.601B,6.155B,1.446B,,764.00M,-9.00M,,,764.00M,682.00M,,,-9.00M,,589.00M,147.00M,442.00M,-12.00M,,,430.00M,448.75M,852.00M,170.00M,2006-06,1.28,-0.03,,,,2006-06,1.26,-0.03,,1.23,,2006-06,0.30,,2006-06,,
2006-03,7.093B,7.093B,5.812B,1.281B,,677.00M,-1.00M,,,677.00M,604.00M,,,-1.00M,,526.00M,164.00M,362.00M,-4.00M,,,358.00M,362.69M,777.00M,173.00M,2006-03,1.05,-0.01,,,,2006-03,1.03,-0.01,,1.02,,2006-03,0.26,,2006-03,,
