,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,6.707B,602.00M,7.309B,4.067B,4.067B,,,1.001B,12.38B,,,,,1.327B,,1.327B,,1.327B,5.346B,1.501B,6.847B,5.746B,,2.446B,16.37B,28.74B,,3.803B,529.00M,4.332B,4.332B,,,4.00M,,4.00M,523.00M,523.00M,5.003B,9.862B,6.275B,,6.275B,,,87.00M,11.00M,1.898B,8.184B,18.05B,,0.00,3.403B,7.355B,81.00M,,-67.00M,10.61B,,AOR,Restated
2018-03,5.668B,507.00M,6.175B,3.648B,3.648B,,,1.153B,10.98B,,,,,1.25B,,1.25B,,1.25B,5.295B,1.519B,6.814B,5.535B,,595.00M,14.19B,25.17B,,4.962B,515.00M,5.477B,5.477B,,,4.00M,,4.00M,638.00M,638.00M,4.771B,10.89B,5.172B,,5.172B,,,77.00M,8.00M,1.52B,6.70B,17.59B,,0.00,3.104B,4.592B,139.00M,,-54.00M,7.503B,,AOR,Restated
2017-12,4.072B,531.00M,4.603B,3.413B,3.413B,,,687.00M,8.703B,0.00,130.00M,367.00M,976.00M,,221.00M,1.694B,-590.00M,1.104B,4.749B,1.398B,6.147B,5.312B,,589.00M,13.15B,21.86B,,4.165B,549.00M,4.714B,4.714B,,,4.00M,,4.00M,328.00M,328.00M,4.286B,9.332B,4.695B,,4.695B,,,14.00M,12.00M,952.00M,5.659B,14.99B,,0.00,2.748B,4.349B,244.00M,,-3.00M,6.85B,,AOR,Restated
2017-09,4.281B,595.00M,4.876B,3.955B,3.955B,,,829.00M,9.66B,,,,,1.003B,,1.003B,,1.003B,4.712B,1.428B,6.14B,4.927B,,270.00M,12.34B,22.00B,,4.804B,,4.804B,4.804B,,,4.00M,,4.00M,568.00M,568.00M,4.333B,9.709B,4.717B,,4.717B,,,13.00M,20.00M,901.00M,5.638B,15.35B,,0.00,2.518B,4.31B,197.00M,,9.00M,6.64B,,AOR,Restated
2017-06,4.425B,586.00M,5.011B,3.901B,3.901B,,,736.00M,9.648B,,,,,912.00M,,912.00M,,912.00M,4.712B,1.466B,6.178B,4.816B,,286.00M,12.19B,21.84B,,4.238B,,4.238B,4.238B,,,4.00M,,4.00M,554.00M,554.00M,4.17B,8.966B,4.716B,,4.716B,,,14.00M,136.00M,1.63B,6.482B,15.45B,,0.00,2.313B,4.258B,194.00M,,1.00M,6.378B,,AOR,Restated
2017-03,4.839B,725.00M,5.564B,3.121B,3.121B,,,723.00M,9.408B,,,,,841.00M,,841.00M,,841.00M,4.712B,1.504B,6.216B,4.636B,,261.00M,11.95B,21.36B,,4.275B,,4.275B,4.275B,,,4.00M,,4.00M,633.00M,633.00M,4.29B,9.202B,4.643B,,4.643B,,,14.00M,138.00M,1.295B,6.076B,15.28B,,0.00,2.059B,4.224B,192.00M,,-21.00M,6.07B,,AOR,Restated
2016-12,3.93B,505.00M,4.435B,3.215B,3.215B,,,715.00M,8.365B,0.00,113.00M,271.00M,682.00M,,173.00M,1.239B,-442.00M,797.00M,4.712B,1.545B,6.257B,4.545B,,233.00M,11.83B,20.20B,,3.763B,614.00M,4.377B,4.377B,,,4.00M,,4.00M,313.00M,313.00M,3.929B,8.623B,4.651B,,4.651B,,,14.00M,145.00M,869.00M,5.665B,14.29B,,0.00,1.92B,4.19B,179.00M,,-36.00M,5.895B,,AOR,Restated
2016-09,2.982B,406.00M,3.388B,3.445B,3.445B,,,922.00M,7.755B,,,,,725.00M,,725.00M,,725.00M,4.73B,1.566B,6.296B,4.568B,,290.00M,11.88B,19.63B,,3.187B,651.00M,3.838B,3.838B,,,845.00M,,845.00M,573.00M,573.00M,3.767B,9.023B,3.744B,,3.744B,,,14.00M,148.00M,995.00M,4.887B,13.91B,,0.00,1.655B,4.154B,145.00M,,46.00M,5.71B,,AOR,Restated
2016-06,2.71B,443.00M,3.153B,3.488B,3.488B,,,1.212B,7.853B,,,,,626.00M,,626.00M,,626.00M,4.707B,1.609B,6.316B,4.23B,,471.00M,11.64B,19.50B,,3.218B,589.00M,3.807B,3.807B,,,845.00M,,845.00M,212.00M,212.00M,3.95B,8.814B,3.649B,,3.649B,,,11.00M,147.00M,1.346B,5.142B,13.96B,,0.00,1.51B,4.119B,143.00M,,43.00M,5.529B,,AOR,Restated
2016-03,3.436B,269.00M,3.705B,2.529B,2.529B,,,1.317B,7.551B,,,,,580.00M,,580.00M,,580.00M,4.442B,1.646B,6.088B,3.973B,,460.00M,11.10B,18.65B,,3.228B,579.00M,3.807B,3.807B,,,4.00M,,4.00M,197.00M,197.00M,3.863B,7.871B,4.276B,,4.276B,,,12.00M,144.00M,1.052B,5.472B,13.34B,,0.00,1.341B,4.084B,138.00M,,10.00M,5.297B,,AOR,Restated
2015-12,1.76B,176.00M,1.936B,1.279B,1.279B,,,390.00M,3.605B,0.00,104.00M,223.00M,434.00M,,108.00M,869.00M,-351.00M,518.00M,842.00M,155.00M,997.00M,1.927B,,292.00M,3.734B,7.339B,,976.00M,207.00M,1.183B,1.183B,,,5.00M,,5.00M,143.00M,143.00M,2.298B,3.629B,1.216B,,1.216B,,,11.00M,156.00M,170.00M,1.542B,5.171B,,0.00,1.358B,956.00M,147.00M,,-10.00M,2.157B,,AOR,Restated
2015-09,1.665B,162.00M,1.827B,1.281B,1.281B,,,488.00M,3.596B,,,,,488.00M,,488.00M,,488.00M,849.00M,161.00M,1.01B,1.992B,,236.00M,3.726B,7.322B,,1.035B,313.00M,1.348B,1.348B,,,5.00M,,5.00M,66.00M,66.00M,2.144B,3.563B,1.276B,,1.276B,,,2.00M,156.00M,274.00M,1.706B,5.269B,,0.00,1.247B,909.00M,103.00M,,-2.00M,2.051B,,AOR,Restated
2015-06,1.967B,140.00M,2.107B,1.248B,1.248B,,,483.00M,3.838B,,,,,462.00M,,462.00M,,462.00M,811.00M,148.00M,959.00M,1.541B,,222.00M,3.184B,7.022B,,1.004B,289.00M,1.293B,1.293B,,,5.00M,,5.00M,68.00M,68.00M,2.092B,3.458B,1.139B,,1.139B,,,0.00,155.00M,330.00M,1.624B,5.082B,,0.00,1.154B,891.00M,101.00M,,-4.00M,1.94B,,AOR,Restated
2015-03,1.666B,151.00M,1.817B,1.245B,1.245B,,,528.00M,3.59B,,,,,450.00M,,450.00M,,450.00M,786.00M,131.00M,917.00M,1.527B,,212.00M,3.106B,6.696B,,1.002B,269.00M,1.271B,1.271B,,,5.00M,,5.00M,117.00M,117.00M,1.95B,3.343B,1.123B,,1.123B,,,0.00,155.00M,238.00M,1.516B,4.859B,,0.00,1.066B,870.00M,98.00M,,-1.00M,1.837B,,AOR,Restated
2014-12,1.61B,177.00M,1.787B,912.00M,912.00M,,,252.00M,2.951B,0.00,87.00M,208.00M,356.00M,,82.00M,733.00M,-288.00M,445.00M,754.00M,120.00M,874.00M,1.28B,,274.00M,2.873B,5.824B,,768.00M,236.00M,1.004B,1.004B,,,5.00M,,5.00M,168.00M,168.00M,1.723B,2.90B,874.00M,,874.00M,,,-1.00M,148.00M,159.00M,1.181B,4.081B,,0.00,1.003B,840.00M,98.00M,,-1.00M,1.744B,,AOR,Restated
2014-09,1.583B,166.99M,1.750B,685.19M,685.19M,,,319.70M,2.768B,,,,,424.23M,,424.23M,,424.23M,753.06M,127.30M,880.36M,1.108B,,265.79M,2.679B,5.446B,,926.78M,,926.78M,926.78M,,,5.131M,,5.131M,94.96M,94.96M,1.607B,2.634B,949.72M,,949.72M,,,8.148M,140.50M,80.37M,1.171B,3.805B,,0.061M,896.38M,811.75M,74.69M,,-0.605M,1.633B,,AOR,Restated
2014-06,1.259B,127.35M,1.386B,610.97M,610.97M,,,313.95M,2.325B,,,,,423.90M,,423.90M,,423.90M,642.61M,81.36M,723.97M,996.96M,,212.84M,2.358B,4.683B,,670.34M,,670.34M,670.34M,,,6.135M,,6.135M,22.47M,22.47M,1.419B,2.118B,884.89M,,884.89M,,,9.786M,119.67M,73.90M,1.079B,3.197B,,0.061M,813.76M,754.64M,94.51M,,2.214M,1.476B,,AOR,Restated
2014-03,1.271B,99.70M,1.370B,570.10M,570.10M,,,320.39M,2.282B,,,,,412.70M,,412.70M,,412.70M,657.55M,85.13M,742.68M,840.15M,,169.06M,2.165B,4.446B,,614.54M,,614.54M,614.54M,,,6.11M,,6.11M,74.26M,74.26M,1.327B,2.021B,810.97M,,810.97M,,,9.512M,120.68M,70.17M,1.003B,3.024B,,0.061M,764.90M,739.97M,91.66M,,-0.614M,1.413B,,AOR,Restated
2013-12,1.038B,102.00M,1.14B,429.00M,429.00M,,,217.00M,1.80B,0.00,69.00M,206.00M,307.00M,,57.00M,639.00M,-244.00M,395.00M,348.00M,49.00M,397.00M,792.00M,,145.00M,1.729B,3.529B,,338.00M,38.00M,376.00M,376.00M,,,3.00M,,3.00M,38.00M,38.00M,1.142B,1.559B,666.00M,,666.00M,,,9.00M,0.00,60.00M,727.00M,2.286B,,0.00,732.00M,594.00M,89.00M,,-3.00M,1.234B,,AOR,Restated
2013-09,741.28M,122.63M,863.91M,355.95M,355.95M,,,148.58M,1.368B,,,,,390.20M,,390.20M,,390.20M,347.55M,50.54M,398.09M,816.91M,,165.40M,1.771B,3.139B,,270.38M,,270.38M,270.38M,,,3.046M,,3.046M,41.87M,41.87M,1.072B,1.387B,517.93M,,517.93M,,,5.552M,,49.04M,566.97M,1.954B,,0.058M,678.68M,578.19M,75.54M,,-1.845M,1.180B,,AOR,Restated
2013-06,688.71M,131.33M,820.04M,357.91M,357.91M,,,164.41M,1.342B,,,,,388.96M,,388.96M,,388.96M,344.82M,52.22M,397.04M,769.90M,,146.96M,1.703B,3.045B,,216.33M,,216.33M,216.33M,1.016M,,3.029M,,3.029M,21.81M,21.81M,1.078B,1.321B,548.47M,,548.47M,,,4.067M,,53.92M,602.39M,1.923B,,0.058M,629.31M,563.87M,70.97M,,-4.061M,1.118B,,AOR,Restated
2013-03,730.79M,146.11M,876.90M,320.37M,320.37M,,,178.00M,1.375B,,,,,382.85M,,382.85M,,382.85M,256.29M,19.29M,275.58M,748.31M,,105.15M,1.512B,2.887B,,180.34M,,180.34M,180.34M,18.13M,,3.419M,,3.419M,38.18M,38.18M,1.067B,1.307B,532.73M,,532.73M,,,0.822M,,60.80M,593.53M,1.901B,,0.055M,589.82M,461.36M,70.43M,,4.90M,985.71M,,AOR,Restated
2012-12,843.95M,138.10M,982.05M,251.47M,251.47M,,,93.32M,1.406B,0.00,70.28M,193.19M,265.28M,,49.81M,578.55M,-202.66M,375.89M,256.29M,20.27M,276.56M,554.77M,,160.86M,1.368B,2.774B,,219.07M,,219.07M,219.07M,,,3.373M,,3.373M,34.60M,34.60M,972.28M,1.229B,535.48M,,535.48M,,,0.711M,,54.99M,590.82M,1.820B,,0.055M,566.82M,450.86M,69.86M,,5.189M,953.06M,,AOR,Restated
2012-09,796.62M,139.92M,936.54M,316.12M,316.12M,,,123.84M,1.377B,,,,,,,,,381.78M,256.29M,21.38M,277.66M,559.71M,,95.27M,1.314B,2.691B,,,,,162.78M,,,3.337M,,3.337M,131.97M,131.97M,982.03M,1.280B,391.97M,,391.97M,,,-6.915M,,61.78M,453.76M,1.734B,,0.054M,557.76M,458.74M,59.28M,,6.702M,963.98M,,AOR,Restated
2012-06,421.89M,152.54M,574.44M,400.19M,400.19M,,,98.80M,1.073B,,,,,,,,,379.97M,256.29M,22.48M,278.77M,630.87M,,86.51M,1.376B,2.450B,,,,,142.77M,,,3.302M,,3.302M,29.13M,29.13M,859.04M,1.034B,405.46M,,405.46M,,,-3.441M,,61.86M,467.33M,1.502B,,0.054M,553.94M,450.51M,58.91M,,5.842M,951.43M,,AOR,Restated
2012-03,433.00M,126.22M,559.22M,278.23M,278.23M,,,82.92M,920.38M,,,,,,,,,352.71M,281.98M,26.12M,308.10M,605.87M,,96.09M,1.363B,2.283B,,,,,158.36M,,,3.235M,,3.235M,17.98M,17.98M,708.75M,888.32M,347.16M,,347.16M,,,-0.59M,,68.54M,415.71M,1.304B,,0.054M,588.94M,443.11M,58.63M,,6.237M,979.71M,,AOR,Restated
2011-12,573.70M,130.50M,704.20M,157.45M,157.45M,,,78.36M,940.01M,0.00,47.61M,186.19M,248.34M,,44.77M,526.92M,-177.29M,349.62M,281.98M,27.43M,309.41M,506.14M,,85.15M,1.250B,2.190B,,216.50M,,216.50M,216.50M,,,3.234M,,3.234M,9.89M,9.89M,607.98M,837.61M,348.34M,,348.34M,,,0.785M,,67.96M,416.30M,1.254B,,0.054M,564.96M,421.98M,57.12M,,5.761M,935.63M,,AOR,Restated
2011-09,451.66M,106.34M,558.00M,139.47M,139.47M,,,68.91M,766.38M,,,,512.04M,,,512.04M,-166.44M,345.60M,281.98M,28.80M,310.78M,530.45M,,84.29M,1.271B,2.037B,,,,,173.71M,,,3.203M,,3.203M,54.76M,54.76M,498.70M,730.38M,348.09M,,348.09M,,,1.389M,,54.93M,403.02M,1.133B,,0.053M,534.85M,411.92M,50.59M,,6.478M,902.71M,,AOR,Restated
2011-06,474.45M,78.81M,553.26M,152.14M,152.14M,,,69.14M,774.54M,,,,,,,498.10M,-157.71M,340.39M,281.98M,30.34M,312.32M,518.49M,,64.70M,1.236B,2.010B,,,,,152.58M,,,3.172M,,3.172M,111.11M,111.11M,482.91M,749.77M,336.47M,,336.47M,,,1.838M,,53.90M,390.37M,1.140B,,0.053M,505.86M,405.71M,50.34M,,7.183M,868.47M,,AOR,Restated
2011-03,492.04M,52.70M,544.74M,,132.02M,,,67.06M,743.83M,,,,,,,482.23M,-148.05M,334.18M,278.10M,27.81M,305.92M,556.81M,,62.95M,1.260B,2.004B,,,,686.56M,686.56M,,,3.037M,,3.037M,127.45M,127.45M,,817.05M,302.33M,,302.33M,,,2.194M,,53.12M,355.44M,1.172B,,0.053M,477.49M,396.38M,50.89M,5.969M,5.969M,829.00M,,AOR,Restated
2010-12,434.17M,21.35M,455.51M,136.24M,136.24M,,,65.07M,656.82M,0.00,44.28M,171.07M,211.37M,,38.25M,464.97M,-138.63M,326.34M,278.05M,29.11M,307.16M,595.88M,,57.68M,1.287B,1.944B,,,,,188.32M,,,2.817M,,2.817M,117.34M,117.34M,456.76M,765.25M,327.82M,,327.82M,,,3.116M,,53.76M,381.58M,1.147B,,0.052M,453.74M,384.21M,50.49M,,6.424M,793.94M,,AOR,Restated
2010-09,397.67M,30.86M,428.52M,,182.38M,,,65.09M,675.99M,,,,,,,439.16M,-127.97M,311.20M,247.76M,24.61M,272.36M,499.75M,,35.88M,1.119B,1.795B,,,,,145.88M,,,0.663M,,0.663M,52.94M,52.94M,461.62M,661.09M,263.51M,,263.51M,,,13.64M,,66.64M,330.15M,991.24M,,0.052M,428.34M,400.21M,47.98M,9.661M,9.661M,790.29M,,AOR,Restated
2010-06,265.60M,29.66M,295.26M,,164.42M,,,86.16M,545.84M,,,,,,,432.83M,-119.00M,313.84M,244.30M,24.59M,268.89M,557.97M,,47.00M,1.188B,1.734B,,,,,167.61M,,,456.15M,,456.15M,5.695M,5.695M,7.365M,636.82M,252.03M,,252.03M,,,15.94M,,65.52M,317.55M,954.37M,,0.052M,405.68M,395.93M,47.83M,9.40M,9.40M,763.23M,,AOR,Restated
2010-03,350.09M,40.22M,390.31M,,110.12M,,,71.47M,571.90M,,,,,,,381.43M,-111.94M,269.49M,229.51M,22.01M,251.52M,578.89M,,58.87M,1.159B,1.731B,,,,,200.62M,,,445.49M,,445.49M,18.36M,18.36M,20.65M,685.11M,232.06M,,232.06M,,,16.24M,,63.96M,296.02M,981.14M,,0.051M,382.91M,390.88M,47.74M,7.203M,7.203M,733.30M,,AOR,Restated
2009-12,403.75M,39.55M,443.31M,103.46M,103.46M,,,64.87M,616.13M,0.00,40.64M,104.79M,169.08M,,19.80M,334.30M,-103.88M,230.42M,224.59M,22.48M,247.07M,525.50M,,83.25M,1.086B,1.702B,,,,,132.00M,,,0.646M,,0.646M,91.64M,91.64M,491.62M,715.91M,307.08M,,307.08M,,,18.58M,,59.56M,367.03M,1.083B,,0.046M,358.91M,281.81M,47.26M,,7.348M,600.84M,,AOR,Restated
2009-09,393.98M,45.69M,439.67M,,104.80M,,,69.59M,614.06M,,,,,,,306.23M,-96.31M,209.92M,219.10M,23.45M,242.55M,504.18M,,64.31M,1.021B,1.635B,,,,615.41M,615.41M,,,0.645M,,0.645M,68.02M,68.02M,23.85M,707.92M,276.69M,,276.69M,,,19.00M,,57.15M,333.83M,1.042B,,0.045M,335.19M,277.71M,46.50M,7.812M,7.812M,574.26M,,AOR,Restated
2009-06,384.50M,61.22M,445.72M,,157.86M,,,82.18M,685.76M,,,,,,,282.75M,-88.47M,194.28M,218.12M,22.71M,240.84M,408.92M,,56.41M,900.44M,1.586B,,,,,181.60M,,,395.03M,,395.03M,62.96M,62.96M,23.85M,663.44M,288.51M,,288.51M,,,39.34M,,49.24M,337.75M,1.001B,,0.045M,313.92M,273.03M,46.40M,5.081M,5.081M,545.67M,,AOR,Restated
2009-03,342.23M,75.40M,417.63M,,147.90M,,,71.72M,637.25M,,,,,,,,,176.72M,218.22M,23.60M,241.82M,435.65M,,61.39M,915.58M,1.553B,,,,,194.13M,,,393.13M,,393.13M,63.34M,63.34M,30.86M,681.46M,269.71M,,269.71M,,,23.32M,,52.13M,321.84M,1.003B,,0.043M,293.69M,227.33M,,,5.136M,526.20M,,AOR,Restated
2008-12,379.10M,109.39M,488.49M,,92.53M,,,85.32M,666.34M,0.00,40.52M,38.50M,152.48M,,18.54M,250.05M,-74.19M,175.86M,163.38M,17.58M,180.96M,341.66M,,86.33M,784.81M,1.451B,,,,592.60M,592.60M,,,0.255M,,0.255M,17.11M,17.11M,31.01M,640.98M,264.64M,,264.64M,,,0.00,,44.26M,308.90M,949.88M,,0.045M,275.24M,263.84M,41.00M,3.152M,3.152M,501.27M,,AOR,Restated
2008-09,275.28M,160.38M,435.66M,,150.35M,,,48.11M,634.12M,,,,,,,,,170.04M,167.01M,19.89M,186.89M,319.13M,,47.87M,723.93M,1.358B,,,,580.61M,580.61M,,,0.276M,,0.276M,15.62M,15.62M,0.255M,596.76M,249.70M,,249.70M,,,,,34.02M,283.71M,880.48M,,0.043M,253.81M,223.37M,,0.349M,0.349M,477.57M,,AOR,Restated
2008-06,357.49M,69.52M,427.01M,,113.23M,,,38.60M,578.85M,,,,,,,157.78M,,157.78M,141.01M,12.18M,153.19M,254.58M,,70.68M,636.22M,1.215B,,,,512.24M,512.24M,,,0.338M,,0.338M,,,5.466M,518.05M,221.76M,,221.76M,,,,,15.49M,237.25M,755.30M,,0.043M,235.56M,222.44M,,1.722M,1.722M,459.77M,,AOR,Restated
2008-03,263.78M,60.99M,324.77M,,81.47M,,,37.37M,443.61M,,,,,,,151.26M,,151.26M,141.02M,12.61M,153.63M,324.17M,,66.60M,695.66M,1.139B,,,,463.36M,463.36M,,,0.416M,,0.416M,,,2.985M,466.76M,215.82M,,215.82M,,,,,13.46M,229.28M,696.04M,,0.044M,217.36M,222.72M,,3.11M,3.11M,443.24M,,AOR,Restated
2007-12,268.58M,46.07M,314.66M,,79.49M,,,52.19M,446.34M,0.00,19.51M,36.78M,118.39M,,14.63M,189.31M,-53.42M,135.88M,138.86M,11.34M,150.20M,317.04M,,72.36M,675.48M,1.122B,,,,416.31M,416.31M,,,0.971M,,0.971M,44.02M,44.02M,25.50M,486.80M,206.41M,,206.41M,,,,,13.57M,219.98M,706.78M,,0.044M,191.74M,221.69M,,1.571M,1.571M,415.05M,,AOR,Restated
2007-09,275.05M,48.10M,323.14M,,84.81M,,,42.50M,450.45M,,,,,,,139.67M,,139.67M,133.15M,13.83M,146.98M,289.61M,,59.53M,635.79M,1.086B,,,,419.34M,419.34M,,,0.998M,,0.998M,,,44.50M,464.84M,201.14M,,201.14M,,,,,11.71M,212.85M,677.69M,,0.044M,190.27M,217.75M,,,,408.55M,,AOR,Restated
2007-06,236.44M,43.36M,279.80M,,113.49M,,,46.26M,439.55M,,,,,,,131.83M,,131.83M,136.32M,14.47M,150.79M,287.72M,,40.12M,610.45M,1.050B,,,,407.04M,407.04M,,,0.972M,,0.972M,,,42.02M,450.03M,200.16M,,200.16M,,,,,8.779M,208.94M,658.97M,,0.044M,174.33M,217.70M,,,,391.03M,,AOR,Restated
