,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-06,299.00M,,,,,111.00M,111.00M,-26.00M,,34.00M,34.00M,-377.00M,-1.022B,-49.00M,232.00M,272.00M,-944.00M,-526.00M,,-144.00M,,-11.00M,-334.00M,,-489.00M,,1.151B,1.151B,2.78B,-4.00M,2.776B,,,-62.00M,3.865B,,5.684B,2.85B,0.00,8.534B,,2.78B,3.131B,-1.98B,-4.00M,194.00M,57.00M,,AOR,Restated
2018-03,338.00M,,,,,104.00M,104.00M,30.00M,,33.00M,33.00M,-176.00M,157.00M,51.00M,485.00M,824.00M,1.341B,1.846B,,-218.00M,,-226.00M,-320.00M,,-764.00M,,524.00M,524.00M,,-9.00M,-9.00M,,,-2.00M,513.00M,,4.089B,1.595B,,5.684B,,,2.015B,-1.491B,-9.00M,1.00M,73.00M,,AOR,Restated
2017-12,223.00M,,,,,97.00M,97.00M,-76.00M,,36.00M,36.00M,699.00M,-152.00M,-107.00M,-47.00M,-223.00M,170.00M,450.00M,,-121.00M,,-50.00M,-409.00M,12.00M,-568.00M,,1.00M,1.00M,0.00,-47.00M,-47.00M,,,-33.00M,-79.00M,,4.287B,-197.00M,-1.00M,4.089B,,0.00,230.00M,-229.00M,-47.00M,138.00M,27.00M,,AOR,Restated
2017-09,201.00M,,,,,91.00M,91.00M,26.00M,,37.00M,37.00M,-53.00M,462.00M,-104.00M,163.00M,-726.00M,-258.00M,97.00M,,-120.00M,,0.00,-83.00M,1.00M,-202.00M,,-2.00M,-2.00M,0.00,-3.00M,-3.00M,,,-37.00M,-42.00M,,4.433B,-147.00M,1.00M,4.287B,,0.00,360.00M,-362.00M,-3.00M,153.00M,111.00M,,AOR,Restated
2017-06,252.00M,,,,,87.00M,87.00M,-7.00M,,30.00M,30.00M,-755.00M,-20.00M,-24.00M,-115.00M,246.00M,-668.00M,-306.00M,,-98.00M,,,-63.00M,0.00,-161.00M,,48.00M,48.00M,,-2.00M,-2.00M,,,3.00M,49.00M,,4.851B,-418.00M,,4.433B,,,250.00M,-202.00M,-2.00M,203.00M,27.00M,,AOR,Restated
2017-03,132.00M,,,,,86.00M,86.00M,-51.00M,,32.00M,32.00M,59.00M,-237.00M,89.00M,358.00M,780.00M,1.049B,1.248B,,-83.00M,,0.00,-239.00M,-1.00M,-323.00M,,0.00,0.00,,-13.00M,-13.00M,,,3.00M,-10.00M,,3.936B,915.00M,,4.851B,,,560.00M,-560.00M,-13.00M,2.00M,72.00M,,AOR,Restated
2016-12,259.00M,,,,,89.00M,89.00M,109.00M,,36.00M,36.00M,980.00M,303.00M,160.00M,130.00M,-467.00M,1.106B,1.592B,,-95.00M,,-449.00M,-293.00M,,-837.00M,,171.00M,171.00M,,-34.00M,-34.00M,,,-14.00M,123.00M,,2.982B,878.00M,-2.00M,3.936B,,,1.99B,-1.819B,-34.00M,162.00M,52.00M,,AOR,Restated
2016-09,148.00M,,,,,78.00M,78.00M,-4.00M,,29.00M,29.00M,215.00M,107.00M,43.00M,-173.00M,39.00M,231.00M,482.00M,,-117.00M,,14.00M,-210.00M,,-313.00M,,112.00M,112.00M,,-2.00M,-2.00M,,,-8.00M,102.00M,,2.71B,271.00M,1.00M,2.982B,,,1.245B,-1.133B,-2.00M,172.00M,77.00M,,AOR,Restated
2016-06,169.00M,,,,,76.00M,76.00M,4.00M,,32.00M,84.00M,-947.00M,-43.00M,10.00M,-8.00M,287.00M,-701.00M,-419.00M,,-49.00M,,-80.00M,-354.00M,,-483.00M,,185.00M,185.00M,,-5.00M,-5.00M,,,-4.00M,176.00M,,3.436B,-726.00M,,2.71B,,,1.921B,-1.736B,-5.00M,189.00M,33.00M,,AOR,Restated
2016-03,-15.00M,,,,,35.00M,35.00M,-17.00M,,51.00M,-1.00M,-174.00M,35.00M,-46.00M,196.00M,132.00M,143.00M,196.00M,,-45.00M,,-782.00M,-9.00M,,-836.00M,,2.402B,2.402B,,-22.00M,-22.00M,,,-64.00M,2.316B,,1.76B,1.676B,,3.436B,,,3.79B,-1.388B,-22.00M,33.00M,3.00M,,AOR,Restated
2015-12,111.00M,,,,,29.00M,29.00M,-3.00M,10.00M,23.00M,-7.00M,0.00,-170.00M,1.00M,142.00M,65.00M,38.00M,201.00M,,-49.00M,,-2.00M,7.00M,0.00,-44.00M,,-53.00M,-53.00M,,-44.00M,-44.00M,,,35.00M,-62.00M,,1.665B,95.00M,0.00,1.76B,,,620.00M,-673.00M,-44.00M,99.00M,27.00M,,AOR,Restated
2015-09,94.00M,,,,,29.00M,29.00M,-1.00M,28.00M,15.00M,-27.00M,-19.00M,43.00M,-75.00M,28.00M,-53.00M,-76.00M,62.00M,,-43.00M,,-5.00M,-422.00M,0.00,-470.00M,,124.00M,124.00M,,-2.00M,-2.00M,,,-16.00M,106.00M,,1.967B,-302.00M,0.00,1.665B,,,555.00M,-431.00M,-2.00M,84.00M,1.00M,,AOR,Restated
2015-06,88.00M,,,,,26.00M,26.00M,-7.00M,,17.00M,0.00,-7.00M,108.00M,-25.00M,139.00M,11.00M,226.00M,350.00M,,-31.00M,,-2.00M,-41.00M,0.00,-74.00M,,24.00M,24.00M,,-3.00M,-3.00M,,,4.00M,25.00M,,1.666B,301.00M,,1.967B,,,250.00M,-226.00M,-3.00M,121.00M,25.00M,,AOR,Restated
2015-03,64.00M,,,,,27.00M,27.00M,-6.00M,,16.00M,-10.00M,-334.00M,58.00M,-3.00M,227.00M,6.00M,-46.00M,45.00M,,-27.00M,,-9.00M,-196.00M,7.00M,-225.00M,,247.00M,247.00M,,-4.00M,-4.00M,,,-7.00M,236.00M,,1.61B,56.00M,,1.666B,,,500.00M,-253.00M,-4.00M,24.00M,2.00M,,AOR,Restated
2014-12,105.00M,,,,,24.00M,24.00M,23.00M,0.00,13.00M,13.00M,-220.00M,79.00M,69.00M,133.00M,144.00M,205.00M,370.00M,,-34.00M,,-42.00M,-191.00M,,-267.00M,,-66.00M,-66.00M,,-23.00M,-23.00M,,-6.00M,20.00M,-75.00M,,1.583B,28.00M,,1.61B,,,490.00M,-556.00M,-23.00M,70.00M,22.00M,,AOR,Restated
2014-09,78.00M,,,,,23.00M,23.00M,-54.00M,0.00,12.00M,12.00M,-82.00M,267.00M,-76.00M,192.00M,81.00M,382.00M,441.00M,,-27.00M,,0.00,-164.00M,,-191.00M,,67.00M,67.00M,,-1.00M,-1.00M,,2.00M,6.00M,74.00M,,1.259B,324.00M,,1.583B,,,240.00M,-173.00M,-1.00M,57.00M,2.00M,,AOR,Restated
2014-06,49.00M,,,,,22.00M,22.00M,-3.00M,,12.00M,12.00M,-42.00M,69.00M,11.00M,88.00M,-46.00M,80.00M,160.00M,,-24.00M,,-17.00M,-199.00M,,-240.00M,,74.00M,74.00M,,-3.00M,-3.00M,,2.00M,-5.00M,68.00M,,1.271B,-12.00M,,1.259B,,,500.00M,-426.00M,-3.00M,89.00M,14.00M,,AOR,Restated
2014-03,32.00M,,,,,20.00M,20.00M,-8.00M,,11.00M,11.00M,-119.00M,91.00M,-11.00M,196.00M,40.00M,197.00M,252.00M,,-18.00M,,-77.00M,-55.00M,,-150.00M,,126.00M,126.00M,,-2.00M,-2.00M,,2.00M,5.00M,131.00M,,1.038B,233.00M,,1.271B,,,645.00M,-519.00M,-2.00M,21.00M,2.00M,,AOR,Restated
2013-12,55.16M,,,,,16.78M,16.78M,-3.626M,,9.748M,9.748M,-84.41M,103.16M,3.53M,68.10M,1.882M,92.26M,170.33M,,-21.62M,,-0.227M,3.982M,,-17.86M,,149.84M,149.84M,-0.225M,-13.32M,-13.55M,,1.326M,6.583M,144.20M,,741.28M,296.67M,0.00,1.038B,,-0.225M,150.00M,-0.158M,-13.32M,44.08M,13.26M,,AOR,Restated
2013-09,48.91M,,,,,17.29M,17.29M,-9.089M,,10.30M,10.30M,12.64M,50.33M,-10.46M,-7.73M,18.54M,63.32M,130.73M,,-16.33M,,4.059M,-36.36M,,-48.63M,,-30.72M,-30.72M,-0.014M,-4.572M,-4.586M,,3.807M,1.971M,-29.53M,,688.71M,52.57M,0.00,741.28M,,-0.014M,0.00,-30.72M,-4.572M,19.23M,1.568M,,AOR,Restated
2013-06,39.01M,,,,,17.24M,17.24M,9.729M,,8.58M,8.58M,-14.50M,21.26M,-23.54M,-5.76M,-14.07M,-36.61M,37.95M,,-19.40M,,-66.83M,-33.00M,,-119.23M,,20.66M,20.66M,15.24M,-0.54M,14.70M,,2.459M,1.39M,39.21M,,730.79M,-42.08M,,688.71M,,15.24M,30.00M,-9.342M,-0.54M,19.49M,13.76M,,AOR,Restated
2013-03,22.91M,,,,,15.69M,15.69M,0.986M,,8.375M,8.375M,-56.73M,-22.74M,-50.53M,117.38M,7.656M,-4.97M,42.99M,,-10.65M,,0.00,-145.62M,,-156.28M,,-0.776M,-0.776M,,-0.565M,-0.565M,,1.408M,0.056M,0.123M,,843.95M,-113.16M,,730.79M,,,0.00,-0.776M,-0.565M,2.205M,1.41M,,AOR,Restated
2012-12,4.934M,,-0.12M,,-0.12M,16.11M,16.11M,5.318M,-0.033M,6.583M,6.55M,22.41M,37.87M,-12.43M,-14.05M,-94.88M,-61.07M,-28.28M,,-11.40M,,0.00,-38.05M,,-49.45M,,144.42M,144.42M,0.00,-10.85M,-10.85M,,4.314M,-13.08M,124.81M,,796.62M,47.08M,,844.00M,,0.00,185.00M,-40.58M,-10.85M,8.999M,9.873M,,AOR,Restated
2012-09,0.295M,,-17.88M,,-17.88M,16.63M,16.63M,-28.68M,0.00,6.424M,6.424M,93.33M,17.14M,11.02M,123.00M,95.92M,340.40M,317.18M,,-13.16M,,0.00,85.23M,,72.07M,,-15.82M,-15.82M,0.00,-0.363M,-0.363M,,1.366M,0.289M,-14.53M,,421.89M,374.73M,,796.62M,,0.00,140.00M,-155.82M,-0.363M,1.607M,1.815M,,AOR,Restated
2012-06,-38.83M,,,,,16.65M,16.65M,3.509M,28.03M,5.618M,33.65M,-111.96M,-16.18M,-22.39M,150.28M,7.465M,7.215M,22.20M,,-42.46M,,0.00,-47.31M,,-89.77M,,54.19M,54.19M,0.00,-0.282M,-0.282M,,1.241M,1.32M,56.47M,,433.00M,-11.10M,,421.89M,,0.00,75.00M,-20.81M,-0.282M,11.88M,8.723M,,AOR,Restated
2012-03,22.60M,,,,,16.61M,16.61M,5.855M,,6.375M,6.375M,-120.78M,-60.83M,-10.20M,100.77M,7.498M,-83.54M,-32.10M,,-14.98M,,,-105.87M,,-120.85M,,-0.795M,-0.795M,,-1.509M,-1.509M,,9.079M,5.472M,12.25M,,573.70M,-140.70M,,433.00M,,,,-0.795M,-1.509M,20.51M,1.589M,,AOR,Restated
2011-12,29.26M,,0.213M,,0.213M,15.27M,15.27M,2.254M,0.00,4.908M,4.908M,2.00M,50.30M,-5.147M,174.46M,-101.51M,120.11M,172.02M,,-16.77M,,-1.183M,-29.97M,,-47.92M,,-0.808M,-0.808M,,-6.529M,-6.529M,,2.233M,3.047M,-2.057M,,451.66M,122.04M,,573.70M,,,0.00,-0.808M,-6.529M,0.448M,11.29M,,AOR,Restated
2011-09,28.21M,,-0.213M,,-0.213M,14.49M,14.49M,3.306M,0.00,4.424M,4.424M,2.84M,23.32M,-2.666M,-49.39M,12.19M,-13.70M,36.52M,,-21.81M,,0.00,-38.23M,,-60.04M,,-0.78M,-0.78M,,-0.251M,-0.251M,,1.318M,0.441M,0.728M,,474.45M,-22.79M,,451.66M,,,0.00,-0.78M,-0.251M,50.00M,16.10M,,AOR,Restated
2011-06,28.06M,,,,8.488M,14.24M,14.24M,-2.829M,0.00,4.445M,4.445M,-20.36M,-61.01M,-2.365M,11.25M,-20.77M,-93.25M,-40.84M,,-18.25M,,-3.192M,12.30M,,-9.133M,,29.76M,29.76M,,-0.627M,-0.627M,,5.746M,-2.509M,32.38M,,492.04M,-17.60M,,474.45M,,,291.88M,-262.12M,-0.627M,-9.567M,-1.714M,,AOR,Restated
2011-03,22.82M,,,,,14.32M,14.32M,-0.70M,,4.394M,4.394M,4.216M,26.27M,-1.636M,13.43M,10.87M,53.15M,93.99M,,-16.88M,,,4.904M,,-11.98M,,-25.28M,-25.28M,,-0.402M,-0.402M,,6.518M,-4.973M,-24.13M,,434.17M,57.88M,,492.04M,,,127.30M,-152.58M,-0.402M,9.567M,1.714M,,AOR,Restated
2010-12,26.32M,0.00,-0.006M,,-0.006M,13.38M,13.38M,3.305M,0.00,3.65M,3.65M,44.77M,40.57M,-2.336M,-1.117M,66.09M,147.98M,194.62M,,-26.60M,,-33.54M,-114.48M,0.00,-174.62M,,66.46M,66.46M,0.00,-2.51M,-2.51M,,1.025M,-48.49M,16.49M,,397.67M,36.50M,,434.17M,,0.00,164.73M,-98.26M,-2.51M,9.531M,7.795M,,AOR,Restated
2010-09,23.20M,0.00,-2.344M,,-2.344M,13.70M,13.70M,2.084M,5.531M,3.336M,8.867M,-10.41M,0.362M,-3.88M,-0.436M,41.42M,27.05M,72.56M,,-28.36M,,-5.374M,83.79M,0.00,50.06M,,11.38M,11.38M,0.00,-0.146M,-0.146M,,0.635M,-2.418M,9.448M,,265.60M,132.07M,,397.67M,,0.00,11.65M,-0.274M,-0.146M,16.47M,2.181M,,AOR,Restated
2010-06,24.50M,0.00,-0.44M,,-0.44M,12.39M,12.39M,3.978M,,3.428M,3.428M,-53.26M,-43.97M,2.323M,77.54M,-86.25M,-103.62M,-59.76M,,-40.50M,,-19.45M,15.08M,0.00,-44.88M,,20.07M,20.07M,-0.023M,-0.088M,-0.111M,,1.24M,-1.056M,20.15M,,350.09M,-84.49M,,265.60M,,-0.023M,20.13M,-0.057M,-0.088M,19.67M,6.975M,,AOR,Restated
2010-03,24.25M,-8.201M,-3.547M,,-11.75M,12.53M,12.53M,0.95M,,3.46M,3.46M,-4.457M,40.43M,-1.375M,-106.41M,3.871M,-67.94M,-38.50M,,-23.10M,,-2.019M,-29.47M,13.42M,-41.16M,,-75.11M,-75.11M,104.56M,-0.48M,104.08M,,0.519M,-3.489M,26.00M,,403.75M,-53.66M,,350.09M,,104.56M,22.03M,-97.14M,-0.48M,8.272M,0.345M,,AOR,Restated
2009-12,23.77M,0.00,-0.402M,,-0.402M,13.20M,13.20M,-0.82M,0.00,3.206M,3.206M,2.76M,-43.26M,1.332M,-7.337M,78.76M,32.26M,71.22M,,-41.89M,,-7.03M,-47.96M,,-95.41M,,30.40M,30.40M,0.00,-0.765M,-0.765M,-4.324M,0.648M,8.006M,33.96M,,393.98M,9.77M,,403.75M,,0.00,190.56M,-160.16M,-0.765M,9.62M,6.872M,,AOR,Restated
2009-09,23.81M,0.00,-0.189M,,-0.189M,9.908M,9.908M,3.004M,0.00,3.817M,3.817M,22.95M,31.72M,-3.952M,25.12M,-1.322M,74.51M,114.86M,,-12.86M,,-23.91M,-62.71M,,-99.49M,,-11.42M,-11.42M,0.00,-0.092M,-0.092M,4.324M,0.608M,0.698M,-5.886M,,384.50M,9.483M,,393.98M,,0.00,180.50M,-191.92M,-0.092M,11.80M,0.898M,,AOR,Restated
2009-06,19.42M,0.00,0.011M,,0.011M,10.66M,10.66M,-0.77M,,3.822M,3.822M,16.07M,-30.70M,2.754M,59.06M,-41.62M,5.56M,38.70M,,-18.68M,,-2.43M,30.92M,,9.814M,,-1.562M,-1.562M,0.00,-5.04M,-5.04M,,0.219M,0.138M,-6.245M,,342.23M,42.27M,,384.50M,,0.00,180.00M,-181.56M,-5.04M,12.91M,6.934M,,AOR,Restated
2009-03,19.24M,0.00,0.439M,,0.439M,10.23M,10.23M,2.282M,,3.789M,3.789M,-39.40M,-18.67M,-1.397M,2.165M,44.73M,-12.57M,23.42M,,-11.16M,,-5.191M,-68.65M,,-85.00M,,25.43M,25.43M,0.00,-0.407M,-0.407M,,0.89M,-1.198M,24.71M,,379.10M,-36.87M,,342.23M,,0.00,108.00M,-82.57M,-0.407M,18.60M,0.724M,,AOR,Restated
2008-12,21.42M,,0.065M,,0.065M,9.396M,9.396M,-12.70M,,3.752M,6.298M,49.25M,-0.557M,2.178M,-64.56M,84.67M,70.98M,95.46M,,-12.57M,52.59M,-1.868M,12.47M,,-1.97M,,14.92M,14.92M,,-5.266M,-5.266M,,0.584M,0.084M,10.32M,,275.28M,103.82M,,379.10M,,,84.00M,-69.08M,-5.266M,8.431M,6.845M,,AOR,Restated
2008-09,18.25M,,4.923M,0.201M,5.124M,9.789M,9.789M,2.108M,,3.737M,3.737M,-27.65M,28.82M,-2.128M,39.55M,-37.75M,0.832M,39.84M,,-18.01M,-52.59M,-75.69M,-53.26M,,-146.96M,,27.88M,27.88M,,-4.928M,-4.928M,,1.741M,0.224M,24.91M,,357.49M,-82.20M,,275.28M,,,96.00M,-68.12M,-4.928M,12.40M,0.877M,,AOR,Restated
2008-06,18.20M,,-0.028M,-0.201M,-0.229M,8.431M,8.431M,2.407M,,3.826M,3.826M,-31.76M,41.42M,-1.66M,18.74M,0.577M,27.32M,59.96M,,-14.70M,,-5.624M,52.54M,,32.22M,,5.861M,5.861M,,-6.363M,-6.363M,,1.881M,0.154M,1.533M,,263.78M,93.71M,,357.49M,,,30.00M,-24.14M,-6.363M,15.17M,7.127M,,AOR,Restated
2008-03,25.62M,,0.028M,,0.028M,7.798M,7.798M,9.472M,,4.013M,4.013M,8.612M,4.489M,-2.634M,-30.18M,-0.505M,-20.22M,26.72M,,-19.88M,,-2.194M,-15.14M,,-37.21M,,8.857M,8.857M,,-6.953M,-6.953M,,1.148M,2.638M,5.69M,,268.58M,-4.804M,,263.78M,,,26.00M,-17.15M,-6.953M,0.792M,0.463M,,AOR,Restated
2007-12,1.473M,0.00,-0.055M,,-0.055M,7.426M,7.426M,-9.364M,,4.028M,11.24M,-5.192M,3.253M,15.54M,-46.99M,60.16M,26.77M,37.49M,,-12.16M,-12.16M,-9.576M,-26.70M,0.00,-48.44M,,4.748M,4.748M,,-0.96M,-0.96M,,1.727M,-1.028M,4.487M,,275.05M,-6.464M,,268.58M,,,10.00M,-5.252M,-0.96M,0.383M,7.465M,,AOR,Restated
2007-09,15.94M,-7.472M,0.161M,,-7.311M,7.39M,7.39M,-0.532M,,3.916M,19.22M,28.68M,16.15M,9.043M,46.99M,-22.86M,78.01M,104.88M,,-12.42M,-12.42M,-21.09M,-28.37M,0.00,-61.88M,,-0.356M,-0.356M,,-5.35M,-5.35M,,1.086M,0.231M,-4.389M,,236.44M,38.60M,,275.05M,,,11.00M,-11.36M,-5.35M,0.916M,0.742M,,AOR,Restated
2007-06,17.78M,,,,,6.717M,6.717M,1.071M,,3.966M,-3.254M,-35.41M,10.52M,1.753M,,20.75M,-2.388M,23.89M,,-14.56M,-14.56M,-5.336M,-81.12M,3.254M,-97.76M,,-1.168M,-1.168M,,-2.587M,-2.587M,,1.783M,0.38M,-1.592M,,311.90M,-75.46M,,236.44M,,,0.00,-1.168M,-2.587M,0.248M,0.739M,,AOR,Restated
2007-03,38.21M,,,,,6.274M,6.274M,-1.398M,,3.871M,-4.218M,13.59M,1.309M,-26.34M,,4.679M,-6.76M,35.98M,,-14.79M,-14.79M,,-13.43M,10.85M,-17.38M,,21.61M,21.61M,,-0.644M,-0.644M,,0.868M,0.417M,22.26M,,271.05M,40.86M,,311.90M,,,191.00M,-169.39M,-0.644M,5.801M,2.999M,,AOR,Restated
2006-12,13.83M,,,,,5.314M,5.314M,-2.199M,,3.736M,1.177M,-5.556M,2.207M,2.647M,,49.32M,48.62M,70.48M,,-10.82M,-10.82M,,69.10M,-66.77M,-8.496M,,23.50M,23.50M,,-0.619M,-0.619M,,2.359M,-16.66M,8.586M,,200.48M,70.57M,,271.05M,,,11.00M,12.50M,-0.619M,,,,AOR,
2006-09,-71.19M,,,,,5.745M,5.745M,-4.206M,,4.014M,79.94M,11.50M,15.27M,0.846M,,61.04M,88.66M,110.11M,,-16.02M,-16.02M,,-86.05M,60.71M,-41.36M,,3.374M,3.374M,,-4.034M,-4.034M,,0.833M,0.117M,0.29M,,131.44M,69.04M,,200.48M,,,11.39M,-8.018M,-4.034M,,,,AOR,Restated
2006-06,4.965M,,,,,5.021M,5.021M,-0.519M,,3.737M,3.737M,-29.90M,0.721M,4.753M,,16.32M,-8.105M,5.099M,,-9.336M,-9.336M,,3.147M,-20.80M,-26.99M,,32.76M,32.76M,,-0.098M,-0.098M,,1.622M,0.523M,34.81M,,118.51M,12.92M,,131.44M,,,34.97M,-2.202M,-0.098M,,,,AOR,Restated
2006-03,8.766M,,,,,4.52M,4.52M,0.232M,,3.417M,3.417M,-15.81M,9.937M,-2.894M,,1.177M,-7.592M,9.343M,,-14.14M,-14.14M,,-19.37M,-39.91M,-73.42M,,34.72M,34.72M,,-3.082M,-3.082M,,2.139M,1.454M,35.23M,,147.36M,-28.85M,,118.51M,,,37.00M,-2.285M,-3.082M,,,,AOR,Restated
2005-12,13.87M,,,,,3.411M,3.411M,5.353M,,,0.399M,9.396M,-16.01M,-4.187M,,11.48M,0.679M,29.14M,,-10.07M,-10.07M,55.41M,5.478M,,-4.669M,,4.323M,4.323M,-3.925M,,-3.925M,,,-4.552M,1.467M,,121.42M,25.93M,,147.36M,,-3.925M,0.00,4.323M,,,,,AOR,
