,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2015-08,471.00M,,,,-47.00M,2.00M,,,710.00M,710.00M,,,,41.00M,220.00M,56.00M,41.00M,,-158.00M,,-353.00M,-414.00M,,1.03B,-1.765B,,-1.765B,,287.00M,-16.00M,-1.494B,-238.00M,-238.00M,,-639.00M,-639.00M,,10.00M,-66.00M,-933.00M,3.694B,-1.397B,-6.00M,2.375B,,40.00M,-278.00M,-639.00M,,
2015-05,491.00M,,,,-68.00M,-68.00M,,,673.00M,673.00M,,,,43.00M,-29.00M,184.00M,-3.00M,,-45.00M,,89.00M,225.00M,,1.335B,-734.00M,,-734.00M,,-828.00M,42.00M,-1.52B,307.00M,307.00M,,-1.00M,-1.00M,,14.00M,39.00M,359.00M,3.547B,174.00M,-27.00M,3.694B,,1.209B,-902.00M,-1.00M,,
2015-02,935.00M,,,,-208.00M,-208.00M,,,641.00M,641.00M,,,,49.00M,-4.00M,-99.00M,71.00M,,-167.00M,,33.00M,-162.00M,,1.251B,-853.00M,,-853.00M,,-1.275B,2.00M,-2.126B,891.00M,891.00M,,-218.00M,-218.00M,,32.00M,-43.00M,662.00M,3.764B,-213.00M,-4.00M,3.547B,,1.254B,-363.00M,-218.00M,,
2014-11,1.002B,,,,-124.00M,-124.00M,,,643.00M,643.00M,,,,35.00M,-28.00M,252.00M,7.00M,,-321.00M,,126.00M,64.00M,,1.592B,-669.00M,,-669.00M,,-404.00M,-3.00M,-1.076B,-786.00M,-786.00M,,-26.00M,-26.00M,,18.00M,-12.00M,-806.00M,4.15B,-290.00M,-96.00M,3.764B,,0.00,-786.00M,-26.00M,,
2014-08,1.151B,,,,-119.00M,-211.00M,,,553.00M,553.00M,,,,34.00M,-36.00M,-188.00M,77.00M,,25.00M,,-58.00M,-144.00M,,1.347B,-1.307B,,-1.307B,,-456.00M,-40.00M,-1.698B,441.00M,441.00M,,-1.00M,-1.00M,,18.00M,-4.00M,454.00M,4.062B,103.00M,-15.00M,4.15B,,1.15B,-709.00M,-1.00M,,
2014-05,806.00M,,,,-135.00M,-135.00M,,,542.00M,542.00M,,,,32.00M,90.00M,128.00M,-71.00M,,4.00M,,59.00M,120.00M,,1.455B,-566.00M,,-566.00M,,5.00M,10.00M,-551.00M,-1.147B,-1.147B,,-2.00M,-2.00M,,23.00M,-23.00M,-1.149B,4.305B,-245.00M,2.00M,4.062B,,0.00,-1.147B,-2.00M,,
2014-02,741.00M,,,,-134.00M,-134.00M,,,517.00M,517.00M,,,,27.00M,118.00M,36.00M,-2.00M,,22.00M,,65.00M,121.00M,,1.39B,-565.00M,,-565.00M,,-25.00M,59.00M,-531.00M,-174.00M,-174.00M,,-31.00M,-31.00M,,80.00M,-87.00M,-212.00M,3.654B,647.00M,4.00M,4.305B,,1.076B,-1.25B,-31.00M,,
2013-11,381.00M,,,,-86.00M,-86.00M,,,491.00M,491.00M,,,,22.00M,138.00M,-494.00M,190.00M,,620.00M,,245.00M,561.00M,,1.507B,-669.00M,,-669.00M,,-38.00M,585.00M,-122.00M,-737.00M,-737.00M,,-42.00M,-42.00M,,144.00M,43.00M,-592.00M,2.88B,793.00M,-19.00M,3.654B,,,-737.00M,-42.00M,,
2013-08,1.71B,,,-2.00M,-37.00M,-39.00M,,,450.00M,450.00M,,,,30.00M,-1.412B,-129.00M,45.00M,,-16.00M,,78.00M,-22.00M,,717.00M,-478.00M,,-478.00M,,-324.00M,62.00M,-740.00M,250.00M,250.00M,,0.00,0.00,,82.00M,131.00M,463.00M,2.44B,440.00M,0.00,2.88B,,329.00M,-79.00M,0.00,,
2013-05,43.00M,,,51.00M,10.00M,61.00M,,,442.00M,442.00M,,,,21.00M,127.00M,-277.00M,11.00M,,233.00M,,-37.00M,-70.00M,,624.00M,-203.00M,,-203.00M,,57.00M,-25.00M,-171.00M,-44.00M,-44.00M,,0.00,0.00,,44.00M,-74.00M,-74.00M,2.061B,379.00M,0.00,2.44B,,33.00M,-77.00M,0.00,,
