,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-03,862.00M,862.00M,911.00M,,911.00M,,129.00M,124.00M,,43.00M,2.069B,,,,,,,,,341.00M,5.135B,6.217B,11.35B,,,,82.00M,443.00M,12.22B,14.29B,,1.798B,128.00M,1.926B,,1.926B,,41.00M,,41.00M,,,,1.967B,,6.588B,,6.588B,1.723B,22.00M,1.745B,,-2.00M,2.391B,10.72B,12.69B,,3.00M,-7.631B,10.21B,70.00M,-918.00M,1.598B,,AOR,Restated
2016-12,1.062B,1.062B,755.00M,,768.00M,,89.00M,121.00M,,39.00M,3.557B,0.00,12.00M,384.00M,357.00M,,14.00M,767.00M,-426.00M,341.00M,5.218B,6.258B,11.48B,,,,82.00M,10.76B,22.65B,26.21B,,314.00M,56.00M,370.00M,404.00M,774.00M,122.00M,33.00M,,33.00M,,,1.317B,2.684B,131.00M,6.583B,,6.583B,1.778B,42.00M,1.933B,215.00M,-50.00M,1.922B,17.68B,20.36B,,3.00M,-3.323B,10.22B,0.00,-1.001B,5.899B,,AOR,Restated
2016-09,859.00M,859.00M,1.021B,128.00M,1.166B,508.00M,171.00M,272.00M,,48.00M,3.024B,0.00,3.451B,6.478B,1.369B,,112.00M,11.41B,-2.39B,9.02B,5.855B,6.477B,12.33B,132.00M,929.00M,,75.00M,359.00M,22.85B,25.87B,,2.354B,63.00M,2.417B,,2.417B,,181.00M,,181.00M,,,,2.598B,,10.22B,,10.22B,4.487B,96.00M,4.583B,,-25.00M,1.979B,16.78B,19.38B,,10.00M,-2.866B,10.20B,,-826.00M,6.516B,,AOR,Restated
2016-06,810.00M,810.00M,1.005B,129.00M,1.152B,459.00M,186.00M,271.00M,,52.00M,2.93B,0.00,3.473B,6.476B,1.321B,,137.00M,11.41B,-2.30B,9.107B,5.862B,6.531B,12.39B,129.00M,905.00M,,76.00M,313.00M,22.92B,25.85B,,2.37B,107.00M,2.477B,,2.477B,,186.00M,,186.00M,,,,2.663B,,10.26B,,10.26B,4.533B,161.00M,4.694B,,-29.00M,1.893B,16.84B,19.51B,,10.00M,-2.984B,10.18B,,-826.00M,6.375B,,AOR,Restated
2016-03,692.00M,692.00M,913.00M,124.00M,1.065B,469.00M,193.00M,281.00M,,38.00M,2.738B,0.00,3.473B,6.427B,1.309B,,140.00M,11.35B,-2.251B,9.098B,5.89B,6.597B,12.49B,127.00M,897.00M,,77.00M,297.00M,22.98B,25.72B,,2.251B,101.00M,2.352B,,2.352B,,193.00M,,193.00M,,,,2.545B,,10.26B,,10.26B,4.593B,228.00M,4.821B,,-32.00M,1.895B,16.97B,19.52B,,10.00M,-3.152B,10.15B,,-774.00M,6.237B,,AOR,Restated
2015-12,609.00M,609.00M,876.00M,129.00M,1.102B,442.00M,147.00M,247.00M,,38.00M,2.585B,0.00,3.486B,6.41B,1.263B,,80.00M,11.24B,-2.12B,9.119B,5.887B,6.654B,12.54B,138.00M,887.00M,,78.00M,274.00M,23.04B,25.62B,,331.00M,33.00M,364.00M,539.00M,903.00M,90.00M,204.00M,,204.00M,65.00M,65.00M,706.00M,2.443B,87.00M,10.25B,,10.25B,4.63B,283.00M,5.086B,183.00M,-34.00M,1.623B,17.23B,19.67B,,10.00M,-3.392B,10.15B,,-784.00M,5.985B,,AOR,Restated
2015-09,628.00M,628.00M,985.00M,68.00M,1.072B,430.00M,182.00M,276.00M,20.00M,38.00M,2.646B,0.00,3.484B,6.349B,1.258B,,102.00M,11.19B,-2.061B,9.132B,5.902B,6.708B,12.61B,154.00M,544.00M,321.00M,157.00M,368.00M,23.29B,25.93B,,2.261B,49.00M,2.31B,,2.31B,,248.00M,,248.00M,,,,2.558B,,10.57B,,10.57B,5.293B,341.00M,5.634B,,-34.00M,1.992B,18.19B,20.75B,,10.00M,-4.137B,10.13B,,-793.00M,5.214B,,AOR,Restated
2015-06,511.00M,511.00M,996.00M,66.00M,1.10B,424.00M,146.00M,248.00M,20.00M,52.00M,2.501B,0.00,3.487B,6.346B,1.249B,,98.00M,11.18B,-1.989B,9.191B,5.945B,6.786B,12.73B,156.00M,502.00M,347.00M,154.00M,469.00M,23.55B,26.05B,,2.26B,20.00M,2.28B,,2.28B,,146.00M,,146.00M,,,,2.426B,,11.04B,,11.04B,5.192B,395.00M,5.587B,,-36.00M,1.925B,18.56B,20.98B,,10.00M,-4.347B,10.12B,,-673.00M,5.105B,,AOR,Restated
2015-03,547.00M,547.00M,959.00M,60.00M,1.048B,421.00M,153.00M,269.00M,20.00M,31.00M,2.489B,0.00,3.45B,6.345B,1.228B,,97.00M,11.12B,-1.927B,9.193B,5.916B,6.816B,12.73B,156.00M,451.00M,376.00M,159.00M,349.00M,23.42B,25.90B,,2.132B,19.00M,2.151B,,2.151B,,147.00M,,147.00M,,,,2.298B,,11.28B,,11.28B,5.344B,447.00M,5.791B,,-40.00M,1.911B,18.98B,21.28B,,10.00M,-4.508B,10.03B,,-868.00M,4.662B,,AOR,Restated
2014-12,566.00M,566.00M,906.00M,66.00M,1.104B,404.00M,133.00M,202.00M,,90.00M,2.499B,0.00,3.009B,5.15B,1.14B,,53.00M,9.352B,-1.869B,7.483B,6.154B,6.943B,13.10B,170.00M,416.00M,406.00M,155.00M,1.899B,23.63B,26.12B,,299.00M,21.00M,320.00M,505.00M,825.00M,82.00M,137.00M,,137.00M,52.00M,52.00M,686.00M,2.257B,83.00M,11.56B,,11.56B,5.216B,495.00M,5.814B,204.00M,-38.00M,1.498B,19.15B,21.41B,,10.00M,-4.658B,10.03B,,-628.00M,4.752B,,AOR,Restated
2014-09,543.00M,543.00M,926.00M,56.00M,982.00M,350.00M,172.00M,288.00M,23.00M,56.00M,2.414B,0.00,4.115B,5.706B,1.203B,,97.00M,11.12B,-1.997B,9.124B,6.185B,7.028B,13.21B,174.00M,381.00M,433.00M,195.00M,390.00M,23.91B,26.32B,,,10.00M,10.00M,2.003B,2.013B,,127.00M,,127.00M,,,,2.14B,,11.94B,,11.94B,5.137B,544.00M,5.681B,,-40.00M,1.816B,19.43B,21.57B,,10.00M,-4.816B,10.00B,,-404.00M,4.79B,,AOR,Restated
2014-06,545.00M,545.00M,923.00M,52.00M,975.00M,359.00M,166.00M,284.00M,23.00M,65.00M,2.417B,0.00,4.097B,5.609B,1.193B,,81.00M,10.98B,-1.944B,9.036B,6.227B,7.133B,13.36B,257.00M,359.00M,462.00M,196.00M,410.00M,24.08B,26.50B,,1.999B,11.00M,2.01B,,2.01B,,110.00M,,110.00M,,,,2.12B,,12.20B,,12.20B,5.058B,593.00M,5.651B,,-87.00M,1.775B,19.63B,21.75B,,10.00M,-4.999B,10.01B,,-186.00M,4.834B,,AOR,Restated
2014-03,435.00M,435.00M,810.00M,93.00M,903.00M,397.00M,182.00M,287.00M,23.00M,68.00M,2.295B,0.00,4.098B,5.53B,1.176B,,92.00M,10.90B,-1.865B,9.031B,6.222B,7.177B,13.40B,264.00M,634.00M,184.00M,195.00M,391.00M,24.10B,26.39B,,1.936B,6.00M,1.942B,,1.942B,,44.00M,,44.00M,,,,1.986B,,12.47B,,12.47B,5.111B,632.00M,5.743B,,-89.00M,1.748B,19.96B,21.95B,,10.00M,-5.208B,9.97B,,-236.00M,4.536B,,AOR,Restated
2013-12,594.00M,594.00M,758.00M,94.00M,927.00M,396.00M,148.00M,266.00M,23.00M,29.00M,2.383B,0.00,4.098B,5.511B,1.172B,,67.00M,10.85B,-1.79B,9.058B,6.22B,7.216B,13.44B,260.00M,635.00M,194.00M,193.00M,403.00M,24.18B,26.56B,,319.00M,11.00M,330.00M,552.00M,882.00M,52.00M,52.00M,,52.00M,48.00M,48.00M,561.00M,2.142B,51.00M,12.67B,,12.67B,5.053B,674.00M,5.874B,138.00M,-87.00M,1.41B,20.14B,22.29B,,10.00M,-5.331B,9.948B,,-264.00M,4.363B,,AOR,Restated
2013-09,470.00M,470.00M,813.00M,121.00M,934.00M,386.00M,156.00M,411.00M,75.00M,40.00M,2.472B,0.00,4.121B,5.436B,1.144B,,89.00M,10.79B,-1.719B,9.071B,6.205B,7.202B,13.41B,268.00M,825.00M,,103.00M,465.00M,24.14B,26.61B,,1.964B,186.00M,2.15B,,2.15B,,57.00M,,57.00M,,,,2.207B,,12.96B,,12.96B,4.997B,,4.997B,,-126.00M,2.596B,20.55B,22.76B,,10.00M,-5.558B,9.942B,,-417.00M,3.977B,,AOR,Restated
2013-06,661.00M,661.00M,830.00M,116.00M,946.00M,395.00M,139.00M,625.00M,75.00M,49.00M,2.89B,0.00,4.119B,5.384B,1.117B,,103.00M,10.72B,-1.639B,9.084B,6.172B,7.208B,13.38B,274.00M,817.00M,,103.00M,237.00M,23.90B,26.78B,,1.914B,72.00M,1.986B,,1.986B,,401.00M,,401.00M,,,,2.387B,,14.99B,,14.99B,5.132B,,5.132B,,-127.00M,2.102B,22.22B,24.61B,,1.00M,-5.557B,8.452B,,-591.00M,2.305B,,AOR,Restated
2012-12,755.00M,755.00M,719.00M,119.00M,838.00M,415.00M,153.00M,550.00M,76.00M,40.00M,2.827B,0.00,4.09B,5.45B,1.111B,,88.00M,10.74B,-1.542B,9.197B,6.197B,7.373B,13.57B,291.00M,815.00M,,104.00M,262.00M,24.24B,27.07B,,286.00M,20.00M,306.00M,508.00M,814.00M,47.00M,407.00M,,407.00M,61.00M,61.00M,490.00M,2.349B,80.00M,15.59B,,15.59B,4.948B,82.00M,5.159B,262.00M,-146.00M,1.473B,22.56B,24.91B,,1.00M,-5.746B,8.452B,,-406.00M,2.301B,,AOR,Restated
