,NetIncome,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,163.00M,-11.00M,,-11.00M,82.00M,7.00M,89.00M,89.00M,-37.00M,,28.00M,-14.00M,,25.00M,25.00M,243.00M,,-25.00M,,,-1.00M,-26.00M,,-14.00M,-14.00M,-110.00M,-110.00M,-47.00M,-47.00M,-40.00M,-211.00M,,670.00M,6.00M,7.00M,683.00M,,0.00,-14.00M,-110.00M,9.00M,72.00M,,AOR,Restated
2017-12,730.00M,0.00,,0.00,84.00M,5.00M,89.00M,89.00M,-569.00M,,30.00M,-4.00M,,299.00M,-23.00M,254.00M,,-52.00M,,,0.00,-52.00M,,-11.00M,-11.00M,-266.00M,-266.00M,-48.00M,-48.00M,-3.00M,-328.00M,,796.00M,-126.00M,0.00,670.00M,,1.00M,-12.00M,-266.00M,-377.00M,-225.00M,,AOR,Restated
2017-09,160.00M,-2.00M,,-2.00M,83.00M,4.00M,87.00M,87.00M,-37.00M,,32.00M,-19.00M,,30.00M,30.00M,251.00M,,-34.00M,,,4.00M,-30.00M,,-12.00M,-12.00M,-273.00M,-273.00M,-49.00M,-49.00M,-1.00M,-335.00M,,909.00M,-114.00M,1.00M,796.00M,,0.00,-12.00M,-273.00M,140.00M,67.00M,,AOR,Restated
2017-06,151.00M,-5.00M,,-5.00M,83.00M,5.00M,88.00M,88.00M,-56.00M,,34.00M,-19.00M,,101.00M,101.00M,294.00M,,-29.00M,,,1.00M,-28.00M,,-12.00M,-12.00M,-282.00M,-282.00M,-49.00M,-49.00M,-2.00M,-345.00M,,986.00M,-79.00M,2.00M,909.00M,,0.00,-12.00M,-282.00M,231.00M,45.00M,,AOR,Restated
2017-03,48.00M,4.00M,,64.00M,86.00M,3.00M,89.00M,89.00M,-67.00M,,25.00M,-13.00M,,-96.00M,-96.00M,50.00M,,-18.00M,,,-19.00M,-37.00M,,-1.00M,-1.00M,-70.00M,-70.00M,-49.00M,-49.00M,-596.00M,-716.00M,,1.684B,-703.00M,5.00M,986.00M,,1.823B,-1.824B,-70.00M,6.00M,113.00M,,AOR,Restated
2016-12,-392.00M,-20.00M,,-27.00M,164.00M,,180.00M,180.00M,62.00M,-15.00M,41.00M,-399.00M,,769.00M,804.00M,341.00M,,-80.00M,35.00M,,3.00M,-77.00M,,450.00M,450.00M,0.00,0.00,-70.00M,-70.00M,-69.00M,311.00M,,1.131B,575.00M,-22.00M,1.684B,,3.715B,-3.265B,0.00,-476.00M,-341.00M,,AOR,Restated
2016-09,192.00M,8.00M,,8.00M,169.00M,,169.00M,169.00M,-47.00M,0.00,23.00M,23.00M,,-50.00M,-50.00M,295.00M,,-96.00M,-17.00M,,-14.00M,-110.00M,,-30.00M,-30.00M,0.00,0.00,-69.00M,-69.00M,-37.00M,-136.00M,,1.081B,49.00M,1.00M,1.131B,,1.00B,-1.03B,0.00,234.00M,116.00M,,AOR,Restated
2016-06,244.00M,13.00M,,11.00M,171.00M,,171.00M,171.00M,-68.00M,0.00,16.00M,16.00M,,-39.00M,-39.00M,335.00M,,-118.00M,-9.00M,,-8.00M,-126.00M,,-32.00M,-32.00M,0.00,0.00,-69.00M,-69.00M,-2.00M,-103.00M,,973.00M,106.00M,2.00M,1.081B,,0.00,-32.00M,0.00,203.00M,139.00M,,AOR,Restated
2016-03,310.00M,12.00M,,12.00M,169.00M,,169.00M,169.00M,-32.00M,15.00M,11.00M,26.00M,,-146.00M,-146.00M,339.00M,,-104.00M,-9.00M,,-6.00M,-110.00M,,-32.00M,-32.00M,0.00,0.00,-69.00M,-69.00M,-15.00M,-116.00M,,856.00M,113.00M,4.00M,973.00M,,0.00,-32.00M,0.00,39.00M,86.00M,,AOR,Restated
2015-12,816.00M,20.00M,22.00M,42.00M,173.00M,,173.00M,173.00M,-513.00M,,10.00M,-88.00M,,-215.00M,11.00M,455.00M,,-130.00M,-10.00M,13.00M,34.00M,-101.00M,,-269.00M,-269.00M,,,-69.00M,-69.00M,12.00M,-326.00M,,628.00M,28.00M,-2.00M,856.00M,,13.00M,-282.00M,,-359.00M,-329.00M,,AOR,Restated
2015-09,283.00M,8.00M,-9.00M,-165.00M,171.00M,,171.00M,171.00M,24.00M,,14.00M,-1.00M,,15.00M,15.00M,343.00M,,-78.00M,-8.00M,0.00,326.00M,257.00M,,-380.00M,-380.00M,,,-69.00M,-69.00M,-26.00M,-475.00M,,511.00M,125.00M,-8.00M,628.00M,,1.00M,-381.00M,,162.00M,98.00M,,AOR,Restated
2015-06,167.00M,-5.00M,-9.00M,-11.00M,173.00M,,173.00M,173.00M,-30.00M,0.00,81.00M,-18.00M,,-8.00M,-8.00M,362.00M,,-94.00M,-8.00M,-117.00M,-3.00M,-207.00M,,-217.00M,-217.00M,,,0.00,0.00,26.00M,-191.00M,,547.00M,-36.00M,0.00,511.00M,,34.00M,-251.00M,,177.00M,143.00M,,AOR,Restated
2015-03,150.00M,18.00M,-4.00M,-131.00M,175.00M,,175.00M,175.00M,40.00M,,19.00M,25.00M,,-4.00M,-4.00M,286.00M,,-107.00M,-11.00M,-1.298B,1.868B,465.00M,,-710.00M,-710.00M,,,,,-51.00M,-761.00M,,566.00M,-10.00M,-9.00M,547.00M,,,-710.00M,,20.00M,88.00M,,AOR,Restated
2014-12,159.00M,15.00M,-3.00M,12.00M,158.00M,,158.00M,158.00M,76.00M,,21.00M,98.00M,,-165.00M,-118.00M,408.00M,,-119.00M,-11.00M,6.00M,35.00M,-110.00M,,-349.00M,-349.00M,,,0.00,0.00,17.00M,-332.00M,,543.00M,-34.00M,-7.00M,768.00M,,0.00,-349.00M,,-284.00M,-353.00M,,AOR,Restated
2014-09,187.00M,5.00M,-4.00M,1.00M,159.00M,,159.00M,159.00M,-20.00M,,16.00M,-24.00M,,59.00M,59.00M,387.00M,,-120.00M,-33.00M,-1.00M,21.00M,-79.00M,,-292.00M,-292.00M,,,0.00,0.00,-10.00M,-302.00M,,545.00M,6.00M,-8.00M,543.00M,,0.00,-292.00M,,143.00M,96.00M,,AOR,Restated
2014-06,212.00M,-32.00M,-8.00M,-40.00M,158.00M,,158.00M,158.00M,10.00M,,22.00M,-11.00M,,5.00M,5.00M,365.00M,,-89.00M,-5.00M,-3.00M,36.00M,-48.00M,,-214.00M,-214.00M,,,,,5.00M,-209.00M,,435.00M,108.00M,2.00M,545.00M,,350.00M,-564.00M,,119.00M,160.00M,,AOR,Restated
2014-03,124.00M,-14.00M,-4.00M,-18.00M,153.00M,,153.00M,153.00M,-52.00M,,19.00M,-3.00M,,-78.00M,-78.00M,147.00M,,-74.00M,-16.00M,-2.00M,,-73.00M,,-219.00M,-219.00M,,,,,-13.00M,-232.00M,,594.00M,-158.00M,-1.00M,435.00M,,,-219.00M,,22.00M,97.00M,,AOR,Restated
2013-12,62.00M,2.00M,-5.00M,-232.00M,148.00M,,148.00M,148.00M,-1.00M,,257.00M,2.00M,,628.00M,832.00M,1.077B,,-147.00M,-32.00M,0.00,0.00,-130.00M,,-2.215B,-2.215B,,,,,-102.00M,-1.074B,,724.00M,-127.00M,-3.00M,594.00M,,13.39B,-15.60B,,-84.00M,-395.00M,,AOR,Restated
2013-09,203.00M,-39.00M,-3.00M,-42.00M,146.00M,,146.00M,146.00M,41.00M,,2.00M,1.00M,,27.00M,27.00M,386.00M,,-72.00M,-2.00M,-1.00M,1.00M,-69.00M,,-399.00M,-399.00M,,,,,144.00M,-255.00M,,661.00M,62.00M,1.00M,724.00M,,251.00M,-650.00M,,44.00M,107.00M,,AOR,Restated
2013-06,157.00M,39.00M,-7.00M,32.00M,149.00M,,149.00M,149.00M,18.00M,,1.00M,1.00M,,105.00M,105.00M,466.00M,,-88.00M,-9.00M,-32.00M,1.00M,-119.00M,,-399.00M,-399.00M,,,,,-58.00M,-457.00M,,777.00M,-110.00M,-6.00M,661.00M,,419.00M,-818.00M,,24.00M,156.00M,,AOR,Restated
2013-03,38.00M,43.00M,-1.00M,42.00M,160.00M,,160.00M,160.00M,7.00M,,2.00M,-7.00M,,-77.00M,-77.00M,172.00M,,-69.00M,-1.00M,-1.00M,-7.00M,-64.00M,,-102.00M,-102.00M,,,,,25.00M,-77.00M,,755.00M,31.00M,-9.00M,777.00M,,32.00M,-134.00M,,16.00M,132.00M,,AOR,
