,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-03,797.00M,2.074B,1.595B,479.00M,104.00M,104.00M,,83.00M,,-83.00M,14.00M,200.00M,279.00M,,83.00M,-83.00M,25.00M,-83.00M,221.00M,58.00M,163.00M,,-2.00M,161.00M,152.89M,393.00M,89.00M,304.00M,,0.51,,0.4843,0.51,,0.51,,0.4846,0.51,,316.00M,319.00M,0.15,,AOR,Restated
2017-12,847.00M,2.068B,1.601B,467.00M,109.00M,109.00M,0.00,91.00M,,-91.00M,15.00M,208.00M,259.00M,,91.00M,-91.00M,13.00M,-91.00M,181.00M,-549.00M,730.00M,,-1.00M,729.00M,729.00M,361.00M,89.00M,272.00M,,2.25,,2.25,2.25,,2.24,,2.24,2.24,,318.00M,324.00M,0.15,,AOR,Restated
2017-09,878.00M,2.091B,1.563B,528.00M,106.00M,106.00M,0.00,85.00M,,-85.00M,7.00M,196.00M,332.00M,,85.00M,-85.00M,9.00M,-85.00M,256.00M,96.00M,160.00M,,-2.00M,158.00M,156.75M,428.00M,87.00M,341.00M,,0.49,,0.4861,0.49,,0.49,,0.4862,0.49,,322.00M,325.00M,0.15,,AOR,Restated
2017-06,866.00M,2.076B,1.54B,536.00M,118.00M,118.00M,0.00,86.00M,,-86.00M,11.00M,212.00M,324.00M,,86.00M,-86.00M,12.00M,-86.00M,250.00M,99.00M,151.00M,,-1.00M,150.00M,146.98M,424.00M,88.00M,336.00M,,0.46,,0.4508,0.46,,0.46,,0.4508,0.46,,327.00M,329.00M,0.15,,AOR,Restated
2017-03,708.00M,1.896B,1.464B,432.00M,106.00M,106.00M,-60.00M,89.00M,,-89.00M,23.00M,215.00M,217.00M,,89.00M,-89.00M,-62.00M,-89.00M,66.00M,18.00M,48.00M,,-1.00M,47.00M,93.55M,244.00M,89.00M,155.00M,,0.14,,0.2810,0.14,,0.14,,0.2806,0.14,,330.00M,331.00M,0.15,,AOR,Restated
2016-12,648.00M,1.033B,666.00M,367.00M,122.00M,122.00M,22.00M,48.00M,,-48.00M,27.00M,229.00M,138.00M,,48.00M,-48.00M,59.00M,-48.00M,149.00M,546.00M,-397.00M,5.00M,-5.00M,-397.00M,-427.20M,377.00M,180.00M,197.00M,,-1.180,0.02,-1.256,-1.180,,-1.180,0.02,-1.256,-1.180,,329.00M,329.00M,0.21,,AOR,Restated
2016-09,779.00M,1.867B,1.395B,472.00M,107.00M,107.00M,0.00,97.00M,,-97.00M,10.00M,207.00M,265.00M,,97.00M,-97.00M,-10.00M,-97.00M,158.00M,69.00M,89.00M,103.00M,-5.00M,187.00M,90.00M,424.00M,169.00M,255.00M,,0.27,0.30,0.2882,0.57,,0.27,0.30,0.2881,0.57,,329.00M,331.00M,0.21,,AOR,Restated
2016-06,802.00M,1.95B,1.479B,471.00M,97.00M,97.00M,1.00M,99.00M,,-99.00M,11.00M,199.00M,272.00M,,99.00M,-99.00M,-10.00M,-99.00M,163.00M,63.00M,100.00M,144.00M,-5.00M,239.00M,102.98M,433.00M,171.00M,262.00M,,0.29,0.44,0.3142,0.73,,0.29,0.43,0.3142,0.72,,329.00M,330.00M,0.21,,AOR,Restated
2016-03,668.00M,1.726B,1.348B,378.00M,83.00M,83.00M,-15.00M,90.00M,,-90.00M,18.00M,193.00M,185.00M,,90.00M,-90.00M,-25.00M,-90.00M,70.00M,-121.00M,191.00M,119.00M,-1.00M,309.00M,206.20M,329.00M,169.00M,160.00M,,0.58,0.36,0.6292,0.94,,0.58,0.36,0.6291,0.94,,329.00M,330.00M,0.21,,AOR,Restated
2015-12,-2.291B,-1.283B,-705.00M,-578.00M,44.00M,44.00M,-143.00M,-54.00M,,43.00M,,-41.00M,-537.00M,,-54.00M,43.00M,-128.00M,43.00M,-622.00M,-903.00M,281.00M,,-2.00M,814.00M,376.80M,-503.00M,173.00M,-676.00M,,2.460,,2.756,2.460,,2.460,,2.755,2.460,,330.00M,331.00M,0.21,,AOR,Restated
2015-09,1.832B,2.895B,2.08B,815.00M,145.00M,145.00M,164.00M,138.00M,3.00M,-135.00M,,316.00M,499.00M,3.00M,138.00M,-135.00M,166.00M,-135.00M,530.00M,247.00M,283.00M,,-4.00M,279.00M,185.40M,839.00M,171.00M,668.00M,,0.8400,,0.5555,0.8400,,0.8400,,0.5561,0.8400,,329.00M,329.67M,0.21,,AOR,Restated
2015-06,1.861B,2.922B,2.098B,824.00M,221.00M,221.00M,-3.00M,149.00M,2.00M,-147.00M,,394.00M,430.00M,2.00M,149.00M,-147.00M,29.00M,-147.00M,312.00M,145.00M,167.00M,,-6.00M,161.00M,159.80M,634.00M,173.00M,461.00M,,0.48,,0.4764,0.48,,0.48,,0.4764,0.48,,329.00M,329.67M,,,AOR,Restated
2015-03,1.649B,2.599B,1.952B,647.00M,127.00M,127.00M,145.00M,144.00M,6.00M,-138.00M,,302.00M,345.00M,6.00M,144.00M,-138.00M,106.00M,-138.00M,313.00M,163.00M,150.00M,,,150.00M,73.80M,632.00M,175.00M,457.00M,,0.45,,0.2182,0.45,,0.45,,0.2186,0.45,,328.67M,329.33M,,,AOR,Restated
2014-12,1.79B,2.828B,2.073B,755.00M,142.00M,142.00M,0.00,151.00M,2.00M,-149.00M,,300.00M,455.00M,2.00M,151.00M,-149.00M,-13.00M,-149.00M,293.00M,134.00M,159.00M,,-1.00M,158.00M,167.75M,602.00M,158.00M,444.00M,,0.48,,0.5098,0.48,,0.48,,0.5095,0.48,,327.13M,330.13M,,,AOR,Restated
2014-09,1.738B,2.644B,1.921B,723.00M,119.00M,119.00M,0.00,156.00M,2.00M,-154.00M,,278.00M,445.00M,2.00M,156.00M,-154.00M,23.00M,-154.00M,314.00M,127.00M,187.00M,,-4.00M,183.00M,186.00M,629.00M,159.00M,470.00M,,0.5700,,0.5791,0.5700,,0.5700,,0.5791,0.5700,,328.33M,329.00M,,,AOR,Restated
2014-06,1.747B,2.667B,1.941B,726.00M,133.00M,133.00M,0.00,158.00M,5.00M,-153.00M,,291.00M,435.00M,5.00M,158.00M,-153.00M,51.00M,-153.00M,333.00M,121.00M,212.00M,,-3.00M,209.00M,188.63M,649.00M,158.00M,491.00M,,0.6300,,0.5680,0.6300,,0.6300,,0.5680,0.6300,,328.33M,328.33M,,,AOR,Restated
2014-03,1.536B,2.363B,1.775B,588.00M,97.00M,97.00M,0.00,153.00M,1.00M,-152.00M,,250.00M,338.00M,1.00M,153.00M,-152.00M,21.00M,-152.00M,207.00M,83.00M,124.00M,,-1.00M,123.00M,114.60M,513.00M,153.00M,360.00M,,0.36,,0.3344,0.36,,0.36,,0.3344,0.36,,328.33M,328.33M,,,AOR,Restated
2013-12,1.671B,2.643B,1.977B,666.00M,429.00M,429.00M,,219.00M,4.00M,-215.00M,,577.00M,89.00M,4.00M,219.00M,-215.00M,234.00M,-215.00M,108.00M,46.00M,62.00M,,-36.00M,26.00M,27.30M,475.00M,148.00M,327.00M,,0.09,,0.0940,0.09,,0.09,,0.0940,0.09,,328.20M,328.20M,,,AOR,Restated
2013-09,1.607B,2.449B,1.816B,633.00M,130.00M,130.00M,,127.00M,2.00M,-125.00M,,276.00M,357.00M,2.00M,127.00M,-125.00M,41.00M,-125.00M,273.00M,70.00M,203.00M,,-3.00M,200.00M,171.00M,546.00M,146.00M,400.00M,,,,0.5210,0.6094,,,,0.5210,0.6094,,328.20M,328.20M,,,AOR,Restated
2013-06,1.63B,2.38B,1.735B,645.00M,92.00M,92.00M,,131.00M,1.00M,-130.00M,,241.00M,404.00M,1.00M,131.00M,-130.00M,-33.00M,-130.00M,241.00M,84.00M,157.00M,,-2.00M,155.00M,180.41M,521.00M,149.00M,372.00M,,,,0.5497,0.4723,,,,0.5497,0.4723,,328.20M,328.20M,,,AOR,Restated
2013-03,1.422B,2.263B,1.754B,509.00M,97.00M,97.00M,,143.00M,2.00M,-141.00M,,257.00M,252.00M,2.00M,143.00M,-141.00M,-35.00M,-141.00M,76.00M,38.00M,38.00M,,-4.00M,34.00M,61.95M,379.00M,160.00M,219.00M,,,,0.1888,0.1036,,,,0.1888,0.1036,,328.20M,328.20M,,,AOR,
2012-12,1.592B,2.338B,1.765B,573.00M,133.00M,133.00M,-21.00M,146.00M,4.00M,-142.00M,,289.00M,284.00M,4.00M,146.00M,-142.00M,-30.00M,-142.00M,112.00M,48.00M,64.00M,,-3.00M,61.00M,77.25M,414.00M,156.00M,258.00M,,0.2534,,0.3201,0.2534,,0.2534,,0.3201,0.2534,,243.38M,243.38M,,,AOR,Restated
2012-09,1.599B,2.417B,1.829B,588.00M,91.00M,91.00M,-17.00M,142.00M,2.00M,-140.00M,,226.00M,362.00M,2.00M,142.00M,-140.00M,11.00M,-140.00M,233.00M,54.00M,179.00M,,-2.00M,177.00M,170.09M,510.00M,135.00M,375.00M,,,,0.5182,0.5393,,,,0.5182,0.5393,,328.20M,328.20M,,,,
