,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,139.96M,,0.00,,0.00,,,69.30M,69.30M,,3.658M,25.39M,-130.78M,-21.79M,-17.56M,74.42M,,,16.61M,-79.10M,-0.627M,158.58M,,-51.69M,0.251M,-51.44M,-0.172M,,0.001M,-61.88M,,0.00,-141.48M,-141.48M,,-700.00M,-700.00M,-69.63M,-69.63M,,683.38M,-227.73M,,367.22M,-131.04M,6.633M,242.81M,,,,0.00,-700.00M,,AOR,Restated
2018-03,131.44M,,0.00,,0.00,,,68.62M,68.62M,,6.745M,-27.46M,22.78M,-63.55M,-14.78M,-42.72M,,,-65.54M,-163.80M,19.96M,35.50M,,-44.68M,2.16M,-42.52M,-66.32M,,-13.76M,-136.02M,,-350.00M,195.07M,-154.93M,,-44.98M,-44.98M,-72.69M,-72.69M,,-16.50M,-289.10M,,753.96M,-389.63M,2.886M,367.22M,,,,-350.00M,-44.98M,,AOR,Restated
2017-12,296.45M,-113.04M,,,-100.85M,,,71.12M,71.12M,-160.40M,4.195M,-29.61M,21.35M,66.29M,-2.426M,51.40M,,,57.55M,194.16M,38.34M,323.76M,,-39.71M,5.785M,-33.92M,249.87M,,0.00,196.26M,,0.00,97.33M,97.33M,,-105.02M,-105.02M,-73.41M,-73.41M,,-4.63M,-86.94M,,322.04M,433.07M,-1.146M,753.96M,,,,0.00,-105.02M,,AOR,Restated
2017-09,178.91M,0.00,,,0.00,,,72.53M,72.53M,22.71M,3.017M,-11.52M,-2.594M,14.76M,0.835M,-10.38M,,,-12.51M,-9.883M,17.72M,273.48M,,-51.40M,3.812M,-47.58M,0.00,,0.00,-60.78M,,0.00,-122.48M,-122.48M,,0.00,0.00,-73.37M,-73.37M,,-1.785M,-197.64M,,301.59M,15.07M,5.384M,322.04M,,,,0.00,0.00,,AOR,Restated
2017-06,164.06M,0.00,,,0.00,,,44.03M,44.03M,-64.28M,4.056M,-40.61M,-39.00M,-4.839M,4.548M,30.88M,,,20.46M,12.05M,40.16M,159.47M,,-35.85M,0.904M,-34.95M,-24.79M,,18.78M,-54.55M,,,-141.54M,-141.54M,,,,-68.67M,-68.67M,,-6.063M,-216.27M,,415.53M,-111.35M,-2.59M,301.59M,,,,,,,AOR,Restated
2017-03,172.25M,-90.09M,,,-90.09M,,,95.60M,95.60M,41.57M,12.80M,-6.067M,-23.21M,-75.60M,-8.189M,2.051M,,,-42.19M,-147.14M,,78.93M,,-43.11M,1.273M,-41.84M,120.40M,,2.369M,80.92M,,,-15.90M,-15.90M,,,,-68.52M,-68.52M,,-8.877M,-93.29M,,349.15M,66.56M,-0.174M,415.53M,,,,,,,AOR,Restated
2016-12,161.16M,-85.37M,,,-56.54M,,,-13.75M,-13.75M,-51.82M,0.859M,-35.19M,-42.26M,17.94M,15.52M,152.47M,,,5.57M,149.23M,,290.00M,,-23.81M,5.252M,-18.56M,-900.80M,,0.00,-943.59M,,,-100.44M,554.07M,,,,-67.98M,-67.98M,1.603M,-2.676M,484.42M,,514.76M,-169.18M,3.57M,349.15M,,,,,,,AOR,Restated
2016-09,130.08M,0.00,,,-1.936M,,,86.72M,86.72M,-3.181M,3.431M,-2.64M,-32.22M,-4.794M,-10.48M,40.15M,,,26.54M,19.18M,,231.66M,,-43.12M,4.167M,-38.95M,-26.59M,,-0.569M,-66.11M,,,169.72M,169.72M,,,,-68.51M,-68.51M,2.862M,-5.584M,98.49M,,255.14M,264.05M,-4.431M,514.76M,,,,,,,AOR,Restated
2016-06,118.29M,0.00,,,-1.53M,,,88.09M,88.09M,-33.91M,2.973M,-11.46M,-19.67M,13.05M,-3.927M,32.61M,,,23.35M,45.41M,,207.87M,,-35.42M,5.185M,-30.24M,-39.18M,,0.00,-69.42M,,,-61.54M,-61.54M,,,,-65.31M,-65.31M,1.785M,-2.607M,-127.68M,,243.72M,10.78M,0.645M,255.14M,,,,,,,AOR,Restated
2016-03,99.36M,-11.23M,,,-11.23M,,,88.60M,88.60M,45.65M,11.39M,-12.48M,20.10M,-29.48M,-1.522M,-11.10M,,,-65.89M,-87.88M,,133.41M,,-37.23M,0.619M,-36.61M,-388.76M,,-0.488M,-425.86M,,,247.10M,247.10M,,,,-65.94M,-65.94M,2.181M,-4.833M,178.51M,,362.18M,-113.94M,-4.528M,243.72M,,,,,,,AOR,Restated
2015-12,141.82M,0.00,,,34.25M,,,91.71M,91.71M,10.71M,5.172M,-13.68M,78.44M,41.07M,-5.96M,-65.28M,,,-7.603M,40.67M,-22.26M,294.35M,,-42.97M,5.133M,-37.84M,-561.34M,,,-615.58M,,94.33M,-10.20M,84.13M,,0.00,0.00,-65.22M,-65.22M,0.398M,-0.221M,19.08M,,662.67M,-302.16M,1.67M,362.18M,,,,-299.97M,0.00,,AOR,Restated
2015-09,186.10M,0.00,,,0.00,,,77.17M,77.17M,1.182M,6.674M,-16.65M,-57.99M,21.20M,-2.466M,42.76M,,,24.23M,27.73M,-81.64M,200.58M,,-39.52M,1.748M,-37.77M,4.314M,,,-33.45M,,-0.034M,79.30M,79.27M,,-100.03M,-100.03M,-65.08M,-65.08M,0.145M,-0.33M,-86.03M,,595.17M,81.09M,-13.58M,662.67M,,,,-0.034M,-100.03M,,AOR,Restated
2015-06,332.40M,0.00,,,0.00,,,78.03M,78.03M,-73.65M,5.464M,-165.22M,-10.28M,19.72M,3.322M,18.35M,,,10.78M,41.89M,-12.77M,206.14M,,-43.81M,1.682M,-42.12M,500.00M,,,455.09M,,-0.011M,-243.60M,-243.61M,,-300.08M,-300.08M,-63.22M,-63.22M,0.695M,-2.117M,-608.33M,,538.49M,52.90M,3.779M,595.17M,,,,-0.011M,-300.08M,,AOR,Restated
2015-03,209.51M,,,,,,,80.18M,80.18M,55.84M,13.39M,-102.60M,27.74M,-18.86M,-2.297M,-33.07M,,,-98.49M,-124.99M,2.717M,134.05M,,-27.96M,6.041M,-21.92M,178.50M,,,157.38M,,-0.031M,-152.50M,-152.53M,,-200.06M,-200.06M,-64.44M,-64.44M,2.786M,-2.361M,-416.60M,,681.58M,-125.17M,-17.93M,538.49M,,,,-0.031M,-200.06M,,AOR,Restated
2014-12,169.29M,,,,,,,81.29M,81.29M,38.13M,6.918M,-19.47M,122.67M,43.38M,-2.583M,-37.31M,,,3.112M,129.26M,-20.01M,424.77M,,-57.26M,4.43M,-52.83M,-423.47M,,1.775M,-476.64M,,-4.953M,327.48M,322.53M,,-208.49M,-208.49M,-65.85M,-65.85M,2.069M,-1.233M,49.02M,,706.23M,-2.843M,-21.81M,681.58M,,,,-4.953M,-208.49M,,AOR,Restated
2014-09,231.84M,,,,,,,74.48M,74.48M,-13.35M,8.297M,-13.06M,-42.05M,-9.835M,-8.747M,26.34M,,,38.09M,3.798M,-1.462M,290.55M,,-33.53M,8.105M,-25.43M,-48.83M,,0.00,-76.29M,,-1.568M,102.52M,100.95M,,-75.02M,-75.02M,-66.20M,-66.20M,2.53M,-0.796M,-38.53M,,547.39M,175.73M,-16.88M,706.23M,,,,-1.568M,-75.02M,,AOR,Restated
2014-06,213.96M,,,,,,,75.55M,75.55M,-66.24M,7.912M,-10.29M,-66.22M,-49.04M,1.65M,40.85M,,,36.88M,-35.88M,78.59M,263.60M,,-42.55M,0.64M,-41.91M,-28.74M,,-17.53M,-90.01M,,0.002M,-26.30M,-26.30M,,-25.01M,-25.01M,-62.44M,-62.44M,11.59M,-12.04M,-114.20M,,486.04M,59.39M,1.955M,547.39M,,,,0.002M,-25.01M,,AOR,Restated
2014-03,160.14M,,,,,,,75.87M,75.87M,7.594M,8.501M,-0.324M,-101.61M,-48.22M,-8.847M,31.07M,,,-95.81M,-223.42M,-31.36M,-3.002M,,-32.70M,1.198M,-31.50M,-109.87M,,-4.236M,-159.38M,,-0.047M,-152.20M,-152.25M,,-292.56M,-292.56M,-63.98M,-63.98M,4.152M,352.87M,-151.77M,,803.88M,-314.15M,-3.691M,486.04M,,,,-0.047M,-292.56M,,AOR,Restated
2013-12,193.96M,,,,44.31M,,,62.92M,62.92M,68.09M,7.096M,-74.60M,100.80M,52.42M,-3.842M,-84.66M,,,18.82M,83.53M,30.58M,421.76M,,-43.71M,15.40M,-28.31M,-131.15M,,0.596M,-201.81M,,400.53M,-442.31M,-41.78M,,-50.01M,-50.01M,-63.71M,-63.71M,3.614M,-2.825M,-154.71M,,739.82M,65.24M,-1.182M,803.88M,,,,-3.246M,-50.01M,,AOR,Restated
2013-09,269.11M,,,,,,,72.60M,72.60M,-33.86M,7.081M,-56.02M,4.985M,-13.61M,5.319M,-9.279M,,,35.01M,22.43M,63.96M,345.30M,,-39.64M,0.535M,-39.11M,-49.97M,,-1.05M,-110.36M,,0.025M,6.265M,6.29M,,-56.75M,-56.75M,-63.87M,-63.87M,30.33M,-28.48M,-112.48M,,605.95M,122.46M,11.42M,739.82M,,,,0.025M,-56.75M,,AOR,Restated
2013-06,330.05M,,,,8.304M,,,71.81M,71.81M,-57.34M,7.955M,-97.88M,-86.28M,-10.02M,-7.204M,46.51M,,,43.49M,-13.51M,60.05M,309.44M,,-32.02M,4.163M,-27.85M,-65.26M,,1.926M,-113.06M,,0.031M,-36.86M,-36.83M,,-59.18M,-59.18M,-59.94M,-59.94M,-2.735M,,-158.68M,,571.36M,37.69M,-3.103M,605.95M,,,,0.031M,-59.18M,,AOR,Restated
2013-03,210.00M,,,,-8.304M,,,70.70M,70.70M,31.38M,8.348M,-13.44M,-107.30M,-27.11M,-2.725M,11.29M,,,-115.13M,-240.98M,18.36M,76.08M,,-26.33M,3.708M,-22.62M,0.00,,1.125M,-43.64M,,-0.056M,91.90M,91.85M,,-291.94M,-291.94M,-60.30M,-60.30M,7.711M,,-252.67M,,800.08M,-220.24M,-8.482M,571.36M,,,,-0.056M,-291.94M,,AOR,Restated
2012-12,159.86M,,,,41.97M,,,-31.23M,-31.23M,-12.20M,7.295M,-176.18M,183.79M,55.29M,5.057M,18.24M,,,22.16M,284.54M,300.75M,578.62M,,62.35M,-1.46M,60.89M,-726.16M,,7.184M,-779.92M,,-2.983M,607.50M,604.52M,,-355.47M,-355.47M,-61.83M,-61.83M,28.09M,,192.30M,,794.10M,-9.004M,14.98M,800.08M,,,,-2.983M,-355.47M,,AOR,Restated
2012-09,241.05M,,,,0.701M,,,90.32M,90.32M,-14.08M,7.483M,-20.98M,-79.36M,3.355M,13.23M,-9.999M,,,54.11M,-18.67M,11.97M,297.79M,,-67.84M,4.863M,-62.98M,0.00,,5.637M,-58.63M,,-0.469M,0.00,-0.469M,,-194.56M,-194.56M,-63.42M,-63.42M,18.62M,,-239.83M,,785.96M,-0.675M,8.809M,794.10M,,,,-0.469M,-194.56M,,AOR,Restated
2012-06,214.10M,,,,-0.368M,,,89.54M,89.54M,-19.37M,7.532M,-14.06M,-50.83M,-38.34M,-18.46M,34.79M,,,38.84M,-34.01M,10.85M,254.21M,,-72.76M,3.952M,-68.81M,-57.76M,,-20.55M,-148.50M,,-0.072M,0.00,-0.072M,,-153.77M,-153.77M,-57.77M,-57.77M,3.441M,,-208.17M,,899.98M,-102.47M,-11.54M,785.96M,,,,-0.072M,-153.77M,,AOR,Restated
2012-03,196.06M,,,,0.381M,,,81.31M,81.31M,42.20M,8.574M,-12.19M,-42.73M,-36.60M,-1.601M,-5.45M,,,-68.63M,-155.01M,-25.02M,136.30M,,-68.25M,1.977M,-66.27M,-296.51M,,,-365.72M,,-0.058M,0.00,-0.058M,,-45.16M,-45.16M,-57.94M,-57.94M,15.91M,,-87.25M,,1.207B,-316.66M,9.88M,899.98M,,,,-0.058M,-45.16M,,AOR,Restated
2011-12,874.77M,,,51.95M,51.95M,,,70.15M,70.15M,,5.105M,-814.72M,78.67M,10.28M,17.25M,-87.76M,,,34.74M,53.18M,102.71M,352.20M,,-73.96M,1.994M,-71.96M,199.76M,18.21M,,118.93M,,-1.467M,-0.036M,-1.503M,,-112.85M,-112.85M,,-58.11M,3.19M,,-169.27M,,917.11M,301.85M,-10.50M,1.207B,,,14.97M,-1.467M,-112.85M,,AOR,Restated
2011-09,51.16M,,,-12.00M,-11.09M,,,84.28M,84.28M,,6.018M,204.82M,-33.64M,20.76M,-10.69M,65.00M,,,,41.44M,13.44M,390.05M,,-65.00M,2.393M,-62.61M,-645.27M,0.00,,-709.67M,,-0.729M,-46.11M,-46.84M,,-31.26M,-31.26M,,-58.44M,2.518M,,-134.02M,,1.400B,-453.64M,-29.52M,917.11M,,,-46.11M,-0.729M,-31.26M,,AOR,Restated
2011-06,-10.57M,,,,1.141M,,,68.42M,68.42M,,5.974M,247.68M,-90.46M,-26.95M,3.269M,2.401M,,,4.351M,-107.39M,5.939M,211.20M,,-72.34M,1.889M,-70.45M,-0.681M,-18.21M,,-90.77M,,-0.016M,8.142M,8.126M,,-69.17M,-69.17M,,-51.26M,14.22M,,-98.09M,,1.379B,22.34M,-0.836M,1.400B,,,8.142M,-0.016M,-69.17M,,AOR,Restated
2011-03,-20.11M,,,,-2.049M,,,67.63M,67.63M,,8.033M,194.90M,-78.76M,-60.23M,-7.685M,20.13M,,,-4.351M,-130.90M,8.553M,126.06M,,-51.38M,3.087M,-48.29M,-419.13M,124.41M,,-344.25M,,388.53M,23.00M,411.53M,,-29.21M,-29.21M,,-51.34M,19.90M,,350.88M,,1.189B,132.68M,57.00M,1.379B,,,811.97M,-400.44M,-29.21M,,AOR,Restated
2010-12,187.69M,,,,38.05M,,,48.32M,48.32M,63.91M,3.882M,-178.44M,139.97M,60.84M,1.052M,-93.94M,,,80.34M,188.27M,73.65M,425.18M,,-44.06M,4.14M,-39.92M,-59.22M,93.10M,,-13.83M,,-0.041M,-33.00M,-33.04M,,-53.36M,-53.36M,,-51.46M,27.50M,,-110.36M,,867.70M,300.98M,16.66M,1.187B,,,-48.00M,-0.041M,-53.36M,,AOR,Restated
2010-09,219.04M,,,,4.298M,,,48.90M,48.90M,31.56M,3.562M,-62.67M,-58.98M,-34.99M,-0.562M,-59.49M,,,69.83M,-84.18M,40.38M,200.88M,,-38.96M,0.731M,-38.23M,-35.21M,39.79M,,-38.02M,,-59.28M,18.00M,-41.28M,,-5.744M,-5.744M,,-51.36M,9.434M,,-88.95M,,738.82M,73.92M,53.16M,867.70M,,,18.00M,-59.28M,-5.744M,,AOR,
2010-06,171.89M,,,,-4.463M,,,66.07M,66.07M,-31.56M,5.941M,62.81M,-100.49M,-59.06M,3.08M,156.85M,,,-46.90M,-46.52M,-0.409M,230.79M,,-46.94M,8.062M,-38.88M,-11.48M,71.68M,,21.32M,,-16.54M,-97.50M,-114.04M,,-35.75M,-35.75M,,-48.58M,23.34M,,-175.03M,,690.30M,77.08M,-28.55M,738.82M,,,-97.50M,-16.54M,-35.75M,,AOR,
2010-03,121.48M,,,,-0.625M,,,65.94M,65.94M,,7.022M,7.022M,-127.52M,-55.35M,4.635M,94.41M,,,-22.93M,-106.76M,-1.025M,86.04M,,-39.34M,3.253M,-36.08M,6.00M,-117.99M,,-148.21M,,0.00,127.50M,127.50M,,-28.70M,-28.70M,,-48.70M,19.45M,,69.55M,,714.36M,7.379M,-31.45M,690.30M,,,127.50M,0.00,-28.70M,,AOR,Restated
2009-12,102.44M,,,,,,,66.32M,66.32M,,2.986M,11.68M,54.53M,4.442M,15.14M,21.82M,,,-77.76M,18.17M,9.896M,257.84M,,-36.76M,9.978M,-26.78M,-176.53M,101.93M,,-101.69M,,0.227M,-0.192M,0.035M,,0.00,0.00,,-48.44M,21.28M,,-27.13M,,597.50M,145.48M,-12.17M,714.36M,,,,0.227M,0.00,,AOR,Restated
2009-09,107.48M,,,,,,,64.34M,64.34M,,3.887M,3.887M,-43.81M,33.88M,27.82M,35.33M,,,17.88M,71.10M,2.801M,249.61M,,-24.80M,4.268M,-20.53M,-8.976M,-174.94M,,-204.79M,,-19.59M,-100.29M,-119.88M,,0.00,0.00,93.03M,-48.40M,1.331M,,-166.94M,,693.56M,-138.57M,26.06M,597.50M,,,,-19.59M,0.00,,AOR,Restated
2009-06,100.88M,,,,,,,63.74M,63.74M,,5.076M,5.076M,24.88M,45.53M,-20.31M,-42.67M,,,15.32M,22.75M,-11.89M,180.54M,,-26.98M,3.976M,-23.00M,-33.02M,122.63M,,66.53M,,-14.54M,-14.76M,-29.30M,,,,-93.03M,-46.53M,2.729M,,-73.10M,,500.31M,173.96M,19.29M,693.56M,,,,62.97M,,,AOR,Restated
2009-03,61.09M,,,,,,,63.82M,63.82M,,5.963M,5.963M,127.46M,13.38M,-4.359M,-118.11M,,,-34.39M,-16.02M,-6.77M,108.10M,,-31.48M,4.751M,-26.72M,0.105M,7.975M,,-18.81M,,,-77.51M,-77.51M,,0.00,0.00,,-46.50M,1.237M,,-122.78M,,547.41M,-33.49M,-13.61M,500.31M,,,,-77.51M,0.00,,AOR,Restated
2008-12,169.58M,,,,,,,63.27M,63.27M,33.46M,3.364M,-9.842M,118.21M,37.37M,5.902M,-100.22M,,,-68.30M,-7.038M,-13.90M,256.45M,,-42.48M,6.828M,-35.65M,76.09M,-60.10M,,-20.21M,,229.13M,,-183.59M,,-0.001M,-0.001M,,-46.50M,1.245M,,-228.85M,,575.93M,7.394M,-35.92M,547.41M,,,0.00,-183.59M,-0.001M,,AOR,
2008-09,190.34M,,,,,,,67.17M,67.17M,,7.849M,7.849M,9.628M,-0.638M,3.601M,68.22M,,,7.919M,88.73M,-2.156M,351.93M,,-48.20M,1.80M,-46.40M,4.673M,-219.36M,,-260.74M,,-73.08M,,-73.08M,,-114.34M,-114.34M,,-46.27M,17.10M,,-216.60M,,742.61M,-125.41M,-41.27M,575.93M,,,0.00,-73.08M,-114.34M,,,Restated
2008-06,186.91M,,,,,,,65.40M,65.40M,-26.40M,5.664M,38.25M,-80.20M,5.034M,-16.04M,62.47M,,,5.02M,-23.72M,9.524M,241.60M,,-42.58M,2.616M,-39.96M,-69.39M,0.00,,-110.72M,,157.93M,,157.93M,,-201.45M,-201.45M,,-37.91M,53.31M,,-28.11M,,639.35M,102.76M,0.503M,742.61M,,,0.00,157.93M,-201.45M,,,Restated
2008-03,147.93M,,,,,,,65.31M,65.31M,26.40M,8.369M,-24.22M,-11.21M,-14.63M,23.36M,-67.40M,,,,-69.89M,-1.059M,152.84M,,-42.54M,2.004M,-40.53M,-22.36M,0.00,,-63.12M,,93.75M,,93.75M,,-150.95M,-150.95M,,-38.39M,8.235M,,-87.35M,,606.10M,2.373M,30.87M,639.35M,,,594.12M,-500.37M,-150.95M,,,Restated
2007-12,185.36M,,,,,,,65.16M,65.16M,5.828M,,61.25M,107.22M,46.88M,-13.25M,-38.82M,,0.288M,8.263M,110.59M,-44.16M,327.15M,,-44.44M,6.048M,-38.39M,-130.48M,,,-77.89M,,,,125.16M,6.766M,-203.63M,-196.86M,,-38.90M,,,-110.60M,,445.97M,138.66M,15.66M,602.41M,,6.766M,,,-203.63M,,,
2007-09,174.59M,,,,,,,58.37M,58.37M,-39.10M,,6.446M,-55.94M,25.72M,15.70M,-0.126M,,48.70M,-13.28M,20.78M,10.77M,231.86M,,-34.68M,2.864M,-31.81M,-25.16M,,,-90.66M,,,,208.36M,29.38M,-315.61M,-286.23M,,-39.74M,,,-117.61M,,409.86M,23.60M,13.40M,445.97M,,29.38M,,,-315.61M,,,
2007-06,172.19M,,,,,,,63.09M,63.09M,-10.80M,,6.699M,-13.29M,6.31M,-14.03M,5.953M,,36.83M,8.445M,30.22M,-7.931M,253.46M,,-51.41M,13.45M,-37.96M,-0.055M,,,-36.03M,,,,-194.29M,28.12M,-50.69M,-22.57M,,-37.87M,,,-254.72M,,446.64M,-37.30M,1.745M,409.86M,,28.12M,,,-50.69M,,,
2007-03,128.93M,,,,,,,58.41M,58.41M,10.80M,,7.986M,-32.88M,-19.72M,-3.898M,12.72M,,-80.42M,-25.97M,-150.18M,6.518M,62.48M,,-43.72M,2.127M,-41.60M,-117.92M,,,-131.49M,,,,178.38M,22.85M,-26.08M,-3.231M,,-37.89M,,,137.26M,,374.84M,68.25M,3.549M,446.64M,,22.85M,,,-26.08M,,,
2006-12,118.52M,,,,,,,55.18M,55.18M,,,7.257M,53.15M,35.82M,-3.079M,-18.32M,,48.71M,-38.29M,77.98M,41.15M,294.30M,,-57.22M,10.06M,-47.15M,-605.35M,,,-482.48M,,,,229.22M,22.12M,-0.563M,21.56M,,-37.85M,,,212.93M,,342.66M,24.75M,7.436M,374.84M,,22.12M,,,-0.563M,,,
2006-09,167.52M,,,,,,,45.92M,45.92M,,,54.74M,8.411M,-2.811M,3.032M,-9.789M,,29.06M,2.221M,30.13M,-19.65M,278.67M,,-46.92M,2.284M,-44.64M,-406.83M,,,-336.31M,,,,156.49M,9.948M,-4.591M,5.357M,,-37.69M,,,124.16M,,271.79M,66.52M,3.247M,342.66M,,9.948M,,,-4.591M,,,
2006-06,71.91M,,,,,,,46.96M,46.96M,,,6.71M,-57.18M,-18.95M,-2.395M,11.60M,,-11.37M,34.42M,-43.88M,134.30M,216.00M,,-49.87M,1.556M,-48.32M,-90.74M,,,-141.40M,,,,-41.58M,18.94M,-33.76M,-14.82M,,-34.68M,,,-91.09M,,280.05M,-16.49M,8.229M,271.79M,,18.94M,,,-33.76M,,,
