,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,ShareholdersEquity
2018-03,159.94M,,159.94M,412.93M,5.542M,418.47M,,37.04M,,,615.45M,1.588B,1.635B,441.96M,8.705M,3.674B,-1.223B,2.451B,19.46M,,19.46M,58.26M,2.529B,3.144B,78.50M,31.30M,109.80M,77.66M,187.47M,,,,,345.28M,45.00M,45.00M,179.35M,179.35M,215.61M,439.97M,785.25M,8.229M,2.212B,138.92M,2.359B
2017-12,127.46M,,127.46M,394.17M,21.61M,415.78M,,41.41M,,,584.65M,1.548B,1.591B,432.15M,8.668M,3.580B,-1.175B,2.404B,19.46M,,19.46M,59.85M,2.484B,3.068B,73.73M,,73.73M,74.75M,148.48M,50.00M,50.00M,50.00M,,351.05M,45.00M,45.00M,189.96M,189.96M,205.56M,440.52M,791.57M,8.238M,2.130B,138.36M,2.277B
2017-09,78.09M,,78.09M,391.86M,7.529M,399.39M,,35.62M,,,513.10M,1.482B,1.612B,427.27M,8.654M,3.530B,-1.163B,2.367B,19.46M,,19.46M,56.21M,2.443B,2.956B,59.70M,19.71M,79.41M,74.83M,154.24M,,50.00M,50.00M,,355.65M,45.00M,45.00M,274.41M,274.41M,194.09M,513.50M,869.15M,8.238M,1.941B,137.53M,2.087B
2017-06,33.83M,,33.83M,363.81M,6.393M,370.20M,,40.58M,,,444.61M,1.445B,1.573B,419.19M,8.617M,3.446B,-1.125B,2.321B,19.46M,,19.46M,54.88M,2.396B,2.840B,54.23M,20.68M,74.91M,73.74M,148.65M,,50.00M,50.00M,,344.41M,45.00M,45.00M,272.60M,272.60M,185.20M,502.80M,847.21M,8.239M,1.848B,136.71M,1.993B
2017-03,47.55M,,47.55M,332.16M,5.734M,337.89M,,39.63M,,,425.07M,1.418B,1.492B,416.43M,8.733M,3.335B,-1.089B,2.246B,19.46M,,19.46M,54.19M,2.320B,2.745B,56.84M,31.42M,88.27M,70.01M,158.27M,,50.00M,50.00M,,334.78M,45.00M,45.00M,272.60M,272.60M,183.26M,500.86M,835.65M,8.247M,1.765B,136.17M,1.909B
2016-12,10.17M,,10.17M,320.09M,14.40M,334.49M,,37.96M,,,382.62M,1.377B,1.497B,402.48M,8.699M,3.285B,-1.044B,2.241B,19.46M,,19.46M,52.76M,2.314B,2.696B,89.22M,,89.22M,70.25M,159.47M,,,,,288.64M,104.98M,104.98M,272.60M,272.60M,178.88M,556.45M,845.09M,8.242M,1.707B,135.47M,1.851B
2016-09,15.01M,,15.01M,333.04M,9.784M,342.82M,,31.32M,,,389.16M,1.329B,1.514B,396.85M,8.664M,3.248B,-1.019B,2.230B,19.46M,,19.46M,46.06M,2.295B,2.684B,55.14M,,55.14M,73.42M,128.57M,,,,,268.97M,193.13M,193.13M,266.35M,266.35M,162.42M,621.90M,890.87M,8.258M,1.650B,135.00M,1.793B
2016-06,10.67M,,10.67M,319.02M,8.48M,327.50M,,33.69M,,,371.86M,1.290B,1.523B,389.46M,8.638M,3.211B,-986.20M,2.225B,19.46M,,19.46M,43.60M,2.288B,2.660B,79.23M,,79.23M,81.38M,160.61M,,,,,291.35M,218.33M,218.33M,252.50M,252.50M,155.85M,626.68M,918.03M,8.31M,1.599B,134.54M,1.742B
2016-03,7.133M,,7.133M,311.65M,4.554M,316.20M,,32.29M,,,355.62M,1.266B,1.410B,375.26M,8.686M,3.060B,-961.62M,2.098B,19.46M,,19.46M,42.20M,2.160B,2.515B,81.08M,28.88M,109.96M,69.44M,179.40M,,25.60M,25.60M,,323.22M,99.73M,99.73M,235.05M,235.05M,157.16M,491.94M,815.16M,8.365M,1.558B,134.40M,1.700B
2015-12,11.47M,,11.47M,310.50M,34.55M,345.05M,,25.21M,,,381.73M,1.221B,1.358B,365.67M,7.585M,2.953B,-929.38M,2.023B,19.46M,,19.46M,41.86M,2.085B,2.467B,66.77M,,66.77M,67.55M,134.32M,,26.49M,26.49M,,285.40M,107.32M,107.32M,235.05M,235.05M,154.09M,496.46M,781.87M,8.441M,1.542B,134.40M,1.685B
2015-09,11.41M,,11.41M,337.71M,20.09M,357.80M,,30.35M,36.65M,,436.21M,1.159B,1.362B,362.74M,7.394M,2.890B,-919.12M,1.971B,19.46M,,19.46M,47.61M,2.038B,2.474B,58.26M,,58.26M,70.77M,129.02M,,90.38M,90.38M,,364.17M,95.00M,95.00M,218.77M,218.77M,149.13M,462.90M,827.07M,8.496M,1.505B,134.40M,1.647B
2015-06,12.79M,,12.79M,330.09M,9.688M,339.78M,,34.45M,34.65M,,421.66M,1.133B,1.288B,353.93M,6.434M,2.782B,-890.29M,1.891B,19.46M,,19.46M,45.47M,1.956B,2.378B,61.04M,6.501M,67.54M,68.37M,135.91M,,28.34M,28.34M,,298.86M,118.00M,118.00M,211.61M,211.61M,149.83M,479.44M,778.30M,8.55M,1.457B,134.40M,1.600B
2015-03,113.04M,,113.04M,317.70M,7.445M,325.15M,,28.71M,32.99M,,499.89M,1.110B,1.191B,335.71M,6.326M,2.643B,-864.19M,1.778B,19.46M,,19.46M,42.56M,1.840B,2.340B,48.96M,47.94M,96.89M,71.21M,168.11M,,27.96M,27.96M,,321.68M,120.60M,120.60M,205.62M,205.62M,149.23M,475.44M,797.12M,8.591M,1.400B,134.40M,1.543B
2014-12,34.79M,,34.79M,303.17M,44.73M,347.90M,,21.08M,,,403.77M,1.088B,1.158B,321.31M,6.982M,2.575B,-831.53M,1.743B,19.46M,,19.46M,40.39M,1.803B,2.207B,45.31M,,45.31M,68.41M,113.72M,,35.71M,35.71M,,255.64M,120.00M,120.00M,191.41M,191.41M,145.75M,457.16M,712.80M,8.609M,1.351B,134.40M,1.494B
2014-09,8.169M,,8.169M,322.40M,7.086M,329.48M,,29.84M,27.11M,,394.60M,1.045B,1.164B,320.08M,7.096M,2.535B,-804.49M,1.731B,19.46M,,19.46M,43.58M,1.794B,2.189B,47.28M,12.61M,59.89M,67.77M,127.67M,,35.71M,35.71M,,286.60M,148.20M,148.20M,185.83M,185.83M,138.18M,472.21M,758.81M,8.616M,1.287B,134.40M,1.430B
2014-06,19.79M,,19.79M,302.26M,3.943M,306.20M,,29.66M,26.72M,,382.37M,1.021B,1.132B,295.56M,7.059M,2.456B,-780.06M,1.676B,19.46M,,19.46M,45.87M,1.742B,2.124B,63.78M,25.50M,89.28M,64.60M,153.88M,,35.71M,35.71M,,297.56M,164.00M,164.00M,178.12M,178.12M,132.57M,474.68M,772.24M,8.616M,1.209B,134.40M,1.352B
2014-03,41.24M,,41.24M,285.25M,3.323M,288.57M,,33.43M,25.73M,,388.97M,1.012B,1.044B,285.05M,6.437M,2.347B,-761.07M,1.586B,19.46M,,19.46M,37.26M,1.643B,2.032B,71.76M,26.02M,97.78M,62.28M,160.06M,,35.71M,35.71M,,293.50M,145.00M,145.00M,189.89M,189.89M,125.40M,460.29M,753.80M,8.616M,1.135B,134.40M,1.278B
2013-12,30.17M,,30.17M,248.07M,10.22M,258.29M,,21.26M,23.25M,,332.98M,990.26M,1.010B,266.56M,6.378M,2.273B,-730.07M,1.543B,19.46M,,19.46M,36.59M,1.599B,1.932B,36.79M,2.168M,38.96M,60.26M,99.22M,,35.72M,35.72M,,232.12M,155.71M,155.71M,189.12M,189.12M,123.05M,467.88M,700.01M,8.616M,1.089B,134.40M,1.232B
2013-09,12.10M,,12.10M,268.22M,7.261M,275.48M,,23.71M,21.98M,,333.28M,952.38M,1.014B,251.12M,6.172M,2.224B,-715.10M,1.509B,19.46M,,19.46M,43.32M,1.571B,1.905B,54.51M,0.225M,54.74M,58.30M,113.04M,,38.40M,38.40M,,248.81M,167.71M,167.71M,185.41M,185.41M,117.82M,470.94M,719.75M,8.616M,1.042B,134.40M,1.185B
2013-06,7.37M,,7.37M,267.69M,3.153M,270.84M,,26.26M,19.60M,,324.08M,927.81M,981.82M,244.87M,6.16M,2.161B,-691.27M,1.469B,19.46M,,19.46M,41.79M,1.531B,1.855B,66.72M,23.35M,90.06M,55.40M,145.46M,,38.40M,38.40M,,273.13M,190.39M,190.39M,154.80M,154.80M,111.63M,456.82M,729.95M,8.616M,981.76M,134.40M,1.125B
2013-03,29.18M,,29.18M,248.22M,2.092M,250.32M,,26.14M,19.32M,,324.96M,893.72M,919.30M,230.75M,6.051M,2.050B,-674.08M,1.376B,19.46M,,19.46M,41.02M,1.436B,1.761B,41.47M,37.30M,78.77M,55.58M,134.35M,,38.62M,38.62M,,254.13M,180.71M,180.71M,148.72M,148.72M,111.11M,440.54M,694.67M,8.616M,923.50M,134.40M,1.067B
2012-12,12.86M,,12.86M,219.04M,1.324M,220.36M,,21.75M,20.05M,,275.03M,874.77M,922.03M,225.30M,6.128M,2.028B,-648.92M,1.379B,19.46M,,19.46M,38.72M,1.437B,1.713B,44.89M,6.327M,51.22M,54.90M,106.11M,,38.98M,38.98M,,225.14M,201.43M,201.43M,153.19M,153.19M,106.79M,461.41M,686.54M,8.616M,882.95M,134.40M,1.026B
2012-09,6.902M,,6.902M,248.25M,5.57M,253.82M,,25.50M,19.52M,,305.74M,832.38M,936.91M,228.10M,5.994M,2.003B,-652.02M,1.351B,19.46M,,19.46M,38.06M,1.409B,1.715B,56.93M,,56.93M,,56.93M,,39.31M,39.31M,63.03M,237.63M,243.50M,243.50M,146.84M,146.84M,100.17M,490.51M,728.13M,8.616M,843.47M,134.40M,986.49M
2012-06,11.02M,,11.02M,241.43M,2.573M,244.01M,,25.37M,20.77M,,301.16M,803.65M,894.40M,224.82M,5.918M,1.929B,-646.28M,1.283B,19.46M,,19.46M,36.51M,1.338B,1.640B,62.54M,,62.54M,26.95M,89.49M,,39.80M,39.80M,39.80M,244.45M,228.15M,228.15M,133.88M,133.88M,97.72M,459.74M,704.20M,5.744M,792.43M,137.28M,935.45M
2012-03,54.22M,,54.22M,228.40M,2.252M,230.65M,,23.38M,19.65M,,327.90M,767.51M,833.60M,213.55M,5.827M,1.820B,-630.35M,1.190B,19.46M,,19.46M,36.69M,1.246B,1.574B,54.68M,,54.68M,49.85M,104.53M,,39.09M,39.09M,38.04M,251.27M,219.12M,219.12M,121.36M,121.36M,94.84M,435.31M,686.58M,5.744M,744.60M,137.28M,887.61M
2011-12,75.85M,,75.85M,213.48M,4.441M,217.92M,,18.61M,19.47M,,331.85M,738.36M,789.98M,214.82M,5.773M,1.749B,-621.98M,1.127B,19.46M,,19.46M,34.81M,1.181B,1.513B,42.10M,0.032M,42.13M,56.59M,98.72M,,39.35M,39.35M,,204.81M,229.83M,229.83M,134.92M,134.92M,87.00M,451.74M,656.56M,8.616M,713.50M,134.40M,856.52M
2011-09,42.26M,,42.26M,222.52M,13.16M,235.69M,,18.81M,21.83M,,318.59M,721.05M,782.27M,196.03M,5.919M,1.705B,-602.04M,1.103B,19.46M,,19.46M,31.93M,1.155B,1.473B,50.71M,,50.71M,24.01M,74.72M,,37.33M,37.33M,37.56M,220.12M,227.14M,227.14M,127.61M,127.61M,81.69M,436.44M,656.56M,5.744M,673.62M,137.28M,816.64M
2011-06,28.66M,,28.66M,212.54M,10.36M,222.90M,,21.31M,23.26M,,296.14M,696.50M,758.95M,192.51M,4.535M,1.652B,-592.79M,1.060B,19.46M,,19.46M,34.20M,1.113B,1.410B,41.16M,,41.16M,20.40M,61.56M,,38.10M,38.10M,35.79M,212.38M,227.14M,227.14M,110.49M,110.49M,81.48M,419.12M,631.50M,5.744M,634.99M,137.28M,778.00M
2011-03,88.14M,,88.14M,196.69M,1.907M,198.60M,,21.97M,21.63M,,330.34M,676.86M,729.27M,179.91M,4.455M,1.590B,-589.92M,1.001B,19.46M,,19.46M,33.53M,1.054B,1.384B,48.93M,15.42M,64.35M,20.46M,84.81M,,36.77M,36.77M,34.34M,227.04M,252.14M,252.14M,89.08M,89.08M,77.02M,418.24M,645.28M,5.744M,595.60M,137.28M,738.62M
2010-12,5.45M,,5.45M,172.99M,7.711M,180.70M,,17.77M,18.67M,,222.58M,667.92M,701.65M,170.53M,4.421M,1.545B,-580.30M,964.22M,19.46M,,19.46M,33.62M,1.017B,1.240B,29.22M,,29.22M,52.34M,81.56M,,37.13M,37.13M,,170.05M,234.09M,234.09M,90.77M,90.77M,76.33M,401.19M,571.23M,5.593M,574.03M,89.03M,668.65M
2010-09,5.057M,,5.057M,176.60M,2.056M,178.65M,,19.14M,18.21M,,221.06M,656.00M,683.07M,167.15M,4.288M,1.511B,-563.19M,947.32M,19.46M,,19.46M,31.24M,998.02M,1.219B,31.17M,1.603M,32.77M,118.64M,151.41M,,97.36M,97.36M,,248.77M,167.98M,167.98M,83.15M,83.15M,72.59M,323.72M,572.49M,5.593M,551.97M,89.03M,646.59M
2010-06,4.783M,,4.783M,162.70M,2.992M,165.70M,,18.18M,18.18M,,206.83M,638.04M,684.59M,161.56M,4.237M,1.488B,-545.89M,942.54M,19.46M,,19.46M,34.05M,996.05M,1.203B,30.64M,4.81M,35.45M,107.93M,143.38M,,36.28M,36.28M,,179.66M,252.14M,252.14M,78.58M,78.58M,70.29M,401.00M,580.67M,3.728M,527.59M,90.89M,622.21M
2010-03,9.469M,,9.469M,148.04M,2.381M,150.42M,,16.22M,17.90M,,194.01M,625.42M,684.92M,158.80M,4.161M,1.473B,-529.05M,944.25M,,24.41M,24.41M,30.30M,998.96M,1.193B,31.50M,7.286M,38.79M,96.33M,135.12M,,36.48M,36.48M,,171.60M,272.86M,272.86M,77.35M,77.35M,70.46M,420.67M,592.27M,3.728M,506.08M,90.89M,600.70M
2009-12,4.171M,,4.171M,136.82M,4.096M,140.92M,,12.84M,16.24M,,174.18M,619.48M,668.43M,156.69M,4.137M,1.449B,-509.23M,939.50M,19.46M,,19.46M,26.14M,985.10M,1.159B,28.14M,,28.14M,46.05M,74.19M,,36.68M,36.68M,,148.12M,268.86M,268.86M,80.72M,80.72M,68.58M,418.15M,566.28M,5.593M,498.38M,89.03M,593.00M
2009-09,3.641M,0.00,3.641M,150.18M,8.45M,158.62M,,15.60M,,17.98M,195.84M,593.62M,673.98M,153.13M,4.017M,1.425B,-491.10M,933.64M,,24.86M,24.86M,20.41M,978.92M,1.175B,31.40M,,31.40M,95.97M,127.38M,,36.50M,36.50M,,163.88M,277.41M,277.41M,83.64M,83.64M,66.50M,427.56M,591.44M,3.728M,488.70M,90.89M,583.32M
2009-06,3.945M,0.00,3.945M,144.15M,8.433M,152.58M,,18.21M,19.06M,,193.80M,551.50M,673.46M,147.79M,3.933M,1.377B,-469.00M,907.68M,,25.09M,25.09M,18.01M,950.79M,1.145B,36.26M,,36.26M,90.37M,126.62M,,36.50M,36.50M,,163.12M,264.95M,264.95M,80.76M,80.76M,62.94M,408.65M,571.77M,3.728M,478.20M,90.89M,572.82M
2009-03,3.615M,0.00,3.615M,138.41M,7.235M,145.64M,,18.31M,20.66M,,188.22M,528.57M,653.45M,142.78M,3.941M,1.329B,-448.96M,879.78M,,25.32M,25.32M,15.72M,920.83M,1.109B,49.22M,,49.22M,89.82M,139.04M,,11.69M,11.69M,,150.73M,259.69M,259.69M,75.60M,75.60M,60.93M,396.22M,546.95M,3.728M,467.48M,90.89M,562.10M
2008-12,24.10M,4.861M,28.96M,139.21M,7.325M,146.54M,,13.46M,20.27M,,209.23M,434.82M,601.25M,213.42M,3.937M,1.253B,-428.94M,824.48M,,25.55M,25.55M,15.64M,865.68M,1.075B,41.00M,,41.00M,46.09M,87.09M,,11.97M,11.97M,43.13M,142.19M,240.02M,240.02M,73.97M,73.97M,60.60M,374.59M,516.78M,3.728M,463.51M,90.89M,558.13M
2008-09,30.94M,8.969M,39.91M,179.94M,4.227M,184.16M,,18.02M,20.42M,,262.51M,439.08M,603.82M,134.64M,3.523M,1.181B,-409.77M,771.28M,,25.78M,25.78M,16.89M,813.95M,1.076B,40.31M,1.759M,42.07M,104.28M,146.34M,,12.26M,12.26M,,158.60M,240.21M,240.21M,72.59M,72.59M,57.97M,370.78M,529.38M,3.728M,452.46M,90.89M,547.08M
2008-06,35.23M,2.082M,37.31M,185.24M,4.82M,190.06M,,17.41M,16.18M,,260.97M,403.40M,606.24M,130.09M,3.313M,1.143B,-395.77M,747.27M,,26.00M,26.00M,19.87M,793.14M,1.054B,47.80M,1.493M,49.30M,96.92M,146.22M,,16.45M,16.45M,,162.67M,240.48M,240.48M,70.10M,70.10M,57.14M,367.71M,530.38M,3.728M,429.10M,90.89M,523.72M
2008-03,34.84M,3.586M,38.43M,,,168.60M,,15.68M,15.80M,,238.50M,,,,,1.109B,-383.59M,725.10M,,26.26M,26.26M,17.86M,769.23M,1.008B,39.36M,1.538M,40.90M,88.83M,129.73M,,16.43M,16.43M,,146.16M,240.66M,240.66M,66.05M,66.05M,55.03M,361.73M,507.89M,3.728M,405.22M,90.89M,499.84M
2007-12,6.328M,24.38M,30.70M,151.63M,6.534M,158.16M,,13.45M,13.96M,,216.28M,377.56M,577.38M,129.17M,2.508M,1.087B,-365.17M,721.45M,,23.52M,23.52M,19.80M,764.77M,981.05M,33.34M,,33.34M,43.48M,76.82M,,12.19M,12.19M,38.71M,127.72M,251.56M,251.56M,62.31M,62.31M,50.00M,363.87M,491.60M,3.728M,394.83M,90.89M,489.45M
2007-09,0.977M,15.56M,16.54M,,,173.06M,,16.13M,13.36M,,219.10M,,,,,1.071B,-347.52M,723.57M,,22.98M,22.98M,16.29M,762.84M,981.94M,43.90M,,43.90M,90.41M,134.31M,,12.11M,12.11M,,146.42M,254.32M,254.32M,59.67M,59.67M,47.78M,361.78M,508.20M,3.728M,379.12M,90.89M,473.74M
2007-06,1.289M,15.52M,16.81M,,,163.10M,,17.71M,13.68M,,211.30M,,,,,1.042B,-333.70M,708.28M,,23.12M,23.12M,14.00M,745.40M,956.70M,45.45M,2.741M,48.19M,86.74M,134.93M,,12.35M,12.35M,,147.28M,255.02M,255.02M,56.18M,56.18M,44.49M,355.69M,502.97M,3.728M,359.11M,90.89M,453.73M
2007-03,1.99M,54.27M,56.26M,,,149.95M,,15.35M,12.61M,,234.17M,,,,,989.46M,-319.10M,670.36M,,,,29.10M,699.47M,933.64M,51.14M,4.657M,55.79M,84.18M,139.97M,,12.53M,12.53M,,152.50M,255.18M,255.18M,53.80M,53.80M,40.97M,349.95M,502.45M,3.728M,336.57M,90.89M,431.19M
2006-12,2.564M,85.16M,87.72M,141.09M,3.904M,144.99M,,11.33M,12.32M,,256.37M,308.54M,494.05M,111.85M,2.045M,916.48M,-308.89M,607.59M,,16.77M,16.77M,11.47M,635.83M,892.19M,37.69M,,37.69M,35.51M,73.20M,,12.70M,12.70M,,121.55M,261.88M,261.88M,52.12M,52.12M,39.03M,353.03M,474.57M,3.728M,323.00M,90.89M,417.62M
2006-09,3.604M,79.54M,83.14M,,,157.46M,,15.56M,11.30M,,267.45M,,,,,889.04M,-294.93M,594.11M,,,,28.32M,622.43M,889.89M,40.41M,2.521M,42.94M,85.03M,127.96M,,12.77M,12.77M,,140.74M,262.11M,262.11M,48.91M,48.91M,38.35M,349.37M,490.11M,3.728M,305.16M,90.89M,399.78M
2006-06,4.913M,88.45M,93.36M,,,152.54M,,15.99M,11.80M,,273.69M,,,,,849.31M,-284.56M,564.75M,,,,27.36M,592.12M,865.80M,38.44M,5.559M,44.00M,79.53M,123.53M,,13.25M,13.25M,,136.78M,267.37M,267.37M,45.91M,45.91M,36.08M,349.35M,486.13M,3.728M,285.06M,90.89M,379.68M
2006-03,1.069M,,1.069M,,,136.41M,,14.90M,11.82M,,164.20M,,,,,791.92M,-274.28M,517.64M,,,,27.88M,545.52M,709.72M,42.11M,8.603M,50.72M,70.31M,121.02M,,17.12M,17.12M,,138.14M,135.88M,135.88M,43.33M,43.33M,34.30M,213.51M,351.65M,3.728M,263.45M,90.89M,358.07M
2005-12,0.986M,0.00,0.986M,124.74M,2.455M,127.20M,,11.35M,10.68M,,150.21M,228.91M,400.91M,97.73M,1.623M,729.18M,-263.10M,466.07M,,,,25.36M,491.44M,641.65M,30.97M,4.078M,35.04M,30.71M,65.75M,,17.93M,17.93M,,111.03M,111.03M,111.03M,42.77M,42.77M,31.77M,185.57M,296.60M,3.728M,250.43M,90.89M,345.05M
2005-09,6.403M,,6.403M,,,126.58M,12.93M,14.26M,5.612M,,165.79M,,,,,702.62M,-252.44M,450.18M,,,,24.12M,474.30M,640.09M,35.68M,2.498M,38.18M,65.17M,103.35M,,19.12M,19.12M,,122.47M,120.50M,120.50M,41.11M,41.11M,25.23M,186.85M,309.32M,2.486M,236.15M,92.14M,330.77M
2005-06,1.037M,,1.037M,,,121.90M,12.80M,13.36M,6.601M,,155.70M,,,,,678.79M,-247.59M,431.20M,,,,23.76M,454.96M,610.67M,29.95M,2.998M,32.95M,67.56M,100.51M,,19.45M,19.45M,,119.96M,111.56M,111.56M,39.58M,39.58M,24.79M,175.92M,295.88M,2.485M,220.21M,92.09M,314.79M
2005-03,2.539M,,2.539M,,,112.62M,11.65M,12.55M,5.638M,,145.00M,,,,,641.50M,-242.28M,399.22M,,,,21.92M,421.14M,566.14M,32.29M,7.514M,39.81M,61.54M,101.35M,,19.38M,19.38M,,120.73M,82.70M,82.70M,38.32M,38.32M,23.52M,144.53M,265.26M,2.485M,206.30M,92.09M,300.87M
2004-12,0.742M,,0.742M,94.50M,2.758M,97.25M,,9.389M,4.602M,10.55M,122.54M,198.19M,311.40M,84.94M,1.103M,595.64M,-232.38M,363.27M,,,,18.93M,382.20M,504.73M,25.30M,1.374M,26.68M,23.79M,50.47M,,22.03M,22.03M,,93.82M,57.42M,57.42M,39.32M,39.32M,22.65M,119.38M,213.20M,3.726M,196.96M,90.85M,291.53M
2004-09,3.094M,,3.094M,,,96.15M,10.20M,8.603M,4.599M,,122.65M,,,,,584.11M,-222.57M,361.53M,,,,17.99M,379.52M,502.17M,26.87M,0.00,26.87M,53.63M,80.51M,,22.05M,22.05M,,102.55M,58.96M,58.96M,38.93M,38.93M,20.96M,118.84M,221.40M,2.484M,186.35M,91.94M,280.78M
