,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,109.33M,0.364M,0.364M,,53.48M,53.48M,,1.132M,46.94M,,,,,,,,,211.25M,-100.56M,0.347M,-100.21M,,,,-100.21M,-50.00M,,-50.00M,,-17.30M,-17.30M,-10.70M,-10.70M,-0.567M,-78.56M,127.46M,32.48M,159.94M,,,-50.00M,-17.30M
2017-12,197.25M,0.569M,0.569M,,53.09M,53.09M,-84.45M,0.826M,39.36M,,,,,,,,,148.28M,-93.28M,2.603M,-90.68M,,,0.00,-90.68M,0.00,,0.00,,0.00,0.00,-8.228M,-8.228M,0.00,-8.228M,78.09M,49.37M,127.46M,,,0.00,0.00
2017-09,102.31M,0.22M,0.22M,,51.93M,51.93M,1.815M,0.826M,-7.61M,,,,,,,,,149.50M,-100.52M,2.248M,-98.27M,,,2.139M,-96.14M,0.00,,0.00,,-0.878M,-0.878M,-8.228M,-8.228M,0.00,-9.106M,33.83M,44.26M,78.09M,,,0.00,-0.878M
2017-06,98.42M,0.408M,0.408M,,50.45M,50.45M,,0.88M,-22.45M,,,,,,,,,127.70M,-131.32M,5.561M,-125.76M,,,,-125.76M,0.00,,0.00,,-7.085M,-7.085M,-8.234M,-8.234M,-0.344M,-15.66M,47.55M,-13.72M,33.83M,,,0.00,-7.085M
2017-03,65.79M,0.077M,0.077M,,50.29M,50.29M,,0.71M,-6.057M,,,,,,,,,110.81M,-57.00M,1.828M,-55.17M,,,,-55.17M,-9.975M,,-9.975M,,-0.05M,-0.05M,-8.235M,-8.235M,,-18.26M,10.17M,37.38M,47.55M,,,-9.975M,-0.05M
2016-12,68.51M,-0.374M,-0.374M,,49.57M,49.57M,,0.466M,-39.68M,,,,,,,,,155.46M,-66.82M,5.97M,-60.85M,,,,-60.85M,-88.15M,,-88.15M,,-11.29M,-11.29M,0.00,0.00,0.00,-99.45M,15.01M,-4.843M,10.17M,,-85.81M,-2.342M,-11.29M
2016-09,85.58M,0.076M,0.076M,,49.04M,49.04M,,0.464M,-17.26M,,,,,,,,,117.90M,-55.59M,1.574M,-54.01M,,,,-54.01M,-25.20M,,-25.20M,,-34.34M,-34.34M,0.00,0.00,0.00,-59.54M,10.67M,4.341M,15.01M,,-25.20M,0.00,-34.34M
2016-06,81.39M,0.266M,0.266M,,46.48M,46.48M,,0.48M,-4.776M,,,,,,,,,123.84M,-175.24M,2.306M,-172.93M,,,,-172.93M,93.01M,,93.01M,,-40.04M,-40.04M,0.00,0.00,-0.338M,52.64M,7.133M,3.54M,10.67M,,111.02M,-18.00M,-40.04M
2016-03,60.28M,0.20M,0.20M,,44.77M,44.77M,,0.00,63.14M,,,,,,,,,168.39M,-120.29M,0.691M,-119.60M,,,,-119.60M,-8.483M,,-8.483M,,-44.65M,-44.65M,0.00,0.00,,-53.13M,11.47M,-4.339M,7.133M,,,-8.483M,-44.65M
2015-12,72.22M,-1.415M,-1.415M,,44.22M,44.22M,,,-20.86M,,,,,,,,,181.61M,-100.04M,5.07M,-94.97M,,,,-94.97M,-51.57M,,-51.57M,,-35.00M,-35.00M,,,,-86.57M,11.41M,0.06M,11.47M,,-50.68M,-0.889M,-35.00M
2015-09,84.37M,-0.477M,-0.477M,,42.56M,42.56M,,,-8.403M,,,,,,,,,118.05M,-130.76M,9.021M,-121.74M,,,,-121.74M,39.03M,,39.03M,,-36.72M,-36.72M,,,,2.315M,12.79M,-1.377M,11.41M,,40.00M,-0.967M,-36.72M
2015-06,85.57M,-1.667M,-1.667M,,39.77M,39.77M,,,-42.05M,,,,,,,,,81.63M,-159.10M,8.50M,-150.60M,,,,-150.60M,-2.208M,,-2.208M,,-29.07M,-29.07M,,,,-31.28M,113.04M,-100.25M,12.79M,,23.00M,-25.21M,-29.07M
2015-03,62.52M,-0.033M,-0.033M,,38.79M,38.79M,,,71.32M,,,,,,,,,172.59M,-72.15M,1.851M,-70.30M,,,,-70.30M,-10.71M,,-10.71M,,-13.33M,-13.33M,,,,-24.04M,34.79M,78.25M,113.04M,,,-10.71M,-13.33M
2014-12,69.87M,1.584M,1.584M,,39.55M,39.55M,32.69M,,17.10M,,,,,,,,,113.66M,-55.69M,2.381M,-53.31M,,,,-53.31M,-28.20M,,-28.20M,,-5.532M,-5.532M,,,,-33.74M,8.169M,26.62M,34.79M,,-28.20M,0.00,-5.532M
2014-09,77.91M,0.096M,0.096M,,37.71M,37.71M,7.325M,,-26.70M,,,,,,,,,96.34M,-93.42M,1.26M,-92.16M,,,,-92.16M,-15.80M,,-15.80M,,0.00,0.00,,,,-15.80M,19.79M,-11.62M,8.169M,,-15.80M,0.00,0.00
2014-06,73.85M,-3.244M,-3.244M,,35.12M,35.12M,-12.77M,,-10.85M,,,,,,,,,82.10M,-138.75M,16.19M,-122.56M,,,,-122.56M,19.00M,,19.00M,,0.00,0.00,,,,19.00M,41.24M,-21.46M,19.79M,,44.00M,-25.00M,0.00
2014-03,45.89M,0.848M,0.848M,,34.09M,34.09M,-1.702M,,20.44M,,,,,,,,,99.57M,-79.82M,2.035M,-77.78M,,,,-77.78M,-10.72M,,-10.72M,,0.00,0.00,,,,-10.72M,30.17M,11.07M,41.24M,,,-10.72M,0.00
2013-12,47.16M,-3.549M,-3.549M,,33.81M,33.81M,2.435M,,26.94M,,,,,,,,,97.28M,-66.41M,1.881M,-64.53M,,,,-64.53M,-14.68M,,-14.68M,,,,,,,-14.68M,12.10M,18.07M,30.17M,,-1.996M,-12.69M,
2013-09,60.15M,0.138M,0.138M,,32.91M,32.91M,28.23M,,-21.91M,,,,,,,,,99.52M,-72.84M,0.741M,-72.10M,,,,-72.10M,-22.68M,,-22.68M,,,,,,,-22.68M,7.37M,4.734M,12.10M,,-22.68M,0.00,
2013-06,58.26M,-2.379M,-2.379M,,30.52M,30.52M,5.803M,,-1.866M,,,,,,,,,90.33M,-129.40M,7.798M,-121.61M,,,,-121.61M,9.464M,,9.464M,,,,,,,9.464M,29.18M,-21.81M,7.37M,,24.68M,-15.22M,
2013-03,40.55M,0.047M,0.047M,,29.83M,29.83M,-3.736M,,-3.164M,,,,,,,,,63.53M,-26.95M,0.815M,-26.13M,,,,-26.13M,-21.07M,,-21.07M,,,,,,,-21.07M,12.86M,16.33M,29.18M,,,-21.07M,
2012-12,39.48M,-0.711M,-0.711M,,29.95M,29.95M,5.807M,,0.692M,,,,,,,,,105.32M,-63.53M,6.573M,-56.96M,,,,-56.96M,-42.40M,,-42.40M,,,,,,0.00,-42.40M,6.902M,5.955M,12.86M,,-39.38M,-3.024M,
2012-09,51.04M,-0.055M,-0.055M,,28.73M,28.73M,14.21M,,-15.61M,,,,,,,,,78.32M,-99.64M,2.347M,-97.30M,,,,-97.30M,14.87M,,14.87M,,,,,,-0.002M,14.87M,11.02M,-4.113M,6.902M,,15.35M,-0.482M,
2012-06,47.83M,0.37M,0.37M,,26.52M,26.52M,11.40M,,-20.04M,,,,,,,,,66.10M,-120.63M,2.47M,-118.16M,,,,-118.16M,8.857M,,8.857M,,,,,,,8.857M,54.22M,-43.20M,11.02M,,34.44M,-25.58M,
2012-03,31.10M,0.474M,0.474M,,25.54M,25.54M,-13.74M,,34.96M,,,,,,,,,78.33M,-89.39M,0.628M,-88.76M,,,,-88.76M,-11.19M,,-11.19M,,,,,,,-11.19M,75.85M,-21.63M,54.22M,,0.006M,-11.20M,
2011-12,39.88M,0.363M,0.363M,,24.29M,24.29M,9.669M,,,,,,,,,,3.38M,77.58M,-40.87M,0.226M,-40.64M,,,,-40.64M,-69.58M,,-69.58M,0.00,,0.00,,,66.23M,-3.355M,42.26M,33.59M,75.85M,0.00,0.00,-69.58M,
2011-09,38.63M,0.117M,0.117M,,23.40M,23.40M,18.55M,,0.818M,,,,,,,,-0.347M,81.17M,-67.46M,1.156M,-66.30M,,,,-66.30M,-1.272M,,-1.272M,0.00,,0.00,,,0.00,-1.272M,28.66M,13.60M,42.26M,0.00,-0.504M,-0.768M,
2011-06,39.38M,0.266M,0.266M,,22.01M,22.01M,19.77M,,-36.06M,,,,,,,,,45.37M,-84.00M,2.817M,-81.18M,,,,-81.18M,-23.67M,,-23.67M,0.00,,0.00,,,0.00,-23.67M,88.14M,-59.48M,28.66M,0.00,1.514M,-25.19M,
2011-03,21.57M,0.517M,0.517M,,21.12M,21.12M,-4.646M,,35.24M,,,,,,,,,73.81M,-58.45M,1.237M,-57.21M,,,,-57.21M,83.93M,,83.93M,48.40M,,48.40M,,,-66.23M,66.10M,5.45M,82.69M,88.14M,48.40M,95.00M,-11.07M,
2010-12,22.06M,0.50M,0.50M,,19.86M,19.86M,7.166M,,4.646M,,,,,,,,-23.87M,30.36M,-37.20M,1.817M,-35.38M,,,,-35.38M,1.05M,,1.05M,0.00,,0.00,,,4.368M,5.418M,5.057M,0.393M,5.45M,0.00,1.183M,-0.133M,
2010-09,24.38M,0.131M,0.131M,,19.40M,19.40M,4.536M,,-4.646M,,,,,,,,-2.813M,40.98M,-23.52M,0.171M,-23.35M,,,6.45M,-16.90M,-0.201M,-19.24M,-19.44M,0.00,,0.00,,,-4.37M,-23.81M,4.783M,0.274M,5.057M,0.00,0.00,-0.201M,
2010-06,21.51M,0.298M,0.298M,,19.55M,19.55M,0.945M,,,,,,,,,,-8.171M,34.14M,-18.17M,0.262M,-17.91M,,,0.00,-17.91M,-25.20M,19.24M,-5.961M,0.00,,0.00,,,-14.95M,-20.91M,9.469M,-4.686M,4.783M,0.00,0.00,-25.20M,
2010-03,7.701M,-0.171M,-0.171M,,21.55M,21.55M,-5.023M,,,,,,,,,,10.98M,35.04M,-27.45M,0.354M,-27.10M,,,-6.45M,-33.55M,-11.15M,,-11.15M,0.00,,0.00,,,14.95M,3.805M,4.171M,5.298M,9.469M,0.00,0.00,-11.15M,
2009-12,9.681M,0.163M,0.163M,,23.80M,23.80M,-1.189M,,,,,,,,,,6.049M,38.50M,-30.24M,1.121M,-29.12M,,0.00,,-29.12M,-0.195M,-8.658M,-8.853M,,,,,,,-8.853M,3.641M,0.53M,4.171M,,-73.70M,-0.195M,
2009-09,10.50M,0.28M,0.28M,,24.04M,24.04M,3.968M,,,,,,,,,,-1.51M,37.27M,-50.23M,0.187M,-50.04M,,0.00,,-50.04M,-0.192M,12.66M,12.47M,,,,,,,12.47M,3.945M,-0.304M,3.641M,,12.66M,-0.192M,
2009-06,10.72M,0.433M,0.433M,,23.95M,23.95M,6.752M,,,,,,,,,,-19.54M,22.31M,-52.84M,0.786M,-52.05M,,0.00,,-52.05M,-0.388M,30.46M,30.07M,,,,,,,30.07M,3.615M,0.33M,3.945M,,30.46M,-0.388M,
2009-03,3.973M,-0.703M,-0.703M,,23.00M,23.00M,1.247M,,,,,,,,,,5.115M,32.63M,-77.58M,0.209M,-77.37M,,4.861M,,-72.51M,-11.20M,30.58M,19.39M,,,,,,,19.39M,24.10M,-20.49M,3.615M,,30.58M,-11.20M,
2008-12,11.05M,0.188M,0.188M,,22.36M,22.36M,1.523M,,,,,,,,,,29.93M,65.06M,-76.05M,0.528M,-75.52M,0.00,4.10M,,-71.42M,-0.478M,0.00,-0.478M,,,,,,,-0.478M,30.94M,-6.839M,24.10M,,0.00,-0.478M,
2008-09,23.36M,-0.296M,-0.296M,,22.05M,22.05M,-1.737M,,,,,,,,,,6.644M,50.02M,-43.37M,1.578M,-41.79M,0.00,-6.896M,,-48.68M,-5.627M,,-5.627M,,,,,,,-5.627M,35.23M,-4.288M,30.94M,,,-5.627M,
2008-06,23.88M,-0.674M,-0.674M,,21.52M,21.52M,3.666M,,,,,,,,,,-5.60M,42.80M,-44.40M,0.795M,-43.60M,-0.138M,1.495M,,-42.24M,-0.159M,,-0.159M,,,,,,,-0.159M,34.84M,0.391M,35.23M,,0.00,-0.159M,
2008-03,10.39M,-1.359M,-1.359M,,21.17M,21.17M,1.90M,,,,,,,,,,6.527M,38.63M,-17.69M,0.582M,-17.11M,-7.129M,20.78M,,-3.451M,-6.667M,0.00,-6.667M,,,,,,,-6.667M,6.328M,28.51M,34.84M,,0.00,-6.667M,
2007-12,15.71M,-1.661M,-1.661M,,20.81M,20.81M,2.039M,,,,,,,,,,1.217M,38.12M,-19.46M,1.911M,-17.55M,-1.828M,-8.815M,,-28.19M,-4.575M,,-4.575M,,,,,,,-4.575M,0.977M,5.351M,6.328M,,-4.322M,-0.253M,
2007-09,20.01M,-0.06M,-0.06M,,20.56M,20.56M,3.80M,,,,,,,,,,-8.094M,36.21M,-30.43M,1.497M,-28.93M,-6.62M,-0.035M,,-35.58M,-0.939M,,-0.939M,,,,,,,-0.939M,1.289M,-0.312M,0.977M,,4.322M,-5.261M,
2007-06,22.54M,-0.04M,-0.04M,,20.06M,20.06M,1.328M,,-0.066M,,,,,,,,-17.01M,26.82M,-54.75M,0.811M,-53.94M,-11.98M,38.74M,,-27.18M,-0.339M,,-0.339M,,,,,,6.873M,6.534M,1.99M,6.172M,1.289M,,,-0.339M,
2007-03,13.57M,,,,18.43M,18.43M,1.386M,,0.066M,,,,,,,,23.13M,56.59M,-82.19M,1.009M,-81.18M,0.00,30.89M,,-50.29M,-6.873M,,-6.873M,,,,,,-6.873M,-13.75M,2.564M,-7.447M,1.99M,,,-6.873M,
2006-12,17.84M,,,,17.86M,17.86M,2.18M,,0.057M,,,,,,,,-1.757M,35.94M,-28.01M,0.569M,-27.44M,-3.616M,-5.619M,,-36.68M,-11.77M,,-11.77M,,,,,,11.47M,-0.301M,3.604M,-1.04M,2.564M,,0.00,-11.77M,
2006-09,20.10M,,,,17.48M,17.48M,3.509M,,-0.401M,,,,,,,,1.79M,42.48M,-42.51M,3.108M,-39.40M,-6.949M,8.909M,,-37.44M,-5.736M,,-5.736M,,,,,,-0.612M,-6.348M,4.913M,-1.309M,3.604M,,0.00,-5.736M,
2006-06,21.60M,,,,16.76M,16.76M,2.594M,,-0.012M,,,,,,,,-12.56M,28.38M,-63.48M,1.248M,-62.24M,-1.477M,-88.45M,,-152.16M,170.80M,,170.80M,,,,,,-43.17M,127.62M,1.069M,3.844M,4.913M,,175.00M,-4.205M,
2006-03,13.02M,,,,15.54M,15.54M,-0.58M,,0.356M,,,,,,,,19.47M,47.81M,-65.10M,0.701M,-64.39M,-7.372M,0.00,,-71.77M,-7.659M,,-7.659M,,,,,,31.70M,24.04M,0.986M,0.083M,1.069M,,,-7.659M,
2005-12,14.69M,,,,,96.61M,,,-39.55M,,,,,,,-50.27M,-46.83M,23.68M,-19.81M,1.202M,-18.61M,0.00,0.00,,-18.61M,-7.32M,,-7.32M,,,,,,-3.169M,-10.49M,6.403M,-5.417M,0.986M,,-0.062M,-7.258M,
2005-09,15.94M,,,,,-14.72M,,,14.72M,,,,,,,16.52M,16.52M,32.46M,-33.94M,0.368M,-33.58M,-0.648M,0.00,,-34.22M,-5.679M,,-5.679M,,,,,,12.81M,7.134M,1.037M,5.366M,6.403M,,0.834M,-6.513M,
2005-06,22.85M,,,,,-26.00M,,,26.00M,,,,,,,34.63M,34.63M,17.14M,-49.62M,3.134M,-46.49M,0.00,0.00,,-46.49M,37.89M,,37.89M,,,,,,-10.05M,27.84M,2.539M,-1.502M,1.037M,,25.00M,12.89M,
2005-03,,,,,,,,,,,,,,,,,,40.34M,-39.22M,0.517M,-38.70M,-22.46M,,,-61.16M,22.62M,,22.62M,,,,,,,22.62M,0.742M,1.797M,2.539M,,50.00M,-27.38M,
2004-12,10.99M,,,,11.78M,11.78M,0.386M,,7.603M,-0.776M,,-6.207M,10.10M,,,-20.85M,-17.74M,12.81M,-13.82M,0.13M,-13.69M,,,,-13.69M,-1.382M,,1.951M,-19.75M,,-19.75M,,,-3.422M,-1.472M,3.094M,-2.352M,0.742M,-19.75M,0.00,-1.382M,
2004-09,12.12M,,,,11.54M,11.54M,5.295M,,-5.295M,-6.712M,,1.068M,-3.717M,,,4.052M,-5.309M,18.35M,-10.31M,0.43M,-9.88M,,,,-9.88M,-6.307M,,-6.307M,19.75M,,19.75M,,,-20.00M,-6.553M,1.18M,1.914M,3.094M,19.75M,0.00,-6.307M,
2004-06,10.13M,,,,10.91M,10.91M,3.175M,,-3.175M,-6.67M,,-0.621M,7.834M,,,7.206M,7.749M,28.78M,-46.28M,0.999M,-45.28M,,,,-45.28M,-3.335M,,-3.335M,,,,,,19.96M,16.62M,1.054M,0.126M,1.18M,,0.815M,-4.15M,
2004-03,5.756M,,,,10.60M,10.60M,-0.867M,,0.867M,-7.349M,,1.749M,9.76M,,,9.394M,13.55M,29.91M,-23.29M,0.034M,-23.26M,,,,-23.26M,-10.28M,,-10.28M,,,,,,3.636M,-6.645M,1.051M,0.003M,1.054M,,0.00,-10.28M,
2003-12,7.728M,,,,10.13M,10.13M,,,-0.209M,,,-6.17M,9.033M,,,-4.581M,-9.365M,13.12M,-18.78M,0.089M,-18.70M,,,,-18.70M,-15.91M,,-1.91M,,,,,,-0.055M,-1.965M,8.592M,-7.541M,1.051M,,-14.00M,-1.91M,
2003-09,9.116M,,,,9.949M,9.949M,,,0.401M,,,1.90M,3.37M,,,2.15M,7.42M,26.89M,-19.70M,1.27M,-18.43M,,,,-18.43M,-1.00M,,-1.00M,0.00,,0.00,,,0.183M,-0.817M,0.949M,7.643M,8.592M,0.00,0.382M,-1.382M,
2003-06,6.52M,,,,9.447M,9.447M,,,-0.192M,,,0.651M,-1.897M,,,3.296M,2.05M,17.82M,-34.06M,1.223M,-32.84M,,,,-32.84M,9.335M,,9.335M,,,,,,0.077M,9.412M,6.549M,-5.60M,0.949M,,13.62M,-4.283M,
2003-03,4.236M,,,,8.685M,8.685M,,,,,,4.29M,0.923M,,,-0.90M,4.313M,17.23M,-29.36M,0.88M,-28.48M,,,,-28.48M,-2.222M,,-2.222M,,,,,,0.761M,-1.461M,19.26M,-12.71M,6.549M,,2.65M,-4.872M,
2002-12,5.612M,,0.149M,8.151M,8.151M,8.151M,,,3.068M,0.158M,,-9.008M,-2.39M,-8.877M,-3.902M,5.216M,-18.80M,0.454M,-16.16M,0.322M,-15.83M,,,,-15.83M,-2.341M,,-2.341M,47.83M,,47.83M,,,-11.68M,33.81M,0.829M,18.43M,19.26M,47.83M,0.365M,-2.706M,
2002-09,6.463M,,0.067M,7.735M,7.735M,7.735M,,,-0.067M,-3.803M,,-0.622M,-3.742M,-0.888M,4.491M,1.197M,-3.367M,10.83M,-20.58M,0.186M,-20.39M,,,,-20.39M,9.301M,,9.301M,0.011M,,0.011M,,,,9.312M,1.075M,-0.246M,0.829M,0.011M,11.74M,-2.435M,
2002-06,4.423M,,0.062M,7.741M,7.741M,7.741M,,,-0.062M,-4.752M,,1.356M,7.565M,0.952M,3.017M,-1.356M,6.782M,18.95M,-21.47M,0.096M,-21.37M,,,,-21.37M,1.884M,,1.884M,0.016M,,0.016M,,,0.641M,2.541M,0.958M,0.117M,1.075M,0.016M,5.028M,-3.144M,
2002-03,2.351M,,0.109M,7.454M,7.454M,7.454M,,,-0.109M,-7.45M,,5.057M,1.609M,4.954M,5.191M,-5.057M,4.304M,14.11M,-11.80M,0.283M,-11.51M,,,,-11.51M,-1.783M,,-1.783M,0.024M,,0.024M,,,-0.641M,-2.40M,0.761M,0.197M,0.958M,0.024M,0.00,-1.783M,
2001-12,1.248M,,-0.137M,-22.33M,7.562M,7.562M,-0.26M,,0.747M,12.86M,,-6.683M,-8.429M,-5.338M,-5.178M,5.713M,-7.059M,2.101M,-22.14M,5.967M,-16.17M,9.387M,,,-16.84M,-2.776M,,-2.776M,,,,,,12.26M,9.484M,6.017M,-5.256M,0.761M,,0.00,-2.776M,
2001-09,3.796M,,0.017M,37.14M,37.14M,37.14M,0.00,,-29.76M,-1.369M,,5.713M,2.556M,-0.271M,0.474M,-5.713M,1.39M,12.58M,-7.969M,0.512M,-7.457M,-0.002M,,,-7.459M,37.25M,,37.25M,,,,,,-39.25M,-2.003M,2.896M,3.121M,6.017M,,0.00,37.25M,
2001-06,3.097M,,0.02M,-7.521M,-7.521M,-7.521M,,,15.04M,-1.181M,,,0.916M,3.274M,1.483M,,4.492M,15.13M,-7.913M,0.20M,-7.713M,-2.951M,,,-10.66M,-2.659M,,-2.659M,,,,,,,-2.659M,1.089M,1.807M,2.896M,,39.80M,-42.46M,
2001-03,1.001M,,0.10M,-7.288M,-7.288M,-7.288M,,,14.58M,-3.741M,,,-7.759M,2.335M,3.221M,,-5.944M,2.445M,-5.592M,0.027M,-5.565M,-6.434M,,,-12.00M,10.06M,,10.06M,,,,,,,10.06M,0.585M,0.504M,1.089M,,12.76M,-2.705M,
2000-12,2.50M,,0.139M,47.06M,47.06M,47.06M,1.64M,,-40.05M,3.314M,,-2.972M,6.523M,-6.561M,-3.60M,2.972M,-0.324M,10.97M,-10.35M,0.742M,-9.607M,,,,-9.607M,-29.32M,,-29.32M,,,,,,,-1.645M,0.871M,-0.286M,0.585M,,-26.08M,-3.245M,
2000-09,4.293M,,-0.084M,-33.12M,-33.12M,-33.12M,,,40.05M,-2.766M,,-4.037M,1.536M,-1.191M,1.391M,4.037M,-1.03M,10.12M,-23.97M,0.494M,-23.48M,,,,-23.48M,13.36M,,13.36M,,,,,,,13.36M,0.873M,-0.002M,0.871M,,14.25M,-0.89M,
2000-06,4.565M,,-0.039M,6.635M,6.635M,6.635M,0.00,,0.011M,-0.339M,,0.564M,-0.708M,0.539M,1.784M,-0.564M,1.276M,12.45M,-20.30M,0.758M,-19.54M,,,,-19.54M,7.013M,,7.013M,,,,,,,7.013M,0.95M,-0.077M,0.873M,,11.08M,-4.063M,
2000-03,2.338M,,0.011M,6.455M,6.455M,6.455M,0.00,,-0.011M,-2.788M,,3.473M,-3.78M,3.757M,2.651M,-3.473M,-0.16M,8.633M,-8.467M,0.059M,-8.408M,,,,-8.408M,-0.056M,,-0.056M,,,,,,,-0.056M,0.781M,0.169M,0.95M,,2.375M,-2.431M,
1999-12,3.692M,,0.006M,44.23M,44.23M,44.23M,0.436M,,-38.11M,-0.146M,,,7.106M,-5.883M,-4.181M,,-3.104M,7.148M,-10.11M,0.169M,-9.938M,0.00,,,-9.938M,2.952M,,2.952M,,,,,,,2.952M,0.618M,0.162M,0.781M,,,-0.866M,
1999-09,4.219M,,0.088M,-6.317M,-6.317M,-6.317M,0.00,,12.63M,-5.199M,,,0.522M,-0.769M,1.493M,,-3.953M,6.671M,-11.36M,0.88M,-10.48M,0.00,,,-10.48M,3.78M,,3.78M,,,,,,,3.78M,0.645M,-0.027M,0.618M,,,3.78M,
1999-06,4.264M,,0.20M,-6.303M,-6.303M,-6.303M,0.00,,12.61M,1.983M,,,4.593M,1.135M,0.035M,,7.746M,18.51M,-12.49M,1.04M,-11.45M,0.00,,,-11.45M,-7.079M,,-7.079M,,,,,,,-7.079M,0.663M,-0.018M,0.645M,,,-7.079M,
