,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-12,149.71M,149.71M,35.41M,114.30M,7.477M,7.477M,8.151M,,0.01M,-5.803M,,,,131.29M,141.11M,-26.81M,,,,0.01M,,8.956M,3.493M,5.463M,,,5.463M,5.457M,-18.66M,8.151M,-26.81M,0.0509,0.0,,0.0509,0.0509,0.0506,0.0,,0.0505,0.0506,108.85M,109.47M,
2002-09,149.93M,149.93M,37.09M,112.84M,7.027M,7.027M,7.735M,,0.122M,-5.724M,,,,130.68M,139.72M,-26.88M,,,,0.122M,,10.48M,4.088M,6.396M,,,6.396M,6.322M,-19.14M,7.735M,-26.88M,0.0676,0.0,,0.0668,0.0676,0.0675,0.0,,0.0667,0.0675,94.74M,94.80M,
2002-06,139.67M,139.67M,33.23M,106.44M,7.16M,7.16M,7.741M,,0.07M,-5.709M,,,,123.70M,132.90M,-26.45M,,,,0.07M,,7.149M,2.788M,4.361M,,,4.361M,4.318M,-18.71M,7.741M,-26.45M,0.0457,0.0,,0.0452,0.0457,0.0457,0.0,,0.0452,0.0457,94.73M,94.79M,
2002-03,127.15M,127.15M,30.16M,96.99M,6.572M,6.572M,7.454M,,0.083M,-5.445M,,,,115.30M,123.88M,-26.89M,,,,0.083M,,3.676M,1.434M,2.242M,,,2.242M,2.191M,-19.44M,7.454M,-26.89M,0.0237,0.0,,0.0232,0.0237,0.0237,0.0,,0.0231,0.0237,94.69M,94.75M,
2001-12,124.40M,124.40M,,,,-1.618M,,,-0.456M,,,,,89.40M,110.98M,108.90M,,,,-0.456M,,6.80M,2.652M,4.148M,,,4.148M,4.426M,116.46M,7.562M,108.90M,0.0439,0.0,,0.0468,0.0439,0.0439,0.0,,0.0468,0.0439,94.69M,94.72M,
2001-09,128.96M,128.96M,31.75M,97.21M,6.554M,6.554M,7.517M,,0.267M,-5.20M,,,,114.21M,123.08M,-25.87M,,,,0.267M,,5.999M,2.34M,3.659M,,,3.659M,3.496M,11.26M,37.14M,-25.87M,0.0386,0.0,,0.0369,0.0386,0.0386,0.0,,0.0369,0.0386,94.69M,94.71M,
2001-06,128.60M,128.60M,31.39M,97.21M,6.449M,6.449M,7.521M,,-0.643M,-5.204M,,,,15.87M,24.63M,72.58M,,,,-0.643M,,5.077M,1.98M,3.097M,,,3.097M,3.489M,80.10M,-7.521M,72.58M,0.0325,0.0,,0.0367,0.0325,0.0325,0.0,,0.0367,0.0325,94.55M,94.55M,
2001-03,120.27M,120.27M,29.55M,90.72M,6.125M,6.125M,7.288M,,-1.638M,-5.233M,,,,15.27M,23.45M,67.27M,,,,-1.638M,,1.641M,0.64M,1.001M,,,1.001M,2.000M,74.56M,-7.288M,67.27M,0.0106,0.0,,0.0211,0.0106,0.0106,0.0,,0.0211,0.0106,94.55M,94.55M,
2000-12,120.48M,120.48M,31.40M,89.08M,6.602M,6.602M,7.011M,,-0.058M,-4.66M,,,,376.04M,384.99M,-295.92M,,,,-0.058M,,4.099M,1.599M,2.50M,,,2.50M,2.535M,-248.85M,47.06M,-295.92M,0.0262,0.0,,0.0265,0.0262,0.0259,0.0,,0.0263,0.0259,95.11M,95.11M,
2000-09,122.38M,122.38M,30.67M,91.72M,6.437M,6.437M,6.936M,,0.05M,-4.725M,,,,15.86M,24.50M,67.21M,,,,0.05M,,7.037M,2.744M,4.293M,,,4.293M,4.262M,74.15M,-33.12M,67.21M,0.0457,0.0,,0.0454,0.0457,0.0457,0.0,,0.0454,0.0457,94.55M,94.55M,
2000-06,120.14M,120.14M,29.45M,90.70M,6.569M,6.569M,6.635M,,0.08M,-4.778M,,,,104.88M,113.31M,-22.61M,,,,0.08M,,7.502M,2.926M,4.576M,,,4.576M,4.527M,-15.97M,6.635M,-22.61M,0.0483,0.0,,0.0478,0.0483,0.0483,0.0,,0.0478,0.0483,94.69M,94.69M,
2000-03,112.80M,112.80M,29.72M,83.08M,6.115M,6.115M,6.455M,,0.009M,-4.626M,,,,102.04M,109.98M,-26.91M,,,,0.009M,,3.815M,1.488M,2.327M,,,2.327M,2.322M,-20.46M,6.455M,-26.91M,0.0246,0.0,,0.0245,0.0246,0.0246,0.0,,0.0245,0.0246,94.69M,94.73M,
1999-12,112.32M,112.32M,26.71M,85.61M,5.674M,5.674M,6.361M,,0.728M,-4.408M,,,,340.23M,347.86M,-262.24M,,,,0.728M,,5.792M,2.343M,3.449M,,,3.449M,3.012M,-218.02M,44.23M,-262.24M,0.0358,0.0,,0.0312,0.0358,0.0358,0.0,,0.0312,0.0358,95.11M,95.16M,
1999-09,108.53M,108.53M,25.26M,83.27M,5.834M,5.834M,6.317M,,0.035M,-4.387M,,,,12.41M,20.18M,63.09M,,,,0.035M,,6.805M,2.586M,4.219M,,,4.219M,4.197M,69.41M,-6.317M,63.09M,0.0448,0.0,,0.0446,0.0448,0.0448,0.0,,0.0446,0.0448,94.54M,94.61M,
1999-06,106.20M,106.20M,23.26M,82.94M,6.065M,6.065M,6.303M,,0.004M,-4.478M,,,,11.48M,19.37M,63.57M,,,,0.004M,,6.878M,2.614M,4.264M,,,4.264M,4.262M,69.87M,-6.303M,63.57M,0.0448,0.0,,0.0448,0.0448,0.0448,0.0,,0.0448,0.0448,94.54M,94.57M,
1999-03,99.35M,99.35M,22.89M,76.46M,5.609M,5.609M,6.314M,,-0.245M,-4.426M,,,,10.76M,18.26M,58.20M,,,,-0.245M,,3.982M,1.513M,2.469M,,,2.469M,2.621M,64.51M,-6.314M,58.20M,0.0264,0.0,,0.028,0.0264,0.0264,0.0,,0.028,0.0264,94.54M,94.57M,
1998-12,99.50M,99.48M,-20.90M,120.37M,,253.82M,6.336M,,0.574M,-4.594M,,,,53.17M,308.73M,-188.36M,,,,0.574M,,3.598M,1.367M,2.211M,,,2.231M,1.875M,-150.92M,37.44M,-188.36M,0.0236,0.0,,0.0198,0.0236,0.0232,0.0,,0.0195,0.0232,95.11M,95.16M,
1998-09,99.27M,99.27M,23.94M,75.32M,5.835M,5.835M,5.734M,,-0.087M,-4.365M,,,,10.48M,17.69M,57.64M,,,,-0.087M,,5.519M,2.097M,3.422M,,,3.422M,3.476M,63.37M,-5.734M,57.64M,0.036,0.0,,0.0366,0.036,0.036,0.0,,0.0366,0.036,94.54M,94.64M,
1998-06,95.64M,95.64M,24.18M,71.46M,5.614M,5.614M,5.152M,,-0.085M,-4.094M,,,,10.62M,17.29M,54.18M,,,,-0.085M,,5.733M,2.179M,3.554M,,,3.554M,3.607M,59.33M,-5.152M,54.18M,0.0378,0.0,,0.0384,0.0378,0.0378,0.0,,0.0384,0.0378,94.54M,94.74M,
