,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,420.00M,-60.00M,73.00M,73.00M,24.00M,,42.00M,274.00M,,,-98.00M,,675.00M,-64.00M,,,,108.00M,,5.00M,49.00M,614.00M,,614.00M,4.00M,-815.00M,-811.00M,-118.00M,-118.00M,-95.00M,-410.00M,429.00M,314.00M,743.00M,4.00M,627.00M,-13.00M,-815.00M
2017-12,114.00M,-657.00M,69.00M,69.00M,697.00M,,42.00M,117.00M,,,94.00M,,476.00M,-85.00M,,,,936.00M,,33.00M,884.00M,-426.00M,,-426.00M,2.00M,-908.00M,-906.00M,-120.00M,-120.00M,-13.00M,-1.465B,534.00M,-105.00M,429.00M,2.00M,-421.00M,-5.00M,-908.00M
2017-09,485.00M,-6.00M,65.00M,65.00M,42.00M,,44.00M,-54.00M,,,-11.00M,,565.00M,-51.00M,,,,0.00,,55.00M,4.00M,357.00M,,357.00M,1.00M,-777.00M,-776.00M,-122.00M,-122.00M,-9.00M,-550.00M,515.00M,19.00M,534.00M,1.00M,361.00M,-4.00M,-777.00M
2017-06,489.00M,-25.00M,83.00M,83.00M,62.00M,,47.00M,46.00M,,,22.00M,,724.00M,-56.00M,,,,171.00M,,-35.00M,80.00M,-152.00M,,-152.00M,1.00M,-746.00M,-745.00M,-125.00M,-125.00M,-36.00M,-1.058B,769.00M,-254.00M,515.00M,1.00M,119.00M,-271.00M,-746.00M
2017-03,371.00M,1.00M,62.00M,62.00M,86.00M,,48.00M,29.00M,,,-135.00M,,462.00M,-48.00M,,,,311.00M,,-20.00M,243.00M,-29.00M,,-29.00M,2.00M,-582.00M,-580.00M,-115.00M,-115.00M,-99.00M,-823.00M,887.00M,-118.00M,769.00M,2.00M,1.00M,-30.00M,-582.00M
2016-12,272.00M,,62.00M,62.00M,102.00M,,95.00M,14.00M,,,-133.00M,,413.00M,-67.00M,,,,233.00M,,-25.00M,141.00M,-315.00M,,-315.00M,12.00M,-320.00M,-308.00M,-117.00M,-117.00M,-26.00M,-766.00M,1.078B,-212.00M,887.00M,12.00M,-285.00M,-30.00M,-320.00M
2016-09,70.00M,,36.00M,36.00M,-60.00M,,58.00M,232.00M,,,8.00M,,344.00M,-54.00M,,,,-2.43B,,69.00M,-2.415B,2.596B,,2.596B,6.00M,1.00M,7.00M,-117.00M,-117.00M,-16.00M,2.47B,679.00M,399.00M,1.078B,6.00M,1.657B,939.00M,1.00M
2016-06,247.00M,,30.00M,30.00M,3.00M,,31.00M,93.00M,,,64.00M,,468.00M,-36.00M,,,,33.00M,,-5.00M,-8.00M,199.00M,,199.00M,10.00M,-1.00M,9.00M,-76.00M,-76.00M,-12.00M,120.00M,99.00M,580.00M,679.00M,10.00M,1.432B,-1.233B,-1.00M
2016-03,219.00M,,31.00M,31.00M,58.00M,,28.00M,103.00M,,,-45.00M,,394.00M,-42.00M,,,,-17.00M,,-5.00M,-64.00M,49.00M,,49.00M,6.00M,-248.00M,-242.00M,-64.00M,-64.00M,-70.00M,-327.00M,96.00M,3.00M,99.00M,6.00M,51.00M,-2.00M,-248.00M
2015-12,202.00M,,32.00M,32.00M,23.00M,,29.00M,138.00M,,,36.00M,,435.00M,-87.00M,,,,29.00M,0.00,52.00M,-6.00M,-184.00M,,-184.00M,1.00M,-96.00M,-95.00M,-64.00M,-64.00M,,-428.00M,95.00M,1.00M,96.00M,1.00M,134.00M,-318.00M,-96.00M
2015-09,210.00M,,31.00M,31.00M,21.00M,,29.00M,46.00M,,,-9.00M,,328.00M,-59.00M,,,,13.00M,0.00,67.00M,21.00M,377.00M,,377.00M,8.00M,-714.00M,-706.00M,-65.00M,-65.00M,,-394.00M,140.00M,-45.00M,95.00M,8.00M,380.00M,-3.00M,-714.00M
2015-06,240.00M,,32.00M,32.00M,70.00M,,31.00M,54.00M,,,63.00M,,490.00M,-84.00M,,,,187.00M,121.00M,150.00M,374.00M,-112.00M,,-112.00M,14.00M,-678.00M,-664.00M,-68.00M,-68.00M,,-844.00M,120.00M,20.00M,140.00M,14.00M,-110.00M,-2.00M,-678.00M
2015-03,207.00M,,44.00M,44.00M,29.00M,,24.00M,89.00M,,,-131.00M,,262.00M,-75.00M,,,,186.00M,,-133.00M,-22.00M,244.00M,,244.00M,17.00M,-429.00M,-412.00M,-56.00M,-56.00M,,-224.00M,104.00M,16.00M,120.00M,17.00M,246.00M,-2.00M,-429.00M
2014-12,197.00M,,32.00M,32.00M,-12.00M,,28.00M,112.00M,,,-83.00M,,274.00M,-144.00M,,,,132.00M,0.00,3.00M,-9.00M,252.00M,,252.00M,49.00M,-556.00M,-507.00M,-56.00M,-56.00M,,-311.00M,150.00M,-46.00M,104.00M,49.00M,254.00M,-2.00M,-556.00M
2014-09,192.00M,,33.00M,33.00M,26.00M,,27.00M,23.00M,,,-20.00M,,281.00M,-111.00M,,,,-21.00M,0.00,11.00M,-121.00M,123.00M,,123.00M,30.00M,-297.00M,-267.00M,-58.00M,-58.00M,,-202.00M,192.00M,-42.00M,150.00M,30.00M,125.00M,-2.00M,-297.00M
2014-06,192.00M,,47.00M,47.00M,41.00M,,29.00M,74.00M,,,104.00M,,487.00M,-95.00M,,,,-210.00M,0.00,80.00M,-225.00M,100.00M,,100.00M,42.00M,-337.00M,-295.00M,-59.00M,-59.00M,,-254.00M,184.00M,8.00M,192.00M,42.00M,101.00M,-1.00M,-337.00M
2014-03,172.00M,,36.00M,36.00M,16.00M,,25.00M,54.00M,,,-121.00M,,182.00M,-61.00M,,,,285.00M,,-182.00M,42.00M,147.00M,,147.00M,57.00M,-320.00M,-263.00M,-50.00M,-50.00M,,-166.00M,126.00M,58.00M,184.00M,57.00M,149.00M,-2.00M,-320.00M
2013-12,151.00M,,35.00M,35.00M,6.00M,,27.00M,101.00M,,,15.00M,,335.00M,-70.00M,,,,-137.00M,,62.00M,-210.00M,41.00M,,41.00M,58.00M,-190.00M,-132.00M,-52.00M,-52.00M,0.00,-143.00M,144.00M,-18.00M,126.00M,58.00M,43.00M,-2.00M,-190.00M
2013-09,160.00M,,34.00M,34.00M,-18.00M,,28.00M,-18.00M,,,9.00M,,195.00M,-78.00M,,,,-10.00M,,-2.00M,-90.00M,58.00M,,58.00M,71.00M,-146.00M,-75.00M,-51.00M,-51.00M,-1.00M,-69.00M,108.00M,36.00M,144.00M,71.00M,60.00M,-2.00M,-146.00M
2013-06,179.00M,,33.00M,33.00M,52.00M,,31.00M,17.00M,,,180.00M,,492.00M,-78.00M,,,,-14.00M,,-39.00M,-131.00M,-170.00M,,-170.00M,29.00M,-281.00M,-252.00M,-52.00M,-52.00M,,-474.00M,221.00M,-113.00M,108.00M,29.00M,-169.00M,-1.00M,-281.00M
2013-03,136.00M,,25.00M,25.00M,33.00M,,30.00M,48.00M,,,-154.00M,,118.00M,-70.00M,,,,-28.00M,,10.00M,-88.00M,320.00M,,320.00M,41.00M,-217.00M,-176.00M,-41.00M,-41.00M,,103.00M,88.00M,133.00M,221.00M,41.00M,722.00M,-402.00M,-217.00M
2012-12,181.00M,,2.00M,2.00M,70.00M,-13.00M,,144.00M,,,-297.00M,,181.00M,-121.00M,,,,-222.00M,,-29.00M,-372.00M,418.00M,,418.00M,98.00M,-261.00M,-163.00M,-81.00M,-81.00M,0.00,174.00M,105.00M,-17.00M,88.00M,98.00M,420.00M,-2.00M,-261.00M
2012-09,143.00M,,33.00M,33.00M,41.00M,9.00M,,-30.00M,,,195.00M,,391.00M,-59.00M,,,,28.00M,,37.00M,6.00M,-53.00M,,-53.00M,33.00M,-334.00M,-301.00M,-43.00M,-43.00M,0.00,-397.00M,105.00M,0.00,105.00M,33.00M,-37.00M,-16.00M,-334.00M
2012-06,143.00M,,38.00M,38.00M,43.00M,3.00M,,7.00M,,,58.00M,,292.00M,-60.00M,,,,-15.00M,,-9.00M,-84.00M,37.00M,,37.00M,18.00M,-414.00M,-396.00M,-33.00M,-33.00M,-1.00M,-393.00M,290.00M,-185.00M,105.00M,18.00M,387.00M,-350.00M,-414.00M
2012-03,104.00M,,29.00M,29.00M,70.00M,1.00M,,14.00M,,,-93.00M,,125.00M,-197.00M,,,,-12.00M,,74.00M,-135.00M,348.00M,,348.00M,30.00M,-136.00M,-106.00M,-34.00M,-34.00M,-10.00M,198.00M,102.00M,188.00M,290.00M,30.00M,350.00M,-2.00M,-136.00M
2011-12,141.00M,,28.00M,28.00M,93.00M,-32.00M,,62.00M,,,-88.00M,,204.00M,-55.00M,,,,-13.00M,,-34.00M,-102.00M,-22.00M,,-22.00M,25.00M,-200.00M,-175.00M,-34.00M,-34.00M,,-220.00M,220.00M,-118.00M,102.00M,25.00M,46.00M,-68.00M,-200.00M
2011-09,-179.00M,,40.00M,40.00M,-54.00M,351.00M,,42.00M,,,204.00M,,404.00M,-37.00M,,,,-7.00M,,125.00M,81.00M,174.00M,,174.00M,37.00M,-557.00M,-520.00M,-36.00M,-36.00M,,-382.00M,117.00M,103.00M,220.00M,37.00M,241.00M,-67.00M,-557.00M
2011-06,135.00M,,41.00M,41.00M,39.00M,3.00M,,32.00M,,,92.00M,,342.00M,-29.00M,,,,-15.00M,,-4.00M,-48.00M,62.00M,,62.00M,17.00M,-368.00M,-351.00M,-32.00M,-32.00M,,-321.00M,144.00M,-27.00M,117.00M,17.00M,114.00M,-52.00M,-368.00M
2011-03,101.00M,,35.00M,35.00M,35.00M,2.00M,,112.00M,,,-146.00M,,139.00M,-62.00M,,,,-102.00M,,-14.00M,-178.00M,-35.00M,,-35.00M,45.00M,-300.00M,-255.00M,-32.00M,-32.00M,,-322.00M,505.00M,-361.00M,144.00M,45.00M,42.00M,-77.00M,-300.00M
2010-12,173.00M,,57.00M,57.00M,-118.00M,122.00M,,61.00M,,,-57.00M,,238.00M,-216.00M,,,,161.00M,,-13.00M,-103.00M,98.00M,,98.00M,120.00M,-57.00M,63.00M,-14.00M,-14.00M,,147.00M,223.00M,282.00M,505.00M,120.00M,,-117.00M,-57.00M
2010-09,83.00M,,40.00M,40.00M,30.00M,3.00M,,85.00M,,,150.00M,,391.00M,-83.00M,,,,-18.00M,,9.00M,-92.00M,-185.00M,,-185.00M,24.00M,,24.00M,-15.00M,-15.00M,,-176.00M,100.00M,123.00M,223.00M,24.00M,,-185.00M,
2010-06,119.00M,,42.00M,42.00M,39.00M,4.00M,,57.00M,,,101.00M,,362.00M,-39.00M,,,,-10.00M,,4.00M,-45.00M,-358.00M,,-358.00M,37.00M,0.00,37.00M,-14.00M,-14.00M,,-335.00M,118.00M,-18.00M,100.00M,37.00M,,-358.00M,0.00
2010-03,83.00M,,39.00M,39.00M,22.00M,2.00M,,88.00M,,,-74.00M,,160.00M,-25.00M,,,,-19.00M,,20.00M,-24.00M,-150.00M,,-150.00M,17.00M,0.00,17.00M,0.00,0.00,,-133.00M,115.00M,3.00M,118.00M,17.00M,,-150.00M,0.00
2009-12,106.00M,,61.00M,61.00M,195.00M,14.00M,,-37.00M,,,-63.00M,,271.00M,-74.00M,,,,54.00M,,93.00M,61.00M,180.00M,,-364.00M,17.00M,,17.00M,63.00M,0.00,,-347.00M,130.00M,-15.00M,115.00M,17.00M,0.00,-364.00M,
2009-09,-469.00M,,43.00M,43.00M,-222.00M,758.00M,,-20.00M,,,160.00M,,250.00M,-29.00M,,,,-25.00M,,-3.00M,-57.00M,-188.00M,,-188.00M,2.00M,,2.00M,-2.00M,-2.00M,,-188.00M,125.00M,5.00M,130.00M,2.00M,,-188.00M,
2009-06,35.00M,,42.00M,42.00M,7.00M,10.00M,,-42.00M,,,92.00M,,144.00M,-33.00M,,,,-19.00M,,20.00M,-32.00M,-131.00M,,-131.00M,6.00M,,6.00M,-30.00M,-30.00M,,-155.00M,168.00M,-43.00M,125.00M,6.00M,-31.00M,-100.00M,
2009-03,-25.00M,,39.00M,39.00M,20.00M,50.00M,,202.00M,,,-83.00M,,203.00M,-50.00M,,,,-8.00M,,17.00M,-41.00M,-99.00M,,-99.00M,2.00M,,2.00M,-31.00M,-31.00M,,-128.00M,134.00M,34.00M,168.00M,2.00M,31.00M,-130.00M,
2008-12,-12.00M,-196.00M,60.00M,60.00M,,0.00,,72.00M,,,162.00M,,86.00M,-146.00M,,,-9.00M,19.00M,1.00M,10.00M,-116.00M,-83.00M,158.00M,75.00M,9.00M,-6.00M,3.00M,,-31.00M,0.00,47.00M,117.00M,17.00M,134.00M,9.00M,158.00M,-83.00M,-6.00M
2008-09,84.00M,-132.00M,43.00M,43.00M,,0.00,,34.00M,,,169.00M,,198.00M,-96.00M,,,-28.00M,0.00,-9.00M,-3.00M,-108.00M,-8.00M,9.00M,1.00M,12.00M,-81.00M,-69.00M,,-30.00M,0.00,-98.00M,125.00M,-8.00M,117.00M,12.00M,10.00M,-9.00M,-81.00M
2008-06,154.00M,143.00M,46.00M,46.00M,,,,40.00M,,,41.00M,,424.00M,-164.00M,,,-77.00M,5.00M,-10.00M,1.00M,-168.00M,-19.00M,-354.00M,-373.00M,15.00M,-76.00M,-61.00M,,-27.00M,16.00M,-445.00M,314.00M,-189.00M,125.00M,15.00M,-341.00M,-32.00M,-76.00M
2008-03,121.00M,-61.00M,41.00M,41.00M,,,,32.00M,,,-200.00M,,-67.00M,-84.00M,,,-19.00M,14.00M,15.00M,-36.00M,-91.00M,-148.00M,571.00M,423.00M,15.00M,-271.00M,-256.00M,,-27.00M,,140.00M,332.00M,-18.00M,314.00M,15.00M,574.00M,-151.00M,-271.00M
2007-12,176.00M,-182.00M,63.00M,63.00M,216.00M,,,,,199.00M,199.00M,,472.00M,-143.00M,306.00M,163.00M,,,13.00M,-69.00M,107.00M,,,-2.00M,35.00M,-464.00M,-429.00M,,-28.00M,6.00M,-453.00M,208.00M,126.00M,332.00M,35.00M,,,-464.00M
2007-09,131.00M,7.00M,43.00M,43.00M,-162.00M,,,-53.00M,,-26.00M,-26.00M,,-60.00M,-219.00M,319.00M,100.00M,,,-10.00M,-55.00M,35.00M,,,556.00M,26.00M,-457.00M,-431.00M,,-28.00M,-15.00M,82.00M,151.00M,57.00M,208.00M,26.00M,,,-457.00M
2007-06,207.00M,-16.00M,46.00M,46.00M,-54.00M,,,184.00M,,152.00M,152.00M,,519.00M,-151.00M,72.00M,-79.00M,,,-1.00M,129.00M,49.00M,,,-207.00M,47.00M,-344.00M,-297.00M,,-24.00M,-13.00M,-541.00M,122.00M,27.00M,151.00M,47.00M,,,-344.00M
2007-03,182.00M,5.00M,45.00M,45.00M,,,,-131.00M,,-254.00M,-254.00M,,-153.00M,-158.00M,48.00M,-110.00M,,,1.00M,43.00M,-66.00M,,,578.00M,95.00M,-492.00M,-397.00M,,-25.00M,-6.00M,150.00M,191.00M,-69.00M,122.00M,95.00M,,,-492.00M
2006-12,220.00M,-66.00M,62.00M,62.00M,-32.00M,,,,133.00M,112.00M,245.00M,,429.00M,-310.00M,19.00M,-291.00M,,,-27.00M,57.00M,-261.00M,,,196.00M,174.00M,-484.00M,-310.00M,,-24.00M,27.00M,-111.00M,136.00M,57.00M,193.00M,174.00M,,,-484.00M
2006-09,141.00M,42.00M,44.00M,44.00M,52.00M,,,-153.00M,-133.00M,173.00M,40.00M,,166.00M,-66.00M,63.00M,-3.00M,,,-22.00M,14.00M,-11.00M,,,72.00M,42.00M,-474.00M,-432.00M,,-26.00M,3.00M,-383.00M,364.00M,-228.00M,136.00M,42.00M,,,-474.00M
2006-06,186.00M,-51.00M,42.00M,42.00M,-20.00M,,,247.00M,,-48.00M,-48.00M,,356.00M,-51.00M,556.00M,505.00M,,,-73.00M,22.00M,454.00M,,,-321.00M,89.00M,-352.00M,-263.00M,,-22.00M,-12.00M,-618.00M,172.00M,192.00M,364.00M,89.00M,,,-352.00M
2006-03,61.00M,110.00M,40.00M,40.00M,,,,-94.00M,,-98.00M,-98.00M,,19.00M,-102.00M,160.00M,58.00M,,,,-121.00M,-63.00M,,,200.00M,73.00M,-236.00M,-163.00M,,-21.00M,-3.00M,13.00M,203.00M,-31.00M,172.00M,73.00M,,,-236.00M
2005-12,237.00M,3.00M,58.00M,58.00M,,,,,,64.00M,64.00M,,363.00M,-154.00M,261.00M,107.00M,,,-231.00M,269.00M,145.00M,,,-93.00M,21.00M,-378.00M,-357.00M,,-23.00M,10.00M,-463.00M,161.00M,45.00M,201.00M,21.00M,,,-378.00M
2005-09,148.00M,-213.00M,53.00M,53.00M,98.00M,,,,,58.00M,58.00M,,144.00M,-493.00M,13.00M,-480.00M,,,210.00M,-49.00M,-319.00M,,,372.00M,17.00M,-513.00M,-496.00M,,-23.00M,12.00M,-135.00M,471.00M,-310.00M,161.00M,17.00M,,,-513.00M
2005-06,138.00M,277.00M,36.00M,36.00M,-98.00M,,,,,41.00M,41.00M,,394.00M,-98.00M,9.00M,-89.00M,,,-210.00M,380.00M,81.00M,,,54.00M,36.00M,-433.00M,-397.00M,,-19.00M,-19.00M,-381.00M,377.00M,94.00M,471.00M,36.00M,,,-433.00M
2005-03,145.00M,-107.00M,37.00M,37.00M,,,,,,-136.00M,-136.00M,,-61.00M,-35.00M,15.00M,-20.00M,,,,-17.00M,-37.00M,,,-1.00M,51.00M,-320.00M,-269.00M,,-19.00M,-6.00M,-295.00M,770.00M,-393.00M,377.00M,51.00M,,,-320.00M
2004-12,188.00M,-22.00M,51.00M,51.00M,,,,,,-3.00M,193.00M,,410.00M,-66.00M,152.00M,86.00M,,,,77.00M,163.00M,,,-49.00M,106.00M,-78.00M,28.00M,,-19.00M,35.00M,-5.00M,202.00M,568.00M,770.00M,106.00M,,,-78.00M
2004-09,132.00M,-66.00M,39.00M,39.00M,,,,,,73.00M,73.00M,,178.00M,-34.00M,227.00M,193.00M,,,23.00M,-84.00M,132.00M,,,-53.00M,21.00M,-233.00M,-212.00M,,-20.00M,13.00M,-272.00M,164.00M,38.00M,202.00M,21.00M,,,-233.00M
2004-06,160.00M,92.00M,37.00M,37.00M,,,,,,31.00M,31.00M,,320.00M,-50.00M,19.00M,-31.00M,,,-23.00M,22.00M,-32.00M,,,-296.00M,62.00M,-56.00M,6.00M,,-17.00M,-20.00M,-327.00M,203.00M,-39.00M,164.00M,62.00M,,,-56.00M
2004-03,114.00M,-69.00M,39.00M,39.00M,,,,,,-101.00M,-101.00M,,-17.00M,-31.00M,4.00M,-27.00M,,,,51.00M,24.00M,,,257.00M,17.00M,-297.00M,-280.00M,,-17.00M,7.00M,-33.00M,229.00M,-26.00M,203.00M,17.00M,,,-297.00M
2003-12,170.00M,-39.00M,55.00M,55.00M,,,,,,75.00M,116.00M,,302.00M,-66.00M,7.00M,-59.00M,,,,68.00M,9.00M,,,-211.00M,52.00M,-82.00M,-30.00M,,-18.00M,64.00M,-195.00M,113.00M,116.00M,229.00M,52.00M,,,-82.00M
2003-09,93.00M,-80.00M,37.00M,37.00M,,,,,,31.00M,31.00M,,81.00M,-28.00M,126.00M,98.00M,,,,-62.00M,36.00M,,,-12.00M,21.00M,-93.00M,-72.00M,,-17.00M,-47.00M,-148.00M,144.00M,-31.00M,113.00M,21.00M,,,-93.00M
2003-06,126.00M,-32.00M,34.00M,34.00M,,,,,,-6.00M,-6.00M,,122.00M,-53.00M,98.00M,45.00M,,,,-8.00M,37.00M,,,-505.00M,25.00M,-44.00M,-19.00M,,-16.00M,,-540.00M,525.00M,-381.00M,144.00M,25.00M,,,-44.00M
2003-03,87.00M,-123.00M,34.00M,34.00M,,,,,,-100.00M,-100.00M,,-102.00M,-63.00M,263.00M,200.00M,,,,29.00M,229.00M,,,367.00M,4.00M,-154.00M,-150.00M,,-17.00M,,200.00M,198.00M,327.00M,525.00M,4.00M,,,-154.00M
2002-12,116.00M,-90.00M,59.00M,59.00M,,,,,,-35.00M,-38.00M,9.00M,56.00M,-70.00M,216.00M,146.00M,,,,-22.00M,124.00M,,,-155.00M,7.00M,-121.00M,-114.00M,,-16.00M,,-285.00M,303.00M,-105.00M,198.00M,7.00M,,,-121.00M
2002-09,114.00M,-13.00M,42.00M,42.00M,,,,,,42.00M,42.00M,-9.00M,176.00M,-50.00M,231.00M,181.00M,,,,-10.00M,171.00M,,,-105.00M,1.00M,-111.00M,-110.00M,,-18.00M,,-233.00M,189.00M,114.00M,303.00M,1.00M,,,-111.00M
2002-06,127.00M,-25.00M,47.00M,47.00M,,,,,,80.00M,80.00M,,229.00M,-85.00M,183.00M,98.00M,,,,-26.00M,72.00M,,,-272.00M,10.00M,-20.00M,-10.00M,,-15.00M,,-297.00M,190.00M,4.00M,189.00M,10.00M,,,-20.00M
2002-03,82.00M,21.00M,39.00M,39.00M,,,,,,-87.00M,-87.00M,,55.00M,-87.00M,99.00M,12.00M,,,,-62.00M,-50.00M,,,-633.00M,17.00M,,17.00M,,-16.00M,,-632.00M,817.00M,-627.00M,190.00M,17.00M,,,
2001-12,-83.00M,-37.00M,75.00M,75.00M,,,,,,-16.00M,0.00,,-45.00M,-200.00M,554.00M,354.00M,,,,-709.00M,-355.00M,,,499.00M,7.00M,-144.00M,-137.00M,,-16.00M,,346.00M,874.00M,-54.00M,812.00M,7.00M,,,-144.00M
2001-09,101.00M,-19.00M,51.00M,51.00M,,,,,,131.00M,131.00M,,264.00M,-109.00M,-361.00M,-470.00M,,,,427.00M,-43.00M,,,0.00,12.00M,-17.00M,-5.00M,,-16.00M,,-21.00M,674.00M,200.00M,874.00M,12.00M,,,-17.00M
2001-06,130.00M,-48.00M,50.00M,50.00M,,,,,,26.00M,26.00M,,158.00M,-126.00M,120.00M,-6.00M,,,,-113.00M,-119.00M,,,288.00M,26.00M,-35.00M,-9.00M,,-14.00M,,265.00M,370.00M,304.00M,674.00M,26.00M,,,-35.00M
2001-03,121.00M,,46.00M,46.00M,,,,,,-141.00M,-141.00M,,26.00M,-125.00M,241.00M,116.00M,,,,-80.00M,36.00M,,,-3.00M,31.00M,-39.00M,-8.00M,,-15.00M,,-26.00M,334.00M,36.00M,370.00M,31.00M,,,-39.00M
2000-12,160.00M,103.00M,61.00M,61.00M,-198.00M,,,,,-73.00M,117.00M,,243.00M,-468.00M,361.00M,-107.00M,,,,-424.00M,-531.00M,,,229.00M,28.00M,-39.00M,-11.00M,,-14.00M,46.00M,250.00M,378.00M,-38.00M,326.00M,28.00M,,,-39.00M
2000-09,110.00M,-49.00M,47.00M,47.00M,95.00M,,,,,135.00M,135.00M,,338.00M,-172.00M,87.00M,-85.00M,,,,-79.00M,-164.00M,,,-214.00M,16.00M,-15.00M,1.00M,,-14.00M,21.00M,-206.00M,410.00M,-32.00M,378.00M,16.00M,,,-15.00M
