,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,607.00M,,,,,,39.00M,39.00M,,,69.00M,69.00M,502.00M,,-282.00M,-69.00M,,-251.00M,-100.00M,615.00M,-20.00M,,,0.00,1.235B,,1.215B,,,21.00M,-148.00M,-127.00M,,,-8.00M,-135.00M,2.566B,1.695B,-3.00M,4.258B,21.00M,,,-148.00M,11.00M,21.00M
2017-12,-186.00M,,,,,,34.00M,34.00M,,,63.00M,63.00M,-73.00M,,77.00M,13.00M,,921.00M,938.00M,849.00M,-24.00M,,,-150.00M,-11.00M,,-185.00M,,,0.00,-150.00M,-150.00M,,,-7.00M,-157.00M,2.067B,507.00M,-8.00M,2.566B,0.00,,,-150.00M,18.00M,0.00
2017-09,-22.00M,,,,,,32.00M,32.00M,,,62.00M,62.00M,-589.00M,,364.00M,-14.00M,,219.00M,-20.00M,52.00M,-30.00M,,,0.00,-90.00M,,-120.00M,,,27.00M,-153.00M,-126.00M,,,-10.00M,-136.00M,2.248B,-204.00M,23.00M,2.067B,27.00M,,,-153.00M,21.00M,21.00M
2017-06,644.00M,,,,,,31.00M,31.00M,,,48.00M,48.00M,135.00M,,-160.00M,80.00M,,-602.00M,-547.00M,176.00M,-33.00M,,,,-255.00M,,-288.00M,,,30.00M,-150.00M,-120.00M,,,-95.00M,-215.00M,2.565B,-327.00M,10.00M,2.248B,30.00M,,,-150.00M,7.00M,
2017-03,566.00M,,,,,,32.00M,32.00M,,,52.00M,52.00M,231.00M,,-75.00M,-37.00M,,-332.00M,-213.00M,437.00M,-29.00M,,,0.00,-232.00M,,-261.00M,0.00,0.00,39.00M,-125.00M,-86.00M,,,-18.00M,-104.00M,2.483B,72.00M,10.00M,2.565B,39.00M,,0.00,-125.00M,0.00,20.00M
2016-12,-1.00M,,,,,,49.00M,49.00M,,,48.00M,48.00M,126.00M,,28.00M,3.00M,,884.00M,1.041B,1.137B,-25.00M,,,0.00,-224.00M,,-249.00M,0.00,0.00,2.00M,-127.00M,-125.00M,,,-6.00M,-131.00M,1.746B,757.00M,-20.00M,2.483B,2.00M,,0.00,-127.00M,25.00M,1.00M
2016-09,-38.00M,,,,,,45.00M,45.00M,,,48.00M,48.00M,-481.00M,,346.00M,31.00M,,171.00M,67.00M,122.00M,-29.00M,,,,-139.00M,,-168.00M,-136.00M,-136.00M,27.00M,-127.00M,-100.00M,,,-9.00M,-245.00M,2.042B,-291.00M,-5.00M,1.746B,27.00M,,-136.00M,-127.00M,16.00M,22.00M
2016-06,440.00M,,,,,,46.00M,46.00M,,,48.00M,48.00M,-12.00M,,-104.00M,6.00M,,-542.00M,-652.00M,-118.00M,-40.00M,,,,-41.00M,,-81.00M,-27.00M,-27.00M,4.00M,-129.00M,-125.00M,,,-97.00M,-249.00M,2.493B,-448.00M,-3.00M,2.042B,4.00M,,-27.00M,-129.00M,10.00M,
2016-03,899.00M,,,,,,48.00M,48.00M,,,47.00M,2.00M,395.00M,6.00M,57.00M,-20.00M,,-796.00M,-358.00M,638.00M,-30.00M,,,,-371.00M,,-401.00M,812.00M,812.00M,21.00M,-634.00M,-613.00M,,,-229.00M,-30.00M,2.263B,207.00M,23.00M,2.493B,21.00M,,-177.00M,-634.00M,7.00M,1.00M
2015-12,-45.00M,,,,,,50.00M,50.00M,,,42.00M,2.00M,111.00M,20.00M,-31.00M,3.00M,,737.00M,840.00M,889.00M,-21.00M,,,,18.00M,,-3.00M,-95.00M,-95.00M,2.00M,-126.00M,-124.00M,,,8.00M,-211.00M,1.598B,675.00M,-10.00M,2.263B,2.00M,,-95.00M,-126.00M,2.00M,0.00
2015-09,-140.00M,,,,,,50.00M,50.00M,,,44.00M,-39.00M,-598.00M,-29.00M,324.00M,13.00M,,339.00M,49.00M,9.00M,-18.00M,,,,78.00M,,60.00M,-198.00M,-198.00M,39.00M,-126.00M,-87.00M,,,25.00M,-260.00M,1.81B,-191.00M,-21.00M,1.598B,39.00M,,-198.00M,-126.00M,5.00M,0.00
2015-06,442.00M,,,,,,49.00M,49.00M,,,45.00M,45.00M,219.00M,3.00M,-347.00M,26.00M,,-508.00M,-607.00M,-71.00M,-24.00M,,,,-116.00M,,-140.00M,0.00,0.00,45.00M,-132.00M,-87.00M,,,40.00M,-47.00M,2.068B,-258.00M,0.00,1.81B,45.00M,,0.00,-132.00M,21.00M,3.00M
2015-03,395.00M,,,,,,55.00M,55.00M,,,36.00M,-1.00M,122.00M,-16.00M,-54.00M,-31.00M,,-308.00M,-287.00M,198.00M,-32.00M,,,,-178.00M,,-210.00M,0.00,0.00,29.00M,-95.00M,-66.00M,,,6.00M,-60.00M,2.166B,-72.00M,-26.00M,2.068B,29.00M,,0.00,-95.00M,10.00M,3.00M
2014-12,142.00M,,,,,,53.00M,53.00M,,,39.00M,0.00,332.00M,27.00M,-217.00M,-1.00M,,307.00M,448.00M,682.00M,-15.00M,,,,-12.00M,,-27.00M,0.00,0.00,5.00M,-97.00M,-92.00M,,,2.00M,-90.00M,1.624B,565.00M,-23.00M,2.166B,5.00M,,0.00,-97.00M,3.00M,0.00
2014-09,3.00M,,,,,,56.00M,56.00M,,,40.00M,-1.00M,-618.00M,-30.00M,383.00M,117.00M,,233.00M,85.00M,183.00M,-21.00M,,,,-5.00M,,-26.00M,0.00,0.00,21.00M,-95.00M,-74.00M,,,2.00M,-72.00M,1.554B,85.00M,-15.00M,1.624B,21.00M,,0.00,-95.00M,-19.00M,3.00M
2014-06,335.00M,,,,,,56.00M,56.00M,,,29.00M,-1.00M,110.00M,19.00M,-127.00M,21.00M,,-438.00M,-415.00M,4.00M,-27.00M,,,,-180.00M,,-207.00M,,,5.00M,-50.00M,-45.00M,,,12.00M,-33.00M,1.782B,-236.00M,8.00M,1.554B,5.00M,,,-50.00M,8.00M,0.00
2014-03,367.00M,,1.00M,1.00M,,,57.00M,57.00M,,,39.00M,2.00M,198.00M,-1.00M,-109.00M,-73.00M,,-200.00M,-185.00M,281.00M,-16.00M,,,0.00,-260.00M,,-276.00M,,,26.00M,0.00,26.00M,,,13.00M,39.00M,1.746B,44.00M,-8.00M,1.782B,26.00M,,,0.00,8.00M,3.00M
2013-12,-308.00M,,1.00M,1.00M,,,58.00M,58.00M,,,40.00M,0.00,68.00M,3.00M,48.00M,9.00M,,766.00M,894.00M,685.00M,-28.00M,,,0.00,2.00M,,-26.00M,,,1.00M,0.00,1.00M,,,0.00,1.00M,1.09B,660.00M,-4.00M,1.746B,1.00M,,,0.00,6.00M,0.00
2013-09,-273.00M,,,,,,56.00M,56.00M,,,38.00M,-44.00M,-470.00M,-16.00M,317.00M,38.00M,,348.00M,217.00M,-6.00M,-24.00M,,,0.00,27.00M,,3.00M,,,28.00M,0.00,28.00M,,,0.00,28.00M,1.056B,25.00M,9.00M,1.09B,28.00M,,,0.00,9.00M,3.00M
2013-06,222.00M,,,,,,56.00M,56.00M,,,33.00M,7.00M,192.00M,1.00M,-277.00M,-30.00M,,-452.00M,-566.00M,-248.00M,-29.00M,,,-5.00M,32.00M,,-2.00M,,,22.00M,0.00,22.00M,,,-1.00M,21.00M,1.292B,-229.00M,-7.00M,1.056B,22.00M,,,0.00,6.00M,
2013-03,323.00M,,-25.00M,-25.00M,,,86.00M,86.00M,,,42.00M,1.00M,74.00M,16.00M,-122.00M,1.00M,,-163.00M,-194.00M,233.00M,-25.00M,,,6.00M,-68.00M,,-87.00M,,,15.00M,-13.00M,2.00M,,,0.00,2.00M,1.158B,148.00M,-14.00M,1.292B,15.00M,,,-13.00M,5.00M,3.00M
2012-12,-45.00M,,-12.00M,-12.00M,,,66.00M,66.00M,,,39.00M,-45.00M,256.00M,13.00M,-180.00M,14.00M,,257.00M,360.00M,363.00M,-25.00M,,,0.00,102.00M,,77.00M,,,1.00M,-157.00M,-156.00M,,,-2.00M,-158.00M,871.00M,282.00M,5.00M,1.158B,1.00M,,,-157.00M,4.00M,0.00
2012-09,-381.00M,,,,,,56.00M,56.00M,,,44.00M,0.00,-528.00M,-11.00M,394.00M,29.00M,,369.00M,253.00M,-28.00M,-25.00M,,,15.00M,92.00M,,82.00M,,,18.00M,-108.00M,-90.00M,,,-27.00M,-117.00M,919.00M,-63.00M,15.00M,871.00M,18.00M,,,-108.00M,9.00M,2.00M
2012-06,201.00M,,,,,,56.00M,56.00M,,,39.00M,-13.00M,254.00M,-2.00M,-276.00M,-29.00M,,-474.00M,-527.00M,-244.00M,-31.00M,,,0.00,-9.00M,,-40.00M,,,0.00,-71.00M,-71.00M,,,-1.00M,-72.00M,1.293B,-356.00M,-18.00M,919.00M,0.00,,,-71.00M,8.00M,
2012-03,400.00M,,0.00,0.00,,,68.00M,68.00M,,,41.00M,0.00,162.00M,10.00M,63.00M,-20.00M,,-437.00M,-222.00M,287.00M,-44.00M,0.00,0.00,75.00M,-31.00M,,0.00,0.00,0.00,18.00M,-241.00M,-223.00M,,0.00,-25.00M,-248.00M,1.242B,39.00M,12.00M,1.293B,18.00M,0.00,,-241.00M,-8.00M,2.00M
2011-12,-324.00M,,-12.00M,0.00,,,54.00M,54.00M,,,48.00M,105.00M,39.00M,22.00M,-45.00M,-81.00M,,657.00M,592.00M,475.00M,-44.00M,0.00,0.00,-19.00M,-51.00M,,-114.00M,107.00M,107.00M,4.00M,-41.00M,-37.00M,,0.00,-106.00M,-36.00M,930.00M,325.00M,-13.00M,1.242B,4.00M,0.00,107.00M,-41.00M,4.00M,0.00
2011-09,-221.00M,,,-12.00M,,,51.00M,51.00M,,,43.00M,-102.00M,-522.00M,-15.00M,259.00M,,,308.00M,30.00M,-211.00M,-52.00M,26.00M,26.00M,-632.00M,147.00M,,-511.00M,510.00M,510.00M,21.00M,-98.00M,-77.00M,,65.00M,1.00M,499.00M,1.173B,-223.00M,-20.00M,930.00M,21.00M,617.00M,-107.00M,-98.00M,-18.00M,
2011-06,221.00M,,,,,,43.00M,43.00M,,,38.00M,2.00M,307.00M,4.00M,-314.00M,,,-575.00M,-578.00M,-274.00M,-32.00M,,,-25.00M,-7.00M,,-64.00M,,,14.00M,-91.00M,-77.00M,,,2.00M,-75.00M,1.579B,-413.00M,7.00M,1.173B,14.00M,,,-91.00M,18.00M,
2011-03,151.00M,24.00M,-25.00M,-1.00M,,,180.00M,42.00M,,,38.00M,8.00M,58.00M,29.00M,17.00M,,,-94.00M,15.00M,253.00M,-21.00M,0.00,0.00,0.00,13.00M,,-8.00M,0.00,0.00,17.00M,-58.00M,-41.00M,,0.00,,-40.00M,1.353B,205.00M,21.00M,1.579B,17.00M,0.00,,-58.00M,21.00M,
2010-12,-322.00M,-24.00M,24.00M,0.00,,,-94.00M,44.00M,,,48.00M,3.00M,57.00M,51.00M,129.00M,,,339.00M,576.00M,349.00M,-15.00M,0.00,0.00,-16.00M,-20.00M,,-51.00M,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,1.056B,298.00M,-1.00M,1.353B,0.00,0.00,,0.00,-7.00M,
2010-09,-201.00M,-5.00M,-24.00M,-29.00M,,,46.00M,46.00M,,,43.00M,-29.00M,-334.00M,-71.00M,113.00M,,,328.00M,36.00M,-134.00M,-12.00M,0.00,0.00,0.00,109.00M,,97.00M,0.00,0.00,16.00M,0.00,16.00M,,0.00,,16.00M,1.057B,-21.00M,20.00M,1.056B,16.00M,0.00,0.00,0.00,7.00M,
2010-06,96.00M,5.00M,,5.00M,,,48.00M,48.00M,,,47.00M,2.00M,97.00M,16.00M,-149.00M,,,-310.00M,-346.00M,-148.00M,-11.00M,,,0.00,-42.00M,,-53.00M,,,1.00M,0.00,1.00M,,,,1.00M,1.273B,-200.00M,-16.00M,1.057B,1.00M,,,0.00,,
2010-03,30.00M,,,2.00M,,,50.00M,50.00M,,,42.00M,14.00M,290.00M,46.00M,-189.00M,,-129.00M,97.00M,115.00M,253.00M,-22.00M,,0.00,-5.00M,-74.00M,0.00,-101.00M,,,14.00M,,14.00M,,,1.00M,15.00M,1.114B,167.00M,-8.00M,1.273B,14.00M,,,,-8.00M,
2009-12,-82.00M,,,-3.00M,,,48.00M,48.00M,,,68.00M,20.00M,162.00M,107.00M,-202.00M,,103.00M,0.00,170.00M,221.00M,-16.00M,,0.00,-275.00M,236.00M,-100.00M,-155.00M,,,0.00,,0.00,,,13.00M,13.00M,1.042B,79.00M,-7.00M,1.114B,0.00,,,,5.00M,
2009-09,-391.00M,,,8.00M,,,46.00M,46.00M,,,44.00M,0.00,-266.00M,-34.00M,270.00M,,359.00M,-30.00M,299.00M,6.00M,-259.00M,,-233.00M,0.00,55.00M,,-204.00M,,,22.00M,,22.00M,,,,22.00M,1.205B,-176.00M,13.00M,1.042B,22.00M,,,,1.00M,
2009-06,-234.00M,,,15.00M,,,48.00M,48.00M,,,33.00M,7.00M,-252.00M,4.00M,-74.00M,,172.00M,-47.00M,-197.00M,-328.00M,-8.00M,,,-3.00M,-101.00M,,-112.00M,,,3.00M,,3.00M,,,,3.00M,1.621B,-437.00M,21.00M,1.205B,3.00M,,,,2.00M,
2009-03,-42.00M,-2.00M,,-2.00M,,,,46.00M,,0.00,56.00M,7.00M,697.00M,79.00M,-361.00M,,-251.00M,-14.00M,150.00M,215.00M,-25.00M,,0.00,0.00,45.00M,,20.00M,,,14.00M,,14.00M,,,0.00,14.00M,1.379B,249.00M,-7.00M,1.621B,14.00M,,,,9.00M,
2008-12,-641.00M,27.00M,,28.00M,,,,48.00M,,368.00M,44.00M,2.00M,-223.00M,35.00M,71.00M,,88.00M,392.00M,363.00M,212.00M,-27.00M,,0.00,-16.00M,-46.00M,,-89.00M,,,6.00M,,6.00M,,,-14.00M,-8.00M,1.297B,115.00M,-33.00M,1.379B,6.00M,,,,5.00M,
2008-09,-310.00M,34.00M,,34.00M,,,,54.00M,,,53.00M,0.00,-291.00M,-107.00M,282.00M,,232.00M,-71.00M,45.00M,-124.00M,-32.00M,,0.00,0.00,220.00M,,188.00M,,,44.00M,,44.00M,,,7.00M,51.00M,1.199B,115.00M,-17.00M,1.297B,44.00M,,,,5.00M,
2008-06,-95.00M,6.00M,,8.00M,,,,50.00M,,,50.00M,16.00M,38.00M,-56.00M,-74.00M,,-195.00M,-33.00M,-320.00M,-291.00M,-31.00M,,,-42.00M,-23.00M,,-96.00M,,,25.00M,,25.00M,,,9.00M,34.00M,1.553B,-353.00M,-1.00M,1.199B,25.00M,,,,6.00M,
2008-03,-93.00M,,,241.00M,,,49.00M,49.00M,-92.00M,,,59.00M,531.00M,8.00M,-146.00M,,-320.00M,48.00M,121.00M,285.00M,-22.00M,,-22.00M,,-21.00M,0.00,-650.00M,,,32.00M,,32.00M,,,6.00M,38.00M,1.878B,-327.00M,2.00M,1.553B,32.00M,,,,,
2007-12,-33.00M,,,9.00M,,,42.00M,42.00M,43.00M,,,80.00M,-383.00M,-69.00M,140.00M,,498.00M,22.00M,208.00M,349.00M,-25.00M,,-25.00M,,408.00M,-30.00M,353.00M,,,74.00M,,74.00M,,,14.00M,88.00M,1.074B,790.00M,14.00M,1.878B,74.00M,,,,,
2007-09,-196.00M,,,-1.00M,,,37.00M,37.00M,-111.00M,,,39.00M,-294.00M,-29.00M,103.00M,,345.00M,3.00M,128.00M,-104.00M,-23.00M,,-23.00M,,438.00M,,415.00M,,,68.00M,,68.00M,,,23.00M,91.00M,663.00M,402.00M,9.00M,1.074B,68.00M,,,,,
2007-06,-132.00M,,,,,,36.00M,36.00M,,,,28.00M,138.00M,-10.00M,-74.00M,,-97.00M,-81.00M,-124.00M,-192.00M,-14.00M,,-14.00M,,-533.00M,,-547.00M,,,18.00M,,18.00M,,,8.00M,26.00M,1.371B,-713.00M,5.00M,663.00M,18.00M,,,,,
2007-03,-25.00M,,,7.00M,,,37.00M,37.00M,,,,21.00M,320.00M,19.00M,-3.00M,,-91.00M,-17.00M,228.00M,214.00M,-60.00M,,-58.00M,-9.00M,-30.00M,-2.00M,-99.00M,,0.00,35.00M,,35.00M,,,9.00M,44.00M,1.199B,159.00M,13.00M,1.371B,35.00M,,,,,
2006-12,160.00M,,,-7.00M,,,38.00M,38.00M,,,,39.00M,-275.00M,-2.00M,-34.00M,,259.00M,49.00M,-3.00M,227.00M,-32.00M,,-32.00M,-27.00M,-254.00M,0.00,-313.00M,,0.00,48.00M,,48.00M,,,15.00M,63.00M,1.212B,-23.00M,10.00M,1.199B,48.00M,,,,,
2006-09,22.00M,,,3.00M,,,37.00M,37.00M,,,,33.00M,-222.00M,-8.00M,85.00M,,42.00M,2.00M,-101.00M,-6.00M,-48.00M,,-48.00M,-67.00M,29.00M,0.00,-86.00M,,0.00,48.00M,,48.00M,,,8.00M,56.00M,1.248B,-36.00M,0.00,1.212B,48.00M,,,,,
2006-06,-81.00M,,,,,,35.00M,35.00M,,,,37.00M,159.00M,3.00M,-50.00M,,-153.00M,12.00M,-29.00M,-38.00M,-38.00M,,-38.00M,,47.00M,2.00M,11.00M,,-14.00M,37.00M,,37.00M,,,4.00M,27.00M,1.242B,,6.00M,1.248B,37.00M,,,,,
2006-03,-16.00M,,,34.00M,,,27.00M,27.00M,,,,,347.00M,8.00M,-19.00M,35.00M,-16.00M,,284.00M,337.00M,-36.00M,,-34.00M,-658.00M,69.00M,2.00M,-621.00M,,,55.00M,0.00,55.00M,,,,55.00M,1.462B,-229.00M,9.00M,1.242B,55.00M,,,0.00,,
2005-12,259.00M,,,25.00M,,,22.00M,22.00M,,,,,-223.00M,-2.00M,16.00M,-19.00M,200.00M,,-28.00M,278.00M,-31.00M,,-31.00M,0.00,563.00M,-3.00M,529.00M,,,91.00M,0.00,91.00M,,,,91.00M,575.00M,898.00M,-11.00M,1.462B,91.00M,,,0.00,,
2005-09,51.00M,,,90.00M,,,23.00M,23.00M,,,,,-162.00M,-10.00M,59.00M,-4.00M,-35.00M,,-152.00M,12.00M,-23.00M,,-23.00M,0.00,44.00M,0.00,21.00M,,,41.00M,-372.00M,-331.00M,,,,-331.00M,874.00M,-298.00M,-1.00M,575.00M,41.00M,,,-372.00M,,
2005-06,-58.00M,,,8.00M,,,23.00M,23.00M,,,,,142.00M,1.00M,-25.00M,-12.00M,-110.00M,,-4.00M,-31.00M,-33.00M,,-33.00M,-3.00M,0.00,-1.00M,-37.00M,,,19.00M,-337.00M,-318.00M,,,,-318.00M,1.27B,-386.00M,-10.00M,874.00M,19.00M,,,-337.00M,,
2005-03,7.00M,,,49.00M,,,22.00M,22.00M,,,,,607.00M,17.00M,-56.00M,-21.00M,-175.00M,,372.00M,474.00M,-44.00M,0.00,-44.00M,-21.00M,-184.00M,-1.00M,-250.00M,,,94.00M,-10.00M,84.00M,,,,84.00M,963.00M,308.00M,-1.00M,1.27B,94.00M,,,-10.00M,,
2004-12,375.52M,,,16.07M,,,19.83M,19.83M,,,,,-518.78M,-6.903M,26.12M,-40.59M,265.60M,,-274.56M,136.86M,-36.66M,0.463M,-36.20M,-59.99M,-505.53M,-1.75M,-603.47M,,,61.49M,-31.00M,30.49M,,,,30.49M,1.386B,-436.11M,12.97M,963.00M,61.49M,,,-31.00M,,
2004-09,97.25M,,,10.74M,,,16.96M,16.96M,,,,,-205.04M,-25.05M,105.44M,26.66M,62.00M,,-35.98M,88.98M,-19.23M,0.104M,-19.13M,0.00,142.83M,-0.25M,123.46M,,,41.23M,,41.23M,,,,41.23M,1.133B,253.66M,-0.809M,1.386B,41.23M,,,,,
2004-06,24.22M,,,10.19M,,,16.21M,16.21M,,,,,36.82M,0.956M,-47.56M,-0.075M,-106.60M,,-116.46M,-65.84M,-26.11M,15.43M,-10.68M,-0.012M,-985.30M,,-995.99M,,,44.28M,,44.28M,,,,44.28M,2.150B,-1.018B,0.836M,1.133B,44.28M,,,,,
2004-03,89.75M,,,29.13M,,,18.08M,18.08M,,,,,592.60M,3.057M,-31.12M,-61.66M,-82.92M,,419.95M,561.91M,-34.06M,0.887M,-33.18M,-2.042M,991.38M,0.396M,956.56M,,-0.128M,61.74M,0.225M,61.96M,-3.00M,,2.587M,61.42M,573.01M,1.580B,-2.904M,2.15B,61.74M,,,0.225M,,
2003-12,392.30M,,,2.755M,,,29.07M,29.07M,,,,,-653.56M,-25.65M,28.82M,-18.51M,323.63M,,-345.27M,78.84M,-27.25M,0.025M,-27.22M,-0.958M,105.41M,-2.863M,74.36M,,0.128M,26.38M,0.00,26.38M,5.10M,,-2.715M,28.90M,376.12M,182.11M,14.78M,573.01M,26.38M,,,0.00,,
2003-09,76.59M,,,21.45M,,,17.62M,17.62M,,,,,-189.55M,-8.542M,71.37M,11.54M,62.08M,,-53.10M,62.56M,-16.50M,0.05M,-16.45M,,-549.36M,5.10M,-560.71M,,-0.135M,67.01M,-0.225M,66.78M,-5.10M,,0.128M,61.68M,810.70M,-436.47M,1.902M,376.12M,67.01M,,,-0.225M,,
2003-06,18.37M,,,19.67M,,,13.22M,13.22M,,,,,56.52M,8.136M,-46.06M,1.625M,-105.79M,,-85.58M,-34.31M,-12.19M,0.038M,-12.15M,,-173.43M,3.367M,-182.21M,,0.135M,72.86M,,72.86M,,,,73.00M,950.00M,-143.52M,4.225M,810.70M,72.86M,,,,,
2003-03,9.143M,,,111.01M,,,17.67M,17.67M,-29.00M,,,,519.76M,18.09M,-40.22M,-37.57M,-229.39M,,323.67M,430.49M,-24.53M,0.321M,-24.21M,-0.132M,-238.16M,-9.469M,-271.97M,,,22.12M,,22.12M,,,0.751M,22.87M,766.07M,181.39M,2.368M,950.00M,22.12M,,,,,
2002-12,250.22M,,,18.85M,,,24.96M,24.96M,-8.689M,,,,-465.02M,-6.039M,26.50M,88.98M,265.19M,,-90.40M,194.94M,-11.08M,0.268M,-10.82M,0.00,-100.62M,2.874M,-108.57M,,,48.60M,,48.60M,,,0.00,48.60M,627.47M,134.97M,3.627M,766.07M,48.60M,,,,,
2002-09,50.23M,,,19.70M,,,25.07M,25.07M,8.379M,,,,-22.23M,-12.75M,33.96M,-51.30M,30.87M,,-21.45M,81.93M,-14.98M,0.032M,-14.94M,-12.87M,-54.00M,-0.251M,-82.06M,,,41.39M,,41.39M,,,-0.751M,40.64M,588.54M,40.50M,-1.567M,627.47M,41.39M,,,,,
