,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2010-12,50.87M,158.62M,,,-85.71M,-85.71M,,-2.372M,,,,-58.21M,,,,,,-16.41M,,81.50M,10.50M,-0.944M,7.089M,91.06M,82.10M,,34.55M,,1.48,0.22,1.508,1.7,1.48,0.22,1.508,1.7,54.94M,54.96M,0.45
2010-09,104.24M,104.24M,,,41.20M,41.20M,33.15M,-1.30M,,,,71.65M,,,,,,-16.08M,,29.98M,0.479M,-0.92M,7.089M,29.54M,29.91M,,32.01M,,0.44,0.01,0.457,0.45,0.44,0.01,0.457,0.45,49.81M,49.83M,0.35
2010-06,98.23M,98.23M,,,38.60M,38.60M,30.34M,-41.50M,,,,27.40M,,,,,,-18.78M,,-12.16M,-0.06M,-0.93M,7.09M,-13.15M,13.88M,,30.34M,5.624M,-0.45,0.0,0.1511,-0.45,-0.45,0.0,0.1511,-0.45,44.87M,44.87M,0.35
2010-03,98.93M,98.93M,,,41.03M,41.03M,31.55M,0.00,,,,70.74M,,,,,,-17.56M,,28.19M,0.593M,-0.935M,7.089M,27.85M,27.26M,,29.74M,,0.46,0.01,0.46,0.47,0.46,0.01,0.46,0.47,43.82M,43.86M,0.35
2009-12,84.04M,84.04M,,,37.87M,37.87M,29.40M,,,,,66.79M,,,,,,-19.45M,,28.50M,1.401M,-0.924M,6.051M,28.98M,27.58M,,29.00M,,0.43,0.03,0.43,0.46,0.43,0.03,0.43,0.46,43.77M,43.80M,0.35
2009-09,94.60M,94.60M,,,40.83M,40.83M,31.22M,,,,,68.94M,,,,,,-21.22M,,25.66M,0.718M,-0.886M,7.289M,25.49M,24.77M,,28.34M,,0.45,0.02,0.45,0.47,0.45,0.02,0.45,0.47,39.09M,39.11M,0.35
2009-06,99.67M,99.67M,,,38.03M,38.03M,29.22M,11.25M,,,,78.78M,,,,,,-21.37M,43.39M,43.39M,0.724M,-4.362M,7.089M,39.75M,31.71M,94.49M,29.72M,64.76M,0.81,0.02,0.6221,0.83,0.8,0.02,0.6302,0.82,38.93M,43.07M,0.35
2009-03,111.36M,111.36M,,,41.85M,41.85M,32.43M,,,,,73.09M,,,,,,-20.20M,,38.27M,2.983M,-0.875M,7.606M,40.37M,37.39M,,31.45M,,0.92,0.09,0.92,1.01,0.92,0.09,0.92,1.01,32.48M,32.50M,0.8
2008-12,103.57M,103.57M,,,37.44M,37.44M,28.47M,-11.27M,,,,54.05M,,,,,,-20.93M,,26.99M,0.579M,-0.971M,7.368M,26.60M,33.34M,,28.48M,,0.6,0.01,0.8306,0.61,0.59,0.01,0.8201,0.61,31.76M,31.82M,0.8
2008-09,91.24M,91.24M,,,37.64M,37.64M,29.06M,0.00,,,,64.57M,,,,,,-21.29M,,26.67M,0.928M,-0.929M,7.355M,26.67M,25.74M,,27.45M,,0.58,0.03,0.58,0.61,0.58,0.03,0.58,0.61,31.69M,31.81M,0.8
2008-06,90.04M,90.04M,,,35.59M,35.59M,27.14M,0.00,,,,62.33M,,,,,,-18.74M,,27.71M,0.064M,-0.948M,7.408M,26.83M,26.76M,,27.00M,,0.61,0.0,0.61,0.61,0.61,0.0,0.61,0.61,31.62M,31.74M,0.8
2008-03,86.10M,86.10M,,,37.05M,37.05M,28.26M,-1.985M,,,,60.65M,,,,,,-23.46M,,21.48M,15.67M,-0.951M,3.431M,36.20M,21.82M,,25.81M,,0.55,0.49,0.5909,1.04,0.54,0.49,0.5807,1.03,31.55M,31.69M,0.78
2007-12,77.94M,77.94M,,,105.08M,105.08M,,,,,,105.08M,,,,,,-21.75M,,19.36M,5.634M,,2.715M,24.99M,19.36M,,23.03M,,0.52,0.19,0.52,0.71,0.52,0.18,0.52,0.7,31.47M,31.80M,0.78
2007-09,80.18M,80.18M,,,8.343M,8.343M,,,,,,8.343M,,,,,,-23.95M,,21.33M,1.569M,-0.909M,2.714M,22.90M,21.33M,,25.68M,,0.64,0.05,0.64,0.69,0.63,0.05,0.63,0.68,29.26M,29.51M,0.76
2007-06,74.19M,74.19M,,,7.808M,7.808M,,,,,,7.808M,,,,,,-19.58M,,21.18M,2.872M,-0.902M,2.714M,24.05M,21.18M,,24.10M,,0.63,0.1,0.63,0.73,0.63,0.1,0.63,0.73,29.05M,29.36M,0.76
2007-03,77.08M,77.08M,,,8.082M,8.082M,,,,,,8.082M,,,,,,-20.56M,,20.50M,1.285M,-0.907M,6.676M,21.78M,20.50M,,24.53M,,0.48,0.04,0.48,0.52,0.48,0.04,0.48,0.52,28.90M,29.30M,0.74
2006-12,60.28M,60.28M,,,6.637M,6.637M,,,,,,6.637M,,,,,,-18.86M,,14.39M,6.149M,-0.838M,4.023M,20.54M,14.39M,,23.47M,,0.32,0.25,0.32,0.57,0.32,0.24,0.32,0.57,29.03M,29.11M,0.74
2006-09,65.71M,65.71M,,,6.653M,6.653M,,,,,,6.653M,,,,,,-19.04M,,18.75M,0.217M,-0.709M,4.022M,18.96M,18.75M,,20.99M,,0.56,0.01,0.56,0.57,0.55,0.01,0.55,0.56,26.32M,26.71M,0.72
2006-06,53.87M,53.87M,,,6.269M,6.269M,,,,,,6.269M,,,,,,-16.32M,,16.91M,0.251M,-0.37M,4.023M,17.16M,16.91M,,17.07M,,0.56,0.01,0.56,0.57,0.56,0.01,0.56,0.57,22.86M,23.25M,0.7
2006-03,53.42M,53.42M,,,6.451M,6.451M,,,,,,6.451M,,,,,,-14.86M,,16.06M,0.696M,-0.37M,4.022M,16.76M,16.06M,,16.15M,,0.54,0.03,0.54,0.57,0.53,0.03,0.53,0.56,22.32M,22.76M,0.7
2005-12,50.39M,50.39M,,,5.908M,5.908M,,,,,,5.908M,,,,,,-13.39M,,15.18M,0.998M,-0.377M,4.023M,16.18M,15.18M,,16.60M,,0.5,0.04,0.5,0.54,0.4921,0.04,0.4921,0.5321,22.28M,22.65M,0.7
2005-09,48.87M,48.87M,,,5.993M,5.993M,,,,,,5.993M,,,,,,-13.16M,,14.94M,1.046M,-0.234M,4.022M,15.99M,14.94M,,15.28M,,0.52,0.05,0.52,0.57,0.51,0.05,0.51,0.56,21.09M,21.49M,0.68
2005-06,46.03M,46.03M,,,4.765M,4.765M,,,,,,4.765M,,,,,,-11.25M,,15.69M,0.582M,,4.023M,16.27M,15.69M,,14.73M,,0.56,0.03,0.56,0.59,0.55,0.03,0.55,0.58,20.94M,21.28M,0.68
2005-03,43.73M,43.73M,,,4.445M,4.445M,,,,,,4.445M,,,,,,-11.32M,,14.38M,0.607M,,4.022M,14.99M,14.38M,,14.39M,,0.53,0.03,0.53,0.56,0.52,0.03,0.52,0.55,19.47M,19.79M,0.66
2004-12,37.24M,37.24M,,,3.993M,3.993M,,,,,,3.993M,,,,,,-8.409M,,13.14M,2.366M,,2.116M,15.50M,13.14M,,12.48M,,0.48,0.1208,0.48,0.6008,0.47,0.1208,0.47,0.5908,22.47M,22.85M,0.66
2004-09,39.83M,39.83M,,,3.662M,3.662M,,,,,,3.662M,,,,,,-6.626M,,15.43M,0.036M,,4.094M,15.46M,15.43M,,11.11M,,0.59,0.0,0.59,0.59,0.58,0.0,0.58,0.58,19.35M,19.67M,0.64
2004-06,36.55M,36.55M,,,3.814M,3.814M,,,,,,3.814M,,,,,,-6.926M,,13.85M,0.034M,,4.16M,13.89M,13.85M,,10.64M,,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,19.28M,19.61M,0.62
2004-03,36.07M,36.07M,,,3.636M,3.636M,,,,,,3.636M,,,,,,-6.709M,,13.71M,1.626M,,2.225M,15.34M,13.71M,,10.51M,,0.71,0.08,0.71,0.8,0.7,0.08,0.7,0.78,19.21M,19.58M,0.6
2003-12,34.48M,34.48M,,,3.55M,3.55M,,,,,,3.55M,,,,,,-6.501M,,13.17M,0.18M,,2.224M,13.35M,13.17M,,10.46M,,0.69,0.01,0.69,1.05,0.68,0.01,0.68,1.04,19.10M,19.42M,0.58
2003-09,33.55M,33.55M,,,3.568M,3.568M,,,,,,3.568M,,,,,,-6.532M,,12.08M,9.517M,,2.225M,21.59M,12.08M,,10.27M,,0.63,0.5,0.63,1.02,0.63,0.49,0.63,1.0,19.02M,19.28M,0.56
2003-06,32.94M,32.94M,,,3.544M,3.544M,,,,,,3.544M,,,,,,-6.512M,,11.59M,0.963M,,2.225M,12.55M,11.59M,,10.19M,,0.61,0.05,0.61,0.54,0.6,0.05,0.6,0.54,18.95M,19.19M,0.53
2003-03,33.74M,33.74M,,,3.549M,3.549M,,,,,,3.549M,,,,,,-6.527M,,11.95M,0.203M,,2.225M,12.15M,11.95M,,9.825M,,0.63,0.01,0.63,0.64,0.62,0.01,0.62,0.63,18.90M,19.14M,0.53
2002-12,32.91M,32.91M,,,3.452M,3.452M,,,,,,3.452M,,,,,,-5.86M,,11.07M,-0.618M,,2.225M,9.454M,11.07M,,9.027M,,-0.19,0.2,-0.19,0.01,-0.19,0.19,-0.19,0.01,18.87M,19.05M,0.5
2002-09,31.14M,31.14M,,,3.203M,3.203M,,,,,,3.203M,,,,,,-5.426M,,10.34M,4.115M,,2.225M,14.46M,10.34M,,8.956M,,0.56,0.02,0.56,0.58,0.56,0.02,0.56,0.58,18.33M,18.56M,0.5
2002-06,28.32M,28.32M,,,3.308M,3.308M,,,,,,3.308M,,,,,,-6.212M,,9.804M,0.416M,,2.225M,10.22M,9.804M,,9.26M,,0.59,0.02,0.59,0.61,0.57,0.02,0.57,0.59,16.75M,17.12M,0.5
2002-03,27.31M,27.31M,,,3.473M,3.473M,,,,,,3.473M,,,,,,-5.876M,,9.188M,0.415M,,1.905M,9.603M,9.188M,,8.847M,,0.56,0.03,0.56,0.59,0.55,0.02,0.55,0.57,16.41M,16.72M,0.5
2001-12,22.77M,22.77M,,,3.116M,3.116M,,,,,,3.116M,,,,,,-5.623M,,6.547M,,,0.918M,8.196M,6.547M,,8.455M,,0.27,0.18,0.27,0.45,0.27,0.17,0.27,0.44,16.19M,16.48M,0.46
2001-09,25.45M,25.45M,,,2.885M,2.885M,,,,,,2.885M,,,,,,-6.66M,,7.451M,,,0.916M,7.451M,7.451M,,8.412M,,0.41,0.0,0.41,0.41,0.4,0.0,0.4,0.4,16.14M,16.41M,0.46
2001-06,23.52M,23.52M,,,2.819M,2.819M,,,,,,2.819M,,,,,,-5.945M,,7.324M,,,0.916M,7.324M,7.324M,,7.685M,,0.4,0.0,0.4,0.4,0.39,0.0,0.39,0.39,16.01M,16.25M,0.46
2001-03,23.63M,23.63M,,,2.874M,2.874M,,,,,,2.874M,,,,,,-6.273M,,7.306M,,,0.916M,7.306M,7.306M,,6.958M,,0.41,0.0,0.41,0.41,0.41,0.0,0.41,0.41,15.47M,15.70M,0.46
2000-12,19.16M,19.16M,,,2.398M,2.398M,,,,,,2.398M,,,,,,-4.657M,,5.837M,,,0.918M,7.40M,5.837M,,,,0.5,0.18,0.5,0.68,0.49,0.17,0.49,0.67,15.45M,15.73M,0.43
2000-09,21.41M,21.41M,,,2.391M,2.391M,,,,,,2.391M,,,,,,-5.835M,,6.531M,,,0.916M,6.531M,6.531M,,,,0.39,0.0,0.39,0.39,0.38,0.0,0.38,0.38,14.52M,14.78M,0.43
2000-06,18.94M,18.94M,,,2.104M,2.104M,,,,,,2.104M,,,,,,-5.415M,,6.341M,,,0.916M,6.341M,6.341M,,,,0.38,0.0,0.38,0.38,0.38,0.0,0.38,0.38,14.27M,14.45M,0.43
2000-03,18.41M,18.41M,,,2.093M,2.093M,,,,,,2.093M,,,,,,-5.002M,,5.737M,,,0.916M,5.737M,5.737M,,5.787M,,0.35,0.0,0.35,0.35,0.35,0.0,0.35,0.35,13.78M,13.91M,0.43
1999-12,18.20M,18.20M,,,2.10M,2.10M,,,,,,2.10M,,,,,,-6.20M,,5.10M,,,0.90M,5.10M,5.10M,,,,0.3,0.0,0.3,0.3,0.3,0.0,0.3,0.3,13.74M,13.88M,0.43
