,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,PrepaidExpenses,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,GrossLoans,NetLoanAssets,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,221.64M,221.64M,11.26M,0.593M,11.85M,20.65M,37.34M,291.48M,,,,10.90M,42.80M,,53.71M,,53.71M,,,932.75M,6.461M,703.51M,125.38M,12.53B,12.82B,370.18M,93.06M,463.25M,,463.25M,6.997M,,,,,,470.24M,5.211B,85.10M,5.296B,252.26M,280.38M,528.54M,10.21M,41.32M,5.628B,6.098B,75.39M,,6.118B,74.39M,1.228M,6.195B
2017-12,254.38M,254.38M,10.26M,0.614M,10.88M,10.97M,22.80M,299.03M,,,,11.07M,32.07M,,43.14M,,43.14M,,,672.25M,5.26M,666.69M,93.45M,11.80B,12.10B,349.88M,92.14M,442.03M,,442.03M,7.397M,,,,,0.103M,449.53M,4.765B,88.18M,4.853B,248.92M,276.88M,521.99M,11.51M,41.39M,5.183B,5.632B,75.38M,,5.824B,74.39M,50.02M,5.950B
2017-09,118.56M,118.56M,9.899M,0.635M,10.53M,11.33M,27.71M,168.14M,,,,11.44M,27.26M,,38.71M,,38.71M,,,557.01M,3.733M,622.07M,90.72M,11.38B,11.55B,338.30M,83.40M,421.70M,,421.70M,7.457M,,,,,0.583M,429.74M,4.817B,92.39M,4.909B,240.50M,268.25M,486.42M,11.42M,33.10M,5.222B,5.652B,75.33M,,5.288B,74.39M,43.86M,5.407B
2017-06,124.88M,124.88M,8.393M,0.655M,9.048M,7.03M,20.00M,160.96M,,,,11.79M,22.48M,,34.27M,,34.27M,,,520.87M,3.782M,597.35M,87.05M,11.08B,11.25B,327.36M,81.60M,408.96M,,408.96M,7.961M,,,,,0.975M,417.90M,4.775B,90.47M,4.866B,241.54M,270.58M,485.92M,11.41M,36.84M,5.185B,5.603B,75.31M,,5.059B,74.39M,22.68M,5.157B
2017-03,151.21M,151.21M,9.979M,0.674M,10.65M,14.90M,18.32M,195.08M,,,,12.30M,20.91M,,33.21M,,33.21M,,,482.61M,4.463M,580.27M,84.30M,10.67B,10.87B,391.03M,78.98M,470.01M,,470.01M,4.279M,,,,,1.813M,476.10M,4.431B,87.65M,4.518B,239.14M,267.01M,482.58M,141.32M,30.85M,4.958B,5.434B,75.28M,,4.856B,74.39M,21.46M,4.952B
2016-12,125.03M,125.03M,9.744M,0.694M,10.44M,9.724M,16.33M,161.53M,,,,12.84M,19.89M,,32.73M,,32.73M,,,430.00M,4.115M,546.15M,87.46M,10.19B,10.35B,366.17M,76.91M,443.09M,,443.09M,3.095M,,,,,3.587M,449.77M,4.164B,59.51M,4.224B,231.42M,265.84M,475.18M,11.31M,33.46M,4.534B,4.984B,217.79M,,4.673B,216.91M,5.355M,4.896B
2016-09,157.93M,157.93M,9.635M,6.876M,16.51M,13.94M,16.41M,204.79M,,,,13.38M,18.61M,,31.99M,,31.99M,,,454.57M,0.18M,525.22M,51.83M,9.089B,9.294B,269.92M,66.70M,336.62M,,336.62M,3.636M,,,,,7.705M,347.96M,4.329B,22.94M,4.352B,218.31M,253.09M,373.83M,9.012M,47.89M,4.662B,5.010B,292.56M,,3.649B,291.79M,-31.74M,3.910B
2016-03,146.20M,146.20M,9.979M,16.67M,26.65M,10.30M,14.88M,198.04M,,,,14.18M,,,14.18M,,14.18M,,,443.33M,0.025M,496.48M,60.90M,8.773B,8.972B,266.27M,64.28M,330.54M,,330.54M,5.727M,,,,,10.55M,346.81M,4.091B,24.99M,4.116B,213.07M,239.33M,307.35M,14.22M,81.61M,4.452B,4.798B,344.59M,,3.530B,343.86M,-8.533M,3.866B
2015-12,125.10M,125.10M,10.48M,16.63M,27.12M,17.65M,28.87M,198.74M,,,,13.68M,,,13.68M,,13.68M,,,480.68M,0.596M,484.56M,60.64M,8.682B,8.881B,239.84M,62.00M,301.84M,,301.84M,5.777M,,,,,4.314M,311.93M,3.936B,26.02M,3.962B,211.60M,239.27M,304.66M,14.22M,74.14M,4.289B,4.601B,367.89M,,3.558B,367.16M,49.19M,3.975B
2015-09,76.38M,76.38M,10.12M,,10.12M,,36.99M,123.50M,,,,,,,,,,,,330.57M,,490.30M,138.77M,8.614B,8.737B,143.56M,61.34M,204.90M,83.80M,288.70M,7.828M,,,,,8.679M,305.21M,4.314B,27.07M,4.341B,209.58M,236.88M,1.798M,14.22M,78.77M,4.671B,4.976B,367.88M,,3.356B,367.16M,35.24M,3.759B
2015-06,68.62M,68.62M,9.279M,,9.279M,,44.19M,122.09M,,,,,,,,,,,,360.61M,,468.14M,131.18M,8.403B,8.525B,126.51M,61.19M,187.70M,59.85M,247.55M,8.912M,,,,,3.951M,260.42M,4.093B,28.14M,4.121B,202.37M,230.15M,1.995M,14.25M,74.10M,4.440B,4.700B,367.88M,,3.371B,367.16M,83.98M,3.823B
2015-03,90.64M,90.64M,10.63M,,10.63M,,56.70M,157.97M,,,,,,,,,,,,283.06M,,443.04M,133.09M,8.247B,8.405B,156.27M,58.82M,215.09M,85.77M,300.86M,8.984M,,,,,3.417M,313.26M,3.904B,29.20M,3.933B,204.69M,231.41M,2.022M,14.28M,130.57M,4.309B,4.623B,367.88M,,3.383B,367.16M,29.21M,3.781B
2014-12,86.01M,86.01M,10.55M,20.80M,31.34M,18.08M,26.88M,162.32M,,,,9.557M,,,9.557M,,9.557M,,,353.80M,,435.92M,40.92M,7.974B,8.136B,218.94M,58.81M,277.75M,,277.75M,9.108M,,,,,0.909M,287.77M,3.679B,8.81M,3.687B,193.70M,229.93M,66.80M,14.32M,21.39M,3.953B,4.241B,367.88M,,3.461B,367.16M,-0.628M,3.828B
2014-09,67.02M,67.02M,10.83M,,10.83M,,24.24M,102.10M,,,,,,,,,,,,177.58M,,425.34M,117.67M,7.918B,8.020B,504.54M,57.55M,562.08M,,562.08M,,,,,,,562.08M,3.501B,,3.501B,,,67.57M,14.35M,,3.515B,4.078B,380.71M,,3.523B,380.00M,-28.71M,3.875B
2014-06,61.70M,61.70M,10.65M,,10.65M,,24.52M,96.87M,,,,,,,,,,,,174.80M,,408.41M,105.44M,7.719B,7.816B,434.53M,57.38M,491.90M,,491.90M,,,,,,,491.90M,3.335B,,3.335B,,,67.70M,14.38M,,3.349B,3.841B,380.71M,,3.542B,380.00M,-16.24M,3.907B
2014-03,74.97M,74.97M,10.62M,,10.62M,,30.45M,116.04M,,,,,,,,,,,,169.32M,,394.70M,145.71M,7.640B,7.756B,443.89M,55.86M,499.75M,,499.75M,,,,,,,499.75M,3.252B,,3.252B,,,67.36M,14.41M,,3.266B,3.766B,380.71M,,3.560B,380.00M,-18.43M,3.923B
2013-12,57.70M,57.70M,9.918M,,9.918M,,27.71M,95.32M,,,,,,,,,,,,140.29M,,383.08M,134.16M,7.434B,7.530B,98.04M,54.42M,152.46M,78.10M,230.56M,7.386M,,,,,6.191M,244.13M,3.061B,11.40M,3.072B,188.24M,223.38M,47.71M,14.44M,10.85M,3.321B,3.565B,380.71M,,3.572B,380.00M,-36.20M,3.917B
2013-09,53.84M,53.84M,8.671M,,8.671M,,30.65M,93.16M,,,,,,,,,,,,129.16M,,362.71M,159.57M,7.265B,7.358B,452.14M,54.41M,506.55M,,506.55M,,,,,,,506.55M,2.871B,,2.871B,,,47.47M,14.48M,,2.885B,3.392B,380.71M,,3.578B,380.00M,-40.03M,3.919B
2013-06,302.20M,302.20M,7.577M,,7.577M,,30.91M,340.70M,,,,,,,,,,,,122.60M,,341.87M,120.74M,7.039B,7.379B,368.25M,52.14M,420.39M,,420.39M,,,,,,,420.39M,2.959B,,2.959B,,,47.35M,14.50M,,2.974B,3.394B,380.71M,,3.596B,380.00M,-39.56M,3.938B
2013-03,87.00M,87.00M,9.261M,,9.261M,,30.01M,126.27M,,,,,,,,,,,,123.54M,,329.97M,135.95M,6.965B,7.091B,367.15M,43.96M,411.11M,,411.11M,,,,,,,411.11M,3.185B,,3.185B,,,47.14M,14.53M,,3.199B,3.610B,380.63M,,3.076B,380.00M,-22.89M,3.434B
2012-12,140.97M,140.97M,8.449M,,8.449M,,39.95M,189.37M,,,,,,,,,,,,115.05M,,330.44M,90.68M,6.961B,7.150B,105.52M,41.40M,146.92M,83.10M,230.02M,9.24M,,,,,20.66M,259.93M,3.182B,14.72M,3.197B,143.88M,178.29M,46.64M,14.56M,12.17M,3.402B,3.662B,380.63M,,3.086B,380.00M,-24.83M,3.442B
2012-09,94.90M,94.90M,,,10.12M,,,105.03M,,1.510B,4.683B,,211.30M,750.16M,7.154B,-854.33M,6.300B,,,,,,,6.394B,6.965B,,39.47M,39.47M,376.78M,416.25M,,413.00M,,413.00M,413.00M,,829.25M,2.619B,,2.619B,,,60.73M,,,2.619B,3.448B,380.63M,,3.095B,380.00M,-19.73M,3.456B
2012-06,80.94M,80.94M,,,6.143M,,,87.08M,,520.59M,4.600B,,1.166B,744.00M,7.031B,-822.37M,6.208B,,,,,,,6.302B,6.842B,,38.36M,38.36M,348.04M,386.39M,,379.00M,,379.00M,379.00M,,765.39M,2.620B,,2.620B,,,60.06M,,,2.620B,3.385B,380.62M,,3.053B,380.00M,-37.37M,3.397B
2012-03,77.36M,77.36M,,,8.836M,,,86.20M,,506.14M,4.473B,,1.120B,767.12M,6.867B,-779.18M,6.087B,,,,,,,6.174B,6.718B,,36.96M,36.96M,323.00M,359.96M,,167.00M,,167.00M,167.00M,,526.96M,2.622B,,2.622B,,,59.23M,129.64M,,2.752B,3.279B,380.62M,,3.022B,380.00M,-23.09M,3.380B
2011-12,78.54M,78.54M,7.48M,,7.48M,,23.33M,109.35M,,,,,,,,,,,,95.78M,,277.65M,82.91M,6.465B,6.574B,86.42M,36.58M,123.00M,37.02M,160.01M,10.22M,,,,,32.98M,203.21M,2.779B,17.92M,2.797B,103.49M,133.98M,42.56M,16.03M,6.863M,2.954B,3.157B,380.25M,,3.029B,379.64M,-34.51M,3.374B
2011-09,73.06M,73.06M,,,6.599M,,,79.66M,,,,,,,6.636B,-710.58M,5.925B,,,,,,,6.126B,6.456B,,35.29M,35.29M,330.04M,365.33M,,,,,,,365.33M,2.659B,,2.659B,,,57.36M,,,2.659B,3.025B,380.25M,0.00,3.025B,379.64M,-32.20M,3.373B
2011-06,60.92M,60.92M,,,4.487M,,,65.41M,,,,,,,6.534B,-679.08M,5.855B,,,,,,,6.040B,6.343B,,34.07M,34.07M,300.03M,334.10M,,,,,,,334.10M,2.553B,,2.553B,,,57.27M,,,2.553B,2.887B,380.25M,0.00,3.025B,379.64M,-6.272M,3.399B
2011-03,78.20M,78.20M,,,7.018M,,,85.21M,4.572B,514.72M,,,37.46M,1.021B,6.145B,-647.03M,5.498B,,,,,,,5.656B,5.983B,,31.17M,31.17M,283.01M,314.18M,,,,,,,314.18M,2.669B,,2.669B,,,57.36M,,,2.669B,2.984B,380.19M,0.36M,2.569B,379.64M,-7.193M,2.942B
2010-12,91.23M,91.23M,,,5.492M,,,96.72M,,888.78M,3.907B,,219.82M,1.046B,6.061B,-616.01M,5.445B,,,,,,,5.580B,5.906B,,31.11M,31.11M,304.26M,335.37M,,,,,,,335.37M,2.584B,,2.584B,,,57.50M,,,2.584B,2.920B,380.19M,0.734M,2.566B,379.64M,-18.34M,2.929B
2010-09,110.81M,110.81M,,,4.929M,,,115.74M,4.162B,,,,306.58M,1.357B,5.826B,-588.17M,5.238B,,,,,,,5.372B,5.749B,,25.55M,25.55M,294.83M,320.39M,,,,,,,320.39M,2.519B,,2.519B,,,41.63M,,,2.519B,2.856B,380.19M,,2.504B,379.64M,-33.35M,2.851B
2010-06,73.25M,73.25M,,,3.059M,,,76.31M,,309.51M,,,3.979B,1.395B,5.683B,-562.76M,5.121B,,,,,,,5.236B,5.565B,,23.68M,23.68M,300.04M,323.72M,,1.446B,,1.446B,1.446B,,1.770B,1.238B,,1.238B,,,58.68M,,,1.238B,3.008B,380.13M,,2.159B,379.64M,-40.38M,2.498B
2010-03,70.98M,70.98M,,,2.71M,,,73.69M,3.938B,,,,329.05M,1.327B,5.594B,-538.57M,5.055B,,,,,,,5.183B,5.469B,,21.71M,21.71M,284.83M,306.54M,,,,,,,306.54M,2.763B,,2.763B,,,41.09M,,,2.763B,0.00,380.08M,,1.988B,379.64M,-26.99M,5.427B
2009-12,70.63M,70.63M,,,3.902M,,,74.53M,,729.88M,3.250B,,179.23M,1.401B,5.560B,-520.65M,5.039B,,,,,,,5.166B,5.457B,,21.69M,21.69M,282.52M,304.20M,,,,,,,304.20M,2.747B,,2.747B,,,82.67M,,,2.747B,3.051B,380.08M,0.00,1.977B,379.64M,-33.73M,2.323B
2009-09,68.28M,68.28M,,,3.789M,,,72.07M,,470.16M,3.216B,,435.74M,1.350B,5.472B,-500.76M,4.971B,,,,,,,5.098B,5.393B,,21.66M,21.66M,325.72M,347.38M,,,,,,,347.38M,2.666B,,2.666B,,,41.29M,,,2.666B,0.00,380.08M,,1.961B,379.64M,-44.16M,5.352B
2009-06,70.31M,70.31M,,,4.665M,,,74.98M,,587.27M,3.192B,,181.10M,1.406B,5.367B,-476.97M,4.890B,,,,,,,5.006B,5.287B,,20.00M,20.00M,312.31M,332.32M,,,,,,,332.32M,2.827B,,2.827B,,,40.99M,,,2.827B,0.00,380.03M,,1.719B,379.64M,-53.01M,5.246B
2009-03,125.28M,125.28M,,,5.992M,,,131.27M,,532.96M,3.079B,,180.72M,1.452B,5.244B,-452.54M,4.792B,,,,,,,4.898B,5.235B,,37.70M,37.70M,331.72M,369.42M,,,,,,,369.42M,2.829B,,2.829B,,,40.90M,,,2.829B,3.231B,380.03M,,1.663B,379.64M,-79.87M,1.963B
2008-12,71.16M,71.16M,,,6.453M,,,77.61M,,450.81M,3.013B,,289.76M,1.399B,5.153B,-428.69M,4.724B,,,,,,,4.839B,5.132B,,32.10M,32.10M,386.80M,418.91M,,,,,,,418.91M,2.938B,,2.938B,,,41.09M,,,2.938B,3.391B,379.96M,,1.407B,379.64M,-87.24M,1.700B
2008-09,15.39M,15.39M,,,6.849M,,,22.24M,,,,,,,,,4.564B,,,,,,,4.770B,4.933B,,,312.76M,,312.76M,,,,,,,312.76M,2.805B,,2.805B,,,75.12M,,,2.805B,3.117B,379.96M,,1.377B,379.64M,-16.53M,1.741B
2008-06,7.072M,7.072M,,,6.448M,,,13.52M,,,,,,,,,4.436B,,,,,,,4.643B,4.804B,,,,,,,,,,,,,2.693B,284.53M,2.978B,,,74.79M,,,2.978B,2.978B,379.96M,,1.376B,379.64M,-4.631M,1.751B
2008-03,7.654M,7.654M,,,8.853M,,,16.51M,,,,,,,,,4.326B,,,,,,,4.529B,4.685B,,,292.62M,,292.62M,,,,,,,292.62M,2.626B,,2.626B,,,74.86M,,,2.626B,2.918B,349.96M,,1.374B,349.64M,-32.69M,1.692B
2007-12,8.03M,8.03M,,,6.759M,,,14.79M,,531.17M,2.786B,,185.73M,1.143B,4.646B,-356.02M,4.290B,,,,,,,4.410B,4.642B,,27.58M,27.58M,247.29M,274.86M,,,,,,,274.86M,2.788B,,2.788B,,,,,,2.788B,3.138B,129.95M,,1.366B,129.64M,8.093M,1.504B
2007-09,33.74M,33.74M,,,7.001M,,,40.74M,,,,,,,,,3.952B,,,,,,,4.154B,4.307B,,,253.74M,,253.74M,,,,,,,253.74M,2.503B,,2.503B,,,59.72M,,,2.503B,2.757B,129.95M,,1.334B,129.64M,26.34M,1.491B
2007-06,7.017M,7.017M,,,6.36M,,,13.38M,,,,,,,,,3.508B,,,,,,,3.707B,3.847B,,,202.00M,,202.00M,,,,,,,202.00M,2.274B,,2.274B,,,58.43M,,,2.274B,2.476B,129.93M,,1.146B,129.64M,36.16M,1.312B
2007-03,9.012M,9.012M,,,7.104M,,,16.12M,,,,,,,,,3.395B,,,,,,,3.585B,3.722B,,,195.01M,,195.01M,,,,,,,195.01M,2.177B,,2.177B,,,58.47M,,,2.177B,2.372B,129.93M,,1.142B,129.64M,19.30M,1.292B
2006-12,2.948M,2.948M,,,6.33M,,,9.278M,,,,,,,,,3.323B,,,,,,,3.499B,3.617B,,,183.48M,,183.48M,,,,,,,183.48M,2.025B,,2.025B,,,57.48M,,,2.025B,2.208B,187.43M,,1.140B,187.14M,24.60M,1.352B
2006-09,7.821M,7.821M,,,5.012M,,,12.83M,,,,,,,,,3.010B,,,,,,,3.177B,3.306B,,,173.97M,,173.97M,,,,,,,173.97M,1.721B,,1.721B,,,57.39M,,,1.721B,1.895B,187.43M,,1.140B,187.14M,25.62M,1.353B
2006-06,3.647M,3.647M,,,3.656M,,,7.303M,,,,,,,,,2.310B,,,,,,,2.545B,2.577B,,,114.12M,,114.12M,,,,,,,114.12M,1.305B,,1.305B,,,20.18M,,,1.305B,1.419B,187.40M,,909.74M,187.14M,40.10M,1.137B
2006-03,3.43M,3.43M,,,5.83M,,,9.26M,,,,,,,,,2.256B,,,,,,,2.479B,2.511B,,,113.51M,,113.51M,,,,,,,113.51M,1.544B,,1.544B,,,20.20M,,,1.544B,1.658B,187.36M,,609.12M,187.14M,36.51M,832.99M
2005-12,3.911M,3.911M,,,4.764M,,,8.675M,,,,,,,,,2.118B,,,,,,,2.333B,2.362B,,,105.87M,,105.87M,,,,,,,105.87M,1.407B,,1.407B,,,20.12M,,,1.407B,1.513B,187.36M,,607.40M,187.14M,35.03M,829.80M
2005-09,4.551M,4.551M,,,3.265M,,,7.816M,,,,,,,,,1.975B,,,,,,,2.170B,2.197B,,,84.35M,,84.35M,,,,,,,84.35M,1.272B,,1.272B,,,20.13M,,,1.272B,1.356B,187.36M,,604.36M,187.14M,28.90M,820.62M
2005-06,2.39M,2.39M,,,2.198M,,,4.588M,,,,,,,,,1.882B,,,,,,,2.067B,2.092B,,,73.45M,,73.45M,,,,,,,73.45M,1.302B,,1.302B,,,,,,1.302B,1.375B,187.35M,0.093M,520.26M,187.14M,8.607M,716.31M
2005-03,3.77M,3.77M,,,3.579M,,,7.349M,,,,,,,,,1.804B,,,,,,,1.978B,2.004B,,,74.35M,,74.35M,,,,,,,74.35M,1.218B,,1.218B,,,,,,1.218B,1.292B,187.35M,2.322M,513.00M,187.14M,9.274M,711.94M
2004-12,3.158M,3.158M,,,2.542M,,,5.70M,,,,,,,,,1.680B,,,,,,,1.849B,1.872B,,,64.86M,,64.86M,,,,,,,64.86M,1.187B,,1.187B,,,,,,1.187B,1.252B,187.33M,5.267M,421.84M,187.14M,6.037M,620.47M
2004-09,5.33M,5.33M,,,2.351M,,,7.681M,,,,,,,,,1.349B,,,,,,,1.501B,1.524B,,,62.52M,,62.52M,,,,,,,62.52M,847.05M,,847.05M,,,,,,847.05M,909.57M,187.33M,6.735M,413.57M,187.14M,6.473M,614.11M
2004-06,3.03M,3.03M,,,2.097M,,,5.127M,,,,,,,,,1.230B,,,,,,,1.361B,1.380B,,,52.02M,,52.02M,,,,,,,52.02M,684.49M,,684.49M,,,,,,684.49M,775.10M,187.33M,7.826M,410.93M,187.14M,-1.444M,604.65M
2004-03,4.356M,4.356M,,,2.504M,,,6.86M,,,,,,,,,1.148B,,,,,,,1.274B,1.295B,,,64.20M,,64.20M,,,,,,,64.20M,718.90M,,718.90M,,,,,,718.90M,783.10M,96.28M,10.12M,414.32M,96.09M,-8.995M,511.72M
2003-12,4.985M,4.985M,,,1.969M,,,6.954M,,,,,,,,,1.136B,,,,,,,1.255B,1.273B,,,56.44M,,56.44M,,,,,,,56.44M,709.01M,,709.01M,,,,,,709.01M,765.44M,96.28M,8.635M,409.93M,96.09M,-7.706M,507.14M
2003-09,3.225M,3.225M,,,1.821M,,,5.046M,,,,,,,,,1.086B,,,,,,,1.197B,1.211B,,,54.47M,,54.47M,,,,,,,54.47M,655.32M,,655.32M,,,,,,655.32M,709.78M,96.28M,,415.31M,96.09M,-10.23M,501.36M
2003-06,3.998M,3.998M,,,2.47M,,,6.468M,,,,,,,,,1.108B,,,,,,,1.215B,1.232B,,,60.47M,,60.47M,,,,,,,60.47M,681.81M,,681.81M,,,,,,681.81M,742.28M,96.28M,,402.66M,96.09M,-9.465M,489.47M
2003-03,3.674M,3.674M,,,3.306M,,,6.98M,,,,,,,,,1.093B,,,,,,,1.196B,1.211B,,,57.19M,,57.19M,,,,,,,57.19M,666.40M,,666.40M,,,,,,666.40M,723.60M,96.28M,,400.85M,96.09M,-9.437M,487.69M
2002-12,3.79M,3.79M,,,2.641M,,,6.431M,,,,,,,,,1.045B,,,,,,,1.145B,1.159B,,,58.51M,,58.51M,,,,,,,58.51M,614.88M,,614.88M,,,,,,614.88M,673.39M,96.28M,,399.83M,96.09M,-10.26M,485.85M
2002-09,3.593M,3.593M,,,1.517M,,,5.11M,,,,,,,,,966.57M,,,,,,,1.074B,1.079B,,,50.73M,,50.73M,,,,,,,50.73M,541.98M,,541.98M,,,,,,541.98M,592.71M,96.28M,,402.04M,96.09M,-11.70M,486.62M
2002-06,2.942M,2.942M,,,1.50M,,,4.442M,,,,,,,,,938.07M,,,,,,,1.027B,1.042B,,,50.46M,,50.46M,,,,,,,50.46M,584.12M,,584.12M,,,,,,584.12M,634.58M,96.26M,,318.10M,96.09M,-7.185M,407.17M
