,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData
2017-12,45.61M,,,0.678M,-0.376M,3.083M,107.71M,,107.71M,107.71M,,0.00,6.961M,-35.50M,-0.278M,-5.046M,,-30.27M,-35.60M,93.64M,,,,-77.92M,-34.40M,-4.70M,-423.36M,-50.35M,,-50.35M,570.01M,570.01M,,0.00,0.00,-82.32M,-1.302M,-83.62M,,24.45M,460.49M,146.28M,130.77M,0.144M,277.19M,570.01M,1.831B,-1.881B,0.00,25.88M
2017-09,59.55M,,,-1.045M,-14.10M,-15.14M,107.79M,,107.79M,107.79M,,0.00,7.893M,-23.22M,-1.578M,17.34M,,-19.12M,-3.364M,133.50M,,,,38.49M,-40.68M,4.25M,-332.04M,40.40M,,40.40M,245.78M,245.78M,,0.00,0.00,-80.52M,-1.302M,-81.82M,,-5.268M,199.10M,144.88M,0.549M,0.847M,146.28M,245.78M,592.61M,-552.20M,0.00,32.42M
2017-06,41.50M,,,0.414M,-0.589M,-0.175M,104.10M,,104.10M,104.10M,,0.203M,5.504M,-20.69M,1.589M,-4.64M,,-11.41M,-14.46M,116.10M,,,,-0.163M,-30.35M,-2.75M,-513.36M,343.42M,,343.42M,241.85M,241.85M,,-130.35M,-130.35M,-75.59M,-3.398M,-78.99M,,-3.861M,372.06M,169.53M,-25.20M,0.547M,144.88M,241.85M,974.26M,-630.85M,-130.35M,23.73M
2017-03,47.56M,,,-1.757M,-0.361M,-1.448M,97.18M,,97.18M,97.18M,,,5.252M,-38.65M,-0.235M,17.92M,,-20.06M,-2.371M,107.64M,,,,,-38.27M,3.20M,-468.36M,268.96M,,268.96M,217.76M,217.76M,,-17.93M,-17.93M,-73.70M,-3.617M,-77.32M,,-2.769M,388.69M,141.37M,27.98M,0.185M,169.53M,217.76M,1.637B,-1.368B,-17.93M,30.08M
2016-12,19.79M,,,-2.797M,-0.086M,-2.883M,95.22M,,95.22M,95.22M,,16.02M,6.426M,-21.12M,-1.128M,-0.841M,,-9.981M,-11.95M,101.64M,,,,-4.605M,-30.25M,60.69M,-783.10M,-388.74M,,-388.74M,1.064B,1.064B,,-108.19M,-108.19M,-62.38M,-4.927M,-67.31M,,135.92M,636.06M,157.93M,-45.41M,-0.02M,141.37M,1.064B,1.844B,-2.233B,-108.19M,26.09M
2016-09,28.56M,,,-4.356M,-0.273M,-1.399M,77.13M,,77.13M,77.13M,,8.114M,7.451M,-14.00M,-0.434M,31.37M,,-17.16M,13.78M,119.74M,,,,-0.978M,-2.266M,-54.90M,-341.34M,209.68M,,209.68M,0.00,0.00,,-39.32M,-39.32M,-62.38M,-5.401M,-67.78M,,21.58M,124.16M,256.00M,-97.43M,-0.639M,157.93M,0.00,929.61M,-719.93M,-39.32M,21.16M
2016-06,-108.12M,,,-9.676M,0.146M,-9.53M,70.17M,,70.17M,70.17M,,156.14M,6.117M,-0.47M,0.756M,-34.21M,,-10.62M,-44.07M,70.33M,,,,-5.497M,-19.65M,8.961M,-202.84M,30.89M,,30.89M,342.52M,342.52M,,-33.69M,-33.69M,-59.10M,-5.839M,-64.94M,,-32.01M,242.78M,146.20M,110.26M,-0.46M,256.00M,342.52M,1.363B,-1.333B,-33.69M,23.59M
2016-03,9.966M,,,-4.109M,0.397M,-3.712M,70.87M,,70.87M,70.87M,,28.98M,5.439M,-10.44M,0.521M,8.999M,,-8.937M,0.583M,101.78M,,,,-0.449M,-11.17M,,-171.12M,154.26M,,154.26M,25.28M,25.28M,,-25.62M,-25.62M,-56.49M,-6.247M,-62.74M,,-0.408M,90.78M,125.10M,21.44M,-0.341M,146.20M,25.28M,619.92M,-465.66M,-25.62M,14.07M
2015-12,42.98M,,,-20.16M,0.174M,-19.98M,72.24M,,72.24M,72.24M,,8.74M,4.59M,-11.49M,-0.373M,12.38M,,-13.01M,-1.008M,96.20M,,,,-1.048M,-0.434M,1.224M,-164.90M,-348.35M,,-348.35M,73.41M,73.41M,,,,-55.82M,-6.246M,-62.07M,,454.49M,117.49M,76.38M,48.78M,-0.068M,125.10M,73.41M,1.134B,-1.483B,,29.66M
2015-09,39.70M,,,-5.378M,-0.71M,-6.088M,67.95M,,67.95M,67.95M,,0.00,5.178M,-11.88M,-0.863M,33.03M,,-32.11M,0.062M,95.01M,,,,-4.797M,1.889M,8.811M,-241.45M,221.37M,,221.37M,0.00,0.00,,,,-55.68M,-6.247M,-61.92M,,-4.923M,154.52M,68.62M,8.08M,-0.314M,76.38M,0.00,521.51M,-300.14M,,19.86M
2015-06,38.43M,,,-2.121M,-0.541M,-2.473M,62.17M,,62.17M,62.17M,,0.00,4.054M,-11.51M,1.345M,-28.73M,,-18.88M,-46.27M,44.56M,,,,-0.643M,-17.49M,12.53M,-145.99M,189.14M,,189.14M,5.052M,5.052M,,,,-53.31M,-6.246M,-59.55M,,-55.19M,79.45M,90.64M,-21.98M,-0.043M,68.62M,5.052M,761.28M,-572.14M,,28.82M
2015-03,25.01M,,,-3.712M,-0.574M,-4.286M,58.92M,,58.92M,58.92M,,14.51M,3.69M,-8.082M,-0.102M,27.12M,,-10.43M,16.59M,106.84M,,,,-2.539M,-12.77M,-23.79M,-170.05M,138.65M,,138.65M,,,,,,-53.30M,-6.247M,-59.54M,,-11.44M,67.67M,86.01M,4.46M,0.17M,90.64M,,196.58M,-57.93M,,15.51M
2014-12,-6.03M,,,-9.006M,,-9.56M,57.97M,,57.97M,57.97M,,,4.624M,-7.033M,0.266M,-9.794M,,-3.469M,-13.00M,79.20M,,,,-3.233M,-19.66M,-8.002M,-160.49M,177.45M,,177.45M,,,,,,-51.85M,-6.471M,-58.32M,,-3.384M,101.33M,67.02M,20.04M,-1.055M,86.01M,,295.59M,-118.14M,,24.18M
2014-09,35.94M,,,0.221M,,0.746M,58.39M,,58.39M,58.39M,,,3.068M,-8.899M,-0.204M,36.36M,,-14.77M,21.39M,110.63M,,,,-66.12M,-5.037M,-6.233M,-201.16M,166.29M,,166.29M,,,,,,-51.67M,-6.471M,-58.14M,,-10.02M,98.13M,61.70M,7.597M,-2.275M,67.02M,,982.77M,-816.48M,,1.861M
2014-06,36.12M,,,0.564M,,0.564M,57.31M,,57.31M,57.31M,,,3.076M,-10.68M,-0.045M,-16.63M,,1.519M,-15.16M,71.23M,,,,-0.658M,-8.657M,35.64M,-110.46M,83.15M,,83.15M,,,,,,-50.15M,-6.472M,-56.62M,,-1.144M,25.38M,74.97M,-13.85M,0.577M,61.70M,,303.73M,-220.58M,,25.83M
2014-03,40.75M,,,-2.346M,,-2.346M,50.42M,,50.42M,50.42M,,,3.228M,-9.932M,-0.69M,16.72M,,-24.89M,-8.861M,73.26M,,,,-0.747M,-7.907M,-0.14M,-162.72M,142.19M,,142.19M,,,,,,-48.71M,-6.471M,-55.18M,,19.47M,106.47M,57.70M,17.01M,0.26M,74.97M,,411.03M,-268.84M,,6.093M
2013-12,44.22M,,,-5.435M,,-5.435M,48.10M,,48.10M,48.10M,,,4.011M,-5.972M,-1.248M,5.521M,,-12.85M,-8.576M,76.35M,,,,-4.106M,-9.468M,1.944M,-200.26M,190.07M,,190.07M,-1.217M,-1.217M,,,,-48.71M,-6.471M,-55.18M,,-2.961M,130.71M,53.84M,6.806M,-2.949M,57.70M,-1.217M,412.17M,-222.10M,,25.58M
2013-09,32.45M,,,-2.05M,,-0.618M,49.10M,,49.10M,49.10M,,,3.729M,-3.767M,-1.118M,43.22M,,-30.77M,11.34M,92.24M,,,,-8.699M,-4.796M,14.60M,-174.64M,-85.61M,,-85.61M,1.217M,1.217M,,,,-46.44M,-6.472M,-52.91M,,-31.37M,-168.67M,302.20M,-251.08M,2.712M,53.84M,1.217M,17.46M,-103.07M,,5.022M
2013-06,33.34M,,,-3.068M,,-2.508M,46.58M,,46.58M,46.58M,,,4.463M,-6.52M,1.665M,18.94M,,0.946M,21.55M,96.90M,,,,-3.108M,3.102M,-8.872M,-146.95M,-228.48M,,-228.48M,534.47M,534.47M,,,,-38.24M,-6.471M,-44.72M,,5.759M,267.03M,87.00M,216.99M,-1.782M,302.20M,534.47M,630.21M,-858.69M,,19.30M
2013-03,30.24M,,,0.28M,,0.28M,47.00M,,47.00M,47.00M,,,3.349M,-4.527M,-0.818M,-10.72M,,-17.55M,-29.09M,47.24M,,,,-2.074M,-8.391M,-0.017M,-69.52M,2.466M,,2.466M,,,,,,-35.69M,-6.471M,-42.16M,,8.183M,-31.51M,140.97M,-53.79M,-0.178M,87.00M,,196.22M,-193.75M,,9.964M
2012-12,28.81M,,,-1.672M,-0.026M,-1.698M,48.07M,,48.07M,48.07M,,3.651M,3.748M,-7.469M,1.656M,24.32M,,-23.04M,2.932M,78.04M,,,,-1.658M,-7.159M,2.076M,-149.70M,144.81M,,144.81M,-0.553M,-0.553M,0.00,0.00,0.00,-33.76M,-6.471M,-40.23M,0.00,14.62M,118.66M,94.90M,46.99M,-0.927M,140.97M,-0.553M,234.05M,-89.24M,0.00,22.08M
2012-09,18.30M,,,-2.234M,0.00,-2.234M,48.17M,,48.17M,48.17M,,9.799M,3.845M,-3.421M,-4.003M,16.15M,,-2.654M,9.496M,83.96M,,,,-0.124M,-3.307M,0.079M,-115.66M,38.16M,,38.16M,61.06M,61.06M,0.00,0.00,0.00,-31.95M,-7.17M,-39.12M,0.00,-12.46M,47.64M,80.94M,15.94M,-1.968M,94.90M,61.06M,101.76M,-63.60M,0.00,7.792M
2012-06,25.64M,,,-8.041M,0.00,-6.439M,52.36M,,52.36M,52.36M,,,3.274M,-3.649M,2.603M,35.23M,,-15.17M,22.66M,93.84M,,,,-1.004M,1.868M,-10.13M,-168.48M,209.16M,,209.16M,37.38M,37.38M,0.00,-129.64M,-129.64M,-30.40M,-7.089M,-37.49M,0.043M,-2.242M,77.22M,77.36M,2.576M,1.00M,80.94M,37.38M,281.15M,-71.98M,-129.64M,10.72M
2012-03,32.78M,,,-3.862M,0.026M,-3.213M,43.40M,,43.40M,43.40M,,,3.293M,-6.774M,-1.237M,-10.00M,,-8.56M,-19.80M,49.68M,,,,-3.914M,-0.653M,-1.40M,-124.25M,5.16M,,5.16M,,,124.87M,,124.87M,-30.39M,-7.089M,-37.48M,0.112M,-21.31M,71.35M,78.54M,-3.212M,2.034M,77.36M,124.87M,792.65M,-787.49M,,11.98M
2011-12,35.46M,,0.046M,-0.782M,,-0.736M,158.03M,,40.97M,40.97M,8.52M,0.00,3.306M,-5.771M,-1.031M,15.50M,-0.489M,-18.73M,-4.756M,66.99M,307.84M,,307.84M,,-5.983M,3.964M,-138.08M,340.77M,-2.591M,338.18M,0.00,0.00,,,-221.44M,-29.10M,-7.089M,-36.19M,0.952M,0.325M,81.83M,73.06M,10.74M,-5.255M,78.54M,0.00,765.68M,-424.91M,,
2011-09,33.00M,,-0.046M,-1.504M,0.00,1.192M,,,39.99M,39.99M,-0.94M,0.994M,3.344M,-7.647M,-2.333M,27.31M,0.379M,-28.43M,-3.078M,69.74M,0.00,,0.00,,-1.027M,-4.105M,-119.72M,102.27M,-2.233M,100.03M,0.001M,0.001M,,,0.00,-27.89M,-7.09M,-34.98M,0.00,-3.075M,61.98M,60.92M,12.00M,0.127M,73.06M,0.001M,282.00M,-179.73M,,
2011-06,34.31M,,0.00,-0.548M,0.00,0.70M,-36.71M,4.854M,45.22M,45.22M,-7.58M,,2.749M,-2.885M,2.501M,5.989M,-1.214M,-17.52M,-10.25M,65.76M,-226.09M,,-226.09M,,-0.121M,-1.544M,-389.52M,-117.31M,4.824M,-112.48M,451.54M,451.54M,,,0.00,-24.97M,-7.089M,-32.06M,0.369M,-1.713M,305.65M,78.20M,-18.11M,0.84M,60.92M,451.54M,1.248B,-1.366B,,
2011-03,32.62M,,0.00,-0.263M,0.00,2.232M,36.71M,-4.854M,31.85M,31.85M,,,2.356M,-6.707M,-1.496M,-6.971M,1.324M,-14.36M,-21.50M,44.47M,-81.74M,,-81.74M,,-4.019M,-0.498M,-86.26M,79.42M,,79.42M,,,,,0.00,-24.92M,-7.089M,-32.01M,0.796M,-18.50M,29.70M,91.23M,-12.09M,-0.942M,78.20M,,460.00M,-380.58M,,
2010-12,92.00M,0.048M,0.024M,-60.36M,-0.048M,-57.96M,,,34.55M,34.55M,5.504M,,2.767M,0.931M,-0.525M,3.667M,-2.258M,-0.262M,0.622M,64.55M,357.33M,-10.51M,346.82M,-0.717M,-1.771M,3.146M,-102.19M,43.38M,,43.38M,0.00,0.00,,,,-18.35M,-7.089M,-25.44M,0.204M,-0.514M,17.62M,110.81M,-20.01M,,91.23M,0.00,442.53M,-399.15M,,
2010-09,30.46M,-0.048M,0.00,-0.367M,0.048M,0.933M,,,32.01M,32.01M,-1.927M,,2.66M,-6.30M,-1.87M,-3.303M,0.303M,-20.36M,-25.24M,36.49M,-138.09M,0.00,-138.09M,-2.453M,-1.348M,2.326M,-139.56M,-179.98M,8.048M,-171.93M,342.34M,342.34M,,,,-16.38M,-7.089M,-23.47M,0.83M,-7.145M,140.63M,73.25M,37.56M,,110.81M,342.34M,183.00M,-362.98M,,
2010-06,-12.22M,,0.00,-0.22M,0.00,41.28M,,,30.34M,30.34M,-1.33M,,2.658M,-3.305M,-0.093M,5.067M,-0.224M,7.642M,12.39M,74.68M,-122.92M,0.00,-122.92M,,-2.926M,3.658M,-122.19M,86.54M,-5.262M,81.28M,,0.00,,,,-16.56M,-7.09M,-23.65M,-3.351M,-4.496M,49.78M,70.98M,2.274M,,73.25M,,148.47M,-61.93M,,
2010-03,28.78M,,-0.024M,-0.521M,-0.048M,-0.593M,,,29.74M,29.74M,-2.247M,,2.731M,-4.135M,1.187M,3.289M,2.179M,-14.75M,-8.097M,51.28M,-96.32M,10.51M,-85.81M,,-4.048M,9.048M,-80.81M,51.29M,-2.786M,48.50M,,,,,,-16.58M,-7.089M,-23.67M,5.194M,-0.146M,29.88M,70.63M,0.352M,,70.98M,,80.00M,-28.71M,,
2009-12,29.90M,0.039M,-0.393M,0.525M,,-11.98M,,,29.00M,29.00M,-1.457M,,3.194M,4.19M,-0.113M,-20.20M,2.986M,-0.748M,-18.07M,39.87M,-104.72M,31.54M,-73.18M,,-0.799M,3.35M,-70.63M,660.85M,-583.00M,77.85M,0.00,0.00,,,,-16.47M,-7.089M,-23.56M,2.715M,-23.90M,33.11M,68.28M,2.348M,,70.63M,0.00,233.88M,-156.03M,,
2009-09,26.38M,0.00,0.00,-1.34M,,10.77M,,,28.34M,28.34M,-1.51M,,4.141M,-14.36M,0.876M,18.10M,-2.57M,-16.02M,0.388M,59.12M,-99.80M,0.00,-99.80M,0.00,-3.922M,-24.86M,-128.59M,-746.41M,583.00M,-163.41M,233.53M,233.53M,,,,-16.63M,-7.09M,-23.72M,0.271M,20.76M,67.43M,70.31M,-2.033M,,68.28M,233.53M,193.00M,-356.41M,,
2009-06,44.12M,0.001M,0.00,-1.176M,,-12.92M,,,29.72M,29.72M,-1.736M,,3.694M,-2.70M,1.327M,-2.616M,-1.814M,-4.911M,-8.014M,57.27M,-108.82M,0.00,-108.82M,,0.035M,6.823M,-101.96M,231.50M,-206.00M,25.50M,0.00,0.00,,,,-30.42M,-7.089M,-37.51M,0.001M,1.736M,-10.27M,125.28M,-54.97M,,70.31M,0.00,416.95M,-391.45M,,
2009-03,41.25M,-0.04M,-2.234M,-0.109M,,-1.894M,,,31.45M,31.45M,-4.745M,,3.022M,-1.509M,0.461M,-14.53M,-0.334M,-1.974M,-16.38M,54.78M,-132.79M,11.93M,-120.86M,0.00,-2.576M,14.69M,-108.74M,-316.11M,206.00M,-110.11M,254.63M,254.63M,,,,-26.98M,-7.089M,-34.07M,0.03M,-2.396M,108.09M,71.16M,54.12M,,125.28M,254.63M,207.08M,-317.19M,,
2008-12,27.57M,,-0.006M,-1.626M,0.067M,-0.902M,,,28.48M,28.48M,-4.066M,11.27M,3.563M,-2.547M,0.396M,1.378M,,11.74M,19.16M,86.34M,-137.38M,1.796M,-135.59M,,-2.06M,,-163.42M,-267.55M,430.00M,162.45M,,0.00,0.00,,0.00,-26.78M,-7.088M,-33.87M,0.011M,4.256M,132.85M,15.39M,55.77M,,71.16M,0.00,436.29M,-273.83M,,
2008-09,27.60M,,0.00,-1.804M,0.027M,-1.777M,,,27.45M,27.45M,-1.814M,0.00,3.523M,-3.274M,-0.401M,32.72M,,-0.576M,31.74M,87.12M,-155.86M,0.00,-155.86M,,-0.49M,,-156.34M,-75.66M,187.00M,111.34M,,0.00,0.00,,0.00,-26.74M,-8.063M,-34.80M,0.538M,0.457M,77.54M,7.072M,8.319M,,15.39M,0.00,190.31M,-78.96M,,
2008-06,27.78M,,-0.182M,-2.694M,0.002M,-2.874M,,,27.00M,27.00M,-1.815M,0.00,3.055M,-3.437M,2.405M,15.55M,,-14.65M,3.302M,57.04M,-140.42M,11.07M,-129.35M,,2.203M,,-127.15M,-81.40M,149.00M,67.60M,,0.00,29.10M,,29.10M,-26.01M,-2.713M,-28.72M,1.549M,0.001M,69.52M,7.654M,-0.582M,,7.072M,29.10M,152.41M,-84.81M,,
2008-03,37.15M,,-15.56M,-2.717M,0.077M,-18.20M,,,25.81M,25.81M,-1.814M,1.985M,3.536M,-3.015M,-2.094M,-2.895M,,-18.36M,-23.34M,25.33M,-116.72M,68.05M,-48.67M,,0.652M,,-48.02M,-481.87M,320.00M,-161.87M,,0.00,213.09M,,213.09M,-25.97M,-2.714M,-28.68M,0.411M,-0.633M,22.31M,8.03M,-0.376M,,7.654M,213.09M,320.00M,-481.87M,,
2007-12,24.99M,,,-3.368M,,-5.939M,,,23.03M,23.03M,,,,-22.99M,,,,,2.975M,31.18M,-348.41M,,-277.52M,,-0.264M,,-277.79M,-924.67M,,227.33M,,83.77M,,,-57.50M,,,-30.02M,,18.57M,243.86M,10.78M,-2.75M,,8.03M,,376.23M,-148.90M,,
2007-09,22.90M,,,-2.803M,,-4.417M,,,25.68M,25.68M,,,,3.64M,,,,,9.355M,57.15M,-445.83M,,-445.83M,,1.701M,,-444.13M,228.24M,,228.24M,,187.30M,,,,,,-25.18M,,0.381M,390.74M,7.017M,3.763M,,10.78M,,651.00M,-422.76M,,
2007-06,24.05M,,,-3.072M,,-5.412M,,,24.10M,24.10M,,,,3.458M,,,,,3.286M,49.48M,-123.69M,,-123.69M,,0.17M,,-123.52M,97.29M,,97.29M,,-57.28M,,,57.50M,,,-24.52M,,-0.943M,72.05M,9.012M,-1.995M,,7.017M,,291.70M,-194.41M,,
2007-03,21.78M,,,-2.787M,,-3.908M,,,24.53M,24.53M,,,,3.808M,,,,,-14.30M,31.91M,-87.32M,,-87.32M,,1.426M,,-85.89M,142.70M,,142.70M,,1.40M,,,-57.50M,,,-26.64M,,0.086M,60.04M,2.948M,6.064M,,9.012M,,524.80M,-382.10M,,
2006-12,20.54M,,,-2.826M,,-2.826M,,,23.47M,23.47M,,,,3.496M,,,,,4.062M,48.74M,-329.05M,,-329.05M,,1.125M,,-327.92M,299.46M,,299.46M,,0.664M,,,,,,-25.06M,,-0.75M,274.31M,7.821M,-4.873M,,2.948M,,971.50M,-672.04M,,
2006-09,18.96M,,,-2.551M,,-2.551M,,,20.99M,20.99M,,,,1.82M,,,,,-9.312M,29.91M,-433.40M,,-433.40M,,4.222M,,-429.18M,192.96M,,192.96M,,233.52M,,,,,,-22.64M,,-0.394M,403.44M,3.647M,4.174M,,7.821M,,758.10M,-565.14M,,
2006-06,17.16M,,,-2.393M,,-2.452M,,,17.07M,17.07M,,,,4.025M,,,,,-20.26M,15.54M,-62.32M,,-62.32M,,3.292M,,-59.03M,-239.32M,,-239.32M,,303.39M,,,,,,-19.97M,,-0.392M,43.70M,3.43M,0.217M,,3.647M,,112.50M,-351.82M,,
2006-03,16.76M,,,,,,,,16.15M,16.15M,,,,1.487M,,,,,-0.191M,34.20M,-153.51M,,-153.51M,,-0.951M,,-154.46M,138.09M,,138.09M,,1.992M,,,,,,-19.91M,,-0.392M,119.78M,3.911M,-0.481M,,3.43M,,274.00M,-135.91M,,
2005-12,16.18M,,,1.288M,,-0.523M,,,16.60M,16.60M,,,,0.799M,,,,,0.952M,34.01M,-149.68M,,-149.68M,,-0.23M,1.323M,-148.59M,133.17M,,133.17M,,0.385M,,,,,,-19.62M,,,113.94M,4.551M,-0.64M,,3.911M,,582.11M,-448.94M,,
