,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2005-09,203.00M,10.09B,10.30B,,,17.54B,,27.83B,4.884B,,296.50M,296.50M,,44.61B,719.90M,54.39B,74.64B,,,4.568B,4.568B,69.30M,69.30M,69.30M,,,4.637B,5.167B,,5.167B,,,,,43.55B,4.343B,1.768B,53.06B,60.04B,186.40M,10.49B,1.816B,7.70M,,,12.82B
2005-06,326.40M,9.506B,9.832B,,,18.09B,,27.92B,4.864B,,284.40M,284.40M,,43.41B,654.20M,53.30B,74.18B,,,5.100B,5.100B,99.10M,99.10M,99.10M,,,5.199B,5.140B,,5.140B,,,,,42.93B,4.414B,1.750B,52.49B,59.53B,186.40M,10.25B,1.808B,7.70M,,,12.90B
2005-03,186.10M,9.964B,10.15B,,,18.71B,,28.86B,4.803B,,284.40M,284.40M,,42.79B,778.10M,52.64B,74.12B,,,4.423B,4.423B,2.208B,2.208B,2.208B,,,6.631B,4.875B,,4.875B,,,,1.186B,43.19B,4.447B,1.675B,53.69B,60.29B,186.30M,9.870B,1.805B,7.70M,,,12.15B
2004-12,219.90M,8.307B,8.527B,,,18.81B,,27.33B,4.841B,,294.10M,294.10M,,42.47B,624.90M,52.26B,73.75B,,,3.639B,3.639B,1.010B,1.010B,1.010B,,,4.649B,5.980B,,5.980B,,,,918.00M,43.65B,4.522B,1.682B,55.07B,59.88B,185.60M,9.617B,1.801B,7.70M,,586.90M,12.18B
2004-09,139.10M,8.786B,8.925B,,,18.89B,,27.82B,3.763B,295.00M,,295.00M,,41.30B,674.80M,49.87B,71.46B,,,4.544B,4.544B,1.056B,1.056B,1.056B,,,5.600B,4.777B,,4.777B,,,,115.80M,43.39B,4.381B,1.647B,52.66B,58.36B,186.10M,9.168B,1.515B,7.70M,,,11.45B
2004-06,190.70M,5.717B,5.908B,,,21.32B,,27.23B,3.778B,298.30M,,298.30M,,38.54B,996.10M,47.52B,71.95B,,,5.223B,5.223B,,,,,,5.223B,5.579B,,5.579B,,,,970.10M,43.59B,4.610B,1.607B,54.75B,59.66B,185.50M,8.945B,1.515B,7.70M,,,10.68B
2004-03,133.30M,10.33B,10.46B,,,19.14B,,29.60B,3.826B,307.50M,,307.50M,,40.19B,599.50M,55.59B,77.56B,,,6.222B,6.222B,,,,,,6.222B,6.105B,,6.105B,,,,370.60M,42.37B,4.833B,1.665B,53.68B,64.77B,186.10M,8.592B,1.514B,7.70M,,,11.12B
2003-12,,,,,,,,,,,,,,,,,77.67B,,,,,,,,,,,,,,,,,,,,,,66.82B,,,,,,,10.86B
2003-09,233.40M,12.96B,13.19B,,,19.89B,,33.09B,3.862B,442.90M,,442.90M,,42.72B,425.60M,51.05B,77.79B,,,4.72B,4.72B,,,,,,4.72B,6.075B,,6.075B,,,,880.60M,46.05B,5.237B,1.710B,58.25B,65.60B,185.40M,8.289B,1.114B,7.70M,,,10.48B
2003-06,187.70M,9.192B,9.380B,,,17.74B,,27.12B,3.896B,446.70M,,446.70M,,41.49B,139.30M,51.58B,75.70B,,,4.958B,4.958B,,,,,,4.958B,6.076B,,6.076B,,,,1.390B,41.45B,5.198B,1.956B,54.12B,61.51B,185.80M,9.718B,1.114B,7.70M,,,12.23B
