,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,3.401B,3.401B,2.149B,1.252B,742.00M,,69.00M,-69.00M,742.00M,510.00M,69.00M,-69.00M,70.00M,-69.00M,511.00M,67.00M,444.00M,,0.00,444.00M,444.00M,702.00M,122.00M,580.00M,1.28,,,,1.28,1.28,1.27,,,,1.27,1.27,346.00M,348.00M,0.54
2017-12,3.185B,3.185B,2.043B,1.142B,753.00M,,68.00M,-68.00M,753.00M,389.00M,68.00M,-68.00M,258.00M,-68.00M,579.00M,164.00M,417.00M,,0.00,417.00M,417.00M,762.00M,115.00M,647.00M,1.24,,,,1.24,1.24,1.23,,,,1.23,1.23,348.00M,348.00M,0.54
2017-09,3.246B,3.246B,2.074B,1.172B,839.00M,,64.00M,-64.00M,839.00M,333.00M,64.00M,-64.00M,117.00M,-64.00M,386.00M,101.00M,288.00M,,0.00,288.00M,288.00M,576.00M,126.00M,450.00M,0.83,,,,0.83,0.83,0.83,,,,0.83,0.83,345.00M,348.00M,0.54
2017-06,3.175B,3.175B,1.95B,1.225B,840.00M,,63.00M,-63.00M,840.00M,385.00M,63.00M,-63.00M,63.00M,-63.00M,385.00M,102.00M,283.00M,,0.00,283.00M,283.00M,567.00M,119.00M,448.00M,0.81,,,,0.81,0.81,0.8,,,,0.8,0.8,349.00M,352.00M,0.52
2017-03,3.248B,3.248B,2.088B,1.16B,880.00M,,61.00M,-61.00M,880.00M,280.00M,61.00M,-61.00M,88.00M,-61.00M,307.00M,43.00M,266.00M,,,266.00M,266.00M,489.00M,121.00M,368.00M,0.76,,,,0.76,0.76,0.75,,,,0.75,0.75,351.00M,354.00M,0.52
2016-12,3.048B,3.048B,1.993B,1.055B,869.00M,,63.00M,-63.00M,869.00M,186.00M,63.00M,-63.00M,-150.00M,-63.00M,-27.00M,20.00M,-47.00M,,,-48.00M,-48.00M,196.00M,160.00M,36.00M,-0.15,,,,-0.15,-0.15,-0.15,,,,-0.15,-0.15,350.00M,354.00M,0.52
2016-09,3.254B,3.254B,1.99B,1.264B,854.00M,,58.00M,-58.00M,854.00M,410.00M,58.00M,-58.00M,3.00M,-58.00M,355.00M,62.00M,292.00M,,,292.00M,292.00M,519.00M,106.00M,413.00M,0.83,,,,0.83,0.83,0.82,,,,0.82,0.82,350.00M,354.00M,0.52
2016-06,3.268B,3.268B,1.998B,1.27B,821.00M,,68.00M,-68.00M,821.00M,449.00M,68.00M,-68.00M,4.00M,-68.00M,385.00M,106.00M,280.00M,,,280.00M,280.00M,589.00M,136.00M,453.00M,0.8,,,,0.8,0.8,0.79,,,,0.79,0.79,350.00M,354.00M,0.5
2016-03,3.395B,3.395B,2.15B,1.245B,807.00M,,217.00M,-217.00M,807.00M,438.00M,217.00M,-217.00M,,-217.00M,221.00M,47.00M,175.00M,,,175.00M,175.00M,553.00M,115.00M,438.00M,0.5,,,,0.5,0.5,0.49,,,,0.49,0.49,351.00M,355.00M,0.5
2015-12,3.142B,3.142B,2.18B,962.00M,1.001B,,59.00M,-59.00M,1.001B,-39.00M,59.00M,-59.00M,-13.00M,-59.00M,-111.00M,-68.00M,-40.00M,,-1.00M,-41.00M,-41.00M,95.00M,147.00M,-52.00M,-0.12,,,,-0.12,-0.12,-0.12,,,,-0.12,-0.12,354.00M,356.00M,0.5
2015-09,3.329B,3.329B,2.096B,1.233B,899.00M,,56.00M,-56.00M,899.00M,334.00M,56.00M,-56.00M,-6.00M,-56.00M,272.00M,66.00M,205.00M,,,205.00M,205.00M,446.00M,118.00M,328.00M,0.58,,,,0.58,0.58,0.58,,,,0.58,0.58,354.00M,356.00M,0.5
2015-06,3.498B,3.498B,2.257B,1.241B,829.00M,,58.00M,-58.00M,829.00M,412.00M,58.00M,-58.00M,-46.00M,-58.00M,308.00M,85.00M,222.00M,,1.00M,223.00M,223.00M,504.00M,138.00M,366.00M,0.63,,,,0.63,0.63,0.63,,,,0.63,0.63,353.00M,355.00M,0.49
2015-03,3.556B,3.556B,2.311B,1.245B,861.00M,,54.00M,-54.00M,861.00M,384.00M,54.00M,-54.00M,-26.00M,-54.00M,304.00M,76.00M,227.00M,,0.00,227.00M,227.00M,489.00M,131.00M,358.00M,0.64,,,,0.64,0.64,0.64,,,,0.64,0.64,355.00M,357.00M,0.49
2014-12,3.514B,3.514B,2.658B,856.00M,1.278B,,53.00M,-53.00M,1.278B,-422.00M,53.00M,-53.00M,-4.00M,-53.00M,-479.00M,-187.00M,-293.00M,,0.00,-293.00M,-293.00M,-298.00M,128.00M,-426.00M,-0.82,,,,-0.82,-0.82,-0.82,,,,-0.82,-0.82,355.00M,357.00M,0.49
2014-09,3.639B,3.639B,2.347B,1.292B,927.00M,,54.00M,-54.00M,927.00M,365.00M,54.00M,-54.00M,1.00M,-54.00M,312.00M,86.00M,225.00M,,-1.00M,224.00M,224.00M,506.00M,140.00M,366.00M,0.63,,,,0.63,0.63,0.62,,,,0.62,0.62,358.00M,360.00M,0.49
2014-06,3.685B,3.685B,2.274B,1.411B,944.00M,,50.00M,-50.00M,944.00M,467.00M,50.00M,-50.00M,3.00M,-50.00M,420.00M,122.00M,295.00M,,0.00,295.00M,295.00M,589.00M,119.00M,470.00M,0.82,,,,0.82,0.82,0.82,,,,0.82,0.82,359.00M,362.00M,0.46
2014-03,3.742B,3.742B,2.238B,1.504B,890.00M,,52.00M,-52.00M,890.00M,614.00M,52.00M,-52.00M,10.00M,-52.00M,572.00M,165.00M,406.00M,,0.00,406.00M,406.00M,740.00M,116.00M,624.00M,1.13,,,,1.13,1.13,1.12,,,,1.12,1.12,360.00M,362.00M,0.46
2013-12,3.501B,3.501B,1.718B,1.783B,523.00M,,58.00M,-58.00M,523.00M,1.26B,58.00M,-58.00M,12.00M,-58.00M,1.214B,394.00M,819.00M,,-1.00M,818.00M,818.00M,1.464B,192.00M,1.272B,2.26,,,,2.26,2.26,2.24,,,,2.24,2.24,363.00M,363.00M,0.46
2013-09,3.716B,3.716B,2.266B,1.45B,946.00M,,56.00M,-56.00M,946.00M,504.00M,56.00M,-56.00M,4.00M,-56.00M,452.00M,124.00M,326.00M,,0.00,326.00M,326.00M,622.00M,114.00M,508.00M,0.9,,,,0.9,0.9,0.9,,,,0.9,0.9,362.00M,364.00M,0.46
2013-06,3.714B,3.714B,2.237B,1.477B,907.00M,,61.00M,-61.00M,907.00M,570.00M,61.00M,-61.00M,-5.00M,-61.00M,504.00M,150.00M,352.00M,,0.00,352.00M,352.00M,678.00M,113.00M,565.00M,0.96,,,,0.96,0.96,0.96,,,,0.96,0.96,364.00M,367.00M,0.44
2013-03,3.861B,3.861B,2.468B,1.393B,890.00M,,60.00M,-60.00M,890.00M,503.00M,60.00M,-60.00M,-7.00M,-60.00M,436.00M,124.00M,311.00M,,0.00,311.00M,311.00M,609.00M,113.00M,496.00M,0.86,,,,0.86,0.86,0.85,,,,0.85,0.85,363.00M,366.00M,0.44
2012-12,3.563B,3.563B,2.387B,1.176B,1.173B,,66.00M,-66.00M,1.173B,3.00M,66.00M,-66.00M,-6.00M,-66.00M,-69.00M,-37.00M,-32.00M,,0.00,-32.00M,-32.00M,143.00M,146.00M,-3.00M,-0.09,,,,-0.09,-0.09,-0.09,,,,-0.09,-0.09,361.00M,363.00M,0.44
2012-09,3.72B,3.72B,2.254B,1.466B,953.00M,,73.00M,-73.00M,953.00M,513.00M,73.00M,-73.00M,10.00M,-73.00M,450.00M,131.00M,318.00M,,0.00,318.00M,318.00M,631.00M,108.00M,523.00M,0.89,,,,0.89,0.89,0.89,,,,0.89,0.89,358.00M,359.00M,0.44
2012-06,3.474B,3.474B,2.035B,1.439B,920.00M,,89.00M,-89.00M,920.00M,519.00M,89.00M,-89.00M,7.00M,-89.00M,437.00M,113.00M,324.00M,,0.00,324.00M,324.00M,625.00M,99.00M,526.00M,0.91,,,,0.91,0.91,0.9,,,,0.9,0.9,357.00M,359.00M,0.43
2012-03,3.44B,3.44B,2.087B,1.353B,826.00M,,33.00M,-33.00M,826.00M,527.00M,33.00M,-33.00M,13.00M,-33.00M,507.00M,156.00M,351.00M,,0.00,351.00M,351.00M,635.00M,95.00M,540.00M,0.98,,,,0.98,0.98,0.98,,,,0.98,0.98,357.00M,359.00M,0.43
2011-12,3.015B,3.015B,2.077B,938.00M,1.09B,,55.00M,-55.00M,1.09B,-152.00M,55.00M,-55.00M,0.00,-55.00M,-207.00M,-74.00M,-133.00M,,0.00,-133.00M,-133.00M,-53.00M,99.00M,-152.00M,0.65,,,,0.65,0.65,0.64,,,,0.64,0.64,359.00M,361.00M,0.43
2011-09,3.312B,3.312B,1.962B,1.35B,886.00M,,58.00M,-58.00M,886.00M,464.00M,58.00M,-58.00M,-9.00M,-58.00M,397.00M,107.00M,290.00M,,0.00,290.00M,290.00M,550.00M,95.00M,455.00M,0.81,,,,0.81,0.81,0.8,,,,0.8,0.8,360.00M,363.00M,0.43
2011-06,3.386B,3.386B,1.943B,1.443B,900.00M,,53.00M,-53.00M,900.00M,543.00M,53.00M,-53.00M,-1.00M,-53.00M,489.00M,147.00M,342.00M,,1.00M,343.00M,343.00M,628.00M,86.00M,542.00M,0.94,,,,0.94,0.94,0.94,,,,0.94,0.94,363.00M,366.00M,0.405
2011-03,3.485B,3.485B,2.064B,1.421B,849.00M,,67.00M,-67.00M,849.00M,572.00M,67.00M,-67.00M,,-67.00M,505.00M,140.00M,365.00M,,1.00M,366.00M,366.00M,661.00M,89.00M,572.00M,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,365.00M,368.00M,0.405
2010-12,2.86B,2.86B,1.617B,1.243B,867.00M,,60.00M,-60.00M,867.00M,376.00M,60.00M,-60.00M,-8.00M,-60.00M,308.00M,83.00M,225.00M,,4.00M,229.00M,229.00M,495.00M,127.00M,368.00M,0.63,,,,0.63,0.63,0.62,,,,0.62,0.62,370.00M,370.00M,0.405
2010-09,3.157B,3.157B,1.788B,1.369B,828.00M,1.00M,62.00M,-62.00M,828.00M,541.00M,62.00M,-62.00M,1.00M,-62.00M,480.00M,143.00M,337.00M,,1.00M,338.00M,337.30M,629.00M,87.00M,542.00M,0.91,0.0,,,0.9081,0.91,0.9,0.0,,,0.8981,0.9,373.00M,376.00M,0.405
2010-06,3.062B,3.062B,1.757B,1.305B,822.00M,7.00M,61.00M,-61.00M,822.00M,483.00M,61.00M,-61.00M,7.00M,-61.00M,429.00M,128.00M,301.00M,,1.00M,302.00M,297.09M,581.00M,91.00M,490.00M,0.8,0.0,,,0.7871,0.8,0.79,0.0,,,0.7772,0.79,381.00M,384.00M,0.375
2010-03,3.318B,3.318B,1.893B,1.425B,788.00M,1.00M,65.00M,-65.00M,788.00M,637.00M,65.00M,-65.00M,1.00M,-65.00M,573.00M,156.00M,417.00M,,1.00M,418.00M,417.27M,725.00M,87.00M,638.00M,1.1,0.0,,,1.0979999999999999,1.1,1.09,0.0,,,1.088,1.09,380.00M,384.00M,0.375
2009-12,2.90B,2.90B,1.655B,1.245B,893.00M,,96.00M,-96.00M,893.00M,352.00M,96.00M,-96.00M,-21.00M,-96.00M,235.00M,60.00M,176.00M,,0.00,176.00M,176.00M,433.00M,102.00M,331.00M,0.46,,,,0.46,0.46,0.46,,,,0.46,0.46,382.00M,387.00M,0.375
2009-09,3.277B,3.277B,1.837B,1.44B,873.00M,,65.00M,-65.00M,873.00M,567.00M,65.00M,-65.00M,-10.00M,-65.00M,492.00M,132.00M,360.00M,,1.00M,361.00M,361.00M,650.00M,93.00M,557.00M,0.94,,,,0.94,0.94,0.94,,,,0.94,0.94,382.00M,384.00M,0.375
2009-06,3.229B,3.229B,1.825B,1.404B,851.00M,,67.00M,-67.00M,851.00M,553.00M,67.00M,-67.00M,9.00M,-67.00M,495.00M,141.00M,353.00M,,1.00M,354.00M,354.00M,667.00M,105.00M,562.00M,0.93,,,,0.93,0.93,0.92,,,,0.92,0.92,383.00M,383.00M,0.34
2009-03,3.169B,3.169B,1.867B,1.302B,773.00M,,67.00M,-67.00M,773.00M,529.00M,67.00M,-67.00M,,-67.00M,462.00M,143.00M,319.00M,,2.00M,321.00M,321.00M,613.00M,84.00M,529.00M,0.84,,,,0.84,0.84,0.84,,,,0.84,0.84,382.00M,383.00M,0.34
2008-12,2.933B,2.933B,1.777B,1.156B,811.00M,,78.00M,-78.00M,811.00M,345.00M,78.00M,-78.00M,-7.00M,-78.00M,260.00M,82.00M,178.00M,,1.00M,179.00M,179.00M,439.00M,101.00M,338.00M,0.47,,,,0.47,0.47,0.47,,,,0.47,0.47,382.00M,385.00M,0.34
2008-09,3.288B,3.288B,1.885B,1.403B,870.00M,12.00M,71.00M,-71.00M,870.00M,533.00M,71.00M,-71.00M,12.00M,-71.00M,474.00M,133.00M,341.00M,,1.00M,342.00M,333.37M,637.00M,92.00M,545.00M,0.9,0.0,,,0.8773,0.9,0.89,0.0,,,0.8675,0.89,380.00M,384.00M,0.34
2008-06,3.343B,3.343B,1.899B,1.444B,914.00M,-8.00M,77.00M,-77.00M,914.00M,530.00M,77.00M,-77.00M,-8.00M,-77.00M,445.00M,-133.00M,312.00M,,0.00,312.00M,317.20M,610.00M,88.00M,522.00M,0.82,0.0,,,0.8337,0.82,0.82,0.0,,,0.8336,0.82,379.00M,382.00M,0.31
2008-03,3.258B,3.258B,1.894B,1.364B,819.00M,-11.00M,82.00M,-82.00M,819.00M,545.00M,82.00M,-82.00M,-11.00M,-82.00M,452.00M,137.00M,315.00M,,0.00,315.00M,322.67M,628.00M,94.00M,534.00M,0.82,0.0,,,0.8399,0.82,0.81,0.0,,,0.8297,0.81,386.00M,389.00M,0.31
2007-12,2.794B,2.794B,1.598B,1.196B,837.00M,,,,837.00M,359.00M,,,-7.00M,,266.00M,90.00M,176.00M,,,176.00M,176.00M,454.00M,97.00M,357.00M,0.45,,,,0.45,0.45,0.45,,,,0.45,0.45,393.00M,397.00M,0.31
2007-09,3.004B,3.004B,1.662B,1.342B,850.00M,3.00M,,,850.00M,492.00M,,,3.00M,,416.00M,111.00M,305.00M,,,305.00M,302.80M,582.00M,90.00M,492.00M,0.77,0.0,,,0.7644,0.77,0.76,0.0,,,0.7545,0.76,395.00M,399.00M,0.31
2007-06,3.015B,3.015B,1.638B,1.377B,859.00M,,,,859.00M,518.00M,,,,,442.00M,141.00M,301.00M,,,301.00M,301.00M,616.00M,98.00M,518.00M,0.76,0.0,,,0.76,0.76,0.75,0.0,,,0.75,0.75,397.00M,401.00M,0.29100000000000004
2007-03,2.963B,2.963B,1.699B,1.264B,765.00M,,78.00M,-78.00M,765.00M,499.00M,78.00M,-78.00M,2.00M,-78.00M,423.00M,102.00M,321.00M,,,321.00M,321.00M,588.00M,87.00M,501.00M,0.81,,,,0.81,0.81,0.8,,,,0.8,0.8,398.00M,401.00M,0.29100000000000004
2006-12,2.584B,2.584B,1.465B,1.119B,774.00M,,,,774.00M,345.00M,,,2.00M,,267.00M,84.00M,182.00M,,,182.00M,182.00M,453.00M,95.00M,358.00M,0.46,,,,0.46,0.46,0.45,,,,0.45,0.45,397.00M,403.00M,0.29100000000000004
2006-09,2.823B,2.823B,1.549B,1.274B,787.00M,2.00M,,,787.00M,487.00M,,,2.00M,,414.00M,133.00M,281.00M,,,281.00M,279.64M,572.00M,85.00M,487.00M,0.71,0.0,,,0.7066,0.71,0.7,0.0,,,0.6966,0.7,397.00M,400.00M,0.29100000000000004
2006-06,2.773B,2.773B,1.538B,1.235B,774.00M,4.00M,,,774.00M,461.00M,,,4.00M,,388.00M,122.00M,267.00M,,,267.00M,264.26M,553.00M,92.00M,461.00M,0.68,0.0,,,0.673,0.68,0.67,0.0,,,0.6631,0.67,394.00M,397.00M,0.2775
2006-03,2.727B,2.727B,1.53B,1.197B,724.00M,5.00M,,,724.00M,473.00M,,,5.00M,,403.00M,129.00M,274.00M,,,274.00M,270.60M,554.00M,81.00M,473.00M,0.69,0.0,,,0.6815,0.69,0.68,0.0,,,0.6715,0.68,399.00M,401.60M,0.2775
2005-12,2.394B,2.394B,1.350B,1.044B,700.50M,-5.80M,,,700.50M,344.00M,,,-5.80M,,271.30M,79.30M,192.00M,,,192.00M,196.10M,444.20M,100.20M,344.00M,0.47,0.0,,,0.48,0.47,0.47,0.0,,,0.48,0.47,408.66M,411.82M,0.2775
2005-09,2.623B,2.623B,1.437B,1.186B,720.30M,-5.70M,,,720.30M,465.70M,,,-5.70M,,392.00M,117.70M,274.30M,,,274.30M,278.29M,562.70M,97.00M,465.70M,0.66,0.0,,,0.6696,0.66,0.66,0.0,,,0.6696,0.66,413.40M,416.70M,0.2775
2005-06,2.587B,2.587B,1.389B,1.199B,726.10M,3.90M,,,726.10M,472.50M,,,3.90M,,387.20M,128.20M,259.00M,,,259.00M,256.39M,565.70M,93.20M,472.50M,0.63,0.0,,,0.6237,0.63,0.62,0.0,,,0.6137,0.62,412.00M,415.80M,0.2525
2005-03,2.572B,2.572B,1.436B,1.136B,668.10M,-17.40M,,,668.10M,467.80M,,,-17.40M,,374.50M,119.80M,254.70M,,,254.70M,266.53M,569.40M,101.60M,467.80M,0.62,0.0,,,0.6486,0.62,0.61,0.0,,,0.6384,0.61,413.10M,417.20M,0.2525
2004-12,2.391B,2.391B,1.317B,1.074B,708.10M,3.20M,,,708.10M,365.70M,,,3.20M,,290.80M,104.40M,186.40M,,,186.40M,184.35M,464.50M,98.80M,365.70M,0.45,0.0,,,0.445,0.45,0.45,0.0,,,0.4451,0.45,412.90M,418.20M,0.2525
2004-09,2.445B,2.445B,1.319B,1.126B,669.40M,-3.50M,,,669.40M,456.80M,,,-3.50M,,377.10M,130.10M,247.00M,,,247.00M,249.29M,570.10M,113.30M,456.80M,0.6,0.0,,,0.6056,0.6,0.59,0.0,,,0.5955,0.59,412.40M,416.70M,0.2525
2004-06,2.387B,2.387B,1.307B,1.080B,641.80M,-5.00M,,,641.80M,438.40M,,,-5.00M,,357.30M,119.90M,237.40M,,,237.40M,240.72M,550.80M,112.40M,438.40M,0.58,0.0,,,0.5881,0.58,0.57,0.0,,,0.578,0.57,411.80M,416.50M,0.2525
2004-03,2.390B,2.390B,1.356B,1.035B,614.80M,-1.30M,,,614.80M,420.20M,,,-1.30M,,340.70M,120.90M,219.80M,,,219.80M,220.64M,505.70M,85.50M,420.20M,0.54,0.0,,,0.542,0.54,0.53,0.0,,,0.532,0.53,410.80M,414.40M,0.2525
2003-12,2.135B,2.135B,1.188B,946.90M,595.10M,-5.40M,,,595.10M,351.80M,,,-5.40M,,243.50M,55.50M,188.00M,,,188.00M,192.17M,452.60M,100.80M,351.80M,0.46,0.0,,,0.4702,0.46,0.46,0.0,,,0.4701,0.46,408.80M,412.00M,0.2525
2003-09,2.282B,2.282B,1.248B,1.034B,603.20M,7.60M,,,603.20M,430.80M,,,7.60M,,351.40M,120.10M,231.30M,,,231.30M,226.30M,519.10M,88.30M,430.80M,0.57,0.0,,,0.5577,0.57,0.56,0.0,,,0.5478,0.56,408.30M,410.90M,0.2525
2003-06,2.247B,2.247B,1.232B,1.015B,601.20M,-6.10M,,,601.20M,414.10M,,,-6.10M,,318.50M,114.60M,203.90M,,,203.90M,207.81M,512.10M,98.00M,414.10M,0.5,0.0,,,0.5096,0.5,0.5,0.0,,,0.5095,0.5,406.90M,409.20M,0.2525
2003-03,2.148B,2.148B,1.231B,916.40M,569.00M,0.70M,,,569.00M,347.40M,,,0.70M,,256.10M,92.20M,163.90M,,,163.90M,163.45M,433.10M,85.70M,347.40M,0.4,0.0,,,0.3989,0.4,0.4,0.0,,,0.3989,0.4,407.70M,409.30M,0.2525
2002-12,1.981B,1.981B,1.067B,913.80M,520.00M,2.90M,,,520.00M,393.80M,,,2.90M,,302.70M,111.70M,191.00M,,,191.00M,189.17M,481.80M,88.00M,393.80M,0.47,0.0,,,0.4655,0.47,0.46,0.0,,,0.4556,0.46,403.35M,413.57M,0.2525
2002-09,2.136B,2.136B,1.163B,973.10M,558.30M,8.10M,,,558.30M,414.80M,,,8.10M,,320.70M,117.20M,203.50M,,,203.50M,198.36M,505.40M,90.60M,414.80M,0.5,0.0,,,0.4874,0.5,0.49,0.0,,,0.4775,0.49,409.40M,412.00M,0.2525
2002-06,2.125B,2.125B,1.162B,963.60M,591.20M,2.00M,,,591.20M,372.40M,,,2.00M,,277.50M,103.70M,173.80M,,,173.80M,172.55M,455.20M,82.80M,372.40M,0.42,0.0,,,0.4169,0.42,0.42,0.0,,,0.417,0.42,409.20M,412.60M,0.2525
2002-03,2.062B,2.062B,1.177B,884.60M,557.50M,14.40M,,,557.50M,327.10M,,,14.40M,,243.40M,90.80M,152.60M,,,152.60M,143.57M,414.10M,87.00M,327.10M,0.37,0.0,,,0.3478,0.37,0.37,0.0,,,0.3479,0.37,407.10M,409.40M,0.2525
2001-12,1.897B,1.897B,1.035B,862.10M,564.70M,8.60M,,,564.70M,297.40M,,,8.60M,,206.30M,81.70M,124.60M,0.00,,124.60M,119.41M,416.40M,119.00M,297.40M,0.29,0.02,0.0,-0.0,0.2771,0.31,0.28,0.02,-0.0,-0.0,0.2674,0.3,401.45M,413.00M,0.2525
2001-09,2.191B,2.191B,1.202B,988.90M,641.90M,1.10M,,,641.90M,347.00M,,,1.10M,,243.90M,93.60M,150.30M,,,150.30M,149.62M,481.50M,134.50M,347.00M,0.37,0.0,,,0.3683,0.37,0.37,0.0,,,0.3683,0.37,406.20M,408.30M,0.2525
2001-06,1.989B,1.989B,1.122B,867.00M,565.70M,-8.90M,,,565.70M,301.30M,,,-8.90M,,185.50M,70.90M,114.60M,,,114.60M,120.10M,415.90M,114.60M,301.30M,0.28,0.0,,,0.2935,0.28,0.28,0.0,,,0.2935,0.28,405.90M,406.30M,0.2525
2001-03,1.472B,1.472B,852.70M,619.00M,363.50M,-46.40M,,,363.50M,255.50M,,,-46.40M,,168.40M,75.90M,92.50M,-1.00M,,84.10M,120.34M,326.00M,70.50M,255.50M,0.23,-0.02,0.0,-0.0182,0.2986,0.21,0.21,-0.02,-0.0025,-0.0182,0.2786,0.19,405.70M,406.10M,0.2525
2000-12,688.00M,688.00M,1.057B,-368.90M,-354.70M,-57.60M,,,-572.00M,203.10M,,,-57.60M,,110.40M,17.20M,93.20M,,,93.20M,141.83M,276.40M,73.30M,203.10M,0.23,,,,0.3502,0.23,0.2298,,,,0.3496,0.2298,404.44M,405.64M,0.2525
