,OperatingRevenue,Revenue,GeneralandAdministrativeExpense,SG&AExpense,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2006-06,6.255B,6.255B,,866.00M,78.00M,-78.00M,,866.00M,78.00M,-78.00M,37.00M,-78.00M,1.344B,374.00M,970.00M,,,,,970.00M,970.00M,197.00M,1.422B,1.4,0.0,,1.4,1.4,1.36,0.0,,1.36,1.36,691.80M,720.40M,0.26
2006-03,6.05B,6.05B,,794.00M,76.00M,-76.00M,,794.00M,76.00M,-76.00M,40.00M,-76.00M,1.338B,332.00M,1.006B,,,,,1.006B,1.006B,197.00M,1.414B,1.45,0.0,,1.45,1.45,1.41,0.0,,1.41,1.41,692.20M,720.80M,0.23
2005-12,6.181B,6.181B,,838.00M,75.00M,-75.00M,,838.00M,75.00M,-75.00M,40.00M,-75.00M,197.00M,19.00M,178.00M,1.00M,,,,179.00M,178.00M,192.00M,272.00M,0.25,0.0,,0.25,0.25,0.25,0.0,,0.25,0.25,688.30M,717.30M,0.23
2005-09,6.042B,6.042B,,789.00M,70.00M,-70.00M,,789.00M,70.00M,-70.00M,45.00M,-70.00M,-8.00M,-83.00M,75.00M,87.00M,,,,162.00M,75.00M,113.00M,62.00M,0.11,0.13,,0.11,0.24,0.11,0.12,,0.11,0.23,679.20M,683.80M,0.23
2005-06,6.037B,6.037B,,789.00M,70.00M,-70.00M,,789.00M,70.00M,-70.00M,43.00M,-70.00M,1.294B,363.00M,931.00M,138.00M,,,,1.069B,931.00M,236.00M,1.364B,1.39,0.2,,1.39,1.59,1.33,0.19,,1.33,1.52,669.50M,710.30M,0.23
2005-03,6.105B,6.105B,,813.00M,71.00M,-71.00M,,813.00M,71.00M,-71.00M,50.00M,-71.00M,1.188B,311.00M,877.00M,-665.00M,,,,212.00M,877.00M,150.00M,1.259B,1.31,-1.0,,1.31,0.31,1.25,-1.0,,1.25,0.31,668.10M,709.10M,0.22
2004-12,6.228B,6.228B,,822.00M,70.00M,-70.00M,,822.00M,70.00M,-70.00M,43.00M,-70.00M,306.00M,33.00M,273.00M,32.00M,,-2.00M,,303.00M,271.00M,174.00M,376.00M,0.41,0.05,,0.41,0.46,0.4,0.04,,0.4,0.44,667.10M,692.20M,0.22
2004-09,6.129B,6.129B,,792.00M,67.00M,-67.00M,,792.00M,67.00M,-67.00M,56.00M,-67.00M,364.00M,48.00M,316.00M,29.00M,,-5.00M,,340.00M,311.00M,252.00M,431.00M,0.46,0.05,,0.46,0.51,0.45,0.05,,0.45,0.5,665.90M,707.90M,0.22
2004-06,6.06B,6.06B,,864.00M,63.00M,-63.00M,,864.00M,63.00M,-63.00M,93.00M,-63.00M,-541.00M,-239.00M,-302.00M,27.00M,,0.00,,-275.00M,-302.00M,71.00M,-478.00M,-0.46,0.04,,-0.46,-0.42,-0.46,0.04,,-0.46,-0.42,664.80M,664.80M,0.22
2004-03,4.127B,4.127B,,467.00M,36.00M,-36.00M,,467.00M,36.00M,-36.00M,39.00M,-36.00M,817.00M,227.00M,590.00M,0.00,,-3.00M,,587.00M,587.00M,25.00M,853.00M,1.35,0.0,,1.35,1.35,1.31,0.0,,1.31,1.31,434.60M,453.90M,0.29
2003-12,4.041B,4.041B,,436.00M,37.00M,-37.00M,,436.00M,37.00M,-37.00M,31.00M,-37.00M,660.00M,160.00M,500.00M,,,-11.00M,,489.00M,489.00M,30.00M,697.00M,1.13,0.0,,1.13,1.13,1.04,0.0,,1.04,1.04,434.00M,503.10M,0.29
2003-09,3.746B,3.746B,,398.00M,38.00M,-38.00M,,398.00M,38.00M,-38.00M,28.00M,-38.00M,561.00M,132.00M,429.00M,,,-3.00M,,426.00M,426.00M,36.00M,599.00M,0.98,0.0,,0.98,0.98,0.98,0.0,,0.98,0.98,434.30M,436.70M,0.29
2003-06,3.749B,3.749B,,413.00M,40.00M,-40.00M,,413.00M,40.00M,-40.00M,43.00M,-40.00M,601.00M,155.00M,446.00M,,,-5.00M,,441.00M,441.00M,8.70M,641.00M,1.02,0.0,,1.02,1.02,1.01,0.0,,1.01,1.01,434.40M,436.70M,0.29
2003-03,3.603B,3.603B,393.40M,393.40M,51.70M,-51.70M,,393.40M,51.70M,-51.70M,162.00M,-51.70M,407.30M,89.80M,340.00M,,,-22.50M,,340.00M,340.00M,10.30M,459.00M,0.78,0.0,,0.78,0.78,0.78,0.0,,0.78,0.78,434.50M,434.50M,0.29
2002-12,7.295B,7.295B,,507.00M,,,,507.00M,,,241.00M,,-187.00M,-405.00M,224.00M,,,,,-1.00M,-20.00M,-25.00M,-187.00M,0.0485,,,0.0485,0.0485,0.0485,,,0.0485,0.0485,227.00M,227.00M,0.29
2002-09,2.297B,2.297B,,324.00M,,,,324.00M,,,136.00M,,95.00M,26.00M,69.00M,-6.00M,,,,63.00M,69.00M,24.00M,95.00M,0.29,-0.02,,0.29,0.27,0.29,-0.02,,0.29,0.27,221.00M,230.00M,0.29
2002-06,2.344B,2.344B,,281.00M,,,,281.00M,,,134.00M,,-364.00M,-146.00M,-218.00M,-5.00M,,,,-223.00M,-218.00M,22.00M,-364.00M,-1.07,-0.02,,-1.07,-1.09,-1.07,-0.02,,-1.07,-1.09,208.00M,208.00M,0.29
2002-03,2.334B,2.334B,,312.00M,,,,312.00M,,,121.00M,,196.00M,48.00M,142.00M,-9.00M,,,,133.00M,142.00M,21.00M,196.00M,0.66,-0.04,,0.66,0.62,0.64,-0.04,,0.64,0.6,208.00M,220.00M,0.29
2001-12,2.494B,2.494B,,415.00M,,,,415.00M,,,119.00M,,-985.00M,-266.00M,-719.00M,-17.00M,,,,-736.00M,-719.00M,105.00M,-985.00M,-3.42,-0.09,,-3.42,-3.51,-3.42,-0.09,,-3.42,-3.51,209.00M,209.00M,0.28
2001-09,2.225B,2.225B,,250.00M,,,,250.00M,,,157.00M,,-877.00M,-282.00M,-595.00M,-64.00M,,,,-659.00M,-595.00M,26.00M,-877.00M,-2.86,-0.3,,-2.86,-3.16,-2.86,-0.3,,-2.86,-3.16,209.00M,209.00M,0.28
2001-06,2.163B,2.163B,,328.00M,,,,328.00M,,,113.00M,,133.00M,37.00M,96.00M,8.00M,,,,104.00M,96.00M,23.00M,133.00M,0.43,0.04,,0.43,0.47,0.41,0.04,,0.41,0.45,214.00M,227.00M,0.28
2001-03,2.162B,2.162B,,301.00M,,,,301.00M,,,123.00M,,298.00M,89.00M,209.00M,-7.00M,,,,202.00M,209.00M,26.00M,298.00M,0.95,-0.04,,0.95,0.91,0.9,-0.04,,0.9,0.87,217.00M,230.00M,0.28
2000-12,1.557B,1.557B,,239.00M,,,,239.00M,,,-1.642B,,1.401B,72.00M,159.00M,34.00M,,,,193.00M,159.00M,26.00M,1.401B,0.7,0.17,,0.7,0.87,0.67,0.16,,0.67,0.82,220.00M,233.00M,0.27
2000-09,2.031B,2.031B,413.00M,413.00M,,,,413.00M,,,629.00M,,0.00,101.00M,230.00M,1.00M,,,2.00M,231.00M,230.00M,30.00M,0.00,1.04,0.0,,1.04,1.04,0.98,0.0,,0.98,0.98,217.00M,232.00M,0.27
2000-06,1.971B,1.971B,323.00M,323.00M,,,,323.00M,,,550.00M,,0.00,84.00M,217.00M,-5.00M,,,2.00M,212.00M,217.00M,27.00M,0.00,1.0,-0.02,,1.0,0.98,0.94,-0.02,,0.94,0.92,212.00M,230.00M,0.27
2000-03,2.146B,2.146B,261.00M,261.00M,,,,261.00M,,,790.00M,,0.00,171.00M,349.00M,9.00M,,,2.00M,358.00M,349.00M,22.00M,0.00,1.56,0.04,,1.56,1.6,1.47,0.04,,1.47,1.51,220.00M,237.00M,0.27
1999-12,1.522B,1.522B,,347.00M,,,,347.00M,,,-1.178B,,951.00M,51.00M,152.00M,-44.00M,,,,138.00M,152.00M,24.00M,951.00M,0.65,-0.18,,0.65,0.6,0.63,-0.18,,0.63,0.57,228.00M,246.00M,0.26
1999-09,1.785B,1.785B,325.00M,325.00M,,,,325.00M,,,538.00M,,0.00,35.00M,137.00M,190.00M,,,2.00M,327.00M,137.00M,29.00M,0.00,0.59,0.84,,0.59,1.43,0.56,0.78,,0.56,1.34,227.00M,245.00M,0.26
1999-06,1.933B,1.933B,236.00M,236.00M,,,,236.00M,,,577.00M,,0.00,68.00M,219.00M,-15.00M,,,2.00M,204.00M,219.00M,28.00M,0.00,0.96,-0.07,,0.96,0.89,0.9,-0.07,,0.9,0.84,226.00M,245.00M,0.26
1999-03,1.909B,1.909B,247.00M,247.00M,,,,247.00M,,,564.00M,,0.00,66.00M,197.00M,-2.00M,-30.00M,,2.00M,165.00M,197.00M,37.00M,0.00,0.84,-0.01,0.0,0.84,0.7,0.8,-0.01,-0.1304,0.8,0.67,230.00M,249.00M,0.26
1998-12,3.039B,3.039B,,462.76M,,,,462.76M,,,-1.317B,,-46.29M,-89.64M,-24.65M,125.00M,,,,100.35M,-24.65M,,-46.29M,-0.1448,0.546,,-0.1448,0.4012,-0.1448,0.546,,-0.1448,0.4012,228.92M,228.92M,0.25
1998-09,1.925B,1.925B,286.00M,286.00M,,,,286.00M,,,516.00M,,0.00,-12.00M,103.00M,-35.00M,,,,68.00M,103.00M,,0.00,0.42,-0.15,,0.42,0.27,0.42,-0.15,,0.42,0.27,251.85M,251.85M,0.25
1998-06,2.10B,2.10B,596.00M,596.00M,,,,596.00M,,,632.00M,,0.00,-95.00M,-193.00M,-81.00M,,,,-274.00M,-193.00M,31.00M,0.00,-0.84,-0.34,,-0.84,-1.18,-0.84,-0.34,,-0.84,-1.18,171.11M,185.54M,0.25
