,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,397.00M,66.75B,67.15B,20.67B,,20.67B,777.00M,88.60B,,3.959B,341.00M,4.30B,,67.18B,368.00M,74.27B,103.68B,5.333B,,,5.333B,,5.333B,,,500.00M,500.00M,500.00M,5.833B,6.463B,6.463B,,,,26.18B,13.42B,,,46.07B,80.70B,23.00B,33.98B,,32.68B,,,,,,-1.322B,22.98B
2017-12,344.00M,67.59B,67.93B,20.23B,,20.23B,551.00M,88.71B,,3.951B,342.00M,4.293B,,68.04B,70.00M,75.20B,103.48B,5.049B,,,5.049B,,5.049B,500.00M,100.00M,,600.00M,600.00M,5.649B,5.971B,5.971B,,,,26.25B,12.92B,,,45.13B,79.75B,22.89B,33.46B,,32.27B,,,,,,-343.00M,23.73B
2017-09,379.00M,68.02B,68.40B,20.37B,,20.37B,688.00M,89.45B,,3.946B,345.00M,4.291B,,68.62B,243.00M,75.51B,104.31B,5.18B,,,5.18B,,5.18B,,,950.00M,950.00M,950.00M,6.13B,5.971B,5.971B,,,,25.92B,13.25B,,,45.14B,80.57B,22.84B,33.11B,,31.92B,,,,,,-285.00M,23.74B
2017-06,328.00M,67.20B,67.53B,20.20B,,20.20B,665.00M,88.39B,,3.589B,264.00M,3.853B,,67.90B,201.00M,74.20B,102.67B,5.064B,,,5.064B,,5.064B,,,950.00M,950.00M,950.00M,6.014B,5.97B,5.97B,,,,25.54B,13.05B,,,44.56B,78.81B,22.78B,33.02B,,31.60B,,,,,,-344.00M,23.86B
2017-03,249.00M,66.08B,66.33B,19.88B,,19.88B,745.00M,86.96B,,3.584B,266.00M,3.85B,,66.84B,261.00M,73.13B,101.25B,5.097B,,,5.097B,,5.097B,,,550.00M,550.00M,550.00M,5.647B,5.888B,5.888B,,,,25.27B,12.81B,,,43.97B,77.63B,22.72B,32.62B,,31.12B,,,,,,-615.00M,23.61B
2016-12,307.00M,65.38B,65.69B,19.62B,,19.62B,589.00M,85.89B,,3.58B,268.00M,3.848B,,66.11B,465.00M,72.34B,100.24B,4.882B,,,4.882B,,4.882B,450.00M,100.00M,,550.00M,550.00M,5.432B,5.887B,5.887B,,,,25.50B,12.33B,,,43.71B,77.02B,22.61B,32.20B,,30.83B,,,,,,-755.00M,23.22B
2016-09,269.00M,67.84B,68.11B,20.03B,,20.03B,741.00M,88.88B,,3.585B,271.00M,3.856B,,68.58B,,74.80B,102.79B,5.011B,,,5.011B,,5.011B,,,100.00M,100.00M,100.00M,5.111B,6.336B,6.336B,171.00M,171.00M,,25.49B,12.71B,,,44.70B,78.35B,22.42B,31.44B,,30.08B,,,,,,660.00M,24.44B
2016-06,265.00M,67.30B,67.56B,20.16B,,20.16B,726.00M,88.45B,,3.588B,274.00M,3.862B,,68.05B,0.00,74.30B,102.45B,4.942B,,,4.942B,,4.942B,,,100.00M,100.00M,100.00M,5.042B,6.336B,6.336B,370.00M,370.00M,,25.27B,12.52B,,,44.49B,77.73B,22.35B,30.92B,,29.52B,,,,,,965.00M,24.71B
2016-03,361.00M,66.57B,66.93B,20.07B,,20.07B,805.00M,87.80B,,3.588B,275.00M,3.863B,,67.28B,,73.55B,101.68B,4.857B,,,4.857B,,4.857B,,,500.00M,500.00M,500.00M,5.357B,5.844B,5.844B,82.00M,82.00M,,48.64B,12.33B,,,66.90B,77.51B,22.27B,30.45B,,28.97B,,,,,,414.00M,24.17B
2015-12,380.00M,65.33B,65.71B,19.72B,,19.72B,656.00M,86.09B,,3.573B,279.00M,3.852B,,66.03B,296.00M,72.20B,100.18B,4.67B,,,4.67B,,4.67B,400.00M,100.00M,,500.00M,500.00M,5.17B,5.844B,5.844B,,,,25.90B,11.97B,,,43.71B,76.59B,22.17B,29.94B,,28.36B,,,,,,-157.00M,23.60B
2015-09,344.00M,66.80B,67.14B,19.90B,,19.90B,789.00M,87.83B,,3.579B,280.00M,3.859B,,67.52B,241.00M,73.78B,102.11B,4.829B,,,4.829B,,4.829B,,,900.00M,900.00M,900.00M,5.729B,5.843B,5.843B,,,,25.34B,12.28B,,,43.46B,78.08B,22.10B,29.26B,,27.36B,,,,,,32.00M,24.03B
2015-06,317.00M,65.86B,66.17B,20.20B,,20.20B,782.00M,87.16B,,3.594B,284.00M,3.878B,,66.68B,216.00M,73.06B,101.66B,4.901B,,,4.901B,,4.901B,,,900.00M,900.00M,900.00M,5.801B,5.45B,5.45B,,,,25.50B,12.15B,,,43.10B,77.54B,22.04B,28.52B,,26.61B,,,,,,169.00M,24.12B
2015-03,308.00M,67.26B,67.57B,20.07B,,20.07B,830.00M,88.46B,,3.59B,292.00M,3.882B,,68.12B,0.00,74.52B,102.69B,4.881B,,,4.881B,,4.881B,,,500.00M,500.00M,500.00M,5.381B,5.849B,5.849B,126.00M,126.00M,,25.81B,11.95B,,,43.74B,77.84B,21.98B,27.91B,,25.81B,,,,,,769.00M,24.85B
2014-12,374.00M,67.84B,68.21B,19.92B,,19.92B,678.00M,88.81B,,3.611B,304.00M,3.915B,,68.74B,33.00M,75.03B,103.08B,4.698B,,,4.698B,,4.698B,400.00M,100.00M,,500.00M,500.00M,5.198B,5.849B,5.849B,,,,26.52B,11.84B,,,44.21B,78.24B,21.84B,27.25B,,25.14B,,,,,,880.00M,24.84B
2014-09,367.00M,68.66B,69.02B,20.08B,,20.08B,848.00M,89.96B,,3.621B,316.00M,3.937B,,69.60B,0.00,76.08B,104.52B,4.858B,,,4.858B,,4.858B,,,100.00M,100.00M,100.00M,4.958B,6.248B,6.248B,122.00M,122.00M,,26.14B,12.18B,,,44.70B,79.20B,21.76B,26.39B,,24.14B,,,,,,1.30B,25.32B
2014-06,311.00M,68.40B,68.71B,20.47B,,20.47B,762.00M,89.94B,,3.634B,328.00M,3.962B,,69.38B,0.00,76.12B,104.81B,4.768B,,,4.768B,,4.768B,,,100.00M,100.00M,100.00M,4.868B,6.247B,6.247B,239.00M,239.00M,,26.54B,12.09B,,,45.12B,79.28B,21.69B,25.66B,,23.39B,,,,,,1.562B,25.53B
2014-03,260.00M,68.30B,68.56B,20.25B,,20.25B,851.00M,89.67B,,3.624B,339.00M,3.963B,,69.24B,0.00,75.77B,104.13B,4.731B,,,4.731B,,4.731B,,,100.00M,100.00M,100.00M,4.831B,6.247B,6.247B,54.00M,54.00M,,26.66B,11.92B,,,44.87B,78.75B,21.60B,25.17B,,22.51B,,,,,,1.127B,25.39B
2013-12,294.00M,67.84B,68.13B,20.17B,,20.17B,801.00M,89.10B,,3.634B,351.00M,3.985B,,68.78B,303.00M,75.33B,103.81B,4.626B,,,4.626B,,4.626B,0.00,100.00M,,100.00M,100.00M,4.726B,6.246B,6.246B,,,,26.70B,11.85B,,,44.80B,79.02B,21.50B,24.29B,,21.80B,,,,,,810.00M,24.80B
2013-09,295.00M,67.48B,67.78B,20.11B,,20.11B,1.015B,88.90B,,3.365B,347.00M,3.712B,,68.19B,321.00M,74.13B,102.68B,4.888B,,,4.888B,,4.888B,,,100.00M,100.00M,100.00M,4.988B,6.246B,6.246B,,,,25.42B,11.72B,,,43.38B,77.87B,21.42B,23.48B,,20.80B,,,,,,705.00M,24.81B
2013-06,308.00M,66.24B,66.54B,20.60B,,20.60B,913.00M,88.06B,,3.365B,358.00M,3.723B,,66.94B,257.00M,72.95B,101.90B,4.843B,,,4.843B,,4.843B,,,100.00M,100.00M,100.00M,4.943B,5.752B,5.752B,,,,25.52B,11.56B,,,42.83B,77.01B,21.37B,22.81B,,20.00B,,,,,,720.00M,24.89B
2013-03,243.00M,68.07B,68.31B,21.09B,,21.09B,976.00M,90.38B,,3.365B,370.00M,3.735B,,68.76B,,74.78B,103.90B,5.283B,,,5.283B,,5.283B,,,100.00M,100.00M,100.00M,5.383B,5.751B,5.751B,352.00M,352.00M,,26.02B,11.41B,,,43.53B,78.30B,21.30B,22.07B,,19.70B,,,,,,1.926B,25.60B
2012-12,330.00M,68.88B,69.21B,21.39B,,21.39B,856.00M,91.45B,,3.365B,381.00M,3.746B,,69.52B,0.00,75.50B,104.94B,5.152B,,,5.152B,,5.152B,500.00M,100.00M,,600.00M,600.00M,5.752B,5.75B,5.75B,338.00M,338.00M,,26.61B,11.24B,,,43.94B,79.53B,21.16B,21.35B,,19.34B,,,,,,2.236B,25.40B
2012-09,220.00M,3.641B,3.861B,6.04B,4.886B,10.93B,,14.79B,,3.365B,393.00M,3.758B,,70.14B,0.00,76.16B,105.44B,479.00M,,4.886B,5.365B,,5.365B,,,600.00M,600.00M,600.00M,5.965B,5.75B,5.75B,487.00M,487.00M,,50.26B,11.62B,,,68.12B,79.54B,0.00,21.23B,21.08B,18.94B,,,,,,2.536B,25.90B
2012-06,230.00M,3.275B,3.505B,6.197B,4.903B,11.10B,,14.60B,,3.365B,405.00M,3.77B,,68.58B,0.00,74.76B,104.33B,413.00M,,4.903B,5.316B,,5.316B,,,600.00M,600.00M,600.00M,5.916B,5.749B,5.749B,194.00M,194.00M,,50.79B,11.45B,,,68.18B,79.28B,0.00,20.54B,20.97B,18.59B,,,,,,2.13B,25.05B
2012-03,258.00M,3.373B,3.631B,5.884B,5.263B,11.15B,,14.78B,,3.365B,417.00M,3.782B,,68.90B,0.00,74.95B,104.87B,511.00M,,5.263B,5.774B,,5.774B,,,850.00M,850.00M,850.00M,6.624B,5.756B,5.756B,120.00M,120.00M,,50.97B,11.23B,,,68.08B,79.99B,0.00,20.22B,20.85B,18.24B,,,,,,2.039B,24.87B
2011-12,214.00M,67.83B,68.04B,22.07B,,22.07B,828.00M,90.94B,,3.365B,433.00M,3.798B,,68.38B,7.00M,74.58B,104.58B,5.575B,,,5.575B,,5.575B,250.00M,100.00M,,350.00M,350.00M,5.925B,6.255B,6.255B,,,,26.51B,11.10B,,,43.87B,80.10B,20.73B,19.58B,,17.84B,,,,,,2.005B,24.48B
2011-09,231.00M,4.797B,5.028B,5.932B,5.375B,11.31B,,16.34B,,3.365B,449.00M,3.814B,,69.37B,0.00,76.58B,106.93B,519.00M,,5.375B,5.894B,,5.894B,,,350.00M,350.00M,350.00M,6.244B,6.254B,6.254B,91.00M,91.00M,,52.32B,11.52B,,,70.18B,81.76B,0.00,19.13B,20.66B,16.65B,,,,,,2.032B,25.17B
2011-06,273.00M,5.024B,5.297B,6.043B,5.37B,11.41B,,16.71B,,3.365B,465.00M,3.83B,,68.60B,128.00M,75.84B,106.47B,409.00M,,5.37B,5.779B,,5.779B,,,350.00M,350.00M,350.00M,6.129B,6.254B,6.254B,,,,52.60B,11.34B,,,70.19B,81.46B,0.00,18.97B,20.61B,16.28B,,,,,,1.711B,25.01B
2011-03,239.00M,5.652B,5.891B,5.668B,5.271B,10.94B,,16.83B,,3.365B,482.00M,3.847B,,68.51B,357.00M,75.34B,105.25B,513.00M,,5.271B,5.784B,,5.784B,,,109.00M,109.00M,109.00M,5.893B,6.502B,6.502B,,,,51.44B,11.12B,,,69.06B,80.01B,66.00M,19.54B,20.37B,16.00B,66.00M,,,,,1.272B,25.24B
2010-12,200.00M,5.616B,5.816B,5.497B,5.343B,10.84B,,16.66B,,3.365B,502.00M,3.867B,,68.96B,493.00M,75.77B,105.66B,407.00M,,5.343B,5.75B,,5.75B,,,109.00M,109.00M,109.00M,5.859B,6.502B,6.502B,,,,51.61B,10.92B,,,69.03B,80.18B,68.00M,18.85B,20.16B,14.86B,68.00M,,,,,1.255B,25.48B
2010-09,298.00M,4.981B,5.279B,5.696B,5.517B,11.21B,,16.49B,,3.365B,522.00M,3.887B,,70.91B,,77.99B,108.15B,553.00M,,5.517B,6.07B,,6.07B,,,109.00M,109.00M,109.00M,6.179B,6.143B,6.143B,62.00M,62.00M,,51.97B,11.27B,,,69.45B,80.86B,70.00M,18.12B,19.98B,13.24B,70.00M,,,,,2.372B,27.30B
2010-06,266.00M,3.859B,4.125B,5.84B,5.595B,11.44B,,15.56B,,3.365B,543.00M,3.908B,,69.34B,368.00M,76.24B,107.02B,467.00M,,5.595B,6.062B,,6.062B,,,123.00M,123.00M,123.00M,6.185B,6.153B,6.153B,,,,52.27B,11.09B,,,69.52B,80.74B,72.00M,17.28B,19.88B,12.64B,72.00M,,,,,1.69B,26.29B
2010-03,251.00M,4.648B,4.899B,5.564B,5.84B,11.40B,,16.30B,,3.365B,564.00M,3.929B,,70.23B,560.00M,77.18B,108.70B,638.00M,,5.84B,6.478B,,6.478B,,,373.00M,373.00M,373.00M,6.851B,6.152B,6.152B,,,,52.84B,10.94B,,,69.93B,82.02B,77.00M,16.79B,19.76B,11.23B,77.00M,,,,,1.271B,26.67B
2009-12,255.00M,4.852B,5.107B,5.471B,5.797B,11.27B,,16.38B,,3.365B,588.00M,3.953B,,71.15B,672.00M,78.06B,109.56B,546.00M,,5.797B,6.343B,,6.343B,,,373.00M,373.00M,373.00M,6.716B,6.154B,6.154B,,,,53.13B,10.86B,,,70.14B,82.14B,79.00M,16.32B,19.59B,9.791B,79.00M,,,,,1.219B,27.42B
2009-09,286.00M,6.567B,6.853B,5.957B,6.457B,12.41B,,19.27B,,3.365B,612.00M,3.977B,,72.35B,603.00M,79.30B,112.62B,687.00M,,6.457B,7.144B,,7.144B,,,373.00M,373.00M,373.00M,7.517B,6.155B,6.155B,,,,53.92B,11.21B,,,71.29B,84.46B,81.00M,15.21B,19.43B,8.219B,81.00M,,,,,1.657B,28.16B
2009-06,282.00M,6.445B,6.727B,6.22B,6.452B,12.67B,,19.40B,,3.365B,636.00M,4.001B,,69.79B,1.428B,76.80B,111.33B,606.00M,,6.452B,7.058B,,7.058B,,,352.00M,352.00M,352.00M,7.41B,6.18B,6.18B,,,,54.37B,11.18B,,,71.74B,84.41B,83.00M,14.44B,19.35B,7.216B,83.00M,,,,,258.00M,26.92B
2009-03,245.00M,5.673B,5.918B,6.032B,6.533B,12.56B,,18.48B,,3.364B,660.00M,4.024B,,68.50B,1.598B,75.46B,110.47B,714.00M,,6.533B,7.247B,,7.247B,,,102.00M,102.00M,102.00M,7.349B,5.937B,5.937B,,,,54.35B,11.02B,,,71.31B,83.97B,87.00M,13.80B,19.29B,6.453B,87.00M,,,,,-232.00M,26.50B
2008-12,350.00M,5.222B,5.572B,5.835B,6.35B,12.18B,,17.76B,,3.366B,688.00M,4.054B,,66.88B,1.965B,74.32B,109.63B,528.00M,,6.35B,6.878B,,6.878B,,,242.00M,242.00M,242.00M,7.12B,5.939B,5.939B,,,,54.72B,10.96B,,,71.62B,84.31B,89.00M,13.31B,19.24B,6.426B,89.00M,,,,,-900.00M,25.32B
2008-09,387.00M,5.124B,5.511B,12.38B,688.00M,13.07B,,18.58B,,,4.082B,4.082B,,67.06B,1.952B,73.36B,112.70B,,,,7.643B,,7.643B,,,390.00M,390.00M,390.00M,8.033B,5.938B,5.938B,,,,,11.38B,,,17.32B,87.97B,19.29B,12.69B,,6.325B,92.00M,,,,,-932.00M,24.72B
2008-06,329.00M,5.533B,5.862B,12.69B,269.00M,12.96B,,18.82B,,,4.112B,4.112B,,69.14B,1.459B,74.77B,113.62B,,,,7.31B,,7.31B,,,390.00M,390.00M,390.00M,7.70B,5.94B,5.94B,,,,,11.34B,,,17.28B,87.70B,19.24B,12.66B,,6.051B,103.00M,,,,,79.00M,25.92B
2008-03,308.00M,4.869B,5.177B,6.17B,6.722B,12.89B,,18.07B,,3.366B,778.00M,4.144B,,69.84B,1.233B,76.31B,114.14B,828.00M,,6.722B,7.55B,,7.55B,,,,,,7.55B,5.841B,5.841B,,,,57.31B,11.24B,,,74.40B,87.76B,108.00M,11.90B,19.05B,5.294B,108.00M,,,,,626.00M,26.39B
2007-12,271.00M,5.186B,5.457B,6.142B,6.696B,12.84B,,18.30B,,3.366B,814.00M,4.18B,,70.59B,1.207B,76.40B,115.22B,,,,7.314B,,7.314B,,,649.00M,649.00M,649.00M,7.963B,4.928B,4.928B,,,,57.70B,11.23B,,,73.86B,88.61B,19.10B,11.11B,,4.266B,112.00M,,,,,670.00M,26.62B
2007-09,391.00M,4.876B,5.267B,6.273B,6.758B,13.03B,,18.30B,,3.366B,848.00M,4.214B,,69.52B,1.376B,76.43B,115.64B,877.00M,,6.758B,7.635B,,7.635B,,,,,,7.635B,6.243B,6.243B,,,,58.04B,11.49B,,,75.77B,89.34B,115.00M,10.24B,18.92B,3.254B,115.00M,,,,,295.00M,26.31B
2007-06,562.00M,4.48B,5.042B,6.489B,6.737B,13.23B,,18.27B,,3.366B,884.00M,4.25B,,68.26B,1.70B,75.05B,115.36B,784.00M,,6.737B,7.521B,,7.521B,,,,,,7.521B,6.733B,6.733B,,,,58.50B,11.46B,,,76.70B,90.04B,119.00M,9.228B,18.84B,2.644B,119.00M,,,,,-220.00M,25.32B
2007-03,378.00M,4.886B,5.264B,6.156B,5.079B,11.24B,,16.50B,,3.437B,920.00M,4.357B,,68.50B,1.713B,75.37B,114.12B,915.00M,,5.079B,5.994B,,5.994B,,,,,,5.994B,6.123B,6.123B,,,,58.82B,11.24B,,,76.18B,88.76B,124.00M,8.167B,18.63B,1.985B,124.00M,,,,,417.00M,25.36B
2006-12,459.00M,4.938B,5.397B,6.181B,6.554B,12.74B,,18.13B,,3.438B,764.00M,4.202B,,68.08B,1.536B,74.87B,115.29B,685.00M,,6.554B,7.239B,,7.239B,,,,,,7.239B,5.76B,5.76B,,,,59.29B,11.23B,,,76.28B,90.16B,129.00M,7.253B,18.53B,1.229B,129.00M,,,,,452.00M,25.14B
2006-09,357.00M,6.221B,6.578B,6.218B,5.642B,11.86B,,18.44B,,3.441B,802.00M,4.243B,54.00M,68.08B,1.669B,75.27B,115.50B,908.00M,,5.642B,6.55B,,6.55B,,,,,,6.55B,6.569B,6.569B,,,,59.85B,11.39B,,,77.81B,90.75B,136.00M,6.245B,18.33B,448.00M,136.00M,,,,,486.00M,24.75B
2006-06,274.00M,4.947B,5.221B,6.372B,5.47B,11.84B,,17.06B,,3.441B,839.00M,4.28B,112.00M,65.66B,2.282B,72.85B,113.89B,791.00M,,5.47B,6.261B,,6.261B,,,,,,6.261B,6.618B,6.618B,,,,60.20B,11.30B,,,78.12B,90.83B,140.00M,5.382B,18.26B,323.00M,140.00M,,,,,-406.00M,23.05B
2006-03,373.00M,4.785B,5.158B,6.014B,5.51B,11.52B,,16.68B,,3.453B,875.00M,4.328B,135.00M,65.06B,2.103B,72.43B,113.38B,1.009B,,5.51B,6.519B,,6.519B,,,,,,6.519B,5.839B,5.839B,,,,60.70B,11.03B,,,77.57B,90.54B,146.00M,4.594B,18.19B,70.00M,146.00M,,,,,-25.00M,22.84B
2005-12,337.00M,4.802B,5.139B,6.124B,5.516B,11.64B,,16.78B,,3.442B,917.00M,4.359B,,64.36B,2.062B,72.04B,113.19B,720.00M,,5.516B,6.236B,,6.236B,,,,,,6.236B,5.85B,5.85B,,,,61.09B,10.93B,,,77.87B,90.88B,153.00M,3.75B,18.10B,47.00M,153.00M,,,,,351.00M,22.30B
2005-09,442.00M,5.975B,6.417B,6.149B,5.658B,11.81B,,18.22B,,3.452B,957.00M,4.409B,147.00M,64.94B,1.985B,72.17B,113.44B,908.00M,,5.658B,6.566B,,6.566B,,,,,,6.566B,5.753B,5.753B,,,,60.59B,11.16B,,,77.50B,91.03B,160.00M,3.733B,18.12B,41.00M,160.00M,,,,,538.00M,22.41B
2005-06,738.00M,4.819B,5.557B,6.296B,5.692B,11.99B,,17.54B,,3.491B,993.00M,4.484B,190.00M,63.15B,1.467B,70.77B,111.80B,819.00M,,5.692B,6.511B,,6.511B,,,,,,6.511B,5.802B,5.802B,,,,58.11B,11.12B,,,75.04B,89.44B,173.00M,3.732B,17.59B,28.00M,173.00M,,,,,1.024B,22.37B
2005-03,541.00M,3.964B,4.505B,6.109B,5.755B,11.86B,,16.37B,,3.56B,1.028B,4.588B,191.00M,60.10B,1.757B,67.70B,111.53B,1.045B,,5.755B,6.80B,,6.80B,,,,,,6.80B,6.295B,6.295B,,,,58.63B,11.16B,,,76.09B,90.80B,179.00M,2.818B,17.54B,22.00M,179.00M,,,,,358.00M,20.73B
2004-12,262.00M,4.944B,5.206B,6.201B,5.629B,11.83B,,17.04B,,3.564B,1.062B,4.626B,191.00M,59.97B,2.198B,67.86B,111.25B,896.00M,,5.629B,6.525B,,6.525B,,,,,,6.525B,6.313B,6.313B,,,,59.07B,11.31B,,,76.69B,90.04B,193.00M,2.744B,17.41B,14.00M,193.00M,,,,,952.00M,21.20B
2004-09,271.00M,4.587B,4.858B,6.276B,5.071B,11.35B,,16.20B,,5.301B,1.722B,7.023B,200.00M,59.08B,1.931B,69.77B,109.68B,989.00M,,5.071B,6.06B,,6.06B,,,,,,6.06B,6.467B,6.467B,,,0.00,57.38B,11.34B,,,75.19B,88.79B,209.00M,2.595B,17.36B,12.00M,209.00M,,,,,846.00M,20.89B
2004-06,207.00M,4.37B,4.577B,6.606B,5.103B,11.71B,,16.29B,,5.311B,1.753B,7.064B,237.00M,55.25B,2.248B,65.99B,106.61B,918.00M,,5.103B,6.021B,,6.021B,,,,,,6.021B,6.358B,6.358B,,,0.00,56.29B,11.50B,,,74.15B,86.68B,214.00M,2.393B,17.33B,6.00M,214.00M,,,,,127.00M,19.93B
2004-03,139.70M,4.359B,4.499B,7.335B,,7.335B,,11.83B,,2.412B,,2.412B,179.00M,39.01B,607.10M,55.61B,65.07B,,,,3.242B,,3.242B,,,,,,3.242B,1.806B,1.806B,,,,34.67B,7.262B,,,43.74B,52.40B,0.00,2.796B,8.779B,90.90M,,,,,,1.190B,12.67B
