,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,452.00M,85.00M,-50.00M,35.00M,269.00M,21.00M,290.00M,290.00M,59.00M,,,,15.00M,-153.00M,-13.00M,43.00M,-73.00M,3.00M,-30.00M,-132.00M,70.00M,-132.00M,,566.00M,,-750.00M,,-750.00M,,,0.00,-3.00M,-753.00M,,144.00M,369.00M,513.00M,100.00M,,100.00M,,,-273.00M,-273.00M,-9.00M,331.00M,,511.00M,144.00M,-2.00M,653.00M,,100.00M,144.00M,,,,,,AOR,Restated
2017-12,78.00M,-16.00M,-26.00M,-42.00M,263.00M,25.00M,288.00M,288.00M,423.00M,,,,8.00M,-8.00M,-187.00M,5.00M,37.00M,28.00M,28.00M,52.00M,-3.00M,-40.00M,,707.00M,,-981.00M,,-981.00M,,,0.00,-12.00M,-993.00M,,319.00M,-154.00M,165.00M,178.00M,,178.00M,,,-272.00M,-272.00M,15.00M,86.00M,,696.00M,-200.00M,8.00M,511.00M,,178.00M,427.00M,-108.00M,,,,,AOR,Restated
2017-09,355.00M,59.00M,-24.00M,35.00M,257.00M,27.00M,284.00M,284.00M,83.00M,,,,8.00M,-9.00M,10.00M,-7.00M,29.00M,158.00M,5.00M,5.00M,8.00M,208.00M,,964.00M,,-779.00M,,-779.00M,,,0.00,-4.00M,-783.00M,,494.00M,-285.00M,209.00M,98.00M,,98.00M,,,-271.00M,-271.00M,-9.00M,27.00M,,490.00M,208.00M,0.00,696.00M,,98.00M,494.00M,0.00,,,,,AOR,Restated
2017-06,292.00M,100.00M,-26.00M,74.00M,246.00M,22.00M,268.00M,268.00M,40.00M,,,,3.00M,-36.00M,87.00M,-2.00M,44.00M,-91.00M,-6.00M,-7.00M,-11.00M,14.00M,,655.00M,,-693.00M,,-696.00M,3.00M,,,-13.00M,-706.00M,,470.00M,-190.00M,280.00M,104.00M,,104.00M,,,-271.00M,-271.00M,-9.00M,104.00M,,433.00M,53.00M,4.00M,490.00M,,104.00M,530.00M,-60.00M,,,,,AOR,Restated
2017-03,403.00M,35.00M,-19.00M,16.00M,242.00M,23.00M,265.00M,265.00M,161.00M,,,,19.00M,-521.00M,9.00M,44.00M,-110.00M,-105.00M,5.00M,-56.00M,5.00M,-208.00M,,135.00M,,-680.00M,,-677.00M,-3.00M,,,1.00M,-679.00M,,64.00M,744.00M,808.00M,73.00M,,73.00M,,,-258.00M,-258.00M,-16.00M,607.00M,,367.00M,63.00M,3.00M,433.00M,,73.00M,64.00M,,,,,,AOR,Restated
2016-12,465.00M,-88.00M,-11.00M,-99.00M,234.00M,26.00M,260.00M,260.00M,124.00M,,,,5.00M,-82.00M,-81.00M,-11.00M,34.00M,25.00M,15.00M,-28.00M,33.00M,-13.00M,,660.00M,,-824.00M,,-847.00M,23.00M,,,-36.00M,-860.00M,,76.00M,297.00M,373.00M,11.00M,,11.00M,,,-258.00M,-258.00M,-7.00M,119.00M,,416.00M,-81.00M,-2.00M,372.00M,,11.00M,101.00M,-25.00M,,,,,AOR,Restated
2016-09,473.00M,299.00M,-5.00M,294.00M,232.00M,17.00M,249.00M,249.00M,116.00M,,,,5.00M,-122.00M,-11.00M,-13.00M,32.00M,134.00M,16.00M,-21.00M,-92.00M,45.00M,,1.06B,,-736.00M,,-727.00M,-9.00M,,,17.00M,-719.00M,,0.00,-202.00M,-202.00M,57.00M,,57.00M,,,-259.00M,-259.00M,-2.00M,-406.00M,,492.00M,-65.00M,-11.00M,416.00M,,57.00M,221.00M,-221.00M,,,,,AOR,Restated
2016-06,483.00M,-158.00M,-11.00M,-169.00M,231.00M,19.00M,250.00M,250.00M,158.00M,,,,5.00M,-107.00M,58.00M,-4.00M,20.00M,-74.00M,7.00M,-51.00M,37.00M,-7.00M,,613.00M,,-698.00M,,-690.00M,-8.00M,,,12.00M,-686.00M,,336.00M,-417.00M,-81.00M,34.00M,,34.00M,,,-258.00M,-258.00M,38.00M,-267.00M,,814.00M,-340.00M,18.00M,492.00M,,34.00M,796.00M,-460.00M,,,,,AOR,Restated
2016-03,481.00M,-34.00M,-13.00M,-47.00M,229.00M,18.00M,247.00M,247.00M,162.00M,,,,13.00M,-128.00M,-44.00M,25.00M,-86.00M,-28.00M,-5.00M,-51.00M,18.00M,-171.00M,,557.00M,,-662.00M,,-656.00M,-6.00M,,,1.00M,-661.00M,,0.00,351.00M,351.00M,42.00M,,42.00M,,,-255.00M,-255.00M,-23.00M,115.00M,,836.00M,11.00M,-33.00M,814.00M,,42.00M,224.00M,-224.00M,,,,,AOR,Restated
2015-12,405.00M,-60.00M,12.00M,-48.00M,225.00M,13.00M,238.00M,238.00M,69.00M,,,,5.00M,-139.00M,15.00M,-36.00M,43.00M,31.00M,23.00M,-16.00M,-6.00M,54.00M,0.00,584.00M,,-978.00M,,-973.00M,-5.00M,,0.00,2.00M,-976.00M,,99.00M,365.00M,464.00M,58.00M,,58.00M,,,-254.00M,-254.00M,-17.00M,251.00M,,981.00M,-141.00M,-4.00M,836.00M,,58.00M,1.099B,-1.00B,,,,,AOR,Restated
2015-09,396.00M,-79.00M,12.00M,-67.00M,226.00M,19.00M,245.00M,245.00M,103.00M,,,,-12.00M,-197.00M,81.00M,60.00M,18.00M,-23.00M,-13.00M,99.00M,28.00M,250.00M,0.00,718.00M,,-889.00M,,-881.00M,-8.00M,,1.00M,0.00,-888.00M,,1.049B,-547.00M,502.00M,62.00M,,62.00M,,,-250.00M,-250.00M,-12.00M,302.00M,,846.00M,132.00M,3.00M,981.00M,,62.00M,1.049B,,,,,,AOR,Restated
2015-06,250.00M,114.00M,16.00M,130.00M,216.00M,16.00M,232.00M,232.00M,145.00M,,,,24.00M,-78.00M,99.00M,-76.00M,54.00M,-264.00M,-23.00M,45.00M,-20.00M,-185.00M,122.00M,640.00M,,-860.00M,,-846.00M,-14.00M,,150.00M,-5.00M,-734.00M,,88.00M,113.00M,201.00M,48.00M,,48.00M,,,-250.00M,-250.00M,-4.00M,-388.00M,,1.114B,-261.00M,-7.00M,846.00M,,48.00M,88.00M,0.00,,,,,AOR,Restated
2015-03,552.00M,-52.00M,16.00M,-36.00M,216.00M,11.00M,227.00M,227.00M,111.00M,,,,14.00M,-200.00M,-94.00M,76.00M,-115.00M,-35.00M,-6.00M,-75.00M,33.00M,-216.00M,221.00M,673.00M,,-843.00M,,-833.00M,-10.00M,,-15.00M,-2.00M,-990.00M,,,163.00M,163.00M,35.00M,,35.00M,,,-250.00M,-250.00M,-14.00M,-97.00M,,1.399B,-283.00M,-2.00M,1.114B,,35.00M,,,,,,,AOR,Restated
2014-12,408.00M,-88.00M,11.00M,-77.00M,235.00M,14.00M,249.00M,249.00M,250.00M,,,,-24.00M,-27.00M,-164.00M,-7.00M,87.00M,116.00M,-1.00M,-20.00M,-12.00M,-1.00M,-3.00M,775.00M,,-1.085B,,-1.072B,-13.00M,,-120.00M,9.00M,-355.00M,,0.00,339.00M,339.00M,37.00M,,37.00M,,,-249.00M,-249.00M,-2.00M,164.00M,,994.00M,426.00M,-21.00M,1.399B,,37.00M,0.00,0.00,,,,,AOR,Restated
2014-09,410.00M,-168.00M,10.00M,-158.00M,233.00M,16.00M,249.00M,249.00M,163.00M,,,,4.00M,-106.00M,64.00M,7.00M,19.00M,186.00M,8.00M,29.00M,-5.00M,308.00M,175.00M,1.045B,,-936.00M,,-924.00M,-12.00M,,,6.00M,-871.00M,,2.00M,25.00M,27.00M,20.00M,,20.00M,,,-248.00M,-248.00M,-11.00M,-252.00M,,1.005B,-8.00M,-3.00M,994.00M,,20.00M,0.00,2.00M,,,,,AOR,Restated
2014-06,303.00M,-172.00M,6.00M,-166.00M,150.00M,-25.00M,125.00M,125.00M,279.00M,,,,-8.00M,-55.00M,217.00M,-96.00M,51.00M,-320.00M,5.00M,-3.00M,30.00M,-116.00M,290.00M,652.00M,,-794.00M,,-786.00M,-8.00M,,5.00M,272.00M,-920.00M,,296.00M,-1.095B,-799.00M,1.002B,,1.002B,,,-236.00M,-236.00M,-10.00M,279.00M,,1.256B,-14.00M,2.00M,1.005B,,1.002B,296.00M,0.00,,,,,AOR,Restated
2014-03,316.00M,241.00M,21.00M,262.00M,305.00M,60.00M,365.00M,365.00M,-26.00M,,,,28.00M,-65.00M,-218.00M,96.00M,-70.00M,219.00M,-3.00M,17.00M,10.00M,51.00M,,931.00M,,-908.00M,,-892.00M,-16.00M,,-5.00M,-270.00M,-1.183B,,-239.00M,878.00M,639.00M,15.00M,,15.00M,,,-234.00M,-234.00M,-28.00M,392.00M,,1.102B,140.00M,14.00M,1.256B,,15.00M,,-239.00M,,,,,AOR,Restated
2013-12,139.00M,-70.00M,-10.00M,-80.00M,-16.00M,-98.00M,-114.00M,-114.00M,86.00M,,,,-45.00M,157.00M,-385.00M,14.00M,39.00M,242.00M,70.00M,9.00M,92.00M,81.00M,,633.00M,,-853.00M,,-861.00M,8.00M,,10.00M,-33.00M,-1.507B,,1.485B,553.00M,2.038B,2.00M,0.00,2.00M,,,-233.00M,-233.00M,-20.00M,665.00M,,1.291B,-34.00M,19.00M,863.00M,,2.00M,1.176B,309.00M,0.00,,,,AOR,Restated
2013-09,411.00M,137.00M,44.00M,181.00M,289.00M,51.00M,340.00M,340.00M,10.00M,,,,45.00M,-40.00M,163.00M,-43.00M,64.00M,2.00M,5.00M,107.00M,31.00M,329.00M,,1.276B,,-992.00M,,-971.00M,-21.00M,,-3.00M,41.00M,-954.00M,,112.00M,-711.00M,-599.00M,1.15B,-46.00M,1.104B,,,-219.00M,-219.00M,-30.00M,256.00M,,711.00M,578.00M,2.00M,1.291B,,1.15B,412.00M,-300.00M,-46.00M,,,,AOR,Restated
2013-06,405.00M,-109.00M,40.00M,-69.00M,286.00M,49.00M,335.00M,335.00M,211.00M,,,,,-19.00M,5.00M,-26.00M,53.00M,-50.00M,-97.00M,63.00M,-108.00M,-160.00M,,703.00M,,-1.009B,,-969.00M,-40.00M,,-3.00M,77.00M,-935.00M,,-1.00M,147.00M,146.00M,259.00M,-28.00M,231.00M,,,-216.00M,-216.00M,-72.00M,89.00M,,853.00M,-143.00M,1.00M,711.00M,,259.00M,0.00,-1.00M,-28.00M,,,,AOR,Restated
2013-03,413.00M,98.00M,51.00M,149.00M,284.00M,64.00M,348.00M,348.00M,80.00M,,,,,-399.00M,-50.00M,55.00M,-117.00M,-16.00M,33.00M,-59.00M,-193.00M,-347.00M,,244.00M,,-828.00M,,-828.00M,,,-4.00M,-67.00M,-899.00M,,442.00M,416.00M,858.00M,,,,,,-210.00M,-210.00M,-27.00M,621.00M,,901.00M,-34.00M,-14.00M,853.00M,,,450.00M,-8.00M,,,,,AOR,Restated
2012-12,360.00M,6.00M,43.00M,49.00M,287.00M,42.00M,329.00M,329.00M,126.00M,,,,,-174.00M,-152.00M,,,98.00M,-34.00M,37.00M,0.00,-69.00M,,670.00M,,-1.098B,,-1.027B,,0.00,-5.00M,96.00M,-1.007B,,396.00M,125.00M,521.00M,18.00M,,18.00M,0.00,0.00,-210.00M,-210.00M,-41.00M,288.00M,,946.00M,-49.00M,4.00M,901.00M,,18.00M,399.00M,-3.00M,0.00,,,,AOR,Restated
2012-09,355.00M,230.00M,39.00M,269.00M,278.00M,56.00M,334.00M,334.00M,-66.00M,,,,,-24.00M,47.00M,,97.00M,81.00M,17.00M,6.00M,31.00M,279.00M,,1.147B,,-769.00M,,-769.00M,,0.00,-4.00M,10.00M,-763.00M,,144.00M,-362.00M,-218.00M,19.00M,,19.00M,0.00,0.00,-210.00M,-210.00M,-22.00M,-431.00M,,981.00M,-47.00M,12.00M,946.00M,,19.00M,249.00M,-105.00M,0.00,,,,AOR,Restated
2012-06,271.00M,26.00M,42.00M,68.00M,271.00M,33.00M,304.00M,304.00M,107.00M,,,,,-280.00M,2.00M,,3.00M,-151.00M,-4.00M,-30.00M,-71.00M,-251.00M,,219.00M,,-627.00M,,-627.00M,,-84.00M,-18.00M,87.00M,-642.00M,,575.00M,218.00M,793.00M,19.00M,,19.00M,-250.00M,-250.00M,-210.00M,-210.00M,-37.00M,315.00M,,1.103B,-108.00M,-14.00M,981.00M,,19.00M,575.00M,,-250.00M,,,,AOR,Restated
2012-03,545.00M,-235.00M,42.00M,-193.00M,264.00M,55.00M,319.00M,319.00M,257.00M,,,,,-188.00M,91.00M,,-100.00M,-33.00M,-12.00M,-15.00M,57.00M,-12.00M,,728.00M,,-682.00M,,-682.00M,,,12.00M,-41.00M,-711.00M,,,93.00M,93.00M,16.00M,,16.00M,,,-203.00M,-203.00M,-30.00M,-124.00M,,1.202B,-107.00M,8.00M,1.103B,,16.00M,,,,,,,AOR,Restated
2011-12,458.00M,,605.00M,291.00M,264.00M,74.00M,338.00M,338.00M,179.00M,,,190.00M,,-722.00M,-127.00M,,8.00M,86.00M,,174.00M,-165.00M,-86.00M,,661.00M,,-904.00M,0.00,-802.00M,,0.00,-3.00M,-6.00M,-913.00M,,-2.00M,197.00M,195.00M,16.00M,,16.00M,,,-203.00M,-203.00M,-45.00M,-37.00M,,1.511B,-289.00M,-20.00M,1.202B,,16.00M,500.00M,-502.00M,,,,,AOR,Restated
2011-09,449.00M,,79.00M,79.00M,251.00M,54.00M,305.00M,305.00M,66.00M,,,-25.00M,,-12.00M,-56.00M,,175.00M,15.00M,,-15.00M,51.00M,170.00M,,1.032B,,-682.00M,0.00,-682.00M,,0.00,-3.00M,-55.00M,-740.00M,,187.00M,-1.00M,186.00M,15.00M,,15.00M,,0.00,-203.00M,-203.00M,-41.00M,-43.00M,,1.269B,249.00M,-7.00M,1.511B,,15.00M,895.00M,-708.00M,,,,,AOR,Restated
2011-06,200.00M,,-80.00M,-80.00M,238.00M,79.00M,317.00M,317.00M,133.00M,,,-69.00M,,12.00M,16.00M,,196.00M,-85.00M,,-63.00M,41.00M,105.00M,,618.00M,,-575.00M,0.00,-575.00M,,-5.763B,-3.00M,-56.00M,-6.397B,,4.35B,-508.00M,3.842B,2.25B,,2.25B,,0.00,-170.00M,-170.00M,-88.00M,5.834B,,1.245B,55.00M,-31.00M,1.269B,,2.25B,4.35B,,,,,,AOR,Restated
2011-03,405.00M,,-399.00M,-399.00M,208.00M,47.00M,255.00M,255.00M,204.00M,,,-96.00M,,17.00M,142.00M,,-85.00M,-47.00M,,-195.00M,-5.00M,-190.00M,,196.00M,,-428.00M,381.00M,-47.00M,,,159.00M,-14.00M,98.00M,,,187.00M,187.00M,16.00M,,16.00M,,,-170.00M,-170.00M,-20.00M,13.00M,,925.00M,307.00M,13.00M,1.245B,,16.00M,,,,,,,AOR,Restated
2010-12,359.00M,,401.00M,943.00M,180.00M,57.00M,237.00M,237.00M,420.00M,,2.00M,-595.00M,,-385.00M,-112.00M,,-270.00M,111.00M,,-181.00M,-151.00M,-648.00M,,337.00M,,-617.00M,,-617.00M,,-6.774B,-4.00M,6.00M,-7.389B,,2.872B,513.00M,3.385B,16.00M,,16.00M,0.00,0.00,-169.00M,-169.00M,-111.00M,3.121B,,4.853B,-3.931B,3.00M,925.00M,,16.00M,2.892B,,0.00,,,,AOR,Restated
2010-09,253.00M,,-5.00M,-5.00M,129.00M,69.00M,198.00M,198.00M,-116.00M,,118.00M,251.00M,,-59.00M,66.00M,,108.00M,111.00M,,71.00M,125.00M,481.00M,,1.124B,,-356.00M,,-356.00M,,0.00,-3.00M,-23.00M,-382.00M,,3.00M,-285.00M,-282.00M,15.00M,,15.00M,0.00,0.00,-134.00M,-134.00M,-8.00M,-409.00M,,4.505B,333.00M,15.00M,4.853B,,15.00M,3.00M,,0.00,,,,AOR,
2010-06,92.00M,,-179.00M,-179.00M,130.00M,54.00M,184.00M,184.00M,-58.00M,,,237.00M,,40.00M,118.00M,,-62.00M,-194.00M,,-253.00M,-154.00M,-545.00M,,-226.00M,,-341.00M,,-341.00M,,0.00,-2.00M,195.00M,-148.00M,,1.15B,-122.00M,1.028B,2.396B,,2.396B,-54.00M,-54.00M,-132.00M,-132.00M,-73.00M,3.165B,,1.724B,2.791B,-10.00M,4.505B,,2.396B,1.15B,,-54.00M,,,,AOR,Restated
2010-03,255.00M,,-115.00M,-115.00M,128.00M,33.00M,161.00M,161.00M,-5.00M,,,107.00M,,40.00M,-277.00M,,-94.00M,258.00M,,351.00M,61.00M,299.00M,,798.00M,,-283.00M,,-283.00M,,124.00M,-5.00M,-146.00M,-310.00M,,597.00M,-36.00M,561.00M,14.00M,,14.00M,,,-131.00M,-131.00M,-14.00M,430.00M,,801.00M,918.00M,5.00M,1.724B,,14.00M,597.00M,,,,,,AOR,Restated
2009-12,157.00M,,,-131.00M,126.00M,103.00M,229.00M,229.00M,84.00M,,18.00M,73.00M,,-320.00M,151.00M,,-4.00M,28.00M,-98.00M,334.00M,-289.00M,122.00M,,605.00M,,-337.00M,,-404.00M,67.00M,81.00M,-3.00M,-30.00M,-289.00M,,-100.00M,18.00M,-82.00M,15.00M,,15.00M,,0.00,-131.00M,-131.00M,-13.00M,-211.00M,,696.00M,105.00M,,801.00M,,15.00M,0.00,-30.00M,,,,,AOR,Restated
2009-09,26.00M,,,18.00M,120.00M,104.00M,224.00M,224.00M,106.00M,,5.00M,216.00M,,335.00M,-234.00M,45.00M,72.00M,-17.00M,98.00M,-207.00M,357.00M,114.00M,,679.00M,,-316.00M,,-297.00M,-19.00M,,-7.00M,-28.00M,-351.00M,,-486.00M,7.00M,-479.00M,15.00M,,15.00M,,,-130.00M,-130.00M,-11.00M,-605.00M,,973.00M,-277.00M,,696.00M,,15.00M,0.00,-479.00M,,,,,AOR,Restated
2009-06,-3.00M,,,-27.00M,115.00M,182.00M,297.00M,297.00M,-74.00M,-93.00M,53.00M,143.00M,,18.00M,174.00M,-45.00M,22.00M,-136.00M,-31.00M,207.00M,-247.00M,-56.00M,,258.00M,,-272.00M,,-254.00M,-18.00M,0.00,51.00M,131.00M,-90.00M,,289.00M,13.00M,302.00M,14.00M,,14.00M,0.00,0.00,-130.00M,-130.00M,-12.00M,174.00M,,631.00M,342.00M,0.00,973.00M,,14.00M,298.00M,4.00M,0.00,,,,AOR,Restated
2009-03,246.00M,,,-13.00M,110.00M,,110.00M,110.00M,-12.00M,93.00M,51.00M,-103.00M,,12.00M,-9.00M,,-107.00M,-48.00M,31.00M,,59.00M,-74.00M,,310.00M,,-300.00M,,-270.00M,-30.00M,0.00,87.00M,63.00M,-150.00M,,-421.00M,-90.00M,-511.00M,16.00M,,16.00M,,,-126.00M,-126.00M,-8.00M,-629.00M,,1.10B,-469.00M,0.00,631.00M,,16.00M,0.00,-511.00M,,,,,,Restated
2008-12,282.00M,,,-103.00M,114.00M,,114.00M,114.00M,99.00M,97.00M,52.00M,-196.00M,,23.00M,19.00M,-35.00M,,116.00M,,,45.00M,60.00M,,428.00M,,-488.00M,,-136.00M,-41.00M,,-81.00M,-19.00M,-277.00M,,267.00M,479.00M,746.00M,0.00,0.00,0.00,,,-126.00M,-126.00M,-15.00M,605.00M,,349.00M,756.00M,-8.00M,1.10B,,0.00,1.118B,-372.00M,0.00,,,,,Restated
2008-09,208.00M,,,-21.00M,117.00M,,117.00M,117.00M,-18.00M,108.00M,42.00M,1.00M,,24.00M,220.00M,3.00M,68.00M,-151.00M,,,-373.00M,-233.00M,,228.00M,,-343.00M,,-318.00M,-16.00M,,0.00,200.00M,-134.00M,,218.00M,-291.00M,-73.00M,2.00M,0.00,2.00M,,,-126.00M,-126.00M,-10.00M,-207.00M,,466.00M,-113.00M,-3.00M,349.00M,,2.00M,9.00M,-82.00M,0.00,,,,,Restated
2008-06,195.00M,,,18.00M,118.00M,,118.00M,118.00M,0.00,84.00M,8.00M,-84.00M,,26.00M,-182.00M,-31.00M,39.00M,35.00M,,,283.00M,144.00M,,509.00M,,-566.00M,,-346.00M,-219.00M,,18.00M,-207.00M,-754.00M,,-126.00M,450.00M,324.00M,13.00M,0.00,13.00M,,,-126.00M,-126.00M,4.00M,215.00M,,495.00M,-30.00M,0.00,466.00M,,13.00M,400.00M,-76.00M,0.00,,,,,Restated
