,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2016-09,526.80M,526.80M,317.00M,209.80M,141.00M,,5.60M,-5.60M,,141.00M,68.80M,5.60M,-5.60M,-0.80M,-5.60M,62.40M,10.40M,52.00M,,,52.00M,52.00M,90.80M,22.80M,68.00M,1.5,,1.5,1.5,1.46,,1.46,1.46,34.70M,35.60M
2016-06,539.70M,539.70M,336.20M,203.50M,149.90M,,5.90M,-5.90M,,149.90M,53.60M,5.90M,-5.90M,17.20M,-5.90M,64.90M,18.00M,46.90M,,,46.90M,46.90M,92.50M,21.70M,70.80M,1.36,,1.36,1.36,1.33,,1.33,1.33,34.40M,35.30M
2016-03,530.50M,530.50M,324.80M,205.70M,144.80M,,5.70M,-5.70M,,144.80M,60.90M,5.70M,-5.70M,-1.30M,-5.70M,53.90M,14.90M,39.00M,,,39.00M,39.00M,80.70M,21.10M,59.60M,1.13,,1.13,1.13,1.11,,1.11,1.11,34.40M,35.20M
2015-12,611.30M,611.30M,390.90M,220.40M,147.20M,,6.00M,-6.00M,,147.20M,73.20M,6.00M,-6.00M,-1.70M,-6.00M,65.50M,11.80M,53.70M,,0.00,55.50M,53.70M,94.20M,22.70M,71.50M,1.5659999999999998,,1.5659999999999998,1.5659999999999998,1.5659999999999998,,1.5659999999999998,1.5659999999999998,35.00M,35.40M
2015-09,551.70M,551.70M,340.30M,211.40M,139.60M,,6.00M,-6.00M,,139.60M,71.80M,6.00M,-6.00M,-2.10M,-6.00M,63.70M,13.90M,49.80M,-1.50M,,48.30M,49.80M,91.50M,21.80M,69.70M,1.41,-0.04,1.41,1.37,1.38,-0.04,1.38,1.34,35.30M,36.10M
2015-06,573.60M,573.60M,353.90M,219.70M,150.60M,,6.00M,-6.00M,,150.60M,69.10M,6.00M,-6.00M,3.40M,-6.00M,66.50M,18.40M,48.10M,-0.10M,0.30M,48.30M,48.40M,95.10M,22.60M,72.50M,1.37,0.0,1.37,1.37,1.34,0.0,1.34,1.34,35.30M,36.10M
2015-03,565.00M,565.00M,345.90M,219.10M,151.80M,,5.90M,-5.90M,,151.80M,67.30M,5.90M,-5.90M,0.80M,-5.90M,62.20M,18.50M,43.70M,,,43.70M,43.70M,91.30M,23.20M,68.10M,1.22,,1.22,1.22,1.2,,1.2,1.2,35.70M,36.50M
2014-12,622.30M,622.30M,391.60M,230.70M,150.80M,,5.10M,-5.10M,,150.80M,79.90M,5.10M,-5.10M,-0.40M,-5.10M,74.40M,15.50M,58.90M,,1.30M,60.20M,60.20M,103.70M,24.20M,79.50M,1.642,,1.642,1.642,1.62,,1.62,1.62,36.20M,37.30M
2014-09,601.10M,601.10M,375.40M,225.70M,151.40M,,4.60M,-4.60M,,151.40M,74.30M,4.60M,-4.60M,-1.80M,-4.60M,67.90M,13.00M,54.90M,,0.70M,55.60M,55.60M,96.00M,23.50M,72.50M,1.49,,1.49,1.49,1.47,,1.47,1.47,37.20M,37.80M
2014-06,597.10M,597.10M,368.40M,228.70M,154.40M,,4.60M,-4.60M,,154.40M,74.30M,4.60M,-4.60M,8.20M,-4.60M,77.90M,22.10M,55.80M,,0.30M,56.10M,56.10M,105.90M,23.40M,82.50M,1.5,,1.5,1.5,1.47,,1.47,1.47,37.40M,38.10M
2014-03,573.50M,573.50M,351.70M,221.80M,155.80M,,4.70M,-4.70M,,155.80M,66.00M,4.70M,-4.70M,0.60M,-4.70M,61.90M,15.90M,46.00M,,-0.20M,45.80M,45.80M,89.80M,23.20M,66.60M,1.22,,1.22,1.22,1.2,,1.2,1.2,37.50M,38.30M
2013-12,596.60M,596.60M,382.00M,214.60M,151.10M,,4.80M,-4.80M,,151.10M,63.50M,4.80M,-4.80M,5.30M,-4.80M,64.00M,9.50M,54.50M,,0.40M,54.90M,54.90M,92.80M,24.00M,68.80M,1.44,0.0,1.44,1.44,1.4369999999999998,0.0,1.4369999999999998,1.44,37.30M,38.00M
2013-09,571.60M,571.60M,369.00M,202.60M,149.60M,,5.10M,-5.10M,,149.60M,53.00M,5.10M,-5.10M,-0.70M,-5.10M,47.20M,0.30M,46.90M,,-0.10M,46.80M,46.80M,75.40M,23.10M,52.30M,1.25,,1.25,1.25,1.23,,1.23,1.23,37.30M,38.10M
2013-06,601.00M,601.00M,383.60M,217.40M,152.50M,,5.10M,-5.10M,,152.50M,64.90M,5.10M,-5.10M,,-5.10M,59.80M,16.50M,43.30M,,-0.40M,42.90M,42.90M,87.00M,22.10M,64.90M,1.15,,1.15,1.15,1.13,,1.13,1.13,37.30M,38.00M
2013-03,569.40M,569.40M,365.40M,204.00M,145.10M,,5.40M,-5.40M,,145.10M,58.90M,5.40M,-5.40M,-0.50M,-5.40M,53.00M,13.20M,39.80M,,0.60M,40.40M,40.40M,80.30M,21.90M,58.40M,1.09,,1.09,1.09,1.07,,1.07,1.07,37.20M,37.80M
2012-12,567.40M,567.40M,359.00M,208.40M,140.80M,,5.20M,-5.20M,,140.80M,67.60M,5.20M,-5.20M,0.70M,-5.20M,63.10M,18.60M,44.50M,,-0.60M,46.20M,43.90M,90.20M,21.90M,68.30M,1.181,0.0619,1.181,1.2429999999999999,1.17,0.06,1.17,1.23,37.00M,37.70M
2012-09,547.40M,547.40M,349.00M,198.40M,138.10M,,4.50M,-4.50M,,138.10M,60.30M,4.50M,-4.50M,1.20M,-4.50M,57.00M,13.90M,43.10M,,-0.40M,42.70M,42.70M,83.00M,21.50M,61.50M,1.16,,1.16,1.16,1.14,,1.14,1.14,36.70M,37.40M
2012-06,518.50M,518.50M,343.00M,175.50M,115.80M,,4.10M,-4.10M,,115.80M,59.70M,4.10M,-4.10M,1.40M,-4.10M,57.00M,17.40M,39.60M,,-0.10M,39.50M,39.50M,79.20M,18.10M,61.10M,1.08,,1.08,1.08,1.06,,1.06,1.06,36.60M,37.30M
2012-03,494.00M,494.00M,328.10M,165.90M,110.40M,,4.00M,-4.00M,,110.40M,55.50M,4.00M,-4.00M,-0.40M,-4.00M,51.10M,15.50M,35.60M,,0.10M,35.70M,35.70M,71.90M,16.80M,55.10M,0.98,,0.98,0.98,0.96,,0.96,0.96,36.50M,37.20M
2011-12,474.50M,474.50M,315.70M,158.80M,105.00M,,3.80M,-3.80M,,105.00M,53.80M,3.80M,-3.80M,3.10M,-3.80M,53.10M,16.40M,36.70M,0.00,0.10M,36.80M,36.80M,73.70M,16.80M,56.90M,1.0,0.0,1.0,1.0,0.99,0.0,0.99,0.99,36.60M,37.30M
2011-09,496.40M,496.40M,331.30M,165.10M,108.30M,-3.80M,3.70M,-3.70M,,108.30M,56.80M,3.70M,-3.70M,-3.80M,-3.70M,49.30M,15.20M,34.10M,0.00,0.00,34.10M,36.73M,69.70M,16.70M,53.00M,0.93,0.0,1.002,0.93,0.91,0.0,0.9803,0.91,36.70M,37.40M
2011-06,502.90M,502.90M,330.60M,172.30M,110.40M,1.60M,,-4.30M,,110.40M,61.90M,,-4.30M,1.60M,-4.30M,59.20M,20.40M,38.80M,113.60M,-0.10M,152.30M,37.65M,78.70M,16.80M,61.90M,1.06,3.1,1.031,4.16,1.04,3.04,1.012,4.08,36.60M,37.30M
2011-03,468.10M,468.10M,313.10M,155.00M,100.30M,-0.30M,4.40M,-4.40M,,100.30M,54.70M,4.40M,-4.40M,-0.30M,-4.40M,50.00M,17.50M,32.50M,-0.50M,0.00,32.00M,32.70M,68.30M,13.90M,54.40M,0.89,-0.01,0.8953,0.88,0.87,-0.01,0.8752,0.86,36.50M,37.20M
2010-12,421.50M,421.50M,288.00M,133.50M,84.60M,0.70M,3.30M,-3.30M,,84.60M,48.90M,3.30M,-3.30M,0.70M,-3.30M,46.30M,9.30M,37.00M,-0.40M,0.00,36.60M,36.44M,61.60M,12.00M,49.60M,1.02,-0.01,1.005,1.01,1.0,-0.01,0.985,0.99,36.20M,37.20M
2010-09,409.80M,409.80M,284.90M,124.90M,79.00M,-0.30M,1.60M,-1.60M,,79.00M,45.90M,1.60M,-1.60M,-0.30M,-1.60M,44.00M,14.00M,30.00M,0.40M,-0.10M,30.30M,30.10M,57.40M,11.80M,45.60M,0.83,0.01,0.8356,0.84,0.81,0.01,0.8156,0.82,36.20M,36.80M
2010-06,408.00M,408.00M,287.40M,120.60M,76.90M,0.50M,0.60M,-0.60M,,76.90M,43.70M,0.60M,-0.60M,0.50M,-0.60M,43.60M,15.60M,28.00M,0.60M,0.00,28.60M,27.68M,55.00M,10.80M,44.20M,0.77,0.02,0.7611,0.79,0.76,0.02,0.7513,0.78,36.20M,36.90M
2010-03,404.90M,404.90M,287.80M,117.10M,77.10M,0.70M,1.00M,-1.00M,,77.10M,40.00M,1.00M,-1.00M,0.70M,-1.00M,39.70M,14.70M,25.00M,0.00,,25.00M,24.56M,51.30M,10.60M,40.70M,0.69,0.0,0.6778,0.69,0.68,0.0,0.668,0.68,36.20M,36.80M
2009-12,341.30M,341.30M,245.50M,95.80M,47.10M,0.00,,-1.10M,,47.10M,48.70M,,-1.10M,0.00,-1.10M,47.60M,12.80M,34.80M,,0.00,32.20M,34.80M,58.20M,9.30M,48.90M,0.97,-0.07,0.97,0.9,0.95,-0.07,0.95,0.88,36.00M,36.90M
2009-09,429.40M,429.40M,304.20M,125.20M,81.50M,0.00,1.10M,-1.10M,,81.50M,43.70M,1.10M,-1.10M,,-1.10M,42.60M,7.40M,35.20M,,-0.10M,35.10M,35.10M,53.90M,10.20M,43.70M,0.98,0.0,0.98,0.98,0.96,0.0,0.96,0.96,36.00M,36.60M
2009-06,441.10M,441.10M,313.80M,127.30M,83.60M,-0.60M,,-1.50M,,83.60M,43.70M,,-1.50M,-0.60M,-1.50M,41.60M,16.20M,25.40M,,-0.20M,25.20M,25.57M,55.00M,11.30M,43.70M,0.7,0.0,0.7102,0.7,0.69,0.0,0.7,0.69,36.00M,36.60M
2009-03,440.30M,440.30M,313.80M,126.50M,91.20M,0.40M,1.10M,-1.10M,,91.20M,35.30M,1.10M,-1.10M,0.40M,-1.10M,34.60M,13.60M,21.00M,,-0.20M,20.80M,20.56M,47.40M,11.70M,35.70M,0.58,0.0,0.5733,0.58,0.57,0.0,0.5633,0.57,36.00M,36.50M
2008-12,464.80M,464.80M,344.80M,120.00M,86.50M,0.20M,,,,86.50M,33.50M,,,0.20M,,32.70M,10.50M,22.20M,,-0.40M,19.90M,19.76M,44.40M,10.90M,33.50M,0.56,0.0,0.5562,0.56,0.55,0.0,0.5463,0.55,35.80M,36.50M
2008-09,497.60M,497.60M,348.50M,149.10M,97.20M,-0.10M,,,,97.20M,51.90M,,,-0.10M,,49.10M,18.20M,30.90M,,-0.20M,30.90M,30.96M,64.50M,12.60M,51.90M,0.87,0.0,0.8718,0.87,0.84,0.0,0.8417,0.84,35.60M,36.70M
2008-06,478.80M,478.80M,330.90M,147.90M,92.10M,0.70M,2.50M,-2.50M,,92.10M,55.80M,2.50M,-2.50M,0.70M,-2.50M,54.00M,20.70M,33.30M,,-0.70M,32.60M,32.17M,69.60M,13.10M,56.50M,0.92,0.0,0.9078,0.92,0.89,0.0,0.8782,0.89,35.40M,36.50M
2008-03,451.80M,451.80M,315.30M,136.50M,88.80M,-0.20M,3.00M,-3.00M,,88.80M,47.70M,3.00M,-3.00M,-0.20M,-3.00M,44.50M,15.60M,28.90M,,-1.00M,27.90M,28.03M,58.20M,10.70M,47.50M,0.79,0.0,0.7937,0.79,0.77,0.0,0.7736,0.77,35.20M,36.30M
2007-12,427.50M,427.50M,304.60M,122.90M,81.10M,1.50M,,,,81.10M,41.80M,,,1.50M,,40.00M,13.40M,26.60M,,,26.60M,25.60M,50.90M,9.10M,41.80M,0.76,0.0,0.7314,0.76,0.73,0.0,0.7027,0.73,34.90M,36.50M
2007-09,408.90M,408.90M,284.90M,124.00M,84.00M,0.90M,,,,84.00M,40.00M,,,0.90M,,37.00M,9.90M,27.10M,,-0.90M,27.10M,26.44M,49.00M,9.00M,40.00M,0.77,0.0,0.7512,0.77,0.75,0.0,0.7318,0.75,35.00M,36.20M
2007-06,400.30M,400.30M,274.90M,125.40M,81.80M,0.20M,,,,81.80M,43.60M,,,0.20M,,39.40M,15.10M,24.30M,,-0.90M,24.30M,24.18M,52.50M,8.90M,43.60M,0.69,0.0,0.6865,0.69,0.67,0.0,0.6666,0.67,35.00M,36.10M
2007-03,385.60M,385.60M,272.00M,113.60M,76.70M,0.30M,,,,76.70M,36.90M,,,0.30M,,32.90M,12.40M,20.50M,,-0.70M,20.50M,20.31M,44.60M,7.70M,36.90M,0.59,0.0,0.5846,0.59,0.57,0.0,0.5648,0.57,34.80M,35.80M
2006-12,391.30M,391.30M,276.70M,114.60M,81.40M,-0.30M,,,,81.40M,33.20M,,,-0.30M,,29.10M,10.20M,18.90M,,,18.90M,19.09M,44.30M,11.10M,33.20M,0.55,0.0,0.5557,0.55,0.53,0.0,0.5354,0.53,34.36M,35.92M
2006-09,363.60M,363.60M,261.30M,102.30M,70.20M,0.30M,,,,70.20M,32.10M,,,0.30M,,31.00M,8.40M,22.60M,,,22.60M,22.38M,39.90M,7.80M,32.10M,0.65,0.0,0.6437,0.65,0.63,0.0,0.6239,0.63,34.60M,35.70M
2006-06,348.10M,348.10M,245.40M,102.70M,69.20M,0.50M,,,,69.20M,33.50M,,,0.50M,,32.90M,12.00M,20.90M,,,20.90M,20.58M,40.00M,6.50M,33.50M,0.61,0.0,0.6008,0.61,0.59,0.0,0.581,0.59,34.40M,35.40M
2006-03,330.20M,330.20M,236.80M,93.40M,67.10M,3.50M,,,,67.10M,26.30M,,,3.50M,,28.70M,10.80M,17.90M,,,17.90M,15.72M,32.90M,6.60M,26.30M,0.53,0.0,0.4658,0.53,0.51,0.0,0.4478,0.51,34.00M,35.10M
2005-12,310.40M,310.40M,222.60M,87.80M,60.80M,0.60M,,,,60.80M,27.00M,,,0.60M,,26.70M,10.10M,16.60M,,,16.60M,16.23M,34.10M,7.10M,27.00M,0.49,0.0,0.4789,0.49,0.47,0.0,0.4593,0.47,33.76M,35.01M
2005-09,295.30M,295.30M,212.50M,82.80M,59.40M,2.70M,,,,59.40M,23.40M,,,2.70M,,25.20M,9.50M,15.70M,,,15.70M,14.02M,29.70M,6.30M,23.40M,0.47,0.0,0.4195,0.47,0.45,0.0,0.4017,0.45,33.30M,34.80M
2005-06,303.30M,303.30M,220.00M,83.30M,56.60M,,,,,56.60M,26.70M,,,,,25.80M,9.70M,16.10M,,,16.10M,16.10M,32.80M,6.10M,26.70M,0.49,0.0,0.49,0.49,0.47,0.0,0.47,0.47,33.10M,34.50M
2005-03,297.50M,297.50M,214.50M,83.00M,59.40M,2.50M,,,,59.40M,23.60M,,,2.50M,,25.30M,9.50M,15.80M,,,15.80M,14.24M,29.70M,6.10M,23.60M,0.48,0.0,0.4327,0.48,0.46,0.0,0.4146,0.46,33.00M,34.40M
2004-12,288.10M,288.10M,205.10M,83.00M,60.90M,0.00,,,,60.90M,22.10M,,,0.00,,21.20M,7.80M,13.40M,,,13.40M,13.40M,28.50M,6.40M,22.10M,0.41,0.0,0.41,0.41,0.39,0.0,0.39,0.39,32.40M,34.32M
2004-09,270.00M,270.00M,194.60M,75.40M,56.90M,2.70M,,,,56.90M,18.50M,,,2.70M,,20.60M,8.10M,12.50M,,,12.50M,10.86M,25.50M,7.00M,18.50M,0.38,0.0,0.3296,0.38,0.37,0.0,0.3212,0.37,32.50M,33.60M
2004-06,238.90M,238.90M,178.30M,60.60M,43.90M,0.10M,,,,43.90M,16.70M,,,0.10M,,16.50M,6.60M,9.90M,,,9.90M,9.84M,22.50M,5.80M,16.70M,0.31,0.0,0.3081,0.31,0.3,0.0,0.2982,0.3,32.40M,33.20M
2004-03,219.60M,219.60M,168.30M,51.30M,41.70M,0.20M,,,-200.40M,-158.70M,210.00M,,,0.20M,,9.70M,3.80M,5.90M,,,5.90M,5.778M,215.60M,5.60M,210.00M,0.18,0.0,0.1762,0.18,0.18,0.0,0.1763,0.18,32.30M,33.10M
2003-12,222.40M,222.40M,168.50M,53.90M,40.60M,-0.30M,,,,40.60M,13.30M,,,-0.30M,,12.70M,4.90M,7.80M,,,7.80M,7.984M,19.30M,6.00M,13.30M,0.24,0.0,0.2457,0.24,0.24,0.0,0.2456,0.24,32.53M,32.75M
2003-09,215.70M,215.70M,163.10M,52.60M,40.70M,0.50M,,,,40.70M,11.90M,,,0.50M,,12.20M,2.30M,9.90M,,,9.90M,9.494M,17.80M,5.90M,11.90M,0.31,0.0,0.2974,0.31,0.3,0.0,0.2876,0.3,32.20M,32.70M
2003-06,205.40M,205.40M,153.50M,51.90M,39.30M,-1.70M,,,,39.30M,12.60M,,,-1.70M,,10.70M,4.20M,6.50M,,,6.50M,7.533M,18.20M,5.60M,12.60M,0.2,0.0,0.2321,0.2,0.2,0.0,0.2318,0.2,32.20M,32.50M
2003-03,197.20M,197.20M,151.60M,45.60M,36.40M,-0.10M,,,,36.40M,9.20M,,,-0.10M,,9.00M,3.50M,5.50M,,,5.50M,5.561M,14.80M,5.60M,9.20M,0.17,0.0,0.1719,0.17,0.17,0.0,0.1719,0.17,32.20M,32.50M
2002-12,209.60M,209.60M,160.60M,49.00M,36.60M,-0.40M,,,,36.60M,12.40M,,,-0.40M,,11.90M,4.70M,7.20M,,,7.20M,7.442M,17.90M,5.50M,12.40M,0.22,0.0,0.2274,0.22,0.21,0.0,0.2172,0.21,32.61M,33.85M
2002-09,191.80M,191.80M,143.60M,48.20M,36.70M,-0.10M,,,,36.70M,11.50M,,,-0.10M,,11.40M,4.50M,6.90M,,,6.90M,6.961M,17.00M,5.50M,11.50M,0.22,0.0,0.2219,0.22,0.21,0.0,0.2119,0.21,32.00M,32.70M
2002-06,188.00M,188.00M,141.70M,46.30M,36.60M,0.80M,,,,36.60M,9.70M,,,0.80M,,10.30M,4.10M,6.20M,,,6.20M,5.718M,15.40M,5.70M,9.70M,0.19,0.0,0.175,0.19,0.19,0.0,0.1754,0.19,32.00M,32.90M
2002-03,183.30M,183.30M,139.00M,44.30M,35.70M,0.20M,,,,35.70M,8.60M,,,0.20M,,8.50M,3.40M,5.10M,,,5.10M,4.98M,13.70M,5.10M,8.60M,0.1595,,0.1558,0.1595,0.1595,0.0,0.1558,0.1595,31.97M,32.50M
2001-12,185.00M,185.00M,138.10M,46.90M,35.80M,0.10M,,,0.10M,35.90M,11.00M,,,0.10M,,10.80M,4.30M,6.50M,0.00,,6.50M,6.440M,16.30M,5.30M,11.00M,0.2,0.0,0.1984,0.2,0.2,0.0,0.1984,0.2,37.20M,37.20M
2001-09,185.60M,185.60M,141.10M,44.50M,34.80M,0.20M,,,,34.80M,9.70M,,,0.20M,,9.50M,3.80M,5.70M,,,5.70M,5.58M,14.40M,4.70M,9.70M,0.18,0.0,0.1762,0.18,0.18,0.0,0.1763,0.18,31.70M,32.50M
2001-06,184.00M,184.00M,147.90M,36.10M,37.90M,-14.30M,,,7.40M,45.30M,-9.20M,,,-14.30M,,-16.90M,-6.70M,-10.20M,-0.20M,,-10.40M,-1.569M,-4.10M,5.10M,-9.20M,-0.32,-0.01,-0.0469,-0.33,-0.32,-0.01,-0.0469,-0.33,31.60M,31.60M
2001-03,189.70M,189.70M,146.30M,43.40M,35.30M,0.10M,,,,35.30M,8.10M,,,0.10M,,7.90M,3.10M,4.80M,,,4.80M,4.739M,13.50M,5.40M,8.10M,0.15,0.0,0.1481,0.15,0.15,0.0,0.1481,0.15,32.50M,32.50M
2000-12,196.30M,196.30M,143.60M,52.70M,34.20M,0.20M,,,,37.40M,15.30M,,,0.20M,,15.10M,6.00M,9.10M,0.10M,,9.20M,8.979M,18.50M,3.20M,15.30M,0.3,-0.01,0.2962,0.29,0.28,-0.01,0.2764,0.27,31.54M,33.63M
2000-09,201.10M,201.10M,141.60M,59.50M,38.80M,0.50M,,,,42.60M,16.90M,,,0.50M,,16.10M,6.40M,9.70M,0.10M,,9.80M,9.399M,20.70M,3.80M,16.90M,0.33,0.0,0.3196,0.33,0.32,0.0,0.31,0.32,29.00M,30.20M
2000-06,202.30M,202.30M,143.40M,58.90M,49.30M,0.30M,,,,52.80M,6.10M,,,0.30M,,4.60M,1.80M,2.80M,0.30M,,3.10M,2.617M,9.60M,3.50M,6.10M,0.1,0.01,0.0935,0.11,0.1,0.01,0.0935,0.11,28.18M,28.18M
2000-03,203.50M,203.50M,143.60M,59.90M,36.90M,0.10M,,,,41.20M,18.70M,,,0.10M,,17.00M,6.80M,10.20M,,,10.20M,10.14M,23.00M,4.30M,18.70M,0.38,0.0,0.3778,0.38,0.38,0.0,0.3778,0.38,27.10M,27.10M
1999-12,158.40M,158.40M,,,,,,,,,-524.20M,,,,,,,11.40M,,,13.20M,11.40M,-524.20M,,-524.20M,0.43,0.06,0.43,0.49,0.43,0.06,0.43,0.49,26.88M,26.88M
1999-09,201.00M,201.00M,,,,,,,,,201.00M,,,,,,,11.90M,,,11.90M,11.90M,201.00M,,201.00M,0.43,0.0,0.43,0.43,0.43,0.0,0.43,0.43,27.67M,27.67M
1999-06,201.00M,201.00M,,,,,,,,,201.00M,,,,,,,11.90M,,,11.90M,11.90M,201.00M,,201.00M,0.43,0.0,0.43,0.43,0.43,0.0,0.43,0.43,27.67M,27.67M
