,Cash,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,79.90M,79.90M,79.90M,386.60M,148.20M,534.80M,202.30M,138.90M,50.00M,,381.80M,63.70M,,,,1.060B,,,,,,990.70M,-548.80M,441.90M,1.803B,390.70M,2.193B,,87.20M,2.860B,3.920B,198.00M,198.00M,348.00M,546.00M,9.20M,9.20M,,555.20M,1.019B,,1.019B,,,,289.80M,1.309B,1.864B,0.40M,2.209B,335.80M,180.30M,,,-309.40M,2.056B
2017-12,70.90M,70.90M,70.90M,388.30M,89.80M,478.10M,200.20M,157.90M,54.10M,,400.20M,62.70M,,,,1.012B,0.0,61.40M,256.60M,656.40M,,974.40M,-531.60M,442.80M,1.777B,398.90M,2.176B,,88.90M,2.834B,3.846B,191.70M,191.70M,345.30M,537.00M,3.60M,3.60M,,540.60M,1.069B,,1.069B,,,,289.20M,1.358B,1.899B,0.40M,2.140B,337.30M,200.70M,,,-329.30M,1.947B
2017-09,82.50M,82.50M,82.50M,466.00M,,466.00M,201.20M,193.40M,57.70M,,431.90M,60.60M,,,,1.041B,,,,,,971.50M,-519.40M,452.10M,1.749B,408.20M,2.157B,,87.50M,2.806B,3.848B,186.00M,186.00M,336.60M,522.60M,2.50M,2.50M,,525.10M,1.193B,,1.193B,,,,275.80M,1.469B,1.994B,0.40M,2.072B,337.10M,211.30M,,,-344.80M,1.853B
2017-06,81.70M,81.70M,81.70M,467.10M,,467.10M,195.00M,200.40M,59.50M,,435.70M,54.20M,,,,1.039B,,,,,,947.70M,-500.80M,446.90M,1.706B,403.60M,2.109B,,82.40M,2.741B,3.780B,197.40M,197.40M,320.10M,517.50M,102.30M,102.30M,,619.80M,1.154B,,1.154B,,,,275.30M,1.429B,2.049B,0.40M,2.003B,336.70M,221.90M,,,-386.70M,1.732B
2017-03,69.70M,69.70M,69.70M,444.80M,,444.80M,179.50M,196.80M,58.90M,,415.60M,55.00M,,,,985.10M,,,,,,923.70M,-480.70M,443.00M,1.671B,402.70M,2.074B,,75.50M,2.688B,3.673B,182.10M,182.10M,314.00M,496.10M,103.50M,103.50M,,599.60M,1.210B,,1.210B,,,,259.70M,1.469B,2.069B,0.40M,1.943B,335.40M,230.70M,,,-443.90M,1.604B
2016-12,98.60M,98.60M,98.60M,343.10M,40.60M,383.70M,146.00M,147.80M,43.00M,,314.20M,49.70M,,,,846.20M,0.0,37.50M,204.30M,567.50M,,809.30M,-468.50M,340.80M,1.194B,234.60M,1.428B,,70.80M,1.928B,2.774B,138.80M,138.80M,261.00M,399.80M,102.00M,102.00M,,501.80M,515.80M,,515.80M,,,,202.40M,718.20M,1.22B,0.40M,1.912B,335.70M,242.90M,,,-451.20M,1.554B
2016-09,99.50M,99.50M,99.50M,371.50M,,371.50M,147.40M,156.30M,42.10M,,325.00M,35.70M,19.50M,,,851.20M,,,,,,784.40M,-465.00M,319.40M,1.184B,237.70M,1.421B,,71.00M,1.942B,2.794B,142.30M,142.30M,272.10M,414.40M,114.60M,114.60M,,529.00M,498.40M,,498.40M,,,,221.20M,719.60M,1.249B,0.40M,1.859B,338.80M,259.30M,,,-394.20M,1.545B
2016-06,71.70M,71.70M,71.70M,367.60M,,367.60M,143.30M,149.50M,45.80M,,319.00M,40.90M,19.50M,,,830.50M,,,,,,775.00M,-453.10M,321.90M,1.186B,246.10M,1.433B,,71.00M,1.95B,2.780B,134.00M,134.00M,252.30M,386.30M,13.50M,13.50M,2.50M,402.30M,678.20M,,678.20M,,,,222.90M,901.10M,1.303B,0.40M,1.806B,351.00M,291.00M,,,-388.90M,1.477B
2016-03,83.20M,83.20M,83.20M,371.80M,,371.80M,147.20M,151.70M,47.50M,,322.00M,56.40M,,,,833.40M,,,,,,791.80M,-469.00M,322.80M,1.152B,240.00M,1.392B,,72.00M,1.904B,2.738B,134.20M,134.20M,244.70M,378.90M,12.40M,12.40M,,391.30M,707.10M,,707.10M,,,,212.50M,919.60M,1.311B,0.40M,1.760B,353.50M,304.90M,,,-381.90M,1.427B
2015-12,85.10M,85.10M,85.10M,339.10M,33.90M,373.00M,141.60M,149.40M,45.80M,,309.20M,59.50M,,,,826.80M,0.0,32.90M,182.00M,561.20M,,776.10M,-454.80M,321.30M,1.140B,243.30M,1.384B,,74.50M,1.890B,2.717B,136.50M,136.50M,238.00M,374.50M,19.10M,19.10M,,393.60M,761.50M,,761.50M,,,,217.90M,979.40M,1.373B,0.40M,1.722B,345.30M,309.90M,,,-413.20M,1.344B
2015-09,71.50M,71.50M,71.50M,382.00M,,382.00M,150.60M,167.90M,42.90M,,331.50M,33.70M,,47.80M,,866.50M,,,,,,769.90M,-448.40M,321.50M,1.150B,253.40M,1.403B,,71.90M,1.904B,2.771B,151.70M,151.70M,245.40M,397.10M,14.30M,14.30M,,411.40M,698.40M,,698.40M,,,0.00,240.40M,938.80M,1.350B,0.40M,1.666B,346.60M,218.50M,,,-373.70M,1.421B
2015-06,61.30M,61.30M,61.30M,395.60M,,395.60M,148.50M,167.60M,47.40M,,330.20M,41.50M,,45.40M,,874.00M,,,,,,771.90M,-440.60M,331.30M,1.166B,266.60M,1.432B,,68.30M,1.933B,2.807B,145.50M,145.50M,252.90M,398.40M,87.20M,87.20M,,485.60M,678.10M,,678.10M,,,0.00,246.80M,924.90M,1.410B,0.40M,1.618B,345.60M,223.90M,,,-343.20M,1.397B
2015-03,,110.20M,110.20M,389.10M,,389.10M,143.20M,164.50M,42.80M,,323.40M,36.60M,,42.00M,,901.30M,,,,,,754.70M,-425.60M,329.10M,1.134B,264.80M,1.398B,,69.50M,1.892B,2.793B,152.10M,152.10M,244.30M,396.40M,87.50M,87.50M,,483.90M,742.50M,,742.50M,,,38.10M,237.20M,979.70M,1.464B,0.40M,1.569B,318.40M,227.00M,,,-369.80M,1.291B
2014-12,141.40M,141.40M,141.40M,367.00M,33.70M,400.70M,143.10M,153.50M,43.30M,,311.80M,87.80M,,,,941.70M,0.0,33.70M,175.30M,545.00M,,754.00M,-417.50M,336.50M,1.151B,277.60M,1.428B,,69.50M,1.920B,2.862B,162.50M,162.50M,290.30M,452.80M,86.20M,86.20M,,539.00M,618.90M,,618.90M,,,41.20M,235.80M,854.70M,1.394B,0.40M,1.526B,326.50M,102.10M,,,-323.20M,1.427B
2014-09,,125.80M,125.80M,374.40M,,374.40M,134.80M,159.60M,41.20M,,310.90M,66.60M,,,,877.70M,,,,,,742.30M,-407.20M,335.10M,1.028B,244.50M,1.272B,,69.00M,1.915B,2.793B,147.90M,147.90M,268.90M,416.80M,85.00M,85.00M,,501.80M,492.80M,,492.80M,,,44.30M,260.60M,753.40M,1.255B,0.40M,1.465B,326.10M,111.90M,,,-186.60M,1.493B
2014-06,,103.40M,103.40M,376.30M,,376.30M,138.20M,162.10M,44.90M,,318.10M,60.70M,,,,858.50M,,,,,,742.70M,-396.20M,346.50M,1.043B,258.40M,1.301B,,67.30M,1.948B,2.806B,149.70M,149.70M,258.70M,408.40M,7.50M,7.50M,,415.90M,501.70M,,501.70M,,,47.10M,263.70M,765.40M,1.181B,0.40M,1.410B,333.00M,13.50M,,,-152.00M,1.578B
2014-03,,73.70M,73.70M,376.90M,,376.90M,128.90M,163.90M,43.40M,,307.60M,63.00M,,,,821.20M,,,,,,731.60M,-380.50M,351.10M,1.033B,261.20M,1.294B,,65.50M,1.939B,2.760B,152.30M,152.30M,239.30M,391.60M,4.80M,4.80M,,396.40M,555.10M,,555.10M,,,45.70M,261.80M,816.90M,1.213B,0.40M,1.354B,333.70M,13.70M,,,-173.00M,1.501B
2013-12,,66.00M,66.00M,350.20M,27.80M,378.00M,130.70M,151.50M,41.40M,,294.30M,60.80M,,,,799.10M,0.0,34.00M,171.00M,519.70M,,724.70M,-367.00M,357.70M,1.038B,270.90M,1.309B,,63.60M,1.952B,2.751B,147.50M,147.50M,267.10M,414.60M,3.50M,3.50M,,418.10M,549.00M,,549.00M,,,47.00M,265.30M,814.30M,1.232B,0.40M,1.308B,328.80M,0.00,,,-165.50M,1.472B
2013-09,,88.70M,88.70M,368.90M,,368.90M,135.60M,156.30M,39.60M,,304.00M,51.20M,,30.10M,,842.90M,,,,,,718.50M,-357.50M,361.00M,1.030B,274.20M,1.304B,,112.30M,1.778B,2.621B,160.00M,160.00M,242.10M,402.10M,4.50M,4.50M,,406.60M,638.60M,,638.60M,,23.10M,49.20M,192.80M,854.50M,1.261B,0.40M,1.253B,322.10M,,,,-265.10M,1.310B
2013-06,,70.10M,70.10M,346.70M,,346.70M,135.90M,145.40M,38.30M,,293.70M,33.90M,,33.90M,,778.30M,,,,,,700.20M,-345.80M,354.40M,1.007B,270.40M,1.277B,,104.20M,1.736B,2.514B,156.50M,156.50M,244.50M,401.00M,1.90M,1.90M,,402.90M,626.20M,,626.20M,,22.30M,52.70M,182.10M,830.60M,1.234B,0.40M,1.206B,314.70M,,,,-293.50M,1.228B
2013-03,,49.00M,49.00M,372.10M,,372.10M,134.40M,158.70M,34.80M,,304.50M,34.50M,,33.70M,,793.80M,,,,,,685.00M,-333.80M,351.20M,1.015B,280.10M,1.295B,,90.50M,1.737B,2.530B,160.00M,160.00M,232.90M,392.90M,3.70M,3.70M,,396.60M,695.00M,,695.00M,,22.50M,54.00M,182.80M,900.30M,1.297B,0.40M,1.163B,308.60M,,,,-292.90M,1.180B
2012-12,,45.80M,45.80M,322.10M,28.20M,350.30M,129.40M,145.90M,30.50M,,281.20M,67.50M,,,,744.80M,0.0,35.90M,163.80M,477.70M,,677.40M,-327.90M,349.50M,990.20M,265.70M,1.256B,,56.20M,1.662B,2.406B,148.60M,148.60M,256.70M,405.30M,2.00M,2.00M,,407.30M,556.20M,,556.20M,,,55.60M,239.50M,795.70M,1.203B,0.40M,1.123B,297.80M,,,,-273.40M,1.148B
2012-09,,24.20M,24.20M,349.50M,,349.50M,128.10M,152.40M,31.50M,,287.60M,30.40M,,43.30M,,735.00M,,,,,,660.30M,-317.20M,343.10M,990.40M,277.30M,1.268B,,88.20M,1.699B,2.434B,152.50M,152.50M,239.70M,392.20M,2.10M,2.10M,,394.30M,645.60M,,645.60M,20.20M,,55.60M,175.00M,840.80M,1.235B,0.40M,1.077B,292.40M,7.00M,,,-219.30M,1.143B
2012-06,,26.10M,26.10M,312.80M,,312.80M,106.70M,136.80M,28.50M,,249.40M,19.50M,,40.30M,,648.10M,,,,,,594.50M,-305.20M,289.30M,793.80M,203.50M,997.30M,,54.20M,1.341B,1.989B,129.20M,129.20M,234.10M,363.30M,1.80M,1.80M,,365.10M,330.40M,,330.40M,30.60M,,53.60M,134.10M,495.10M,860.20M,0.40M,1.034B,291.00M,12.20M,,,-238.20M,1.075B
2012-03,,84.90M,84.90M,292.50M,,292.50M,112.30M,117.50M,29.10M,,238.70M,19.90M,,38.30M,,674.30M,,,,,,561.90M,-296.80M,265.10M,737.00M,189.40M,926.40M,,73.80M,1.265B,1.940B,125.40M,125.40M,215.40M,340.80M,1.40M,1.40M,,342.20M,400.00M,,400.00M,30.40M,,4.70M,120.50M,550.90M,893.10M,0.40M,994.60M,289.10M,14.60M,,,-227.70M,1.042B
2011-12,,49.40M,49.40M,270.00M,,270.00M,107.30M,104.90M,28.00M,,219.40M,28.80M,,35.10M,,602.70M,0.0,25.20M,135.60M,381.80M,,542.60M,-288.00M,254.60M,717.80M,181.40M,899.20M,,69.60M,1.223B,1.826B,102.00M,102.00M,230.80M,332.80M,1.40M,1.40M,,334.20M,311.40M,,311.40M,,79.20M,4.80M,117.20M,507.80M,842.00M,0.40M,958.90M,291.70M,30.60M,,,-241.10M,979.30M
2011-09,,37.90M,37.90M,281.00M,,281.00M,109.90M,117.50M,23.10M,,229.80M,17.60M,,32.00M,,598.30M,,,,,,530.40M,-278.60M,251.80M,717.90M,187.30M,905.20M,,61.80M,1.246B,1.844B,116.20M,116.20M,281.10M,397.30M,1.40M,1.40M,,398.70M,287.90M,,287.90M,15.60M,,6.00M,108.70M,412.20M,810.90M,0.40M,922.00M,290.80M,,,,-185.80M,1.027B
2011-06,,33.20M,33.20M,280.60M,,280.60M,110.70M,118.70M,25.20M,,230.40M,18.00M,,31.00M,,593.20M,,,,,,528.20M,-272.60M,255.60M,721.50M,197.70M,919.20M,,71.10M,1.274B,1.868B,129.60M,129.60M,265.10M,394.70M,1.70M,1.70M,,396.40M,324.80M,,324.80M,15.80M,,6.00M,117.10M,457.70M,854.10M,0.40M,888.00M,283.80M,,,,-164.70M,1.008B
2011-03,,29.90M,29.90M,301.10M,,301.10M,106.30M,118.00M,23.90M,,214.80M,38.70M,,26.70M,,690.10M,,,,,,518.50M,-263.20M,255.30M,723.00M,204.80M,927.80M,,70.00M,1.253B,1.943B,124.10M,124.10M,180.30M,304.40M,1.60M,1.60M,62.20M,368.20M,578.60M,,578.60M,43.70M,,5.90M,104.60M,726.90M,1.095B,0.40M,735.70M,279.80M,,,,-173.70M,842.20M
2010-12,,75.10M,75.10M,254.80M,,254.80M,90.60M,97.80M,18.30M,,172.30M,42.30M,,28.40M,75.10M,648.00M,0.0,22.30M,122.00M,313.10M,,457.40M,-254.00M,203.40M,546.30M,113.90M,660.20M,0.00,46.20M,909.80M,1.558B,100.60M,100.60M,177.30M,277.90M,2.00M,2.00M,61.30M,341.20M,265.30M,,265.30M,78.60M,,1.00M,85.70M,429.60M,770.80M,0.40M,703.70M,267.50M,,,,-185.60M,786.00M
2010-09,,27.10M,27.10M,277.50M,,277.50M,103.10M,116.70M,16.40M,,208.50M,18.60M,,35.50M,,567.20M,,,,,,513.80M,-298.40M,215.40M,547.50M,119.90M,667.40M,27.90M,50.00M,960.70M,1.528B,122.50M,122.50M,173.10M,295.60M,3.10M,3.10M,,298.70M,266.00M,,266.00M,69.50M,,1.00M,134.30M,469.80M,768.50M,0.40M,667.10M,263.90M,,,,-173.00M,758.40M
2010-06,,36.50M,36.50M,270.00M,,270.00M,101.90M,100.00M,17.00M,,191.30M,26.20M,,38.00M,,562.00M,,,,,,489.80M,-289.90M,199.90M,502.60M,103.40M,606.00M,33.80M,54.30M,894.00M,1.456B,103.60M,103.60M,171.80M,275.40M,0.60M,0.60M,,276.00M,236.50M,,236.50M,96.50M,,1.00M,126.70M,459.70M,735.70M,0.40M,636.80M,261.70M,,,,-179.60M,719.30M
2010-03,,30.40M,30.40M,270.00M,,270.00M,110.20M,105.00M,15.50M,,201.10M,18.90M,,38.20M,,558.60M,,,,,,485.40M,-282.90M,202.50M,499.00M,104.80M,603.80M,32.70M,47.80M,886.80M,1.445B,113.10M,113.10M,157.40M,270.50M,0.60M,0.60M,,271.10M,260.40M,,260.40M,96.00M,,0.90M,127.20M,483.60M,754.70M,0.40M,608.20M,259.60M,,,,-178.40M,689.80M
2009-12,,26.10M,26.10M,228.70M,,228.70M,77.30M,99.20M,12.90M,,164.80M,32.60M,,26.20M,90.20M,568.60M,0.0,21.30M,100.20M,301.90M,,423.40M,-235.50M,187.90M,501.50M,109.60M,611.10M,17.60M,36.30M,852.90M,1.422B,96.70M,96.70M,164.30M,261.00M,0.50M,0.50M,64.50M,326.00M,251.60M,,251.60M,95.50M,,0.90M,81.00M,428.10M,754.10M,0.40M,583.20M,254.70M,,,,-171.80M,666.50M
2009-09,,21.60M,21.60M,261.70M,,261.70M,110.00M,99.50M,17.80M,,192.00M,32.40M,,33.90M,,541.60M,,,,474.70M,,474.70M,-268.50M,206.20M,510.50M,107.80M,618.30M,59.50M,34.50M,918.50M,1.460B,102.00M,102.00M,182.10M,284.10M,0.50M,0.50M,,284.60M,313.10M,,313.10M,141.90M,,1.00M,116.00M,571.00M,855.60M,0.40M,551.00M,252.30M,0.80M,,,-199.40M,603.50M
2009-06,,24.10M,24.10M,271.80M,,271.80M,111.30M,105.40M,15.20M,,197.60M,19.60M,,33.20M,,546.30M,,,,,,465.90M,-260.90M,205.00M,506.30M,113.00M,619.30M,80.80M,33.40M,938.50M,1.485B,104.50M,104.50M,166.80M,271.30M,1.10M,1.10M,,272.40M,333.90M,,333.90M,174.20M,,1.00M,141.20M,649.30M,921.70M,0.40M,515.90M,246.80M,0.80M,,,-200.20M,562.10M
2009-03,,21.80M,21.80M,276.80M,,276.80M,113.80M,102.50M,22.70M,,205.00M,20.70M,,39.90M,,564.20M,,,,458.50M,,458.50M,-252.10M,206.40M,498.80M,111.30M,610.10M,88.40M,30.40M,935.30M,1.500B,106.50M,106.50M,200.20M,306.70M,0.90M,0.90M,,307.60M,360.70M,,360.70M,169.50M,,1.10M,138.80M,669.00M,976.60M,0.40M,492.00M,245.40M,0.80M,,,-215.20M,521.80M
2008-12,,20.40M,20.40M,281.40M,,281.40M,89.80M,125.80M,22.20M,,207.00M,41.60M,,42.60M,,593.00M,0.0,20.90M,96.80M,329.70M,,447.40M,-244.80M,202.60M,502.50M,117.00M,619.50M,89.20M,30.20M,941.50M,1.534B,108.20M,108.20M,202.40M,310.60M,1.10M,1.10M,,311.70M,332.10M,,332.10M,244.60M,,1.10M,139.20M,715.90M,1.028B,0.40M,471.20M,240.00M,0.00,,,-205.80M,505.80M
2008-09,,14.80M,14.80M,293.10M,,293.10M,87.70M,139.40M,21.00M,,216.90M,29.40M,,41.70M,,595.90M,,,,,,436.50M,-240.20M,196.30M,484.30M,115.90M,600.20M,31.20M,35.50M,863.20M,1.459B,128.80M,128.80M,206.70M,335.50M,0.80M,0.80M,,336.30M,287.50M,,287.50M,,,,191.80M,479.30M,815.60M,0.40M,475.50M,236.90M,,,,643.50M,643.50M
2008-06,,17.70M,17.70M,284.50M,,284.50M,83.90M,133.40M,22.00M,,207.60M,15.60M,,36.10M,,561.50M,,,,,,422.20M,-233.40M,188.80M,465.10M,108.90M,574.00M,47.60M,37.40M,847.80M,1.409B,120.20M,120.20M,158.00M,278.20M,0.90M,0.90M,,279.10M,295.50M,,295.50M,,,5.00M,224.70M,520.20M,799.30M,0.40M,444.60M,222.30M,,,,-62.30M,605.00M
2008-03,,21.20M,21.20M,282.10M,,282.10M,,,,,204.20M,15.90M,,36.60M,,560.00M,,,,,,413.80M,-226.60M,187.20M,450.30M,97.40M,547.70M,49.90M,36.80M,821.60M,1.382B,122.90M,122.90M,160.80M,283.70M,0.90M,0.90M,,284.60M,299.50M,,299.50M,,,9.90M,222.60M,522.10M,806.70M,0.40M,412.00M,213.90M,,,,-61.30M,565.00M
2007-12,,13.40M,13.40M,241.10M,,241.10M,64.70M,122.60M,17.60M,,174.60M,13.10M,,34.50M,,476.70M,0.0,19.40M,85.30M,290.80M,,395.50M,-218.30M,177.20M,351.60M,61.70M,413.30M,56.90M,35.30M,682.70M,1.159B,105.10M,105.10M,157.10M,262.20M,0.80M,0.80M,,263.00M,142.40M,,142.40M,97.20M,,,126.60M,366.20M,629.20M,0.40M,384.10M,206.90M,,,,-61.20M,530.20M
2007-09,,16.10M,16.10M,236.50M,,236.50M,72.40M,121.00M,19.60M,,182.70M,13.50M,,36.00M,,484.80M,,,,,,386.10M,-211.00M,175.10M,350.60M,61.20M,411.80M,44.60M,34.20M,665.70M,1.150B,101.50M,101.50M,170.50M,272.00M,1.10M,1.10M,,273.10M,180.10M,,180.10M,,,8.20M,170.70M,350.80M,623.90M,0.40M,357.50M,202.40M,,,,-41.90M,518.40M
2007-06,,12.20M,12.20M,242.70M,,242.70M,63.90M,126.60M,20.30M,,184.90M,11.70M,,35.20M,,486.70M,,,,,,389.00M,-214.70M,174.30M,351.50M,63.00M,414.50M,48.20M,29.40M,666.40M,1.153B,105.00M,105.00M,160.00M,265.00M,0.90M,0.90M,,265.90M,219.20M,,219.20M,,,7.30M,172.50M,391.70M,657.60M,0.40M,330.40M,199.50M,,,,-42.10M,488.20M
2007-03,,16.30M,16.30M,245.60M,,245.60M,63.60M,110.00M,19.40M,,166.40M,12.50M,,36.00M,,476.80M,,,,,,379.60M,-208.20M,171.40M,345.70M,63.70M,409.40M,40.10M,28.00M,648.90M,1.126B,102.50M,102.50M,148.70M,251.20M,1.20M,1.20M,,252.40M,243.30M,,243.30M,,,6.40M,165.90M,409.20M,661.60M,0.30M,306.10M,193.70M,,,,-42.40M,457.70M
2006-12,,13.00M,13.00M,226.10M,,226.10M,59.30M,106.20M,15.90M,,155.80M,17.50M,,34.40M,,446.80M,0.0,19.40M,80.70M,267.80M,,367.90M,-203.10M,164.80M,313.60M,69.40M,383.00M,38.60M,28.20M,614.60M,1.061B,94.10M,94.10M,135.10M,229.20M,1.20M,1.20M,,230.40M,230.70M,,230.70M,,,,168.50M,399.20M,629.60M,0.30M,285.80M,188.00M,,,,-42.30M,431.80M
