,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2017-06,20.94B,186.08B,293.63B,479.71B,,40.49B,40.49B,754.26B,22.35B,5.447B,27.80B,644.63B,12.02B,61.00M,632.67B,611.32B,1.403T,1.864T,62.95B,,62.95B,62.95B,,36.52B,36.52B,36.52B,254.25B,225.18B,225.18B,958.74B,,1.088B,1.321T,1.633T,19.28B,152.18B,107.80B,19.34B,19.25B,,,-29.90B,230.02B
2017-03,22.27B,180.04B,290.28B,470.33B,,36.89B,36.89B,750.14B,22.26B,5.58B,27.84B,629.26B,12.03B,-662.00M,616.56B,590.74B,1.362T,1.822T,59.66B,,59.66B,59.66B,,26.13B,26.13B,26.13B,234.01B,208.53B,208.53B,949.99B,,1.021B,1.303T,1.592T,19.28B,149.73B,107.61B,17.58B,19.25B,,,-30.92B,228.13B
2016-12,23.04B,160.49B,299.42B,459.92B,,28.89B,28.89B,725.62B,21.66B,6.678B,28.34B,624.30B,12.06B,72.00M,612.31B,597.23B,1.366T,1.792T,57.15B,,57.15B,57.15B,9.989B,20.71B,30.70B,30.70B,229.67B,206.18B,206.18B,929.41B,,1.023B,1.275T,1.566T,19.28B,146.48B,108.04B,16.30B,19.25B,,,-32.38B,225.12B
2016-09,23.42B,155.99B,308.12B,464.11B,,36.11B,36.11B,736.26B,22.54B,6.628B,29.17B,638.30B,12.44B,134.00M,626.00B,618.29B,1.390T,1.818T,61.92B,,61.92B,61.92B,,29.53B,29.53B,29.53B,244.57B,209.05B,209.05B,940.25B,,1.115B,1.281T,1.585T,19.28B,143.68B,107.88B,12.07B,19.25B,,,-27.19B,231.58B
2016-06,22.14B,150.13B,312.76B,462.90B,,36.85B,36.85B,800.64B,22.50B,6.845B,29.34B,663.47B,12.30B,141.00M,651.30B,525.75B,1.331T,1.819T,62.05B,,62.05B,62.05B,,18.41B,18.41B,18.41B,310.47B,207.45B,207.45B,937.85B,63.20B,1.133B,1.209T,1.586T,19.28B,140.53B,107.73B,9.538B,19.25B,,,-26.12B,231.89B
2016-03,22.24B,158.29B,308.77B,467.06B,,35.26B,35.26B,790.46B,22.58B,5.017B,27.59B,650.57B,12.71B,136.00M,637.99B,532.08B,1.319T,1.801T,58.26B,,58.26B,58.26B,,20.89B,20.89B,20.89B,309.60B,207.84B,207.84B,934.59B,62.77B,1.239B,1.205T,1.572T,17.78B,137.00B,107.59B,8.224B,17.75B,,,-26.63B,227.52B
2015-12,20.90B,133.10B,299.14B,432.23B,,27.68B,27.68B,679.59B,22.35B,5.502B,27.85B,617.45B,12.63B,165.00M,604.99B,584.17B,1.351T,1.731T,53.72B,,53.72B,53.72B,9.995B,11.08B,21.08B,21.08B,221.30B,201.28B,201.28B,907.89B,,1.235B,1.227T,1.508T,16.75B,133.84B,108.29B,7.677B,16.72B,,,-29.34B,221.86B
2015-09,21.73B,159.66B,300.72B,460.38B,,37.88B,37.88B,790.82B,22.44B,5.646B,28.09B,656.68B,13.63B,-1.301B,641.76B,515.58B,1.318T,1.808T,59.56B,,59.56B,59.56B,,22.58B,22.58B,22.58B,314.47B,213.53B,213.53B,904.24B,62.25B,1.289B,1.180T,1.586T,15.25B,130.92B,108.26B,6.326B,15.22B,,,-27.26B,220.85B
2015-06,23.41B,154.10B,294.13B,448.22B,,43.92B,43.92B,790.04B,23.01B,5.995B,29.01B,666.98B,14.08B,-1.282B,651.62B,516.90B,1.333T,1.829T,54.87B,,54.87B,54.87B,,25.91B,25.91B,25.91B,330.76B,211.84B,211.84B,908.04B,63.32B,1.385B,1.183T,1.609T,14.00B,126.95B,108.22B,4.628B,13.97B,,,-25.10B,219.44B
2015-03,21.88B,155.78B,295.24B,451.02B,,35.64B,35.64B,797.25B,23.15B,5.929B,29.08B,656.43B,14.60B,-1.195B,640.64B,524.03B,1.330T,1.832T,58.25B,,58.25B,58.25B,,39.40B,39.40B,39.40B,338.27B,210.52B,210.52B,899.65B,77.20B,1.403B,1.187T,1.616T,12.00B,122.46B,108.12B,3.275B,11.97B,,,-24.69B,214.62B
2014-12,32.11B,160.20B,300.14B,460.34B,,28.42B,28.42B,799.29B,23.59B,6.411B,30.00B,682.10B,15.99B,-1.236B,664.88B,526.04B,1.343T,1.842T,52.18B,,52.18B,52.18B,16.16B,42.18B,58.34B,58.34B,354.90B,223.08B,223.08B,899.33B,68.09B,1.511B,1.191T,1.630T,10.50B,117.85B,107.98B,2.929B,10.47B,,,-23.22B,210.18B
2014-09,35.98B,179.04B,298.68B,477.72B,,39.30B,39.30B,820.18B,24.50B,6.618B,31.12B,681.64B,16.92B,-1.185B,663.54B,539.55B,1.361T,1.883T,59.43B,,59.43B,59.43B,,64.84B,64.84B,64.84B,378.56B,223.84B,223.84B,942.66B,58.71B,1.619B,1.225T,1.669T,8.999B,118.04B,107.84B,2.631B,8.968B,,,-19.98B,212.27B
2014-06,35.27B,189.08B,292.58B,481.66B,,41.86B,41.86B,824.38B,25.09B,6.984B,32.07B,696.22B,17.89B,-1.172B,677.15B,538.36B,1.378T,1.910T,62.32B,,62.32B,62.32B,,59.53B,59.53B,59.53B,381.60B,226.98B,226.98B,965.72B,47.54B,1.737B,1.240T,1.697T,8.999B,115.36B,107.67B,2.52B,8.968B,,,-18.15B,211.36B
2014-03,33.38B,204.40B,290.94B,495.34B,,32.48B,32.48B,838.88B,25.01B,7.477B,32.48B,693.66B,18.92B,-1.106B,673.64B,515.09B,1.347T,1.895T,59.41B,,59.41B,59.41B,,58.90B,58.90B,58.90B,388.91B,222.75B,222.75B,966.26B,44.11B,1.78B,1.233T,1.684T,7.249B,115.09B,107.50B,2.237B,7.218B,,,-19.15B,208.46B
2013-12,29.88B,198.89B,286.51B,485.40B,,25.67B,25.67B,820.93B,25.01B,7.774B,32.78B,697.21B,19.65B,-1.134B,676.43B,511.48B,1.346T,1.880T,53.71B,,53.71B,53.71B,17.88B,41.07B,58.94B,58.94B,377.67B,221.12B,221.12B,968.27B,47.25B,1.794B,1.237T,1.674T,6.769B,111.17B,107.19B,1.658B,6.738B,,,-19.13B,204.34B
2013-09,32.81B,205.47B,279.88B,485.35B,,24.98B,24.98B,835.75B,25.10B,7.468B,32.57B,691.56B,20.60B,-1.071B,669.88B,510.56B,1.340T,1.900T,56.99B,,56.99B,56.99B,,58.90B,58.90B,58.90B,404.19B,221.59B,221.59B,955.46B,50.14B,1.893B,1.227T,1.697T,5.274B,108.81B,107.03B,1.472B,5.243B,,,-18.80B,200.85B
2013-06,31.14B,189.17B,277.38B,466.55B,,33.48B,33.48B,820.04B,24.90B,7.505B,32.40B,683.51B,21.58B,-928.00M,661.00B,511.27B,1.338T,1.884T,61.70B,,61.70B,61.70B,,58.81B,58.81B,58.81B,409.86B,220.96B,220.96B,938.43B,51.92B,1.90B,1.211T,1.686T,4.324B,105.72B,106.88B,1.075B,4.293B,,,-19.92B,195.93B
2013-03,31.15B,174.38B,281.75B,456.13B,,25.24B,25.24B,807.09B,25.47B,7.66B,33.13B,683.70B,23.73B,-1.226B,658.75B,521.77B,1.356T,1.882T,59.30B,,59.30B,59.30B,,48.19B,48.19B,48.19B,396.99B,234.33B,234.33B,933.76B,52.78B,1.98B,1.221T,1.686T,3.168B,101.58B,106.66B,991.00M,3.137B,,,-17.06B,193.36B
2012-12,36.45B,138.59B,288.70B,427.28B,,22.49B,22.49B,765.70B,25.67B,7.639B,33.31B,693.75B,25.46B,-1.215B,667.08B,541.57B,1.388T,1.865T,57.01B,,57.01B,57.01B,11.47B,40.56B,52.03B,52.03B,384.07B,239.46B,239.46B,930.56B,51.75B,1.948B,1.222T,1.674T,2.592B,97.81B,106.39B,847.00M,2.562B,,,-16.90B,189.05B
2012-09,,203.83B,,203.83B,,,31.08B,512.45B,25.92B,7.883B,33.80B,658.42B,25.92B,,632.51B,610.68B,1.419T,1.931T,55.38B,,55.38B,55.38B,,49.16B,49.16B,49.16B,328.91B,271.86B,271.86B,944.64B,,1.961B,1.346T,1.743T,341.00M,96.65B,106.20B,851.00M,312.00M,,,-15.57B,186.78B
2012-06,,188.98B,,188.98B,,,35.34B,496.98B,25.48B,8.273B,33.76B,654.97B,27.61B,,627.36B,616.17B,1.419T,1.916T,59.13B,,59.13B,59.13B,,58.70B,58.70B,58.70B,332.68B,288.33B,288.33B,914.31B,,1.928B,1.331T,1.731T,341.00M,96.22B,105.96B,859.00M,312.00M,,,-17.75B,183.91B
2012-03,,210.45B,,210.45B,,,39.44B,538.95B,25.81B,9.104B,34.91B,648.02B,29.02B,,619.00B,604.37B,1.405T,1.944T,56.97B,,56.97B,56.97B,,55.61B,55.61B,55.61B,338.58B,311.08B,311.08B,906.01B,,1.903B,1.353T,1.761T,341.00M,93.31B,105.79B,883.00M,312.00M,,,-16.74B,181.82B
2011-12,28.70B,184.48B,265.20B,449.69B,,27.78B,27.78B,815.64B,25.41B,9.169B,34.58B,681.10B,30.12B,-1.115B,649.87B,490.08B,1.323T,1.874T,56.70B,,56.70B,56.70B,21.29B,33.16B,54.44B,54.44B,379.32B,323.50B,323.50B,865.94B,56.27B,1.767B,1.246T,1.694T,341.00M,90.52B,105.80B,1.071B,312.00M,,,-17.79B,177.81B
2011-09,,188.29B,,188.29B,37.99B,,37.99B,516.92B,25.50B,9.652B,35.15B,637.24B,32.05B,,605.19B,607.29B,1.419T,1.936T,56.09B,,56.09B,56.09B,,65.82B,65.82B,65.82B,345.52B,333.82B,333.82B,851.28B,,1.97B,1.334T,1.757T,606.00M,89.60B,105.30B,1.089B,312.00M,,,-17.04B,177.37B
2011-06,,183.95B,,183.95B,,,40.70B,508.62B,26.62B,11.39B,38.02B,647.50B,34.36B,,613.14B,631.92B,1.448T,1.957T,57.24B,,57.24B,57.24B,,72.89B,72.89B,72.89B,333.98B,352.46B,352.46B,866.31B,,2.281B,1.371T,1.778T,605.00M,85.86B,103.21B,1.087B,312.00M,,,-12.22B,176.36B
2011-03,,191.44B,,191.44B,,,40.90B,493.47B,26.34B,11.97B,38.31B,637.14B,36.57B,,600.57B,650.37B,1.452T,1.948T,50.39B,,50.39B,50.39B,,78.62B,78.62B,78.62B,316.84B,376.54B,376.54B,865.86B,,2.356B,1.389T,1.774T,605.00M,82.55B,102.74B,878.00M,312.00M,,,-13.98B,171.04B
2010-12,,190.41B,,190.41B,31.21B,,31.21B,468.34B,26.15B,12.06B,38.21B,648.79B,40.66B,,608.14B,635.44B,1.446T,1.914T,51.75B,,51.75B,51.75B,,78.79B,78.79B,78.79B,320.10B,381.18B,381.18B,844.97B,,2.321B,1.355T,1.748T,341.00M,79.56B,101.29B,1.442B,312.00M,,,-16.28B,163.47B
2010-09,,176.41B,,176.41B,,,37.14B,453.61B,25.80B,11.68B,37.48B,654.31B,43.67B,,610.64B,677.35B,1.498T,1.983T,51.52B,,51.52B,51.52B,,87.01B,87.01B,87.01B,330.60B,387.33B,387.33B,850.10B,,2.27B,1.379T,1.818T,604.00M,78.26B,100.90B,1.54B,312.00M,,,-15.31B,162.91B
2010-06,,185.49B,,185.49B,,,36.87B,453.14B,25.20B,12.76B,37.96B,692.17B,46.20B,,645.97B,626.48B,1.485T,1.938T,54.77B,,54.77B,54.77B,,92.75B,92.75B,92.75B,343.64B,413.30B,413.30B,813.95B,,2.524B,1.358T,1.780T,604.00M,76.13B,99.01B,1.772B,312.00M,,,-19.17B,154.81B
2010-03,,189.20B,,189.20B,,,34.00B,457.55B,25.66B,14.72B,40.38B,721.80B,48.75B,,673.06B,662.52B,1.545T,2.002T,55.04B,,55.04B,55.04B,,96.69B,96.69B,96.69B,359.65B,439.27B,439.27B,827.91B,,2.358B,1.410T,1.848T,599.00M,73.43B,96.43B,1.178B,312.00M,,,-17.86B,151.42B
2009-12,,192.89B,,192.89B,33.63B,,33.63B,448.54B,25.39B,15.24B,40.64B,591.50B,36.03B,,555.47B,648.89B,1.408T,1.857T,60.85B,,60.85B,60.85B,,68.88B,68.88B,68.88B,284.01B,364.02B,364.02B,835.90B,,2.273B,1.337T,1.702T,598.00M,77.44B,98.14B,4.543B,312.00M,,,-18.94B,152.70B
2009-09,,244.21B,,244.21B,,,34.67B,476.24B,25.42B,15.18B,40.61B,622.21B,36.42B,,585.80B,602.59B,1.389T,1.889T,57.67B,,57.67B,57.67B,,64.73B,64.73B,64.73B,300.56B,379.56B,379.56B,832.60B,,2.107B,1.343T,1.746T,542.00M,85.21B,78.80B,6.059B,312.00M,,,-17.65B,140.84B
2009-06,,209.49B,,209.49B,,,34.60B,423.59B,25.58B,16.87B,42.45B,641.69B,35.94B,,605.75B,591.79B,1.406T,1.849T,52.70B,,52.70B,52.70B,,101.89B,101.89B,101.89B,326.61B,348.05B,348.05B,804.74B,,1.866B,1.272T,1.694T,74.36B,88.87B,16.66B,5.95B,74.30B,,,-21.64B,152.30B
2009-03,,190.57B,,190.57B,,,43.33B,413.50B,26.41B,19.09B,45.50B,657.29B,31.70B,,625.59B,574.03B,1.409T,1.823T,58.95B,,58.95B,58.95B,,116.39B,116.39B,116.39B,360.14B,337.25B,337.25B,762.70B,,1.993B,1.231T,1.677T,74.30B,86.12B,16.52B,5.996B,74.25B,,,-27.01B,143.93B
2008-12,,199.58B,,199.58B,,,44.28B,428.00B,27.13B,19.82B,46.95B,698.14B,29.62B,-3.922B,664.60B,633.66B,1.510T,1.938T,70.92B,,70.92B,70.92B,,126.69B,126.69B,126.69B,402.90B,359.59B,359.59B,774.18B,,2.392B,1.300T,1.794T,70.72B,86.52B,19.16B,9.582B,70.66B,,,-25.20B,141.63B
2008-09,,141.70B,,141.70B,,,80.53B,447.64B,,,63.13B,716.96B,24.00B,,692.95B,663.19B,1.602T,2.050T,,,117.54B,117.54B,,104.86B,104.86B,104.86B,472.81B,393.10B,393.10B,780.34B,,,1.173T,1.924T,27.48B,105.34B,16.88B,9.642B,27.42B,,,-14.00B,126.06B
2008-06,,112.77B,,112.77B,,,62.49B,395.43B,,,66.93B,746.79B,20.78B,,726.01B,737.97B,1.705T,2.100T,,,96.43B,96.43B,,114.44B,114.44B,114.44B,456.98B,417.93B,417.93B,803.64B,,,1.222T,1.964T,27.48B,110.29B,16.59B,9.911B,27.42B,339.00M,-8.388B,-8.049B,136.40B
2008-03,,104.16B,,104.16B,,,65.65B,408.81B,,,67.57B,789.84B,18.26B,,771.59B,782.59B,1.791T,2.200T,,,95.60B,95.60B,,135.80B,135.80B,135.80B,510.96B,424.96B,424.96B,831.21B,,,1.256T,2.072T,19.44B,115.05B,11.13B,10.02B,19.38B,501.00M,-7.882B,-7.381B,128.22B
2007-12,,107.57B,,107.57B,,,57.36B,439.00B,,,63.74B,777.99B,16.12B,,761.88B,753.99B,1.748T,2.187T,,,84.95B,84.95B,,146.49B,146.49B,146.49B,535.68B,427.11B,427.11B,826.23B,,,1.253T,2.074T,55.00M,121.77B,18.01B,21.72B,,-772.00M,-3.888B,-4.66B,113.45B
2007-09,,96.94B,,96.94B,,,69.06B,549.22B,,,63.60B,773.97B,12.73B,,761.24B,822.05B,1.809T,2.358T,,,94.83B,94.83B,,194.30B,194.30B,194.30B,729.50B,364.53B,364.53B,812.85B,,,1.177T,2.231T,255.00M,134.44B,18.30B,22.33B,200.00M,-1.238B,-2.317B,-3.555B,127.11B
2007-06,,101.53B,,101.53B,,,61.14B,510.80B,,,62.21B,742.92B,10.38B,,732.54B,796.20B,1.710T,2.221T,,,96.53B,96.53B,,167.14B,167.14B,167.14B,657.81B,340.08B,340.08B,771.76B,,,1.112T,2.093T,655.00M,134.93B,17.72B,22.59B,600.00M,-2.099B,-871.00M,-2.97B,127.75B
2007-03,,69.33B,,69.33B,,,51.98B,425.23B,,,53.71B,693.34B,9.51B,,683.83B,746.63B,1.596T,2.021T,,,88.72B,88.72B,,111.18B,111.18B,111.18B,593.57B,310.77B,310.77B,738.52B,,,1.049T,1.899T,1.055B,131.40B,17.34B,23.83B,1.00B,-2.917B,-958.00M,-3.875B,122.08B
2006-12,,69.04B,,69.04B,,,44.44B,396.30B,,,49.32B,679.19B,8.94B,,670.25B,667.52B,1.488T,1.884T,,,85.12B,85.12B,,100.83B,100.83B,100.83B,535.19B,288.49B,288.49B,712.04B,,,1.001T,1.765T,1.055B,129.27B,18.25B,25.09B,1.00B,-2.796B,-904.00M,-3.70B,119.78B
2006-09,,56.48B,,56.48B,,,40.97B,360.08B,,,48.89B,655.38B,8.979B,,646.40B,602.90B,1.386T,1.746T,,,97.23B,97.23B,,70.50B,70.50B,70.50B,487.82B,260.09B,260.09B,669.28B,,,929.37B,1.628T,1.055B,126.54B,17.82B,24.74B,1.00B,-3.616B,794.00M,-2.822B,117.86B
2006-06,,60.18B,,60.18B,,,46.16B,340.73B,,,48.76B,637.08B,9.144B,,627.94B,522.84B,1.286T,1.627T,,,74.97B,74.97B,,72.58B,72.58B,72.58B,412.04B,239.56B,239.56B,645.80B,,,885.36B,1.511T,1.055B,123.50B,17.43B,23.20B,1.00B,-4.091B,740.00M,-3.351B,115.43B
2006-03,,54.63B,,54.63B,,,42.57B,336.75B,,,48.02B,605.31B,9.505B,,595.80B,522.10B,1.249T,1.586T,,,70.21B,70.21B,,58.13B,58.13B,58.13B,407.88B,227.16B,227.16B,628.16B,,,855.32B,1.472T,1.055B,120.70B,17.12B,21.75B,1.00B,,,-2.706B,114.42B
2005-12,,55.28B,,55.28B,,,42.82B,315.56B,,,47.88B,583.50B,9.782B,,573.72B,476.42B,1.178T,1.494T,,,70.99B,70.99B,,66.93B,66.93B,66.93B,380.32B,217.50B,217.50B,591.83B,,,809.33B,1.382T,1.18B,117.56B,17.48B,21.15B,1.125B,-4.09B,1.558B,-2.532B,112.54B
2005-09,,59.04B,,59.04B,,,42.84B,337.98B,,,46.62B,566.42B,10.02B,,556.41B,459.32B,1.135T,1.473T,,,57.33B,57.33B,,58.22B,58.22B,58.22B,359.37B,213.89B,213.89B,581.11B,,,795.01B,1.361T,1.18B,112.87B,20.18B,17.29B,1.125B,-3.952B,-1.148B,-5.10B,111.84B
2005-06,,60.26B,,60.26B,,,43.78B,336.42B,,,46.13B,556.94B,10.42B,,546.52B,446.62B,1.211T,1.548T,,,53.60B,53.60B,,62.98B,62.98B,62.98B,369.36B,211.35B,211.35B,572.57B,,,783.92B,1.435T,1.18B,108.03B,20.18B,12.30B,1.125B,-3.96B,-87.00M,-4.047B,113.04B
2005-03,,54.19B,,54.19B,,,41.56B,297.85B,,,47.65B,547.66B,10.89B,,536.76B,440.43B,1.192T,1.490T,,,52.09B,52.09B,,62.70B,62.70B,62.70B,332.39B,207.94B,207.94B,568.87B,,,776.81B,1.379T,1.18B,105.27B,19.88B,10.48B,1.125B,-3.766B,-1.556B,-5.322B,110.54B
2004-12,,47.44B,,47.44B,,,39.27B,287.46B,,,47.26B,548.83B,11.27B,,537.56B,493.41B,1.197T,1.484T,,,50.21B,50.21B,,56.77B,56.77B,56.77B,316.53B,207.91B,207.91B,562.08B,,,769.99B,1.375T,1.18B,102.15B,18.85B,10.64B,1.125B,-3.11B,860.00M,-2.25B,109.29B
2004-09,,48.89B,,48.89B,,,37.99B,295.04B,,,47.00B,520.68B,12.03B,,508.65B,469.86B,1.142T,1.437T,,,41.99B,41.99B,,63.20B,63.20B,63.20B,322.35B,198.71B,198.71B,534.45B,,,733.16B,1.333T,1.18B,98.93B,18.68B,10.81B,1.125B,-4.667B,52.00M,-4.615B,103.37B
2004-06,,51.17B,,51.17B,,,41.49B,287.26B,,,44.74B,511.42B,12.72B,,498.70B,450.28B,1.109T,1.397T,,,42.52B,42.52B,,67.38B,67.38B,67.38B,312.84B,189.07B,189.07B,524.40B,,,713.47B,1.298T,1.18B,95.71B,18.52B,11.14B,1.125B,-5.018B,-942.00M,-5.96B,98.31B
2004-03,,46.21B,,46.21B,,,35.16B,265.46B,,,42.50B,484.12B,12.51B,,471.61B,435.54B,1.052T,1.318T,,,37.27B,37.27B,,66.86B,66.86B,66.86B,283.88B,178.59B,178.59B,499.19B,,,677.78B,1.216T,1.18B,96.66B,18.41B,11.44B,1.125B,-4.453B,1.533B,-2.92B,101.88B
2003-12,,40.93B,,40.93B,,,26.48B,239.58B,,,41.46B,478.01B,12.64B,,465.36B,418.21B,1.024T,1.264T,,,37.33B,37.33B,,58.63B,58.63B,58.63B,277.12B,168.76B,168.76B,474.02B,,,642.77B,1.166T,1.18B,93.48B,17.53B,11.52B,1.125B,-4.465B,1.809B,-2.656B,98.01B
