,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2002-12,2.429B,,160.00M,655.00M,655.00M,,,578.00M,,,,,,10.33B,,13.95B,-429.00M,,-429.00M,-1.271B,-21.38B,-9.357B,-32.44B,4.298B,2.661B,6.959B,,,-855.00M,,,,-938.00M,348.00M,19.81B,15.89B,1.32B,120.00M,17.33B,,,8.893B,-4.595B,,,
2002-09,3.706B,,165.00M,554.00M,554.00M,,,560.00M,,,,,,-1.771B,,3.214B,-350.00M,,-350.00M,0.00,264.00M,-839.00M,-925.00M,-4.476B,7.304B,2.828B,,,-2.406B,,,,-932.00M,-73.00M,-3.98B,17.69B,-1.691B,-109.00M,15.89B,,,16.59B,-21.07B,,,
2002-06,2.47B,,190.00M,355.00M,355.00M,,,18.69B,,,,,,-10.73B,,10.97B,-267.00M,,-267.00M,-611.00M,-1.199B,-12.97B,-15.05B,-4.72B,-1.055B,-5.775B,,,-1.641B,,,,-958.00M,124.00M,5.692B,15.98B,1.614B,88.00M,17.69B,,,6.058B,-10.78B,,,
2002-03,4.843B,,-30.00M,362.00M,362.00M,,,-5.856B,,,,,,2.427B,,1.746B,-331.00M,,-331.00M,-2.071B,-12.82B,4.514B,-10.71B,-2.751B,3.078B,327.00M,,,-623.00M,,,,-848.00M,-874.00M,6.431B,18.52B,-2.53B,-1.00M,15.98B,,,7.975B,-10.73B,,,
2001-12,3.875B,40.20B,39.62B,2.541B,2.541B,,,-43.58B,,,,,,9.636B,,13.11B,-517.00M,,-517.00M,0.00,-12.13B,2.892B,-9.759B,-5.544B,-17.04B,-22.58B,,,-713.00M,,,,-853.00M,913.00M,-6.669B,21.88B,-3.321B,-41.00M,18.52B,,,6.262B,-11.81B,,,
2001-09,3.177B,-362.00M,149.00M,-332.00M,-332.00M,,,22.35B,,,,,,-10.63B,,14.71B,-325.00M,,-325.00M,-7.067B,-81.00M,-9.381B,-16.85B,2.82B,-4.325B,-1.505B,,,-551.00M,,,,-856.00M,4.645B,8.90B,15.08B,6.758B,38.00M,21.88B,,,10.78B,-7.957B,,,
2001-06,3.536B,,-60.00M,1.152B,1.152B,,,8.13B,,,,,,-8.804B,,3.954B,-471.00M,,-471.00M,,-325.00M,863.00M,67.00M,4.436B,-7.712B,-3.276B,,,-660.00M,,,,-736.00M,-365.00M,-3.182B,14.37B,839.00M,-131.00M,15.08B,,,12.74B,-8.304B,,,
2001-03,3.538B,,-451.00M,1.118B,1.118B,,,-2.246B,,,,,,-7.154B,,-5.195B,-461.00M,,-461.00M,,-6.661B,-3.941B,-11.06B,7.228B,-3.018B,4.21B,,,-811.00M,,,,-740.00M,-272.00M,16.20B,14.62B,-59.00M,-189.00M,14.37B,,,13.96B,-6.728B,,,
2000-12,2.84B,24.81B,24.62B,1.105B,1.105B,,,-26.11B,,,,,,-5.926B,,-1.93B,-745.00M,,-745.00M,1.329B,-6.637B,-3.061B,-9.114B,8.956B,-3.498B,5.458B,,,-823.00M,,,149.00M,-708.00M,3.70B,11.28B,13.10B,240.00M,-49.00M,14.62B,,,13.06B,-4.105B,,,
2000-09,4.084B,,-504.00M,1.487B,1.487B,,,24.26B,,,,,,-19.66B,,9.662B,-686.00M,,-686.00M,-3.815B,3.141B,-24.77B,-26.13B,9.544B,1.421B,10.96B,,,-678.00M,,,-149.00M,-804.00M,-3.933B,17.05B,12.23B,582.00M,-201.00M,13.10B,,,21.32B,-11.78B,,,
2000-06,2.739B,-14.14B,-14.25B,1.136B,1.136B,,,-8.073B,,,,,,12.74B,,-5.716B,-442.00M,,-442.00M,-5.75B,-8.006B,-7.755B,-21.95B,1.822B,10.34B,12.16B,,,-814.00M,,,150.00M,-520.00M,-79.00M,28.71B,13.15B,1.04B,-137.00M,12.23B,,,1.956B,-134.00M,,,
2000-03,3.856B,14.14B,14.14B,596.00M,596.00M,,,52.00M,,,,,,-17.99B,,657.00M,-376.00M,,-376.00M,-607.00M,7.29B,-17.49B,-11.18B,875.00M,1.59B,2.465B,,,-943.00M,,,-150.00M,-622.00M,-281.00M,7.836B,15.98B,-2.689B,-143.00M,13.15B,,,7.191B,-6.316B,,,
1999-12,4.125B,-5.982B,-6.523B,1.341B,1.341B,,,-2.18B,,,,,,1.088B,,-1.551B,-654.00M,,-654.00M,-4.171B,179.00M,-4.907B,-9.553B,-133.00M,3.657B,3.524B,,,-1.068B,,,,-668.00M,-119.00M,14.65B,11.70B,3.548B,168.00M,15.98B,,,11.59B,-11.72B,,,
1999-09,2.435B,-35.00M,-35.00M,877.00M,877.00M,,,2.054B,,,,,,402.00M,,5.733B,-341.00M,,-341.00M,0.00,-995.00M,-7.286B,-8.622B,-654.00M,-1.348B,-2.002B,,,-795.00M,,,,-512.00M,-72.00M,-125.00M,14.69B,-3.014B,25.00M,11.70B,,,1.728B,-2.382B,,,
1999-06,2.448B,-188.00M,-188.00M,799.00M,799.00M,,,1.778B,,,,,,3.974B,,8.811B,-356.00M,,-356.00M,-806.00M,-1.231B,-6.84B,-9.233B,-357.00M,-1.063B,-1.42B,,,-575.00M,,,,-512.00M,-111.00M,3.454B,11.70B,3.032B,-43.00M,14.69B,,,2.58B,-2.937B,,,
1999-03,2.362B,-53.00M,-53.00M,822.00M,822.00M,,,-5.517B,,,,,,616.00M,,-1.77B,-399.00M,,-399.00M,-1.344B,-2.568B,-4.396B,-8.707B,846.00M,-1.826B,-980.00M,,,-1.146B,,,,-447.00M,406.00M,8.587B,13.84B,-1.89B,-248.00M,11.70B,,,2.642B,-1.796B,,,
1998-12,1.82B,-25.94B,-26.78B,1.065B,1.065B,,,-7.32B,,,,,,38.97B,,7.545B,2.994B,,2.994B,,-5.906B,-12.28B,-21.76B,8.358B,-1.64B,6.718B,,,309.00M,,,-825.00M,-594.00M,1.316B,13.60B,14.84B,-622.00M,22.00M,14.40B,,,15.21B,-6.853B,,,
1998-09,729.00M,710.00M,710.00M,1.547B,1.547B,,,11.43B,,,,,,-10.20B,,4.224B,-641.00M,,-641.00M,,-492.00M,-9.603B,-10.74B,-381.00M,1.759B,1.378B,,,-1.685B,,,825.00M,-434.00M,-306.00M,6.94B,14.36B,428.00M,58.00M,14.84B,,,6.557B,-6.938B,,,
1998-06,2.24B,-332.00M,-332.00M,85.00M,85.00M,,,22.87B,,,,,,-16.67B,,8.193B,-4.091B,,-4.091B,,-3.335B,3.241B,-4.185B,879.00M,-3.317B,-2.438B,,,0.00,,,,-491.00M,-270.00M,-1.577B,12.03B,2.431B,-106.00M,14.36B,,,2.426B,-1.547B,,,
