,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,170.10M,,0.00,0.00,81.30M,42.30M,123.60M,123.60M,,,,,,,,-643.10M,-643.10M,-349.40M,-106.30M,,,-1.20M,-21.50M,2.70M,-126.30M,0.00,382.00M,382.00M,13.10M,-11.40M,1.70M,,,-94.90M,,-94.90M,-57.30M,-15.60M,215.90M,655.10M,-259.80M,27.90M,423.20M,13.10M,0.00,0.00,-11.40M
2017-12,281.10M,1.00M,,1.00M,78.80M,43.90M,122.70M,122.70M,,,,,,,,1.102B,250.80M,715.20M,-164.50M,,,10.20M,-9.60M,271.70M,107.80M,,-575.90M,-578.70M,43.30M,-12.50M,30.80M,-1.50M,-1.50M,-95.00M,,-95.00M,0.00,-6.30M,-650.70M,483.30M,172.30M,-0.50M,655.10M,41.80M,,,-12.50M
2017-09,274.50M,3.20M,,3.20M,76.60M,44.10M,120.70M,120.70M,,,,,,,,-282.80M,-282.80M,115.60M,-91.00M,,,-152.00M,-27.90M,238.70M,-32.20M,,-64.40M,-64.40M,14.60M,-0.60M,14.00M,0.00,0.00,-94.70M,,-94.70M,0.00,-16.80M,-161.90M,539.50M,-78.50M,22.30M,483.30M,14.60M,,,-0.60M
2017-06,277.60M,0.90M,,0.90M,73.70M,42.10M,115.80M,115.80M,,,,,,,,-242.50M,-242.50M,151.80M,-122.20M,,,5.80M,-24.40M,94.40M,-46.40M,,-593.10M,-593.10M,15.60M,-2.10M,13.50M,727.50M,727.50M,-86.50M,,-86.50M,-25.10M,-1.30M,35.00M,378.00M,140.40M,21.10M,539.50M,743.10M,,,-2.10M
2017-03,393.70M,-269.20M,,-269.20M,67.80M,33.70M,101.50M,101.50M,,,,,,,,-540.10M,-540.10M,-314.10M,-64.70M,,,-1.691B,20.70M,138.60M,-1.596B,,1.157B,1.157B,17.30M,-13.50M,3.80M,,,-86.70M,,-86.70M,0.00,-1.00M,1.073B,1.177B,-837.30M,38.10M,378.00M,17.30M,,,-13.50M
2016-12,257.80M,0.00,,0.00,67.20M,35.60M,102.80M,102.80M,,,,,,,,269.80M,56.20M,535.50M,-125.30M,,,24.00M,41.40M,346.00M,286.10M,,-90.50M,-90.50M,367.20M,-11.40M,355.80M,0.00,0.00,-87.00M,,-87.00M,0.00,-164.60M,13.70M,420.80M,835.30M,-78.90M,1.177B,367.20M,,,-11.40M
2016-09,248.90M,0.00,,0.00,66.60M,36.50M,103.10M,103.10M,,,,,,,,-105.30M,-105.30M,246.70M,-78.10M,,,-38.30M,57.80M,-2.70M,-61.30M,,-255.90M,-255.90M,19.10M,-0.60M,18.50M,0.00,0.00,-84.50M,,-84.50M,0.00,-3.50M,-325.40M,568.20M,-140.00M,-7.40M,420.80M,19.10M,,,-0.60M
2016-06,271.50M,0.00,,0.00,65.60M,36.40M,102.00M,102.00M,,,,,,,,122.90M,122.90M,496.40M,-78.70M,,,-8.00M,7.90M,-3.20M,-82.00M,,-132.90M,-132.90M,23.70M,-0.70M,23.00M,0.00,0.00,-79.80M,,-79.80M,0.00,23.80M,-165.90M,352.20M,248.50M,-32.50M,568.20M,23.70M,,,-0.70M
2016-03,189.40M,0.00,,0.00,64.20M,35.90M,100.10M,100.10M,,,,,,,,-382.60M,-382.60M,-93.10M,-64.90M,,,-13.00M,-2.40M,-1.40M,-81.70M,,481.20M,481.20M,8.50M,-361.40M,-352.90M,,,-79.60M,,-79.60M,,-4.20M,44.50M,465.40M,-130.30M,17.10M,352.20M,8.50M,,,-361.40M
2015-12,265.50M,,,,66.70M,38.90M,105.60M,105.60M,,,,,,,,489.90M,332.40M,828.20M,-131.30M,,,-0.10M,25.50M,4.10M,-101.80M,16.10M,-449.60M,-433.50M,79.50M,-9.70M,69.80M,,,-80.70M,,-80.70M,,-57.80M,-502.20M,293.30M,224.20M,-52.10M,465.40M,712.00M,,16.10M,-642.20M
2015-09,228.70M,,,,64.80M,39.10M,103.90M,103.90M,,,,,,,,-93.60M,-93.60M,239.00M,-68.50M,,,-17.10M,48.30M,-11.40M,-48.70M,-15.50M,32.10M,16.60M,9.30M,-192.10M,-182.80M,,,-79.70M,,-79.70M,,-4.30M,-250.20M,391.90M,-59.90M,-38.70M,293.30M,9.30M,,-15.50M,-192.10M
2015-06,227.20M,,,,62.50M,39.50M,102.00M,102.00M,,,,,,,,-16.60M,-16.60M,312.60M,-65.70M,,,0.00,33.50M,2.30M,-29.90M,-0.30M,-180.20M,-180.50M,31.70M,-100.00M,-68.30M,,,-76.80M,,-76.80M,,-4.20M,-329.80M,435.50M,-47.10M,3.50M,391.90M,31.70M,,-0.30M,-100.00M
2015-03,162.30M,,,,62.90M,39.60M,102.50M,102.50M,,,,,,,,-462.30M,-462.30M,-197.50M,-45.90M,,,-0.40M,30.40M,-8.70M,-24.60M,-0.30M,598.90M,598.60M,43.00M,-348.00M,-305.00M,,,-82.70M,,-82.70M,,-4.30M,206.60M,496.60M,-15.50M,-45.60M,435.50M,43.00M,,-0.30M,-348.00M
2014-12,145.80M,,,,66.20M,46.20M,112.40M,112.40M,,,,,,,,256.70M,306.40M,761.60M,-111.60M,,,-16.70M,3.60M,2.90M,-121.80M,-45.70M,-424.80M,-470.50M,20.30M,-7.50M,12.80M,,,-80.80M,,-80.80M,,-7.50M,-546.00M,486.80M,93.80M,-84.00M,496.60M,20.30M,,-45.70M,-7.50M
2014-09,236.70M,,,,65.80M,46.80M,112.60M,112.60M,,,,,,,,-100.20M,-100.20M,249.10M,-60.20M,,,5.80M,-29.20M,-15.00M,-98.60M,-0.30M,-48.80M,-49.10M,23.40M,-1.30M,22.10M,,,-81.40M,,-81.40M,,-4.70M,-113.10M,515.70M,37.40M,-66.30M,486.80M,23.40M,,-0.30M,-1.30M
2014-06,216.50M,,,,67.00M,47.40M,114.40M,114.40M,,,,,,,,106.30M,106.30M,437.20M,-61.40M,,,1.00M,-29.50M,-6.20M,-96.10M,-0.30M,-199.70M,-200.00M,14.40M,0.00,14.40M,,,-78.40M,,-78.40M,,-4.30M,-268.30M,432.60M,72.80M,10.30M,515.70M,14.40M,,-0.30M,0.00
2014-03,161.90M,,,,64.40M,46.00M,110.40M,110.40M,,,,,,,,-424.30M,-424.30M,-152.00M,-57.80M,,,2.80M,-6.30M,-4.40M,-65.70M,-0.30M,282.30M,282.00M,13.20M,-19.40M,-6.20M,,,-80.70M,,-80.70M,,-33.90M,161.20M,496.20M,-56.50M,-7.10M,432.60M,13.20M,,-0.30M,-19.40M
2013-12,56.10M,14.00M,,34.60M,65.60M,53.00M,118.60M,118.60M,,,6.00M,,72.40M,,,711.90M,572.00M,731.70M,-95.00M,,,-10.30M,-3.40M,-4.50M,-113.20M,383.40M,-810.80M,-427.40M,15.90M,-6.60M,9.30M,,,-77.70M,,-77.70M,,-0.80M,-579.80M,469.10M,38.70M,-11.60M,496.20M,15.90M,,-300.50M,-6.60M
2013-09,166.00M,0.00,,0.00,56.90M,51.90M,108.80M,108.80M,,,18.40M,,18.40M,,,-193.60M,-193.60M,99.60M,-88.70M,,,-15.70M,5.30M,-5.50M,-104.60M,-0.60M,-70.90M,-71.50M,32.30M,-7.80M,24.50M,,,-77.50M,,-77.50M,,18.00M,-106.50M,561.70M,-111.50M,18.90M,469.10M,32.30M,,-0.60M,-7.80M
2013-06,187.10M,-14.00M,,-14.00M,57.00M,51.10M,108.10M,108.10M,,,0.00,,0.00,,,-97.00M,-97.00M,184.20M,-80.00M,,,38.50M,10.90M,-8.40M,-39.00M,-0.50M,-60.10M,-60.60M,23.20M,-3.70M,19.50M,,,-78.40M,,-78.40M,,-0.80M,-120.30M,557.50M,24.90M,-20.70M,561.70M,23.20M,,-0.50M,-3.70M
2013-03,81.10M,0.00,,0.00,58.50M,47.30M,105.80M,105.80M,,,16.50M,,16.50M,,,-350.90M,-350.90M,-147.50M,-76.60M,,,-852.90M,-9.20M,-2.90M,-941.60M,-0.60M,1.330B,1.330B,83.20M,-21.10M,62.10M,,,-79.10M,,-79.10M,,-350.80M,962.10M,716.00M,-127.00M,-31.50M,557.50M,83.20M,,-0.60M,-21.10M
2012-12,492.00M,-384.70M,,-384.70M,62.10M,52.60M,114.70M,114.70M,,,0.00,,-57.60M,,,442.40M,365.00M,548.10M,-113.40M,,,1.240B,-6.00M,-3.50M,1.117B,593.80M,-1.335B,-741.50M,23.50M,-856.10M,-832.60M,,,-82.70M,,-82.70M,,-24.60M,-1.711B,769.50M,-45.90M,-7.60M,716.00M,23.50M,794.10M,-200.30M,-856.10M
2012-09,115.20M,0.00,,45.50M,53.00M,52.80M,105.80M,105.80M,,,10.80M,,10.80M,,,-126.10M,-126.10M,151.20M,-89.00M,,,-104.10M,4.80M,,-188.30M,-262.50M,527.40M,264.90M,27.40M,0.00,27.40M,,,-82.50M,,-82.50M,,-0.80M,209.00M,577.80M,171.90M,19.80M,769.50M,27.40M,638.40M,-900.90M,0.00
2012-06,154.80M,0.00,,0.00,59.60M,49.40M,109.00M,109.00M,,,0.00,,0.00,,,35.40M,35.40M,299.20M,-109.00M,,,-467.70M,5.00M,-1.90M,-573.60M,-320.80M,592.10M,271.30M,10.90M,-206.90M,-196.00M,,,-68.90M,,-68.90M,,-0.80M,5.60M,883.60M,-268.80M,-37.00M,577.80M,10.90M,,-320.80M,-206.90M
2012-03,121.80M,,,,63.20M,52.60M,115.80M,115.80M,,,0.00,,0.00,,,-269.90M,-269.90M,-32.30M,-61.50M,,,-114.70M,2.00M,1.90M,-172.30M,-0.30M,196.80M,196.50M,64.60M,-10.90M,53.70M,,,-69.90M,,-69.90M,,-21.40M,158.90M,906.90M,-45.70M,22.40M,883.60M,64.60M,,-0.30M,-10.90M
2011-12,157.70M,,,,60.30M,51.80M,112.10M,112.10M,-12.90M,,0.60M,,-46.30M,,,86.70M,230.30M,543.30M,-105.70M,,,25.20M,13.20M,4.00M,-63.30M,399.60M,-755.40M,-355.80M,17.20M,-4.90M,12.30M,,,-69.30M,,-69.30M,,18.80M,-413.60M,850.20M,66.40M,-9.70M,906.90M,17.20M,-156.40M,0.00,-4.90M
2011-09,162.20M,,,,55.20M,45.10M,100.30M,100.30M,0.00,,0.00,,0.00,,,-106.60M,-106.60M,155.90M,-58.40M,-26.00M,-26.00M,-1.013B,19.40M,25.40M,-1.053B,0.70M,-68.80M,-68.10M,17.00M,-0.10M,16.90M,,,-69.10M,,-69.10M,,-2.40M,-122.70M,1.914B,-1.020B,-44.70M,850.20M,17.00M,556.90M,-625.00M,-0.10M
2011-06,197.60M,,,,51.70M,42.10M,93.80M,93.80M,-69.20M,,,,,,,-42.80M,-42.80M,179.40M,-67.90M,2.20M,2.20M,-96.30M,-49.00M,,-211.00M,-381.20M,483.40M,102.20M,30.00M,-5.40M,24.60M,,,-68.90M,,-68.90M,,-19.60M,38.30M,1.881B,6.70M,26.90M,1.914B,30.00M,20.50M,81.70M,-5.40M
2011-03,157.10M,,,,61.30M,42.60M,103.90M,103.90M,,,,,,,,-140.70M,-140.70M,120.30M,-70.10M,23.80M,23.80M,-68.30M,-22.70M,,-137.30M,-1.30M,141.40M,140.10M,55.40M,-0.70M,54.70M,,,-68.60M,,-68.60M,,,126.20M,1.743B,109.20M,28.80M,1.881B,55.40M,,140.10M,-0.70M
2010-12,137.30M,,,,,,109.90M,109.90M,-36.20M,27.20M,1.70M,21.70M,-13.20M,,,-97.70M,92.90M,351.90M,-82.40M,,,-71.60M,-57.90M,56.00M,-155.90M,307.90M,-303.80M,4.10M,20.90M,-4.90M,16.00M,,,-56.40M,,-56.40M,,-55.80M,-92.10M,1.636B,103.90M,5.60M,1.743B,20.90M,573.30M,-569.20M,-4.90M
2010-09,123.10M,,,,,,86.40M,86.40M,35.70M,-13.00M,22.40M,13.50M,-20.30M,,,-48.70M,-48.70M,199.10M,-45.90M,,57.20M,488.80M,28.20M,-949.40M,-478.30M,395.40M,-38.60M,356.80M,14.30M,2.20M,16.50M,,,-56.30M,,-56.30M,,-50.60M,266.40M,1.598B,-12.80M,50.30M,1.636B,14.30M,436.50M,-79.70M,2.20M
2010-06,46.40M,,,,,,92.70M,92.70M,-35.70M,159.30M,,49.90M,-0.60M,,,-91.00M,-91.00M,221.00M,-35.10M,,-35.10M,-10.90M,15.80M,0.00,-30.20M,-4.70M,-357.10M,-361.80M,346.90M,-2.10M,344.80M,,,-54.60M,,-54.60M,,,-71.60M,1.505B,119.20M,-26.20M,1.598B,346.90M,0.00,-361.80M,-2.10M
2010-03,-108.60M,,,,,,59.70M,59.70M,,,,,,,,16.20M,16.20M,-32.70M,-22.10M,,-22.10M,-7.20M,13.90M,949.40M,934.00M,-204.60M,435.90M,231.30M,14.00M,-0.10M,13.90M,,,-34.30M,,-34.30M,,,210.90M,400.70M,1.112B,-7.50M,1.505B,14.00M,,231.30M,-0.10M
2009-12,58.70M,,,,,,51.30M,51.30M,,0.00,5.60M,6.40M,-12.90M,,,,165.20M,291.40M,-93.40M,,,-4.20M,0.00,67.70M,-29.90M,-1.30M,-62.20M,-63.50M,26.40M,-5.60M,20.80M,,,-26.70M,,-26.70M,,0.80M,-68.60M,207.40M,192.90M,0.40M,400.70M,26.40M,0.00,-63.50M,-5.60M
2009-09,60.40M,,,,,,51.90M,51.90M,,0.00,0.20M,5.30M,5.50M,,,,58.50M,176.30M,46.80M,,,-15.30M,0.00,-65.20M,-33.70M,-1.60M,-105.10M,-106.70M,27.20M,-3.90M,23.30M,,,-26.30M,,-26.30M,16.40M,-9.20M,-102.50M,156.30M,40.10M,11.00M,207.40M,27.20M,-47.40M,-59.30M,-3.90M
2009-06,69.50M,,,,,,48.90M,48.90M,,0.00,1.00M,9.00M,10.00M,,,,-60.30M,68.10M,-46.80M,,,0.40M,0.00,21.70M,-24.70M,-60.70M,54.80M,-5.90M,7.60M,-3.90M,3.70M,,,-25.30M,,-25.30M,0.00,4.00M,-23.50M,128.00M,19.90M,8.40M,156.30M,7.60M,47.20M,-53.10M,-3.90M
2009-03,37.70M,,,,,,48.00M,48.00M,,,,,,,,,-82.10M,3.60M,,,,-5.20M,0.00,-21.70M,-26.90M,-0.90M,-7.40M,-8.30M,0.00,-4.40M,-4.40M,,,-25.30M,,-25.30M,-16.40M,,-54.40M,211.60M,-77.70M,-5.90M,128.00M,0.00,0.20M,-8.50M,-4.40M
2008-12,-0.70M,-40.60M,,-40.60M,,,54.50M,54.50M,,,,,88.70M,,,,60.80M,193.70M,-58.90M,,,-207.20M,-4.20M,,-242.80M,213.30M,-214.50M,-1.20M,1.70M,10.80M,12.50M,,,-25.20M,,-25.20M,,,-10.20M,299.30M,-59.30M,-28.40M,211.60M,1.70M,108.50M,-109.70M,10.80M
2008-09,163.00M,-85.90M,,-85.90M,,,47.20M,47.20M,,,,,2.00M,,,,5.40M,131.70M,-28.30M,,,-139.50M,15.80M,,-152.00M,-0.80M,-31.50M,-32.30M,7.40M,-4.00M,3.40M,,,-25.20M,,-25.20M,,,-54.10M,384.20M,-74.40M,-10.50M,299.30M,7.40M,-31.30M,-1.00M,-4.00M
2008-06,78.10M,,,,,,40.50M,40.50M,,,,,-2.00M,,,,-33.10M,83.50M,-28.50M,,,-23.20M,3.50M,,-48.20M,-6.60M,52.80M,46.20M,7.10M,-3.70M,3.40M,,,-24.30M,,-24.30M,0.00,,25.30M,324.80M,60.60M,-1.20M,384.20M,7.10M,52.80M,-6.60M,-3.70M
2008-03,66.50M,,,,,,40.80M,40.80M,,,,,,,,,0.40M,107.70M,-25.10M,,,-0.50M,4.00M,,-21.60M,-1.10M,119.70M,118.60M,2.90M,-106.40M,-103.50M,,,-24.30M,,-24.30M,0.00,,-9.20M,240.40M,76.90M,7.50M,324.80M,2.90M,119.70M,-1.10M,-106.40M
2007-12,92.30M,,,-10.50M,,,42.10M,42.10M,,,,,,,,27.00M,45.20M,217.90M,-31.90M,,33.60M,-9.40M,,2.80M,-38.50M,,,-104.00M,6.60M,-100.00M,-93.40M,,,,,-24.90M,,-12.40M,-234.70M,280.60M,-55.30M,15.10M,240.40M,6.60M,,,-100.00M
2007-09,91.40M,,,2.90M,,,42.20M,42.20M,,,,,,,,-6.20M,-6.20M,130.30M,-11.50M,,-11.50M,-69.90M,,12.30M,-69.10M,,,12.90M,4.10M,0.00,4.10M,,,,,-25.40M,,0.00,-8.40M,225.70M,52.80M,2.10M,280.60M,4.10M,,,0.00
2007-06,85.30M,,,3.60M,,,40.70M,40.70M,,,,,,,,-27.50M,-27.50M,102.10M,-17.30M,,-17.30M,-21.80M,,-4.30M,-43.40M,,,48.10M,26.30M,-100.10M,-73.80M,,,,,-24.60M,,-1.00M,-51.30M,210.80M,7.40M,7.50M,225.70M,26.30M,,,-100.10M
2007-03,67.60M,,,4.00M,,,37.20M,37.20M,,,,,,,,-15.00M,-15.00M,93.80M,-26.20M,,-26.20M,-541.40M,,1.70M,-565.90M,,,537.60M,59.50M,-6.80M,52.70M,,,,,-24.90M,,-60.40M,505.00M,176.60M,32.90M,1.30M,210.80M,59.50M,,,-6.80M
2006-12,86.60M,,,-8.50M,,,29.90M,29.90M,,,,,,,,-14.30M,-50.00M,119.30M,-20.70M,,11.20M,-31.60M,,-9.60M,-30.00M,,,-154.50M,18.40M,-0.40M,18.00M,,,,,-24.50M,,5.90M,-155.10M,241.30M,-65.80M,1.10M,176.60M,18.40M,,,-0.40M
2006-09,90.50M,,,0.90M,,,30.00M,30.00M,,,,,,,,-4.10M,-4.10M,117.30M,-21.20M,,-21.20M,-24.40M,,-0.80M,-46.40M,,,-25.10M,46.00M,-0.10M,45.90M,,,,,-24.30M,,-34.10M,-37.60M,207.10M,33.30M,0.90M,241.30M,46.00M,,,-0.10M
2006-06,74.70M,,,1.80M,,,31.00M,31.00M,,,,,,,,9.80M,9.80M,117.30M,-24.10M,,-24.10M,-25.20M,,7.50M,-41.80M,,,-37.10M,,-24.00M,-24.00M,,,,,-23.50M,,10.00M,-74.60M,204.90M,0.90M,1.30M,207.10M,,,,-24.00M
2006-03,37.70M,,,7.30M,,,30.30M,30.30M,,,,,,,,9.90M,9.90M,85.20M,-14.50M,,-14.50M,-489.70M,,-3.90M,-508.10M,,,146.10M,,-177.10M,-177.10M,,,,,-23.80M,,24.10M,-30.70M,657.80M,-453.60M,0.70M,204.90M,,,,-177.10M
2005-12,60.20M,,,10.70M,,,25.80M,25.80M,,,,,,,,54.50M,17.70M,150.00M,-9.30M,,-26.20M,-178.20M,,6.60M,-197.80M,,,390.40M,,,,,,,,-24.30M,,-38.20M,366.60M,338.10M,318.80M,0.90M,657.80M,,,,
2005-09,76.90M,,,2.30M,,,23.40M,23.40M,,,,,,,,-28.00M,-28.00M,74.60M,-17.00M,,-17.00M,-2.30M,,-2.00M,-21.30M,,,-37.00M,,,,,,,,-24.20M,,18.50M,-42.70M,325.60M,10.60M,1.90M,338.10M,,,,
2005-06,65.90M,,,1.60M,,,23.90M,23.90M,,,,,,,,-14.30M,-14.30M,77.10M,-16.50M,,-16.50M,-46.40M,,-12.70M,-75.60M,,,30.00M,,,,,,,,-23.20M,,3.90M,10.70M,310.50M,12.20M,2.90M,325.60M,,,,
2005-03,66.60M,,,,,,23.40M,23.40M,,,,,,,,-29.40M,-29.40M,60.60M,-10.50M,,-10.50M,-59.70M,,-18.60M,-88.80M,,,97.70M,,,,,,,,-23.20M,,8.20M,82.70M,250.00M,54.50M,6.00M,310.50M,,,,
2004-12,88.10M,,,-99.60M,,,24.70M,24.70M,,,,,56.00M,,,51.50M,60.30M,129.50M,-11.20M,78.40M,67.20M,-43.70M,,5.50M,29.00M,,,-157.50M,,,,,,,,-24.00M,,-20.50M,-174.30M,256.30M,-15.80M,9.50M,250.00M,,,,
2004-09,63.90M,,,140.00M,,,23.20M,23.20M,,,,,-34.00M,,,-94.10M,-94.10M,99.00M,-15.30M,-10.50M,-25.80M,-3.00M,,-2.80M,-31.60M,,,-26.10M,,,,,,,,-23.00M,,3.40M,-45.70M,235.70M,21.70M,-1.10M,256.30M,,,,
2004-06,61.40M,,,-140.00M,,,22.70M,22.70M,,,,,195.90M,,,-49.10M,-49.10M,90.90M,-12.90M,-21.90M,-34.80M,-4.40M,,1.40M,-37.80M,,,3.00M,,,,,,,,-21.20M,,5.90M,-12.30M,192.50M,40.80M,2.40M,235.70M,,,,
2004-03,153.50M,,,,,,24.40M,24.40M,,,,,-161.90M,,,36.10M,36.10M,52.10M,-8.20M,161.90M,153.70M,-250.10M,,-0.10M,-96.50M,,,47.20M,,,,,,,,-21.20M,,9.90M,35.90M,204.40M,-8.50M,-3.40M,192.50M,,,,
2003-12,34.60M,,,53.40M,,,21.00M,21.00M,,,,,-76.40M,,,41.70M,165.10M,197.70M,-3.70M,,1.00M,-1.40M,,-8.60M,-9.00M,,,-145.20M,,,,,,,,-21.10M,,-3.50M,-165.50M,169.60M,23.20M,11.60M,204.40M,,,,
2003-09,41.70M,,,-48.10M,,,21.00M,21.00M,,,,,112.60M,,,23.60M,23.60M,150.80M,-12.40M,,-12.40M,-8.60M,,5.60M,-15.40M,,,-10.40M,,,,,,,,-21.00M,,-59.60M,-91.00M,127.70M,44.40M,-2.50M,169.60M,,,,
2003-06,12.40M,,,80.80M,,,21.90M,21.90M,,,,,-25.40M,,,-25.60M,-25.60M,64.10M,-7.80M,,-7.80M,2.60M,,0.70M,-4.50M,,,-28.80M,,,,,,,,-21.80M,,-40.10M,-90.70M,156.00M,-31.10M,2.80M,127.70M,,,,
