,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2017-10,837.00M,,2.00M,,,49.00M,49.00M,43.00M,107.00M,,4.00M,45.00M,0.00,-11.00M,66.00M,,,15.00M,115.00M,1.157B,,-69.00M,,,,355.00M,,286.00M,,2017-10,-62.00M,,-151.00M,-151.00M,-84.00M,-84.00M,56.00M,-388.00M,-629.00M,,2017-10,1.988B,2.802B,,2017-10,,-62.00M,-151.00M,,,,2017-10,AOR
2017-07,584.00M,,3.00M,,,49.00M,49.00M,93.00M,82.00M,,4.00M,-237.00M,-34.00M,-13.00M,166.00M,,,8.00M,-110.00M,705.00M,,-54.00M,,,,316.00M,,262.00M,,2017-07,-136.00M,,-758.00M,-758.00M,-84.00M,-84.00M,11.00M,-1.00M,-968.00M,,2017-07,1.989B,1.988B,,2017-07,,-136.00M,-758.00M,,,,2017-07,AOR
2017-04,507.00M,,14.00M,,,47.00M,47.00M,22.00M,76.00M,,7.00M,-150.00M,-27.00M,-2.00M,-220.00M,,,8.00M,-391.00M,282.00M,,-54.00M,,,,808.00M,,754.00M,,2017-04,-605.00M,,,,-82.00M,-82.00M,65.00M,-191.00M,-813.00M,,2017-04,1.766B,1.989B,,2017-04,,-605.00M,,,,,2017-04,AOR
2017-01,654.00M,2.00M,8.00M,,,47.00M,47.00M,51.00M,71.00M,,5.00M,7.00M,-114.00M,10.00M,-33.00M,,,15.00M,-115.00M,721.00M,,-51.00M,1.00M,1.00M,,-323.00M,,-373.00M,,2017-01,-2.217B,,-230.00M,-230.00M,-76.00M,-76.00M,19.00M,1.982B,-522.00M,,2017-01,1.94B,1.766B,,2017-01,,-229.00M,-230.00M,,,,2017-01,AOR
2016-10,543.00M,1.00M,16.00M,,,48.00M,48.00M,69.00M,65.00M,,7.00M,-190.00M,-157.00M,-11.00M,36.00M,,,6.00M,-316.00M,432.00M,,-38.00M,0.00,0.00,,-289.00M,,-327.00M,,2016-10,1.544B,,0.00,0.00,-61.00M,-61.00M,57.00M,-131.00M,1.409B,,2016-10,426.00M,1.94B,,2016-10,,-444.00M,0.00,,,,2016-10,AOR
2016-07,261.00M,0.00,0.00,,,47.00M,47.00M,47.00M,58.00M,,17.00M,-121.00M,-127.00M,1.00M,21.00M,,,-4.00M,-230.00M,200.00M,,-32.00M,6.00M,6.00M,,-243.00M,,-269.00M,,2016-07,0.00,,-9.00M,-9.00M,-62.00M,-62.00M,21.00M,-2.00M,-52.00M,,2016-07,547.00M,426.00M,,2016-07,,0.00,-9.00M,,,,2016-07,AOR
2016-04,208.00M,-3.00M,-3.00M,,,45.00M,45.00M,30.00M,53.00M,,4.00M,-17.00M,23.00M,-18.00M,25.00M,,,-31.00M,-18.00M,319.00M,,-55.00M,,,,231.00M,,176.00M,,2016-04,0.00,,-500.00M,-500.00M,-62.00M,-62.00M,70.00M,-52.00M,-544.00M,,2016-04,596.00M,547.00M,,2016-04,,0.00,-500.00M,,,,2016-04,AOR
2016-01,208.00M,1.00M,1.00M,,,46.00M,46.00M,27.00M,59.00M,-10.00M,23.00M,31.00M,7.00M,9.00M,62.00M,,,48.00M,157.00M,511.00M,,-15.00M,0.00,0.00,,-199.00M,1.00M,-213.00M,,2016-01,3.00M,,-135.00M,-135.00M,-61.00M,-61.00M,87.00M,-67.00M,-173.00M,,2016-01,471.00M,596.00M,,2016-01,,3.00M,-135.00M,,,,2016-01,AOR
2015-10,246.00M,-4.00M,-4.00M,,,48.00M,48.00M,42.00M,52.00M,6.00M,13.00M,-22.00M,17.00M,-12.00M,-81.00M,,,-50.00M,-148.00M,255.00M,,-17.00M,5.00M,5.00M,,-187.00M,0.00,-199.00M,,2015-10,-1.00M,,0.00,0.00,-53.00M,-53.00M,35.00M,-1.00M,-20.00M,,2015-10,435.00M,471.00M,,2015-10,,-1.00M,0.00,,,,2015-10,AOR
2015-07,26.00M,0.00,0.00,,,49.00M,49.00M,37.00M,48.00M,0.00,43.00M,-59.00M,-3.00M,4.00M,56.00M,,,-38.00M,-40.00M,163.00M,,-24.00M,2.00M,2.00M,,245.00M,24.00M,247.00M,,2015-07,-1.00M,,-399.00M,-399.00M,-53.00M,-53.00M,14.00M,0.00,-439.00M,,2015-07,464.00M,435.00M,,2015-07,,-1.00M,-399.00M,,,,2015-07,AOR
2015-04,134.00M,-3.00M,-3.00M,,,54.00M,54.00M,28.00M,45.00M,-6.00M,14.00M,18.00M,45.00M,-17.00M,-9.00M,,,-57.00M,-20.00M,246.00M,,-30.00M,,,,-204.00M,-1.00M,-235.00M,,2015-04,-1.00M,,-53.00M,-53.00M,-46.00M,-46.00M,50.00M,6.00M,-44.00M,,2015-04,497.00M,464.00M,,2015-04,,-1.00M,-53.00M,,,,2015-04,AOR
2015-01,194.00M,1.00M,1.00M,,,54.00M,54.00M,21.00M,43.00M,-6.00M,12.00M,89.00M,-75.00M,-1.00M,-9.00M,,,120.00M,124.00M,443.00M,,-31.00M,0.00,0.00,,-287.00M,0.00,-318.00M,,2015-01,2.00M,,-4.00M,-4.00M,-46.00M,-46.00M,25.00M,0.00,-23.00M,,2015-01,395.00M,497.00M,,2015-01,,2.00M,-4.00M,,,,2015-01,AOR
2014-10,172.00M,-4.00M,-4.00M,,,55.00M,55.00M,24.00M,41.00M,-5.00M,12.00M,-92.00M,-21.00M,2.00M,63.00M,,,-31.00M,-79.00M,216.00M,,-39.00M,0.00,0.00,,25.00M,-1.00M,-15.00M,,2014-10,-1.00M,,-310.00M,-310.00M,-46.00M,-46.00M,31.00M,5.00M,-321.00M,,2014-10,515.00M,395.00M,,2014-10,,-1.00M,-310.00M,,,,2014-10,AOR
2014-07,128.00M,3.00M,3.00M,,,56.00M,56.00M,16.00M,38.00M,-3.00M,14.00M,-74.00M,7.00M,4.00M,-32.00M,,,-61.00M,-156.00M,96.00M,,-23.00M,0.00,0.00,,-41.00M,,-64.00M,,2014-07,0.00,,0.00,0.00,-47.00M,-47.00M,18.00M,3.00M,-26.00M,,2014-07,509.00M,515.00M,,2014-07,,0.00,0.00,,,,2014-07,AOR
2014-04,137.00M,-17.00M,-17.00M,,,55.00M,55.00M,22.00M,36.00M,-4.00M,14.00M,28.00M,-6.00M,-1.00M,-44.00M,,,-69.00M,-92.00M,151.00M,,-29.00M,21.00M,21.00M,,-322.00M,,-330.00M,,2014-04,-1.00M,,-500.00M,-500.00M,-47.00M,-47.00M,80.00M,4.00M,-464.00M,,2014-04,1.152B,509.00M,,2014-04,,-1.00M,-500.00M,,,,2014-04,AOR
2014-01,146.93M,-7.742M,-7.742M,,,54.69M,54.69M,7.086M,35.91M,-2.257M,14.43M,21.19M,-7.178M,9.102M,-10.92M,,,139.32M,151.52M,400.57M,,-66.19M,25.00M,25.00M,0.145M,-1.056B,-2.55M,-1.100B,,2014-01,1.478B,,-37.00M,-37.00M,-47.99M,-47.99M,63.25M,-167.24M,1.289B,,2014-01,562.08M,1.152B,,2014-01,,-0.22M,-37.00M,15.00M,3.00M,,2014-01,AOR
2013-10,118.73M,-0.258M,-0.258M,,,62.73M,62.73M,8.525M,34.30M,-6.383M,2.702M,-29.46M,-2.544M,7.854M,147.89M,,,-181.77M,-58.03M,162.32M,,-38.16M,0.00,0.00,-17.14M,-131.07M,-1.00M,-187.37M,,2013-10,-0.611M,,0.00,0.00,-43.40M,-43.40M,33.45M,6.383M,-4.179M,,2013-10,591.32M,562.08M,,2013-10,,-0.611M,0.00,-5.083M,-1.294M,,2013-10,AOR
2013-07,96.45M,0.00,0.00,,,61.84M,61.84M,2.452M,32.40M,-7.24M,3.879M,-71.20M,-6.788M,-12.32M,-5.628M,,,2.639M,-93.30M,96.47M,,-84.99M,0.00,0.00,,796.80M,0.00,711.82M,,2013-07,-0.593M,,-750.00M,-750.00M,-43.34M,-43.34M,8.307M,7.24M,-778.39M,,2013-07,561.42M,591.32M,,2013-07,,-0.593M,-750.00M,2.797M,0.639M,,2013-07,AOR
2013-04,77.89M,0.00,0.00,,,59.74M,59.74M,-3.063M,33.40M,-10.12M,4.988M,108.48M,41.51M,7.367M,-146.35M,,,1.806M,12.81M,175.65M,,-65.67M,0.00,0.00,,-163.67M,-1.45M,-230.79M,,2013-04,-0.576M,,-100.00M,-100.00M,-46.27M,-46.27M,23.00M,7.62M,-116.23M,,2013-04,732.79M,561.42M,,2013-04,,-0.576M,-100.00M,2.286M,0.655M,,2013-04,AOR
2013-01,173.97M,,,,,58.40M,58.40M,-10.82M,35.77M,-43.06M,7.933M,-9.932M,9.429M,5.063M,159.99M,,,64.27M,228.82M,451.01M,,-47.76M,,,0.00,-93.90M,0.217M,-141.44M,,2013-01,-2.049M,,-100.00M,-100.00M,-46.87M,-46.87M,2.154M,44.59M,-102.18M,,2013-01,525.39M,732.79M,,2013-01,,-2.049M,-100.00M,,0.583M,,2013-01,AOR
2012-10,209.08M,,,,,57.15M,57.15M,28.89M,33.07M,-7.492M,7.482M,0.21M,-41.54M,-12.87M,-96.78M,,,4.29M,-146.70M,181.48M,,-44.68M,,,0.00,-138.33M,0.217M,-182.80M,,2012-10,1.011M,,0.00,0.00,0.00,0.00,20.10M,5.97M,27.08M,,2012-10,499.62M,525.39M,,2012-10,,1.011M,0.00,,0.715M,,2012-10,AOR
2012-07,119.05M,,,,,56.20M,56.20M,10.16M,32.26M,-9.479M,27.04M,-33.85M,-44.64M,44.19M,-2.409M,,,2.376M,-34.34M,200.89M,,-61.94M,,,,-22.46M,-0.298M,-84.70M,,2012-07,-0.496M,,0.00,0.00,0.00,0.00,5.317M,9.479M,14.30M,,2012-07,369.14M,499.62M,,2012-07,,-0.496M,0.00,-2.01M,0.73M,,2012-07,AOR
2012-04,60.44M,,,,,54.49M,54.49M,3.63M,35.57M,-8.675M,5.451M,-75.37M,-2.191M,-48.10M,-32.57M,,,-1.882M,-160.11M,-9.208M,,-28.92M,,,0.00,-306.35M,0.216M,-335.05M,,2012-04,-0.515M,,0.00,0.00,0.00,0.00,37.36M,8.675M,45.52M,,2012-04,667.88M,369.14M,,2012-04,,-0.515M,0.00,2.01M,0.744M,,2012-04,AOR
2012-01,116.02M,,,,,51.90M,51.90M,4.814M,35.44M,-0.09M,5.406M,35.07M,-20.86M,-14.84M,265.37M,,,-67.70M,197.03M,410.52M,,-45.18M,,,0.00,-283.61M,0.30M,-328.50M,,2012-01,9.899M,,,,,,19.37M,-10.23M,19.04M,,2012-01,566.82M,667.88M,,2012-01,,9.899M,,54.47M,0.754M,,2012-01,AOR
2011-10,178.27M,,,,,52.39M,52.39M,-5.84M,33.23M,-27.68M,2.994M,48.68M,41.92M,-2.22M,-75.32M,,,-2.00M,11.06M,244.42M,,-39.04M,,,0.00,-250.11M,0.00,-289.14M,,2011-10,-0.457M,,,,,,51.70M,27.68M,78.93M,,2011-10,532.61M,566.82M,,2011-10,,-0.457M,,1.003M,0.744M,,2011-10,AOR
2011-07,151.57M,,,,,52.16M,52.16M,11.67M,35.95M,-11.38M,8.50M,-63.33M,33.01M,6.219M,-138.14M,,,-4.218M,-166.45M,82.02M,,-23.32M,,,-348.88M,100.50M,-1.507M,-273.22M,,2011-07,-10.70M,,,,,,39.50M,11.38M,40.18M,,2011-07,683.63M,532.61M,,2011-07,,-10.70M,,1.45M,0.749M,,2011-07,AOR
2011-04,135.22M,,,,,47.76M,47.76M,8.415M,31.74M,-13.64M,2.195M,5.82M,-35.18M,-3.964M,-9.387M,,,3.226M,-39.49M,172.20M,,-31.20M,,,,-220.93M,-0.383M,-252.51M,,2011-04,-0.352M,,,,,,85.29M,13.64M,98.58M,,2011-04,665.36M,683.63M,,2011-04,,-0.352M,,1.404M,0.761M,,2011-04,AOR
2011-01,171.65M,,,,,46.39M,46.39M,-2.474M,25.37M,-15.32M,-3.81M,50.91M,32.62M,4.73M,125.14M,,,-0.533M,212.86M,434.67M,,-21.34M,,76.55M,0.00,-287.40M,-0.507M,-309.25M,,2011-01,0.304M,-104.13M,,-104.13M,,,,,88.76M,,2011-01,451.17M,665.36M,,2011-01,-104.13M,0.304M,,,3.127M,,2011-01,AOR
2010-10,84.86M,,,,,46.88M,46.88M,15.07M,25.18M,0.00,-0.508M,-3.374M,56.03M,10.13M,-26.87M,-0.086M,,4.864M,40.70M,212.18M,,-21.82M,,-21.82M,0.00,-142.03M,-0.131M,-163.98M,,2010-10,-0.301M,26.28M,,26.28M,,,,,25.98M,,2010-10,377.00M,451.17M,,2010-10,26.28M,-0.301M,,-1.605M,-1.582M,,2010-10,AOR
2010-07,-140.96M,,,,,46.57M,46.57M,-29.64M,24.63M,0.00,3.916M,133.82M,-45.96M,-9.02M,51.97M,-0.975M,,,129.83M,34.34M,,-37.64M,,-37.64M,0.00,-79.93M,-1.525M,-119.10M,,2010-07,-0.292M,14.79M,,14.79M,,,,,14.50M,,2010-07,447.26M,377.00M,,2010-07,14.79M,-0.292M,,0.516M,1.582M,,2010-07,AOR
2010-04,137.59M,,,,,47.15M,47.15M,14.40M,25.18M,0.00,1.974M,-155.01M,-56.82M,2.685M,-23.61M,1.061M,,,-231.69M,-5.397M,,-17.08M,,-17.08M,,-40.26M,,-57.34M,,2010-04,-0.282M,63.06M,,63.06M,,,,,62.78M,,2010-04,447.22M,447.26M,,2010-04,63.06M,-0.282M,,1.089M,,,2010-04,AOR
2010-01,131.08M,,,,,47.91M,47.91M,4.626M,24.62M,-2.034M,-0.784M,23.01M,-53.07M,-6.545M,-106.08M,,,6.514M,-136.17M,69.24M,,-22.58M,,55.03M,,-261.20M,0.00,-283.77M,,2010-01,-0.611M,-92.19M,,-92.19M,,,59.95M,80.11M,47.26M,,2010-01,614.49M,447.22M,,2010-01,-92.19M,-0.611M,,1.606M,0.803M,,2010-01,AOR
2009-10,107.58M,,,,,48.77M,48.77M,2.258M,22.98M,,2.017M,-45.99M,1.165M,22.45M,-20.08M,2.824M,,-2.657M,-42.29M,141.32M,,-16.59M,,-16.59M,,-77.90M,-1.00M,-95.50M,,2009-10,-0.215M,45.10M,,45.10M,,,,0.00,44.88M,,2009-10,523.78M,614.49M,,2009-10,45.10M,-0.215M,,0.918M,0.81M,,2009-10,AOR
2009-07,-105.30M,,,,,49.32M,49.32M,-12.65M,25.38M,7.595M,0.451M,-47.93M,45.33M,-19.74M,190.52M,-2.824M,,4.969M,170.33M,135.12M,,-17.66M,,-17.66M,,-114.28M,0.782M,-131.16M,,2009-07,0.119M,7.432M,,7.432M,,,78.08M,-78.08M,7.551M,,2009-07,512.27M,523.78M,,2009-07,7.432M,0.119M,,0.774M,1.643M,,2009-07,AOR
2009-04,-201.34M,,,,,50.66M,50.66M,-15.38M,169.85M,-7.595M,1.386M,14.17M,211.23M,5.414M,-81.30M,,,-4.969M,144.55M,142.13M,,-20.78M,,-20.78M,,11.87M,,-8.905M,,2009-04,-0.222M,39.66M,,39.66M,,,-78.08M,,-38.64M,,2009-04,417.69M,512.27M,,2009-04,39.66M,-0.222M,,0.919M,0.00,,2009-04,AOR
2009-01,-147.66M,,-1.899M,,,48.06M,48.06M,-24.84M,,,-130.87M,289.60M,-12.14M,10.32M,-110.04M,,-112.88M,-0.078M,64.78M,-19.84M,,-42.98M,,-42.98M,0.00,13.53M,-1.91M,-31.35M,,2009-01,,6.817M,0.00,6.817M,,,,,7.632M,,2009-01,461.25M,417.69M,,2009-01,6.817M,,0.00,,,,2009-01,
2008-10,61.75M,,-1.246M,,,49.30M,49.30M,-3.979M,,,54.52M,71.65M,-92.02M,2.069M,-26.56M,,-70.94M,-1.539M,-117.34M,43.00M,,-109.01M,,-109.01M,0.00,81.36M,-0.25M,-27.90M,,2008-10,,26.75M,-299.74M,-272.99M,,,,,-272.99M,,2008-10,719.14M,461.25M,,2008-10,26.75M,,-299.74M,,,,2008-10,
2008-07,-120.93M,,1.907M,,,46.31M,46.31M,-25.64M,,,17.60M,-28.20M,-11.99M,9.967M,-19.12M,,209.29M,1.767M,161.71M,80.96M,,-53.51M,,-53.51M,0.00,-124.35M,3.218M,-174.65M,,2008-07,,9.524M,0.00,9.524M,,,,,9.524M,,2008-07,803.31M,719.14M,,2008-07,9.524M,,0.00,,,,2008-07,
2008-04,176.80M,,1.238M,,,41.36M,41.36M,31.19M,,,37.14M,15.83M,-61.15M,-0.831M,-68.61M,,-25.47M,-2.258M,-142.49M,145.24M,,-202.17M,,-202.17M,-27.95M,256.15M,-1.50M,24.53M,,2008-04,,30.46M,-123.90M,-93.44M,,,,,-93.44M,,2008-04,726.97M,803.31M,,2008-04,30.46M,,-123.90M,,,,2008-04,
2008-01,256.99M,,52.58M,,,36.94M,36.94M,22.24M,,,-22.54M,-113.11M,-52.28M,-1.966M,41.78M,,48.95M,-17.11M,-93.74M,252.47M,,-70.34M,,-70.34M,,-280.04M,,-425.92M,,2008-01,,21.58M,-178.08M,-156.51M,,,,,-156.29M,,2008-01,1.057B,726.97M,,2008-01,21.58M,,-178.08M,,,,2008-01,
2007-10,235.66M,,-49.20M,,,33.03M,33.03M,28.00M,,,32.00M,-43.89M,-29.90M,-3.485M,124.41M,,52.74M,0.756M,100.63M,380.12M,,-49.70M,,-49.70M,,-136.75M,,-186.45M,,2007-10,,73.32M,-125.04M,-51.72M,,,,,-51.72M,,2007-10,914.74M,1.057B,,2007-10,73.32M,,-125.04M,,,,2007-10,
2007-07,172.73M,,0.125M,,,31.89M,31.89M,38.38M,,,40.75M,-36.90M,55.65M,1.80M,-10.66M,,47.57M,1.061M,58.52M,342.40M,,-41.37M,,-41.37M,,-27.81M,,-69.18M,,2007-07,,86.96M,-124.39M,-37.43M,,,,,-37.43M,,2007-07,678.95M,914.74M,,2007-07,86.96M,,-124.39M,,,,2007-07,
2007-04,132.26M,,0.06M,,,31.33M,31.33M,0.899M,,,26.11M,47.85M,22.84M,-2.642M,61.34M,,-26.23M,1.376M,104.53M,295.20M,,-26.34M,,-26.34M,,-53.44M,,-79.77M,,2007-04,,44.11M,-125.00M,-80.89M,,,,,-80.89M,,2007-04,544.41M,678.95M,,2007-04,44.11M,,-125.00M,,,,2007-04,
2007-01,163.51M,,14.32M,,,34.29M,34.29M,16.15M,,,46.66M,-62.93M,21.14M,5.208M,-43.96M,,15.02M,20.98M,-44.53M,230.40M,,-75.69M,,-75.69M,-334.76M,38.55M,,-371.91M,,2007-01,,66.55M,-100.00M,-33.45M,,,,-22.37M,-55.82M,,2007-01,741.75M,544.41M,,2007-01,66.55M,,-100.00M,,,,2007-01,
2006-10,106.51M,,-0.102M,,,25.03M,25.03M,-2.62M,,,23.41M,19.92M,5.775M,-1.619M,50.06M,,72.22M,-9.271M,137.09M,289.32M,,-28.79M,,-28.79M,-0.011M,32.43M,,3.631M,,2006-10,,52.18M,0.00,52.18M,,,,8.197M,60.37M,,2006-10,388.42M,741.75M,,2006-10,52.18M,,0.00,,,,2006-10,
2006-07,88.14M,,-17.40M,,,24.21M,24.21M,28.24M,,,37.50M,-68.12M,-30.36M,-5.551M,-75.22M,,36.56M,-0.993M,-143.69M,17.00M,,-20.11M,,-20.11M,0.00,5.08M,,-15.03M,,2006-07,,15.78M,-124.98M,-109.20M,,,,7.892M,-101.31M,,2006-07,487.76M,388.42M,,2006-07,15.78M,,-124.98M,,,,2006-07,
2006-04,90.68M,,17.44M,,,24.03M,24.03M,,,,,-64.14M,-87.96M,-3.332M,107.73M,,-30.64M,-3.406M,-81.75M,50.40M,,-20.67M,,-20.67M,-67.03M,-69.82M,,-157.51M,,2006-04,,86.66M,-50.00M,36.66M,,,,6.47M,43.12M,,2006-04,551.76M,487.76M,,2006-04,86.66M,,-50.00M,,,,2006-04,
2006-01,97.37M,,0.92M,,,23.79M,23.79M,,,,25.32M,34.21M,30.24M,-0.612M,3.666M,,15.24M,-2.078M,80.67M,225.38M,,-23.44M,,-23.44M,,34.56M,,-10.70M,,2006-01,0.856M,22.28M,-50.00M,-27.72M,,,,-0.365M,-27.23M,,2006-01,364.31M,551.76M,,2006-01,22.28M,,-50.00M,,,,2006-01,
2005-10,64.45M,,0.00,,,24.52M,24.52M,,,,2.202M,-6.984M,16.11M,0.981M,-45.32M,,27.19M,0.948M,-7.072M,84.10M,,-13.47M,,-13.47M,,42.67M,,29.20M,,2005-10,-0.856M,49.32M,-40.00M,9.325M,,,,0.365M,8.834M,,2005-10,242.17M,364.31M,,2005-10,49.32M,,-40.00M,,,,2005-10,
2005-07,74.91M,,0.141M,,,24.77M,24.77M,,,,4.628M,-98.07M,6.804M,-2.887M,38.90M,,3.445M,-5.299M,-57.10M,47.35M,,-29.18M,,-29.18M,,-26.49M,,-55.68M,,2005-07,,19.88M,-50.04M,-30.16M,,,,-0.345M,-30.50M,,2005-07,281.00M,242.17M,,2005-07,19.88M,,-50.04M,,,,2005-07,
