,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2018-04,3.207B,3.207B,1.139B,2.068B,231.00M,542.00M,,,15.00M,25.00M,10.00M,,773.00M,1.295B,25.00M,15.00M,10.00M,6.00M,10.00M,1.311B,67.00M,1.244B,,1.244B,1.244B,1.326B,,2018-04,2.05,,2.05,,2018-04,1.98,,1.98,,2018-04,0.15,,2018-04,AOR,Restated
2018-01,2.911B,2.911B,1.11B,1.801B,221.00M,507.00M,,,15.00M,21.00M,6.00M,,728.00M,1.073B,21.00M,15.00M,6.00M,0.00,6.00M,1.079B,-40.00M,1.119B,,1.119B,1.119B,1.094B,,2018-01,1.84,,1.84,,2018-01,1.78,,1.78,,2018-01,0.15,,2018-01,AOR,Restated
2017-10,2.636B,2.636B,1.067B,1.569B,212.00M,462.00M,,,15.00M,17.00M,2.00M,,674.00M,895.00M,17.00M,15.00M,2.00M,-1.00M,2.00M,896.00M,58.00M,838.00M,,838.00M,838.00M,911.00M,,2017-10,1.39,,1.39,,2017-10,1.33,,1.33,,2017-10,0.14,,2017-10,AOR,Restated
2017-07,2.23B,2.23B,928.00M,1.302B,198.00M,416.00M,,,15.00M,15.00M,0.00,,614.00M,688.00M,15.00M,15.00M,0.00,-4.00M,0.00,684.00M,101.00M,583.00M,,583.00M,583.00M,699.00M,,2017-07,0.98,,0.98,,2017-07,0.92,,0.92,,2017-07,0.14,,2017-07,AOR,Restated
2017-04,1.937B,1.937B,787.00M,1.15B,185.00M,411.00M,,,16.00M,16.00M,0.00,,596.00M,554.00M,16.00M,16.00M,0.00,-18.00M,0.00,536.00M,29.00M,507.00M,,507.00M,507.00M,552.00M,,2017-04,0.86,,0.86,,2017-04,0.79,,0.79,,2017-04,0.14,,2017-04,AOR,Restated
2017-01,2.173B,2.173B,870.00M,1.303B,176.00M,394.00M,,0.00,19.00M,17.00M,-2.00M,,570.00M,733.00M,17.00M,19.00M,-2.00M,-6.00M,-2.00M,725.00M,71.00M,654.00M,,654.00M,654.00M,744.00M,,2017-01,1.18,,1.18,,2017-01,0.99,,0.99,,2017-01,0.14,,2017-01,AOR,Restated
2016-10,2.004B,2.004B,821.00M,1.183B,171.00M,373.00M,,0.00,16.00M,14.00M,-2.00M,,544.00M,639.00M,14.00M,16.00M,-2.00M,-16.00M,-2.00M,621.00M,79.00M,542.00M,,542.00M,542.00M,637.00M,,2016-10,1.01,,1.01,,2016-10,0.83,,0.83,,2016-10,0.115,,2016-10,AOR,Restated
2016-07,1.428B,1.428B,602.00M,826.00M,157.00M,350.00M,,-2.00M,12.00M,12.00M,0.00,,507.00M,319.00M,12.00M,12.00M,0.00,-2.00M,0.00,317.00M,56.00M,261.00M,,261.00M,262.65M,329.00M,,2016-07,0.49,,0.49,,2016-07,0.41,,0.41,,2016-07,0.115,,2016-07,AOR,Restated
2016-04,1.305B,1.305B,554.00M,751.00M,159.00M,346.00M,,-1.00M,12.00M,12.00M,0.00,,505.00M,246.00M,12.00M,12.00M,0.00,-5.00M,0.00,241.00M,33.00M,208.00M,,208.00M,208.86M,253.00M,,2016-04,0.39,,0.39,,2016-04,0.35,,0.35,,2016-04,0.115,,2016-04,AOR,Restated
2016-01,1.401B,1.401B,610.00M,791.00M,161.00M,344.00M,,-34.00M,12.00M,11.00M,-1.00M,,505.00M,286.00M,11.00M,12.00M,-1.00M,-31.00M,-1.00M,254.00M,46.00M,208.00M,,208.00M,235.84M,266.00M,,2016-01,0.38,,0.38,,2016-01,0.35,,0.35,,2016-01,0.115,,2016-01,AOR,Restated
2015-10,1.305B,1.305B,571.00M,734.00M,152.00M,329.00M,,-8.00M,12.00M,9.00M,-3.00M,,481.00M,253.00M,9.00M,12.00M,-3.00M,-5.00M,-3.00M,245.00M,-1.00M,246.00M,,246.00M,250.80M,257.00M,,2015-10,0.45,,0.45,,2015-10,0.44,,0.44,,2015-10,0.0975,,2015-10,AOR,Restated
2015-07,1.153B,1.153B,519.00M,634.00M,149.00M,320.00M,,-89.00M,12.00M,9.00M,-3.00M,,469.00M,165.00M,9.00M,12.00M,-3.00M,-90.00M,-3.00M,72.00M,46.00M,26.00M,,26.00M,79.40M,84.00M,,2015-07,0.05,,0.05,,2015-07,0.05,,0.05,,2015-07,0.097,,2015-07,AOR,Restated
2015-04,1.151B,1.151B,498.00M,653.00M,138.00M,339.00M,,0.00,12.00M,9.00M,-3.00M,,477.00M,176.00M,9.00M,12.00M,-3.00M,-1.00M,-3.00M,172.00M,38.00M,134.00M,,134.00M,134.00M,184.00M,,2015-04,0.24,,0.24,,2015-04,0.24,,0.24,,2015-04,0.085,,2015-04,AOR,Restated
2015-01,1.251B,1.251B,552.00M,699.00M,119.00M,349.00M,,0.00,11.00M,8.00M,-3.00M,,468.00M,231.00M,8.00M,11.00M,-3.00M,0.00,-3.00M,228.00M,34.00M,194.00M,,194.00M,194.00M,239.00M,,2015-01,0.35,,0.35,,2015-01,0.35,,0.35,,2015-01,0.085,,2015-01,AOR,Restated
2014-10,1.225B,1.225B,549.00M,676.00M,123.00M,340.00M,,0.00,11.00M,7.00M,-4.00M,,463.00M,213.00M,7.00M,11.00M,-4.00M,,-4.00M,209.00M,36.00M,173.00M,,173.00M,173.00M,220.00M,,2014-10,0.32,,0.32,,2014-10,0.31,,0.31,,2014-10,0.085,,2014-10,AOR,Restated
2014-07,1.103B,1.103B,484.00M,619.00M,119.00M,337.00M,,0.00,12.00M,7.00M,-5.00M,,456.00M,163.00M,7.00M,12.00M,-5.00M,-3.00M,-5.00M,155.00M,27.00M,128.00M,,128.00M,128.00M,167.00M,,2014-07,0.23,,0.23,,2014-07,0.22,,0.22,,2014-07,0.085,,2014-07,AOR,Restated
2014-04,1.103B,1.103B,499.00M,604.00M,119.00M,334.00M,,,11.00M,6.00M,-5.00M,,453.00M,151.00M,6.00M,11.00M,-5.00M,17.00M,-5.00M,163.00M,26.00M,137.00M,,137.00M,137.00M,174.00M,,2014-04,0.24,,0.24,,2014-04,0.24,,0.24,,2014-04,0.085,,2014-04,AOR,Restated
2014-01,1.144B,1.144B,524.58M,619.48M,115.98M,336.81M,,,7.492M,4.037M,-3.455M,,452.78M,166.70M,4.037M,7.492M,-3.455M,5.392M,-3.455M,168.63M,21.71M,146.93M,,146.93M,146.93M,176.13M,,2014-01,0.26,,0.26,,2014-01,0.25,,0.25,,2014-01,0.085,,2014-01,AOR,Restated
2013-10,1.054B,1.054B,469.55M,584.42M,103.13M,340.29M,,,0.819M,4.022M,3.203M,,443.43M,140.99M,4.022M,0.819M,3.203M,-2.707M,3.203M,141.48M,22.75M,118.73M,,118.73M,118.73M,142.30M,,2013-10,0.20,,0.20,,2013-10,0.20,,0.20,,2013-10,0.075,,2013-10,AOR,Restated
2013-07,977.24M,977.24M,431.70M,545.54M,108.27M,331.74M,,,0.836M,3.865M,3.029M,,440.00M,105.53M,3.865M,0.836M,3.029M,3.257M,3.029M,111.82M,15.37M,96.45M,,96.45M,96.45M,112.66M,,2013-07,0.16,,0.16,,2013-07,0.16,,0.16,,2013-07,0.075,,2013-07,AOR,Restated
2013-04,954.74M,954.74M,436.17M,518.57M,108.63M,327.16M,,,0.853M,5.076M,4.223M,,435.79M,82.78M,5.076M,0.853M,4.223M,1.058M,4.223M,88.06M,10.17M,77.89M,,77.89M,77.89M,88.92M,,2013-04,0.13,,0.13,,2013-04,0.13,,0.13,,2013-04,0.075,,2013-04,AOR,Restated
2013-01,1.107B,1.107B,521.30M,585.60M,104.02M,298.01M,,,,4.693M,1.399M,,402.03M,183.57M,4.693M,,1.399M,1.136M,1.399M,186.11M,12.14M,173.97M,,173.97M,173.97M,200.67M,,2013-01,0.28,,0.28,,2013-01,0.28,,0.28,,2013-01,0.075,,2013-01,AOR,Restated
2012-10,1.204B,1.204B,567.45M,636.66M,100.26M,284.18M,,,,4.701M,4.701M,,384.44M,252.22M,4.701M,,4.701M,-3.29M,4.701M,253.63M,44.55M,209.08M,,209.08M,209.08M,252.22M,,2012-10,0.34,,0.34,,2012-10,0.33,,0.33,,2012-10,,,2012-10,AOR,Restated
2012-07,1.044B,1.044B,503.55M,540.72M,119.90M,281.19M,,,,5.316M,5.316M,,401.10M,139.62M,5.316M,,5.316M,0.269M,5.316M,145.21M,26.16M,119.05M,,119.05M,119.05M,139.62M,,2012-07,0.19,,0.19,,2012-07,0.19,,0.19,,2012-07,,,2012-07,AOR,Restated
2012-04,924.88M,924.88M,461.51M,463.36M,106.64M,283.90M,,,,5.198M,5.198M,,390.54M,72.83M,5.198M,,5.198M,-0.929M,5.198M,77.10M,16.66M,60.44M,,60.44M,60.44M,72.83M,,2012-04,0.10,,0.10,,2012-04,0.10,,0.10,,2012-04,,,2012-04,AOR,Restated
2012-01,953.19M,953.19M,463.18M,490.01M,100.83M,266.86M,,,,4.213M,1.124M,,367.70M,122.32M,4.213M,,1.124M,1.136M,1.124M,124.58M,8.552M,116.02M,,116.02M,116.02M,140.50M,,2012-01,0.19,,0.19,,2012-01,0.19,,0.19,,2012-01,,,2012-01,AOR,Restated
2011-10,1.066B,1.066B,509.46M,556.72M,103.13M,256.50M,,,,4.356M,4.356M,,359.63M,197.09M,4.356M,,4.356M,3.341M,4.356M,204.79M,26.51M,178.27M,,178.27M,178.27M,197.09M,,2011-10,0.29,,0.29,,2011-10,0.29,,0.29,,2011-10,,,2011-10,AOR,Restated
2011-07,1.017B,1.017B,491.23M,525.28M,103.53M,247.72M,,,,5.266M,5.266M,,351.25M,174.03M,5.266M,,5.266M,-1.749M,5.266M,177.55M,25.97M,151.57M,,151.57M,151.57M,174.03M,,2011-07,0.25,,0.25,,2011-07,0.25,,0.25,,2011-07,,,2011-07,AOR,Restated
2011-04,962.04M,962.04M,477.54M,484.50M,98.12M,231.52M,,,,5.313M,5.313M,,329.64M,154.86M,5.313M,,5.313M,-3.69M,5.313M,156.48M,21.27M,135.22M,,135.22M,135.22M,154.86M,,2011-04,0.23,,0.23,,2011-04,0.22,,0.22,,2011-04,,,2011-04,AOR,Restated
2011-01,886.38M,886.38M,460.02M,426.36M,88.02M,215.56M,,62.30M,,4.461M,1.334M,,303.58M,122.78M,4.461M,,1.334M,61.79M,1.334M,185.91M,14.26M,171.65M,,171.65M,114.13M,198.33M,,2011-01,0.30,,0.30,,2011-01,0.29,,0.29,,2011-01,,,2011-01,AOR,Restated
2010-10,843.91M,843.91M,451.85M,392.06M,83.75M,204.53M,,-4.418M,,4.22M,4.22M,,288.28M,103.78M,4.22M,,4.22M,-4.418M,4.22M,103.58M,18.72M,84.86M,,84.86M,88.48M,103.78M,,2010-10,0.15,0.00,0.15,,2010-10,0.15,0.00,0.15,,2010-10,,,2010-10,AOR,
2010-07,811.21M,811.21M,676.92M,134.29M,98.86M,210.64M,,1.355M,,4.805M,4.805M,,309.50M,-175.21M,4.805M,,4.805M,1.355M,4.805M,-169.05M,-28.09M,-140.96M,,-140.96M,-142.09M,-175.21M,,2010-07,-0.25,0.00,-0.25,,2010-07,-0.25,0.00,-0.25,,2010-07,,,2010-07,AOR,Restated
2010-04,1.002B,1.002B,545.44M,456.38M,90.88M,218.10M,,-2.239M,,5.571M,5.571M,,308.98M,147.39M,5.571M,,5.571M,-2.239M,5.571M,150.72M,13.13M,137.59M,,137.59M,139.64M,147.39M,,2010-04,0.24,0.00,0.24,,2010-04,0.23,0.00,0.23,,2010-04,,,2010-04,AOR,Restated
2010-01,982.49M,982.49M,543.77M,438.72M,88.19M,216.25M,,5.835M,,5.768M,2.448M,,304.44M,134.28M,5.768M,,2.448M,2.691M,2.448M,139.42M,8.345M,131.08M,,131.08M,125.59M,154.25M,,2010-01,0.24,,0.24,,2010-01,0.24,,0.24,,2010-01,,,2010-01,AOR,Restated
2009-10,903.21M,903.21M,511.42M,391.78M,85.99M,197.95M,,-3.082M,,5.444M,5.444M,,283.94M,107.84M,5.444M,,5.444M,-3.082M,5.444M,110.21M,2.63M,107.58M,,107.58M,110.59M,107.84M,,2009-10,0.20,0.00,0.20,,2009-10,0.19,0.00,0.19,,2009-10,,,2009-10,AOR,Restated
2009-07,776.52M,776.52M,619.80M,156.72M,73.98M,192.86M,,-2.773M,,5.779M,5.779M,,266.83M,-110.11M,5.779M,,5.779M,-2.773M,5.779M,-107.10M,-1.799M,-105.30M,,-105.30M,-102.58M,-110.11M,,2009-07,-0.19,0.00,-0.19,,2009-07,-0.19,0.00,-0.19,,2009-07,,,2009-07,AOR,Restated
2009-04,664.23M,664.23M,474.54M,189.70M,118.86M,301.80M,,0.02M,,6.124M,6.124M,,420.66M,-230.96M,6.124M,,6.124M,0.02M,6.124M,-224.82M,-23.48M,-201.34M,,-201.34M,-201.36M,-230.96M,,2009-04,-0.37,0.00,-0.37,,2009-04,-0.37,0.00,-0.37,,2009-04,,,2009-04,AOR,Restated
2009-01,481.14M,481.14M,339.47M,141.67M,86.44M,211.78M,,-20.42M,,,,,298.22M,-156.55M,,,,-20.42M,,-170.38M,-22.71M,-147.66M,,-147.66M,-129.96M,-155.27M,,2009-01,-0.26,0.00,-0.26,,2009-01,-0.26,0.00,-0.26,,2009-01,,,2009-01,,Restated
2008-10,897.66M,897.66M,529.81M,367.84M,90.35M,212.36M,,-13.58M,,,,,302.71M,65.13M,,,,-13.58M,,61.00M,-0.745M,61.75M,,61.75M,70.57M,65.13M,,2008-10,0.11,0.00,0.11,,2008-10,0.11,0.00,0.11,,2008-10,,,2008-10,,
2008-07,892.68M,892.68M,742.76M,149.92M,92.40M,212.91M,,-3.289M,,,,,305.31M,-155.39M,,,,-3.289M,,-146.60M,-25.67M,-120.93M,,-120.93M,-118.22M,-155.39M,,2008-07,-0.22,0.00,-0.22,,2008-07,-0.22,0.00,-0.22,,2008-07,,,2008-07,,
2008-04,1.153B,1.153B,638.54M,514.84M,93.03M,218.83M,,-4.284M,,,,,311.86M,202.98M,,,,-4.284M,,213.02M,36.21M,176.80M,,176.80M,180.36M,202.98M,,2008-04,0.32,0.00,0.32,,2008-04,0.30,0.00,0.30,,2008-04,,,2008-04,,
2008-01,1.203B,1.203B,653.13M,549.60M,91.26M,195.84M,,-0.582M,,,,,287.10M,262.50M,,,,-0.582M,,279.90M,22.91M,256.99M,,256.99M,257.53M,262.50M,,2008-01,0.46,0.00,0.46,,2008-01,0.42,0.00,0.42,,2008-01,,,2008-01,,
2007-10,1.116B,1.116B,600.04M,515.55M,88.18M,179.53M,,1.542M,,,,,267.71M,247.84M,,,,1.542M,,266.80M,31.14M,235.66M,,235.66M,234.30M,247.84M,,2007-10,0.42,0.00,0.42,,2007-10,0.38,0.00,0.38,,2007-10,,,2007-10,,
2007-07,935.25M,935.25M,511.26M,423.99M,81.28M,157.95M,,0.466M,,,,,239.23M,184.76M,,,,0.466M,,200.85M,28.12M,172.73M,,172.73M,172.33M,184.76M,,2007-07,0.3133,0.00,0.3133,,2007-07,0.2867,0.00,0.2867,,2007-07,,,2007-07,,
2007-04,844.28M,844.28M,464.14M,380.14M,80.57M,158.32M,,-0.665M,,,,,238.89M,141.25M,,,,-0.665M,,153.79M,21.53M,132.26M,,132.26M,132.83M,141.25M,,2007-04,0.24,0.00,0.24,,2007-04,0.22,0.00,0.22,,2007-04,,,2007-04,,
2007-01,878.87M,878.87M,493.17M,385.71M,84.92M,162.28M,,-0.505M,,,,,247.19M,138.51M,,,,-0.505M,,151.56M,-11.95M,163.51M,0.00,163.51M,163.83M,138.51M,,2007-01,0.2935,0.00,0.2935,,2007-01,0.2668,0.00,0.2668,,2007-01,,,2007-01,,
2006-10,820.57M,820.57M,486.63M,333.94M,75.60M,140.73M,,0.084M,,,,,216.33M,117.61M,,,,0.084M,,128.33M,21.82M,106.51M,,106.51M,106.44M,117.61M,,2006-10,0.2001,0.00,0.2001,,2006-10,0.1801,0.00,0.1801,,2006-10,,,2006-10,,
2006-07,687.52M,687.52M,395.39M,292.13M,69.06M,127.26M,,-0.106M,,,,,196.31M,95.82M,,,,-0.106M,,104.52M,17.77M,86.75M,,86.75M,86.84M,95.82M,,2006-07,0.1667,0.00,0.1667,,2006-07,0.1467,0.00,0.1467,,2006-07,,,2006-07,,
2006-04,681.81M,681.81M,393.05M,288.76M,65.67M,122.40M,,-0.244M,,,,,188.07M,100.68M,,,,-0.244M,,109.25M,18.57M,90.68M,,90.68M,90.88M,100.68M,,2006-04,0.1733,0.00,0.1733,,2006-04,0.1533,0.00,0.1533,,2006-04,,,2006-04,,
2006-01,633.61M,633.61M,378.81M,254.80M,50.77M,93.35M,,-2.11M,,,,0.00,144.11M,110.69M,,,,-2.11M,,115.08M,17.70M,97.37M,,97.37M,99.16M,110.69M,,2006-01,0.1934,0.00,0.1934,,2006-01,0.1734,0.00,0.1734,,2006-01,,,2006-01,,
2005-10,583.42M,583.42M,355.42M,228.00M,55.44M,88.83M,,-13.39M,,,,14.16M,158.42M,69.57M,,,,-13.39M,,75.72M,11.27M,64.45M,,64.45M,75.85M,69.57M,,2005-10,0.1267,0.00,0.1267,,2005-10,0.1201,0.00,0.1201,,2005-10,,,2005-10,,
2005-07,574.81M,574.81M,357.44M,217.38M,52.67M,87.11M,,0.354M,,,,,139.78M,77.59M,,,,0.354M,,82.81M,8.979M,73.83M,,73.83M,73.52M,77.59M,,2005-07,0.1467,0.00,0.1467,,2005-07,0.1333,0.00,0.1333,,2005-07,,,2005-07,,
2005-04,583.85M,583.85M,373.69M,210.15M,48.06M,85.91M,,0.488M,,,,,133.97M,76.18M,,,,0.488M,,80.56M,16.11M,64.44M,,64.44M,64.05M,76.18M,,2005-04,0.1267,0.00,0.1267,,2005-04,0.12,0.00,0.12,,2005-04,,,2005-04,,
2005-01,566.48M,566.48M,374.59M,191.88M,55.98M,97.17M,,-0.379M,,,,,153.14M,38.74M,,,,-0.379M,,41.59M,5.325M,36.27M,,36.27M,36.60M,38.74M,,2005-01,0.0734,0.00,0.0734,,2005-01,0.0667,0.00,0.0667,,2005-01,,,2005-01,,
2004-10,515.59M,515.59M,348.85M,166.74M,50.10M,87.88M,,0.983M,,,,,137.98M,28.76M,,,,0.983M,,32.35M,6.47M,25.88M,,25.88M,25.09M,28.76M,,2004-10,0.0534,0.00,0.0534,,2004-10,0.0500,0.00,0.0500,,2004-10,,,2004-10,,
2004-07,456.06M,456.06M,315.97M,140.09M,50.87M,85.42M,,-0.042M,,,,,136.29M,3.799M,,,,-0.042M,,6.399M,1.28M,5.119M,,5.119M,5.153M,3.799M,,2004-07,0.01,0.00,0.01,,2004-07,0.01,0.00,0.01,,2004-07,,,2004-07,,
2004-04,471.90M,471.90M,323.07M,148.84M,47.21M,77.75M,,0.032M,,,,,124.96M,23.88M,,,,0.032M,,26.69M,5.338M,21.35M,,21.35M,21.32M,23.88M,,2004-04,0.0433,0.00,0.0433,,2004-04,0.04,0.00,0.04,,2004-04,,,2004-04,,
2004-01,472.12M,472.12M,333.91M,138.20M,42.40M,71.99M,,-0.075M,,,,,114.39M,23.82M,,,,-0.075M,,26.25M,2.083M,24.17M,,24.17M,24.24M,23.82M,,2004-01,0.0500,0.00,0.0500,,2004-01,0.0467,0.00,0.0467,,2004-01,,,2004-01,,
2003-10,486.07M,486.07M,351.94M,134.13M,42.22M,73.05M,,-14.14M,,,,,115.27M,18.86M,,,,-14.14M,,5.553M,-0.803M,6.356M,,6.356M,14.84M,18.86M,,2003-10,0.0133,0.00,0.0133,,2003-10,0.0133,0.00,0.0133,,2003-10,,,2003-10,,
2003-07,459.77M,459.77M,329.80M,129.97M,39.72M,65.62M,,,,,,,105.34M,24.63M,,,,,,26.66M,2.511M,24.15M,,24.15M,24.15M,24.63M,,2003-07,0.05,0.00,0.05,,2003-07,0.0467,0.00,0.0467,,2003-07,,,2003-07,,
2003-04,404.98M,404.98M,278.42M,126.57M,40.91M,59.31M,,,,,,,100.22M,26.35M,,,,,,28.21M,8.463M,19.75M,,19.75M,19.75M,26.35M,,2003-04,0.04,0.00,0.04,,2003-04,0.04,0.00,0.04,,2003-04,,,2003-04,,
2003-01,468.95M,468.95M,307.61M,161.35M,95.07M,57.37M,,,,,,,90.61M,70.74M,,,,,,72.77M,21.83M,50.94M,,50.94M,50.94M,70.74M,,2003-01,0.1101,0.00,0.1101,,2003-01,0.1000,0.00,0.1000,,2003-01,,,2003-01,,
2002-10,430.30M,430.30M,322.11M,108.20M,38.69M,57.78M,,-61.83M,,,,61.83M,158.30M,-50.11M,,,,-61.83M,,-48.64M,,-48.64M,,-48.64M,13.20M,-50.11M,,2002-10,-0.1067,0.00,-0.1067,,2002-10,-0.1067,0.00,-0.1067,,2002-10,,,2002-10,,
2002-07,427.28M,427.28M,327.98M,99.30M,35.91M,57.23M,,,,,,,93.14M,6.165M,,,,,,7.505M,2.251M,5.254M,,5.254M,5.254M,6.165M,,2002-07,0.01,0.00,0.01,,2002-07,0.01,0.00,0.01,,2002-07,,,2002-07,,
2002-04,582.90M,582.90M,375.74M,207.16M,37.48M,52.49M,,,,,,,89.97M,117.19M,,,,,,118.92M,35.68M,83.24M,,83.24M,83.24M,117.19M,,2002-04,0.1833,0.00,0.1833,,2002-04,0.1567,0.00,0.1567,,2002-04,,,2002-04,,
2002-01,503.69M,503.69M,314.38M,189.31M,32.89M,43.12M,5.836M,-0.691M,,,,0.00,81.85M,107.46M,,,,-0.691M,,108.62M,32.59M,76.03M,,76.03M,76.52M,107.46M,,2002-01,0.1768,0.00,0.1768,,2002-01,0.1434,0.00,0.1434,,2002-01,,,2002-01,,
2001-10,364.98M,364.98M,231.51M,133.47M,24.90M,44.31M,3.237M,-3.687M,,,,3.687M,76.13M,57.34M,,,,-3.687M,,59.02M,17.71M,41.32M,,41.32M,43.90M,57.34M,,2001-10,0.0967,0.00,0.0967,,2001-10,0.0800,0.00,0.0800,,2001-10,,,2001-10,,
2001-07,259.88M,259.88M,157.64M,102.24M,20.28M,33.89M,3.236M,-0.457M,,,,,57.41M,44.83M,,,,-0.457M,,47.04M,14.11M,32.93M,,32.93M,33.25M,44.83M,,2001-07,0.0784,0.00,0.0784,,2001-07,0.0650,0.00,0.0650,,2001-07,,,2001-07,,
2001-04,240.93M,240.93M,146.71M,94.22M,19.12M,32.59M,0.375M,-9.573M,,,,,52.09M,42.13M,,,,-9.573M,,38.07M,11.42M,26.65M,,26.65M,33.35M,42.13M,,2001-04,0.0634,0.00,0.0634,,2001-04,0.0534,0.00,0.0534,,2001-04,,,2001-04,,
