,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-04,765.00M,6.535B,7.30B,1.22B,1.22B,214.00M,254.00M,329.00M,797.00M,131.00M,,,,9.448B,,,,,,,,,,1.066B,618.00M,55.00M,673.00M,,,273.00M,,2018-04,623.00M,38.00M,,661.00M,331.00M,992.00M,,,14.00M,14.00M,,14.00M,56.00M,56.00M,44.00M,1.106B,,1.986B,,1.986B,49.00M,18.00M,,15.00M,2.637B,2018-04,1.00M,9.948B,5.546B,7.755B,-23.00M,7.717B,,2018-04,AOR,Restated
2018-01,4.002B,3.106B,7.108B,1.265B,1.265B,227.00M,192.00M,377.00M,796.00M,86.00M,,,,9.255B,0.00,218.00M,348.00M,914.00M,28.00M,31.00M,198.00M,1.737B,-740.00M,997.00M,618.00M,52.00M,670.00M,,,319.00M,,2018-01,596.00M,33.00M,,629.00M,420.00M,1.049B,,,15.00M,15.00M,,15.00M,53.00M,53.00M,36.00M,1.153B,,1.985B,,1.985B,42.00M,12.00M,,19.00M,2.617B,2018-01,1.00M,8.787B,5.351B,6.65B,-18.00M,7.471B,,2018-01,AOR,Restated
2017-10,2.802B,3.518B,6.32B,1.167B,1.167B,219.00M,235.00M,403.00M,857.00M,135.00M,,,,8.479B,,,,,,,,,,600.00M,618.00M,63.00M,681.00M,,,70.00M,,2017-10,511.00M,11.00M,9.00M,531.00M,215.00M,746.00M,,,24.00M,24.00M,,24.00M,65.00M,65.00M,193.00M,1.028B,,1.985B,1.00M,1.986B,313.00M,11.00M,,5.00M,2.45B,2017-10,1.00M,7.76B,5.219B,6.614B,-14.00M,6.352B,,2017-10,AOR,Restated
2017-07,1.988B,3.889B,5.877B,1.213B,1.213B,294.00M,209.00M,352.00M,855.00M,125.00M,,,,8.07B,,,,,,,,,,578.00M,618.00M,76.00M,694.00M,,,60.00M,,2017-07,431.00M,12.00M,9.00M,452.00M,190.00M,642.00M,,,86.00M,86.00M,,86.00M,74.00M,74.00M,232.00M,1.034B,,1.984B,3.00M,1.987B,266.00M,11.00M,,7.00M,2.395B,2017-07,1.00M,7.006B,5.048B,6.07B,-12.00M,5.973B,,2017-07,AOR,Restated
2017-04,1.989B,4.217B,6.206B,976.00M,976.00M,375.00M,137.00M,309.00M,821.00M,113.00M,,,,8.116B,,,,,,,,,,539.00M,618.00M,90.00M,708.00M,,,47.00M,,2017-04,348.00M,10.00M,10.00M,368.00M,119.00M,487.00M,,,222.00M,222.00M,,222.00M,46.00M,46.00M,235.00M,990.00M,,1.984B,4.00M,1.988B,164.00M,,,24.00M,2.288B,2017-04,1.00M,6.506B,4.936B,5.297B,-14.00M,6.132B,,2017-04,AOR,Restated
2017-01,1.766B,5.032B,6.798B,826.00M,826.00M,252.00M,176.00M,366.00M,794.00M,118.00M,,,,8.536B,0.00,218.00M,13.00M,727.00M,28.00M,29.00M,176.00M,1.191B,-670.00M,521.00M,618.00M,104.00M,722.00M,,,62.00M,,2017-01,485.00M,4.00M,8.00M,497.00M,199.00M,696.00M,,,827.00M,827.00M,,827.00M,85.00M,85.00M,211.00M,1.819B,,1.983B,,1.983B,151.00M,10.00M,,10.00M,2.26B,2017-01,1.00M,6.108B,4.708B,5.039B,-16.00M,5.762B,,2017-01,AOR,Restated
2016-10,1.94B,4.731B,6.671B,833.00M,833.00M,203.00M,203.00M,273.00M,679.00M,124.00M,,,,8.307B,,,,,,,,,,503.00M,618.00M,120.00M,738.00M,,,64.00M,,2016-10,523.00M,9.00M,8.00M,540.00M,129.00M,669.00M,,,1.056B,1.056B,,1.056B,170.00M,170.00M,191.00M,2.086B,,1.982B,7.00M,1.989B,90.00M,,9.00M,16.00M,2.202B,2016-10,1.00M,5.529B,4.581B,4.783B,-4.00M,5.324B,,2016-10,AOR,Restated
2016-07,426.00M,4.453B,4.879B,644.00M,644.00M,133.00M,143.00M,245.00M,521.00M,112.00M,,,,6.156B,,,,,,,,,,485.00M,618.00M,138.00M,756.00M,,,64.00M,,2016-07,423.00M,6.00M,4.00M,433.00M,130.00M,563.00M,,,1.50B,1.50B,,1.50B,251.00M,251.00M,165.00M,2.479B,,,8.00M,8.00M,373.00M,,12.00M,15.00M,502.00M,2016-07,1.00M,4.675B,4.408B,4.608B,4.00M,4.48B,,2016-07,AOR,Restated
2016-04,547.00M,4.207B,4.754B,523.00M,523.00M,124.00M,105.00M,165.00M,394.00M,119.00M,,,,5.79B,,,,,,,,,,479.00M,618.00M,155.00M,773.00M,,,66.00M,,2016-04,320.00M,9.00M,4.00M,333.00M,115.00M,448.00M,,,1.50B,1.50B,,1.50B,350.00M,350.00M,158.00M,2.456B,,,9.00M,9.00M,334.00M,,8.00M,12.00M,456.00M,2016-04,1.00M,4.484B,4.218B,4.508B,1.00M,4.196B,,2016-04,AOR,Restated
2016-01,596.00M,4.441B,5.037B,505.00M,505.00M,105.00M,103.00M,210.00M,418.00M,93.00M,,,,6.053B,0.00,218.00M,13.00M,655.00M,28.00M,12.00M,174.00M,1.10B,-634.00M,466.00M,618.00M,166.00M,784.00M,,,67.00M,,2016-01,296.00M,2.00M,7.00M,305.00M,140.00M,445.00M,,,1.50B,1.50B,,1.50B,322.00M,322.00M,171.00M,2.438B,,,10.00M,10.00M,345.00M,,,17.00M,463.00M,2016-01,1.00M,4.35B,4.17B,4.048B,-4.00M,4.469B,,2016-01,AOR,Restated
2015-10,471.00M,4.257B,4.728B,536.00M,536.00M,117.00M,91.00M,217.00M,425.00M,93.00M,,52.00M,,5.834B,,,,,,,,,,477.00M,618.00M,172.00M,790.00M,,,73.00M,,2015-10,295.00M,7.00M,,302.00M,156.00M,458.00M,,,,,,,229.00M,229.00M,168.00M,855.00M,7.00M,1.406B,11.00M,1.417B,326.00M,,3.00M,25.00M,1.854B,2015-10,1.00M,4.204B,4.17B,3.912B,2.00M,4.465B,,2015-10,AOR,Restated
2015-07,435.00M,4.07B,4.505B,514.00M,514.00M,139.00M,107.00M,195.00M,441.00M,89.00M,,59.00M,,5.608B,,,,,,,,,,497.00M,618.00M,190.00M,808.00M,,,66.00M,,2015-07,277.00M,3.00M,,280.00M,189.00M,469.00M,,,,,,,321.00M,321.00M,146.00M,936.00M,7.00M,1.399B,12.00M,1.411B,293.00M,,,23.00M,1.858B,2015-07,1.00M,4.01B,3.938B,3.765B,1.00M,4.185B,,2015-07,AOR,Restated
2015-04,464.00M,4.328B,4.792B,455.00M,455.00M,151.00M,73.00M,214.00M,438.00M,89.00M,,58.00M,,5.832B,,,,,,,,,,547.00M,618.00M,205.00M,823.00M,,,89.00M,,2015-04,222.00M,4.00M,,226.00M,132.00M,358.00M,,,,,,,377.00M,377.00M,148.00M,883.00M,7.00M,1.391B,13.00M,1.404B,296.00M,,,24.00M,1.852B,2015-04,1.00M,4.037B,3.986B,3.476B,8.00M,4.556B,,2015-04,AOR,Restated
2015-01,497.00M,4.126B,4.623B,474.00M,474.00M,157.00M,92.00M,234.00M,483.00M,70.00M,,63.00M,,5.713B,0.00,218.00M,19.00M,712.00M,28.00M,28.00M,174.00M,1.179B,-622.00M,557.00M,618.00M,222.00M,840.00M,,,91.00M,,2015-01,293.00M,3.00M,,296.00M,140.00M,436.00M,,,,,,,296.00M,296.00M,164.00M,896.00M,7.00M,1.384B,14.00M,1.398B,340.00M,,0.00,21.00M,1.887B,2015-01,1.00M,3.949B,3.855B,3.395B,8.00M,4.418B,,2015-01,AOR,Restated
2014-10,394.68M,3.846B,4.241B,563.40M,563.40M,128.59M,78.85M,200.64M,408.08M,67.33M,,61.50M,,5.341B,,,,,,,,,,566.60M,643.18M,241.30M,884.48M,,,93.68M,,2014-10,328.10M,5.512M,,333.61M,309.54M,643.15M,,,,,,,258.64M,258.64M,32.13M,933.91M,7.406M,1.377B,14.98M,1.392B,210.39M,,,14.48M,1.747B,2014-10,0.752M,3.802B,3.783B,3.391B,9.761M,4.205B,,2014-10,AOR,Restated
2014-07,515.09M,3.871B,4.386B,469.62M,469.62M,126.19M,85.90M,175.35M,387.43M,67.78M,,66.70M,,5.378B,,,,,,,,,,556.91M,643.18M,260.61M,903.79M,,,95.43M,,2014-07,261.63M,5.81M,,267.44M,297.56M,565.00M,,,,,,,277.03M,277.03M,26.70M,868.73M,7.386M,1.370B,15.84M,1.386B,232.76M,,,14.30M,1.760B,2014-07,0.744M,3.675B,3.683B,3.058B,4.378M,4.305B,,2014-07,AOR,Restated
2014-04,509.16M,3.839B,4.348B,396.44M,396.44M,143.77M,83.77M,165.74M,393.28M,71.07M,,65.20M,,5.274B,,,,,,,,,,570.80M,643.18M,277.53M,920.71M,,,99.35M,,2014-04,309.01M,4.497M,,313.50M,283.43M,596.94M,,,,,,,275.71M,275.71M,25.30M,897.94M,7.365M,1.363B,16.68M,1.380B,281.40M,,,14.12M,1.800B,2014-04,0.743M,3.595B,3.492B,2.927B,6.364M,4.167B,,2014-04,AOR,Restated
2014-01,1.152B,3.520B,4.672B,426.36M,426.36M,126.90M,94.84M,166.02M,387.76M,70.28M,,68.49M,,5.625B,0.00,218.50M,19.27M,796.52M,28.48M,41.18M,178.88M,1.283B,-700.08M,582.74M,643.18M,296.01M,939.19M,,,104.25M,,2014-01,324.39M,2.378M,,326.77M,163.96M,490.73M,,,,,,,268.81M,268.81M,185.96M,945.50M,11.06M,1.356B,17.50M,1.374B,330.15M,,,13.94M,1.849B,2014-01,0.732M,3.505B,3.483B,2.537B,4.877M,4.456B,,2014-01,AOR,Restated
2013-10,562.08M,2.471B,3.033B,447.63M,447.63M,138.20M,77.83M,164.28M,380.32M,33.33M,,107.24M,40.82M,4.050B,,,,,,,,,,595.42M,643.18M,320.59M,963.77M,,,102.35M,,2013-10,333.28M,8.349M,,341.63M,306.21M,647.84M,,,,,,,282.66M,282.66M,55.42M,985.93M,10.96M,,17.02M,17.02M,242.62M,,,17.09M,404.80M,2013-10,0.732M,3.406B,3.408B,2.500B,5.862M,4.321B,,2013-10,AOR,Restated
2013-07,591.32M,2.345B,2.936B,418.12M,418.12M,119.49M,64.94M,193.85M,378.28M,37.65M,,108.44M,36.68M,3.923B,,,,,,,,,,578.95M,641.03M,322.52M,963.55M,,,104.49M,,2013-07,310.27M,6.576M,,316.85M,311.38M,628.22M,,,,,,,267.25M,267.25M,40.32M,935.79M,10.38M,,17.68M,17.68M,301.05M,,,17.69M,461.63M,2013-07,0.726M,3.331B,3.105B,2.270B,5.897M,4.172B,,2013-07,AOR,Restated
2013-04,561.42M,3.152B,3.713B,347.00M,347.00M,136.53M,57.72M,183.34M,377.60M,39.30M,,106.34M,23.04M,4.607B,,,,,,,,,,588.02M,641.03M,336.73M,977.76M,,,107.12M,,2013-04,328.26M,6.405M,,334.66M,287.01M,621.67M,,,,,,,269.57M,269.57M,34.34M,925.58M,10.27M,,18.33M,18.33M,362.56M,,,23.32M,529.01M,2013-04,0.725M,3.278B,3.273B,1.737B,10.29M,4.825B,,2013-04,AOR,Restated
2013-01,732.79M,2.995B,3.728B,454.25M,454.25M,157.99M,67.35M,187.13M,412.47M,76.92M,,103.74M,,4.775B,0.00,218.50M,30.87M,828.69M,27.23M,24.08M,159.41M,1.289B,-712.64M,576.14M,641.03M,312.33M,953.36M,,,107.48M,,2013-01,356.43M,3.173M,,359.60M,307.86M,667.46M,,,,,,,282.70M,282.70M,26.07M,976.22M,10.16M,,19.00M,19.00M,429.10M,,,34.79M,608.32M,2013-01,0.72M,3.246B,3.194B,1.623B,9.981M,4.828B,,2013-01,AOR,Restated
2012-10,525.39M,2.909B,3.435B,444.94M,444.94M,107.24M,71.33M,250.42M,428.98M,33.45M,,49.93M,32.75M,4.425B,,,,,,,,,,566.54M,641.03M,331.25M,972.28M,,,111.50M,,2012-10,390.26M,10.32M,,400.59M,284.70M,685.29M,,,,,,,269.00M,269.00M,37.06M,991.36M,9.655M,,19.63M,19.63M,174.25M,,,45.76M,360.94M,2012-10,0.719M,3.119B,3.115B,1.523B,10.86M,4.723B,,2012-10,AOR,Restated
2012-07,499.62M,2.778B,3.278B,445.31M,445.31M,87.12M,82.34M,217.73M,387.18M,34.07M,,49.93M,19.25M,4.214B,,,,,,,,,,574.06M,641.03M,346.94M,987.97M,,,116.01M,,2012-07,417.25M,10.16M,,427.42M,290.56M,717.98M,,,,,,,273.18M,273.18M,30.80M,1.022B,10.34M,,20.24M,20.24M,211.34M,,,65.76M,416.26M,2012-07,0.713M,2.910B,3.041B,1.509B,11.16M,4.454B,,2012-07,AOR,Restated
2012-04,369.14M,2.762B,3.131B,411.16M,411.16M,108.59M,82.78M,151.34M,342.71M,80.89M,,49.93M,16.62M,4.032B,,,,,,,,,,553.54M,641.03M,363.40M,1.004B,,,118.08M,,2012-04,395.58M,9.068M,,404.65M,242.71M,647.36M,,,,,,,272.37M,272.37M,27.68M,947.40M,10.32M,,20.83M,20.83M,267.34M,,,66.56M,473.34M,2012-04,0.707M,2.791B,2.995B,1.509B,10.45M,4.287B,,2012-04,AOR,Restated
2012-01,667.88M,2.462B,3.130B,336.14M,336.14M,84.93M,62.93M,192.44M,340.30M,29.95M,,49.93M,19.46M,3.905B,0.00,218.50M,30.87M,724.82M,27.26M,11.09M,143.99M,1.157B,-596.46M,560.07M,641.03M,326.14M,967.17M,10.38M,7.459M,10.48M,,2012-01,335.07M,6.941M,,342.01M,281.86M,623.87M,,,,,,,270.65M,270.65M,35.44M,929.96M,10.20M,,21.44M,21.44M,333.66M,,,48.94M,477.25M,2012-01,0.70M,2.730B,2.901B,1.497B,10.61M,4.146B,,2012-01,AOR,Restated
2011-10,566.82M,2.182B,2.748B,371.26M,371.26M,69.45M,58.80M,191.36M,319.60M,34.57M,,26.28M,,3.500B,,,,,,,,,,551.76M,648.05M,342.84M,990.89M,,,46.32M,,2011-10,307.94M,,,307.94M,578.74M,886.68M,,,,,,,,,,886.68M,,,21.95M,21.95M,,,,206.96M,228.91M,2011-10,0.698M,2.614B,2.846B,1.497B,8.997M,3.973B,,2011-10,AOR,Restated
2011-07,532.61M,1.942B,2.474B,419.94M,419.94M,76.58M,75.27M,210.06M,361.91M,34.92M,,26.28M,,3.318B,,,,,,,,,,550.90M,593.51M,358.14M,951.65M,,,44.32M,,2011-07,297.81M,,,297.81M,662.49M,960.30M,,,,,,,,,,960.30M,9.651M,,22.49M,22.49M,61.73M,,,60.71M,214.66M,2011-07,0.691M,2.436B,2.725B,1.487B,14.43M,3.689B,,2011-07,AOR,Restated
2011-04,683.63M,2.043B,2.727B,343.20M,343.20M,125.35M,44.90M,210.72M,380.96M,36.60M,,9.456M,,3.497B,,,,,,,,,,553.37M,369.84M,278.76M,648.60M,,,38.01M,,2011-04,346.30M,,,346.30M,634.87M,981.17M,,,,,,,,,,981.17M,,,22.96M,22.96M,153.13M,,,131.69M,307.77M,2011-04,0.688M,2.285B,2.639B,1.487B,11.12M,3.448B,,2011-04,AOR,Restated
2011-01,665.36M,1.825B,2.491B,348.77M,348.77M,67.88M,72.70M,204.95M,345.52M,20.64M,,9.456M,12.00M,3.227B,0.00,217.37M,29.33M,769.64M,26.62M,4.474M,146.51M,1.194B,-625.08M,568.86M,369.84M,288.74M,658.59M,8.792M,0.851M,2.965M,,2011-01,286.14M,4.576M,,290.71M,381.57M,672.29M,,,,,,,245.60M,245.60M,24.80M,942.68M,9.694M,,23.39M,23.39M,209.13M,,,71.30M,371.10M,2011-01,0.677M,2.149B,2.501B,1.479B,10.27M,3.181B,,2011-01,AOR,Restated
2010-07,377.00M,1.395B,1.772B,395.93M,395.93M,138.83M,41.74M,253.66M,434.23M,44.55M,,8.752M,,2.656B,,,,,,,,,,542.22M,369.84M,118.88M,488.72M,,,44.37M,,2010-07,280.04M,,,280.04M,539.10M,819.14M,,,,,,,,,,819.14M,,,23.73M,23.73M,,,,127.88M,151.62M,2010-07,0.665M,1.893B,2.329B,1.474B,11.23M,2.761B,,2010-07,AOR,Restated
2010-04,447.26M,1.318B,1.765B,529.66M,529.66M,111.08M,64.61M,212.45M,388.14M,35.53M,,8.752M,,2.727B,,,,,,,,,,548.92M,369.84M,115.42M,485.27M,,,41.87M,,2010-04,362.74M,,,362.74M,402.55M,765.29M,,,,,,,,,,765.29M,,,24.10M,24.10M,,,,152.99M,177.09M,2010-04,0.663M,2.034B,2.289B,1.474B,10.87M,2.861B,,2010-04,AOR,Restated
2010-01,447.22M,1.281B,1.728B,374.96M,374.96M,76.94M,67.50M,186.24M,330.67M,38.21M,,8.752M,,2.481B,0.00,217.37M,29.22M,667.53M,,4.091M,170.27M,1.088B,-516.62M,571.86M,369.84M,120.46M,490.30M,6.63M,,20.87M,,2010-01,344.53M,1.784M,,346.31M,388.27M,734.58M,,,,,,,19.62M,19.62M,30.18M,784.38M,,,24.45M,24.45M,17.74M,,,94.21M,136.40M,2010-01,0.653M,1.896B,2.219B,1.463B,12.17M,2.665B,,2010-01,AOR,Restated
2009-10,614.49M,1.020B,1.634B,397.82M,397.82M,59.57M,74.16M,143.91M,277.64M,31.67M,,16.50M,,2.358B,,,,,,,,,,565.30M,369.84M,127.82M,497.66M,,,42.90M,,2009-10,321.53M,,,321.53M,354.03M,675.56M,,,,,,,15.11M,15.11M,198.13M,888.81M,,,24.76M,24.76M,106.41M,,,19.97M,151.13M,2009-10,0.646M,1.765B,2.112B,1.463B,9.645M,2.424B,,2009-10,AOR,Restated
2009-07,523.78M,942.32M,1.466B,351.96M,351.96M,53.60M,65.87M,159.75M,279.22M,50.55M,,20.08M,,2.168B,,,,,,,,,,582.91M,369.84M,135.68M,505.52M,,,42.07M,,2009-07,275.98M,,,275.98M,615.34M,891.32M,,,,,,,,,,891.32M,,,25.06M,25.06M,,,,134.62M,159.68M,2009-07,0.638M,1.658B,2.044B,1.463B,8.67M,2.247B,,2009-07,AOR,Restated
2009-04,512.27M,825.87M,1.338B,304.39M,304.39M,25.57M,94.77M,206.92M,327.26M,50.88M,,0.00,,2.021B,,,,,,,,,,601.05M,369.84M,142.45M,512.29M,,,44.68M,,2009-04,226.11M,,,226.11M,476.06M,702.17M,,,,,,,,,,702.17M,,,25.35M,25.35M,,,,132.30M,157.66M,2009-04,0.636M,1.763B,2.014B,1.463B,4.931M,2.319B,,2009-04,AOR,Restated
2009-01,417.69M,837.70M,1.255B,318.44M,318.44M,122.02M,38.75M,377.06M,537.83M,39.79M,,16.50M,,2.168B,0.00,217.87M,29.22M,593.68M,,5.36M,162.63M,1.009B,-382.96M,625.80M,369.84M,147.10M,516.94M,6.412M,,13.61M,,2009-01,218.86M,,,218.86M,503.48M,722.34M,,,,,,,15.42M,15.42M,40.83M,778.59M,,,25.63M,25.63M,75.25M,,,76.60M,177.48M,2009-01,0.629M,1.964B,1.889B,1.463B,3.865M,2.395B,,2009-01,,Restated
2008-10,461.25M,843.64M,1.305B,607.83M,607.83M,30.56M,161.53M,331.90M,523.99M,43.39M,,,,2.480B,0.00,213.93M,150.95M,394.78M,191.03M,14.00M,,964.68M,-355.01M,609.67M,366.29M,155.65M,521.93M,,,37.19M,,2008-10,387.25M,,,387.25M,613.18M,1.000B,,,,,,,4.031M,4.031M,,1.004B,,,,,85.01M,,,72.35M,157.36M,2008-10,0.629M,2.112B,1.842B,1.463B,-3.97M,2.487B,,2008-10,,
