,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,4.868B,4.868B,3.259B,1.609B,131.00M,,10.00M,151.00M,-151.00M,30.00M,161.00M,1.448B,151.00M,-151.00M,39.00M,-151.00M,1.336B,506.00M,828.00M,-11.00M,,-125.00M,,692.00M,696.80M,1.938B,451.00M,1.487B,0.48,-0.01,,0.4757,0.47,0.48,-0.01,,0.4757,0.47,1.449B,1.458B,0.0
2017-12,5.041B,5.041B,3.261B,1.78B,115.00M,,28.00M,168.00M,-168.00M,201.00M,316.00M,1.464B,168.00M,-168.00M,29.00M,-168.00M,1.325B,136.00M,1.193B,16.00M,,-168.00M,,1.041B,999.87M,1.95B,457.00M,1.493B,0.7,0.01,,0.6826,0.71,0.7,0.01,,0.6828,0.71,1.447B,1.457B,0.0
2017-09,4.31B,4.31B,3.212B,1.098B,104.00M,,44.00M,304.00M,-304.00M,99.00M,203.00M,895.00M,304.00M,-304.00M,35.00M,-304.00M,626.00M,387.00M,242.00M,3.00M,,35.00M,,280.00M,250.60M,1.348B,418.00M,930.00M,0.19,0.0,,0.1718,0.19,0.19,0.0,,0.1718,0.19,1.448B,1.454B,0.0
2017-06,3.711B,3.711B,2.93B,781.00M,107.00M,,6.00M,162.00M,-162.00M,-2.00M,105.00M,676.00M,162.00M,-162.00M,-1.00M,-162.00M,513.00M,186.00M,326.00M,9.00M,,-67.00M,,268.00M,255.18M,1.125B,450.00M,675.00M,0.18,0.0,,0.1774,0.18,0.18,0.0,,0.1774,0.18,1.447B,1.453B,0.0
2017-03,3.341B,3.341B,2.577B,764.00M,151.00M,,23.00M,167.00M,-167.00M,39.00M,190.00M,574.00M,167.00M,-167.00M,31.00M,-167.00M,438.00M,174.00M,268.00M,38.00M,,-78.00M,,228.00M,176.20M,994.00M,389.00M,605.00M,0.13,0.03,,0.1205,0.16,0.13,0.03,,0.1205,0.16,1.446B,1.454B,0.0
2016-12,4.377B,4.377B,3.296B,1.081B,189.00M,,-138.00M,181.00M,-181.00M,13.00M,202.00M,879.00M,181.00M,-181.00M,-206.00M,-181.00M,492.00M,292.00M,202.00M,-2.00M,,-100.00M,,100.00M,184.80M,1.266B,593.00M,673.00M,0.22,-0.01,,0.2789,0.21,0.22,-0.01,,0.2789,0.21,1.405B,1.405B,0.0
2016-09,3.877B,3.877B,3.411B,466.00M,110.00M,,28.00M,187.00M,-187.00M,10.00M,120.00M,346.00M,187.00M,-187.00M,18.00M,-187.00M,177.00M,-114.00M,292.00M,-6.00M,,-59.00M,10.00M,227.00M,216.20M,1.007B,643.00M,364.00M,0.1634,-0.0045,,0.151,0.159,0.1634,-0.02,,0.151,0.159,1.346B,1.351B,0.0
2016-06,3.334B,3.334B,3.879B,-545.00M,160.00M,,788.00M,196.00M,-196.00M,26.00M,186.00M,-731.00M,196.00M,-196.00M,813.00M,-196.00M,-114.00M,116.00M,-229.00M,-181.00M,,-59.00M,10.00M,-469.00M,-760.80M,734.00M,652.00M,82.00M,-0.2372,-0.1426,,-0.6098,-0.3798,-0.2372,-0.15,,-0.6098,-0.38,1.269B,1.269B,0.0
2016-03,3.242B,3.242B,6.948B,-3.706B,138.00M,,0.00,191.00M,-191.00M,28.00M,166.00M,-3.872B,191.00M,-191.00M,36.00M,-191.00M,-4.027B,77.00M,-4.097B,-4.00M,,-72.00M,11.00M,-4.173B,-4.169B,-3.114B,722.00M,-3.836B,-3.344,-0.0032,,-3.344,-3.347,-3.344,-0.01,,-3.344,-3.35,1.251B,1.251B,0.0
2015-12,3.516B,3.516B,7.435B,-3.919B,137.00M,,0.00,179.00M,-179.00M,41.00M,178.00M,-4.097B,179.00M,-179.00M,-1.00M,-179.00M,-4.277B,-189.00M,-4.09B,-4.00M,,23.00M,,-4.071B,-4.067B,-3.318B,780.00M,-4.098B,-3.47,-0.0805,,-3.47,-3.47,-3.47,-0.0805,,-3.47,-3.47,1.178B,1.178B,0.05
2015-09,3.382B,3.382B,7.161B,-3.779B,122.00M,,0.00,157.00M,-157.00M,63.00M,185.00M,-3.964B,157.00M,-157.00M,-41.00M,-157.00M,-4.162B,-349.00M,-3.815B,25.00M,,-29.00M,11.00M,-3.819B,-3.844B,-3.117B,888.00M,-4.005B,-3.602,0.0233,,-3.602,-3.5789999999999997,-3.602,0.01,,-3.602,-3.58,1.071B,1.071B,0.05
2015-06,3.938B,3.938B,6.17B,-2.232B,148.00M,,0.00,142.00M,-142.00M,41.00M,189.00M,-2.421B,142.00M,-142.00M,36.00M,-142.00M,-2.527B,-699.00M,-1.828B,29.00M,,-42.00M,10.00M,-1.841B,-1.87B,-1.495B,890.00M,-2.385B,-1.811,0.0279,,-1.811,-1.7830000000000001,-1.811,0.0,,-1.811,-1.7830000000000001,1.04B,1.04B,0.05
2015-03,4.153B,4.153B,6.955B,-2.802B,154.00M,,39.00M,146.00M,-146.00M,46.00M,200.00M,-3.002B,146.00M,-146.00M,46.00M,-146.00M,-3.102B,-695.00M,-2.406B,,,-58.00M,10.00M,-2.464B,-2.494B,-2.017B,939.00M,-2.956B,-2.38,,,-2.4090000000000003,-2.38,-2.38,,,-2.4090000000000003,-2.38,1.04B,1.04B,0.3125
2014-12,3.798B,3.798B,6.291B,-2.493B,123.00M,,-1.036B,123.00M,-123.00M,32.00M,155.00M,-2.648B,123.00M,-123.00M,-1.053B,-123.00M,-3.824B,-809.00M,-3.012B,,,-107.00M,,-2.842B,-2.302B,-2.762B,939.00M,-3.701B,-2.75,,,-1.964,-2.75,-2.75,,,-1.964,-2.75,1.039B,1.039B,0.3125
2014-09,5.696B,5.696B,4.405B,1.291B,158.00M,,104.00M,158.00M,-158.00M,47.00M,205.00M,1.086B,158.00M,-158.00M,127.00M,-158.00M,1.055B,349.00M,704.00M,,,-142.00M,10.00M,562.00M,492.40M,2.158B,945.00M,1.213B,0.53,,,0.463,0.53,0.53,,,0.4635,0.53,1.039B,1.046B,0.3125
2014-06,5.522B,5.522B,4.095B,1.427B,164.00M,,5.00M,164.00M,-164.00M,110.00M,274.00M,1.153B,164.00M,-164.00M,-3.00M,-164.00M,986.00M,328.00M,660.00M,,,-168.00M,10.00M,492.00M,488.66M,2.163B,1.013B,1.15B,0.46,,,0.4568,0.46,0.46,,,0.4568,0.46,1.039B,1.045B,0.3125
2014-03,4.985B,4.985B,3.703B,1.282B,135.00M,,0.00,161.00M,-161.00M,36.00M,171.00M,1.111B,161.00M,-161.00M,33.00M,-161.00M,983.00M,357.00M,626.00M,,,-106.00M,10.00M,520.00M,520.00M,2.11B,966.00M,1.144B,0.49,,,0.49,0.49,0.49,,,0.49,0.49,1.038B,1.044B,0.3125
2013-12,5.885B,5.885B,3.955B,1.93B,200.00M,,10.00M,167.00M,-167.00M,80.00M,280.00M,1.65B,167.00M,-167.00M,-16.00M,-167.00M,1.467B,508.00M,959.00M,,,-242.00M,10.00M,717.00M,710.46M,2.653B,1.019B,1.634B,0.68,,,0.6737,0.68,0.68,,,0.6737,0.68,1.041B,1.045B,0.3125
2013-09,6.165B,6.165B,4.251B,1.914B,158.00M,,0.00,162.00M,-162.00M,49.00M,207.00M,1.707B,162.00M,-162.00M,3.00M,-162.00M,1.548B,499.00M,1.048B,,,-218.00M,9.00M,830.00M,830.00M,2.629B,919.00M,1.71B,0.79,,,0.79,0.79,0.79,,,0.79,0.79,1.038B,1.043B,0.3125
2013-06,4.288B,4.288B,3.383B,905.00M,186.00M,,0.00,132.00M,-132.00M,80.00M,266.00M,639.00M,132.00M,-132.00M,141.00M,-132.00M,648.00M,40.00M,610.00M,,,-125.00M,3.00M,485.00M,485.00M,1.31B,530.00M,780.00M,0.49,,,0.49,0.49,0.49,,,0.49,0.49,980.00M,984.00M,0.3125
2013-03,4.583B,4.583B,3.048B,1.535B,113.00M,,-45.00M,57.00M,-57.00M,67.00M,180.00M,1.355B,57.00M,-57.00M,-48.00M,-57.00M,1.25B,428.00M,824.00M,,,-176.00M,,648.00M,677.70M,1.636B,329.00M,1.307B,0.68,,,0.7113,0.68,0.68,,,0.7112,0.68,950.00M,953.00M,0.3125
2012-12,4.513B,4.513B,3.063B,1.45B,120.00M,,59.00M,38.00M,-38.00M,31.00M,151.00M,1.299B,38.00M,-38.00M,63.00M,-38.00M,1.324B,382.00M,945.00M,,,-202.00M,,743.00M,701.02M,1.685B,323.00M,1.362B,0.78,,,0.7358,0.78,0.78,,,0.7361,0.78,949.00M,957.00M,0.3125
2012-09,4.417B,4.417B,2.89B,1.527B,110.00M,,0.00,42.00M,-42.00M,6.00M,116.00M,1.411B,42.00M,-42.00M,-15.00M,-42.00M,1.354B,215.00M,1.14B,,,-316.00M,,824.00M,824.00M,1.694B,298.00M,1.396B,0.87,,,0.87,0.87,0.86,,,0.86,0.86,949.00M,953.00M,0.3125
2012-06,4.475B,4.475B,2.913B,1.562B,97.00M,,0.00,43.00M,-43.00M,154.00M,251.00M,1.311B,43.00M,-43.00M,51.00M,-43.00M,1.319B,422.00M,894.00M,,,-184.00M,,710.00M,710.00M,1.653B,291.00M,1.362B,0.75,,,0.75,0.75,0.74,,,0.74,0.74,949.00M,953.00M,0.3125
2012-03,4.605B,4.605B,2.695B,1.91B,104.00M,,-168.00M,63.00M,-63.00M,72.00M,176.00M,1.734B,63.00M,-63.00M,-181.00M,-63.00M,1.49B,491.00M,1.001B,,,-237.00M,,764.00M,876.56M,1.82B,267.00M,1.553B,0.81,,,0.9286,0.81,0.8,,,0.9179,0.8,949.00M,955.00M,0.25
2011-12,4.162B,4.162B,2.66B,1.502B,92.00M,,58.00M,62.00M,-62.00M,,303.00M,1.199B,62.00M,-62.00M,116.00M,-62.00M,1.253B,389.00M,866.00M,,,-226.00M,,640.00M,600.01M,1.581B,266.00M,1.315B,0.67,,,0.6278,0.67,0.67,,,0.6281,0.67,947.00M,955.00M,0.25
2011-09,5.195B,5.195B,2.827B,2.368B,102.00M,78.00M,-10.00M,78.00M,-78.00M,,180.00M,2.188B,78.00M,-78.00M,-10.00M,-78.00M,2.10B,808.00M,1.294B,,,-241.00M,,1.053B,1.059B,2.435B,257.00M,2.178B,1.11,0.0,,1.1159999999999999,1.11,1.1,0.0,,1.1059999999999999,1.1,948.00M,955.00M,0.25
2011-06,5.814B,5.814B,2.824B,2.99B,107.00M,66.00M,-119.00M,74.00M,-74.00M,,173.00M,2.817B,74.00M,-74.00M,-119.00M,-74.00M,2.624B,906.00M,1.726B,,,-358.00M,,1.368B,1.446B,2.965B,267.00M,2.698B,1.44,0.0,,1.5219999999999998,1.44,1.43,0.0,,1.511,1.43,947.00M,956.00M,0.25
2011-03,5.709B,5.709B,2.609B,3.10B,114.00M,50.00M,3.00M,98.00M,-98.00M,,164.00M,2.936B,98.00M,-98.00M,3.00M,-98.00M,2.841B,984.00M,1.861B,,,-362.00M,,1.499B,1.497B,3.171B,232.00M,2.939B,1.58,0.0,,1.578,1.58,1.57,0.0,,1.568,1.57,946.00M,955.00M,0.25
2010-12,5.603B,5.603B,2.349B,3.254B,104.00M,,-1.00M,92.00M,-92.00M,,162.00M,3.092B,92.00M,-92.00M,-14.00M,-92.00M,2.986B,1.027B,1.964B,,,-415.00M,0.00,1.549B,1.550B,3.326B,248.00M,3.078B,1.645,0.0,,1.646,1.645,1.625,0.0,,1.626,1.625,942.00M,955.00M,0.15
2010-09,5.152B,5.152B,2.534B,2.618B,81.00M,35.00M,-22.00M,103.00M,-103.00M,,116.00M,2.502B,103.00M,-103.00M,-22.00M,-103.00M,2.377B,845.00M,1.533B,,,-355.00M,,1.178B,1.192B,2.748B,268.00M,2.48B,1.25,0.0,,1.265,1.25,1.24,0.0,,1.255,1.24,941.00M,947.00M,0.15
2010-06,3.864B,3.864B,2.301B,1.563B,101.00M,,-41.00M,122.00M,-122.00M,38.00M,139.00M,1.424B,122.00M,-122.00M,-41.00M,-122.00M,1.261B,433.00M,832.00M,,,-168.00M,15.00M,664.00M,690.92M,1.632B,249.00M,1.383B,0.71,0.0,,0.7394,0.71,0.7,0.0,,0.7284,0.7,915.00M,947.00M,0.075
2010-03,4.363B,4.363B,2.22B,2.143B,95.00M,,-15.00M,145.00M,-145.00M,,95.00M,2.048B,145.00M,-145.00M,-15.00M,-145.00M,1.888B,678.00M,1.215B,,,-270.00M,48.00M,945.00M,954.61M,2.304B,271.00M,2.033B,1.04,0.0,,1.051,1.04,1.0,0.0,,1.01,1.0,861.00M,947.00M,0.075
2009-12,4.61B,4.61B,2.221B,2.389B,96.00M,,-100.00M,135.00M,-135.00M,,96.00M,2.293B,135.00M,-135.00M,-100.00M,-135.00M,2.058B,750.00M,1.312B,,,-293.00M,48.00M,1.019B,1.083B,2.59B,397.00M,2.193B,-0.375,0.0,,-0.3013,-0.375,-0.385,0.0,,-0.3313,-0.385,862.00M,1.184B,0.0
2009-09,4.144B,4.144B,1.986B,2.158B,74.00M,,-38.00M,162.00M,-162.00M,,74.00M,2.084B,162.00M,-162.00M,-38.00M,-162.00M,1.884B,684.00M,1.203B,,,-224.00M,54.00M,979.00M,1.003B,2.262B,216.00M,2.046B,1.115,0.0,,1.1440000000000001,1.115,1.035,0.0,,1.061,1.035,832.00M,944.00M,0.0
2009-06,3.684B,3.684B,2.089B,1.595B,89.00M,,-1.00M,158.00M,-158.00M,,89.00M,1.506B,158.00M,-158.00M,-1.00M,-158.00M,1.347B,542.00M,812.00M,,,-164.00M,60.00M,648.00M,648.60M,1.767B,262.00M,1.505B,0.715,0.0,,0.7157,0.715,0.69,0.0,,0.6906,0.69,824.00M,942.00M,0.0
2009-03,2.602B,2.602B,1.843B,759.00M,62.00M,,-39.00M,131.00M,-131.00M,,62.00M,697.00M,131.00M,-131.00M,-39.00M,-131.00M,527.00M,331.00M,207.00M,,,-104.00M,60.00M,103.00M,128.35M,920.00M,262.00M,658.00M,0.055,0.0,,0.0867,0.055,0.055,0.0,,0.0866,0.055,800.00M,802.00M,0.0
2008-12,2.067B,2.067B,4.664B,-2.597B,-31.00M,83.00M,-16.98B,,,,-1.264B,-1.333B,,,-16.99B,,-18.45B,-4.471B,-13.23B,,,131.00M,83.00M,-13.85B,-986.07M,-17.76B,549.00M,-18.31B,-18.25,0.0,,-1.2790000000000001,-18.25,-18.25,0.0,,-2.6260000000000003,-18.25,758.00M,823.34M,0.25
2008-09,4.616B,4.616B,2.874B,1.742B,90.00M,77.00M,-14.00M,,,,609.00M,1.133B,,,-12.00M,,980.00M,240.00M,587.00M,,,-155.00M,64.00M,587.00M,597.57M,1.575B,386.00M,1.133B,0.685,0.0,,0.6988,0.685,0.655,0.0,,0.6668,0.655,764.00M,894.00M,0.2188
2008-06,5.441B,5.441B,3.262B,2.179B,126.00M,,22.00M,140.00M,-140.00M,,126.00M,2.053B,140.00M,-140.00M,22.00M,-140.00M,1.935B,658.00M,1.284B,,,-274.00M,63.00M,1.01B,995.48M,2.545B,470.00M,2.075B,1.235,0.0,,1.216,1.235,1.125,0.0,,1.109,1.125,768.00M,900.00M,0.2188
2008-03,5.672B,5.672B,3.192B,2.48B,84.00M,,-4.00M,165.00M,-165.00M,,84.00M,2.396B,165.00M,-165.00M,-4.00M,-165.00M,2.227B,729.00M,1.505B,,,-319.00M,64.00M,1.186B,1.189B,2.858B,466.00M,2.392B,1.465,0.0,,1.469,1.465,1.32,0.0,,1.3230000000000002,1.32,766.00M,898.00M,0.2188
2007-12,4.184B,4.184B,3.581B,603.00M,152.00M,,216.00M,,,,-378.00M,981.00M,,,199.00M,,1.053B,525.00M,487.00M,-9.00M,,,64.00M,478.00M,346.60M,1.495B,445.00M,1.05B,0.48,-0.015,,0.2967,0.465,0.475,-0.015,,0.3183,0.46,766.00M,896.00M,0.1562
2007-09,5.066B,5.066B,2.702B,2.364B,131.00M,,23.00M,,,-36.00M,451.00M,1.913B,,,28.00M,,1.786B,653.00M,826.00M,12.00M,,-307.00M,63.00M,838.00M,811.41M,2.282B,369.00M,1.913B,1.0,0.015,,0.9809,1.015,0.925,0.01,,0.9087,0.935,764.00M,894.00M,0.1562
2007-06,5.807B,5.807B,3.269B,2.538B,139.00M,,-13.00M,,,-47.00M,92.00M,2.446B,,,-6.00M,,2.258B,777.00M,1.168B,,,-313.00M,64.00M,1.168B,1.177B,2.825B,379.00M,2.446B,1.45,0.0,,1.4609999999999999,1.45,1.31,0.0,,1.32,1.31,762.00M,892.00M,0.1562
2007-03,2.246B,2.246B,1.019B,1.227B,55.00M,,-152.00M,,,-88.00M,-33.00M,1.26B,,,-147.00M,,1.061B,458.00M,489.00M,4.00M,,-114.00M,17.00M,493.00M,587.80M,1.376B,116.00M,1.26B,1.09,0.01,,1.318,1.1,1.0,0.01,,1.202,1.01,434.00M,488.00M,0.1562
2006-12,1.643B,1.643B,653.00M,990.00M,46.00M,,11.00M,,,0.00,127.00M,863.00M,,,-1.00M,,860.00M,365.00M,442.00M,,,-53.00M,16.00M,442.00M,435.40M,949.00M,86.00M,863.00M,1.09,0.0,,1.073,1.09,0.995,0.0,,0.9801,0.995,394.00M,442.00M,0.1562
2006-09,1.636B,1.636B,796.00M,840.00M,45.00M,,-33.00M,,,-30.00M,75.00M,765.00M,,,-31.00M,,716.00M,304.00M,366.00M,,,-46.00M,15.00M,366.00M,385.80M,825.00M,60.00M,765.00M,0.925,0.0,,0.9771,0.925,0.835,0.0,,0.8798,0.835,380.00M,442.00M,0.1562
2006-06,1.426B,1.426B,608.00M,818.00M,35.00M,,15.00M,,,1.00M,79.00M,739.00M,,,17.00M,,735.00M,310.00M,382.00M,,,-42.00M,15.00M,382.00M,373.00M,782.70M,43.70M,739.00M,0.975,0.0,,0.9511,0.975,0.87,0.0,,0.8497,0.87,376.00M,444.00M,0.1562
2006-03,1.086B,1.086B,477.90M,608.20M,30.60M,2.60M,1.00M,,,-2.00M,74.50M,533.70M,,,4.60M,,515.60M,221.70M,266.80M,,,-27.10M,15.10M,266.80M,266.20M,577.00M,43.30M,533.70M,0.67,0.0,,0.6684,0.67,0.615,0.0,,0.6136,0.615,375.80M,443.00M,0.1562
2005-12,1.490B,1.490B,456.04M,1.034B,25.04M,,0.679M,,,,104.31M,929.41M,,,3.206M,,907.78M,375.58M,478.18M,,,-54.03M,15.62M,478.18M,477.77M,1.011B,81.29M,929.41M,1.27,0.0,,1.2690000000000001,1.27,1.095,0.0,,1.094,1.095,371.08M,442.05M,0.125
2005-09,983.27M,983.27M,434.37M,548.90M,27.70M,,-34.81M,,,,89.35M,459.55M,,,-33.50M,,392.72M,186.71M,180.93M,,,-25.08M,15.12M,180.93M,201.82M,523.17M,63.62M,459.55M,0.465,0.0,,0.5237,0.465,0.43,0.0,,0.4775,0.43,355.79M,439.65M,0.125
2005-06,902.91M,902.91M,390.59M,512.32M,27.72M,,8.143M,,,,81.88M,430.44M,,,10.70M,,405.86M,188.68M,190.37M,,,-26.80M,15.12M,190.37M,185.49M,488.61M,58.17M,430.44M,0.49,0.0,,0.4763,0.49,0.455,0.0,,0.4439,0.455,356.65M,439.98M,0.125
2005-03,803.06M,803.06M,366.93M,436.14M,21.61M,,7.989M,,,,78.54M,357.60M,,,10.58M,,330.64M,164.03M,145.52M,,,-21.09M,15.12M,145.52M,140.73M,414.52M,56.93M,357.60M,0.365,0.0,,0.3516,0.365,0.35,0.0,,0.338,0.35,358.64M,400.25M,0.125
2004-12,924.79M,924.79M,436.67M,488.12M,25.60M,,128.34M,,,-72.99M,35.27M,452.85M,,,130.61M,,458.94M,202.79M,227.63M,,,-28.52M,15.12M,227.63M,150.63M,537.50M,84.64M,452.85M,0.58,0.0,,0.3647,0.58,0.575,0.0,,0.3717,0.575,357.62M,378.83M,0.125
2004-09,600.56M,600.56M,369.98M,230.58M,26.19M,,0.351M,,,-0.011M,81.93M,148.65M,,,3.029M,,113.83M,71.34M,32.26M,,,-10.23M,15.12M,32.26M,32.05M,206.45M,57.80M,148.65M,0.05,0.0,,0.0494,0.05,0.05,0.0,,0.0494,0.05,354.27M,359.61M,0.1
2004-06,486.33M,486.33M,371.68M,114.66M,25.36M,,0.275M,,,,67.95M,46.70M,,,-2.273M,,5.09M,38.21M,-38.24M,,,-5.118M,15.07M,-38.24M,-38.40M,91.46M,44.76M,46.70M,-0.15,0.0,,-0.1505,-0.15,-0.15,0.0,,-0.1505,-0.15,350.40M,350.40M,0.1
2004-03,360.18M,360.18M,277.84M,82.35M,15.56M,,-11.10M,,,,40.97M,41.38M,,,-11.46M,,-3.473M,18.34M,-19.38M,,,2.431M,0.168M,-19.38M,-12.72M,69.08M,27.70M,41.38M,-0.05,0.0,,-0.0332,-0.05,-0.05,0.0,,-0.0332,-0.05,395.88M,395.88M,0.1
2003-12,446.12M,446.12M,284.25M,161.87M,26.64M,,-13.26M,,,-2.023M,55.37M,106.50M,,,-11.89M,,53.67M,45.25M,2.394M,,0.00,-6.028M,2.158M,2.394M,10.35M,140.09M,33.59M,106.50M,-0.02,0.0,0.0,0.003,-0.02,-0.02,0.0,0.0019,0.0017,-0.02,345.33M,366.73M,0.045
2003-09,631.99M,631.99M,265.31M,366.68M,16.42M,,-52.35M,,,-25.99M,54.41M,312.27M,,,-51.06M,,213.12M,117.68M,78.16M,,-24.68M,-17.27M,6.124M,53.49M,109.58M,380.04M,67.77M,312.27M,0.225,-0.075,0.0,0.3235,0.15,0.205,-0.075,-0.0774,0.2858,0.145,318.81M,388.67M,0.045
2003-06,609.46M,609.46M,279.24M,330.22M,20.71M,,-8.907M,,,,88.99M,241.23M,,,-6.637M,,179.11M,97.91M,66.94M,,,-14.26M,9.572M,66.94M,72.29M,315.05M,73.82M,241.23M,0.195,0.0,,0.2133,0.195,0.185,0.0,,0.199,0.185,291.81M,381.98M,0.045
2003-03,524.60M,524.60M,247.47M,277.13M,18.01M,,-1.619M,,,,85.80M,191.33M,,,-0.942M,,137.88M,77.21M,49.75M,,9.082M,-10.91M,9.587M,58.83M,50.72M,263.14M,71.82M,191.33M,0.14,0.03,0.0,0.1433,0.17,0.14,0.025,0.024,0.1426,0.165,290.48M,378.97M,0.0
